data	D00049	D00059	D00079	D00094	D00095	D00106	D00110	D00113	D00136	D00139	D00180	D00225	D00227	D00232	D00234	D00235	D00241	D00255	D00270	D00274	D00281	D00283	D00295	D00300	D00301	D00306	D00318	D00332	D00336	D00356	D00364	D00371	D00380	D00394	D00397	D00400	D00410	D00411	D00415	D00419	D00422	D00426	D00432	D00437	D00440	D00442	D00443	D00451	D00454	D00465	D00480	D00483	D00493	D00494	D00498	D00499	D00503	D00509	D00513	D00514	D00520	D00521	D00522	D00523	D00524	D00525	D00528	D00540	D00542	D00559	D00560	D00563	D00574	D00598	D00601	D00604	D00606	D00607	D00609	D00613	D00627	D00632	D00635	D00645	D00646	D00665	D00666	D00673	D00674	D00675	D00676	D00682	D00683	D00684	D00687	D00688	D00715	D00726	D00760	D00765	D00769	D00775	D00779	D00780	D00790	D00837	D00838	D00845	D00954	D00965	D00987	D00996	D01020	D01022	D01024	D01051	D01071	D01103	D01118	D01126	D01164	D01227	D01236	D01242	D01269	D01295	D01297	D01324	D01332	D01346	D01352	D01358	D01386	D01390	D01441	D01454	D01462	D01603	D01652	D01692	D01699	D01712	D01713	D01717	D01745	D01782	D01828	D01871	D01891	D01925	D01964	D01965	D01973	D01994	D02007	D02066	D02070	D02076	D02082	D02147	D02149	D02150	D02234	D02237	D02250	D02278	D02279	D02327	D02338	D02340	D02342	D02349	D02354	D02356	D02357	D02358	D02359	D02361	D02374	D02566	D02578	D02588	D02614	D02671	D02721	D02725	D02826	D02884	D02910	D03165	D03187	D03210	D03274	D03365	D03415	D03442	D03490	D03503	D03621	D03642	D03654	D03858	D03879	D03880	D03881	D03966	D04006	D04034	D04040	D04375	D04625	D04716	D04979	D05113	D05129	D05246	D05312	D05341	D05740	D05792	D05938	D06056	D06396
D00049	0.99	0.08407	0.02946	0.01505	0.16123	0.01487	0.19376	0.12473	0.11457	0.0924	0.03102	0.05893	0.07559	0.03214	0.0693	0.1155	0.21419	0.10854	0.06843	0.12219	0.08306	0.07137	0.05724	0.14492	0.05117	0.04062	0.05024	0.05707	0.08357	0.07782	0.13211	0.07343	0.17184	0.06629	0.1429	0.06463	0.28538	0.08677	0.09889	0.03226	0.05174	0.09078	0.07533	0.10924	0.04254	0.03737	0.02105	0.12423	0.06061	0.14202	0.05377	0.11948	0.04651	0.05736	0.0309	0.06096	0.05681	0.09275	0.13818	0.10686	0.07816	0.07485	0.08357	0.07286	0.04054	0.04714	0.08503	0.11835	0.02357	0.04243	0.08797	0.13357	0.16988	0.10399	0.05491	0.07584	0.14841	0.03246	0.12438	0.08526	0.06463	0.09625	0.08115	0.08526	0.07071	0.12087	0.09628	0.04934	0.10446	0.21509	0.12148	0.01632	0.06441	0.1384	0.16146	0.06183	0.09979	0.17412	0.038	0.01656	0.11593	0.06317	0.12375	0.03285	0.06239	0.05746	0.04153	0.08233	0.02248	0.0966	0.05489	0.14929	0.09603	0.05304	0.07071	0.11736	0.06429	0.08407	0.06239	0.02619	0.066	0.07071	0.06368	0.06325	0.08876	0.08224	0.09992	0.06061	0.09429	0.18996	0.01675	0.10018	0.13899	0.14929	0.06296	0.0685	0.0688	0.05807	0.08674	0.06757	0.07478	0.07745	0.08329	0.07038	0.04671	0.10545	0.09311	0.05958	0.07599	0.05273	0.06605	0.08047	0.06538	0.07378	0.04218	0.06825	0.10323	0.09344	0.07296	0.13899	0.09386	0.13002	0.03909	0.0305	0.03307	0.02619	0.02357	0.12624	0.10195	0.07202	0.11071	0.10331	0.05379	0.05848	0.06679	0.09603	0.11153	0.14808	0.09301	0.10341	0.09341	0.05893	0.09556	0.03566	0.01401	0.05204	0.04473	0.07454	0.11246	0.03643	0.02829	0.09465	0.15626	0.17089	0.04205	0.02089	0.10102	0.05343	0.10686	0.14202	0.07745	0.11857	0.10191	0.02996	0.07182	0.02357	0.06819	0.13645	0.07857	0.12768	0.13899	0.09891	0.05551	0.03478	0.07071	0.06792	0.04425	0.02357	0.05413	0.10731	0.09709	0.08537	0.07206
D00059	0.08407	0.99	0.08745	0.06109	0.28072	0.07378	0.08558	0.08113	0.06702	0.07084	0.09205	0.05469	0.07776	0.0412	0.05126	0.09607	0.11143	0.05679	0.05713	0.08486	0.07648	0.05469	0.0605	0.06926	0.05585	0.06834	0.07005	0.09147	0.09	0.05093	0.04758	0.08715	0.0731	0.03781	0.10072	0.0825	0.06679	0.0813	0.06493	0.06947	0.12073	0.05664	0.08107	0.08187	0.10141	0.04883	0.05081	0.06124	0.05626	0.04675	0.06153	0.0641	0.06332	0.06563	0.12002	0.08914	0.06008	0.08107	0.06448	0.1155	0.05442	0.07932	0.0676	0.0492	0.07876	0.11958	0.08368	0.05752	0.06177	0.0737	0.05146	0.07553	0.07814	0.08476	0.08295	0.06983	0.06519	0.03841	0.08191	0.08683	0.07274	0.19128	0.06694	0.07162	0.13357	0.05453	0.08147	0.11512	0.0515	0.05088	0.04929	0.06741	0.09761	0.08391	0.06618	0.08306	0.06417	0.08587	0.04482	0.03944	0.06869	0.0858	0.05194	0.05527	0.05209	0.06751	0.12624	0.04878	0.05974	0.1031	0.06118	0.25952	0.15196	0.11031	0.16632	0.06857	0.05967	0.0517	0.04238	0.165	0.06893	0.05833	0.03497	0.04877	0.04503	0.06136	0.0562	0.03457	0.04746	0.09706	0.07541	0.07081	0.14034	0.19759	0.04611	0.09453	0.05753	0.05197	0.04884	0.08336	0.08288	0.07805	0.06637	0.07511	0.05113	0.07121	0.16803	0.04706	0.08045	0.11825	0.06267	0.12479	0.09921	0.05871	0.06878	0.11919	0.06714	0.08839	0.09865	0.14793	0.1362	0.22639	0.03272	0.02524	0.04479	0.10022	0.12833	0.05036	0.12375	0.06508	0.08733	0.09619	0.04795	0.07637	0.0781	0.11815	0.18163	0.055	0.10138	0.05216	0.07944	0.13216	0.12219	0.077	0.06951	0.07629	0.08433	0.07908	0.07815	0.0613	0.07378	0.06109	0.08552	0.10725	0.03835	0.06165	0.08643	0.05647	0.0715	0.09323	0.08584	0.05667	0.20253	0.07476	0.14627	0.121	0.07896	0.07468	0.11259	0.07058	0.19762	0.06794	0.05465	0.06744	0.11	0.07644	0.07218	0.0529	0.04156	0.07584	0.06574	0.07462	0.0858
D00079	0.02946	0.08745	0.99	0.1251	0.08932	0.42198	0.11495	0.11057	0.0417	0.01782	0.72185	0.01314	0.05614	0.0965	0.02343	0.06563	0.05859	0.0321	0.01952	0.05242	0.01781	0.02658	0.04518	0.02241	0.07131	0.1004	0.04921	0.08829	0.0555	0.14752	0.04067	0.03935	0.06476	0.02784	0.04366	0.08117	0.03496	0.04185	0.06989	0.3684	0.0605	0.04423	0.10928	0.06886	0.0605	0.06305	0.11485	0.04549	0.02734	0.08319	0.01547	0.03205	0.02289	0.01815	0.12198	0.10128	0.02524	0.0452	0.04912	0.0649	0.04024	0.05432	0.0296	0.0491	0.05852	0.10131	0.03163	0.06898	0.02877	0.04803	0.03703	0.01925	0.06334	0.06244	0.07389	0.01626	0.03952	0.06546	0.03288	0.04423	0.02963	0.04553	0.07645	0.03581	0.06194	0.05594	0.07914	0.05756	0.04713	0.02876	0.0678	0.28233	0.05872	0.0473	0.04501	0.06042	0.09433	0.05056	0.05213	0.09955	0.07307	0.01496	0.06508	0.09458	0.03154	0.08869	0.0859	0.06712	0.1298	0.05532	0.09056	0.0825	0.03769	0.04553	0.06215	0.04517	0.0925	0.06206	0.02022	0.08881	0.03972	0.02867	0.0261	0.03153	0.06437	0.03887	0.03491	0.02467	0.07934	0.03775	0.40953	0.01788	0.07359	0.05724	0.0266	0.0483	0.08116	0.04352	0.03586	0.04718	0.05623	0.0495	0.00972	0.10159	0.05184	0.03503	0.05074	0.02246	0.12749	0.11536	0.14108	0.06391	0.06642	0.05586	0.11735	0.05369	0.09729	0.07651	0.06356	0.06126	0.0982	0.08534	0.03544	0.05985	0.05971	0.12019	0.10188	0.05683	0.08759	0.02658	0.06583	0.06495	0.02567	0.04506	0.10798	0.06417	0.08612	0.03906	0.07061	0.02856	0.02669	0.12893	0.06035	0.03977	0.2962	0.11093	0.06149	0.05738	0.05523	0.10045	0.35962	0.06414	0.0385	0.05115	0.03241	0.08285	0.06679	0.04198	0.02732	0.03878	0.05824	0.037	0.04966	0.10613	0.08465	0.13618	0.06345	0.03362	0.07301	0.02979	0.06088	0.08487	0.01739	0.1018	0.05938	0.04931	0.11511	0.14326	0.02852	0.05066	0.04924	0.07299	0.06081
D00094	0.01505	0.06109	0.1251	0.99	0.03679	0.11493	0.0469	0.04886	0.04997	0.01151	0.11579	0.01775	0.0362	0.05847	0.03735	0.08051	0.04793	0.02253	0.03103	0.05975	0.02274	0.03004	0.05166	0.02783	0.04807	0.09576	0.06966	0.08573	0.05438	0.06338	0.05503	0.02457	0.04553	0.03796	0.04586	0.06942	0.03536	0.05556	0.04829	0.10778	0.10309	0.05094	0.06411	0.09803	0.10309	0.0709	0.07606	0.04763	0.03591	0.0825	0.03006	0.03317	0.02922	0.033	0.06818	0.12711	0.03223	0.04671	0.03414	0.02574	0.0388	0.06726	0.02311	0.05438	0.06207	0.04122	0.04489	0.06392	0.03673	0.02574	0.03749	0.0213	0.07191	0.07021	0.06782	0.02076	0.03251	0.07977	0.03974	0.04571	0.03692	0.05812	0.08235	0.03615	0.0652	0.06618	0.06914	0.09813	0.05569	0.03247	0.05901	0.09623	0.07377	0.05025	0.04423	0.07052	0.0488	0.06251	0.059	0.05275	0.03052	0.0191	0.09108	0.05329	0.03036	0.0581	0.03561	0.06736	0.0633	0.06581	0.0579	0.03381	0.04811	0.06631	0.06431	0.05647	0.09064	0.05465	0.03015	0.07593	0.04244	0.03723	0.01561	0.03195	0.04794	0.06584	0.02717	0.0339	0.08803	0.04116	0.09876	0.01975	0.02179	0.05513	0.0328	0.06166	0.07192	0.03846	0.03735	0.05617	0.03559	0.02976	0.01357	0.05677	0.03459	0.04638	0.05196	0.02691	0.07503	0.06338	0.06678	0.06525	0.03961	0.06036	0.06068	0.06214	0.05048	0.04087	0.07946	0.06682	0.05579	0.04802	0.04391	0.07641	0.07102	0.08556	0.06854	0.06818	0.09215	0.03004	0.09128	0.08291	0.04573	0.08453	0.05278	0.07333	0.04555	0.05221	0.0797	0.03329	0.04187	0.06557	0.03397	0.05077	0.11611	0.07058	0.04771	0.05237	0.061	0.05911	0.10348	0.09484	0.04088	0.02071	0.02695	0.04972	0.06821	0.04798	0.03066	0.04037	0.03686	0.0534	0.06237	0.05938	0.06209	0.0667	0.02959	0.0357	0.08439	0.03189	0.0782	0.05328	0.02061	0.04719	0.07465	0.04736	0.04311	0.16483	0.04048	0.05654	0.06453	0.04327	0.05035
D00095	0.16123	0.28072	0.08932	0.03679	0.99	0.07534	0.09874	0.11385	0.11573	0.09821	0.09402	0.07663	0.10332	0.04656	0.07814	0.15884	0.18595	0.07951	0.08048	0.09806	0.07857	0.08727	0.04196	0.11538	0.06566	0.07358	0.07156	0.07851	0.07824	0.06528	0.07429	0.09088	0.14009	0.06476	0.12746	0.06941	0.12964	0.06485	0.10592	0.07434	0.07598	0.07751	0.1254	0.07158	0.0586	0.04432	0.04431	0.09062	0.08976	0.08745	0.04661	0.11425	0.07706	0.04972	0.10032	0.0792	0.07311	0.09814	0.11425	0.16456	0.06855	0.08731	0.07032	0.07824	0.04541	0.09921	0.10041	0.07205	0.05077	0.099	0.0924	0.10384	0.14611	0.14015	0.09116	0.07174	0.10071	0.03332	0.07808	0.11627	0.07686	0.2189	0.08637	0.06544	0.14143	0.0924	0.11052	0.07245	0.0762	0.08498	0.07235	0.06278	0.11359	0.08184	0.07634	0.09393	0.09042	0.15712	0.04512	0.04019	0.08782	0.10296	0.08653	0.05085	0.07338	0.07887	0.11754	0.06083	0.04732	0.08308	0.06039	0.91667	0.12027	0.08653	0.13042	0.07948	0.0708	0.07942	0.07066	0.08262	0.0836	0.063	0.06088	0.05236	0.05878	0.07773	0.08666	0.05921	0.06576	0.11026	0.07052	0.09735	0.24306	0.35738	0.0622	0.09941	0.06136	0.06083	0.06996	0.06483	0.09126	0.0836	0.0748	0.10126	0.06967	0.06392	0.10758	0.05757	0.08393	0.07868	0.06109	0.1031	0.11482	0.06531	0.07281	0.14402	0.09695	0.07755	0.06139	0.27811	0.45	0.51182	0.03977	0.02433	0.03922	0.12027	0.13703	0.07773	0.12606	0.1012	0.1444	0.15447	0.05855	0.10179	0.0858	0.13836	0.24919	0.11474	0.14877	0.10262	0.09924	0.07978	0.27542	0.05551	0.06772	0.07971	0.12997	0.0949	0.11028	0.0564	0.079	0.09199	0.09559	0.1749	0.04697	0.04098	0.14105	0.03916	0.1166	0.10857	0.09452	0.0944	0.23178	0.06678	0.14974	0.07518	0.08203	0.10132	0.07584	0.08635	0.33273	0.11026	0.06685	0.07054	0.08055	0.06555	0.07549	0.03709	0.05606	0.07052	0.09994	0.10346	0.08146
D00106	0.01487	0.07378	0.42198	0.11493	0.07534	0.99	0.1059	0.10048	0.04569	0.01401	0.42566	0.01213	0.05077	0.11271	0.02772	0.06058	0.04812	0.0333	0.02145	0.04673	0.01644	0.02454	0.04261	0.02369	0.06192	0.09884	0.04543	0.0815	0.04311	0.15321	0.04498	0.03398	0.04209	0.02967	0.03316	0.08369	0.0214	0.03797	0.06612	0.22632	0.06204	0.04947	0.10573	0.062	0.06204	0.06447	0.11526	0.04583	0.02916	0.07082	0.02063	0.03396	0.02456	0.02352	0.11406	0.07878	0.02682	0.04172	0.05077	0.05991	0.03607	0.05353	0.02732	0.04154	0.06072	0.10056	0.02702	0.05775	0.02656	0.04434	0.03418	0.02217	0.04919	0.06346	0.06433	0.01501	0.02444	0.06284	0.03165	0.04083	0.02735	0.04203	0.06629	0.03305	0.06213	0.05628	0.07667	0.05903	0.05192	0.0311	0.0536	0.25228	0.05041	0.0396	0.03605	0.04812	0.08309	0.04324	0.05282	0.10835	0.04953	0.01381	0.05458	0.09892	0.02777	0.07749	0.08038	0.05791	0.12458	0.04519	0.10356	0.06957	0.03479	0.03737	0.06214	0.04861	0.07185	0.06033	0.02285	0.07465	0.03441	0.02592	0.02038	0.03139	0.06299	0.044	0.02925	0.02713	0.07324	0.03693	0.39019	0.02063	0.0618	0.04701	0.02392	0.04458	0.08295	0.04724	0.03462	0.04174	0.05357	0.04485	0.01151	0.08769	0.03845	0.03233	0.04239	0.0275	0.12207	0.10648	0.13542	0.059	0.05987	0.05156	0.09737	0.04228	0.0885	0.0612	0.05746	0.05655	0.09065	0.07239	0.03862	0.05077	0.06081	0.12749	0.09404	0.05709	0.07945	0.02835	0.07308	0.05995	0.02721	0.04559	0.11592	0.05923	0.0795	0.03749	0.05955	0.02637	0.03366	0.12491	0.05571	0.04556	0.39269	0.11143	0.06379	0.052	0.05003	0.10532	0.22846	0.05756	0.03038	0.04722	0.03225	0.07405	0.0676	0.0396	0.02522	0.02983	0.05548	0.03862	0.04584	0.11483	0.07322	0.14072	0.04968	0.0271	0.06739	0.0275	0.05042	0.08342	0.01916	0.08306	0.05481	0.04552	0.0945	0.13224	0.03159	0.04676	0.05222	0.06737	0.04439
D00110	0.19376	0.08558	0.11495	0.0469	0.09874	0.1059	0.99	0.19003	0.07383	0.0433	0.121	0.04602	0.04745	0.14052	0.06204	0.07766	0.11163	0.07183	0.05344	0.10318	0.04274	0.07297	0.04738	0.09069	0.11496	0.10054	0.04203	0.05349	0.0564	0.15207	0.11189	0.04087	0.10326	0.06786	0.10395	0.06824	0.10089	0.08389	0.11687	0.13536	0.0404	0.09296	0.0924	0.10014	0.03783	0.05312	0.11896	0.07599	0.07298	0.10907	0.06023	0.09035	0.05619	0.06512	0.11176	0.08034	0.066	0.07662	0.09126	0.11132	0.07793	0.09391	0.05616	0.07692	0.0491	0.11284	0.06176	0.09721	0.02691	0.06204	0.0647	0.08932	0.11584	0.06775	0.07912	0.03903	0.07676	0.05507	0.08833	0.05982	0.06323	0.05757	0.07298	0.07709	0.10387	0.09282	0.1254	0.03837	0.07635	0.11454	0.08402	0.08851	0.06777	0.08759	0.07766	0.0682	0.1386	0.11199	0.04916	0.08675	0.12109	0.02904	0.1221	0.0858	0.05474	0.08341	0.1342	0.10053	0.09372	0.07105	0.13688	0.09118	0.04742	0.04987	0.08501	0.11192	0.063	0.11473	0.06988	0.0748	0.0528	0.0597	0.04709	0.06226	0.10581	0.08624	0.06686	0.08297	0.10034	0.09033	0.09084	0.08353	0.15385	0.08262	0.06347	0.05156	0.09017	0.06131	0.07009	0.04605	0.10503	0.04809	0.06358	0.11635	0.04278	0.0759	0.05429	0.06417	0.16451	0.0891	0.1419	0.09695	0.11282	0.07063	0.10011	0.06649	0.16989	0.09829	0.08486	0.09422	0.10692	0.10432	0.05531	0.05396	0.04701	0.09533	0.06946	0.11631	0.07079	0.07095	0.0706	0.06319	0.04823	0.07082	0.11715	0.07089	0.10319	0.07243	0.06796	0.0907	0.06209	0.09958	0.09151	0.05923	0.09977	0.13929	0.07886	0.04923	0.06133	0.08604	0.1187	0.08651	0.08229	0.1155	0.05405	0.06783	0.06581	0.044	0.09746	0.09917	0.10878	0.1062	0.06173	0.07232	0.09797	0.11177	0.05304	0.06749	0.07182	0.05363	0.09422	0.11945	0.05344	0.07303	0.04755	0.0566	0.08441	0.05563	0.06079	0.10369	0.08266	0.06671	0.06657
D00113	0.12473	0.08113	0.11057	0.04886	0.11385	0.10048	0.19003	0.99	0.09097	0.03877	0.11639	0.04793	0.07065	0.10275	0.05363	0.08938	0.12285	0.07483	0.05633	0.07352	0.03274	0.08498	0.05009	0.10414	0.40615	0.09727	0.05536	0.07707	0.04838	0.12818	0.07035	0.07219	0.11909	0.07068	0.18412	0.06587	0.09257	0.08818	0.11151	0.08938	0.05332	0.08674	0.08923	0.07258	0.05064	0.04997	0.09568	0.05909	0.07032	0.1308	0.03867	0.09412	0.05389	0.04217	0.10771	0.09246	0.05024	0.06143	0.09506	0.09763	0.08564	0.09239	0.05813	0.09925	0.05665	0.12708	0.06703	0.1322	0.03861	0.06463	0.06654	0.09488	0.12731	0.07805	0.08711	0.02989	0.09167	0.05647	0.07168	0.0512	0.06088	0.06665	0.06659	0.08031	0.07661	0.07694	0.1107	0.0502	0.06031	0.06589	0.07695	0.07483	0.06536	0.05274	0.06325	0.06596	0.19995	0.08893	0.05187	0.07389	0.07941	0.04923	0.12719	0.06898	0.05136	0.08164	0.11966	0.06417	0.10207	0.07805	0.09098	0.1044	0.0494	0.04602	0.06999	0.09888	0.08271	0.09293	0.06572	0.0988	0.06065	0.05271	0.05264	0.06061	0.07992	0.08036	0.07607	0.07975	0.07906	0.06821	0.08196	0.08701	0.17188	0.09498	0.05745	0.05371	0.07916	0.06417	0.09089	0.04965	0.10976	0.06826	0.06623	0.13053	0.04965	0.06531	0.04056	0.06016	0.11349	0.08268	0.1088	0.11474	0.16409	0.05616	0.08894	0.06424	0.39899	0.117	0.07661	0.09815	0.12675	0.09958	0.05404	0.04705	0.04422	0.08988	0.1028	0.09121	0.06067	0.07543	0.08125	0.08323	0.05606	0.07377	0.12707	0.08097	0.1157	0.05447	0.07804	0.10379	0.06468	0.10373	0.08733	0.06311	0.09466	0.10304	0.06152	0.07079	0.05743	0.0765	0.10852	0.09942	0.05644	0.13578	0.04608	0.06825	0.07582	0.04583	0.11229	0.08559	0.11368	0.10208	0.07138	0.07516	0.11537	0.1511	0.05304	0.08114	0.08776	0.06359	0.11711	0.1406	0.06431	0.10707	0.04911	0.05896	0.12194	0.05795	0.05475	0.09209	0.06417	0.06262	0.03889
D00136	0.11457	0.06702	0.0417	0.04997	0.11573	0.04569	0.07383	0.09097	0.99	0.10007	0.04389	0.11384	0.06629	0.054	0.15134	0.12433	0.18185	0.09959	0.17874	0.23509	0.06249	0.15541	0.03536	0.1822	0.10114	0.07478	0.05513	0.06867	0.08456	0.06875	0.14224	0.0549	0.13591	0.15805	0.1307	0.09172	0.16089	0.09309	0.07731	0.04807	0.06158	0.11855	0.09259	0.06936	0.05166	0.07375	0.04486	0.09126	0.14581	0.15215	0.09281	0.12358	0.14374	0.10105	0.05219	0.08098	0.1464	0.12996	0.10453	0.08672	0.11269	0.11996	0.09949	0.13074	0.03991	0.05174	0.07729	0.13015	0.06494	0.07649	0.13225	0.14121	0.16778	0.10789	0.08487	0.05706	0.10261	0.04907	0.07854	0.1081	0.08826	0.152	0.09659	0.07136	0.13174	0.15773	0.1475	0.05818	0.0743	0.10632	0.09091	0.03808	0.13036	0.09176	0.08506	0.11678	0.08506	0.14878	0.08144	0.04598	0.11653	0.07153	0.14176	0.05095	0.17448	0.05324	0.06907	0.106	0.04699	0.08713	0.06844	0.1063	0.07447	0.0582	0.08043	0.08507	0.06628	0.10002	0.13837	0.04576	0.12637	0.11674	0.09404	0.07099	0.10432	0.12364	0.11895	0.1434	0.10773	0.16026	0.03908	0.14246	0.07754	0.12791	0.09851	0.08106	0.06897	0.06696	0.09654	0.05423	0.1261	0.0497	0.10898	0.13386	0.09593	0.09654	0.09574	0.10872	0.08075	0.05604	0.05836	0.11075	0.08876	0.12847	0.05453	0.13047	0.07529	0.08702	0.09331	0.13205	0.09419	0.1114	0.08996	0.04605	0.06907	0.04804	0.04276	0.14274	0.10917	0.18525	0.11302	0.08768	0.06258	0.12353	0.07099	0.08328	0.13589	0.12043	0.11491	0.1525	0.08328	0.05271	0.14312	0.12122	0.04738	0.06997	0.0919	0.07239	0.09849	0.05267	0.05065	0.14239	0.12192	0.08634	0.06423	0.04448	0.10481	0.03223	0.18649	0.14965	0.1306	0.18186	0.16274	0.04657	0.11967	0.05105	0.05317	0.11306	0.09962	0.08378	0.14528	0.11767	0.09432	0.04869	0.09303	0.09274	0.05211	0.0592	0.09456	0.1036	0.11457	0.10226	0.05394
D00139	0.0924	0.07084	0.01782	0.01151	0.09821	0.01401	0.0433	0.03877	0.10007	0.99	0.01876	0.12247	0.08808	0.01584	0.11141	0.09636	0.07863	0.10407	0.15372	0.0994	0.07291	0.1034	0.01933	0.11636	0.03983	0.03679	0.04064	0.04029	0.08976	0.02116	0.101	0.11271	0.05876	0.11633	0.0891	0.05812	0.10041	0.09603	0.0953	0.01876	0.03767	0.08847	0.07891	0.04798	0.0293	0.04604	0.0253	0.07599	0.1188	0.0396	0.11633	0.14429	0.08634	0.12408	0.05456	0.03004	0.08191	0.09785	0.11197	0.09372	0.05882	0.05604	0.09648	0.05808	0.01742	0.04003	0.10466	0.03218	0.01015	0.03784	0.07425	0.09064	0.06281	0.07532	0.05342	0.06657	0.0572	0.02186	0.10504	0.11711	0.09943	0.1122	0.06487	0.05982	0.07386	0.06797	0.06913	0.03592	0.0639	0.10945	0.05407	0.00965	0.06395	0.07128	0.0968	0.06523	0.03102	0.05876	0.04837	0.01201	0.07435	0.09557	0.04803	0.02954	0.14015	0.03069	0.05846	0.05452	0.0199	0.04167	0.05099	0.09093	0.09484	0.04803	0.09874	0.05982	0.0264	0.05324	0.10948	0.01467	0.09211	0.0844	0.05379	0.077	0.05816	0.06893	0.06944	0.10635	0.077	0.11311	0.0099	0.08786	0.05007	0.09093	0.06528	0.06641	0.04317	0.0463	0.07286	0.09944	0.07169	0.07889	0.09372	0.0577	0.08556	0.07399	0.1155	0.0682	0.05103	0.02397	0.02625	0.06964	0.08119	0.066	0.01917	0.06718	0.03141	0.05704	0.07333	0.08603	0.04464	0.0792	0.05848	0.01372	0.04074	0.01467	0.01257	0.07187	0.05313	0.13237	0.0776	0.05982	0.0924	0.09773	0.0539	0.08018	0.09852	0.10357	0.07813	0.0792	0.18822	0.02679	0.12486	0.11034	0.0132	0.0444	0.066	0.09062	0.10643	0.02904	0.01645	0.05605	0.09304	0.04884	0.05839	0.02802	0.07317	0.01804	0.09064	0.10758	0.07425	0.0824	0.1188	0.03457	0.07033	0.02123	0.10466	0.07399	0.08153	0.0495	0.08466	0.06082	0.0792	0.04804	0.11772	0.05414	0.06368	0.0132	0.07121	0.0726	0.08957	0.09347	0.10371
