data	D00040	D00066	D00067	D00075	D00088	D00094	D00105	D00129	D00143	D00163	D00182	D00187	D00188	D00211	D00246	D00279	D00299	D00312	D00316	D00327	D00348	D00443	D00462	D00506	D00554	D00565	D00577	D00585	D00586	D00596	D00627	D00690	D00730	D00898	D00930	D00950	D00951	D00954	D00956	D00961	D00962	D00965	D01115	D01132	D01161	D01217	D01294	D01387	D01441	D01689	D02217	D02367	D04066	D05341
D00040	0.99	0.28333	0.12049	0.17953	0.16889	0.06535	0.13053	0.16652	0.51009	0.27203	0.16831	0.18351	0.29664	0.1024	0.13224	0.02962	0.20323	0.10359	0.05606	0.19962	0.06535	0.14516	0.2517	0.03018	0.12729	0.03864	0.02526	0.16325	0.03896	0.03348	0.02095	0.13594	0.03264	0.02235	0.15654	0.17327	0.14094	0.17327	0.14362	0.02279	0.03437	0.03426	0.13253	0.03643	0.10689	0.25763	0.17649	0.18522	0.02863	0.1881	0.02251	0.15433	0.12406	0.07636
D00066	0.28333	0.99	0.14918	0.25789	0.21441	0.06531	0.1616	0.14781	0.42241	0.26847	0.23678	0.14208	0.13923	0.08568	0.1632	0.04578	0.15234	0.11069	0.06588	0.34623	0.06531	0.15646	0.3024	0.04016	0.15759	0.03888	0.02724	0.23893	0.03533	0.04292	0.02053	0.19772	0.0444	0.02767	0.13533	0.24144	0.16995	0.24144	0.20205	0.02968	0.04549	0.03626	0.14285	0.04983	0.09728	0.43944	0.19872	0.20549	0.04004	0.28403	0.02937	0.19349	0.15568	0.07658
D00067	0.12049	0.14918	0.99	0.33011	0.19845	0.0469	0.8107	0.09215	0.14027	0.11357	0.30948	0.09504	0.09833	0.061	0.11462	0.05818	0.09051	0.41735	0.04798	0.13237	0.0469	0.11016	0.14918	0.04708	0.75479	0.05485	0.07109	0.11906	0.04129	0.04377	0.03949	0.0972	0.06726	0.06329	0.08456	0.30472	0.11371	0.30472	0.27174	0.0308	0.03354	0.04322	0.10194	0.04861	0.13584	0.1497	0.13184	0.09623	0.04078	0.13021	0.04172	0.19353	0.40774	0.06726
D00075	0.17953	0.25789	0.33011	0.99	0.41205	0.06307	0.352	0.12876	0.209	0.16095	0.53728	0.11997	0.12068	0.08359	0.1771	0.03748	0.13626	0.24976	0.04971	0.22883	0.06307	0.1282	0.22079	0.04217	0.31872	0.03679	0.0286	0.17226	0.03709	0.03377	0.01827	0.15961	0.0406	0.02905	0.12902	0.52902	0.1597	0.52902	0.46706	0.02219	0.0339	0.03807	0.11705	0.03407	0.13109	0.24942	0.14402	0.15801	0.02373	0.19004	0.0276	0.28744	0.32038	0.0804
D00088	0.16889	0.21441	0.19845	0.41205	0.99	0.07012	0.19861	0.14002	0.17419	0.1569	0.32234	0.12604	0.12532	0.09254	0.19275	0.04377	0.12497	0.14762	0.06501	0.20356	0.07012	0.13262	0.19119	0.04801	0.21444	0.04816	0.03848	0.18088	0.04211	0.05093	0.02726	0.16441	0.04311	0.03419	0.13877	0.31546	0.17854	0.31546	0.28981	0.04139	0.04759	0.04486	0.13548	0.03839	0.11845	0.20743	0.13753	0.15755	0.03183	0.19013	0.03074	0.27155	0.18953	0.09747
D00094	0.06535	0.06531	0.0469	0.06307	0.07012	0.99	0.03888	0.09443	0.05648	0.05343	0.06429	0.08733	0.09148	0.07182	0.06319	0.05617	0.08317	0.03903	0.10451	0.0628	0.79415	0.07606	0.05506	0.06951	0.04963	0.05945	0.06199	0.06488	0.06368	0.07526	0.03692	0.06454	0.04413	0.06949	0.09921	0.0633	0.07427	0.0633	0.05945	0.04656	0.05896	0.06581	0.06945	0.05891	0.05825	0.06234	0.06943	0.06867	0.0328	0.07517	0.03423	0.06935	0.04657	0.16483
D00105	0.13053	0.1616	0.8107	0.352	0.19861	0.03888	0.99	0.10193	0.15196	0.12257	0.32093	0.10465	0.10929	0.07185	0.12181	0.05387	0.10483	0.37754	0.04478	0.14193	0.03888	0.10731	0.15996	0.04257	0.82279	0.05079	0.06583	0.12198	0.04292	0.03656	0.03292	0.10426	0.06082	0.0586	0.0985	0.31599	0.11979	0.31599	0.2816	0.02852	0.03106	0.04481	0.10934	0.04501	0.14049	0.16157	0.1229	0.10322	0.03775	0.13178	0.03863	0.2137	0.42382	0.05296
D00129	0.16652	0.14781	0.09215	0.12876	0.14002	0.09443	0.10193	0.99	0.15622	0.16442	0.13181	0.35412	0.38616	0.08976	0.11794	0.04591	0.29318	0.08026	0.07168	0.1383	0.09623	0.1242	0.12632	0.04329	0.11044	0.06252	0.04074	0.1091	0.04831	0.04053	0.03132	0.10722	0.04049	0.04459	0.37878	0.13089	0.12177	0.13089	0.11739	0.03726	0.04602	0.04886	0.11796	0.05005	0.10047	0.14679	0.1275	0.12752	0.03396	0.12971	0.02569	0.14235	0.10365	0.08885
D00143	0.51009	0.42241	0.14027	0.209	0.17419	0.05648	0.15196	0.15622	0.99	0.29411	0.19594	0.15041	0.14869	0.09757	0.14426	0.03612	0.16031	0.10952	0.06195	0.22483	0.05648	0.16441	0.28434	0.03251	0.14819	0.03174	0.02561	0.17902	0.03322	0.04035	0.01891	0.15428	0.03518	0.02602	0.14307	0.20171	0.16568	0.20171	0.16536	0.02506	0.04116	0.03409	0.15012	0.04685	0.09586	0.3947	0.22122	0.17111	0.03461	0.22744	0.02471	0.17966	0.14008	0.07083
D00163	0.27203	0.26847	0.11357	0.16095	0.1569	0.05343	0.12257	0.16442	0.29411	0.99	0.15089	0.13442	0.1343	0.11329	0.14266	0.03344	0.14224	0.09739	0.05026	0.18148	0.05343	0.13989	0.2536	0.03464	0.11942	0.03869	0.02579	0.13802	0.04049	0.04079	0.02123	0.12904	0.03378	0.02286	0.14374	0.15534	0.13897	0.15534	0.12876	0.03554	0.04126	0.04031	0.14199	0.03886	0.10575	0.24747	0.1861	0.15738	0.03601	0.17627	0.02506	0.1439	0.11608	0.07171
