data	D00049	D00059	D00079	D00094	D00095	D00106	D00110	D00113	D00136	D00139	D00180	D00225	D00227	D00232	D00234	D00235	D00241	D00255	D00270	D00274	D00281	D00283	D00295	D00300	D00301	D00306	D00318	D00332	D00336	D00356	D00364	D00371	D00380	D00394	D00397	D00400	D00410	D00411	D00415	D00419	D00422	D00426	D00432	D00437	D00440	D00442	D00443	D00451	D00454	D00465	D00480	D00483	D00493	D00494	D00498	D00499	D00503	D00509	D00513	D00514	D00520	D00521	D00522	D00523	D00524	D00525	D00528	D00540	D00542	D00559	D00560	D00563	D00574	D00598	D00601	D00604	D00606	D00607	D00609	D00613	D00627	D00632	D00635	D00645	D00646	D00665	D00666	D00673	D00674	D00675	D00676	D00682	D00683	D00684	D00687	D00688	D00715	D00726	D00760	D00765	D00769	D00775	D00779	D00780	D00790	D00837	D00838	D00845	D00954	D00965	D00987	D00996	D01020	D01022	D01024	D01051	D01071	D01103	D01118	D01126	D01164	D01227	D01236	D01242	D01269	D01295	D01297	D01324	D01332	D01346	D01352	D01358	D01386	D01390	D01441	D01454	D01462	D01603	D01652	D01692	D01699	D01712	D01713	D01717	D01745	D01782	D01828	D01871	D01891	D01925	D01964	D01965	D01973	D01994	D02007	D02066	D02070	D02076	D02082	D02147	D02149	D02150	D02234	D02237	D02250	D02278	D02279	D02327	D02338	D02340	D02342	D02349	D02354	D02356	D02357	D02358	D02359	D02361	D02374	D02566	D02578	D02588	D02614	D02671	D02721	D02725	D02826	D02884	D02910	D03165	D03187	D03210	D03274	D03365	D03415	D03442	D03490	D03503	D03621	D03642	D03654	D03858	D03879	D03880	D03881	D03966	D04006	D04034	D04040	D04375	D04625	D04716	D04979	D05113	D05129	D05246	D05312	D05341	D05740	D05792	D05938	D06056	D06396
D00049	1.0	0.19286	0.05833	0.03799	0.34571	0.03956	0.24143	0.25149	0.28073	0.23143	0.0614	0.16071	0.20813	0.06364	0.17286	0.2881	0.4472	0.28073	0.18664	0.24636	0.16667	0.19841	0.16327	0.32011	0.10317	0.09726	0.1203	0.13534	0.21948	0.16536	0.28073	0.17582	0.3318	0.1808	0.32143	0.1659	0.43112	0.17495	0.17422	0.0614	0.1115	0.21884	0.18789	0.23214	0.1115	0.09814	0.04167	0.32625	0.16531	0.30179	0.14286	0.29803	0.12355	0.15238	0.07778	0.12069	0.14835	0.2236	0.35468	0.2381	0.18045	0.18045	0.21948	0.18701	0.07143	0.1129	0.16327	0.25149	0.04945	0.11667	0.18367	0.2881	0.35468	0.2542	0.14202	0.15217	0.38095	0.07494	0.21884	0.21884	0.1659	0.24008	0.17245	0.21884	0.17007	0.25684	0.2046	0.10631	0.27435	0.29167	0.26923	0.04487	0.14487	0.17245	0.20119	0.14907	0.20119	0.3318	0.07676	0.03153	0.24636	0.14	0.28571	0.08431	0.17017	0.15089	0.10884	0.17495	0.03956	0.20168	0.1409	0.32011	0.21429	0.12698	0.17286	0.25684	0.13853	0.20119	0.17017	0.06614	0.15873	0.1829	0.15352	0.17143	0.18862	0.19206	0.26242	0.16531	0.19048	0.23669	0.04605	0.22321	0.29803	0.32011	0.16536	0.14286	0.139	0.14907	0.20571	0.15873	0.17734	0.20578	0.19286	0.14694	0.10714	0.27068	0.21607	0.16071	0.15352	0.13534	0.14037	0.20813	0.16307	0.15677	0.10827	0.15352	0.20813	0.25	0.19161	0.29803	0.21948	0.2788	0.1094	0.06863	0.08684	0.06614	0.05442	0.26825	0.25714	0.19841	0.2619	0.18389	0.11722	0.13736	0.17143	0.21429	0.25087	0.26374	0.23359	0.23041	0.21429	0.15126	0.23359	0.08974	0.03727	0.13358	0.11722	0.19305	0.21429	0.09351	0.05385	0.21538	0.1947	0.28929	0.10875	0.05487	0.24694	0.15238	0.2381	0.30179	0.18367	0.2619	0.2542	0.07324	0.18862	0.0559	0.16327	0.17002	0.20168	0.36012	0.29803	0.23669	0.14747	0.07494	0.17638	0.17433	0.1015	0.05442	0.14903	0.27068	0.2449	0.23359	0.16531
D00059	0.19286	1.0	0.245	0.15957	0.588	0.20513	0.216	0.20069	0.17442	0.192	0.25789	0.15648	0.22989	0.10242	0.13067	0.25	0.28406	0.15194	0.15484	0.24558	0.19206	0.15648	0.17143	0.17778	0.15071	0.18156	0.19737	0.21228	0.24242	0.13196	0.13101	0.25128	0.18172	0.10417	0.26667	0.21505	0.17143	0.23382	0.18293	0.18947	0.3252	0.15957	0.20942	0.23141	0.2935	0.14336	0.12857	0.15225	0.16095	0.12	0.17604	0.16552	0.17658	0.18778	0.32667	0.25862	0.16752	0.20942	0.16552	0.32111	0.14971	0.21111	0.17515	0.11879	0.22533	0.27527	0.23333	0.15625	0.1641	0.18778	0.13393	0.18778	0.19425	0.22059	0.22588	0.17536	0.17778	0.1071	0.22979	0.20496	0.19409	0.37037	0.1719	0.18156	0.38413	0.13901	0.22599	0.31008	0.12803	0.13611	0.12564	0.18846	0.24836	0.23048	0.18	0.23382	0.18	0.24194	0.13159	0.10841	0.17415	0.22533	0.13333	0.15738	0.14118	0.18375	0.31746	0.12367	0.14821	0.28824	0.14795	0.54444	0.4	0.3	0.45067	0.18156	0.17071	0.14222	0.11863	0.4	0.18963	0.16364	0.09751	0.14222	0.11719	0.16667	0.16304	0.09524	0.12099	0.26144	0.21228	0.17604	0.33218	0.35679	0.13196	0.23438	0.13018	0.13961	0.13067	0.24	0.22989	0.22937	0.16	0.21	0.13889	0.17193	0.44083	0.13333	0.2194	0.23202	0.17093	0.33103	0.27736	0.15628	0.18561	0.26318	0.16609	0.2381	0.25608	0.33218	0.29333	0.47419	0.09494	0.06536	0.12686	0.24198	0.31111	0.12519	0.33333	0.18148	0.22727	0.25603	0.12308	0.20769	0.20056	0.27778	0.46829	0.14444	0.29189	0.13011	0.20864	0.25931	0.32523	0.2188	0.19324	0.20952	0.24701	0.23063	0.225	0.17455	0.20513	0.16615	0.21505	0.28167	0.10841	0.12742	0.21429	0.16	0.18778	0.24083	0.2381	0.14545	0.39216	0.16271	0.32552	0.31957	0.23333	0.18779	0.28824	0.2	0.37241	0.18889	0.15484	0.17705	0.3	0.20395	0.18947	0.10159	0.11893	0.19737	0.17857	0.2027	0.24381
D00079	0.05833	0.245	1.0	0.36312	0.216	0.72026	0.3	0.3125	0.11202	0.04267	0.95	0.0375	0.16552	0.27273	0.06533	0.18	0.14203	0.08721	0.05376	0.15	0.05079	0.07824	0.13393	0.06173	0.2057	0.27801	0.14211	0.22456	0.1603	0.42215	0.11202	0.10833	0.17419	0.075	0.11719	0.22608	0.08571	0.11691	0.19675	0.79064	0.17927	0.12801	0.30471	0.20032	0.17927	0.1855	0.33353	0.13018	0.08048	0.24	0.04219	0.08276	0.06486	0.045	0.31148	0.27816	0.07222	0.1308	0.12931	0.14222	0.11696	0.15468	0.07758	0.13364	0.17067	0.2371	0.08571	0.2	0.08205	0.125	0.10744	0.05556	0.16609	0.17696	0.21353	0.04638	0.10432	0.1847	0.09078	0.12801	0.07769	0.1338	0.21429	0.10248	0.15873	0.15638	0.22147	0.17093	0.13674	0.07813	0.18462	0.7188	0.17113	0.13714	0.1225	0.17609	0.26694	0.13763	0.15236	0.27763	0.17993	0.04267	0.18519	0.27664	0.08284	0.25521	0.22857	0.18937	0.37026	0.15817	0.23379	0.2	0.10432	0.1338	0.17633	0.12801	0.26717	0.17361	0.05931	0.24691	0.10704	0.08182	0.07189	0.09	0.17604	0.10704	0.09275	0.06857	0.225	0.10588	0.76338	0.05208	0.18621	0.15802	0.07397	0.13333	0.23063	0.12778	0.09633	0.1337	0.15201	0.14325	0.02722	0.29167	0.14938	0.09868	0.135	0.05602	0.3592	0.33355	0.41008	0.16552	0.18113	0.15779	0.32439	0.15547	0.27615	0.21696	0.17884	0.16609	0.27273	0.21505	0.10211	0.17288	0.17314	0.27222	0.22937	0.14815	0.24	0.07824	0.18232	0.18759	0.07222	0.12821	0.3025	0.1784	0.21504	0.09615	0.19865	0.07742	0.07469	0.37279	0.14595	0.1094	0.70435	0.31255	0.17094	0.16261	0.15313	0.29333	0.8041	0.18692	0.10753	0.10083	0.09384	0.23758	0.19048	0.125	0.08	0.10667	0.15744	0.09899	0.14167	0.31201	0.23438	0.39457	0.17202	0.0939	0.20425	0.08403	0.16609	0.20425	0.04355	0.29754	0.16463	0.13672	0.33801	0.35	0.0823	0.14211	0.12857	0.19865	0.1719
D00094	0.03799	0.15957	0.36312	1.0	0.10298	0.33519	0.13787	0.14362	0.143	0.03064	0.33595	0.04787	0.10602	0.1706	0.10894	0.22979	0.11193	0.05987	0.06863	0.17369	0.06484	0.08511	0.14894	0.06383	0.14257	0.26075	0.20213	0.21948	0.15474	0.18216	0.16032	0.06628	0.11599	0.09574	0.13032	0.19767	0.09195	0.16312	0.13285	0.31392	0.29891	0.14667	0.18501	0.2766	0.29891	0.2119	0.22796	0.12938	0.10274	0.23457	0.08045	0.08877	0.08281	0.08582	0.18913	0.3551	0.0922	0.13367	0.08877	0.07092	0.10788	0.19746	0.05571	0.15474	0.16681	0.11599	0.12842	0.1773	0.10475	0.07092	0.1098	0.05745	0.16508	0.20275	0.19625	0.0592	0.09535	0.23579	0.11589	0.13083	0.09918	0.1708	0.2383	0.10186	0.18288	0.16342	0.19077	0.28501	0.15667	0.08688	0.16367	0.27932	0.21846	0.14711	0.12801	0.20845	0.14184	0.1757	0.17291	0.15028	0.08511	0.05447	0.26064	0.15696	0.07572	0.16622	0.09929	0.19272	0.18854	0.18398	0.16788	0.09535	0.13318	0.19149	0.18766	0.16342	0.2579	0.15638	0.07572	0.20173	0.12104	0.10445	0.04573	0.09078	0.13298	0.15319	0.07817	0.08754	0.24626	0.12057	0.28667	0.05386	0.05943	0.15445	0.09443	0.17021	0.19436	0.11132	0.10894	0.15319	0.10602	0.08561	0.03475	0.16079	0.10087	0.12598	0.13617	0.07151	0.21467	0.18925	0.19396	0.19406	0.11602	0.1727	0.17559	0.18292	0.14674	0.1098	0.2283	0.18782	0.15474	0.13452	0.13035	0.22069	0.20955	0.22774	0.17123	0.18913	0.25745	0.08511	0.2579	0.23947	0.12275	0.23568	0.15638	0.20173	0.13285	0.13966	0.23002	0.08305	0.11348	0.19556	0.09718	0.13966	0.3358	0.20144	0.13966	0.14721	0.1773	0.17408	0.2946	0.27529	0.11119	0.05213	0.07667	0.1471	0.19696	0.13901	0.08582	0.11968	0.1098	0.14507	0.18085	0.17328	0.17586	0.18501	0.07599	0.09709	0.2403	0.08865	0.21203	0.1506	0.05559	0.13952	0.21016	0.13018	0.12094	0.44681	0.11584	0.16181	0.18288	0.11271	0.13678
D00095	0.34571	0.588	0.216	0.10298	1.0	0.17785	0.2592	0.30083	0.3014	0.2704	0.22737	0.21778	0.30414	0.10473	0.2048	0.432	0.44522	0.2093	0.21806	0.26449	0.19048	0.25	0.11571	0.29037	0.18085	0.19149	0.20632	0.21053	0.21018	0.17753	0.2093	0.26	0.33032	0.18	0.32	0.18645	0.32143	0.16754	0.28195	0.17965	0.19122	0.21787	0.34783	0.19692	0.16488	0.13008	0.1219	0.24324	0.25714	0.225	0.125	0.31034	0.21189	0.13333	0.25689	0.2331	0.20103	0.2513	0.31034	0.432	0.17965	0.22737	0.18618	0.21018	0.1296	0.2529	0.28	0.1875	0.15077	0.26133	0.23143	0.26133	0.3531	0.38118	0.24894	0.17391	0.29037	0.09443	0.19149	0.27574	0.20903	0.44444	0.22857	0.16681	0.38095	0.24596	0.29898	0.18233	0.20455	0.21333	0.19692	0.14821	0.24845	0.20629	0.19267	0.25565	0.24067	0.41806	0.13164	0.09225	0.23592	0.2704	0.21778	0.14459	0.19882	0.2205	0.30857	0.16754	0.12062	0.20078	0.15836	0.92593	0.29037	0.21778	0.3528	0.19149	0.20485	0.216	0.19882	0.21333	0.22756	0.17515	0.17254	0.15	0.16	0.2	0.2513	0.16457	0.18963	0.28314	0.17053	0.245	0.49793	0.65333	0.17753	0.245	0.17514	0.16754	0.18	0.17422	0.24897	0.24381	0.192	0.27657	0.18963	0.15158	0.289	0.16	0.21552	0.21053	0.16791	0.27586	0.33283	0.18753	0.20379	0.26328	0.24897	0.20643	0.16254	0.60828	0.45455	0.80645	0.11392	0.06353	0.11511	0.29037	0.3219	0.2	0.324	0.28444	0.39273	0.37532	0.14769	0.27769	0.24067	0.33333	0.4722	0.29641	0.43243	0.2529	0.25037	0.21235	0.52324	0.14769	0.16754	0.20779	0.26256	0.27676	0.30083	0.16036	0.19938	0.24615	0.20903	0.45	0.13009	0.11364	0.37029	0.108	0.3	0.289	0.25786	0.23758	0.47059	0.13559	0.33063	0.19565	0.24143	0.24845	0.20078	0.24	0.60828	0.28314	0.18581	0.18951	0.23592	0.17356	0.20281	0.09333	0.16	0.17789	0.27524	0.27676	0.224
D00106	0.03956	0.20513	0.72026	0.33519	0.17785	1.0	0.29569	0.28846	0.12916	0.03938	0.70202	0.03462	0.15279	0.32336	0.07877	0.16615	0.11304	0.09159	0.06005	0.13846	0.04689	0.07222	0.12363	0.06895	0.18001	0.27529	0.13117	0.20729	0.12336	0.42677	0.12916	0.1	0.11166	0.08125	0.09423	0.23846	0.05495	0.10792	0.18161	0.57112	0.18161	0.14435	0.301	0.18491	0.18161	0.19024	0.33864	0.13472	0.08615	0.20346	0.05817	0.08966	0.07027	0.06205	0.28752	0.2122	0.07732	0.12074	0.13581	0.13128	0.10796	0.15547	0.07161	0.11189	0.17785	0.2402	0.07912	0.16955	0.07574	0.11538	0.09918	0.06205	0.13581	0.181	0.18534	0.04281	0.06895	0.18386	0.0946	0.11817	0.07171	0.1235	0.18484	0.0946	0.16154	0.15843	0.2193	0.17317	0.1542	0.09263	0.1432	0.61854	0.14648	0.11626	0.10256	0.13935	0.23077	0.12705	0.15718	0.30617	0.13846	0.03938	0.15427	0.29054	0.07647	0.22231	0.21099	0.16254	0.36	0.13303	0.30432	0.16467	0.0963	0.1094	0.17723	0.14435	0.20559	0.17333	0.06516	0.2057	0.0988	0.07552	0.05878	0.09256	0.17524	0.12342	0.08562	0.07429	0.20769	0.1089	0.65769	0.05817	0.15332	0.12821	0.06828	0.12308	0.24033	0.13935	0.09969	0.12342	0.15279	0.13223	0.03282	0.25407	0.11396	0.09109	0.11115	0.07222	0.34925	0.30789	0.37853	0.15279	0.1672	0.14565	0.28567	0.12147	0.25491	0.1717	0.16508	0.15332	0.25175	0.17916	0.11217	0.146	0.17709	0.30142	0.21172	0.15077	0.22154	0.08376	0.20559	0.17316	0.07732	0.13047	0.33231	0.16467	0.1985	0.10099	0.16632	0.07146	0.0963	0.36199	0.13472	0.12781	0.91327	0.31968	0.17396	0.1501	0.14135	0.30895	0.59172	0.17254	0.08958	0.09308	0.09369	0.2193	0.19385	0.11538	0.07385	0.08654	0.15824	0.1049	0.13077	0.33911	0.20216	0.4097	0.14066	0.07822	0.18854	0.07756	0.13581	0.20392	0.04963	0.24237	0.15196	0.12621	0.27638	0.32308	0.09193	0.13117	0.14652	0.18337	0.12703
D00110	0.24143	0.216	0.3	0.13787	0.2592	0.29569	1.0	0.48167	0.20512	0.1152	0.31579	0.125	0.13793	0.396	0.1764	0.216	0.28174	0.18605	0.14516	0.27592	0.09524	0.20056	0.14	0.21407	0.30154	0.28766	0.11842	0.15158	0.16036	0.43836	0.31442	0.11077	0.25806	0.18063	0.25	0.18581	0.23143	0.2113	0.32976	0.3593	0.10976	0.26596	0.25043	0.26	0.10976	0.15626	0.32595	0.21622	0.20629	0.288	0.16	0.24897	0.15622	0.17067	0.27778	0.22345	0.18513	0.21043	0.24897	0.294	0.20211	0.25579	0.14545	0.20945	0.1352	0.28452	0.16071	0.26042	0.07538	0.17067	0.17286	0.216	0.30414	0.19059	0.22612	0.08696	0.21407	0.15869	0.22511	0.17021	0.17065	0.16056	0.20829	0.20596	0.27429	0.24511	0.34712	0.10465	0.22	0.18375	0.24038	0.24641	0.19042	0.224	0.192	0.19594	0.38533	0.28452	0.13433	0.24667	0.29755	0.08	0.32	0.24934	0.15059	0.24025	0.34714	0.27855	0.25877	0.1898	0.37507	0.24	0.12519	0.14222	0.2304	0.28766	0.17515	0.32033	0.19059	0.16667	0.144	0.1603	0.13164	0.17633	0.30031	0.21511	0.19174	0.22857	0.29037	0.22588	0.25289	0.2025	0.39724	0.21407	0.18521	0.14063	0.25973	0.16696	0.1764	0.12844	0.29	0.13762	0.15	0.31114	0.12	0.21053	0.1445	0.18	0.45403	0.25289	0.41023	0.27034	0.31736	0.20364	0.27284	0.18657	0.4469	0.28	0.24889	0.24897	0.30582	0.28452	0.15823	0.15686	0.13827	0.26741	0.18667	0.30044	0.2	0.20056	0.19636	0.17021	0.13128	0.20346	0.32033	0.18963	0.28098	0.16615	0.19514	0.2329	0.16667	0.28265	0.26162	0.16615	0.27855	0.39506	0.22615	0.13838	0.15042	0.24891	0.31508	0.24123	0.18581	0.324	0.15153	0.19236	0.18514	0.13067	0.24067	0.2645	0.30036	0.26727	0.17	0.20763	0.28125	0.31696	0.14	0.14901	0.20745	0.14083	0.24897	0.3298	0.14516	0.20492	0.13224	0.14949	0.23719	0.16095	0.18	0.27842	0.21	0.19514	0.18514
D00113	0.25149	0.20069	0.3125	0.14362	0.30083	0.28846	0.48167	1.0	0.2563	0.10083	0.32895	0.13021	0.2069	0.23674	0.15042	0.25069	0.32699	0.1938	0.15121	0.20578	0.06349	0.23148	0.14583	0.25	0.41026	0.27704	0.15844	0.21491	0.13674	0.36986	0.1938	0.20513	0.32527	0.18815	0.3444	0.17776	0.24107	0.23671	0.31758	0.24708	0.14685	0.25532	0.23958	0.19391	0.14685	0.14245	0.25397	0.16273	0.19286	0.35208	0.09375	0.25934	0.14414	0.1	0.28935	0.25934	0.13675	0.1635	0.25934	0.25069	0.22844	0.24708	0.15152	0.27614	0.16333	0.32527	0.19048	0.36502	0.10256	0.17778	0.18006	0.225	0.3477	0.2212	0.25098	0.05797	0.25	0.1653	0.19548	0.14362	0.16263	0.1875	0.18601	0.21454	0.19841	0.19548	0.29696	0.14002	0.17093	0.14063	0.21194	0.2094	0.18339	0.14405	0.16806	0.18871	0.55556	0.24261	0.14941	0.21697	0.20578	0.14083	0.33333	0.1974	0.13787	0.23438	0.31002	0.17391	0.28846	0.21609	0.24001	0.27855	0.1304	0.13021	0.18375	0.25532	0.20455	0.25313	0.17708	0.25	0.16713	0.1392	0.1505	0.16806	0.22005	0.20417	0.2192	0.21488	0.22222	0.18015	0.23054	0.21094	0.44899	0.25	0.16438	0.14648	0.22072	0.17391	0.24	0.1338	0.30208	0.19841	0.15625	0.36458	0.13927	0.17763	0.10208	0.16725	0.31841	0.23054	0.31395	0.32328	0.4544	0.15584	0.25351	0.1791	0.79346	0.33482	0.22354	0.25934	0.36402	0.26882	0.1519	0.13235	0.12605	0.25	0.28671	0.22407	0.16875	0.20891	0.2279	0.21454	0.15438	0.21194	0.35556	0.22299	0.31758	0.13675	0.22523	0.26882	0.17361	0.29442	0.24831	0.17308	0.27174	0.29464	0.17308	0.20327	0.15668	0.21894	0.30801	0.28846	0.13441	0.37604	0.12688	0.20038	0.21488	0.13611	0.27778	0.20833	0.31287	0.25253	0.19853	0.21628	0.33333	0.43524	0.14583	0.21391	0.25531	0.17014	0.31681	0.39257	0.17204	0.30738	0.13776	0.15572	0.35124	0.16766	0.16075	0.24178	0.16071	0.18243	0.1006
D00136	0.28073	0.17442	0.11202	0.143	0.3014	0.12916	0.20512	0.2563	1.0	0.26884	0.11791	0.31266	0.19407	0.15264	0.39116	0.34186	0.40445	0.2861	0.46887	0.61509	0.134	0.43669	0.1005	0.49612	0.27211	0.21821	0.15667	0.17625	0.20465	0.19911	0.39427	0.15116	0.36309	0.45422	0.35174	0.25356	0.43937	0.26424	0.20476	0.11791	0.16393	0.33449	0.26744	0.19723	0.14521	0.21857	0.12209	0.25141	0.41528	0.39302	0.26235	0.35365	0.39283	0.27984	0.14935	0.20529	0.4031	0.36855	0.28949	0.22403	0.31987	0.34313	0.28584	0.38055	0.11256	0.14704	0.21262	0.3532	0.17889	0.22403	0.37375	0.37519	0.46191	0.30164	0.24624	0.12235	0.27907	0.13763	0.21821	0.30925	0.25356	0.43669	0.2794	0.19792	0.37431	0.41613	0.37879	0.1563	0.21142	0.30281	0.2576	0.10763	0.37864	0.26047	0.24225	0.34513	0.24225	0.39685	0.23759	0.13094	0.32084	0.18233	0.40375	0.14945	0.46238	0.15378	0.19989	0.30334	0.12916	0.24122	0.19911	0.27907	0.1938	0.16537	0.22512	0.23949	0.18041	0.28256	0.39398	0.12403	0.34935	0.31712	0.27213	0.20504	0.3056	0.34935	0.34176	0.41528	0.31395	0.43821	0.11047	0.38445	0.20529	0.34453	0.28672	0.18605	0.19642	0.19414	0.26791	0.14935	0.36087	0.14175	0.31008	0.38405	0.26916	0.26989	0.2564	0.31266	0.23464	0.16187	0.16901	0.31435	0.25274	0.3289	0.153	0.37799	0.21211	0.25955	0.2691	0.35365	0.26427	0.30008	0.26494	0.13178	0.20495	0.12403	0.11074	0.40517	0.2564	0.50646	0.31078	0.23949	0.17233	0.35063	0.20504	0.2205	0.38344	0.28861	0.3325	0.43211	0.2205	0.15082	0.39283	0.34347	0.13482	0.20417	0.26297	0.20365	0.27907	0.15412	0.12916	0.4136	0.33758	0.22791	0.18856	0.12949	0.29302	0.0938	0.52403	0.39302	0.37375	0.51374	0.46238	0.13323	0.3492	0.14611	0.14037	0.31477	0.285	0.21802	0.38813	0.33242	0.27082	0.13763	0.25107	0.26646	0.14729	0.134	0.27591	0.29621	0.29291	0.27718	0.13023
D00139	0.23143	0.192	0.04267	0.03064	0.2704	0.03938	0.1152	0.10083	0.26884	1.0	0.04491	0.36	0.24897	0.03564	0.2888	0.22533	0.21043	0.26884	0.41806	0.26449	0.19048	0.28444	0.05143	0.33333	0.11077	0.10298	0.10526	0.10316	0.23564	0.05479	0.26884	0.30154	0.15613	0.32	0.245	0.16516	0.28	0.25565	0.24976	0.04491	0.09756	0.24596	0.19565	0.13	0.07902	0.13008	0.06857	0.21189	0.33029	0.1	0.32	0.3531	0.24324	0.34133	0.15022	0.06759	0.23077	0.28174	0.27034	0.26133	0.15789	0.15789	0.26255	0.16364	0.04	0.10452	0.28	0.08333	0.02769	0.108	0.20643	0.26133	0.1669	0.16941	0.15247	0.17391	0.14815	0.05311	0.27574	0.34043	0.28452	0.32111	0.18514	0.16681	0.21429	0.19149	0.19593	0.09302	0.17818	0.30083	0.15077	0.02513	0.18254	0.20629	0.26667	0.18783	0.08067	0.15613	0.13164	0.02919	0.20898	0.2304	0.13444	0.08393	0.38118	0.0845	0.16095	0.14841	0.04985	0.11294	0.14027	0.25037	0.21333	0.13444	0.2592	0.16681	0.05939	0.15	0.30118	0.03704	0.25689	0.21879	0.15284	0.216	0.16	0.2	0.19565	0.29257	0.21407	0.31373	0.02579	0.245	0.13793	0.25037	0.17753	0.18	0.12162	0.13043	0.2048	0.25689	0.19931	0.21429	0.26133	0.16514	0.24	0.20632	0.324	0.18778	0.13433	0.06368	0.05628	0.17655	0.21811	0.16831	0.05095	0.19343	0.08345	0.16071	0.20571	0.2331	0.12291	0.21806	0.16405	0.02824	0.11511	0.03704	0.03048	0.2	0.144	0.36	0.17455	0.16681	0.26256	0.24923	0.15	0.21333	0.28195	0.29641	0.1827	0.21806	0.48	0.07118	0.31243	0.29641	0.0371	0.11688	0.17333	0.24324	0.30083	0.08182	0.03938	0.15754	0.25806	0.128	0.15892	0.08018	0.16457	0.048	0.26133	0.289	0.20643	0.23758	0.34	0.09797	0.2025	0.05565	0.28	0.20338	0.22667	0.135	0.2331	0.17647	0.21806	0.12852	0.32653	0.15254	0.15789	0.03048	0.19753	0.20632	0.24381	0.24324	0.25714
