data	D00035	D00110	D00136	D00195	D00219	D00225	D00227	D00228	D00234	D00252	D00274	D00283	D00293	D00294	D00303	D00319	D00326	D00329	D00331	D00332	D00335	D00336	D00338	D00340	D00345	D00349	D00351	D00354	D00358	D00364	D00367	D00373	D00379	D00380	D00392	D00394	D00418	D00437	D00438	D00451	D00456	D00464	D00474	D00477	D00480	D00495	D00499	D00504	D00512	D00513	D00519	D00521	D00524	D00528	D00530	D00533	D00536	D00537	D00538	D00539	D00542	D00543	D00544	D00545	D00546	D00547	D00548	D00549	D00550	D00552	D00553	D00560	D00563	D00574	D00593	D00594	D00607	D00611	D00615	D00616	D00617	D00618	D00619	D00629	D00631	D00633	D00636	D00638	D00639	D00640	D00642	D00647	D00648	D00649	D00650	D00651	D00654	D00656	D00658	D00677	D00678	D00694	D00697	D00704	D00708	D00709	D00711	D00726	D00732	D00733	D00735	D00738	D00739	D00740	D00741	D00759	D00760	D00761	D00765	D00771	D00775	D00779	D00791	D00798	D00799	D00809	D00812	D00816	D00823	D00831	D00960	D00963	D00964	D01071	D01108	D01111	D01118	D01242	D01243	D01253	D01256	D01275	D01287	D01295	D01350	D01448	D01450	D01453	D01575	D01599	D01603	D01712	D01768	D01799	D01828	D01854	D01969	D02041	D02086	D02087	D02088	D02092	D02098	D02101	D02163	D02173	D02204	D02207	D02234	D02237	D02253	D02261	D02262	D02272	D02347	D02356	D02360	D02362	D02409	D02461	D02485	D02546	D02566	D02630	D02914	D03037	D03180	D03274	D03365	D03450	D03580	D03742	D03826	D03830	D03878	D03991	D04034	D04048	D04370	D04790	D04985	D04999	D05024	D05077	D05156	D05453	D05458	D05461	D06106	D06172
D00035	1.0	0.32111	0.10465	0.24105	0.2	0.03858	0.09579	0.10774	0.07111	0.16071	0.13719	0.07562	0.08507	0.10082	0.10714	0.17778	0.08007	0.10976	0.11842	0.2924	0.15094	0.14545	0.1125	0.13636	0.06331	0.16327	0.18657	0.03292	0.13675	0.18605	0.08249	0.10159	0.18673	0.1147	0.27778	0.11111	0.15517	0.15385	0.13115	0.21622	0.08249	0.0625	0.13675	0.12698	0.0625	0.21429	0.19157	0.21429	0.13636	0.12261	0.10458	0.09747	0.14222	0.09722	0.08889	0.14516	0.24897	0.18148	0.14815	0.19753	0.06838	0.07716	0.09921	0.07716	0.07716	0.06313	0.30287	0.16931	0.03754	0.23684	0.11836	0.06349	0.06667	0.15517	0.10842	0.28671	0.13115	0.14815	0.14444	0.21186	0.13413	0.14035	0.10288	0.14545	0.1292	0.0731	0.11111	0.17071	0.12963	0.15432	0.1708	0.13181	0.09484	0.13636	0.10893	0.1182	0.1125	0.05	0.1125	0.19161	0.09117	0.13444	0.16806	0.20915	0.14222	0.28009	0.10889	0.1147	0.15517	0.18673	0.25	0.12261	0.12261	0.16071	0.15	0.0862	0.0597	0.12136	0.14464	0.05229	0.05556	0.15432	0.09	0.0961	0.05671	0.11111	0.07143	0.09387	0.07562	0.19444	0.1125	0.20492	0.09877	0.24242	0.03754	0.2094	0.10458	0.13333	0.10889	0.10159	0.14303	0.16218	0.15432	0.1	0.05788	0.11736	0.13235	0.11852	0.10503	0.17236	0.15781	0.10714	0.16835	0.19771	0.06806	0.15652	0.09579	0.15094	0.12698	0.16667	0.14222	0.13181	0.17361	0.11551	0.1467	0.19161	0.09357	0.1047	0.08509	0.15686	0.13224	0.24521	0.13269	0.13723	0.13444	0.10684	0.16396	0.21835	0.13181	0.19114	0.04949	0.2907	0.08781	0.05735	0.1467	0.09259	0.19841	0.15143	0.17778	0.12903	0.12072	0.22354	0.16218	0.20069	0.2094	0.24074	0.06338	0.18168	0.19976	0.22575	0.15432	0.36111	0.20317	0.17391	0.19114	0.15	0.11765	0.07278	0.17921	0.15459
D00110	0.32111	1.0	0.20512	0.30508	0.1445	0.125	0.13793	0.07333	0.1764	0.20643	0.27592	0.20056	0.25	0.10667	0.2519	0.30044	0.19059	0.25805	0.19	0.15158	0.15094	0.16036	0.242	0.15515	0.20512	0.27592	0.28687	0.10667	0.30769	0.31442	0.17515	0.112	0.125	0.25806	0.196	0.18063	0.11655	0.26	0.23902	0.21622	0.29333	0.1225	0.30769	0.28571	0.16	0.18667	0.22345	0.30857	0.21879	0.24897	0.21235	0.25579	0.1352	0.16071	0.2	0.28452	0.39185	0.22533	0.24083	0.21778	0.07538	0.09	0.11571	0.09	0.09	0.09091	0.37161	0.16095	0.12162	0.26947	0.34783	0.17286	0.216	0.30414	0.17065	0.28	0.15869	0.21333	0.22431	0.22915	0.25714	0.23719	0.19593	0.26509	0.24605	0.10526	0.1444	0.14545	0.21429	0.245	0.30723	0.14157	0.1699	0.17515	0.15686	0.20596	0.1445	0.1125	0.128	0.41796	0.29538	0.16	0.3125	0.11765	0.3528	0.27	0.32	0.28452	0.30414	0.245	0.16	0.33379	0.15517	0.315	0.15	0.17503	0.13433	0.1866	0.24667	0.09529	0.08	0.32	0.1296	0.10595	0.10667	0.18063	0.16071	0.17655	0.18	0.26036	0.1445	0.23902	0.14222	0.17515	0.07784	0.52654	0.19059	0.17633	0.32	0.09657	0.15362	0.29172	0.405	0.21511	0.11344	0.15625	0.33882	0.15	0.18	0.13128	0.16696	0.13762	0.15515	0.09941	0.1445	0.30678	0.19862	0.46226	0.28571	0.16667	0.2592	0.28588	0.14063	0.19698	0.16531	0.29755	0.11842	0.17308	0.15823	0.15686	0.17606	0.27034	0.2514	0.24684	0.16	0.20346	0.32976	0.36465	0.15686	0.30857	0.19236	0.36465	0.2329	0.17065	0.245	0.17633	0.23143	0.18581	0.324	0.20161	0.20586	0.37333	0.24747	0.21025	0.32346	0.20513	0.14901	0.39405	0.43574	0.32508	0.20056	0.40692	0.24029	0.17391	0.27524	0.294	0.23059	0.14899	0.20903	0.28174
D00136	0.10465	0.20512	1.0	0.11391	0.18837	0.31266	0.19407	0.15856	0.39116	0.43937	0.61509	0.43669	0.4186	0.24892	0.43411	0.27339	0.4275	0.51049	0.26989	0.17625	0.17552	0.20465	0.39302	0.20366	0.31152	0.25107	0.27213	0.27907	0.43292	0.39427	0.5525	0.1701	0.10917	0.36309	0.19651	0.45422	0.09703	0.19723	0.18452	0.25141	0.31078	0.4186	0.39445	0.40199	0.26235	0.21705	0.20529	0.32004	0.44045	0.28949	0.19767	0.34313	0.11256	0.21262	0.36337	0.43211	0.31094	0.13992	0.24806	0.21835	0.17889	0.15633	0.201	0.1292	0.1292	0.20719	0.33083	0.2835	0.30421	0.35373	0.36502	0.37375	0.37519	0.46191	0.27344	0.32558	0.13763	0.21802	0.20608	0.14229	0.2794	0.19747	0.33764	0.18647	0.33802	0.2399	0.26791	0.16913	0.24917	0.43669	0.1425	0.33242	0.30444	0.22833	0.2207	0.28501	0.18837	0.20988	0.23256	0.25107	0.28861	0.2907	0.30756	0.16553	0.37209	0.18992	0.33581	0.39685	0.38813	0.28488	0.21003	0.38813	0.23176	0.40199	0.19845	0.17266	0.23759	0.20321	0.13094	0.19699	0.18233	0.40375	0.26791	0.16091	0.2563	0.45422	0.40199	0.42422	0.40375	0.21968	0.20988	0.12352	0.28488	0.18041	0.02263	0.21646	0.39398	0.20504	0.33581	0.23987	0.17862	0.13531	0.31266	0.34935	0.05451	0.21192	0.36183	0.22403	0.2093	0.11688	0.19414	0.14175	0.18041	0.0985	0.2564	0.182	0.31435	0.21237	0.40199	0.2345	0.3014	0.59097	0.18605	0.1131	0.22711	0.13716	0.10343	0.20125	0.26494	0.13178	0.14445	0.10265	0.15068	0.15583	0.24605	0.35063	0.35451	0.19524	0.2207	0.2835	0.3556	0.1563	0.43211	0.63053	0.2649	0.34884	0.21262	0.33758	0.22791	0.23443	0.1182	0.12458	0.22575	0.21192	0.30233	0.23852	0.31477	0.3325	0.26175	0.13326	0.2093	0.35778	0.31927	0.24469	0.18715	0.37519	0.35021	0.2742	0.2168	0.3276
D00195	0.24105	0.30508	0.11391	1.0	0.13729	0.07957	0.11689	0.11556	0.12237	0.1023	0.13836	0.07957	0.11917	0.07596	0.10331	0.10885	0.08425	0.09301	0.08742	0.12846	0.12792	0.1359	0.09534	0.10067	0.07726	0.13836	0.15811	0.05085	0.12777	0.11391	0.07396	0.1569	0.13606	0.10716	0.10254	0.07627	0.1315	0.11767	0.12253	0.14842	0.14843	0.10381	0.09387	0.1362	0.07627	0.08071	0.11455	0.08071	0.07396	0.14962	0.08425	0.10734	0.09763	0.11864	0.09534	0.12302	0.0904	0.25424	0.07062	0.11394	0.02086	0.0339	0.04358	0.0339	0.0339	0.03775	0.15801	0.11622	0.08978	0.12846	0.12454	0.12107	0.08136	0.1315	0.09869	0.2046	0.11114	0.13842	0.12621	0.25855	0.11719	0.14392	0.15191	0.11125	0.12771	0.15076	0.12237	0.1359	0.11622	0.13606	0.33339	0.10768	0.09861	0.0868	0.09605	0.08114	0.09534	0.05127	0.08305	0.19924	0.15689	0.09797	0.12246	0.0997	0.08203	0.1589	0.11458	0.12302	0.1315	0.12053	0.17161	0.16891	0.16891	0.1362	0.14463	0.17268	0.11384	0.29027	0.25668	0.12064	0.08203	0.12053	0.07627	0.16537	0.07945	0.08951	0.08717	0.08416	0.09228	0.14649	0.08305	0.34037	0.09228	0.13148	0.07742	0.25554	0.07178	0.09153	0.13288	0.08184	0.11684	0.31656	0.18832	0.09642	0.12039	0.09343	0.16152	0.14463	0.10593	0.14081	0.08868	0.10331	0.14843	0.12762	0.08305	0.21282	0.15459	0.26895	0.1362	0.12747	0.09763	0.14656	0.15307	0.42446	0.08581	0.55344	0.10036	0.22311	0.10384	0.10768	0.09549	0.35798	0.33632	0.32001	0.09797	0.14374	0.13394	0.26646	0.10768	0.24718	0.07889	0.26646	0.0924	0.079	0.0956	0.09153	0.11864	0.09869	0.14322	0.09869	0.44361	0.49435	0.28779	0.2036	0.15776	0.17384	0.05371	0.20202	0.19077	0.25854	0.10593	0.11017	0.16368	0.13301	0.24718	0.11073	0.08076	0.09578	0.10716	0.08917
D00219	0.2	0.1445	0.18837	0.13729	1.0	0.11736	0.19009	0.19394	0.1445	0.20089	0.24694	0.11736	0.22578	0.40833	0.2381	0.245	0.32426	0.2439	0.2375	0.33684	0.75472	0.72727	0.22563	0.27348	0.36337	0.29388	0.1806	0.11204	0.21635	0.16802	0.14848	0.20643	0.80278	0.26129	0.21125	0.13203	0.27931	0.325	0.34467	0.21892	0.17045	0.2	0.21635	0.20089	0.17578	0.26786	0.34483	0.23333	0.21894	0.14569	0.32426	0.29649	0.1	0.25804	0.22563	0.23306	0.20833	0.18375	0.15	0.23472	0.12308	0.13889	0.14464	0.1125	0.1125	0.1375	0.20645	0.30476	0.11419	0.29605	0.24457	0.17857	0.1875	0.19397	0.55202	0.23616	0.25615	0.17604	0.30154	0.26483	0.34321	0.36886	0.18519	0.33136	0.2564	0.25789	0.3125	0.40909	0.20119	0.30625	0.16622	0.28235	0.22727	0.17045	0.28235	0.25745	0.27563	0.36	0.3025	0.1	0.14423	0.162	0.25	0.17794	0.225	0.15	0.196	0.23306	0.19397	0.30625	0.52812	0.19397	0.27931	0.20089	0.3675	0.18561	0.16791	0.1517	0.14077	0.14706	0.169	0.13611	0.1805	0.19527	0.18802	0.1125	0.10804	0.12414	0.30625	0.17857	0.22563	0.14795	0.225	0.43636	0.08176	0.19231	0.10588	0.16667	0.225	0.23143	0.35957	0.17071	0.15625	0.22222	0.07235	0.19531	0.16544	0.24083	0.12656	0.74103	0.15978	0.19286	0.40076	0.75294	0.27563	0.22261	0.19009	0.09245	0.20089	0.35208	0.225	0.23725	0.45	0.1036	0.17227	0.14745	0.09474	0.12716	0.12658	0.28235	0.25669	0.19009	0.15062	0.15577	0.338	0.19231	0.10305	0.18837	0.30637	0.28601	0.18182	0.18837	0.13629	0.16129	0.225	0.22042	0.35714	0.29395	0.10125	0.27258	0.10827	0.13393	0.24268	0.26281	0.12308	0.40064	0.17042	0.15203	0.10426	0.19206	0.33611	0.21635	0.1575	0.36739	0.20119	0.14083	0.21176	0.25116	0.32258	0.24457
D00225	0.03858	0.125	0.31266	0.07957	0.11736	1.0	0.15517	0.24327	0.34722	0.28671	0.27438	0.27855	0.25087	0.17387	0.23876	0.1784	0.26471	0.21951	0.16447	0.09357	0.16981	0.14596	0.20069	0.12121	0.2332	0.14512	0.23881	0.29733	0.2094	0.2332	0.44529	0.25714	0.11111	0.17563	0.13889	0.28125	0.07759	0.13675	0.11658	0.16892	0.27273	0.4592	0.18056	0.19444	0.25087	0.10714	0.07759	0.19048	0.3367	0.21552	0.11765	0.23587	0.05444	0.22321	0.30625	0.29032	0.14815	0.07824	0.1956	0.09877	0.07692	0.05556	0.09722	0.07562	0.07562	0.06187	0.20161	0.19048	0.91967	0.24708	0.20411	0.24008	0.3	0.18774	0.1147	0.19841	0.0551	0.09375	0.1235	0.12053	0.175	0.12476	0.20576	0.12929	0.2093	0.21053	0.245	0.11364	0.19048	0.27855	0.07565	0.19662	0.11223	0.14226	0.2402	0.19149	0.1	0.15625	0.15625	0.16383	0.23077	0.29389	0.30625	0.10458	0.21778	0.05671	0.16	0.22939	0.18774	0.22299	0.1467	0.18774	0.13793	0.19444	0.13333	0.12273	0.14013	0.16855	0.03604	0.32026	0.21778	0.15123	0.26889	0.24324	0.28009	0.28125	0.28671	0.31034	0.25	0.11161	0.15625	0.06557	0.25	0.10185	0.01201	0.12019	0.29493	0.26667	0.18778	0.20317	0.11584	0.12374	0.15123	0.29877	0.01509	0.16806	0.16013	0.20833	0.19141	0.12037	0.14533	0.11177	0.12121	0.09886	0.225	0.0872	0.19157	0.13417	0.19444	0.20891	0.21778	0.26362	0.125	0.08813	0.21007	0.12755	0.03582	0.16693	0.17018	0.03486	0.05634	0.10776	0.12144	0.12559	0.125	0.21368	0.271	0.14535	0.17647	0.14583	0.22273	0.05233	0.43369	0.21685	0.11111	0.28935	0.08036	0.25806	0.13889	0.06452	0.09211	0.11177	0.14843	0.12535	0.25855	0.18234	0.20696	0.14715	0.1708	0.04409	0.07716	0.18056	0.20992	0.218	0.05589	0.18148	0.23529	0.15698	0.08961	0.23671
D00227	0.09579	0.13793	0.19407	0.11689	0.19009	0.15517	1.0	0.15099	0.1669	0.22229	0.21992	0.19157	0.26078	0.25543	0.1642	0.20268	0.22363	0.24222	0.18149	0.15336	0.20332	0.19592	0.22802	0.20899	0.23095	0.21992	0.1876	0.25543	0.16976	0.21211	0.20899	0.14236	0.19157	0.24527	0.24914	0.1945	0.13377	0.1754	0.1628	0.29124	0.20899	0.21552	0.23939	0.19951	0.1945	0.29639	0.21463	0.23727	0.16928	0.23781	0.20284	0.16001	0.15517	0.32574	0.20862	0.22247	0.2069	0.13908	0.20761	0.24521	0.08488	0.09579	0.09975	0.09579	0.09579	0.11285	0.24527	0.26601	0.15098	0.2323	0.1919	0.22445	0.22989	0.23781	0.20273	0.17734	0.10204	0.1408	0.15279	0.19755	0.15394	0.16001	0.21584	0.18056	0.14475	0.2323	0.2331	0.15172	0.16092	0.2318	0.17627	0.22853	0.13654	0.16928	0.14909	0.17755	0.17241	0.20862	0.19009	0.18614	0.19496	0.18241	0.20862	0.14604	0.27586	0.18391	0.17655	0.22247	0.17182	0.21121	0.15571	0.17182	0.17182	0.17796	0.18621	0.14305	0.14874	0.18229	0.09708	0.14604	0.17655	0.15517	0.12448	0.15098	0.12967	0.1945	0.22229	0.21463	0.21121	0.13578	0.20862	0.1368	0.19157	0.18861	0.07875	0.19098	0.1643	0.43707	0.17655	0.28374	0.16178	0.15674	0.17289	0.16897	0.07185	0.12414	0.14655	0.33103	0.13039	0.17683	0.12094	0.47455	0.16928	0.18306	0.24828	0.11754	0.20095	0.20332	0.15764	0.17385	0.17655	0.21129	0.17457	0.09725	0.1188	0.15517	0.13113	0.1492	0.14753	0.07606	0.15177	0.15725	0.16472	0.17035	0.15207	0.20723	0.20353	0.12991	0.28431	0.17262	0.16583	0.14475	0.1802	0.1738	0.14251	0.16552	0.22229	0.20273	0.19397	0.12264	0.10163	0.10509	0.16736	0.20711	0.14622	0.15959	0.20423	0.16822	0.19406	0.13246	0.21121	0.19164	0.17956	0.18141	0.13875	0.16609	0.19878	0.1545	0.1802	0.1919
D00228	0.10774	0.07333	0.15856	0.11556	0.19394	0.24327	0.15099	1.0	0.26727	0.21212	0.17873	0.14226	0.27367	0.16162	0.16234	0.09697	0.17469	0.2136	0.1563	0.12919	0.25214	0.24298	0.21894	0.17998	0.15856	0.10451	0.16327	0.18967	0.11655	0.13813	0.20661	0.63117	0.21549	0.11828	0.09697	0.18561	0.17659	0.08392	0.09737	0.29566	0.17998	0.21307	0.14103	0.15584	0.24242	0.09235	0.06688	0.11688	0.17998	0.12644	0.15062	0.17225	0.09818	0.15584	0.14848	0.21994	0.1358	0.09899	0.12626	0.08249	0.0373	0.04209	0.05411	0.04209	0.04209	0.04959	0.11828	0.24387	0.26536	0.19298	0.13175	0.19535	0.19798	0.15047	0.17644	0.23864	0.08395	0.12626	0.1683	0.2265	0.17316	0.11962	0.20258	0.07934	0.22833	0.22967	0.29333	0.14105	0.1443	0.18939	0.15603	0.2145	0.1105	0.11111	0.2145	0.18633	0.14848	0.10909	0.17045	0.12121	0.17483	0.13636	0.12803	0.06417	0.12121	0.08081	0.17455	0.11828	0.15047	0.24327	0.24242	0.12644	0.30199	0.15584	0.22727	0.15445	0.14134	0.16946	0.04614	0.21569	0.20485	0.12121	0.19636	0.6421	0.20455	0.21307	0.24351	0.23511	0.18939	0.13853	0.17045	0.07154	0.27273	0.11111	0.00737	0.07051	0.17469	0.14596	0.14667	0.22165	0.2579	0.16192	0.10185	0.19461	0.02494	0.10947	0.10784	0.14545	0.22917	0.22455	0.12692	0.1039	0.26538	0.25758	0.27348	0.1054	0.18861	0.09663	0.13095	0.56818	0.14667	0.17172	0.27367	0.10552	0.13684	0.15832	0.06459	0.14103	0.20292	0.08556	0.06146	0.27638	0.1693	0.17508	0.21879	0.18881	0.12491	0.20366	0.17172	0.15909	0.14105	0.05708	0.19159	0.14125	0.08002	0.14596	0.06926	0.23656	0.12273	0.0826	0.11028	0.23377	0.19131	0.15152	0.11422	0.2805	0.13828	0.0991	0.10896	0.0481	0.08418	0.16783	0.14026	0.55402	0.05195	0.17071	0.11408	0.13531	0.07918	0.13175
D00234	0.07111	0.1764	0.39116	0.12237	0.1445	0.34722	0.1669	0.26727	1.0	0.34571	0.29755	0.37556	0.22563	0.16667	0.2519	0.17778	0.25941	0.28098	0.23211	0.12737	0.15094	0.176	0.2205	0.17515	0.20512	0.19755	0.38687	0.21407	0.24923	0.33907	0.4097	0.27657	0.14222	0.18645	0.1	0.4225	0.11655	0.15385	0.14459	0.21622	0.26727	0.33063	0.17308	0.23143	0.3025	0.11524	0.15517	0.18667	0.24242	0.22345	0.09941	0.31579	0.08	0.18286	0.242	0.31226	0.16667	0.09633	0.14083	0.13444	0.07538	0.09	0.11571	0.11111	0.11111	0.11	0.18645	0.24381	0.36541	0.20632	0.2513	0.41286	0.384	0.24897	0.20161	0.36571	0.11836	0.21333	0.19231	0.16407	0.17857	0.15474	0.40333	0.14545	0.24605	0.17789	0.2116	0.13127	0.18667	0.26889	0.11255	0.2451	0.1699	0.13636	0.2651	0.18766	0.1805	0.162	0.1805	0.2351	0.22615	0.2304	0.242	0.07529	0.18	0.12	0.2048	0.2329	0.22345	0.34722	0.18063	0.24897	0.30414	0.23143	0.15	0.24545	0.27597	0.25165	0.07207	0.23059	0.2048	0.245	0.3364	0.26162	0.32667	0.36	0.37786	0.36483	0.245	0.17286	0.1805	0.07377	0.245	0.08727	0.01351	0.16962	0.39765	0.28033	0.2312	0.22857	0.18766	0.14727	0.22222	0.30044	0.03402	0.24025	0.23529	0.17067	0.22781	0.14821	0.16696	0.13762	0.15515	0.09941	0.242	0.15652	0.37552	0.18264	0.23143	0.22042	0.2048	0.28588	0.18063	0.11281	0.30031	0.16327	0.08895	0.19692	0.25924	0.08824	0.09127	0.1669	0.18	0.18615	0.16	0.41885	0.2361	0.22512	0.17294	0.20024	0.26509	0.0786	0.37161	0.35129	0.15125	0.28033	0.14	0.35129	0.169	0.12903	0.11789	0.2519	0.20687	0.144	0.26	0.20513	0.2369	0.21622	0.24511	0.09175	0.14222	0.22231	0.37029	0.23	0.08595	0.24067	0.23059	0.21225	0.14516	0.22261
D00252	0.16071	0.20643	0.43937	0.1023	0.20089	0.28671	0.22229	0.21212	0.34571	1.0	0.29155	0.48016	0.49219	0.22354	0.27551	0.20317	0.34034	0.4608	0.33929	0.15226	0.17251	0.21039	0.47232	0.21212	0.29983	0.21064	0.258	0.16005	0.30907	0.5191	0.35065	0.22959	0.12004	0.25922	0.14464	0.64286	0.09975	0.17582	0.14988	0.27896	0.27706	0.4029	0.30907	0.21556	0.49219	0.13776	0.12315	0.4915	0.47727	0.31527	0.20588	0.22619	0.05143	0.18367	0.35714	0.83986	0.29762	0.04821	0.38095	0.12698	0.04396	0.0496	0.04082	0.0496	0.0496	0.02597	0.33295	0.2449	0.27896	0.27068	0.30435	0.28125	0.34405	0.27709	0.23041	0.28125	0.11475	0.12054	0.21978	0.17494	0.2699	0.1604	0.16931	0.16623	0.24003	0.18797	0.25786	0.1461	0.20578	0.4375	0.1231	0.22689	0.15909	0.1829	0.22689	0.33511	0.175	0.175	0.20089	0.21064	0.23443	0.34571	0.28929	0.10294	0.36571	0.07292	0.24143	0.1947	0.20813	0.25397	0.16071	0.27709	0.20813	0.21556	0.14405	0.12468	0.15352	0.1387	0.04633	0.2542	0.17286	0.22321	0.20643	0.21718	0.21503	0.5904	0.67474	0.65148	0.32143	0.16327	0.20089	0.05855	0.25397	0.15584	0.02413	0.15453	0.55567	0.34286	0.28	0.36837	0.19453	0.11688	0.22321	0.28651	0.02251	0.17857	0.23634	0.17143	0.27009	0.15476	0.25052	0.16667	0.13095	0.1271	0.22857	0.16429	0.15764	0.19474	0.28699	0.32813	0.32143	0.28011	0.13504	0.11331	0.22321	0.12318	0.04605	0.13736	0.30561	0.08473	0.06087	0.15764	0.14286	0.14774	0.23143	0.17582	0.34843	0.18688	0.28011	0.22491	0.34351	0.06728	0.29493	0.25403	0.14286	0.19286	0.12755	0.3318	0.21607	0.1129	0.11842	0.14371	0.15909	0.17857	0.24794	0.26465	0.2661	0.21718	0.2196	0.05669	0.09921	0.30907	0.29388	0.34239	0.09566	0.20119	0.30252	0.15947	0.11521	0.34938
