data	D00040	D00066	D00067	D00075	D00088	D00094	D00105	D00129	D00143	D00163	D00182	D00187	D00188	D00211	D00246	D00279	D00299	D00312	D00316	D00327	D00348	D00443	D00462	D00506	D00554	D00565	D00577	D00585	D00586	D00596	D00627	D00690	D00730	D00898	D00930	D00950	D00951	D00954	D00956	D00961	D00962	D00965	D01115	D01132	D01161	D01217	D01294	D01387	D01441	D01689	D02217	D02367	D04066	D05341
D00040	1.0	0.70838	0.33231	0.51303	0.48666	0.1844	0.36111	0.4617	0.80846	0.6814	0.48097	0.46731	0.54181	0.29397	0.38519	0.08025	0.53129	0.30166	0.16667	0.54623	0.1844	0.42872	0.63818	0.08376	0.35367	0.10285	0.07179	0.44462	0.0966	0.09919	0.05976	0.37762	0.08791	0.06443	0.43982	0.4931	0.38616	0.4931	0.41043	0.065	0.10116	0.10055	0.39144	0.10131	0.31121	0.67618	0.51425	0.54167	0.085	0.52504	0.06616	0.4357	0.3486	0.22039
D00066	0.70838	1.0	0.41143	0.6881	0.58001	0.19453	0.44709	0.39398	0.88154	0.67889	0.64509	0.38413	0.36807	0.25276	0.4769	0.11523	0.41742	0.31956	0.19078	0.7011	0.19453	0.43537	0.76216	0.1037	0.43788	0.10194	0.07664	0.55048	0.0945	0.12281	0.0576	0.48501	0.10884	0.07977	0.36153	0.66032	0.45917	0.66032	0.55048	0.08048	0.12524	0.10084	0.39752	0.13976	0.27909	0.95455	0.57143	0.55254	0.11503	0.71783	0.08192	0.56264	0.45191	0.21844
D00067	0.33231	0.41143	1.0	0.61633	0.52324	0.13787	0.88926	0.24641	0.38687	0.31471	0.57781	0.256	0.26087	0.17439	0.30422	0.16667	0.24381	0.73529	0.13885	0.36507	0.13787	0.30857	0.41143	0.13067	0.82793	0.16044	0.18514	0.32667	0.11907	0.12667	0.11645	0.27657	0.18667	0.16615	0.22612	0.56892	0.32988	0.56892	0.51627	0.08982	0.0989	0.12706	0.28174	0.14098	0.26923	0.41485	0.37556	0.2738	0.12082	0.33976	0.10321	0.49231	0.70618	0.18667
D00075	0.51303	0.6881	0.61633	1.0	0.75766	0.18759	0.71111	0.35919	0.59726	0.45996	0.87604	0.33333	0.33068	0.24459	0.50074	0.08889	0.38413	0.47451	0.14135	0.61056	0.18759	0.35	0.63519	0.10889	0.63477	0.09481	0.08048	0.47022	0.09922	0.09474	0.05269	0.45522	0.09603	0.08376	0.36255	0.86256	0.46265	0.86256	0.77356	0.05731	0.09132	0.10588	0.31957	0.09146	0.27857	0.68283	0.39835	0.45067	0.06598	0.5302	0.07619	0.74769	0.68848	0.22937
D00088	0.48666	0.58001	0.52324	0.75766	1.0	0.2096	0.52953	0.39917	0.50424	0.45294	0.78568	0.35743	0.36212	0.26993	0.55871	0.11261	0.35537	0.40242	0.18945	0.55501	0.2096	0.37066	0.55792	0.13018	0.58248	0.13243	0.11158	0.50613	0.11345	0.14817	0.07868	0.47516	0.10875	0.10014	0.39746	0.7736	0.52898	0.7736	0.71514	0.11475	0.13495	0.12825	0.38205	0.10679	0.32804	0.57514	0.40057	0.45459	0.0896	0.53482	0.08711	0.7237	0.51689	0.28378
D00094	0.1844	0.19453	0.13787	0.18759	0.2096	1.0	0.11387	0.27932	0.16799	0.15285	0.19149	0.25559	0.25933	0.20613	0.18534	0.15445	0.24341	0.11295	0.29828	0.18729	0.9579	0.22796	0.16346	0.15957	0.14674	0.17069	0.17568	0.19177	0.17862	0.19746	0.09918	0.19342	0.10132	0.19694	0.28936	0.18854	0.21559	0.18854	0.1773	0.13475	0.16788	0.18398	0.20814	0.16814	0.17045	0.18569	0.20594	0.20447	0.09443	0.22528	0.09726	0.20458	0.13798	0.44681
D00105	0.36111	0.44709	0.88926	0.71111	0.52953	0.11387	1.0	0.27445	0.4204	0.34057	0.63918	0.28356	0.29227	0.20807	0.32922	0.15432	0.28571	0.65387	0.12856	0.39671	0.11387	0.30181	0.44709	0.12099	0.89687	0.14856	0.17143	0.33802	0.12446	0.10526	0.09677	0.29929	0.17284	0.15385	0.26688	0.62934	0.33936	0.62934	0.56889	0.08317	0.09158	0.13108	0.30616	0.13053	0.29385	0.44893	0.33013	0.2963	0.11187	0.34858	0.09557	0.55157	0.79412	0.14903
D00129	0.4617	0.39398	0.24641	0.35919	0.39917	0.27932	0.27445	1.0	0.42269	0.44577	0.37039	0.69808	0.73746	0.26531	0.32821	0.10684	0.68513	0.23096	0.20735	0.38209	0.27932	0.36645	0.35897	0.1235	0.30261	0.1641	0.11868	0.31607	0.13148	0.11898	0.09119	0.29837	0.10317	0.11867	0.84842	0.36469	0.35589	0.36469	0.33094	0.10886	0.13769	0.1448	0.34838	0.12508	0.28529	0.39336	0.36467	0.36013	0.10116	0.36214	0.07418	0.39941	0.28676	0.2442
D00143	0.80846	0.88154	0.38687	0.59726	0.50424	0.16799	0.4204	0.42269	1.0	0.72482	0.55993	0.41213	0.39996	0.28757	0.41459	0.09342	0.44421	0.31694	0.17939	0.61299	0.16799	0.48045	0.71665	0.08408	0.41173	0.08491	0.07207	0.47781	0.08886	0.11548	0.05416	0.42349	0.086	0.07501	0.38788	0.57405	0.44956	0.57405	0.47781	0.06703	0.11777	0.09482	0.43868	0.13142	0.27571	0.84147	0.64142	0.48493	0.09896	0.63213	0.06823	0.50723	0.40584	0.2054
D00163	0.6814	0.67889	0.31471	0.45996	0.45294	0.15285	0.34057	0.44577	0.72482	1.0	0.43121	0.37371	0.36798	0.33853	0.41494	0.09579	0.39901	0.28414	0.14943	0.50769	0.15285	0.41393	0.65681	0.09808	0.33314	0.11264	0.07389	0.38314	0.11788	0.11615	0.05358	0.3641	0.0925	0.06631	0.39432	0.44209	0.389	0.44209	0.36797	0.0976	0.11479	0.11922	0.42029	0.11214	0.30327	0.64803	0.54548	0.45621	0.10644	0.50318	0.0741	0.40743	0.32725	0.17734
