data	D00049	D00059	D00079	D00094	D00095	D00106	D00110	D00113	D00136	D00139	D00180	D00225	D00227	D00232	D00234	D00235	D00241	D00255	D00270	D00274	D00281	D00283	D00295	D00300	D00301	D00306	D00318	D00332	D00336	D00356	D00364	D00371	D00380	D00394	D00397	D00400	D00410	D00411	D00415	D00419	D00422	D00426	D00432	D00437	D00440	D00442	D00443	D00451	D00454	D00465	D00480	D00483	D00493	D00494	D00498	D00499	D00503	D00509	D00513	D00514	D00520	D00521	D00522	D00523	D00524	D00525	D00528	D00540	D00542	D00559	D00560	D00563	D00574	D00598	D00601	D00604	D00606	D00607	D00609	D00613	D00627	D00632	D00635	D00645	D00646	D00665	D00666	D00673	D00674	D00675	D00676	D00682	D00683	D00684	D00687	D00688	D00715	D00726	D00760	D00765	D00769	D00775	D00779	D00780	D00790	D00837	D00838	D00845	D00954	D00965	D00987	D00996	D01020	D01022	D01024	D01051	D01071	D01103	D01118	D01126	D01164	D01227	D01236	D01242	D01269	D01295	D01297	D01324	D01332	D01346	D01352	D01358	D01386	D01390	D01441	D01454	D01462	D01603	D01652	D01692	D01699	D01712	D01713	D01717	D01745	D01782	D01828	D01871	D01891	D01925	D01964	D01965	D01973	D01994	D02007	D02066	D02070	D02076	D02082	D02147	D02149	D02150	D02234	D02237	D02250	D02278	D02279	D02327	D02338	D02340	D02342	D02349	D02354	D02356	D02357	D02358	D02359	D02361	D02374	D02566	D02578	D02588	D02614	D02671	D02721	D02725	D02826	D02884	D02910	D03165	D03187	D03210	D03274	D03365	D03415	D03442	D03490	D03503	D03621	D03642	D03654	D03858	D03879	D03880	D03881	D03966	D04006	D04034	D04040	D04375	D04625	D04716	D04979	D05113	D05129	D05246	D05312	D05341	D05740	D05792	D05938	D06056	D06396
D00049	1.0	0.02665	0.01193	0.0	0.05617	0.0	0.12488	0.07606	0.08611	0.00509	0.0141	0.00933	0.00389	0.01012	0.00158	0.04204	0.11114	0.00206	0.00241	0.05804	0.00126	0.00138	0.0	0.01828	0.05809	0.01423	0.02251	0.0	0.01842	0.04294	0.34103	0.00486	0.09248	0.0019	0.16259	0.01087	0.60132	0.06042	0.04856	0.01575	8.9E-4	0.03987	0.00128	0.03862	0.0	0.01515	0.01201	0.01732	0.00106	0.05883	0.002	0.00258	0.00205	0.00212	0.00115	0.02003	0.00194	0.03045	0.00156	0.01121	0.01224	0.01592	0.0372	0.0111	0.0	0.0	0.15166	0.05264	0.0	0.0	0.05037	0.3845	0.08715	0.00135	0.00119	0.00112	0.01427	0.00261	0.05844	0.00467	0.00129	0.0243	0.04182	0.00442	0.01133	0.14839	0.05421	8.6E-4	0.01545	0.09604	0.05739	0.0	0.0381	0.09491	0.0846	0.03987	0.05122	0.08042	0.02527	0.00716	0.04804	0.00108	0.01058	0.00996	0.00154	0.01909	0.00132	0.03957	0.00957	0.04854	0.01364	0.04742	0.00148	4.0E-4	0.00434	0.06811	0.018	0.01719	0.0018	0.0	0.01332	0.09464	0.07757	0.00439	0.03676	0.01192	0.29446	0.0017	0.04157	0.15742	0.0	0.01492	0.03645	0.05398	0.20091	0.00137	0.03871	0.0029	0.01576	0.0181	0.02161	0.00306	0.00158	0.04126	0.00439	0.07611	0.06054	0.00185	0.03738	0.01276	0.0327	0.01991	0.06009	0.03595	0.01469	0.04044	0.06581	0.1452	0.00411	0.04344	0.03483	0.0444	0.00122	0.00345	0.01465	0.0	0.0	0.17216	0.01419	0.00173	0.00139	0.10349	0.01186	0.00921	0.01943	0.00161	0.03559	0.08773	0.03355	0.01273	0.08774	0.01163	0.03675	0.00155	0.0	0.01218	9.3E-4	0.00341	0.04861	0.00994	0.015	0.05314	0.13779	0.45455	0.00125	0.02966	0.00135	0.0	0.0182	0.12683	0.02329	0.01664	0.02594	0.01103	0.01838	0.0	0.00441	0.09919	0.00121	0.0	0.04472	0.01032	0.00223	0.01102	0.04651	0.00106	0.01161	0.0	0.00372	0.00139	0.01271	0.00104	0.01342
D00059	0.02665	1.0	0.07993	0.02181	0.39272	0.06414	0.10389	0.10172	0.04787	0.00498	0.09453	7.0E-4	0.0	0.07011	0.01232	0.01695	0.09418	0.0104	0.00854	0.03243	0.00559	8.4E-4	0.0	0.00157	0.08241	0.12204	0.00652	0.05656	0.01272	0.07395	0.01207	0.0	0.01929	0.00938	0.12135	0.14472	0.01432	0.03375	0.01179	0.04606	0.00892	0.00785	0.07839	5.3E-4	0.00442	0.08169	0.0587	0.00802	6.5E-4	0.0347	0.00122	0.01454	0.00729	0.0013	0.09753	0.0	0.00688	0.11887	0.01116	0.01774	7.6E-4	0.11654	0.04361	0.02633	0.0	0.16708	0.00973	0.03105	0.0	0.04967	0.05461	0.00962	0.01868	0.01483	0.13475	0.00497	0.0074	0.00645	0.02604	0.19775	0.03408	0.31441	0.06637	0.01901	0.01303	0.03928	0.07071	0.00865	0.00716	0.01997	0.03914	0.05688	0.19113	0.11017	0.04256	0.171	0.03507	0.01171	0.09663	0.05123	0.04818	0.02261	7.2E-4	0.04213	0.00547	0.10464	0.3313	0.07676	0.06796	0.04228	0.15276	0.33153	0.13133	0.12204	0.10799	0.05925	0.0	6.8E-4	0.0011	0.19263	0.02752	0.0382	0.01533	7.3E-4	0.05871	0.02468	8.9E-4	0.00104	0.03236	0.1911	0.064	0.01036	0.24891	0.37089	0.14168	0.06546	0.11173	0.01016	5.4E-4	2.9E-4	0.06429	0.0	0.00782	0.05862	7.3E-4	0.0489	0.10932	0.00113	0.05573	0.183	0.08583	0.15412	0.05631	0.10144	0.20663	0.26225	0.14661	0.09287	0.10675	0.22528	0.37632	0.31041	0.00635	0.00851	0.10064	0.09927	0.09371	0.04033	0.07961	0.00614	0.01528	0.12988	0.00102	0.13509	0.08367	0.05322	0.20886	0.01289	0.09048	0.00109	0.02318	0.18934	0.17139	0.00551	0.06224	0.05557	0.0058	0.0	0.03254	0.03811	0.047	0.02402	0.11748	0.00112	0.02695	0.25122	0.03722	0.0	0.0382	0.02748	0.06929	0.00143	0.33568	0.24846	0.37287	0.21043	0.0	0.12074	0.11412	0.0	0.34402	0.04227	0.00136	0.06094	0.07203	0.0471	0.06419	0.11677	0.0169	0.04567	0.02818	0.02175	2.8E-4
D00079	0.01193	0.07993	1.0	0.10928	0.13277	0.53566	0.24125	0.13256	0.05563	0.00142	0.81618	0.0	0.00144	0.10554	0.00871	0.03435	0.06069	0.03105	0.0	0.0039	0.0	0.0	0.0	0.0	0.09025	0.10503	0.00492	0.10939	0.02108	0.39264	0.01431	0.0018	0.02235	0.0	0.00546	0.08843	0.00628	0.01431	0.05181	0.54704	0.0	0.01789	0.17971	0.00452	0.0	0.02798	0.13351	0.00215	0.0	0.02528	0.0	0.04405	0.0	0.0	0.11969	0.03334	0.0	0.00746	0.03468	0.03655	0.00123	0.05039	0.01554	0.01739	0.0	0.12612	0.00194	0.02802	0.0	0.03427	0.00831	0.0	0.04396	0.03005	0.11713	0.0	0.00527	0.01714	0.00377	0.00676	0.01512	0.0	0.07219	0.00599	0.05009	0.2007	0.22156	0.0	0.01949	0.00431	0.06156	0.6349	0.02448	0.02377	0.03125	0.02618	0.09774	0.00547	0.03947	0.1844	0.08426	0.0	0.01566	0.10378	0.06444	0.15387	0.14438	0.10761	0.18833	0.00327	0.1665	0.11208	0.01897	0.0	0.0268	0.02198	0.02352	0.04808	0.0	0.05123	0.04407	0.00122	0.00511	0.00118	0.10988	0.0567	0.02593	0.0	0.12526	0.00855	0.70591	0.0	0.14505	0.02688	0.00738	0.03053	0.19343	0.00393	0.02378	0.00376	0.04446	0.00113	0.0	0.0889	0.03593	0.03616	0.02054	0.02615	0.31899	0.09143	0.36755	0.02555	0.08859	0.07724	0.21801	0.02598	0.11553	0.09262	0.04929	0.02163	0.17206	0.10494	0.00809	0.02566	0.04318	0.15077	0.13995	0.07437	0.07465	0.0	0.03095	0.02553	0.0	0.01823	0.14579	0.0357	0.12691	0.04234	0.02804	0.02518	0.0	0.09936	0.10132	0.01587	0.59173	0.39587	0.03731	0.00126	0.01155	0.10422	0.53763	0.00312	0.0067	0.11679	0.03255	0.16461	0.0301	0.0	0.0	0.00644	0.04791	0.02383	0.0	0.16677	0.13468	0.17258	0.0302	0.00432	0.05129	0.0	0.02018	0.0725	0.01393	0.11859	0.02138	0.01415	0.12492	0.23027	0.00505	0.03641	0.03143	0.0138	0.01694
D00094	0.0	0.02181	0.10928	1.0	0.0	0.09718	0.0	0.0	0.02937	0.0	0.06254	0.0	0.0	0.02767	0.0	0.01112	0.02738	0.00384	0.04813	0.02083	0.0	0.0	0.0	0.02847	0.01454	0.06188	0.0263	0.1669	0.01807	0.08006	0.0	0.0	0.00724	0.0255	0.0	0.03588	0.00694	0.01333	0.01691	0.04523	0.04792	0.00438	0.00923	0.15818	0.04237	0.00843	0.03548	0.02245	0.0	0.0332	0.00844	0.01427	0.0	0.00895	0.08586	0.04416	0.0	0.00416	0.01123	0.0	0.01386	0.02629	0.01082	0.03326	0.01666	0.0	0.0	0.06705	0.0	0.0	0.0	0.0	0.07958	0.00973	0.04135	0.0	0.0	0.03432	0.0	0.00377	0.01053	0.0	0.05351	0.00842	0.01405	0.22621	0.12549	0.04646	0.01652	0.01547	0.04613	0.07776	0.01332	0.01651	0.00985	0.01425	0.01581	0.01218	0.03373	0.03597	0.00344	0.0	0.01911	0.02442	0.0314	0.02561	0.00828	0.03653	0.02823	0.05208	0.01573	0.0	0.01065	0.01037	0.00827	0.07498	0.0544	0.01258	0.01372	0.01398	0.00526	0.01605	0.0	0.00504	0.0295	0.12077	0.0	0.01303	0.10257	0.0	0.08549	0.0	0.0	0.01449	0.00278	0.03394	0.16215	0.0022	0.0	0.0243	0.0	0.0	0.0	0.00963	0.0	0.04139	0.01822	0.00686	0.06072	0.0	0.07619	0.0	0.0	0.01294	0.01319	0.01414	0.02318	0.01319	0.08699	0.01166	0.02035	0.00736	0.0	0.02547	0.01725	0.02945	0.02614	0.05826	0.03681	0.0	0.03627	0.043	0.01847	0.04859	0.02169	0.03969	0.0	0.03083	0.01077	0.02024	0.00793	0.0	0.0	0.01936	0.12261	0.10814	0.0	0.00436	0.01118	0.02299	0.09893	0.06385	0.03327	0.0	0.01102	0.00975	0.00975	0.0	0.0	0.0	0.0	0.02907	0.0	0.00885	0.01918	0.01783	0.0	0.02788	0.09355	0.0	0.04121	0.02442	0.0	0.0	0.01408	0.01349	0.0141	0.09067	0.01745	0.01306	0.02654	0.0065	0.01756
D00095	0.05617	0.39272	0.13277	0.0	1.0	0.1137	0.07629	0.07901	0.03669	0.00576	0.15701	0.0066	0.0	0.04334	0.00726	0.00792	0.05315	0.00146	0.00988	0.02273	0.00646	9.8E-4	0.0	0.01293	0.04968	0.13697	0.0	0.0	0.00743	0.13351	0.00628	0.0	0.03519	0.00134	0.02582	0.01483	0.03257	0.02289	0.0432	0.09707	0.00454	0.01174	0.11883	6.1E-4	0.0	7.3E-4	0.04085	0.00814	7.5E-4	0.00755	0.00142	0.00182	0.00843	0.0015	0.15361	0.0	0.00795	0.13337	0.0011	0.06728	0.00629	0.01719	0.01744	0.00486	0.0	0.04504	0.01464	0.00676	0.0	0.02003	0.02556	0.0098	0.03408	0.00693	0.10671	0.00575	0.0	0.0	0.01948	0.19258	0.00477	0.36498	0.03153	0.00493	0.06172	0.01298	0.02492	0.0044	0.00726	0.02526	0.00713	0.09727	0.22022	0.02614	0.01819	0.19771	0.05799	0.02518	0.05241	0.08131	0.01678	0.02614	0.00749	0.02328	0.00633	0.10716	0.1625	8.1E-4	0.04941	0.01898	0.03936	0.84418	0.03583	0.11631	0.05049	0.02675	0.0	0.02254	0.00127	0.01312	0.00583	0.01724	0.02956	8.5E-4	0.0183	0.00843	0.00103	0.00121	7.3E-4	0.17481	0.11833	0.01055	0.22513	0.44563	0.00581	0.05634	0.00443	5.6E-4	0.00507	0.0056	0.0071	0.0	0.00112	0.05019	8.4E-4	0.00527	0.02284	0.00131	0.10315	0.04445	0.1035	0.05426	0.03971	0.00417	0.07807	0.30325	0.10625	0.07139	0.00458	0.27273	0.65446	0.64908	8.6E-4	0.0	7.1E-4	0.06197	0.06684	0.009	0.02889	0.0071	0.00714	0.15754	0.00839	0.06683	0.05265	0.03891	0.39082	0.02931	0.09511	0.009	0.04208	0.05059	0.61211	0.00638	0.10856	0.10286	0.18097	0.0	0.04459	0.02417	0.11578	0.02039	0.15567	0.05927	8.8E-4	0.0552	0.03281	0.0	0.01287	0.0346	0.00765	0.01177	0.38968	0.27858	0.37989	0.04904	0.0	0.1567	0.00496	0.0	0.3692	0.09613	0.00157	0.06788	0.01665	0.00437	0.0715	0.0	0.00519	9.8E-4	9.6E-4	0.02515	3.2E-4
D00106	0.0	0.06414	0.53566	0.09718	0.1137	1.0	0.13316	0.09682	0.0203	0.0	0.51116	0.0	0.0	0.07732	0.00699	0.02756	0.0487	0.02491	0.0	0.0	0.0	0.0	0.0	0.0	0.06585	0.07881	0.00316	0.0634	0.01188	0.26848	0.04	0.0	0.01233	0.0	0.0	0.04688	0.0	0.0074	0.07181	0.27842	0.05304	0.01341	0.11673	0.0	0.04689	0.01827	0.09203	0.0	0.0	0.01645	0.0	0.03535	0.0	0.0	0.09287	0.02081	0.0	0.0048	0.02782	0.0336	0.0	0.02387	0.01247	0.01101	0.0	0.10579	0.0	0.01905	0.0	0.02171	0.00667	0.0	0.00953	0.02411	0.09494	0.0	0.0	0.01298	0.0	0.00435	0.01213	0.0	0.04236	0.00386	0.04446	0.12208	0.16491	0.05142	0.0	0.0	0.03138	0.42597	0.01858	0.01464	0.02203	0.01988	0.09442	0.0	0.01402	0.14408	0.02444	0.0	0.01257	0.05482	0.01643	0.12838	0.10887	0.03069	0.18222	0.0	0.08944	0.09598	0.01522	0.0	0.02151	0.0	0.01354	0.03092	0.0	0.04111	0.01608	0.0	0.0	0.0	0.06968	0.04024	0.0	0.0	0.1182	0.0	0.47477	0.0	0.10304	0.02157	0.0032	0.0245	0.11014	0.00253	0.00515	0.0	0.02502	0.0	0.0	0.06043	0.0	0.02901	0.01534	0.02098	0.23037	0.11157	0.26717	0.02349	0.06464	0.02277	0.10009	0.01973	0.0747	0.07519	0.03508	0.01736	0.14291	0.08987	0.03377	0.01957	0.0306	0.1259	0.1176	0.03833	0.03884	0.0	0.02483	0.01471	0.0	0.01463	0.06485	0.02865	0.09313	0.00918	0.0225	0.0202	0.0	0.07509	0.08677	0.01273	0.71229	0.24462	0.02682	0.0	0.00665	0.05419	0.27567	0.0	0.0	0.10174	0.02612	0.07311	0.02415	0.0	0.0	0.0	0.02697	0.01912	0.0	0.15943	0.10934	0.2302	0.0	0.0	0.03728	0.0	0.01619	0.14381	0.01118	0.08587	0.01622	0.01136	0.09045	0.18477	0.00325	0.02922	0.00681	0.01107	0.00975
D00110	0.12488	0.10389	0.24125	0.0	0.07629	0.13316	1.0	0.2692	0.0463	0.00467	0.30763	0.016	0.0021	0.164	0.03263	0.01745	0.04613	0.01036	0.01019	0.03151	0.00352	0.03048	0.0	0.08216	0.19395	0.10972	0.00967	0.0	0.01679	0.29282	0.11738	0.00262	0.04075	0.00988	0.03608	0.07311	0.04259	0.03179	0.10207	0.24007	3.7E-4	0.03562	0.11544	0.04686	0.0	0.01871	0.19736	0.01031	0.02556	0.06642	0.01043	0.01286	0.00869	0.01106	0.12659	0.01082	0.0082	0.08571	0.00816	0.03921	0.04179	0.05101	0.02594	0.04655	0.02917	0.15789	0.02207	0.03252	0.0	0.05026	0.05141	0.01316	0.03816	5.6E-4	0.0448	0.00313	0.01327	0.00141	0.07436	0.00896	0.0115	0.07821	0.02242	0.01265	0.06627	0.04065	0.16094	3.6E-4	0.0092	0.0506	0.03183	0.14901	0.01626	0.13144	0.04628	0.01702	0.21724	0.03523	0.03864	0.23714	0.14282	4.5E-4	0.01025	0.12937	0.00653	0.10317	0.14051	0.03111	0.27859	0.02125	0.2085	0.06441	6.1E-4	1.7E-4	0.03842	0.0637	0.00972	0.06152	0.00936	0.1122	0.01165	0.02494	0.04874	0.00795	0.17466	0.20563	0.01469	0.08243	0.04416	0.14393	0.16607	0.01623	0.14844	0.02241	0.01026	5.7E-4	0.08923	0.00526	0.03793	0.00879	0.09442	0.00165	0.00823	0.20294	0.03049	0.0091	0.02768	0.03621	0.20079	0.12128	0.16175	0.04921	0.11451	0.02435	0.19244	0.01726	0.22922	0.04224	0.00749	0.01803	0.09233	0.0603	0.02474	0.00186	0.0181	0.05404	0.05828	0.08598	0.00751	0.03212	0.03581	0.05199	0.01199	0.00382	0.18813	6.7E-4	0.09248	0.04609	0.01392	0.01384	0.04399	0.12982	0.06575	0.00657	0.13813	0.15291	0.05773	0.00184	0.02531	0.13412	0.23718	0.04023	0.07218	0.07562	0.0062	0.24762	5.6E-4	0.0	0.06869	0.0687	0.10176	0.02941	0.0835	0.16249	0.11828	0.16604	0.03447	0.06005	0.00636	0.00482	0.01856	0.08698	0.0116	0.12095	0.01969	0.00966	0.10922	0.0	0.00188	0.00747	0.01844	4.3E-4	0.00719
D00113	0.07606	0.10172	0.13256	0.0	0.07901	0.09682	0.2692	1.0	0.02032	0.0041	0.17864	0.00934	0.00158	0.32342	0.00584	6.3E-4	0.02096	0.01014	0.00998	0.01327	0.00345	0.00726	0.0	0.01947	0.60866	0.11371	0.00107	0.01425	0.00749	0.26125	0.01997	0.00197	0.02156	0.00967	0.22856	0.05347	0.02301	0.01982	0.07131	0.12713	3.6E-4	0.00817	0.11591	0.03804	0.0	0.0931	0.15525	0.01863	0.00561	0.05212	0.01021	0.01259	0.00851	0.01083	0.08267	0.00814	0.00803	0.01505	0.00799	0.04097	0.01083	0.01468	0.01028	0.00893	0.0	0.11363	0.0086	0.23446	0.0	0.05244	0.03561	0.06912	0.01989	5.5E-4	0.06441	0.00307	0.02069	0.04895	0.01377	0.0019	0.00587	0.00988	0.02421	0.00629	0.1	0.02666	0.12422	3.5E-4	0.01662	0.03283	0.03591	0.15413	0.10864	0.02779	0.0416	0.0162	0.2322	0.01821	0.01438	0.20673	0.0569	4.4E-4	0.01003	0.10303	0.00639	0.13464	0.12418	0.03882	0.1971	0.01108	0.1881	0.0667	0.04836	0.02169	0.03723	0.02929	0.06022	0.08867	0.03764	0.05826	0.00995	0.0268	0.02468	0.0074	0.09863	0.01347	0.01245	0.0087	0.02807	0.10783	0.17165	0.07644	0.12475	0.02194	0.00419	5.6E-4	0.07527	0.00489	0.01024	0.01409	0.10793	0.00125	0.00806	0.13064	0.01336	0.00282	0.01486	0.00946	0.1239	0.11255	0.13618	0.08555	0.09857	0.03146	0.13766	0.01643	0.55423	0.0602	0.00167	0.13069	0.12215	0.06245	0.00612	0.0014	0.09006	0.05587	0.06026	0.04485	0.03037	0.00717	5.7E-4	0.11261	0.01174	0.00374	0.15753	6.5E-4	0.06434	0.0283	2.0E-4	0.01356	0.02408	0.11941	0.05781	0.00644	0.09418	0.10255	0.06141	0.00139	0.01506	0.10682	0.12532	0.01181	0.04609	0.0778	0.00607	0.12581	5.5E-4	0.0	0.01938	0.04677	0.11632	0.01773	0.01054	0.11766	0.09276	0.13945	0.00179	0.03544	4.9E-4	0.00472	0.01818	0.12521	0.01136	0.14014	0.03139	0.02129	0.14762	0.0	0.00151	0.02187	0.01023	4.2E-4	0.00545
D00136	0.08611	0.04787	0.05563	0.02937	0.03669	0.0203	0.0463	0.02032	1.0	0.00672	0.06917	0.10617	0.00181	0.04027	0.28752	0.04178	0.26678	0.00125	0.18875	0.36972	0.07677	0.15789	0.0	0.06373	0.23372	0.0181	0.01047	0.14704	0.13461	0.00587	0.14223	0.00226	0.07945	0.01255	0.08368	0.05429	0.06637	0.08115	0.03246	0.07206	0.01081	0.24439	7.8E-4	0.00621	0.00613	0.04764	0.03818	0.08604	0.06261	0.12372	0.00121	0.00156	0.33317	0.00128	0.01702	0.12523	0.31446	0.0594	9.4E-4	0.0263	0.04865	0.09318	0.02826	0.11234	0.0	0.0	0.024	0.08026	0.0	0.0	0.29233	0.05986	0.23122	0.06621	0.01772	0.06831	0.08181	0.18783	0.07345	0.07712	0.01026	0.04792	0.03466	0.01225	0.04812	0.16667	0.13388	0.01048	0.12051	0.05496	0.09101	0.018	0.02445	0.07773	0.04077	0.02022	0.01368	0.17925	0.0227	0.05329	0.04323	0.06256	0.1182	0.03378	0.12096	0.10963	0.03459	0.16712	0.04133	0.06361	0.06028	0.03097	0.02966	2.4E-4	0.00562	0.14774	0.02275	0.05116	0.05114	0.02246	0.25085	0.03859	0.09384	0.0176	0.02428	0.09389	0.14243	0.01609	0.02687	0.09567	0.01979	0.06446	0.01898	0.03525	0.10339	0.0836	0.07267	0.00146	0.06793	0.00953	0.08667	0.00143	9.6E-4	0.21071	0.11185	0.04689	0.04724	0.02813	0.03835	0.00594	0.0198	0.07261	0.05324	0.26193	0.03452	0.02595	0.01758	0.0	0.03231	0.02837	0.02275	0.029	0.02233	0.018	0.04608	0.01252	0.0135	0.06536	0.07957	0.18882	0.02067	0.03046	0.17517	0.09882	0.05532	0.02384	0.05818	0.10925	0.01568	0.04994	0.1168	0.00541	0.12006	0.01898	0.01879	0.03893	5.6E-4	0.00159	0.06013	0.03489	0.16406	0.10084	0.18358	0.0011	7.6E-4	0.07036	0.06634	0.0	0.14173	0.23914	0.09341	0.1196	0.05116	0.02175	0.03625	0.03784	0.00205	0.16925	0.03347	0.06506	0.04631	0.02726	0.01888	0.05819	0.02269	0.00952	0.00554	0.11692	0.02422	0.01824	0.19685	0.02717	0.09739
D00139	0.00509	0.00498	0.00142	0.0	0.00576	0.0	0.00467	0.0041	0.00672	1.0	0.00168	0.00274	0.02969	0.00121	0.0284	0.03703	0.00625	0.12111	0.00845	0.02453	0.00347	0.0033	0.0	0.00539	0.00382	0.027	9.9E-4	0.0	0.02996	0.00352	0.00491	0.03708	0.00703	0.00399	0.00469	0.00523	0.00288	0.02565	0.00474	0.00188	0.00244	0.0259	0.02991	0.00327	0.0	0.00387	0.00143	0.02638	0.00224	0.00405	0.00421	0.12521	0.0072	0.00446	0.00316	0.00239	0.0068	0.00561	0.03717	0.00344	0.0281	0.00691	0.01506	0.00534	0.0	0.0	0.04011	0.00362	0.0	0.0	0.00545	0.00333	0.00591	0.03239	0.00328	0.00309	0.00391	9.8E-4	0.07656	0.01444	0.0045	0.00579	0.00488	0.00542	0.00332	0.00494	0.00639	0.00236	0.02353	0.00628	0.02335	0.0	0.00501	0.01597	0.06816	0.00169	0.00276	0.00202	0.01321	8.5E-4	0.00409	0.00297	0.00248	0.00295	0.00541	0.02413	0.00364	0.00344	0.00114	0.00329	0.05373	0.00486	0.03544	1.9E-4	0.02458	0.00665	0.00215	0.00344	0.00378	0.0	0.04788	0.02223	0.00701	0.02691	0.00355	0.00392	0.00438	0.00358	0.00357	0.01044	0.0	0.0044	0.00338	0.00554	0.00442	0.00378	0.00384	0.00245	0.00273	0.0761	0.0225	0.02338	0.00332	0.00365	0.04225	0.00284	0.14946	0.0039	0.02217	0.00152	0.01991	0.05979	0.007	0.02059	0.00175	0.00532	0.00355	0.00142	0.00359	0.00446	0.00357	0.00455	0.00257	0.00129	0.00374	0.0	0.0	0.00484	0.00483	0.0191	0.03337	0.0061	0.02495	0.02462	0.00396	0.00442	0.00554	0.02922	0.027	0.00375	0.14583	0.00139	0.03963	0.00545	0.0	0.02267	0.00195	0.02605	0.08928	0.00291	0.00179	0.00314	0.00971	7.6E-4	0.07778	0.00466	0.03246	0.0	0.00537	0.00764	0.02425	0.00491	0.00619	0.00263	0.00438	0.0	0.03369	0.00821	0.00267	0.00191	0.00459	0.00304	0.00468	0.03049	0.28975	0.00373	0.04326	0.0	0.0038	0.00333	0.00368	0.00286	0.02701
