data	D00035	D00110	D00136	D00195	D00219	D00225	D00227	D00228	D00234	D00252	D00274	D00283	D00293	D00294	D00303	D00319	D00326	D00329	D00331	D00332	D00335	D00336	D00338	D00340	D00345	D00349	D00351	D00354	D00358	D00364	D00367	D00373	D00379	D00380	D00392	D00394	D00418	D00437	D00438	D00451	D00456	D00464	D00474	D00477	D00480	D00495	D00499	D00504	D00512	D00513	D00519	D00521	D00524	D00528	D00530	D00533	D00536	D00537	D00538	D00539	D00542	D00543	D00544	D00545	D00546	D00547	D00548	D00549	D00550	D00552	D00553	D00560	D00563	D00574	D00593	D00594	D00607	D00611	D00615	D00616	D00617	D00618	D00619	D00629	D00631	D00633	D00636	D00638	D00639	D00640	D00642	D00647	D00648	D00649	D00650	D00651	D00654	D00656	D00658	D00677	D00678	D00694	D00697	D00704	D00708	D00709	D00711	D00726	D00732	D00733	D00735	D00738	D00739	D00740	D00741	D00759	D00760	D00761	D00765	D00771	D00775	D00779	D00791	D00798	D00799	D00809	D00812	D00816	D00823	D00831	D00960	D00963	D00964	D01071	D01108	D01111	D01118	D01242	D01243	D01253	D01256	D01275	D01287	D01295	D01350	D01448	D01450	D01453	D01575	D01599	D01603	D01712	D01768	D01799	D01828	D01854	D01969	D02041	D02086	D02087	D02088	D02092	D02098	D02101	D02163	D02173	D02204	D02207	D02234	D02237	D02253	D02261	D02262	D02272	D02347	D02356	D02360	D02362	D02409	D02461	D02485	D02546	D02566	D02630	D02914	D03037	D03180	D03274	D03365	D03450	D03580	D03742	D03826	D03830	D03878	D03991	D04034	D04048	D04370	D04790	D04985	D04999	D05024	D05077	D05156	D05453	D05458	D05461	D06106	D06172
D00035	1.0	0.44077	0.00734	0.25781	0.03999	0.0	0.0015	0.0	0.03809	0.0085	0.00532	0.0	0.0	0.00276	0.0	0.03539	0.0	0.02559	0.0021	0.0	0.02511	0.0324	0.0	0.003	0.00599	0.03134	0.08816	0.0	0.0093	0.05377	0.0	0.09336	0.03588	0.05094	0.0093	0.0	0.01642	0.03204	0.02861	0.00234	0.0	0.0	0.00747	0.00876	0.0	0.04429	0.01172	0.01738	0.00579	0.0	0.00261	0.07646	0.0	0.00247	0.0	0.01334	0.00785	0.115	0.0029	0.01041	0.0	0.0	0.0	0.0	0.0	0.0	0.03988	0.0	0.0	0.07239	0.06942	0.06128	0.02713	0.00874	0.02543	0.09678	0.00116	0.0239	0.02875	0.2965	0.02741	0.03059	0.0	0.03106	0.01988	0.0	0.00428	0.06238	0.0	0.0469	0.30866	0.00202	0.04958	0.005	0.00241	0.00217	0.00269	0.00181	0.00236	0.21546	0.0	0.00419	0.02923	0.0	0.0502	0.02435	0.0	0.00788	0.04944	0.00687	0.07584	0.03729	0.06711	0.05126	0.04972	0.08389	0.01836	0.05934	0.18048	0.0	0.0	0.04252	0.05714	0.08078	0.05691	0.0	0.08564	0.0	0.0	0.13254	0.0	0.19601	0.0	0.00876	0.00143	0.21634	0.0	0.00125	0.06457	0.0075	0.00228	0.09532	0.17575	0.0	0.14372	0.07031	0.10557	0.00232	0.04263	0.031	9.1E-4	0.00129	0.00703	0.03409	0.00163	0.2405	0.0	0.20379	0.00864	0.05977	0.00817	0.00511	0.0074	0.19259	0.07688	0.08917	0.0	0.08972	0.01831	0.04739	0.00517	0.30178	0.27658	0.25152	0.0044	0.0	0.18153	0.21154	0.00523	0.11709	0.0297	0.19862	0.0246	0.0	0.03324	0.04005	0.01181	0.09644	0.06741	0.05833	0.2198	0.18572	0.07678	0.26868	0.02684	0.1298	0.07616	0.16541	0.2224	0.34679	0.00731	0.16082	0.09353	0.06273	0.10526	0.0	0.0	0.00132	0.00594	0.00866
D00110	0.44077	1.0	0.0378	0.26468	0.0439	0.01586	9.3E-4	0.00803	0.04088	0.01414	0.02663	0.03869	0.02892	0.00249	0.01621	0.04091	0.02125	0.02411	0.0179	0.0	0.01378	0.01801	0.02244	0.02213	0.02284	0.03739	0.10577	0.00255	0.01135	0.10457	0.00785	0.01004	0.01956	0.02717	0.00573	0.00793	0.02997	0.03885	0.03307	0.0058	0.02087	0.01964	0.03039	0.02934	0.00789	0.02729	0.00722	0.02184	0.02151	0.00497	0.01722	0.05434	0.01605	0.01558	0.01485	0.04583	0.05315	0.14147	0.00797	0.00642	0.0	0.0	0.02405	0.0	0.0	0.01962	0.17374	0.0088	0.00665	0.11456	0.01596	0.05059	0.00928	0.02927	0.01395	0.13201	7.1E-4	0.0	0.04817	0.22858	0.0337	0.03709	0.00282	0.0359	0.16014	0.00945	0.01746	0.00339	0.00483	0.01239	0.21788	0.01817	0.02783	0.01419	0.07348	0.06469	0.01984	0.00129	0.01561	0.20488	0.01796	0.01498	0.04774	0.0	0.04346	0.08983	0.03078	0.02579	0.07824	0.01277	0.02231	0.01039	8.3E-4	0.08111	0.01877	0.11661	0.03555	0.07989	0.28902	0.00211	7.1E-4	0.0074	0.00489	0.00868	0.00548	0.00807	0.00997	0.00818	0.02013	0.07873	0.002	0.298	0.0125	0.0054	8.8E-4	0.35902	0.00839	0.00515	0.01485	0.0235	0.01508	0.12851	0.12647	0.19052	0.18174	0.02316	0.00963	0.0146	0.02008	0.0169	0.00373	8.0E-4	0.00611	0.01858	0.01772	0.25762	0.00258	0.26839	0.01055	0.0477	0.00998	0.02558	0.00538	0.1992	0.02116	0.12162	0.0	0.14898	0.03269	9.2E-4	0.00319	0.18137	0.16632	0.17525	0.02054	0.00288	0.22456	0.15997	0.02207	0.19398	0.00977	0.14725	0.01053	0.01532	0.03616	0.00966	0.00728	0.05261	0.11763	0.01658	0.2269	0.25256	0.09494	0.26942	0.08685	0.02823	0.0466	0.11903	0.21148	0.35562	0.0045	0.06605	0.07371	0.05006	0.12406	0.04778	0.00712	0.083	0.00366	0.01057
D00136	0.00734	0.0378	1.0	9.3E-4	0.1163	0.1007	8.7E-4	0.08376	0.27043	0.0069	0.38134	0.1505	0.16443	0.11757	0.08942	0.06377	0.08305	0.18246	0.03593	0.11703	0.03132	0.14563	0.12756	0.04442	0.07666	0.00494	0.17336	0.0507	0.10898	0.14385	0.20038	0.07048	0.04802	0.07276	0.0054	0.0146	0.00911	0.00505	0.00996	0.06754	0.02136	0.12472	0.06487	0.12521	0.00174	0.04059	0.13685	0.01246	0.03923	0.00113	0.02158	0.11971	0.0	0.01865	0.04146	0.0914	0.03232	0.01884	0.003	0.10128	0.0	0.0	0.0	0.0	0.0	0.0	0.03056	0.01906	0.06835	0.09947	0.00835	0.27441	0.07358	0.26135	0.10862	0.09445	0.1602	0.06457	0.02102	0.08662	0.02855	0.00482	0.10162	0.01081	0.05817	0.02086	0.05174	0.03483	0.0	0.00604	0.0088	0.1392	0.09962	0.04471	0.04735	0.02857	0.03983	0.0413	0.05417	0.02311	0.01838	0.08116	0.18137	0.019	0.04395	0.01006	0.17624	0.1706	0.12567	0.06437	0.09533	0.02041	0.11111	0.13028	0.1069	0.058	0.02666	0.01483	0.05182	0.10519	0.07229	0.13124	0.11305	0.06099	0.12654	0.01485	0.0022	0.00181	0.07868	0.02547	0.02244	0.02813	0.05333	0.01732	8.3E-4	0.06343	0.05438	0.01328	0.00777	0.23081	0.06183	0.03185	0.01928	0.10133	5.6E-4	0.0895	0.02086	0.01748	0.01467	0.03692	0.00123	7.5E-4	0.06043	0.04059	0.04403	0.03052	0.09546	0.0202	0.10126	0.09097	0.00474	0.36629	0.06252	7.2E-4	0.10061	0.009	0.01015	0.0236	0.03932	0.01411	0.07763	0.01024	0.01037	0.01036	0.04959	0.10405	0.09682	0.0186	0.02294	0.10163	0.20273	0.02361	0.0637	0.73861	0.00459	0.17478	0.12524	0.15784	0.00169	0.07581	0.00144	0.09011	0.00693	0.07535	0.0227	0.08605	0.15319	0.01496	0.02385	0.05566	0.05958	0.05447	0.24557	0.09548	7.6E-4	0.28678	0.00152	0.11595	0.08914	0.00502
D00195	0.25781	0.26468	9.3E-4	1.0	8.2E-4	0.0019	0.0	0.08958	0.03768	0.05302	0.01977	0.03075	0.01458	6.9E-4	0.00172	5.8E-4	0.01639	0.02274	5.8E-4	0.0	5.1E-4	0.03516	0.01131	2.1E-4	0.00174	0.00152	0.08834	5.0E-4	0.01517	0.00936	0.01973	0.04749	7.7E-4	7.7E-4	0.01424	0.01374	1.5E-4	0.00156	4.7E-4	0.01883	0.00174	0.00235	0.00215	8.5E-4	0.00282	0.0	0.0	0.00385	0.00217	0.02516	1.8E-4	0.02132	0.0	0.0	5.1E-4	0.01861	0.00226	0.15658	0.00214	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07229	9.6E-4	0.00912	0.00126	0.01905	0.0168	0.0597	8.5E-4	5.2E-4	0.08566	0.0	0.0	0.00179	0.17517	0.00147	0.00149	0.03617	5.1E-4	0.0022	7.7E-4	0.01352	0.02442	0.04185	0.0404	0.45592	0.0193	5.0E-4	0.0	0.00943	0.00146	0.00893	0.00725	1.7E-4	0.13683	0.0015	0.00149	1.6E-4	0.0	0.03576	0.05926	0.00256	2.5E-4	8.6E-4	0.02684	0.06352	0.02691	0.05048	8.9E-4	7.7E-4	0.11204	0.02144	0.15728	0.32743	0.00184	6.2E-4	0.04666	0.03786	0.04109	0.03946	0.01398	0.03183	0.01417	0.01553	0.05991	1.4E-4	0.41017	6.9E-4	0.0103	0.0	0.14945	0.003	0.00156	0.01772	0.00238	0.02293	0.23425	0.12033	0.01931	0.26073	0.0269	0.03701	0.0	0.00153	6.7E-4	0.00113	0.0	0.02694	7.3E-4	0.01715	0.11613	0.03454	0.16692	0.0141	0.03912	0.01333	0.04844	0.02744	0.76445	0.03275	0.45773	0.0	0.12831	0.04196	0.01984	0.0	0.38714	0.38277	0.38855	5.1E-4	0.01978	0.13072	0.18331	0.00132	0.14061	0.01733	0.12008	0.05759	7.8E-4	0.00128	0.02608	0.0	0.02181	0.09449	0.01315	0.86821	0.33774	0.09173	0.1948	0.12233	0.10537	0.01763	0.11326	0.14123	0.21347	0.0	0.01624	0.14089	0.04106	0.1591	0.0239	0.00246	0.0127	0.0	0.01412
D00219	0.03999	0.0439	0.1163	8.2E-4	1.0	0.01629	0.00159	0.00459	0.03263	0.06008	0.0755	0.00111	0.04031	0.13786	0.04058	0.03577	0.10134	0.0336	0.10765	0.05586	0.58929	0.76267	0.03127	0.13482	0.16693	0.02643	0.0422	0.00587	0.08197	0.04196	0.01088	0.09448	0.65538	0.23071	0.00857	0.00154	0.03816	0.02702	0.0442	0.09806	0.05081	0.02017	0.12132	0.07895	0.00153	0.0509	0.26533	0.23911	0.04208	9.9E-4	0.15365	0.10519	0.0	0.02229	0.03794	0.16642	0.06297	0.01229	0.11769	0.26729	0.0	0.0	0.0	0.0	0.0	0.0	0.03485	0.01673	0.00371	0.07385	0.0413	0.09688	0.00559	0.26637	0.5822	0.09354	0.06894	0.04825	0.11515	0.07386	0.04257	0.0258	0.02133	0.04799	0.06434	0.02108	0.02924	0.09139	0.0	0.00837	0.02848	0.05113	0.05913	0.05965	0.12133	0.13996	0.12089	0.04606	0.10371	0.07803	0.04372	0.0166	0.02887	0.0	0.18176	0.05172	0.08369	0.06236	0.05044	0.08491	0.21012	0.09703	0.02403	0.05229	0.12859	0.10179	0.02013	0.00388	0.03664	4.2E-4	0.00734	0.08698	0.06235	0.08175	0.06979	0.00156	0.00193	0.00159	0.09601	0.03819	0.01735	0.05524	0.09434	0.15023	0.01476	0.03549	0.00163	0.00218	0.03841	0.03318	0.13086	0.02358	0.0686	0.02227	0.02107	0.05273	0.09281	0.02088	0.02819	0.59086	0.00999	0.00137	0.06591	0.61515	0.0598	0.06003	0.0188	0.02328	0.07616	0.02877	0.02936	0.07252	0.08811	6.3E-4	0.05843	7.5E-4	0.01508	0.01667	0.01317	0.1069	0.07898	0.03314	0.05673	0.05667	0.16229	0.02184	0.01087	0.07339	0.02666	0.05792	0.06256	0.02695	0.05779	0.04057	0.02289	0.02722	0.24855	0.04851	0.02281	0.06924	0.02416	0.03311	0.04782	0.06425	0.00804	0.26482	0.0458	0.05983	0.08054	0.05703	0.09864	0.09413	0.02562	0.03019	0.0102	0.08246	0.00134	0.01913	0.15774	0.0311
D00225	0.0	0.01586	0.1007	0.0019	0.01629	1.0	0.0	0.06446	0.03056	0.00873	0.05623	0.10229	0.08651	0.06596	0.06819	0.04031	0.01954	0.07211	0.01511	0.0	0.00835	0.07362	0.06711	0.0027	0.04116	0.00375	0.05301	0.14016	0.03665	0.05594	0.1417	0.00965	0.01258	0.00369	0.0	0.00777	0.01151	0.0044	0.0022	0.00431	0.04935	0.32278	0.00874	0.00409	0.00773	0.0	0.0	0.01087	0.0734	0.005	0.00235	0.0818	0.0	0.0	0.00392	0.01419	0.0092	0.0	0.058	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00907	0.00797	0.64497	0.00602	0.00896	0.01336	0.02653	0.00408	0.00845	0.03735	0.0	0.0	0.00662	0.01203	0.0042	0.0042	0.01985	0.00239	0.05325	8.7E-4	0.01503	5.1E-4	0.03145	0.00764	0.00326	0.00836	0.00238	0.02061	0.01443	0.04731	0.00242	0.04022	0.01776	0.05532	0.04247	0.20376	0.07281	0.0	0.01251	0.0	0.01044	0.07108	0.00411	0.02412	0.01489	0.03353	8.2E-4	0.00426	0.01252	0.02268	0.02121	0.0196	0.0	0.12598	7.0E-4	0.02153	0.00478	0.00835	0.00535	0.00791	0.00977	0.00801	0.01851	0.02711	0.01254	0.0	0.06333	0.0	0.0	0.01342	0.00822	0.01276	0.00834	0.11707	0.00206	0.01255	0.03167	0.11003	0.0	0.00365	0.03108	0.0	0.01539	0.01087	0.00311	0.0	0.01844	0.01195	0.00451	0.00351	0.03044	0.00575	0.03405	0.02295	0.03221	0.05401	8.1E-4	0.00148	0.00414	0.04343	0.0	0.00512	0.00516	0.0	0.0	0.0038	0.0036	0.00359	0.00798	0.02033	0.11505	0.0103	0.00535	0.01073	0.08036	0.0	0.09709	0.13453	0.00361	0.04343	0.0	0.06947	0.00104	0.01197	0.00168	0.00474	0.00352	0.01046	0.01814	0.02094	0.14346	0.02981	0.0571	0.0	0.0	0.03203	0.05505	0.02409	4.7E-4	0.02721	0.00695	0.01406	0.0	0.03412
D00227	0.0015	9.3E-4	8.7E-4	0.0	0.00159	0.0	1.0	0.0	0.01755	0.00101	6.3E-4	0.0	0.0	0.00109	0.0	9.2E-4	0.0	0.0	8.3E-4	0.0	0.001	0.00129	0.0	0.01536	8.5E-4	8.2E-4	0.02005	0.0	0.04321	7.1E-4	0.0	0.01638	0.00139	0.0206	0.0011	0.0	0.0	8.4E-4	7.5E-4	0.08259	0.03239	0.0	8.9E-4	0.00104	0.0	9.4E-4	0.00139	0.00207	6.9E-4	0.07306	0.01336	0.02842	0.0	0.26821	0.00995	0.00158	9.3E-4	4.7E-4	0.00115	0.00124	0.0	0.0	0.0	0.0	0.0	0.0	0.0335	0.05154	0.01658	0.00153	0.00131	0.17274	0.0	0.00104	0.00101	0.01236	4.6E-4	0.0	9.1E-4	6.1E-4	7.2E-4	8.0E-4	0.01461	8.1E-4	0.0	0.0	5.1E-4	5.5E-4	0.03614	8.8E-4	0.03545	8.0E-4	0.01007	0.01691	0.01232	0.01113	0.01377	7.2E-4	0.01211	0.05747	0.02787	5.0E-4	0.01687	0.0	0.00127	0.0	0.0	9.4E-4	0.00104	0.06494	0.00111	0.03954	0.0	0.00108	9.4E-4	0.00684	0.01777	0.01378	3.9E-4	0.02707	0.02088	0.0	0.0	0.01418	0.0	0.0	0.0	0.0	0.0	0.0099	0.02355	5.1E-4	0.0	0.00104	5.7E-4	7.0E-4	0.0	0.52298	0.00122	8.9E-4	0.01169	0.01015	0.03734	0.0	0.00711	0.01099	0.03664	0.34178	0.00977	0.0012	0.00762	0.70858	8.3E-4	0.00132	0.129	6.5E-4	0.014	0.17788	0.04015	9.6E-4	0.03797	6.1E-4	8.8E-4	0.00748	5.8E-4	0.0	0.0	0.00679	0.0	0.04702	0.03861	0.02864	0.03677	0.03673	6.2E-4	0.01496	0.0	0.0	0.2309	7.0E-4	0.01175	0.0	0.0	0.0	0.01141	4.8E-4	0.0014	0.001	0.0	5.0E-4	0.00892	0.0143	0.03214	0.01132	0.01201	0.00107	6.2E-4	0.03515	0.05932	5.6E-4	8.7E-4	0.00106	0.0361	0.00101	0.01019	0.0	0.0	0.04721	7.1E-4	0.04022
D00228	0.0	0.00803	0.08376	0.08958	0.00459	0.06446	0.0	1.0	0.04115	0.01007	0.04277	0.08675	0.06661	0.00103	0.02264	0.0032	0.07101	0.05553	0.00303	0.06668	7.7E-4	0.01291	0.05168	0.00304	0.03026	0.00434	0.06617	0.00274	0.00627	0.03059	0.12659	0.06707	0.01515	0.05316	0.0	0.00897	0.0088	0.00507	0.00259	0.02471	0.0081	0.18183	0.01001	0.05893	0.00892	0.0	0.0	0.01253	0.10299	0.01665	0.00264	0.05793	0.0	0.0	0.00452	0.01627	0.01052	0.0	0.00696	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01037	0.00919	0.04728	0.00706	0.07838	0.03138	0.10251	0.00479	0.01766	0.0918	0.04912	0.0	0.00759	0.0353	0.00486	0.00484	0.04173	0.00281	0.03566	0.00116	0.01991	0.03964	0.01905	0.11702	0.04139	0.00982	0.00279	0.0	0.00734	0.04518	0.00272	2.2E-4	0.00239	0.00752	0.00697	0.11478	0.00222	0.0	0.01431	0.09359	0.01194	0.09768	0.00482	0.02105	0.03399	0.02075	0.08655	0.005	0.00115	0.02652	0.00552	0.08928	0.0163	0.00276	9.4E-4	0.08288	0.03415	0.05803	0.03823	0.00912	0.0745	0.06111	0.06727	0.01812	0.00206	0.0	0.00104	0.0	0.0	0.02406	0.00948	0.00495	0.07291	0.03831	0.02711	0.02019	0.0196	0.07447	0.0	0.02606	0.01924	0.0	0.0069	0.01309	0.00359	0.0	0.04336	0.11595	0.02316	0.00405	0.03982	0.00658	0.00583	0.13268	0.00551	0.04108	0.04426	0.06913	0.02954	0.06638	0.0	0.02566	0.03267	0.01143	0.0	0.04817	0.04563	0.04559	0.00951	0.04273	0.02543	0.11685	0.00613	0.00554	0.02268	0.0	0.07964	0.06631	0.00416	0.02104	0.0	0.01132	0.01818	0.05896	0.07851	0.03847	0.04872	0.03071	0.02054	0.02428	0.02335	0.01845	0.00777	0.0	0.0	0.03623	0.00421	0.13925	0.00813	0.12363	0.00802	0.10964	0.0	0.00584
D00234	0.03809	0.04088	0.27043	0.03768	0.03263	0.03056	0.01755	0.04115	1.0	0.0219	0.16015	0.07375	0.0289	0.01973	0.05818	0.0079	0.05111	0.03497	0.06439	0.0	0.03127	0.07354	0.02242	0.0126	0.05633	0.03281	0.04812	0.05799	0.04101	0.15636	0.03139	0.04134	0.05584	0.05264	0.01464	0.03489	0.01486	0.0043	0.00639	0.09719	0.182	0.03785	0.00594	0.02447	0.02284	0.0	0.03936	0.03166	0.03379	0.03838	2.8E-4	0.2017	0.0	0.0	0.03965	0.01028	0.0222	0.0	0.00591	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00564	0.0708	0.02223	0.03596	0.05136	0.26873	0.10722	0.04482	0.06745	0.14197	0.01414	0.04104	0.0048	0.05669	0.01528	0.0146	0.17032	0.00694	0.0794	0.02021	0.00346	0.03375	0.0303	0.0434	0.07508	0.05132	0.02613	0.01754	0.03081	0.01893	0.0113	0.02549	0.00993	0.08021	0.1566	0.02389	0.1263	0.01392	0.0421	0.02168	0.00709	0.01469	0.02456	0.15209	0.11137	0.07655	0.13525	0.02546	0.01939	0.08965	0.12014	0.06686	0.01454	0.16156	0.24023	0.12814	0.03876	0.03577	0.04039	0.01984	0.03948	0.02011	0.04841	0.05012	0.04823	0.0062	0.02601	0.01059	0.0	0.07769	0.00803	0.02735	0.04778	0.03725	0.033	0.01379	0.08496	0.09015	0.0	0.02753	0.08336	0.0	0.01618	0.04825	0.00924	0.01507	0.02457	0.0412	0.03203	0.01682	0.16173	0.0039	0.03811	0.07647	0.03604	0.15384	0.03128	0.02885	0.03353	0.01947	0.0	0.06938	0.13996	0.03991	0.02259	0.08738	0.08276	0.08269	0.01746	0.17438	0.03112	0.03811	0.00364	0.02617	0.02471	0.0	0.03475	0.25671	0.00353	0.03909	0.03967	0.03917	0.04505	0.04385	0.03276	0.08377	0.00914	0.04931	0.0123	0.13779	0.05924	0.07996	0.08279	0.02115	0.01142	0.034	0.19583	0.08026	0.02014	0.06843	0.03763	0.09661	0.02594	0.03818
D00252	0.0085	0.01414	0.0069	0.05302	0.06008	0.00873	0.00101	0.01007	0.0219	1.0	0.02244	0.03281	0.09953	0.08974	0.00906	0.02581	0.01129	0.08297	0.01601	0.0	0.05669	0.08437	0.07721	0.00246	0.04443	0.02499	0.05038	0.00451	0.05741	0.1228	0.04686	0.01259	0.07526	0.05042	0.00625	0.13816	3.2E-4	0.02664	0.02087	0.02007	0.02401	0.01081	0.03167	0.03681	0.10099	0.0217	0.06222	0.15037	0.03397	0.0308	0.00214	0.01179	0.0	0.00166	0.00428	0.52481	0.04304	8.0E-4	0.03853	0.02868	0.0	0.0	0.0	0.0	0.0	0.0	0.01532	0.00864	0.02016	0.01131	0.07252	0.02053	0.04675	0.02587	0.0534	0.03624	0.0174	0.0	0.02569	0.0115	0.03514	0.02544	0.00139	0.02265	0.02562	0.02135	0.00932	0.0138	0.02729	0.05489	0.03528	0.01558	0.00406	0.02497	0.03597	0.02102	0.0164	0.00153	0.00194	0.05008	0.02066	0.00964	0.00464	0.0	0.04529	0.0	0.01325	0.032	0.00772	0.02926	0.00824	0.05253	0.00154	0.00801	0.00693	0.03174	0.02099	0.0228	0.00222	0.00389	0.00132	0.05207	0.07398	0.01089	0.08281	0.09783	0.17362	0.09913	0.01069	0.02163	3.1E-4	0.00289	0.01502	0.04226	9.6E-4	0.03943	0.10738	0.05693	0.06746	0.07748	0.03886	0.01615	0.04962	0.01233	6.4E-4	0.06021	0.04869	0.00156	0.03141	0.06502	0.01608	8.7E-4	0.00801	0.05277	0.00441	0.07554	0.00112	0.02747	0.05334	0.02873	0.05046	0.02155	0.00649	0.0412	0.06727	0.04866	0.0	0.01973	0.41565	0.02253	0.01424	0.04106	0.03967	0.03963	0.01244	0.00142	0.03094	0.00369	0.01031	0.08236	0.03637	0.0	0.04617	0.00165	0.02239	0.00376	0.06271	0.10791	0.02637	0.00314	0.04751	0.01941	0.02262	0.01	0.04538	0.05988	0.08602	0.0467	0.05169	0.00317	0.0388	0.01928	0.01942	0.03015	0.01179	0.01128	0.03397	0.00118	0.03608	0.05345
