data	D00040	D00066	D00067	D00075	D00088	D00094	D00105	D00129	D00143	D00163	D00182	D00187	D00188	D00211	D00246	D00279	D00299	D00312	D00316	D00327	D00348	D00443	D00462	D00506	D00554	D00565	D00577	D00585	D00586	D00596	D00627	D00690	D00730	D00898	D00930	D00950	D00951	D00954	D00956	D00961	D00962	D00965	D01115	D01132	D01161	D01217	D01294	D01387	D01441	D01689	D02217	D02367	D04066	D05341
D00040	1.0	0.30595	0.1016	0.19896	0.21159	0.09209	0.11029	0.18745	0.80596	0.32192	0.17685	0.29767	0.40957	0.11969	0.16546	0.01531	0.2643	0.05008	0.0	0.23254	0.09159	0.14263	0.20631	0.0	0.11788	0.04331	0.0	0.12139	0.05301	0.0	0.0	0.14069	0.0	0.0	0.3228	0.17752	0.23637	0.17752	0.11178	0.0	0.02405	0.00595	0.15994	0.03419	0.07367	0.17532	0.13316	0.12348	0.0	0.14535	0.0	0.14741	0.0617	0.0
D00066	0.30595	1.0	0.21989	0.49654	0.38678	0.02746	0.15782	0.10988	0.48708	0.45886	0.42602	0.15384	0.16881	0.1033	0.30294	0.01989	0.13525	0.11033	0.004	0.46736	0.02732	0.34605	0.3489	0.01908	0.1567	0.01765	0.0	0.22128	0.00463	0.00503	0.0	0.25612	0.00731	0.0	0.09071	0.42692	0.24242	0.42692	0.29779	0.00462	0.01941	0.01431	0.41501	0.0048	0.10864	0.5218	0.26849	0.29365	0.00355	0.30396	0.02933	0.22118	0.09344	0.0
D00067	0.1016	0.21989	1.0	0.22328	0.12567	0.00522	0.89957	0.05861	0.10307	0.13583	0.27201	0.06763	0.07545	0.08054	0.08353	0.00703	0.05322	0.44249	0.01753	0.12463	0.00519	0.13187	0.092	0.08337	0.82346	0.00734	0.16082	0.08384	0.0047	0.05306	0.05932	0.0721	0.00741	0.13555	0.04403	0.27233	0.04696	0.27233	0.30094	0.00505	0.02129	0.03426	0.12767	0.04415	0.26464	0.09302	0.1063	0.06874	0.0185	0.09059	0.17448	0.1815	0.41983	0.0
D00075	0.19896	0.49654	0.22328	1.0	0.55066	0.01334	0.31154	0.1493	0.22638	0.2742	0.45435	0.18167	0.20421	0.03119	0.16748	0.01554	0.16272	0.11132	0.00261	0.28841	0.01327	0.24107	0.20791	0.01458	0.18897	0.01358	0.0	0.19807	0.00302	0.00329	0.0	0.13918	0.00477	0.0	0.11119	0.45502	0.09934	0.45502	0.40774	0.00302	0.0158	0.00264	0.23239	0.00314	0.16386	0.27409	0.16671	0.15262	0.00232	0.21318	0.00828	0.25102	0.17766	0.0
D00088	0.21159	0.38678	0.12567	0.55066	1.0	0.00881	0.11477	0.15306	0.26821	0.31192	0.37403	0.15073	0.17047	0.10033	0.29161	0.07444	0.13609	0.06303	0.00224	0.31164	0.00876	0.15544	0.2196	0.0107	0.18186	0.08399	0.0	0.17877	0.02196	0.00282	0.0	0.18148	0.0041	0.0	0.14002	0.3743	0.10663	0.3743	0.20285	0.0186	0.05818	0.00227	0.19032	0.00269	0.08246	0.21401	0.13658	0.16323	0.01514	0.20689	0.00598	0.21298	0.0671	0.0
D00094	0.09209	0.02746	0.00522	0.01334	0.00881	1.0	0.0	0.06627	0.00774	0.08453	0.01175	0.09767	0.13705	0.15465	0.02589	0.00895	0.07044	0.0139	0.10832	0.01623	0.93754	0.01011	0.00738	0.06609	0.0	0.00935	0.06815	0.03715	0.02121	0.15858	0.03055	0.01087	0.01636	0.04752	0.1057	0.01174	0.07183	0.01174	0.00821	0.01099	0.0532	0.04312	0.01011	0.0062	0.02801	0.01128	0.01977	0.03931	0.00795	0.01145	0.01382	0.0233	0.0	0.17628
D00105	0.11029	0.15782	0.89957	0.31154	0.11477	0.0	1.0	0.06328	0.11232	0.14548	0.25989	0.05951	0.06597	0.06241	0.0541	0.00711	0.05837	0.39237	0.01774	0.08568	0.0	0.11193	0.10039	0.02907	0.84067	0.00743	0.16279	0.05656	0.00476	0.02456	0.06004	0.04825	0.0075	0.1372	0.04809	0.26041	0.05161	0.26041	0.35726	0.00512	0.02155	0.00416	0.10634	0.04469	0.30663	0.09124	0.07975	0.04521	0.01873	0.06292	0.15955	0.17283	0.47499	0.0
D00129	0.18745	0.10988	0.05861	0.1493	0.15306	0.06627	0.06328	1.0	0.14625	0.25091	0.11006	0.5876	0.68614	0.10162	0.10435	0.15296	0.38908	0.02889	0.04156	0.14113	0.09023	0.06644	0.05552	0.0	0.06612	0.15241	0.0	0.0474	0.02227	0.0089	0.0	0.07757	0.0189	0.04348	0.62734	0.11041	0.07419	0.11041	0.06994	0.0	0.0	0.0	0.07564	0.11316	0.07703	0.06249	0.0507	0.10377	0.0	0.11386	0.01333	0.11707	0.0354	0.11538
D00143	0.80596	0.48708	0.10307	0.22638	0.26821	0.00774	0.11232	0.14625	1.0	0.42391	0.20561	0.1552	0.17319	0.0894	0.18971	0.0035	0.1579	0.05178	0.00202	0.26739	0.0077	0.16253	0.23941	0.0042	0.12215	0.00366	0.0	0.08962	0.00234	0.00255	0.0	0.16172	0.0037	0.0	0.27466	0.20628	0.2028	0.20628	0.13125	0.00234	0.00659	0.0088	0.23465	0.00243	0.07037	0.27896	0.13227	0.18623	0.0018	0.16891	0.00201	0.12039	0.06544	0.0
D00163	0.32192	0.45886	0.13583	0.2742	0.31192	0.08453	0.14548	0.25091	0.42391	1.0	0.25227	0.15611	0.17242	0.11394	0.29419	0.0	0.1586	0.11669	0.0	0.36178	0.08407	0.19534	0.23117	0.0	0.1556	0.0	0.0	0.09136	0.0	0.06409	0.08034	0.25076	0.0	0.0	0.20714	0.25288	0.27362	0.25288	0.16012	0.05995	0.15289	0.00664	0.31075	0.0263	0.11591	0.26259	0.17958	0.27582	0.01516	0.23516	0.0	0.15542	0.08139	0.42335
