data	D00049	D00059	D00079	D00094	D00095	D00106	D00110	D00113	D00136	D00139	D00180	D00225	D00227	D00232	D00234	D00235	D00241	D00255	D00270	D00274	D00281	D00283	D00295	D00300	D00301	D00306	D00318	D00332	D00336	D00356	D00364	D00371	D00380	D00394	D00397	D00400	D00410	D00411	D00415	D00419	D00422	D00426	D00432	D00437	D00440	D00442	D00443	D00451	D00454	D00465	D00480	D00483	D00493	D00494	D00498	D00499	D00503	D00509	D00513	D00514	D00520	D00521	D00522	D00523	D00524	D00525	D00528	D00540	D00542	D00559	D00560	D00563	D00574	D00598	D00601	D00604	D00606	D00607	D00609	D00613	D00627	D00632	D00635	D00645	D00646	D00665	D00666	D00673	D00674	D00675	D00676	D00682	D00683	D00684	D00687	D00688	D00715	D00726	D00760	D00765	D00769	D00775	D00779	D00780	D00790	D00837	D00838	D00845	D00954	D00965	D00987	D00996	D01020	D01022	D01024	D01051	D01071	D01103	D01118	D01126	D01164	D01227	D01236	D01242	D01269	D01295	D01297	D01324	D01332	D01346	D01352	D01358	D01386	D01390	D01441	D01454	D01462	D01603	D01652	D01692	D01699	D01712	D01713	D01717	D01745	D01782	D01828	D01871	D01891	D01925	D01964	D01965	D01973	D01994	D02007	D02066	D02070	D02076	D02082	D02147	D02149	D02150	D02234	D02237	D02250	D02278	D02279	D02327	D02338	D02340	D02342	D02349	D02354	D02356	D02357	D02358	D02359	D02361	D02374	D02566	D02578	D02588	D02614	D02671	D02721	D02725	D02826	D02884	D02910	D03165	D03187	D03210	D03274	D03365	D03415	D03442	D03490	D03503	D03621	D03642	D03654	D03858	D03879	D03880	D03881	D03966	D04006	D04034	D04040	D04375	D04625	D04716	D04979	D05113	D05129	D05246	D05312	D05341	D05740	D05792	D05938	D06056	D06396
D00049	1.0	0.17609	0.08282	0.0	0.28595	0.0	0.40222	0.32243	0.38422	0.21523	0.08677	0.17573	0.05684	0.08515	0.13361	0.17408	0.3371	0.15096	0.15077	0.32676	0.14213	0.12309	0.0	0.23344	0.29384	0.09221	0.1033	0.0	0.24111	0.19271	0.41327	0.06287	0.43241	0.15199	0.41318	0.18256	0.73974	0.34421	0.24456	0.11242	0.09782	0.1831	0.09435	0.24597	0.0	0.20737	0.10658	0.22341	0.10712	0.29991	0.15199	0.15929	0.13641	0.15804	0.0948	0.15763	0.13305	0.26039	0.11897	0.17408	0.19308	0.1837	0.21288	0.19633	0.0	0.0	0.26949	0.27061	0.0	0.0	0.25278	0.39212	0.41392	0.10831	0.09302	0.13484	0.12389	0.04246	0.35945	0.13782	0.12288	0.19989	0.22123	0.16607	0.16195	0.34799	0.26822	0.09535	0.20329	0.39066	0.28225	0.0	0.2574	0.37395	0.38778	0.21425	0.28686	0.34188	0.15309	0.06323	0.28296	0.12856	0.16126	0.13775	0.14305	0.14215	0.0992	0.23678	0.08061	0.30464	0.16884	0.27298	0.12309	0.05249	0.16	0.34923	0.14627	0.22914	0.14659	0.0	0.21569	0.30394	0.406	0.14692	0.22173	0.19761	0.38558	0.14409	0.25229	0.5014	0.0	0.21163	0.23937	0.27298	0.30424	0.11198	0.20402	0.14285	0.23468	0.20158	0.25264	0.04828	0.15804	0.22296	0.15539	0.18521	0.31364	0.14172	0.19595	0.10795	0.17406	0.17585	0.29804	0.21164	0.1082	0.26846	0.29032	0.08431	0.14381	0.25739	0.18919	0.2516	0.12446	0.0479	0.19472	0.0	0.0	0.35987	0.1991	0.13852	0.11066	0.37967	0.185	0.1592	0.20299	0.12309	0.23759	0.4059	0.10485	0.21576	0.34928	0.1007	0.24353	0.13305	0.0	0.16362	0.10094	0.05171	0.33273	0.14024	0.10562	0.32224	0.44674	0.36564	0.11953	0.19467	0.1066	0.0	0.21877	0.46303	0.25779	0.20772	0.20703	0.11683	0.14555	0.0	0.06145	0.38117	0.11626	0.0	0.26164	0.16296	0.15493	0.16334	0.22847	0.10571	0.16968	0.0	0.13125	0.122	0.22486	0.10389	0.1599
D00059	0.17609	1.0	0.19522	0.09017	0.5115	0.19035	0.2597	0.26478	0.1853	0.13897	0.20452	0.07909	0.0	0.16227	0.15347	0.14986	0.30472	0.13046	0.13476	0.15319	0.13766	0.07947	0.0	0.10888	0.23534	0.28583	0.03335	0.14743	0.13865	0.23102	0.14276	0.0	0.14936	0.13585	0.26678	0.37401	0.14573	0.16771	0.12632	0.11158	0.12632	0.05911	0.2499	0.0567	0.03158	0.19165	0.14452	0.10062	0.06916	0.1291	0.09814	0.14237	0.12193	0.10204	0.23266	0.0	0.11892	0.31528	0.11522	0.14986	0.07049	0.24689	0.25678	0.15431	0.0	0.29433	0.04046	0.11648	0.0	0.03747	0.19887	0.13814	0.15272	0.13986	0.37648	0.13059	0.04	0.02742	0.13359	0.34663	0.21361	0.4783	0.25453	0.17572	0.10457	0.19513	0.25188	0.12313	0.09155	0.16427	0.16882	0.16941	0.36241	0.29854	0.20353	0.29782	0.1323	0.07358	0.13777	0.11795	0.20297	0.16602	0.06941	0.17789	0.12786	0.29789	0.5022	0.23856	0.15821	0.1686	0.25828	0.4883	0.31791	0.22374	0.27538	0.19583	0.0	0.06872	0.09465	0.39739	0.13927	0.16394	0.14599	0.06853	0.24539	0.12759	0.07896	0.09304	0.17388	0.33412	0.17968	0.13664	0.40965	0.4883	0.25539	0.21691	0.2799	0.12555	0.06577	0.03937	0.22616	0.0	0.14126	0.25856	0.07248	0.21919	0.28925	0.09151	0.20012	0.24303	0.25362	0.27193	0.2398	0.26344	0.32952	0.42919	0.32682	0.25872	0.32441	0.39778	0.58499	0.45005	0.11299	0.03093	0.23823	0.23922	0.22943	0.17123	0.22497	0.12381	0.14291	0.25749	0.08629	0.19699	0.25959	0.23843	0.40399	0.11945	0.1354	0.10064	0.18527	0.25739	0.33816	0.11892	0.18232	0.18662	0.09776	0.0	0.12656	0.16836	0.11272	0.13444	0.25341	0.09443	0.16188	0.40342	0.17207	0.0	0.14126	0.19438	0.23078	0.09689	0.49538	0.52356	0.59627	0.37018	0.0	0.268	0.35795	0.0	0.50728	0.14323	0.10003	0.19714	0.24205	0.22565	0.2048	0.1898	0.14596	0.19178	0.14519	0.13416	0.03441
D00079	0.08282	0.19522	1.0	0.19626	0.23796	0.7485	0.4415	0.34523	0.1213	0.0297	0.91036	0.0	0.02589	0.34774	0.0206	0.0793	0.12285	0.06983	0.0	0.04078	0.0	0.0	0.0	0.0	0.26374	0.29129	0.04706	0.23999	0.09626	0.57234	0.06566	0.02864	0.10417	0.0	0.05156	0.25701	0.05709	0.07646	0.18394	0.72568	0.0	0.07251	0.32841	0.05204	0.0	0.11612	0.38513	0.03079	0.0	0.11207	0.0	0.08366	0.0	0.0	0.234	0.14017	0.0	0.04235	0.08129	0.13891	0.01911	0.08458	0.05872	0.08127	0.0	0.35187	0.03713	0.11253	0.0	0.13891	0.01934	0.0	0.10775	0.07401	0.28059	0.0	0.05643	0.08446	0.0421	0.04185	0.05684	0.0	0.18448	0.042	0.1398	0.23565	0.32576	0.0	0.04954	0.04138	0.16828	0.77448	0.08295	0.10114	0.12387	0.08631	0.27926	0.05191	0.09065	0.43701	0.21689	0.0	0.04706	0.26568	0.05763	0.37355	0.29156	0.20831	0.44707	0.03965	0.34182	0.22718	0.05607	0.0	0.12657	0.06278	0.11584	0.18134	0.0	0.20469	0.11694	0.02279	0.04868	0.01858	0.31818	0.05238	0.07712	0.0	0.21227	0.06241	0.82	0.0	0.30665	0.05783	0.05542	0.07652	0.31189	0.03613	0.08067	0.0427	0.14112	0.02199	0.0	0.27058	0.05895	0.05802	0.0907	0.06146	0.53373	0.28451	0.54731	0.09788	0.18885	0.16303	0.46659	0.08652	0.32975	0.29097	0.1429	0.05452	0.36176	0.20938	0.02302	0.10497	0.15651	0.38985	0.37982	0.17252	0.19221	0.0	0.07562	0.10071	0.0	0.04987	0.34127	0.08411	0.23843	0.09358	0.07164	0.06759	0.0	0.31429	0.18941	0.04476	0.74193	0.54548	0.14381	0.02356	0.07219	0.26451	0.71096	0.04117	0.04945	0.24169	0.0996	0.37802	0.07284	0.0	0.0	0.05755	0.144	0.05048	0.0	0.39891	0.27891	0.40455	0.05598	0.03581	0.13598	0.0	0.05542	0.18833	0.02712	0.31832	0.10206	0.05552	0.33068	0.36255	0.0332	0.10546	0.08903	0.04547	0.08442
D00094	0.0	0.09017	0.19626	1.0	0.0	0.19136	0.0	0.0	0.04979	0.0	0.15058	0.0	0.0	0.07196	0.0	0.05942	0.10357	0.02617	0.09794	0.04583	0.0	0.0	0.0	0.07636	0.03083	0.13936	0.05289	0.32352	0.0516	0.10809	0.0	0.0	0.02961	0.06882	0.0	0.15442	0.03208	0.03925	0.05763	0.10571	0.09022	0.02344	0.04831	0.13272	0.09022	0.04794	0.04251	0.0612	0.0	0.11009	0.03891	0.06269	0.0	0.04046	0.13817	0.13342	0.0	0.0238	0.06092	0.0	0.04943	0.07297	0.06601	0.08253	0.07574	0.0	0.0	0.16861	0.0	0.0	0.0	0.0	0.09084	0.05546	0.15557	0.0	0.0	0.11315	0.0	0.02352	0.06389	0.0	0.17738	0.05432	0.06537	0.28313	0.16643	0.08793	0.05569	0.05351	0.1406	0.17031	0.07298	0.08462	0.05691	0.07593	0.02098	0.02918	0.08636	0.08094	0.023	0.0	0.06333	0.07372	0.09293	0.10742	0.03304	0.1188	0.04128	0.06685	0.04323	0.0	0.06303	0.06184	0.05234	0.09409	0.1238	0.04189	0.06638	0.09454	0.024	0.06501	0.0	0.02717	0.10134	0.10236	0.0	0.02836	0.15319	0.0	0.17638	0.0	0.0	0.065	0.01887	0.12331	0.18235	0.02031	0.0	0.07922	0.0	0.0	0.0	0.05802	0.0	0.09155	0.10195	0.02789	0.08027	0.0	0.12082	0.0	0.0	0.07489	0.06749	0.07612	0.04247	0.08425	0.16517	0.06129	0.08791	0.02995	0.0	0.10311	0.09123	0.15758	0.14556	0.17698	0.14278	0.0	0.13039	0.13025	0.06052	0.15146	0.02079	0.13555	0.0	0.08681	0.06177	0.06134	0.03193	0.0	0.0	0.06025	0.21345	0.12684	0.0	0.02648	0.04667	0.06232	0.14549	0.10662	0.07051	0.0	0.06717	0.05086	0.05459	0.0	0.0	0.0	0.0	0.06795	0.0	0.04983	0.08076	0.09464	0.0	0.06643	0.18081	0.0	0.13397	0.07647	0.0	0.0	0.09132	0.08321	0.04998	0.25658	0.07451	0.07065	0.05004	0.03461	0.05459
D00095	0.28595	0.5115	0.23796	0.0	1.0	0.25349	0.27426	0.28976	0.23128	0.1574	0.2493	0.12852	0.0	0.13391	0.14075	0.12731	0.26137	0.1104	0.15264	0.18336	0.15592	0.09002	0.0	0.17072	0.2264	0.30612	0.0	0.0	0.12501	0.27929	0.12656	0.0	0.2242	0.11115	0.19047	0.13351	0.23847	0.17881	0.21462	0.177	0.10731	0.07703	0.23816	0.06422	0.0	0.06743	0.13401	0.11396	0.07834	0.10967	0.11115	0.11649	0.1381	0.11558	0.35982	0.0	0.1347	0.33932	0.087	0.33948	0.11052	0.16592	0.1746	0.11238	0.0	0.16668	0.05962	0.09895	0.0	0.08487	0.20355	0.15646	0.22924	0.11881	0.27463	0.14792	0.0	0.0	0.17166	0.29952	0.12028	0.51172	0.15029	0.12145	0.26195	0.15406	0.16644	0.10459	0.1037	0.19606	0.09561	0.21441	0.40366	0.18918	0.16805	0.33117	0.27737	0.13756	0.10532	0.205	0.13137	0.18804	0.11793	0.1265	0.14482	0.30359	0.32933	0.07262	0.1534	0.16871	0.16098	0.95466	0.18004	0.18341	0.24694	0.19832	0.0	0.16758	0.1072	0.04501	0.12346	0.16603	0.22149	0.07762	0.13321	0.14452	0.08944	0.10538	0.07192	0.37399	0.24323	0.15477	0.48487	0.58333	0.11944	0.16378	0.0799	0.07546	0.10687	0.07887	0.1227	0.0	0.11558	0.26742	0.08209	0.13545	0.16752	0.10365	0.26021	0.13907	0.27323	0.2572	0.21796	0.08655	0.15013	0.47995	0.30572	0.16343	0.10517	0.47771	0.71572	0.83708	0.09102	0.0	0.06332	0.1836	0.20789	0.1247	0.14561	0.14024	0.1214	0.3084	0.1353	0.22312	0.23752	0.18004	0.69028	0.19547	0.11502	0.15779	0.26917	0.16224	0.71313	0.1347	0.23782	0.24266	0.25836	0.0	0.18671	0.13372	0.20356	0.17217	0.34403	0.2674	0.08741	0.20132	0.15592	0.0	0.15999	0.23139	0.1252	0.15191	0.52998	0.52965	0.52926	0.13852	0.0	0.35618	0.1177	0.0	0.55908	0.32445	0.1133	0.22329	0.11031	0.10702	0.23196	0.0	0.10401	0.08922	0.09298	0.15195	0.03898
D00106	0.0	0.19035	0.7485	0.19136	0.25349	1.0	0.31719	0.29158	0.05349	0.0	0.72913	0.0	0.0	0.29743	0.02009	0.07732	0.11978	0.06809	0.0	0.0	0.0	0.0	0.0	0.0	0.21732	0.27695	0.02294	0.2002	0.03738	0.4653	0.04268	0.0	0.03794	0.0	0.0	0.18012	0.0	0.02514	0.15552	0.5032	0.04345	0.05036	0.28831	0.0	0.04345	0.06206	0.28066	0.0	0.0	0.06487	0.0	0.08157	0.0	0.0	0.22882	0.06665	0.0	0.02065	0.07926	0.15418	0.0	0.0633	0.05726	0.04134	0.0	0.36595	0.0	0.06966	0.0	0.12065	0.01886	0.0	0.02626	0.07216	0.27756	0.0	0.0	0.06349	0.0	0.0204	0.05542	0.0	0.12726	0.02048	0.15215	0.16266	0.26985	0.04235	0.0	0.0	0.09678	0.68855	0.06331	0.0512	0.08284	0.06587	0.2081	0.0	0.02678	0.37125	0.10574	0.0	0.04588	0.1742	0.02442	0.38326	0.27981	0.10815	0.38847	0.0	0.24129	0.242	0.05467	0.0	0.10861	0.0	0.04798	0.13005	0.0	0.19959	0.05157	0.0	0.0	0.0	0.24834	0.04439	0.0	0.0	0.17085	0.0	0.73108	0.0	0.27906	0.05638	0.01637	0.07461	0.20746	0.01761	0.01966	0.0	0.08438	0.0	0.0	0.24508	0.0	0.05657	0.06633	0.05993	0.45603	0.2639	0.46729	0.10864	0.15254	0.08568	0.31422	0.06603	0.26254	0.28839	0.11627	0.05316	0.36841	0.22304	0.04489	0.08108	0.10457	0.40039	0.39329	0.10513	0.12109	0.0	0.07373	0.04268	0.0	0.04863	0.23094	0.08201	0.22794	0.02281	0.06986	0.0659	0.0	0.26693	0.20177	0.04365	0.84333	0.43015	0.13805	0.0	0.0299	0.1706	0.49658	0.0	0.0	0.26499	0.09711	0.2565	0.07102	0.0	0.0	0.0	0.0861	0.04922	0.0	0.37276	0.27643	0.45663	0.0	0.0	0.12661	0.0	0.05404	0.24283	0.02645	0.27647	0.07922	0.05414	0.28721	0.35351	0.01618	0.10283	0.0217	0.04434	0.03497
D00110	0.40222	0.2597	0.4415	0.0	0.27426	0.31719	1.0	0.6402	0.22964	0.14911	0.4841	0.19299	0.03675	0.40145	0.17187	0.08651	0.16752	0.16866	0.15246	0.19802	0.11658	0.16733	0.0	0.28945	0.51974	0.31839	0.05906	0.0	0.1606	0.5841	0.22694	0.04065	0.23632	0.1738	0.29799	0.31147	0.26483	0.24471	0.29664	0.44193	0.04861	0.14334	0.32071	0.22647	0.0	0.19925	0.4459	0.14695	0.15151	0.2632	0.1738	0.1772	0.13794	0.18072	0.27314	0.10192	0.13454	0.2357	0.13604	0.23937	0.21451	0.21328	0.18953	0.20981	0.03195	0.40221	0.11498	0.21507	0.0	0.15286	0.22462	0.18579	0.22339	0.05382	0.1742	0.1106	0.15093	0.02745	0.23839	0.09819	0.15171	0.15449	0.12766	0.17403	0.29975	0.22307	0.4321	0.04738	0.13371	0.27529	0.18459	0.32417	0.13383	0.25149	0.29012	0.11263	0.50596	0.18695	0.12228	0.46297	0.4283	0.06389	0.15207	0.35509	0.14466	0.32683	0.34284	0.20827	0.51954	0.16441	0.48236	0.26182	0.06117	0.02608	0.23389	0.29442	0.09457	0.323	0.16762	0.21113	0.17481	0.20999	0.32167	0.14773	0.42262	0.32399	0.20273	0.19229	0.22683	0.39169	0.34361	0.20401	0.47275	0.13566	0.12725	0.05565	0.30874	0.14364	0.21111	0.1142	0.38632	0.03122	0.18072	0.49311	0.16929	0.12529	0.18804	0.18913	0.52855	0.33143	0.43125	0.24369	0.41176	0.14231	0.39839	0.13959	0.57646	0.17187	0.09728	0.12791	0.29037	0.24131	0.16568	0.03097	0.1871	0.15595	0.17658	0.29234	0.11384	0.16653	0.08249	0.21673	0.16835	0.07911	0.48977	0.06117	0.29517	0.29349	0.0521	0.208	0.24487	0.35989	0.25251	0.13454	0.31964	0.44421	0.27572	0.03343	0.23997	0.37188	0.43444	0.19905	0.31467	0.26532	0.13256	0.49494	0.05298	0.0	0.27126	0.28198	0.39421	0.2289	0.16001	0.39244	0.25716	0.34759	0.07026	0.29271	0.07998	0.07524	0.13002	0.34155	0.17716	0.38972	0.12037	0.12709	0.38378	0.0	0.07068	0.13951	0.21603	0.05163	0.09541
D00113	0.32243	0.26478	0.34523	0.0	0.28976	0.29158	0.6402	1.0	0.17004	0.14208	0.38366	0.16979	0.0288	0.4995	0.1294	0.0588	0.13664	0.17196	0.15544	0.14288	0.11886	0.1435	0.0	0.22944	0.72142	0.3408	0.02617	0.03856	0.12216	0.5534	0.13637	0.03185	0.18979	0.1772	0.42993	0.26526	0.21915	0.21311	0.2702	0.33056	0.04956	0.09277	0.31028	0.23572	0.0	0.25638	0.42665	0.16583	0.12734	0.2708	0.1772	0.18066	0.14064	0.18425	0.24491	0.07987	0.13717	0.16257	0.1387	0.2529	0.16979	0.16713	0.1497	0.15767	0.0	0.36103	0.07305	0.33575	0.0	0.1647	0.18599	0.21952	0.17976	0.05488	0.21928	0.11276	0.16637	0.04951	0.15871	0.06983	0.1336	0.10128	0.1321	0.14704	0.33795	0.1833	0.39318	0.04831	0.1509	0.23688	0.19381	0.31219	0.18258	0.17	0.27625	0.10855	0.50524	0.14435	0.09284	0.41518	0.32305	0.06514	0.15504	0.34055	0.14749	0.38266	0.33426	0.21653	0.47214	0.1323	0.43266	0.27663	0.12473	0.05319	0.23169	0.23962	0.16813	0.32308	0.19945	0.18408	0.16393	0.18698	0.25752	0.1444	0.39876	0.19611	0.18805	0.168	0.20779	0.35724	0.33135	0.23777	0.45168	0.13831	0.09813	0.05674	0.28355	0.1404	0.1793	0.12588	0.40891	0.02446	0.18425	0.42307	0.16603	0.10168	0.15891	0.16523	0.44751	0.35836	0.39539	0.2754	0.38067	0.14903	0.35993	0.13602	0.75333	0.22438	0.07287	0.19105	0.35404	0.25495	0.14332	0.02427	0.24074	0.16857	0.19088	0.25242	0.1261	0.14281	0.05607	0.28737	0.17164	0.08066	0.45389	0.06237	0.25651	0.25754	0.02656	0.21206	0.21807	0.3858	0.23871	0.13717	0.28068	0.38912	0.29651	0.0262	0.20767	0.35726	0.324	0.13738	0.27041	0.28167	0.13515	0.40357	0.05401	0.0	0.21502	0.23461	0.41725	0.20416	0.1049	0.34662	0.26835	0.36161	0.03113	0.24063	0.0589	0.07671	0.13256	0.40305	0.18062	0.41478	0.15285	0.12957	0.43089	0.0	0.0665	0.16911	0.18059	0.05264	0.08102
D00136	0.38422	0.1853	0.1213	0.04979	0.23128	0.05349	0.22964	0.17004	1.0	0.18461	0.13406	0.29308	0.0304	0.11384	0.36834	0.19252	0.45087	0.10503	0.34046	0.58132	0.26235	0.31449	0.0	0.26639	0.41007	0.08881	0.05524	0.13436	0.36498	0.09485	0.35937	0.03362	0.37057	0.13699	0.34183	0.23309	0.33769	0.32405	0.21459	0.16132	0.12825	0.3256	0.06565	0.1222	0.02616	0.20255	0.10479	0.2279	0.22636	0.35296	0.10575	0.11082	0.44821	0.10996	0.13191	0.21389	0.43717	0.28285	0.08277	0.19252	0.21733	0.28023	0.19615	0.30031	0.0	0.0	0.11061	0.26297	0.0	0.0	0.43449	0.21238	0.4903	0.20863	0.12943	0.24889	0.16563	0.2068	0.31919	0.25068	0.13667	0.24867	0.20634	0.16485	0.19139	0.42321	0.33216	0.125	0.2832	0.29844	0.2419	0.04761	0.19833	0.32358	0.24918	0.13182	0.15128	0.42365	0.10515	0.10144	0.19703	0.21328	0.26458	0.14926	0.32303	0.20721	0.17255	0.32629	0.08622	0.26076	0.18649	0.2208	0.16138	0.03652	0.13507	0.36819	0.11733	0.25563	0.19237	0.03291	0.49342	0.23217	0.39969	0.11747	0.15632	0.30589	0.30129	0.12987	0.1736	0.39133	0.0493	0.21008	0.15691	0.2208	0.30287	0.20669	0.22994	0.093	0.2674	0.12516	0.29826	0.02582	0.10996	0.35712	0.26266	0.23885	0.22079	0.15686	0.13837	0.05773	0.12851	0.22509	0.26758	0.37559	0.09398	0.20685	0.15311	0.0	0.18546	0.20818	0.15302	0.2035	0.14064	0.07436	0.19019	0.03356	0.038	0.27053	0.26361	0.39821	0.15399	0.22624	0.34845	0.29969	0.22154	0.17128	0.27807	0.33174	0.06451	0.24622	0.29967	0.05385	0.31333	0.16372	0.04759	0.13836	0.07023	0.02765	0.29964	0.1549	0.23014	0.37817	0.43392	0.10176	0.08316	0.2225	0.20534	0.0	0.34709	0.50589	0.30434	0.308	0.25754	0.14534	0.18107	0.02532	0.03286	0.44045	0.18365	0.10556	0.24415	0.16177	0.13963	0.16601	0.13689	0.12354	0.1044	0.16317	0.17677	0.13031	0.40202	0.1807	0.24519
D00139	0.21523	0.13897	0.0297	0.0	0.1574	0.0	0.14911	0.14208	0.18461	1.0	0.03112	0.15248	0.08154	0.03053	0.24977	0.22061	0.15962	0.35838	0.20752	0.21482	0.16825	0.15322	0.0	0.19962	0.14608	0.10915	0.03704	0.0	0.24805	0.11889	0.17207	0.09018	0.19818	0.17992	0.19047	0.17052	0.17947	0.25082	0.15088	0.04031	0.1158	0.1412	0.17935	0.14492	0.0	0.15044	0.03822	0.2087	0.1268	0.15419	0.17992	0.33348	0.18776	0.18708	0.11222	0.05653	0.18313	0.17651	0.23899	0.13738	0.18941	0.17648	0.20647	0.18338	0.0	0.0	0.11693	0.13912	0.0	0.0	0.17355	0.17012	0.1824	0.20588	0.11011	0.15962	0.08885	0.03045	0.23939	0.17465	0.17003	0.17093	0.14996	0.19818	0.14052	0.16394	0.17464	0.11287	0.1899	0.19522	0.18058	0.0	0.15026	0.20263	0.27129	0.0795	0.12641	0.09403	0.1129	0.02267	0.15792	0.15219	0.12726	0.09879	0.1969	0.13511	0.11743	0.14492	0.02891	0.13424	0.18164	0.15026	0.23399	0.04897	0.25465	0.19747	0.05245	0.15532	0.17352	0.0	0.30231	0.23709	0.21988	0.18414	0.1503	0.17477	0.17847	0.17057	0.15307	0.23871	0.0	0.18096	0.14168	0.15026	0.16327	0.13255	0.1202	0.15059	0.149	0.20147	0.20924	0.06925	0.18708	0.13527	0.2257	0.14728	0.30708	0.16776	0.1771	0.03871	0.15732	0.19625	0.19491	0.17983	0.0388	0.15671	0.12794	0.03023	0.14299	0.14168	0.10414	0.13849	0.14733	0.03435	0.14127	0.0	0.0	0.16954	0.15354	0.22884	0.21037	0.15856	0.19503	0.19953	0.12523	0.14571	0.15902	0.23187	0.12411	0.1845	0.41563	0.03611	0.2389	0.18313	0.0	0.17766	0.11948	0.07417	0.26128	0.10058	0.03787	0.12964	0.22706	0.12068	0.29089	0.13518	0.20264	0.0	0.18708	0.21111	0.21351	0.17762	0.17703	0.09991	0.12446	0.0	0.08814	0.21668	0.12797	0.04719	0.14402	0.13935	0.18339	0.19335	0.32453	0.1455	0.23128	0.0	0.13837	0.15187	0.175	0.12298	0.16441
