data	D00035	D00110	D00136	D00195	D00219	D00225	D00227	D00228	D00234	D00252	D00274	D00283	D00293	D00294	D00303	D00319	D00326	D00329	D00331	D00332	D00335	D00336	D00338	D00340	D00345	D00349	D00351	D00354	D00358	D00364	D00367	D00373	D00379	D00380	D00392	D00394	D00418	D00437	D00438	D00451	D00456	D00464	D00474	D00477	D00480	D00495	D00499	D00504	D00512	D00513	D00519	D00521	D00524	D00528	D00530	D00533	D00536	D00537	D00538	D00539	D00542	D00543	D00544	D00545	D00546	D00547	D00548	D00549	D00550	D00552	D00553	D00560	D00563	D00574	D00593	D00594	D00607	D00611	D00615	D00616	D00617	D00618	D00619	D00629	D00631	D00633	D00636	D00638	D00639	D00640	D00642	D00647	D00648	D00649	D00650	D00651	D00654	D00656	D00658	D00677	D00678	D00694	D00697	D00704	D00708	D00709	D00711	D00726	D00732	D00733	D00735	D00738	D00739	D00740	D00741	D00759	D00760	D00761	D00765	D00771	D00775	D00779	D00791	D00798	D00799	D00809	D00812	D00816	D00823	D00831	D00960	D00963	D00964	D01071	D01108	D01111	D01118	D01242	D01243	D01253	D01256	D01275	D01287	D01295	D01350	D01448	D01450	D01453	D01575	D01599	D01603	D01712	D01768	D01799	D01828	D01854	D01969	D02041	D02086	D02087	D02088	D02092	D02098	D02101	D02163	D02173	D02204	D02207	D02234	D02237	D02253	D02261	D02262	D02272	D02347	D02356	D02360	D02362	D02409	D02461	D02485	D02546	D02566	D02630	D02914	D03037	D03180	D03274	D03365	D03450	D03580	D03742	D03826	D03830	D03878	D03991	D04034	D04048	D04370	D04790	D04985	D04999	D05024	D05077	D05156	D05453	D05458	D05461	D06106	D06172
D00035	1.0	0.54577	0.08326	0.35545	0.17198	0.0	0.04868	0.0	0.07746	0.10852	0.07665	0.0	0.0	0.06901	0.0	0.14566	0.0	0.0424	0.05754	0.0	0.14857	0.14639	0.0	0.07098	0.09542	0.1398	0.22982	0.0	0.10768	0.16457	0.0	0.14034	0.1611	0.1722	0.12524	0.0	0.05094	0.13544	0.12434	0.05787	0.0	0.0	0.1084	0.10328	0.0	0.18257	0.13499	0.16406	0.09822	0.0	0.06942	0.11091	0.0	0.06981	0.0	0.13429	0.10609	0.26797	0.0744	0.13333	0.0	0.0	0.0	0.0	0.0	0.0	0.14802	0.0	0.0	0.19365	0.17455	0.10906	0.05086	0.10127	0.13588	0.21595	0.03636	0.05762	0.13279	0.37069	0.11623	0.12942	0.0	0.13092	0.04243	0.0	0.07633	0.18118	0.0	0.13993	0.37984	0.05155	0.1394	0.09477	0.05607	0.05846	0.06368	0.05593	0.06341	0.38214	0.0	0.07607	0.1555	0.0	0.16631	0.05634	0.0	0.09759	0.15191	0.09074	0.19455	0.15282	0.10127	0.15492	0.14907	0.20996	0.09297	0.11816	0.31888	0.0	0.0	0.09206	0.08782	0.13595	0.07778	0.0	0.10852	0.0	0.0	0.21791	0.0	0.39216	0.0	0.12526	0.04816	0.3384	0.0	0.03493	0.16631	0.09263	0.05867	0.2063	0.3161	0.0	0.2712	0.18029	0.23499	0.06698	0.07177	0.1527	0.03396	0.04134	0.09428	0.16426	0.04263	0.35565	0.0	0.39212	0.10328	0.18153	0.1101	0.07502	0.09589	0.30903	0.17704	0.16635	0.0	0.16025	0.04328	0.14774	0.08763	0.39532	0.39004	0.35083	0.08782	0.0	0.25655	0.31776	0.09564	0.27196	0.03646	0.31905	0.05129	0.0	0.14372	0.13868	0.1378	0.20012	0.12524	0.1864	0.33985	0.26472	0.19138	0.33553	0.11379	0.23212	0.16827	0.30997	0.39098	0.47716	0.11978	0.32521	0.22391	0.18592	0.18739	0.0	0.0	0.04003	0.09759	0.11547
D00110	0.54577	1.0	0.22964	0.44319	0.25	0.19299	0.03675	0.18425	0.17187	0.27046	0.19802	0.16733	0.23455	0.11367	0.18545	0.2109	0.1993	0.20411	0.18724	0.0	0.14971	0.1606	0.20692	0.17352	0.27164	0.22494	0.2993	0.10096	0.15319	0.22694	0.17491	0.17906	0.16731	0.23632	0.09456	0.1738	0.05912	0.22647	0.18003	0.14695	0.21153	0.20627	0.32381	0.22781	0.1738	0.13784	0.10192	0.29556	0.30178	0.13604	0.16151	0.21328	0.03195	0.11498	0.16331	0.37056	0.34769	0.29902	0.21191	0.10067	0.0	0.0	0.04518	0.0	0.0	0.03586	0.51243	0.15456	0.16399	0.37096	0.24631	0.22462	0.18579	0.22339	0.13691	0.33001	0.02745	0.0	0.29744	0.4089	0.20991	0.2164	0.07747	0.18957	0.27796	0.1146	0.23467	0.09678	0.08127	0.23249	0.40905	0.15165	0.18672	0.12655	0.26913	0.27365	0.15567	0.06717	0.14751	0.52608	0.19293	0.21846	0.25775	0.0	0.33119	0.16349	0.24925	0.18695	0.29101	0.22632	0.15812	0.14494	0.05877	0.29677	0.16154	0.37113	0.12228	0.21802	0.46297	0.08009	0.06389	0.15207	0.11727	0.17345	0.1195	0.1738	0.18853	0.1845	0.19299	0.23614	0.04989	0.48444	0.10582	0.09457	0.03636	0.58265	0.16762	0.14773	0.23468	0.23912	0.13649	0.40308	0.29361	0.32399	0.34864	0.18385	0.13373	0.11032	0.17627	0.15859	0.14364	0.03122	0.1259	0.17059	0.18804	0.49083	0.06925	0.62749	0.14693	0.28114	0.15663	0.19379	0.12805	0.38976	0.17826	0.31586	0.0	0.29764	0.16568	0.03097	0.06616	0.36925	0.3629	0.38204	0.21252	0.07911	0.48384	0.40021	0.25805	0.49345	0.091	0.30441	0.208	0.11353	0.22009	0.12482	0.10404	0.31467	0.26532	0.12046	0.41571	0.41195	0.311	0.41747	0.34978	0.22607	0.29271	0.28791	0.53824	0.50402	0.09043	0.33328	0.28031	0.28794	0.27514	0.19637	0.19002	0.17434	0.07368	0.16428
D00136	0.08326	0.22964	1.0	0.05829	0.36895	0.29308	0.0304	0.23106	0.36834	0.18248	0.58132	0.31449	0.40436	0.34799	0.25693	0.24003	0.26423	0.43132	0.25405	0.13436	0.21649	0.36498	0.35672	0.23049	0.34411	0.12613	0.4524	0.2272	0.20173	0.35937	0.39735	0.22455	0.25627	0.37057	0.07821	0.13699	0.08277	0.1222	0.14022	0.2279	0.17468	0.31326	0.30135	0.43552	0.10575	0.11401	0.21389	0.2049	0.26639	0.08277	0.17842	0.28023	0.0	0.11061	0.25543	0.33159	0.2618	0.04429	0.13939	0.16653	0.0	0.0	0.0	0.0	0.0	0.0	0.25558	0.20125	0.23255	0.42347	0.16722	0.43449	0.21238	0.4903	0.25667	0.23815	0.2068	0.0828	0.20374	0.25752	0.18717	0.11676	0.29346	0.14765	0.23814	0.20155	0.29302	0.17884	0.0	0.15686	0.09788	0.35562	0.37798	0.17754	0.24593	0.21679	0.20678	0.15038	0.22464	0.19045	0.15932	0.29204	0.34525	0.04309	0.2736	0.03519	0.35579	0.42365	0.42706	0.29169	0.28491	0.10501	0.25943	0.43552	0.33833	0.26121	0.10515	0.11337	0.10144	0.22844	0.21328	0.26458	0.23086	0.21752	0.23525	0.13699	0.11471	0.11226	0.25586	0.10438	0.0967	0.07215	0.22408	0.11733	0.03008	0.1785	0.19237	0.11747	0.15932	0.43349	0.20786	0.19802	0.09309	0.30589	0.01836	0.23438	0.10205	0.10612	0.16028	0.22983	0.093	0.02582	0.21493	0.24722	0.22079	0.15809	0.26859	0.18422	0.19349	0.25343	0.06875	0.56892	0.26657	0.05304	0.24373	0.087	0.04291	0.14839	0.14064	0.07436	0.16417	0.11644	0.12838	0.1279	0.30221	0.29969	0.28276	0.14843	0.21657	0.33475	0.37564	0.02621	0.24622	0.77522	0.11719	0.44122	0.18527	0.43392	0.10176	0.21085	0.06989	0.18111	0.14053	0.22194	0.18207	0.26487	0.44045	0.08296	0.19485	0.1324	0.13229	0.2675	0.29951	0.25956	0.05158	0.458	0.11338	0.22014	0.18283	0.07211
D00195	0.35545	0.44319	0.05829	1.0	0.04742	0.08836	0.0	0.2125	0.17205	0.17235	0.09491	0.13808	0.12066	0.05709	0.08233	0.04352	0.12421	0.12782	0.05476	0.0	0.04097	0.11913	0.10645	0.02586	0.08037	0.06265	0.22633	0.05672	0.05794	0.07974	0.11857	0.17377	0.04986	0.0533	0.0337	0.13197	0.02741	0.0607	0.03715	0.09574	0.07649	0.09445	0.0875	0.05557	0.10505	0.0	0.0	0.10178	0.10314	0.15355	0.02529	0.12443	0.0	0.0	0.05278	0.13616	0.08563	0.29594	0.09232	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19384	0.06664	0.11117	0.06947	0.12523	0.11648	0.21629	0.05449	0.03747	0.23888	0.0	0.0	0.07145	0.33971	0.06254	0.058	0.11772	0.03912	0.08911	0.07084	0.08833	0.10336	0.14085	0.18081	0.63483	0.10453	0.04085	0.0	0.08786	0.07029	0.04639	0.04626	0.0231	0.31678	0.06977	0.07373	0.02323	0.0	0.14915	0.1304	0.09013	0.02626	0.05449	0.13677	0.16491	0.08223	0.17169	0.05557	0.05348	0.26422	0.06636	0.3407	0.45153	0.07426	0.05924	0.14861	0.14176	0.16833	0.13816	0.13197	0.17235	0.14009	0.12028	0.17743	0.02313	0.49184	0.06542	0.0259	0.0	0.32599	0.10132	0.07336	0.11932	0.08977	0.04274	0.39634	0.2376	0.12507	0.41328	0.1085	0.10116	0.0	0.07877	0.04726	0.07132	0.0	0.1091	0.05084	0.09174	0.27737	0.10898	0.38125	0.05557	0.14652	0.05924	0.11307	0.11096	0.88966	0.12405	0.62367	0.0	0.30039	0.15588	0.05743	0.0	0.58553	0.56448	0.5778	0.05344	0.09985	0.34079	0.46223	0.06233	0.28856	0.06476	0.27679	0.13533	0.05597	0.05452	0.11013	0.0	0.12504	0.2621	0.05676	0.90492	0.52664	0.25179	0.33826	0.22868	0.23333	0.12131	0.23299	0.32411	0.35376	0.0	0.11666	0.25494	0.15006	0.31946	0.10883	0.11264	0.04308	0.0	0.06213
D00219	0.17198	0.25	0.36895	0.04742	1.0	0.12959	0.05154	0.1146	0.16013	0.27995	0.30915	0.06967	0.21262	0.36411	0.15727	0.20785	0.26767	0.18503	0.34163	0.116	0.77479	0.78577	0.18757	0.33878	0.38336	0.17384	0.22585	0.1045	0.18518	0.23946	0.14564	0.24436	0.81404	0.56527	0.12016	0.08603	0.15799	0.16842	0.20024	0.26708	0.18791	0.13852	0.41216	0.338	0.08603	0.20933	0.39306	0.44506	0.27605	0.06734	0.38414	0.25794	0.0	0.14485	0.20569	0.43252	0.31214	0.06099	0.30556	0.37476	0.0	0.0	0.0	0.0	0.0	0.0	0.26754	0.16371	0.09795	0.37984	0.23859	0.29447	0.12109	0.48546	0.66963	0.29017	0.1992	0.07617	0.33418	0.245	0.20002	0.16093	0.15196	0.21085	0.23008	0.17403	0.23976	0.28276	0.0	0.16971	0.09953	0.25112	0.2965	0.22562	0.32539	0.38365	0.30394	0.17287	0.2941	0.27808	0.17139	0.18111	0.23908	0.0	0.42155	0.12293	0.28388	0.25488	0.29797	0.30309	0.44442	0.26587	0.14395	0.30387	0.36797	0.31101	0.10669	0.0686	0.11102	0.04561	0.10915	0.2432	0.16653	0.23671	0.1697	0.08603	0.09332	0.09132	0.25919	0.12725	0.08523	0.14353	0.28123	0.35226	0.08283	0.17903	0.08297	0.09706	0.22732	0.22975	0.30629	0.19719	0.20584	0.14865	0.07001	0.20952	0.25241	0.13897	0.1774	0.7826	0.11681	0.04378	0.22446	0.8106	0.25082	0.24102	0.13386	0.19497	0.17762	0.22629	0.15296	0.30255	0.28214	0.04315	0.20981	0.05113	0.05909	0.11123	0.09905	0.27058	0.22606	0.11841	0.17673	0.17606	0.4765	0.15519	0.13006	0.21002	0.23654	0.27561	0.16852	0.02774	0.23403	0.19395	0.1627	0.20869	0.35571	0.2877	0.12417	0.24904	0.10465	0.1472	0.21324	0.21115	0.16308	0.47487	0.26869	0.19039	0.28451	0.16635	0.26684	0.32973	0.13117	0.23177	0.06295	0.22366	0.09224	0.15361	0.31626	0.16043
D00225	0.0	0.19299	0.29308	0.08836	0.12959	1.0	0.0	0.30873	0.22228	0.25122	0.22782	0.37834	0.36611	0.22856	0.32579	0.18256	0.25714	0.31859	0.14193	0.0	0.08593	0.20501	0.32298	0.07561	0.2832	0.13012	0.22219	0.31002	0.13261	0.19676	0.42524	0.23605	0.10459	0.11179	0.0	0.23159	0.08015	0.13614	0.08502	0.13998	0.23636	0.66901	0.23331	0.11657	0.23159	0.0	0.0	0.22828	0.39527	0.18443	0.07395	0.32303	0.0	0.0	0.14556	0.27424	0.22833	0.0	0.24616	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22254	0.19488	0.76987	0.14571	0.21066	0.20864	0.2778	0.1143	0.07858	0.22343	0.0	0.0	0.18078	0.1686	0.13717	0.13008	0.12655	0.08953	0.32124	0.10358	0.2006	0.05702	0.1499	0.21595	0.09478	0.1082	0.08568	0.0648	0.19953	0.23507	0.06783	0.15582	0.09689	0.19249	0.21558	0.52224	0.15649	0.0	0.23863	0.0	0.24033	0.21025	0.1143	0.23848	0.10979	0.12547	0.07968	0.11657	0.11217	0.17288	0.07764	0.12256	0.0	0.40591	0.08662	0.22962	0.15626	0.22867	0.15923	0.23159	0.25122	0.24585	0.249	0.17144	0.09703	0.0	0.20111	0.0	0.0	0.16185	0.22336	0.1856	0.20072	0.37966	0.0625	0.14008	0.11123	0.40781	0.0	0.12505	0.11576	0.0	0.22823	0.09913	0.15723	0.0	0.11611	0.10663	0.14291	0.12752	0.14073	0.16067	0.1272	0.22601	0.13559	0.22296	0.07544	0.0804	0.13674	0.12171	0.0	0.08239	0.18758	0.0	0.0	0.11275	0.10832	0.10791	0.13032	0.12924	0.39735	0.15134	0.16619	0.16049	0.24673	0.0	0.3778	0.32026	0.12229	0.18951	0.0	0.31181	0.09854	0.07937	0.08178	0.13221	0.11728	0.14531	0.22749	0.20922	0.41396	0.10907	0.19694	0.0	0.0	0.27037	0.19857	0.23147	0.04995	0.25221	0.25264	0.09594	0.0	0.14221
D00227	0.04868	0.03675	0.0304	0.0	0.05154	0.0	1.0	0.0	0.02828	0.03962	0.02798	0.0	0.0	0.05039	0.0	0.03841	0.0	0.0	0.04202	0.0	0.04453	0.04387	0.0	0.08691	0.03939	0.03687	0.04794	0.0	0.11793	0.03004	0.0	0.03416	0.04997	0.08957	0.04572	0.0	0.0	0.03572	0.03279	0.13969	0.0692	0.0	0.03958	0.03771	0.0	0.04444	0.04928	0.05989	0.03586	0.07439	0.08501	0.05399	0.0	0.3606	0.03112	0.04903	0.03873	0.02589	0.05433	0.04868	0.0	0.0	0.0	0.0	0.0	0.0	0.10808	0.10404	0.03278	0.04713	0.04248	0.13272	0.0	0.03697	0.04072	0.05256	0.02655	0.0	0.0398	0.02576	0.03065	0.03413	0.0352	0.03453	0.0	0.0	0.02787	0.02646	0.08887	0.03406	0.06088	0.03764	0.04784	0.0692	0.06866	0.07158	0.07797	0.04084	0.07764	0.1127	0.06311	0.02777	0.07253	0.0	0.04048	0.0	0.0	0.03563	0.03697	0.09172	0.03551	0.11158	0.0	0.03771	0.03628	0.0454	0.07356	0.04012	0.01977	0.05039	0.04019	0.0	0.0	0.03309	0.0	0.0	0.0	0.0	0.0	0.02652	0.03139	0.02556	0.0	0.04573	0.03517	0.02745	0.0	0.54927	0.04048	0.03382	0.07184	0.05768	0.09892	0.0	0.03601	0.04615	0.10295	0.41245	0.0262	0.04736	0.04386	0.77093	0.03442	0.05095	0.21786	0.03222	0.03434	0.16353	0.11312	0.03747	0.12058	0.02739	0.03501	0.01408	0.02439	0.0	0.0	0.0195	0.0	0.0599	0.06979	0.05232	0.08443	0.08411	0.03625	0.03595	0.0	0.0	0.29263	0.03169	0.02662	0.0	0.0	0.0	0.05538	0.02531	0.05031	0.03394	0.0	0.02567	0.03296	0.03068	0.10139	0.03927	0.04898	0.03197	0.02457	0.097	0.11531	0.02547	0.04373	0.03958	0.07007	0.03838	0.01782	0.0	0.0	0.08769	0.03563	0.12647
D00228	0.0	0.18425	0.23106	0.2125	0.1146	0.30873	0.0	1.0	0.27511	0.28061	0.16587	0.3433	0.29481	0.09966	0.26401	0.11396	0.31883	0.25654	0.12755	0.04706	0.07152	0.11876	0.26008	0.07983	0.25088	0.14584	0.23676	0.14853	0.10115	0.15998	0.39341	0.33004	0.1205	0.16456	0.0	0.25869	0.08463	0.15192	0.09728	0.1896	0.22567	0.40036	0.25814	0.1716	0.25869	0.0	0.0	0.25475	0.36034	0.2426	0.07809	0.31823	0.0	0.0	0.16296	0.30417	0.25263	0.0	0.23106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2457	0.21923	0.27161	0.16789	0.2771	0.25823	0.4179	0.1317	0.09054	0.32171	0.06832	0.0	0.20051	0.21349	0.15396	0.14517	0.17087	0.10243	0.31135	0.12368	0.22011	0.12041	0.15828	0.34225	0.17186	0.12546	0.09872	0.0	0.19153	0.22824	0.07162	0.04038	0.07132	0.18378	0.20583	0.31252	0.07173	0.0	0.26402	0.08137	0.26591	0.15154	0.1317	0.26167	0.16162	0.13249	0.24139	0.13431	0.09336	0.18547	0.05445	0.18632	0.0391	0.12965	0.10343	0.35217	0.2309	0.31971	0.23529	0.25869	0.31978	0.31295	0.30873	0.1548	0.07142	0.0	0.1142	0.0	0.0	0.17907	0.24949	0.18064	0.26402	0.24677	0.09467	0.17462	0.11745	0.40415	0.0	0.18478	0.12224	0.0	0.22523	0.11422	0.17563	0.0	0.15664	0.15697	0.19095	0.14243	0.15646	0.17777	0.09702	0.3922	0.10343	0.16233	0.15932	0.19173	0.20206	0.20119	0.0	0.11964	0.27215	0.03853	0.0	0.20446	0.19642	0.19567	0.1484	0.1745	0.2587	0.30144	0.18388	0.15656	0.13146	0.0	0.37639	0.21471	0.13647	0.13481	0.0	0.23851	0.16287	0.16763	0.19502	0.20941	0.21266	0.18399	0.25094	0.2333	0.25513	0.11517	0.18803	0.0	0.0	0.29727	0.14733	0.40169	0.08257	0.39782	0.28193	0.21104	0.0	0.10847
D00234	0.07746	0.17187	0.36834	0.17205	0.16013	0.22228	0.02828	0.27511	1.0	0.2594	0.2982	0.27658	0.25869	0.17123	0.27308	0.13053	0.29641	0.24975	0.19786	0.0	0.16711	0.25793	0.22822	0.07755	0.23699	0.14104	0.1951	0.20075	0.10325	0.34528	0.28202	0.26736	0.22221	0.18864	0.03638	0.26819	0.1029	0.12335	0.11142	0.20556	0.29309	0.23758	0.17782	0.16669	0.23913	0.0	0.06028	0.24347	0.2633	0.25321	0.04033	0.44356	0.0	0.0	0.17337	0.21674	0.20484	0.0	0.18761	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16187	0.27185	0.19281	0.20837	0.22468	0.51431	0.34978	0.19288	0.20741	0.32186	0.02748	0.10043	0.14288	0.24267	0.16996	0.13874	0.34098	0.11733	0.34094	0.20098	0.13506	0.17379	0.15207	0.27718	0.19693	0.25847	0.14458	0.02753	0.20715	0.18604	0.06958	0.08684	0.06928	0.19385	0.26732	0.18546	0.16245	0.04009	0.24628	0.06547	0.18317	0.07876	0.16346	0.29236	0.31804	0.18647	0.36938	0.16669	0.15171	0.2639	0.1917	0.21666	0.03146	0.21958	0.3376	0.33821	0.24696	0.25899	0.24486	0.23913	0.29092	0.25385	0.28703	0.14302	0.11181	0.02033	0.21273	0.02797	0.0	0.23257	0.20261	0.18728	0.21408	0.2728	0.08718	0.11985	0.19154	0.33454	0.0	0.19229	0.19935	0.0	0.19782	0.21062	0.16829	0.02402	0.12261	0.19912	0.14745	0.1573	0.31506	0.12246	0.09903	0.27126	0.10557	0.29184	0.17424	0.15523	0.21611	0.14055	0.0	0.22038	0.39655	0.12401	0.05091	0.23429	0.22507	0.22422	0.1671	0.34823	0.21953	0.23669	0.12666	0.19014	0.11062	0.0	0.27503	0.37807	0.1108	0.22435	0.06153	0.2595	0.21662	0.14462	0.1579	0.24296	0.10726	0.20914	0.18133	0.3851	0.29813	0.18782	0.19833	0.04662	0.02674	0.2408	0.28605	0.27782	0.10981	0.23347	0.30999	0.15064	0.0567	0.11072
D00252	0.10852	0.27046	0.18248	0.17235	0.27995	0.25122	0.03962	0.28061	0.2594	1.0	0.18696	0.28971	0.38749	0.25485	0.24381	0.25691	0.25943	0.3372	0.1906	0.0	0.28761	0.32862	0.34184	0.10865	0.37366	0.28767	0.19734	0.18034	0.30248	0.34775	0.3418	0.2727	0.31601	0.28534	0.10193	0.51478	0.05394	0.29346	0.2193	0.22461	0.26947	0.26852	0.39647	0.23545	0.43335	0.14859	0.20702	0.61016	0.42544	0.28593	0.10627	0.2438	0.0	0.05682	0.15944	0.76643	0.38801	0.02886	0.38577	0.16278	0.0	0.0	0.0	0.0	0.0	0.0	0.32075	0.21189	0.28393	0.24177	0.47295	0.24348	0.36307	0.23088	0.2545	0.31551	0.0681	0.0	0.31975	0.25189	0.30608	0.28041	0.10211	0.23092	0.29853	0.19298	0.26027	0.16522	0.19333	0.44204	0.12018	0.18337	0.1392	0.1273	0.30453	0.28525	0.13256	0.09104	0.09706	0.31367	0.24578	0.27152	0.13714	0.0	0.4055	0.0	0.27208	0.17081	0.18966	0.34634	0.18217	0.28619	0.10724	0.19342	0.18612	0.27394	0.14337	0.16809	0.04407	0.14614	0.11658	0.26178	0.30349	0.26417	0.30927	0.47407	0.55839	0.50324	0.25122	0.15383	0.04552	0.05697	0.16675	0.1803	0.0392	0.30563	0.41795	0.33103	0.45062	0.40601	0.12213	0.21891	0.25371	0.30004	0.02393	0.30756	0.26405	0.05451	0.28837	0.29953	0.27489	0.03365	0.17657	0.28375	0.1701	0.33067	0.08809	0.27303	0.29013	0.34557	0.30928	0.18297	0.17959	0.15683	0.31995	0.18582	0.0	0.13869	0.5336	0.07682	0.10698	0.14298	0.15889	0.15829	0.20769	0.10428	0.27043	0.15943	0.26598	0.32823	0.14818	0.0	0.37346	0.11014	0.27328	0.15196	0.21133	0.43699	0.18359	0.09447	0.18029	0.16765	0.21348	0.21708	0.36878	0.38384	0.4021	0.24878	0.32092	0.05677	0.18369	0.35236	0.25437	0.35393	0.09307	0.24639	0.39682	0.07497	0.15885	0.32437
