data	D00040	D00066	D00067	D00075	D00088	D00094	D00105	D00129	D00143	D00163	D00182	D00187	D00188	D00211	D00246	D00279	D00299	D00312	D00316	D00327	D00348	D00443	D00462	D00506	D00554	D00565	D00577	D00585	D00586	D00596	D00627	D00690	D00730	D00898	D00930	D00950	D00951	D00954	D00956	D00961	D00962	D00965	D01115	D01132	D01161	D01217	D01294	D01387	D01441	D01689	D02217	D02367	D04066	D05341
D00040	1.0	0.70657	0.56584	0.67302	0.68204	0.10382	0.60242	0.57503	0.88729	0.79783	0.63258	0.67591	0.72835	0.40124	0.59505	0.02589	0.7018	0.47892	0.0	0.69357	0.1032	0.61557	0.7476	0.0	0.59046	0.04624	0.0	0.53359	0.06017	0.0	0.0	0.55005	0.0	0.0	0.62105	0.63379	0.61508	0.63379	0.57666	0.0	0.03165	0.01831	0.58255	0.04167	0.5073	0.68292	0.59635	0.54637	0.0	0.59481	0.0	0.62507	0.52922	0.0
D00066	0.70657	1.0	0.58893	0.83086	0.7948	0.06454	0.56123	0.44832	0.83539	0.72494	0.77175	0.52713	0.54488	0.32459	0.71293	0.10245	0.51879	0.52122	0.05467	0.8196	0.06415	0.77889	0.82723	0.12109	0.53751	0.0968	0.0	0.66411	0.05733	0.06493	0.0	0.66206	0.08546	0.0	0.4208	0.77253	0.63344	0.77253	0.73896	0.06249	0.08522	0.07244	0.74743	0.05954	0.51394	0.9192	0.69207	0.6996	0.05099	0.73166	0.08983	0.65416	0.53985	0.0
D00067	0.56584	0.58893	1.0	0.66641	0.57482	0.0229	0.94188	0.42987	0.55722	0.58144	0.65041	0.46785	0.47926	0.27676	0.45948	0.03027	0.45575	0.80915	0.02236	0.52558	0.02276	0.52301	0.54134	0.11756	0.87603	0.03057	0.17844	0.49644	0.02345	0.06739	0.09776	0.43033	0.03496	0.16658	0.40281	0.65065	0.40449	0.65065	0.69501	0.02685	0.0514	0.04281	0.48682	0.0804	0.65096	0.53433	0.5196	0.44617	0.04491	0.48646	0.22394	0.63797	0.76999	0.0
D00075	0.67302	0.83086	0.66641	1.0	0.86594	0.04369	0.6845	0.5256	0.72139	0.69353	0.84383	0.59678	0.61327	0.27171	0.60952	0.08666	0.5887	0.5818	0.04267	0.73993	0.04343	0.72569	0.7146	0.10101	0.61194	0.08075	0.0	0.67371	0.04475	0.05069	0.0	0.56435	0.06671	0.0	0.47406	0.84441	0.51705	0.84441	0.84173	0.04878	0.07592	0.04085	0.67648	0.04648	0.59882	0.78877	0.63301	0.61553	0.0398	0.66519	0.05947	0.73283	0.63787	0.0
D00088	0.68204	0.7948	0.57482	0.86594	1.0	0.03871	0.56764	0.55238	0.7579	0.73161	0.81501	0.58019	0.59711	0.32984	0.69138	0.12547	0.57104	0.507	0.04919	0.78925	0.03848	0.67008	0.72432	0.10895	0.59417	0.13279	0.0	0.68059	0.0714	0.05842	0.0	0.63217	0.07689	0.0	0.5198	0.81493	0.51688	0.81493	0.73309	0.07367	0.11407	0.04708	0.6557	0.05357	0.53006	0.74872	0.6056	0.65649	0.0612	0.69379	0.06326	0.70375	0.54078	0.0
D00094	0.10382	0.06454	0.0229	0.04369	0.03871	1.0	0.0	0.11853	0.02084	0.07566	0.04142	0.15892	0.19579	0.19892	0.0817	0.03151	0.10334	0.03876	0.15144	0.05938	0.95982	0.04251	0.02181	0.09179	0.0	0.03182	0.05711	0.09173	0.05617	0.18656	0.06389	0.05593	0.03639	0.07997	0.14342	0.04128	0.1221	0.04128	0.03878	0.02148	0.09782	0.06685	0.04091	0.02535	0.04972	0.04155	0.0754	0.08831	0.01887	0.05376	0.04977	0.06125	0.0	0.25658
D00105	0.60242	0.56123	0.94188	0.6845	0.56764	0.0	1.0	0.45732	0.59362	0.61465	0.64645	0.46297	0.47389	0.27546	0.42228	0.03	0.48911	0.7603	0.02216	0.49485	0.0	0.5184	0.57686	0.05825	0.90878	0.03029	0.17683	0.45129	0.02324	0.04655	0.09687	0.40002	0.03464	0.16508	0.4294	0.64742	0.43604	0.64742	0.71054	0.02661	0.05093	0.02121	0.47811	0.07968	0.69484	0.5512	0.50052	0.41104	0.0445	0.45715	0.18074	0.63191	0.82156	0.0
D00129	0.57503	0.44832	0.42987	0.5256	0.55238	0.11853	0.45732	1.0	0.54111	0.61651	0.49349	0.76961	0.80877	0.33153	0.40494	0.12436	0.71526	0.36384	0.06618	0.47517	0.14214	0.42692	0.44986	0.0	0.44441	0.12743	0.0	0.37432	0.03853	0.01677	0.0	0.36452	0.02872	0.06312	0.82724	0.49444	0.35756	0.49444	0.44999	0.0	0.0	0.0	0.40326	0.12006	0.44309	0.42867	0.3923	0.42929	0.0	0.4379	0.02221	0.51527	0.40175	0.1233
D00143	0.88729	0.83539	0.55722	0.72139	0.7579	0.02084	0.59362	0.54111	1.0	0.83085	0.68466	0.57516	0.59135	0.37875	0.65753	0.0551	0.61743	0.48857	0.0407	0.75631	0.02071	0.67562	0.82444	0.0696	0.58466	0.05564	0.0	0.54979	0.04268	0.04835	0.0	0.61333	0.06363	0.0	0.57611	0.68564	0.63889	0.68564	0.63358	0.04652	0.05051	0.05845	0.66696	0.04433	0.51861	0.80391	0.61572	0.64783	0.03796	0.66523	0.03782	0.61781	0.55634	0.0
D00163	0.79783	0.72494	0.58144	0.69353	0.73161	0.07566	0.61465	0.61651	0.83085	1.0	0.6661	0.57931	0.59233	0.37878	0.6388	0.0	0.61817	0.52288	0.0	0.72122	0.07521	0.61334	0.73605	0.0	0.60719	0.0	0.0	0.51043	0.0	0.0506	0.06761	0.58606	0.0	0.0	0.58361	0.66683	0.60229	0.66683	0.60318	0.0341	0.11279	0.01768	0.62026	0.02012	0.54899	0.69627	0.5936	0.62352	0.01498	0.62678	0.0	0.63683	0.53997	0.19908
D00182	0.63258	0.77175	0.65041	0.84383	0.81501	0.04142	0.64645	0.49349	0.68466	0.6661	1.0	0.52972	0.54907	0.2802	0.63418	0.08214	0.52141	0.56734	0.04045	0.77761	0.04117	0.74767	0.72187	0.09575	0.74665	0.07654	0.0	0.67189	0.04242	0.04805	0.0	0.59681	0.06323	0.0	0.44572	0.99987	0.5533	0.99987	0.83259	0.04624	0.07197	0.03872	0.69905	0.06609	0.54072	0.76794	0.69611	0.6198	0.03773	0.64987	0.05638	0.87419	0.60254	0.0
D00187	0.67591	0.52713	0.46785	0.59678	0.58019	0.15892	0.46297	0.76961	0.57516	0.57931	0.52972	1.0	0.92648	0.38973	0.44224	0.02443	0.90553	0.39598	0.1473	0.53248	0.18185	0.49124	0.50548	0.02371	0.44173	0.04362	0.0	0.44335	0.03784	0.0379	0.0	0.41301	0.0	0.06821	0.74	0.53049	0.35357	0.53049	0.4957	0.0	0.01493	0.0	0.458	0.0393	0.40944	0.49875	0.46995	0.44012	0.0	0.46944	0.01676	0.54128	0.40671	0.0
D00188	0.72835	0.54488	0.47926	0.61327	0.59711	0.19579	0.47389	0.80877	0.59135	0.59233	0.54907	0.92648	1.0	0.38569	0.44426	0.02614	0.8207	0.40564	0.06955	0.54587	0.22017	0.49503	0.52359	0.02538	0.45345	0.04668	0.0	0.48463	0.06074	0.01763	0.0	0.41354	0.0	0.06633	0.72623	0.55034	0.41354	0.55034	0.51281	0.0	0.03195	0.0	0.45824	0.04206	0.4265	0.51189	0.47263	0.44532	0.0	0.48101	0.01794	0.5599	0.41631	0.0
D00211	0.40124	0.32459	0.27676	0.27171	0.32984	0.19892	0.27546	0.33153	0.37875	0.37878	0.2802	0.38973	0.38569	1.0	0.36029	0.13079	0.40113	0.23475	0.1506	0.33616	0.1913	0.35144	0.288	0.16314	0.28724	0.17203	0.08986	0.23736	0.05968	0.16796	0.0421	0.38149	0.11952	0.0734	0.37459	0.27924	0.40824	0.27924	0.24392	0.07639	0.09087	0.13653	0.38117	0.10767	0.24867	0.35141	0.42991	0.35814	0.09977	0.33529	0.15654	0.27636	0.2425	0.0
D00246	0.59505	0.71293	0.45948	0.60952	0.69138	0.0817	0.42228	0.40494	0.65753	0.6388	0.63418	0.44224	0.44426	0.36029	1.0	0.09161	0.41583	0.40768	0.04511	0.77977	0.0812	0.62983	0.6278	0.10679	0.47377	0.12179	0.0	0.54148	0.08367	0.05358	0.0	0.83154	0.09762	0.0	0.38221	0.63199	0.57787	0.63199	0.54202	0.08838	0.09028	0.08137	0.65982	0.04914	0.39271	0.68753	0.65332	0.78392	0.07019	0.80309	0.09994	0.58874	0.40959	0.07899
D00279	0.02589	0.10245	0.03027	0.08666	0.12547	0.03151	0.03	0.12436	0.0551	0.0	0.08214	0.02443	0.02614	0.13079	0.09161	1.0	0.02439	0.05125	0.15389	0.07851	0.03132	0.09658	0.05767	0.18616	0.02835	0.77953	0.19647	0.1484	0.19365	0.25863	0.11135	0.16252	0.43301	0.18342	0.14396	0.08186	0.10527	0.08186	0.17696	0.20963	0.26112	0.14731	0.13995	0.42245	0.06931	0.09894	0.09969	0.0871	0.16798	0.16477	0.23104	0.0	0.13178	0.0
D00299	0.7018	0.51879	0.45575	0.5887	0.57104	0.10334	0.48911	0.71526	0.61743	0.61817	0.52141	0.90553	0.8207	0.40113	0.41583	0.02439	1.0	0.38574	0.14708	0.52816	0.12657	0.49939	0.54817	0.0	0.46519	0.04355	0.0	0.4045	0.03778	0.03785	0.0	0.39184	0.0	0.0681	0.7578	0.52256	0.37637	0.52256	0.48891	0.0	0.0149	0.0	0.46635	0.03924	0.41508	0.50896	0.45105	0.41518	0.0	0.44698	0.0	0.51702	0.42968	0.0
D00312	0.47892	0.52122	0.80915	0.5818	0.507	0.03876	0.7603	0.36384	0.48857	0.52288	0.56734	0.39598	0.40564	0.23475	0.40768	0.05125	0.38574	1.0	0.03786	0.46093	0.03853	0.46485	0.47592	0.15674	0.70659	0.07163	0.09062	0.43539	0.09924	0.11408	0.11737	0.39835	0.08876	0.0846	0.34093	0.56748	0.37699	0.56748	0.60876	0.08346	0.09519	0.12683	0.43339	0.10928	0.53676	0.47423	0.47043	0.39764	0.104	0.43325	0.18954	0.53997	0.66791	0.04079
D00316	0.0	0.05467	0.02236	0.04267	0.04919	0.15144	0.02216	0.06618	0.0407	0.0	0.04045	0.1473	0.06955	0.1506	0.04511	0.15389	0.14708	0.03786	1.0	0.03866	0.15749	0.0533	0.0426	0.07775	0.02095	0.08604	0.06417	0.05481	0.04768	0.1802	0.13733	0.06543	0.1777	0.18756	0.09545	0.04031	0.03616	0.04031	0.06821	0.05197	0.07524	0.04353	0.08602	0.18079	0.03413	0.0528	0.03682	0.04807	0.1088	0.10421	0.09086	0.0	0.09734	0.0
D00327	0.69357	0.8196	0.52558	0.73993	0.78925	0.05938	0.49485	0.47517	0.75631	0.72122	0.77761	0.53248	0.54587	0.33616	0.77977	0.07851	0.52816	0.46093	0.03866	1.0	0.05902	0.73335	0.7644	0.09152	0.57617	0.07316	0.0	0.66586	0.04054	0.04592	0.0	0.74058	0.06044	0.0	0.44812	0.77772	0.55507	0.77772	0.64974	0.04419	0.0736	0.05552	0.70907	0.04211	0.43679	0.79277	0.6543	0.78257	0.03606	0.77809	0.07185	0.67482	0.46783	0.0
D00348	0.1032	0.06415	0.02276	0.04343	0.03848	0.95982	0.0	0.14214	0.02071	0.07521	0.04117	0.18185	0.22017	0.1913	0.0812	0.03132	0.12657	0.03853	0.15749	0.05902	1.0	0.04225	0.02168	0.09123	0.0	0.03163	0.06531	0.09117	0.05583	0.15423	0.06351	0.05559	0.03617	0.08747	0.16602	0.04103	0.12137	0.04103	0.03855	0.02135	0.09723	0.06645	0.04066	0.0252	0.04942	0.0413	0.07494	0.08778	0.01876	0.05344	0.04947	0.06088	0.0	0.25504
D00443	0.61557	0.77889	0.52301	0.72569	0.67008	0.04251	0.5184	0.42692	0.67562	0.61334	0.74767	0.49124	0.49503	0.35144	0.62983	0.09658	0.49939	0.46485	0.0533	0.73335	0.04225	1.0	0.69319	0.09114	0.54288	0.09181	0.0	0.5366	0.05589	0.06331	0.0	0.61552	0.08332	0.0	0.37494	0.74805	0.55033	0.74805	0.67342	0.06092	0.07844	0.07349	0.8933	0.0777	0.45718	0.78219	0.69907	0.62541	0.04971	0.67628	0.06628	0.64694	0.50105	0.03889
D00462	0.7476	0.82723	0.54134	0.7146	0.72432	0.02181	0.57686	0.44986	0.82444	0.73605	0.72187	0.50548	0.52359	0.288	0.6278	0.05767	0.54817	0.47592	0.0426	0.7644	0.02168	0.69319	1.0	0.07284	0.61715	0.05823	0.0	0.59252	0.04467	0.0506	0.0	0.58378	0.06659	0.0	0.43872	0.72287	0.58662	0.72287	0.62536	0.04869	0.05286	0.06117	0.63265	0.0464	0.49031	0.7877	0.63997	0.60406	0.03973	0.67598	0.03958	0.66858	0.54324	0.0
D00506	0.0	0.12109	0.11756	0.10101	0.10895	0.09179	0.05825	0.0	0.0696	0.0	0.09575	0.02371	0.02538	0.16314	0.10679	0.18616	0.0	0.15674	0.07775	0.09152	0.09123	0.09114	0.07284	1.0	0.05505	0.28214	0.14306	0.16576	0.18497	0.43349	0.17331	0.21407	0.35509	0.08904	0.0	0.09542	0.06183	0.09542	0.22593	0.27923	0.24575	0.42628	0.08771	0.30934	0.07404	0.09028	0.08715	0.1314	0.17559	0.11141	0.28818	0.0262	0.15104	0.0
D00554	0.59046	0.53751	0.87603	0.61194	0.59417	0.0	0.90878	0.44441	0.58466	0.60719	0.74665	0.44173	0.45345	0.28724	0.47377	0.02835	0.46519	0.70659	0.02095	0.57617	0.0	0.54288	0.61715	0.05505	1.0	0.02863	0.16712	0.48407	0.02196	0.044	0.09156	0.46074	0.03274	0.15602	0.41758	0.7471	0.46479	0.7471	0.6401	0.02515	0.04814	0.02005	0.50746	0.09811	0.62969	0.56319	0.57652	0.45028	0.04206	0.48983	0.17082	0.73098	0.74454	0.0
D00565	0.04624	0.0968	0.03057	0.08075	0.13279	0.03182	0.03029	0.12743	0.05564	0.0	0.07654	0.04362	0.04668	0.17203	0.12179	0.77953	0.04355	0.07163	0.08604	0.07316	0.03163	0.09181	0.05823	0.28214	0.02863	1.0	0.25432	0.24004	0.32076	0.30686	0.21957	0.23897	0.42958	0.20184	0.12293	0.07628	0.10057	0.07628	0.1649	0.3726	0.4021	0.28593	0.10659	0.46543	0.06459	0.09349	0.09483	0.08279	0.31098	0.12584	0.37526	0.0	0.12074	0.0
D00577	0.0	0.0	0.17844	0.0	0.0	0.05711	0.17683	0.0	0.0	0.0	0.0	0.0	0.0	0.08986	0.0	0.19647	0.0	0.09062	0.06417	0.0	0.06531	0.0	0.0	0.14306	0.16712	0.25432	1.0	0.16145	0.11414	0.29507	0.15677	0.07922	0.28358	0.59212	0.0	0.0	0.0	0.0	0.06044	0.22339	0.24793	0.13893	0.0	0.22413	0.13618	0.0	0.0	0.0	0.19816	0.0	0.37583	0.02446	0.06214	0.0
D00585	0.53359	0.66411	0.49644	0.67371	0.68059	0.09173	0.45129	0.37432	0.54979	0.51043	0.67189	0.44335	0.48463	0.23736	0.54148	0.1484	0.4045	0.43539	0.05481	0.66586	0.09117	0.5366	0.59252	0.16576	0.48407	0.24004	0.16145	1.0	0.13411	0.13685	0.14805	0.53576	0.17136	0.10258	0.36217	0.6716	0.43355	0.6716	0.62615	0.1413	0.20945	0.13992	0.50792	0.15727	0.42045	0.59835	0.50656	0.50567	0.15896	0.56831	0.22713	0.55841	0.44339	0.0
D00586	0.06017	0.05733	0.02345	0.04475	0.0714	0.05617	0.02324	0.03853	0.04268	0.0	0.04242	0.03784	0.06074	0.05968	0.08367	0.19365	0.03778	0.09924	0.04768	0.04054	0.05583	0.05589	0.04467	0.18497	0.02196	0.32076	0.11414	0.13411	1.0	0.1568	0.11463	0.12067	0.18634	0.10656	0.05575	0.04227	0.08725	0.04227	0.09138	0.48365	0.19633	0.7303	0.05379	0.22336	0.18261	0.05537	0.05791	0.0504	0.29055	0.09092	0.15681	0.0	0.08166	0.0
D00596	0.0	0.06493	0.06739	0.05069	0.05842	0.18656	0.04655	0.01677	0.04835	0.0506	0.04805	0.0379	0.01763	0.16796	0.05358	0.25863	0.03785	0.11408	0.1802	0.04592	0.15423	0.06331	0.0506	0.43349	0.044	0.30686	0.29507	0.13685	0.1568	1.0	0.19836	0.14269	0.33109	0.22078	0.02105	0.04788	0.04295	0.04788	0.14329	0.28559	0.40229	0.22262	0.07678	0.23259	0.05612	0.06271	0.04373	0.05709	0.32499	0.07739	0.26069	0.0	0.12269	0.13421
D00627	0.0	0.0	0.09776	0.0	0.0	0.06389	0.09687	0.0	0.0	0.06761	0.0	0.0	0.0	0.0421	0.0	0.11135	0.0	0.11737	0.13733	0.0	0.06351	0.0	0.0	0.17331	0.09156	0.21957	0.15677	0.14805	0.11463	0.19836	1.0	0.04472	0.12857	0.14636	0.0	0.0	0.02152	0.0	0.14448	0.13714	0.34254	0.10464	0.0	0.18451	0.05899	0.0	0.01684	0.0	0.32621	0.0	0.30747	0.0	0.0851	0.13449
D00690	0.55005	0.66206	0.43033	0.56435	0.63217	0.05593	0.40002	0.36452	0.61333	0.58606	0.59681	0.41301	0.41354	0.38149	0.83154	0.16252	0.39184	0.39835	0.06543	0.74058	0.05559	0.61552	0.58378	0.21407	0.46074	0.23897	0.07922	0.53576	0.12067	0.14269	0.04472	1.0	0.23161	0.0493	0.35575	0.59476	0.56035	0.59476	0.54197	0.17656	0.15881	0.16244	0.63509	0.17765	0.34798	0.65404	0.63275	0.72441	0.11205	0.75812	0.165	0.53449	0.42161	0.0
D00730	0.0	0.08546	0.03496	0.06671	0.07689	0.03639	0.03464	0.02872	0.06363	0.0	0.06323	0.0	0.0	0.11952	0.09762	0.43301	0.0	0.08876	0.1777	0.06044	0.03617	0.08332	0.06659	0.35509	0.03274	0.42958	0.28358	0.17136	0.18634	0.33109	0.12857	0.23161	1.0	0.2118	0.0	0.06302	0.05652	0.06302	0.16583	0.34045	0.23386	0.27217	0.13446	0.46075	0.10258	0.08253	0.05755	0.10057	0.19396	0.1629	0.37578	0.03117	0.12173	0.16192
D00898	0.0	0.0	0.16658	0.0	0.0	0.07997	0.16508	0.06312	0.0	0.0	0.0	0.06821	0.06633	0.0734	0.0	0.18342	0.0681	0.0846	0.18756	0.0	0.08747	0.0	0.0	0.08904	0.15602	0.20184	0.59212	0.10258	0.10656	0.22078	0.14636	0.0493	0.2118	1.0	0.067	0.0	0.0	0.0	0.05643	0.17729	0.22498	0.09727	0.0	0.13289	0.12713	0.0	0.0	0.0	0.14279	0.0	0.3194	0.02283	0.05801	0.0
D00930	0.62105	0.4208	0.40281	0.47406	0.5198	0.14342	0.4294	0.82724	0.57611	0.58361	0.44572	0.74	0.72623	0.37459	0.38221	0.14396	0.7578	0.34093	0.09545	0.44812	0.16602	0.37494	0.43872	0.0	0.41758	0.12293	0.0	0.36217	0.05575	0.02105	0.0	0.35575	0.0	0.067	1.0	0.44674	0.36682	0.44674	0.4057	0.0	0.0	0.0	0.36626	0.07721	0.37825	0.40169	0.35515	0.40166	0.0	0.42758	0.0	0.45162	0.37722	0.0
D00950	0.63379	0.77253	0.65065	0.84441	0.81493	0.04128	0.64742	0.49444	0.68564	0.66683	0.99987	0.53049	0.55034	0.27924	0.63199	0.08186	0.52256	0.56748	0.04031	0.77772	0.04103	0.74805	0.72287	0.09542	0.7471	0.07628	0.0	0.6716	0.04227	0.04788	0.0	0.59476	0.06302	0.0	0.44674	1.0	0.554	1.0	0.83282	0.04608	0.07172	0.03859	0.69914	0.06586	0.54132	0.76862	0.69672	0.61767	0.0376	0.64957	0.05618	0.87445	0.60327	0.0
D00951	0.61508	0.63344	0.40449	0.51705	0.51688	0.1221	0.43604	0.35756	0.63889	0.60229	0.5533	0.35357	0.41354	0.40824	0.57787	0.10527	0.37637	0.37699	0.03616	0.55507	0.12137	0.55033	0.58662	0.06183	0.46479	0.10057	0.0	0.43355	0.08725	0.04295	0.02152	0.56035	0.05652	0.0	0.36682	0.554	1.0	0.554	0.48276	0.0747	0.10325	0.05713	0.56874	0.08469	0.41046	0.66363	0.66747	0.54841	0.03372	0.54411	0.0336	0.47883	0.4295	0.03897
