	D00049	D00059	D00079	D00094	D00095	D00106	D00110	D00113	D00136	D00139	D00180	D00225	D00227	D00232	D00234	D00235	D00241	D00255	D00270	D00274	D00281	D00283	D00295	D00300	D00301	D00306	D00318	D00332	D00336	D00356	D00364	D00371	D00380	D00394	D00397	D00400	D00410	D00411	D00415	D00419	D00422	D00426	D00432	D00437	D00440	D00442	D00443	D00451	D00454	D00465	D00480	D00483	D00493	D00494	D00498	D00499	D00503	D00509	D00513	D00514	D00520	D00521	D00522	D00523	D00524	D00525	D00528	D00540	D00542	D00559	D00560	D00563	D00574	D00598	D00601	D00604	D00606	D00607	D00609	D00613	D00627	D00632	D00635	D00645	D00646	D00665	D00666	D00673	D00674	D00675	D00676	D00682	D00683	D00684	D00687	D00688	D00715	D00726	D00760	D00765	D00769	D00775	D00779	D00780	D00790	D00837	D00838	D00845	D00954	D00965	D00987	D00996	D01020	D01022	D01024	D01051	D01071	D01103	D01118	D01126	D01164	D01227	D01236	D01242	D01269	D01295	D01297	D01324	D01332	D01346	D01352	D01358	D01386	D01390	D01441	D01454	D01462	D01603	D01652	D01692	D01699	D01712	D01713	D01717	D01745	D01782	D01828	D01871	D01891	D01925	D01964	D01965	D01973	D01994	D02007	D02066	D02070	D02076	D02082	D02147	D02149	D02150	D02234	D02237	D02250	D02278	D02279	D02327	D02338	D02340	D02342	D02349	D02354	D02356	D02357	D02358	D02359	D02361	D02374	D02566	D02578	D02588	D02614	D02671	D02721	D02725	D02826	D02884	D02910	D03165	D03187	D03210	D03274	D03365	D03415	D03442	D03490	D03503	D03621	D03642	D03654	D03858	D03879	D03880	D03881	D03966	D04006	D04034	D04040	D04375	D04625	D04716	D04979	D05113	D05129	D05246	D05312	D05341	D05740	D05792	D05938	D06056	D06396
D00049	1	0.2219255	0.066567	0.0535715	0.184446	0.048387	0.179489	0.183335	0.141441	0.142858	0.068387	0.131244	0.0497965	0.01818	0.061487	0.1261885	0.2726255	0.070658	0.096533	0.123499	0.142298	0.0933585	0.0652175	0.1535655	0.0622165	0.072134	0.061427	0.0833335	0.0781615	0.1168835	0.170075	0.0940975	0.1952915	0.094909	0.207525	0.129821	0.35	0.0850035	0.133743	0.013335	0.0768305	0.097958	0.096294	0.1108865	0.0357145	0.0436085	0.008335	0.125835	0.099074	0.1583335	0.097758	0.1263865	0.0833315	0.10222	0.098663	0.021505	0.07876	0.1304335	0.1163665	0.142855	0.0978725	0.0814625	0.128845	0.085499	0	0.1	0.145515	0.1505105	0	0.0416665	0.089742	0.1994065	0.207574	0.0964285	0.0703185	0.134485	0.126488	0.01111	0.1288985	0.095126	0.095366	0.1090635	0.1083245	0.0932705	0.1202955	0.1895295	0.148916	0.0739815	0.1079705	0.2148135	0.150694	0.0375	0.0832345	0.1015145	0.154497	0.080159	0.1553255	0.1486025	0.0433315	0.0125	0.123546	0.13226	0.1342575	0.053106	0.094943	0.110066	0.1107665	0.1133885	0.017855	0.141384	0.0767865	0.173163	0.125543	0.048667	0.0812585	0.1461275	0.01905	0.1122195	0.0910385	0.0789475	0.092603	0.0928295	0.1032145	0.071057	0.1313195	0.10444	0.14723	0.0904785	0.14711	0.180805	0.0384615	0.115813	0.211574	0.163138	0.1095965	0.1096485	0.1314	0.0913775	0.1013055	0.081862	0.1075675	0.0971615	0.10222	0.134686	0.079578	0.0998835	0.2149385	0.0874855	0.1196175	0.0599865	0.0998175	0.080555	0.127145	0.0924	0.080795	0.087154	0.163464	0.1385445	0.1143695	0.150049	0.1570495	0.154378	0.045732	0.01316	0.052705	0.075	0.0882355	0.1920615	0.1154755	0.0885235	0.0977435	0.1575765	0.092415	0.0764415	0.108376	0.1136385	0.127428	0.1546805	0.059483	0.117153	0.1910165	0.071361	0.1177235	0.080776	0.046875	0.0963695	0.0916905	0.071365	0.1296305	0.0597815	0.01258	0.0993755	0.142401	0.308695	0.031606	0.0481985	0.0933555	0.0625	0.1443965	0.2158745	0.1111095	0.1302275	0.114304	0.0791745	0.1077295	0.075	0.090625	0.137803	0.12298	0.105263	0.154129	0.1086935	0.098428	0.084752	0.15682	0.110755	0.090939	0.0625	0.0604255	0.0960545	0.119405	0.097884	0.0910715
D00059	0.2219255	1	0.142994	0.0704545	0.393435	0.142189	0.125	0.1469685	0.1246005	0.131745	0.147404	0.115725	0.0641025	0.060608	0.0932885	0.201665	0.328947	0.1145945	0.1282735	0.11146	0.1208335	0.112799	0.074074	0.1055455	0.0832735	0.1910715	0.095137	0.131449	0.0977605	0.1271805	0.1139645	0.0625	0.1351475	0.1466145	0.1775235	0.2226315	0.102529	0.0961345	0.1589	0.0717335	0.1172335	0.0943325	0.15247	0.0886795	0.072581	0.0850055	0.02629	0.1569045	0.099165	0.1239505	0.139495	0.1567595	0.112924	0.1447795	0.1610235	0.0357145	0.1073195	0.1537105	0.171915	0.1458315	0.068914	0.1264385	0.172186	0.10783	0.0434785	0.16889	0.07163	0.1065275	0.025	0.083879	0.121261	0.112132	0.162555	0.1551265	0.173204	0.115715	0.11064	0.0297515	0.109771	0.1923705	0.1531175	0.2650995	0.15117	0.127085	0.1567235	0.164927	0.165648	0.11343	0.137098	0.18646	0.202405	0.127031	0.154319	0.134547	0.1422215	0.1201105	0.1119875	0.126753	0.0520045	0.042503	0.1288035	0.205601	0.116384	0.0818915	0.1267835	0.189694	0.27826	0.142825	0.0571765	0.144775	0.117964	0.372082	0.279378	0.158423	0.1837305	0.1102345	0	0.0732325	0.1305565	0.271062	0.1062675	0.09713	0.0723035	0.094376	0.172885	0.0867975	0.0944435	0.110379	0.154041	0.216504	0.13202	0.1098485	0.262517	0.3495255	0.10594	0.1971155	0.167499	0.083719	0.089178	0.086291	0.148264	0.0925925	0.134273	0.170078	0.0888975	0.129405	0.2788475	0.107085	0.125792	0.124839	0.1252085	0.1544135	0.1582	0.1708165	0.181311	0.178058	0.1586	0.190105	0.166795	0.278078	0.402595	0.3356555	0.0555335	0.031837	0.096428	0.1851435	0.2236845	0.155002	0.177718	0.119209	0.1566665	0.19271	0.0980595	0.129165	0.1657605	0.2043805	0.233068	0.134918	0.119105	0.1185985	0.1541445	0.1386475	0.1891315	0.1098405	0.1351855	0.1157185	0.120065	0.0892855	0.106493	0.0850385	0.065705	0.0879605	0.1394925	0.115909	0.064652	0.108436	0.160978	0.0714285	0.0937965	0.1999295	0.152483	0.111269	0.2768515	0.239155	0.3136505	0.1599985	0.0833335	0.139221	0.1952365	0.1086955	0.3499155	0.1136605	0.1182635	0.140149	0.171807	0.187515	0.130545	0.1249985	0.0934025	0.156251	0.0986845	0.137035	0.10893
D00079	0.066567	0.142994	1	0.162281	0.1102425	0.626079	0.171464	0.145425	0.083953	0.02019	0.825231	0.022222	0.0436005	0.172573	0.062484	0.0855325	0.1057895	0.0823495	0.047619	0.081365	0.013158	0.021739	0.0526315	0.05	0.1074165	0.1784945	0.0488745	0.149499	0.058415	0.34357	0.049132	0.035133	0.065777	0.0465115	0.0750605	0.164585	0.02807	0.040253	0.0977705	0.495116	0.075	0.0759295	0.178754	0.0284985	0.075	0.0902985	0.12711	0.0530555	0.022222	0.1176985	0.0348835	0.0722205	0.0555555	0.0357145	0.1381885	0.125076	0.0652175	0.054458	0.073342	0.045641	0.052545	0.1105955	0.0747375	0.086855	0.0454545	0.1547635	0.032237	0.083288	0.016129	0.0868925	0.0728025	0.0357145	0.0969775	0.12027	0.1546605	0.0128205	0.027425	0.0540295	0.031136	0.066113	0.0792585	0.085366	0.15148	0.0445135	0.080943	0.160174	0.1812275	0.0731705	0.066738	0.086098	0.1469175	0.5889625	0.0920035	0.0557335	0.134878	0.0752165	0.1428585	0.07639	0.07941	0.1525285	0.09032	0	0.0769085	0.0854505	0.059194	0.160145	0.1211045	0.1562475	0.20608	0.044961	0.1810915	0.1068645	0.0541785	0.0487805	0.08407	0.0688755	0.0539215	0.0742555	0.0581395	0.14666	0.1006965	0.0274285	0.024064	0.0415735	0.167283	0.0633435	0.0554015	0.0454545	0.1393215	0.0678045	0.6464465	0.0348835	0.102967	0.0850695	0.0361375	0.070835	0.1776415	0.0390375	0.08299	0.074405	0.077197	0.057232	0.023256	0.1190085	0.0784645	0.0551945	0.085164	0.0550095	0.3664895	0.1280475	0.3358295	0.1022705	0.11403	0.133858	0.191373	0.0746665	0.1419205	0.135393	0.12198	0.0980385	0.18143	0.1006945	0.017954	0.065095	0.097473	0.2019475	0.1963045	0.141519	0.1340085	0.021739	0.120835	0.0669535	0.0652175	0.0774525	0.1398365	0.1169845	0.12064	0.0718395	0.079794	0.08654	0.0375	0.144887	0.114351	0.047748	0.5306525	0.389745	0.0938925	0.0429155	0.0982135	0.089017	0.48125	0.0437675	0.0791785	0.0850525	0.071104	0.1219755	0.117561	0.051282	0.0357145	0.0814285	0.078886	0.0640195	0.0875	0.1959235	0.178635	0.179294	0.072293	0.0847605	0.130656	0.013158	0.0827175	0.074178	0.055084	0.1480605	0.109659	0.095625	0.1416035	0.2519735	0.057144	0.131231	0.0908575	0.0783005	0.0631765
D00094	0.0535715	0.0704545	0.162281	1	0.014706	0.161711	0.05	0.0375	0.0474185	0.0135135	0.123705	0.0365855	0.0416665	0.097541	0.028302	0.041516	0.0727295	0.017494	0.04661	0.0525	0.0454545	0.0487805	0.0416665	0.041071	0.0404565	0.135503	0.039705	0.2148145	0.0501805	0.0795235	0.056818	0.030303	0.034251	0.0782275	0.011905	0.09932	0.035957	0.0636215	0.04876	0.0916725	0.0817695	0.0479965	0.0779925	0.0994855	0.0817695	0.037322	0.0891255	0.0505365	0.05	0.0847095	0.043055	0.042545	0.034091	0.0442065	0.1500005	0.0915635	0.0212765	0.0646345	0.042711	0.0441175	0.0491355	0.065857	0.0579655	0.0643955	0.06437	0.0441175	0.0454545	0.1054205	0	0.0416665	0.0185185	0.0384615	0.081733	0.0637055	0.089621	0.0441175	0.0135135	0.0786285	0.042553	0.0397435	0.0742805	0.0113635	0.1077465	0.058584	0.0703655	0.1410225	0.148195	0.0796575	0.058584	0.065033	0.104507	0.1449255	0.060408	0.065963	0.0328995	0.0629615	0.053434	0.0461515	0.0530265	0.088855	0.0395835	0	0.0487345	0.0878755	0.058665	0.0924835	0.0761885	0.095854	0.07455	0.0546555	0.0697295	0.0142855	0.059522	0.129722	0.041665	0.057915	0.121464	0.042242	0.0493745	0.089941	0.026495	0.048818	0.025862	0.0528095	0.077147	0.0747285	0.031915	0.031191	0.149521	0.030612	0.137041	0.0375	0.030303	0.045633	0.047423	0.083154	0.155496	0.05641	0.0408165	0.0844465	0.018868	0.0555555	0.0384615	0.090773	0.02	0.095303	0.0926725	0.055434	0.0901965	0.0392155	0.09691	0.027778	0.0434785	0.05926	0.067129	0.0525685	0.061905	0.0819625	0.10557	0.0583315	0.0626705	0.035973	0.046154	0.06499	0.061266	0.089775	0.08846	0.116492	0.079019	0.0487805	0.0752355	0.085979	0.0568845	0.091095	0.0771085	0.0710835	0.011905	0.067819	0.0765425	0.068827	0.034791	0.0434785	0.023256	0.0703945	0.188164	0.091205	0.047619	0.061094	0.042985	0.091467	0.1124405	0.0960775	0.061958	0.0666665	0.023489	0.039215	0.062324	0.0405405	0.0384615	0.0357145	0.019231	0.0498395	0.011628	0.047555	0.0525	0.114285	0.0142855	0.0565825	0.1074725	0.029412	0.0744065	0.0764045	0.0375	0.034091	0.070518	0.0842145	0.072915	0.0948405	0.04751	0.01094	0.070708	0.05476	0.064705
D00095	0.184446	0.393435	0.1102425	0.014706	1	0.1037225	0.1615635	0.2060195	0.144095	0.16853	0.1134925	0.15463	0.0657895	0.078942	0.10265	0.2023815	0.245705	0.143718	0.183011	0.1301155	0.1324115	0.1392095	0.1	0.1507395	0.082524	0.211192	0.0689655	0.0208335	0.123443	0.1794165	0.1280755	0.090909	0.2056635	0.165243	0.1702795	0.1162605	0.140405	0.1126915	0.213846	0.0956805	0.135443	0.1286555	0.200233	0.1107	0.086207	0.0661	0.03399	0.19125	0.1247235	0.139375	0.170941	0.20552	0.1586935	0.17802	0.235366	0.0576925	0.149825	0.1873675	0.2289355	0.2444735	0.09352	0.156269	0.1095185	0.1112305	0.0454545	0.1563155	0.0962165	0.122199	0.026316	0.123255	0.11575	0.141811	0.18483	0.175467	0.1497585	0.1261885	0.1041665	0.021739	0.1095685	0.21218	0.095633	0.33146	0.11469	0.1378765	0.2331795	0.15476	0.1249355	0.1307235	0.165206	0.154012	0.145802	0.084299	0.2021015	0.1434075	0.1429	0.164715	0.1731615	0.1656255	0.050023	0.050692	0.125999	0.1919185	0.134885	0.092595	0.180976	0.160899	0.2252885	0.085477	0.051817	0.16325	0.11554	0.9142855	0.243106	0.1683055	0.175222	0.1203685	0.0172415	0.1001795	0.159117	0.0538615	0.118432	0.117059	0.0963475	0.112514	0.0963035	0.0916645	0.115521	0.115875	0.094311	0.162697	0.09714	0.138673	0.360242	0.531511	0.0948465	0.242162	0.09423	0.086695	0.1168145	0.11488	0.1066935	0.074074	0.1073055	0.122943	0.108332	0.124305	0.158335	0.1321715	0.1923735	0.0792405	0.1644695	0.1582	0.164317	0.0985125	0.1076505	0.2319695	0.193715	0.16389	0.103041	0.4177585	0.5010785	0.692941	0.0611165	0.0227275	0.059897	0.119645	0.1079545	0.1077295	0.2007145	0.1466145	0.176947	0.2955835	0.15036	0.152433	0.1946075	0.2192965	0.3972235	0.167561	0.15761	0.186251	0.231058	0.0856145	0.4202625	0.1538575	0.1001945	0.175245	0.1927515	0.0925925	0.1347195	0.1023585	0.0938825	0.1192285	0.155611	0.208335	0.064685	0.063799	0.181411	0.096154	0.143516	0.1623545	0.1096505	0.1307	0.3480565	0.1951585	0.2821745	0.040815	0.1136365	0.1354015	0.118432	0.1136365	0.4561385	0.171875	0.1471745	0.1884185	0.1312155	0.122418	0.1797795	0.034483	0.0945615	0.190815	0.1010555	0.190703	0.1136535
D00106	0.048387	0.142189	0.626079	0.161711	0.1037225	1	0.1324055	0.1368535	0.0760415	0.025641	0.5805835	0.034091	0.028846	0.1677615	0.0731225	0.0852275	0.1052745	0.0820595	0.047619	0.0816325	0.027027	0.0333335	0.0526315	0.05	0.1042095	0.182879	0.0421245	0.1587715	0.0623425	0.279462	0.0652415	0.0135135	0.054752	0.0465115	0.0609755	0.13927	0.012195	0.0434585	0.0784755	0.3286825	0.1017935	0.0815365	0.158499	0.031915	0.08705	0.0874835	0.121788	0.0487805	0.034091	0.118393	0.0348835	0.0718555	0.068182	0.0357145	0.139678	0.0806395	0.077778	0.048368	0.073022	0.040366	0.037037	0.115875	0.0745475	0.075435	0.0454545	0.1306855	0.013158	0.0839725	0.016129	0.0924885	0.0727425	0.0487805	0.0454065	0.12	0.1431295	0.026316	0.0125	0.0570595	0.04	0.0724115	0.0790485	0.085366	0.1204715	0.0384235	0.076083	0.140294	0.16933	0.099265	0.0697675	0.074468	0.117299	0.505916	0.0854835	0.0489585	0.1116325	0.0683415	0.129476	0.0625	0.063715	0.1510275	0.070003	0	0.105405	0.0822735	0.054374	0.171786	0.127561	0.1312475	0.17652	0.0108695	0.17006	0.1005795	0.0539685	0.0487805	0.076675	0.0510205	0.0581865	0.065215	0.0581395	0.145835	0.0700495	0.0241935	0.016129	0.0267855	0.1484605	0.0654185	0.0408165	0.0454545	0.1380465	0.0612245	0.5568005	0.047619	0.091532	0.0848295	0.036376	0.07055	0.1665165	0.0330175	0.0769235	0.074468	0.0778075	0.0375	0.0357145	0.11982	0.0612245	0.0677545	0.078274	0.067233	0.27607	0.1251875	0.279198	0.087168	0.098715	0.1277515	0.160353	0.0679765	0.12907	0.146599	0.1061555	0.0978285	0.174885	0.0948295	0.0367015	0.0682775	0.094738	0.1945275	0.1885695	0.120139	0.1121785	0.0454545	0.105916	0.0569935	0.077778	0.0773475	0.1119405	0.1166545	0.106095	0.0509395	0.079524	0.086365	0.0375	0.128942	0.108936	0.059478	0.6887	0.2693565	0.0948735	0.0238095	0.0862085	0.0850415	0.3256225	0.044643	0.0714285	0.093366	0.0646095	0.088785	0.117296	0.051282	0.0487805	0.0714285	0.0794135	0.0772235	0.0875	0.2042195	0.17665	0.189114	0.0416665	0.0737705	0.119166	0.013158	0.0824925	0.086708	0.054974	0.1278255	0.103104	0.095465	0.1201785	0.229055	0.043254	0.117666	0.083878	0.0782355	0.062729
D00110	0.179489	0.125	0.171464	0.05	0.1615635	0.1324055	1	0.4938265	0.14798	0.1060625	0.190674	0.153441	0.0604365	0.269495	0.1429405	0.126751	0.12694	0.0816575	0.125002	0.174572	0.12469	0.15939	0.057143	0.177877	0.2561675	0.2046	0.037075	0.048387	0.138136	0.343552	0.190632	0.069981	0.1618055	0.1515615	0.167397	0.140313	0.161665	0.172155	0.1875155	0.219256	0.0791245	0.1568275	0.2093015	0.2429765	0.051282	0.092214	0.1836635	0.1206485	0.185519	0.2674225	0.120212	0.125	0.143676	0.12381	0.240055	0.044728	0.122436	0.1701445	0.1160155	0.162864	0.1251915	0.1657385	0.0988845	0.1569265	0.0976205	0.245956	0.089775	0.2886005	0	0.129159	0.1483745	0.19426	0.1836325	0.139705	0.0930555	0.120584	0.0846835	0.042301	0.160713	0.155704	0.087035	0.114933	0.079902	0.1239885	0.187273	0.1244285	0.244207	0.0770875	0.172674	0.1517085	0.107497	0.131705	0.0755505	0.172654	0.09976	0.073749	0.3787505	0.1112825	0.1017955	0.183435	0.2727265	0.077556	0.222143	0.1502805	0.123677	0.1653195	0.2497265	0.148543	0.2188755	0.1185325	0.26213	0.15581	0.110145	0.0903735	0.1336005	0.177193	0.106784	0.2543855	0.1143255	0.04386	0.120589	0.1109865	0.1321885	0.0910385	0.2539005	0.174726	0.163095	0.173412	0.151661	0.1409225	0.12574	0.184255	0.277398	0.127085	0.1116875	0.1008645	0.172221	0.1073265	0.162334	0.1130235	0.19867	0.0598855	0.141457	0.270107	0.134956	0.14706	0.1255175	0.187198	0.3149275	0.176191	0.2419725	0.1474775	0.2424755	0.1167755	0.151905	0.078199	0.4523795	0.1056325	0.08744	0.121984	0.127885	0.163445	0.1076265	0.0442655	0.0845105	0.0597405	0.048075	0.155933	0.098475	0.158855	0.1151805	0.19251	0.158975	0.0763745	0.262529	0.119336	0.156841	0.1471185	0.0936525	0.165688	0.1616155	0.19658	0.1627255	0.1735235	0.148236	0.237097	0.1971415	0.058684	0.132427	0.165717	0.215728	0.1551765	0.1127	0.248025	0.0481375	0.119326	0.1361165	0.0555555	0.20971	0.1237	0.203777	0.166665	0.1183425	0.153842	0.124145	0.159275	0.0595795	0.1094435	0.0805675	0.07687	0.123074	0.203374	0.174905	0.196224	0.089223	0.0978215	0.233297	0.0128205	0.060437	0.0916725	0.186402	0.0932325	0.1457265
D00113	0.183335	0.1469685	0.145425	0.0375	0.2060195	0.1368535	0.4938265	1	0.155736	0.112075	0.159615	0.1486755	0.059248	0.370293	0.14527	0.1219355	0.162035	0.0962505	0.12825	0.1682325	0.1286035	0.1550265	0.0588235	0.16095	0.374541	0.191921	0.0467185	0.0785805	0.144122	0.3378005	0.1971815	0.056722	0.15679	0.155743	0.290235	0.132997	0.14277	0.165398	0.185827	0.16965	0.0810825	0.163815	0.202668	0.194444	0.0526315	0.1181185	0.155627	0.1293045	0.163123	0.31374	0.12339	0.128396	0.164529	0.127181	0.203515	0.0556125	0.156834	0.153141	0.137625	0.164325	0.1161215	0.1569135	0.098828	0.150469	0.0925925	0.2055395	0.062025	0.378802	0.0185185	0.149013	0.16396	0.2097755	0.1850585	0.1434965	0.1062365	0.12424	0.11979	0.0607545	0.131118	0.172513	0.0815925	0.1147095	0.0953685	0.1217855	0.215165	0.141095	0.2352315	0.0789495	0.182207	0.153923	0.1169175	0.1186945	0.0998475	0.131125	0.1279055	0.0884325	0.4823235	0.1104295	0.089378	0.16745	0.2463085	0.07974	0.2506625	0.1556525	0.12688	0.208935	0.2740235	0.15365	0.1999845	0.1032895	0.234902	0.198335	0.131259	0.1002095	0.1384755	0.2005505	0.1096575	0.323335	0.1262045	0.06634	0.156671	0.1152465	0.1189505	0.0947415	0.271817	0.152015	0.16202	0.1888865	0.167406	0.1600055	0.12271	0.19946	0.272896	0.1506165	0.1082295	0.1036205	0.1691915	0.1117315	0.1780065	0.127203	0.228677	0.0482465	0.145452	0.2390765	0.154846	0.161764	0.1074545	0.164717	0.2899955	0.1807115	0.240378	0.1804255	0.240732	0.131677	0.1658715	0.0929125	0.64182	0.148245	0.0849935	0.163498	0.1738945	0.1845665	0.1044905	0.07019	0.1083825	0.090085	0.0790835	0.158256	0.113153	0.1546115	0.1099795	0.1917965	0.162829	0.07785	0.2934935	0.1227255	0.171217	0.1467505	0.104577	0.1902	0.15567	0.203645	0.170431	0.178033	0.145364	0.2167875	0.214287	0.0784685	0.131768	0.1716985	0.171661	0.1630935	0.1068825	0.25347	0.0487115	0.1013045	0.139705	0.057143	0.2172835	0.1349575	0.2348015	0.179799	0.118057	0.1594295	0.136272	0.142505	0.072991	0.1128255	0.0883155	0.079136	0.145643	0.246863	0.18006	0.2322515	0.0962345	0.099663	0.264494	0.027027	0.0634105	0.1285435	0.1878635	0.095576	0.154743
D00136	0.141441	0.1246005	0.083953	0.0474185	0.144095	0.0760415	0.14798	0.155736	1	0.13268	0.084528	0.2410715	0.0765585	0.1060655	0.3237725	0.175022	0.2512215	0.135337	0.2728765	0.447368	0.17819	0.310093	0.051282	0.242103	0.2174785	0.14441	0.0763605	0.12212	0.32004	0.127218	0.2902635	0.065913	0.223854	0.1939415	0.301866	0.2258585	0.23847	0.209616	0.161351	0.0728735	0.0949105	0.2656265	0.10966	0.060573	0.066469	0.1279755	0.0881615	0.151713	0.2175115	0.241955	0.170633	0.175663	0.4009325	0.157409	0.154745	0.0907515	0.405197	0.2498655	0.1400665	0.135106	0.1924145	0.3040025	0.139881	0.279937	0.0441175	0.0694445	0.0817005	0.2062405	0.032258	0.1142855	0.4043435	0.201168	0.263558	0.201052	0.1521185	0.172232	0.1835335	0.10238	0.26927	0.2414255	0.124537	0.254485	0.183049	0.2090105	0.1995595	0.275405	0.287317	0.106491	0.2611095	0.2067	0.152085	0.0533495	0.164705	0.19142	0.162075	0.131529	0.141806	0.2416215	0.107082	0.1001755	0.1740515	0.138196	0.2411605	0.1417365	0.2485885	0.16397	0.1550265	0.27522	0.0954075	0.15936	0.1632395	0.158335	0.127275	0.110238	0.16398	0.45726	0.05474	0.247372	0.190192	0.065763	0.3729185	0.14762	0.22903	0.12439	0.214363	0.2813615	0.2857965	0.188022	0.1692585	0.249592	0.0548215	0.2360465	0.13665	0.150982	0.243135	0.185962	0.1600385	0.122591	0.2452365	0.165355	0.277871	0.05685	0.175663	0.318075	0.309307	0.297069	0.14948	0.2289295	0.131161	0.095435	0.13688	0.245927	0.2455475	0.2818045	0.1097245	0.17091	0.164049	0.116279	0.1776115	0.1451505	0.1082085	0.148512	0.14461	0.0773275	0.1173275	0.0496305	0.070221	0.195617	0.189515	0.327508	0.13472	0.1234055	0.313186	0.2120095	0.199785	0.14924	0.273851	0.2837295	0.0844485	0.2478415	0.2300015	0.10775	0.26845	0.2106655	0.0749075	0.158215	0.1854805	0.069855	0.2272125	0.1555475	0.1252965	0.2753205	0.2585055	0.126238	0.0703635	0.1250505	0.1961445	0.0641025	0.3341355	0.33889	0.30278	0.3900015	0.2625475	0.1536345	0.197381	0.0477855	0.0971655	0.2571445	0.192228	0.1165355	0.139707	0.184315	0.2189565	0.163616	0.1341375	0.1631295	0.13472	0.0512355	0.127444	0.1838865	0.379948	0.158034	0.2288115
D00139	0.142858	0.131745	0.02019	0.0135135	0.16853	0.025641	0.1060625	0.112075	0.13268	1	0.020835	0.1835425	0.1033485	0.021579	0.17099	0.1590035	0.136035	0.197424	0.2299	0.183304	0.138095	0.201399	0.0689655	0.181483	0.0761115	0.132765	0.0552595	0	0.17203	0.087729	0.185465	0.154825	0.144843	0.1843375	0.184441	0.1819835	0.197035	0.16025	0.1946645	0.01746	0.102365	0.136873	0.1395	0.0976945	0.060606	0.077435	0.0392845	0.1658295	0.1611135	0.1035175	0.1898795	0.214287	0.2002955	0.1973665	0.121464	0.024259	0.170548	0.1661235	0.1837945	0.204218	0.14689	0.133633	0.177792	0.1868985	0.019231	0.12	0.14302	0.1019835	0	0.0689655	0.133681	0.2000015	0.154761	0.141634	0.099493	0.132189	0.1169825	0.01926	0.2123795	0.197915	0.123851	0.179165	0.1146655	0.2090915	0.1708015	0.163963	0.1496995	0.0991475	0.1454555	0.183792	0.1287495	0.010204	0.141416	0.135736	0.141515	0.107759	0.1164405	0.118115	0.0813655	0.024423	0.1617885	0.15419	0.086773	0.0855635	0.2532035	0.0858605	0.133808	0.1192195	0.020733	0.122395	0.1162285	0.161035	0.19983	0.1270995	0.201337	0.149773	0.02303	0.1149985	0.17778	0	0.1953415	0.1509505	0.140506	0.15783	0.1171785	0.130261	0.1600165	0.1561625	0.1507215	0.142143	0.0104165	0.1906295	0.1366865	0.1514195	0.1199765	0.1324335	0.1044285	0.126801	0.120285	0.167425	0.144705	0.124688	0.173557	0.1404995	0.1675965	0.1556975	0.2315625	0.1716765	0.10609	0.0476495	0.1029915	0.151918	0.182579	0.1245605	0.03253	0.147724	0.1044025	0.104797	0.134508	0.143631	0.115599	0.1479045	0.093937	0.01064	0.0704735	0.0172415	0	0.145061	0.1234905	0.224264	0.143939	0.1227495	0.186975	0.166895	0.127365	0.15752	0.165061	0.2137665	0.140683	0.1914145	0.261691	0.05463	0.221654	0.194445	0.012195	0.0940195	0.0970685	0.1226785	0.180151	0.0949315	0.0166535	0.1435575	0.138011	0.1325055	0.0881925	0.064375	0.1378805	0.0666665	0.173557	0.139515	0.1487195	0.13854	0.1858725	0.1006705	0.1341995	0	0.15	0.122809	0.1450115	0.1125	0.145301	0.138857	0.1906295	0.1287245	0.23315	0.171307	0.16493	0.0151515	0.122609	0.1512515	0.167608	0.1599985	0.131945
