	D00035	D00110	D00136	D00195	D00219	D00225	D00227	D00228	D00234	D00252	D00274	D00283	D00293	D00294	D00303	D00319	D00326	D00329	D00331	D00332	D00335	D00336	D00338	D00340	D00345	D00349	D00351	D00354	D00358	D00364	D00367	D00373	D00379	D00380	D00392	D00394	D00418	D00437	D00438	D00451	D00456	D00464	D00474	D00477	D00480	D00495	D00499	D00504	D00512	D00513	D00519	D00521	D00524	D00528	D00530	D00533	D00536	D00537	D00538	D00539	D00542	D00543	D00544	D00545	D00546	D00547	D00548	D00549	D00550	D00552	D00553	D00560	D00563	D00574	D00593	D00594	D00607	D00611	D00615	D00616	D00617	D00618	D00619	D00629	D00631	D00633	D00636	D00638	D00639	D00640	D00642	D00647	D00648	D00649	D00650	D00651	D00654	D00656	D00658	D00677	D00678	D00694	D00697	D00704	D00708	D00709	D00711	D00726	D00732	D00733	D00735	D00738	D00739	D00740	D00741	D00759	D00760	D00761	D00765	D00771	D00775	D00779	D00791	D00798	D00799	D00809	D00812	D00816	D00823	D00831	D00960	D00963	D00964	D01071	D01108	D01111	D01118	D01242	D01243	D01253	D01256	D01275	D01287	D01295	D01350	D01448	D01450	D01453	D01575	D01599	D01603	D01712	D01768	D01799	D01828	D01854	D01969	D02041	D02086	D02087	D02088	D02092	D02098	D02101	D02163	D02173	D02204	D02207	D02234	D02237	D02253	D02261	D02262	D02272	D02347	D02356	D02360	D02362	D02409	D02461	D02485	D02546	D02566	D02630	D02914	D03037	D03180	D03274	D03365	D03450	D03580	D03742	D03826	D03830	D03878	D03991	D04034	D04048	D04370	D04790	D04985	D04999	D05024	D05077	D05156	D05453	D05458	D05461	D06106	D06172
D00035	1	0.1706355	0.052085	0.1112615	0.101528	0.0172415	0.007405	0.0555555	0.0573315	0.03125	0.0580855	0.0535715	0.0185185	0.00901	0	0.03896	0	0.024911	0.0649375	0.2142855	0.077013	0.073924	0.016129	0.0495785	0.0503385	0.036721	0.0904305	0	0.02778	0.071118	0.0384615	0.1074255	0.0889425	0.032895	0.033335	0.0357145	0.08782	0.036835	0.0317435	0.00709	0.0555555	0.0185185	0.0740245	0.026315	0	0.05	0.040789	0.02469	0.046256	0	0.005815	0.066345	0	0.0101	0	0.039431	0.02778	0.0751095	0.0101	0.098215	0	0	0	0	0	0	0.039475	0	0.0166665	0.05357	0.048385	0.0643215	0.073515	0.093822	0.0554015	0.1383445	0.047705	0.0989585	0.027511	0.0814135	0.028293	0.0340605	0	0.0349265	0.0549875	0	0.017855	0.1491655	0	0.03846	0.106945	0.007575	0.048617	0.02381	0.034688	0.00463	0.0436715	0.0454065	0.0435615	0.1547635	0.05	0.067545	0.0431665	0	0.093074	0.1025205	0.068182	0.02439	0.039475	0.022725	0.1081855	0.1274965	0.0613545	0.04054	0.03846	0.0487495	0.0329235	0.0510825	0.087821	0	0	0.0779615	0.041196	0.1032515	0.045958	0.0357145	0.068287	0.037037	0	0.120071	0	0.1388905	0	0.085277	0.01316	0.211835	0	0.00769	0.045455	0.041667	0.056439	0.0657385	0.164423	0.029412	0.014662	0.0821765	0.138179	0.009525	0.01923	0.105333	0.00909	0.0511015	0.023255	0.09375	0.0655555	0.1013535	0	0.1303855	0.026315	0.061042	0.02857	0.0564235	0.02381	0.0526235	0.0958005	0.0901455	0	0.058926	0.024717	0.0686385	0.02557	0.11134	0.06595	0.07326	0.049363	0	0.13143	0.127119	0.046963	0.0877345	0.008335	0.2439015	0.0719775	0.0238095	0.062625	0.056745	0.0423375	0.075756	0.158335	0.118588	0.0607885	0.1477285	0.05554	0.0843985	0.1170655	0.120071	0.07386	0.160258	0.161029	0.1830085	0.035491	0.192013	0.0856085	0.063238	0.1203685	0.0625	0	0.045481	0.0452235	0.030305
D00110	0.1706355	1	0.14798	0.258777	0.209899	0.153441	0.0604365	0.144446	0.1429405	0.1266955	0.174572	0.15939	0.1909635	0.10607	0.141454	0.2166685	0.1383095	0.144826	0.092307	0.048387	0.147809	0.138136	0.153243	0.093753	0.1503485	0.213087	0.1644065	0.0810435	0.116769	0.190632	0.13552	0.185563	0.187535	0.1618055	0.064069	0.1515615	0.094255	0.2429765	0.1877	0.1206485	0.204434	0.1452	0.2134635	0.1616155	0.120212	0.06852	0.044728	0.1672785	0.1402595	0.1160155	0.0797615	0.1657385	0.0976205	0.089775	0.1307505	0.179606	0.2861735	0.1483175	0.127815	0.064544	0	0	0.0274465	0	0	0.009615	0.3163265	0.1393985	0.1254405	0.266955	0.164183	0.1483745	0.19426	0.1836325	0.1644735	0.183181	0.042301	0.1034485	0.209134	0.2267415	0.197291	0.2248205	0.07477	0.2257995	0.19664	0.0966665	0.129263	0.12008	0.11515	0.118701	0.176501	0.1107955	0.0800015	0.0388605	0.1467585	0.1400285	0.0854765	0.0974185	0.0874165	0.3417795	0.187375	0.131945	0.1832615	0.0166665	0.219631	0.1121215	0.21731	0.1112825	0.212055	0.13512	0.1640915	0.1862905	0.1444465	0.2393915	0.19177	0.151407	0.1017955	0.137149	0.183435	0.0885755	0.077556	0.222143	0.12137	0.1803935	0.1406925	0.1515615	0.1389755	0.1385255	0.1344355	0.156121	0.0930325	0.253786	0.0804975	0.106784	0.005375	0.36979	0.1143255	0.0910385	0.15876	0.178803	0.138138	0.184628	0.218099	0.174726	0.047972	0.1240855	0.166297	0.086921	0.0975625	0.180899	0.1073265	0.0598855	0.15064	0.157232	0.1255175	0.18647	0.0743575	0.4511505	0.1132355	0.2027165	0.123089	0.170455	0.1546115	0.151342	0.1182005	0.2046565	0.027778	0.166614	0.1076265	0.0442655	0.032203	0.218945	0.1382935	0.1519835	0.124218	0.0763745	0.2727285	0.240584	0.159919	0.243955	0.082635	0.1402725	0.165688	0.09477	0.1891495	0.1300155	0.0458115	0.1127	0.248025	0.1526595	0.15881	0.2932395	0.207051	0.205895	0.180994	0.189007	0.1094435	0.215844	0.352845	0.2197675	0.0548585	0.356925	0.17803	0.20808	0.1587095	0.2139205	0.201665	0.070964	0.037282	0.127275
D00136	0.052085	0.14798	1	0.121045	0.2444465	0.2410715	0.0765585	0.2787875	0.3237725	0.187059	0.447368	0.310093	0.2764705	0.1808905	0.2349425	0.1282655	0.2624325	0.295557	0.147009	0.12212	0.247305	0.32004	0.2806495	0.118281	0.2590105	0.0593365	0.338045	0.14717	0.1719755	0.2902635	0.3399755	0.2589285	0.2358215	0.223854	0.049412	0.1939415	0.132707	0.060573	0.080325	0.151713	0.165479	0.2566005	0.17143	0.2743065	0.170633	0.0585715	0.0907515	0.139005	0.2258695	0.1400665	0.113566	0.3040025	0.0441175	0.0817005	0.200292	0.2362345	0.156047	0.0459935	0.0910385	0.072892	0.032258	0.029412	0.03125	0.029412	0.029412	0.042857	0.1872115	0.1018995	0.215832	0.200203	0.150982	0.4043435	0.201168	0.263558	0.192803	0.2401015	0.10238	0.073483	0.1516695	0.2328765	0.154885	0.0681155	0.206923	0.0748365	0.257908	0.1666685	0.236206	0.16991	0.0882355	0.2371875	0.158542	0.2664115	0.1884655	0.1306725	0.160329	0.1770365	0.1228135	0.1235985	0.11865	0.1838805	0.16827	0.229826	0.2275935	0.05729	0.164166	0.10284	0.23485	0.2416215	0.213548	0.195051	0.2874575	0.1851545	0.2797425	0.2362115	0.225429	0.120269	0.107082	0.140821	0.1001755	0.1696965	0.138196	0.2411605	0.2983495	0.271072	0.2735035	0.2129895	0.231351	0.2100465	0.2546	0.1528825	0.103041	0.0623345	0.2060615	0.05474	0.00862	0.172805	0.190192	0.12439	0.164403	0.2923435	0.1224405	0.13	0.2065495	0.2813615	0.019474	0.2139475	0.2010455	0.079209	0.154438	0.1944835	0.122591	0.05685	0.16997	0.25223	0.14948	0.1720665	0.1828	0.173834	0.1841265	0.266345	0.121121	0.4343755	0.1625	0.103612	0.270056	0.147344	0.0720325	0.1524175	0.14461	0.0773275	0.0566355	0.196582	0.1414165	0.1408115	0.213362	0.2120095	0.2525245	0.263499	0.1161605	0.2290825	0.227848	0.032465	0.2478415	0.535665	0.0773615	0.3256945	0.068126	0.2585055	0.126238	0.161027	0.11297	0.177954	0.148212	0.194925	0.161856	0.322113	0.2571445	0.2084395	0.172325	0.141614	0.0639645	0.1742855	0.236396	0.2735035	0.085583	0.2849545	0.09262	0.1300905	0.09013	0.1071055
D00195	0.1112615	0.258777	0.121045	1	0.121808	0.1083105	0.06383	0.16927	0.142708	0.1196145	0.14461	0.1530215	0.122097	0.111924	0.0869835	0.097711	0.098663	0.124128	0.0752125	0.064516	0.11205	0.1336955	0.0953905	0.0784685	0.117519	0.113308	0.1526285	0.0884545	0.1212105	0.124341	0.1387955	0.1865285	0.125196	0.0839395	0.058195	0.131548	0.1405785	0.103011	0.099414	0.124247	0.146125	0.114377	0.114349	0.1004195	0.0943325	0.0666665	0.0416665	0.0722395	0.0827175	0.154547	0.0624055	0.1270815	0.03125	0.096774	0.08555	0.1079235	0.0636155	0.1562705	0.102715	0.05	0	0.015625	0.034483	0.015625	0.015625	0.014706	0.1377995	0.1376395	0.1128935	0.1002835	0.124244	0.1048875	0.200695	0.1205555	0.10462	0.1409245	0.0686275	0.1	0.07557	0.1701875	0.0900965	0.0964005	0.1057275	0.0944435	0.1325625	0.1008785	0.1069315	0.137626	0.127849	0.1186885	0.292558	0.0863425	0.0531425	0.054054	0.0773805	0.0607045	0.0787745	0.110207	0.0721195	0.2334285	0.151059	0.113565	0.131495	0.0333335	0.1167425	0.094086	0.1693565	0.104167	0.114495	0.115881	0.151038	0.1998095	0.151698	0.1004195	0.095366	0.1184405	0.0833605	0.198929	0.191113	0.124688	0.109135	0.2212455	0.128316	0.181502	0.1351925	0.131548	0.1284945	0.1191845	0.096125	0.166665	0.06891	0.228478	0.0585855	0.0953805	0.0142855	0.1860665	0.089925	0.0695785	0.1204955	0.1110245	0.130616	0.238832	0.2218145	0.1106285	0.0673135	0.104796	0.2050405	0.112903	0.0786225	0.121443	0.0834785	0.102941	0.1155635	0.114085	0.1180805	0.14213	0.1042265	0.227542	0.117646	0.13247	0.109135	0.1615585	0.1182955	0.4545345	0.1125785	0.5011115	0.027027	0.18656	0.1312245	0.0478515	0.0384615	0.3720545	0.2345975	0.2421925	0.1293715	0.1016285	0.1824655	0.2354	0.104116	0.1468825	0.0967825	0.1191795	0.135306	0.095745	0.072229	0.128123	0.042857	0.095214	0.18106	0.1052805	0.457588	0.417577	0.155203	0.170439	0.141641	0.2167195	0.0858215	0.240153	0.2401705	0.1598755	0.0526315	0.156745	0.15787	0.1356075	0.154935	0.13077	0.113482	0.065339	0.0405405	0.112649
D00219	0.101528	0.209899	0.2444465	0.121808	1	0.1273345	0.0472215	0.1505865	0.179368	0.1355205	0.25225	0.157477	0.153335	0.237552	0.139919	0.105224	0.1679295	0.1285335	0.2008255	0.109462	0.619035	0.5883685	0.120975	0.2178225	0.2752355	0.092173	0.16461	0.0882335	0.1569225	0.169735	0.149092	0.212778	0.67415	0.438221	0.027979	0.1076645	0.177146	0.1074855	0.1096625	0.2060585	0.167716	0.1185885	0.212903	0.2328415	0.0788595	0.046685	0.0968485	0.265672	0.1268895	0.1071055	0.22247	0.1934435	0.015625	0.0744395	0.1486005	0.211276	0.1520495	0.0884075	0.2000545	0.1043885	0	0	0.0172415	0	0	0	0.1467405	0.1309535	0.1150955	0.2226095	0.1757585	0.196582	0.1596985	0.28256	0.505558	0.2324965	0.13104	0.1251885	0.182125	0.144534	0.1056625	0.100587	0.08696	0.1190485	0.173466	0.136207	0.123698	0.234315	0.080645	0.12264	0.133686	0.18467	0.123405	0.1160835	0.19468	0.20986	0.195137	0.1759135	0.196727	0.2700895	0.153409	0.1079755	0.1384545	0.0166665	0.199214	0.134923	0.231395	0.177122	0.1593245	0.156654	0.3304175	0.2551965	0.2019215	0.1812355	0.19291	0.1119385	0.0611095	0.101814	0.064088	0.1009155	0.108735	0.208217	0.1398	0.2063385	0.1594525	0.1076645	0.111407	0.111112	0.1626205	0.145835	0.0886925	0.0900275	0.1275575	0.1464445	0.060335	0.2611315	0.07508	0.0601295	0.1696125	0.138732	0.219599	0.127494	0.22025	0.133566	0.036502	0.1324955	0.224583	0.0718975	0.07278	0.615565	0.131511	0.0434805	0.120748	0.6664115	0.1398675	0.165602	0.0890925	0.1745315	0.151795	0.1839765	0.155616	0.2456015	0.1482275	0.0718605	0.1287405	0.1428565	0.0213585	0.1042765	0.0840405	0.144886	0.0522695	0.162925	0.1272675	0.1264325	0.2119905	0.0890045	0.1646135	0.194444	0.1211805	0.160024	0.100475	0.050922	0.1698405	0.1299015	0.0871675	0.153777	0.089649	0.1155765	0.187936	0.145951	0.115205	0.2163095	0.1761555	0.120973	0.112875	0.31875	0.1017135	0.216315	0.27868	0.081248	0.06378	0.2729435	0.098628	0.18889	0.1044585	0.2237905	0.135501	0.0730065	0.073823	0.161297
D00225	0.0172415	0.153441	0.2410715	0.1083105	0.1273345	1	0.104651	0.2777025	0.2054665	0.2037015	0.2191415	0.3278465	0.42865	0.2269515	0.228088	0.13051	0.23878	0.316829	0.186	0.0151515	0.136179	0.2236415	0.3424265	0.124525	0.2601895	0.1057235	0.2166135	0.2348825	0.0968645	0.2262555	0.36232	0.2360465	0.121462	0.1133905	0.016129	0.221515	0.09385	0.0973255	0.0799875	0.145897	0.237815	0.514618	0.1794335	0.1317005	0.2275635	0.015625	0.0135135	0.1451135	0.2759285	0.1387405	0.123995	0.2075625	0.032258	0.1	0.211388	0.2314835	0.136049	0.0238095	0.1699295	0.0333335	0.017857	0.016129	0.0357145	0.016129	0.016129	0.0151515	0.2058815	0.1230185	0.70263	0.138153	0.130785	0.2021415	0.2341595	0.13453	0.1008785	0.204057	0.0089285	0.046875	0.15351	0.17968	0.149085	0.091012	0.148792	0.0871935	0.2358675	0.126983	0.185147	0.0979215	0.125925	0.2171595	0.122876	0.16089	0.09242	0.0731005	0.187027	0.2386245	0.0967735	0.13955	0.1048385	0.1620265	0.2363765	0.39509	0.22773	0.034483	0.1637665	0.03125	0.1771825	0.154485	0.128096	0.169936	0.135801	0.125376	0.126541	0.1317005	0.12469	0.100552	0.0751985	0.1328795	0.025862	0.26185	0.1333315	0.1433855	0.167012	0.2289245	0.1911765	0.2673485	0.2537015	0.2776095	0.231203	0.14873	0.1164545	0.0365855	0.2100015	0.0416665	0	0.139973	0.235805	0.1951765	0.144835	0.363097	0.1021835	0.122974	0.1143695	0.2405595	0.0043105	0.1422515	0.1129405	0.096774	0.197186	0.1171945	0.149875	0.0882355	0.1125755	0.127181	0.1908615	0.1130365	0.1532515	0.178924	0.1106705	0.2082	0.120584	0.213587	0.1092145	0.087789	0.14508	0.1191045	0.027778	0.1268415	0.139737	0.0092595	0.028846	0.151035	0.1209425	0.1205025	0.169427	0.152365	0.317088	0.2042505	0.2058185	0.146017	0.1853835	0.027778	0.2788185	0.2182545	0.0894625	0.166667	0.013889	0.207666	0.1481495	0.0645615	0.0907375	0.144967	0.130461	0.136865	0.2118335	0.2185655	0.2175005	0.1137195	0.149773	0.0326085	0.0125	0.1870025	0.2083315	0.2138865	0.0830035	0.176767	0.1773505	0.085399	0.027027	0.10547
D00227	0.007405	0.0604365	0.0765585	0.06383	0.0472215	0.104651	1	0.0652175	0.1201445	0.092171	0.112348	0.076087	0.095238	0.0883825	0.125	0.0924615	0.090909	0.119565	0.1010885	0.025	0.0802315	0.0880935	0.0869565	0.072619	0.0945315	0.10079	0.0970355	0.0897435	0.122174	0.0865325	0.0555555	0.116961	0.049448	0.098701	0.0626455	0.1190475	0.0487805	0.0797665	0.0943355	0.15	0.1456415	0.0813955	0.08141	0.091426	0.121951	0.060999	0.0993585	0.062647	0.062993	0.112345	0.100145	0.111512	0.0694445	0.2890425	0.121329	0.107561	0.065814	0.0696025	0.0891525	0.0629605	0	0	0.0135135	0	0	0.012195	0.103886	0.1328055	0.121744	0.0748125	0.0965485	0.1385345	0.095238	0.09345	0.086038	0.1029995	0.021003	0.051282	0.100606	0.129275	0.10568	0.086495	0.1222345	0.0779235	0.0673075	0.0833335	0.1503985	0.0481345	0.125296	0.0772785	0.0820265	0.110376	0.0808705	0.0829235	0.0918175	0.1063745	0.0671955	0.0892105	0.0670155	0.093793	0.135415	0.0774215	0.1324875	0.013158	0.083458	0.0384615	0.059524	0.115501	0.0892835	0.130886	0.0710675	0.0886375	0.0652175	0.091426	0.101088	0.072666	0.100914	0.104035	0.034069	0.061629	0.06891	0.0520835	0.074074	0.1143455	0.0882355	0.1190475	0.107143	0.107143	0.088889	0.0632685	0.1242575	0.0459965	0.077778	0.068454	0.006175	0.0566485	0.116279	0.308631	0.094035	0.112793	0.0618055	0.12382	0.107574	0.0576925	0.032545	0.080596	0.106434	0.30233	0.115941	0.0481165	0.0846325	0.4104275	0.094444	0.0395035	0.1730365	0.037849	0.1293965	0.0946275	0.11887	0.0938935	0.1121055	0.110154	0.096559	0.085555	0.0704965	0.0652175	0.075	0.097153	0.072464	0.0280885	0.1170645	0.07877	0.1196665	0.1191915	0.082937	0.124687	0.0813955	0.074468	0.246945	0.105695	0.1197695	0.0227275	0.107143	0.0892855	0.0897925	0.0966575	0.086728	0.1230165	0.0526315	0.036131	0.0924935	0.0606855	0.100973	0.116203	0.0846515	0.099125	0.1091685	0.093908	0.095987	0.042011	0.0919535	0.0529215	0.1408645	0.0958105	0.0400885	0.0326085	0.0857145	0.1110175	0.065269	0.1154295
D00228	0.0555555	0.144446	0.2787875	0.16927	0.1505865	0.2777025	0.0652175	1	0.2710535	0.23437	0.210895	0.4148935	0.285733	0.157042	0.169991	0.118959	0.217979	0.251515	0.175755	0.0791665	0.1567565	0.21131	0.2494395	0.1453725	0.2270655	0.1044985	0.2233085	0.1546085	0.0877145	0.29896	0.376263	0.3341495	0.17439	0.1061485	0.016129	0.2074065	0.154936	0.125639	0.0785525	0.137035	0.2066665	0.324913	0.159413	0.1068885	0.2342885	0.015625	0.0135135	0.1249985	0.2608535	0.1317155	0.1251	0.2383415	0.015625	0.0625	0.153735	0.2402435	0.1189845	0.0238095	0.1572745	0.0333335	0.017857	0.016129	0.0172415	0.016129	0.016129	0.0151515	0.164005	0.1228085	0.2813615	0.116122	0.14375	0.2661535	0.358335	0.133185	0.1249005	0.280648	0.059377	0.064516	0.157405	0.1758115	0.1386865	0.116978	0.161287	0.0857135	0.254549	0.124688	0.170237	0.1374465	0.128455	0.2211135	0.1687545	0.135443	0.079664	0.0714285	0.178592	0.1930935	0.11437	0.10565	0.114125	0.170634	0.2071435	0.2622165	0.1812865	0.0166665	0.1642865	0.070607	0.221194	0.1199985	0.1095245	0.154854	0.181074	0.1855955	0.205029	0.0957335	0.0806375	0.103912	0.0861455	0.166679	0.0650705	0.205045	0.1311615	0.231747	0.2747045	0.322915	0.288557	0.22824	0.2518835	0.2504585	0.210882	0.192467	0.0933175	0.0641025	0.1489815	0.057143	0	0.139358	0.220823	0.1614785	0.156995	0.2633315	0.1431265	0.128674	0.168269	0.2784895	0.0043105	0.2093345	0.165292	0.060606	0.16488	0.132321	0.126926	0.0555555	0.108973	0.1946255	0.179224	0.12647	0.1400615	0.1979165	0.1018405	0.339886	0.111269	0.2055565	0.1116275	0.13266	0.2344695	0.184694	0.0135135	0.1425385	0.1901575	0.05629	0.028846	0.207617	0.1568325	0.1559475	0.1925345	0.165325	0.30346	0.3124505	0.136464	0.131409	0.149182	0.027778	0.3000015	0.229016	0.099735	0.1936915	0.013889	0.1645165	0.1587945	0.130405	0.1365095	0.201705	0.184136	0.14638	0.2171285	0.264613	0.1537755	0.167529	0.157785	0.056818	0.025641	0.209525	0.174264	0.350702	0.0888435	0.2768285	0.1321405	0.126799	0.013158	0.095795
D00234	0.0573315	0.1429405	0.3237725	0.142708	0.179368	0.2054665	0.1201445	0.2710535	1	0.1554675	0.3015985	0.287874	0.1996465	0.119775	0.1956645	0.0941965	0.2272215	0.236807	0.148736	0.075	0.2207695	0.286476	0.1807195	0.0756415	0.204501	0.0995965	0.2509505	0.123488	0.1152435	0.276012	0.2599715	0.254601	0.185985	0.1463675	0.0327395	0.2099415	0.13266	0.0862925	0.0846885	0.188312	0.217828	0.184247	0.1072555	0.1532715	0.188672	0.0357145	0.0601435	0.128315	0.158809	0.150626	0.0703415	0.36198	0.0487805	0.0714285	0.1589185	0.1571425	0.1140305	0.0384615	0.112641	0.0365855	0.0125	0.0238095	0.0384615	0.0238095	0.0238095	0.0227275	0.1432425	0.1165055	0.1777775	0.1121785	0.146791	0.4757335	0.251545	0.134463	0.201761	0.2776965	0.052124	0.1004455	0.148439	0.233171	0.1638985	0.098464	0.241466	0.0800925	0.2514475	0.131928	0.167944	0.1576215	0.13395	0.2471195	0.1970395	0.231503	0.105052	0.0725725	0.149255	0.174108	0.0706	0.092073	0.07049	0.1844445	0.2161605	0.1594995	0.163267	0.033825	0.1287885	0.064569	0.164285	0.1224765	0.135094	0.2082395	0.258952	0.1789775	0.267777	0.1381725	0.149072	0.162036	0.163831	0.2133665	0.0707135	0.154028	0.18168	0.2210535	0.2483475	0.2482145	0.260211	0.216837	0.23404	0.22326	0.2213905	0.1681165	0.1083335	0.0548345	0.2022215	0.050243	0	0.17362	0.2026165	0.1956865	0.157666	0.202612	0.094255	0.1511735	0.202443	0.28377	0.0201615	0.200942	0.2014925	0.0697675	0.1955375	0.1522855	0.1557605	0.0716275	0.132898	0.1839765	0.1645335	0.144208	0.206925	0.170148	0.126156	0.282127	0.1059335	0.294706	0.1373405	0.115999	0.2181955	0.146032	0.0555555	0.20897	0.246848	0.098421	0.040516	0.234053	0.204549	0.203674	0.14905	0.234426	0.2316125	0.232266	0.1348535	0.169578	0.1507695	0.0434785	0.23235	0.323086	0.0999985	0.195116	0.0495585	0.228994	0.143723	0.131905	0.1191545	0.188512	0.143649	0.1985155	0.1531995	0.3004125	0.2286845	0.200913	0.1744285	0.0962285	0.0482815	0.166596	0.2472355	0.272801	0.0919815	0.1711825	0.1452955	0.13319	0.057703	0.0948185
D00252	0.03125	0.1266955	0.187059	0.1196145	0.1355205	0.2037015	0.092171	0.23437	0.1554675	1	0.1812555	0.2337235	0.2870385	0.1694395	0.2533715	0.1056595	0.1839215	0.2291395	0.18546	0.0172415	0.172115	0.20188	0.2462595	0.0965935	0.298608	0.107155	0.170762	0.175511	0.19537	0.236607	0.2452365	0.2371985	0.159659	0.161965	0.0479285	0.3771055	0.0970355	0.126536	0.0767345	0.132755	0.1877965	0.2192215	0.169542	0.155555	0.35	0.061977	0.04054	0.312803	0.282405	0.147865	0.1161285	0.1636775	0.017857	0.0804385	0.2032035	0.6476175	0.1843985	0.0206355	0.20771	0.048385	0	0	0	0	0	0	0.202687	0.123239	0.2314835	0.153765	0.264956	0.1518275	0.2777785	0.1374985	0.117943	0.2331975	0.0256405	0	0.1845135	0.1923635	0.14969	0.117375	0.1357125	0.08389	0.207128	0.16389	0.2025395	0.103127	0.1457745	0.292765	0.1068465	0.143304	0.083658	0.12963	0.192857	0.189514	0.0974225	0.10682	0.0869775	0.180542	0.169768	0.1983	0.14541	0	0.196971	0.0555555	0.1415435	0.136385	0.137424	0.22128	0.1279205	0.1833315	0.0869335	0.12231	0.0985085	0.07919	0.0694015	0.100021	0.0202935	0.15194	0.128206	0.146591	0.2154695	0.229165	0.2253065	0.3319305	0.40517	0.351252	0.17766	0.1148855	0.0946455	0.041941	0.161585	0.070953	0.011905	0.164671	0.3014915	0.2311815	0.252313	0.2880935	0.119695	0.1211715	0.1623555	0.192698	0.0072745	0.175555	0.163256	0.0775105	0.2143065	0.1507355	0.174421	0.07127	0.1064795	0.151654	0.1745715	0.1752105	0.11366	0.176515	0.1873545	0.26	0.2069955	0.17639	0.1093085	0.0889815	0.1985535	0.1239505	0	0.080186	0.2229855	0.038928	0.01852	0.132303	0.1018425	0.1010125	0.162147	0.139191	0.2498035	0.1630285	0.1551355	0.1804045	0.134706	0	0.288887	0.113115	0.109823	0.120759	0.041665	0.2326925	0.135355	0.0607205	0.098055	0.1057575	0.1315195	0.157312	0.2658735	0.267088	0.199282	0.1599605	0.186572	0.015385	0.048774	0.1499985	0.165602	0.2683825	0.0726365	0.130964	0.198335	0.0602175	0.04651	0.21677
