	D00040	D00066	D00067	D00075	D00088	D00094	D00105	D00129	D00143	D00163	D00182	D00187	D00188	D00211	D00246	D00279	D00299	D00312	D00316	D00327	D00348	D00443	D00462	D00506	D00554	D00565	D00577	D00585	D00586	D00596	D00627	D00690	D00730	D00898	D00930	D00950	D00951	D00954	D00956	D00961	D00962	D00965	D01115	D01132	D01161	D01217	D01294	D01387	D01441	D01689	D02217	D02367	D04066	D05341
D00040	1	0.4820175	0.2668885	0.43458	0.4181045	0.125543	0.3032815	0.388253	0.69843	0.539665	0.3769355	0.4520805	0.5324845	0.1683065	0.3260965	0.0440505	0.442705	0.208879	0.0625	0.401302	0.125153	0.35956	0.454034	0.023256	0.2779655	0.0629085	0.0333335	0.307873	0.052611	0.0350875	0.0403225	0.25648	0.0384615	0.0333335	0.356442	0.3720685	0.381137	0.3720685	0.345902	0.027778	0.0487715	0.0263285	0.3049085	0.0650685	0.254619	0.44395	0.345535	0.285566	0.064516	0.319528	0.0625	0.343584	0.2462685	0.047619
D00066	0.4820175	1	0.3369385	0.6907365	0.5980725	0.1126555	0.3155935	0.274277	0.6852105	0.4530165	0.5456815	0.2999655	0.319999	0.141093	0.4130645	0.0614415	0.2718565	0.2820015	0.0419985	0.585255	0.1123755	0.5696195	0.540035	0.0818705	0.2812945	0.0668845	0.02439	0.408244	0.0614015	0.0500915	0.0254235	0.351221	0.026234	0.02439	0.261092	0.5338885	0.5031	0.5338885	0.472293	0.039447	0.032728	0.0628355	0.447936	0.0675295	0.2260785	0.80144	0.448905	0.398891	0.0786805	0.431814	0.0782675	0.398725	0.26225	0.0125
D00067	0.2668885	0.3369385	1	0.425893	0.3259805	0.0589615	0.831571	0.222115	0.29489	0.2676985	0.423868	0.23601	0.254329	0.1110225	0.22864	0.10769	0.216665	0.6879645	0.0675555	0.33098	0.0588815	0.287117	0.311705	0.1500015	0.744335	0.081308	0.1338405	0.3259075	0.11555	0.1172525	0.076644	0.254402	0.115618	0.1317005	0.209145	0.4155915	0.2308985	0.4155915	0.466714	0.0871235	0.0597115	0.167615	0.25066	0.14302	0.402772	0.301565	0.2653485	0.220027	0.115198	0.269165	0.183015	0.346045	0.54811	0.0135135
D00075	0.43458	0.6907365	0.425893	1	0.6559505	0.094416	0.438843	0.2811125	0.5209	0.394623	0.67961	0.3209155	0.3436855	0.131285	0.378537	0.0535715	0.2893595	0.3319505	0.036112	0.5801185	0.094241	0.492955	0.465692	0.0789385	0.3606735	0.0391575	0.0394735	0.424766	0.039301	0.047665	0.0172415	0.333902	0.032886	0.0394735	0.2609825	0.664359	0.4167525	0.664359	0.5795575	0.0297635	0.04537	0.063047	0.4264465	0.0748655	0.282605	0.592699	0.423134	0.357192	0.0610515	0.421791	0.0670895	0.4895705	0.3627805	0.013158
D00088	0.4181045	0.5980725	0.3259805	0.6559505	1	0.0830585	0.3087355	0.2943765	0.5247875	0.4147965	0.585875	0.296015	0.3328615	0.161037	0.5195455	0.0598915	0.294077	0.26103	0.038642	0.625239	0.0829235	0.445009	0.4309125	0.073022	0.3451695	0.071718	0.047619	0.4399695	0.0621905	0.0565015	0.0241935	0.4210925	0.036416	0.047619	0.2811915	0.5750675	0.4229075	0.5750675	0.4442135	0.0523355	0.058185	0.0523995	0.412677	0.062378	0.242751	0.5205225	0.3691715	0.414655	0.0788965	0.465318	0.0878815	0.471644	0.261695	0.0238095
D00094	0.125543	0.1126555	0.0589615	0.094416	0.0830585	1	0.0526315	0.1508825	0.0985155	0.135071	0.0761525	0.2131975	0.174385	0.107165	0.094607	0.051052	0.1959575	0.0569265	0.2107145	0.1075985	0.943335	0.0891255	0.0857025	0.053342	0.05	0.0511415	0.0554115	0.1029115	0.036606	0.09479	0.0742805	0.08347	0.0233755	0.0622715	0.1992765	0.07455	0.119048	0.07455	0.0648215	0.01595	0.067644	0.0546555	0.086838	0.0801155	0.0401485	0.1049255	0.1049255	0.0915025	0.047423	0.090258	0.037818	0.080355	0.042553	0.0948405
D00105	0.3032815	0.3155935	0.831571	0.438843	0.3087355	0.0526315	1	0.2385355	0.3261685	0.2945265	0.393365	0.244952	0.2549735	0.1089775	0.21797	0.108065	0.242927	0.5760565	0.0678255	0.2893015	0.0526315	0.259295	0.32199	0.095075	0.8109135	0.081488	0.15424	0.3058675	0.115785	0.085667	0.077439	0.227365	0.116073	0.15188	0.2250705	0.364145	0.218324	0.364145	0.479764	0.101481	0.0699765	0.123462	0.232421	0.14378	0.4585555	0.304325	0.2556435	0.1971205	0.115418	0.2337315	0.185475	0.354945	0.6439415	0.0135135
D00129	0.388253	0.274277	0.222115	0.2811125	0.2943765	0.1508825	0.2385355	1	0.3041885	0.3927945	0.260705	0.5888095	0.702885	0.1581115	0.225906	0.080514	0.4780255	0.177101	0.0849135	0.276325	0.1546275	0.2375695	0.2544215	0.022222	0.2318365	0.08101	0.0434785	0.2407795	0.0431335	0.0573465	0.0390625	0.1760625	0.0433405	0.0617735	0.680863	0.2562315	0.235771	0.2562315	0.251139	0.0363635	0.0454545	0.030612	0.224543	0.084885	0.2341735	0.2482	0.2088195	0.230474	0.0625	0.229548	0.0734105	0.284555	0.2110845	0.0548245
D00143	0.69843	0.6852105	0.29489	0.5209	0.5247875	0.0985155	0.3261685	0.3041885	1	0.5493525	0.44883	0.351662	0.3778465	0.153038	0.3555225	0.0575415	0.3497775	0.234704	0.0461235	0.4939845	0.0984355	0.451064	0.565677	0.037246	0.3011795	0.0544645	0.0375	0.325375	0.0652915	0.0260085	0.0254235	0.303216	0.031434	0.0375	0.3202385	0.4395955	0.4447775	0.4395955	0.3564585	0.0503865	0.0403235	0.040696	0.3560535	0.0716545	0.2384395	0.624837	0.3900565	0.3579615	0.0784255	0.36084	0.0802575	0.378705	0.2603015	0.0125
D00163	0.539665	0.4530165	0.2676985	0.394623	0.4147965	0.135071	0.2945265	0.3927945	0.5493525	1	0.3424705	0.315932	0.375762	0.1540605	0.3059355	0.0365855	0.3156715	0.224159	0.04	0.3929875	0.134756	0.36842	0.462406	0.023256	0.2903045	0.0408165	0.0454545	0.242393	0.022222	0.0708505	0.0827235	0.254235	0.0384615	0.0454545	0.36118	0.3367475	0.334992	0.3367475	0.3131485	0.038888	0.0794905	0.0262685	0.3353685	0.0584135	0.268509	0.4175635	0.317372	0.315156	0.069231	0.306014	0.0727275	0.3221575	0.2534275	0.12935
D00182	0.3769355	0.5456815	0.423868	0.67961	0.585875	0.0761525	0.393365	0.260705	0.44883	0.3424705	1	0.288576	0.3107845	0.1297165	0.350752	0.0355735	0.276361	0.3345085	0.0231385	0.5606035	0.0760075	0.493765	0.4462435	0.074818	0.5235405	0.0256395	0.025	0.45313	0.024265	0.0462355	0.0083335	0.2994775	0.0301605	0.025	0.242035	0.93598	0.398436	0.93598	0.584741	0.0394	0.034834	0.060755	0.4079475	0.078509	0.258889	0.50919	0.5133965	0.313101	0.050163	0.3813575	0.064562	0.6987035	0.331556	0.0128205
D00187	0.4520805	0.2999655	0.23601	0.3209155	0.296015	0.2131975	0.244952	0.5888095	0.351662	0.315932	0.288576	1	0.78207	0.1520915	0.22658	0.0419645	0.763428	0.1878	0.123991	0.308852	0.2170275	0.250185	0.2655325	0.0291375	0.219766	0.0602805	0.0326085	0.2605635	0.0438585	0.042418	0.023077	0.1939735	0.011905	0.0488685	0.612712	0.2839	0.2545565	0.2839	0.2496245	0.017857	0.026564	0.020408	0.2455145	0.0621305	0.1763335	0.2835465	0.2427075	0.23456	0.0546875	0.241469	0.047228	0.3088465	0.1900615	0.0108695
D00188	0.5324845	0.319999	0.254329	0.3436855	0.3328615	0.174385	0.2549735	0.702885	0.3778465	0.375762	0.3107845	0.78207	1	0.153178	0.2539705	0.0432505	0.5880215	0.2010025	0.088753	0.3263155	0.1785	0.2737075	0.2903305	0.030106	0.23338	0.0618885	0.0333335	0.2785465	0.050946	0.0594955	0.0403225	0.206092	0.0384615	0.0528135	0.519134	0.305781	0.2576465	0.305781	0.292426	0.027778	0.0479865	0.0208335	0.2469095	0.0638485	0.2181265	0.2999825	0.249728	0.254411	0.064516	0.270238	0.0676	0.3253775	0.2235885	0.047619
D00211	0.1683065	0.141093	0.1110225	0.131285	0.161037	0.107165	0.1089775	0.166349	0.153038	0.1540605	0.1297165	0.1520915	0.153178	1	0.162388	0.0881915	0.1692395	0.1010475	0.1328565	0.165859	0.108795	0.1415945	0.1112675	0.0792345	0.1165665	0.1080075	0.067173	0.140069	0.0477265	0.098012	0.059622	0.1672945	0.0551995	0.066738	0.1693465	0.1284745	0.209135	0.1284745	0.1298615	0.05612	0.063309	0.095715	0.1544965	0.1033585	0.098867	0.159511	0.1750905	0.1894235	0.10878	0.16506	0.1286365	0.11451	0.1118075	0.006579
D00246	0.3260965	0.4130645	0.22864	0.378537	0.5195455	0.094607	0.21797	0.225906	0.3555225	0.3059355	0.350752	0.22658	0.2539705	0.162388	1	0.0594965	0.226678	0.1871655	0.045226	0.490068	0.094402	0.3589395	0.29571	0.0632345	0.2335675	0.0761495	0.054348	0.300328	0.0615935	0.061339	0.046875	0.5815595	0.0521445	0.042553	0.215396	0.346265	0.369037	0.346265	0.2991385	0.0612795	0.065216	0.0558165	0.359573	0.06749	0.167525	0.3925665	0.3265355	0.573063	0.0863925	0.567925	0.0976525	0.299662	0.216338	0.0456145
D00279	0.0440505	0.0614415	0.10769	0.0535715	0.0598915	0.051052	0.108065	0.080514	0.0575415	0.0365855	0.0355735	0.0419645	0.0432505	0.0881915	0.0594965	1	0.0422095	0.115136	0.2237145	0.0769855	0.050922	0.0496045	0.059807	0.1743005	0.100995	0.5250245	0.1976765	0.1538445	0.176725	0.163005	0.127241	0.135598	0.386365	0.170637	0.085594	0.049087	0.1047675	0.049087	0.1583865	0.159615	0.1589265	0.150218	0.0876405	0.3274615	0.087645	0.0601865	0.0922725	0.088888	0.1113815	0.13205	0.1385985	0.027027	0.16021	0.03125
D00299	0.405205	0.25519	0.216665	0.3071405	0.294077	0.1959575	0.242927	0.4780255	0.3497775	0.332222	0.276361	0.763428	0.5880215	0.1692395	0.226678	0.0422095	1	0.171875	0.138221	0.289637	0.1997875	0.2638645	0.2818575	0.0227275	0.215456	0.0606005	0.0326085	0.258578	0.0442035	0.042653	0.023077	0.1932345	0.011905	0.0494885	0.616657	0.27161	0.2590415	0.27161	0.2376695	0.017857	0.026689	0.020408	0.2424545	0.0625155	0.1785455	0.2809515	0.2430055	0.22268	0.0546875	0.220534	0.042373	0.2873315	0.1878515	0.0108695
D00312	0.208879	0.2820015	0.6879645	0.3319505	0.26103	0.0569265	0.5760565	0.177101	0.234704	0.224159	0.3345085	0.1878	0.2010025	0.1010475	0.1871655	0.115136	0.171875	1	0.0774215	0.265667	0.0568215	0.245342	0.246313	0.13728	0.5328585	0.0940755	0.089423	0.2851665	0.137426	0.1298065	0.078919	0.216365	0.110909	0.088688	0.167266	0.3291115	0.2080125	0.3291115	0.390383	0.1290065	0.0757585	0.187433	0.216486	0.135681	0.34837	0.2552335	0.2377975	0.182639	0.1543455	0.220425	0.14725	0.2672145	0.4556045	0.019595
D00316	0.0625	0.0419985	0.0675555	0.036112	0.038642	0.2107145	0.0678255	0.0849135	0.0461235	0.04	0.0231385	0.123991	0.088753	0.1328565	0.045226	0.2237145	0.138221	0.0774215	1	0.04411	0.2079345	0.034796	0.0476185	0.063402	0.0643895	0.154915	0.1046235	0.0849325	0.090623	0.1119765	0.118452	0.07523	0.1581455	0.11652	0.1138595	0.0337765	0.086373	0.0337765	0.07423	0.0705995	0.0899215	0.0837735	0.0662595	0.19041	0.0594905	0.0414985	0.0629255	0.0584715	0.0884065	0.0908475	0.08832	0.0212765	0.1155965	0.0238095
D00327	0.401302	0.585255	0.33098	0.5801185	0.625239	0.1075985	0.2893015	0.276325	0.4939845	0.3929875	0.5606035	0.308852	0.3263155	0.165859	0.490068	0.0769855	0.289637	0.265667	0.04411	1	0.1073885	0.436221	0.4751655	0.071209	0.3385455	0.0588495	0.05	0.448692	0.048995	0.044611	0.025	0.463225	0.0288985	0.05	0.2637	0.5497235	0.375017	0.5497235	0.3787825	0.03798	0.048923	0.0769305	0.4572785	0.069013	0.203267	0.5228595	0.3969575	0.4932425	0.066967	0.521882	0.0890475	0.44301	0.2646165	0.012195
D00348	0.125153	0.1123755	0.0588815	0.094241	0.0829235	0.943335	0.0526315	0.1546275	0.0984355	0.134756	0.0760075	0.2170275	0.1785	0.108795	0.094402	0.050922	0.1997875	0.0568215	0.2079345	0.1073885	1	0.0890155	0.0856125	0.052887	0.05	0.0510765	0.0523515	0.1027465	0.036466	0.09065	0.0740255	0.083335	0.0232155	0.0592965	0.2028965	0.074405	0.118768	0.074405	0.0646865	0.01588	0.067464	0.0544405	0.086738	0.0800205	0.0400885	0.1047655	0.1046505	0.0912825	0.047373	0.090093	0.037698	0.080145	0.042553	0.0938855
D00443	0.35956	0.5696195	0.287117	0.492955	0.445009	0.0891255	0.259295	0.2375695	0.451064	0.36842	0.493765	0.250185	0.2593135	0.1415945	0.3589395	0.0496045	0.2638645	0.245342	0.034796	0.436221	0.0890155	1	0.4129	0.058889	0.276475	0.055665	0.0212765	0.324907	0.0510745	0.042563	0.023077	0.3149965	0.01937	0.0212765	0.2128995	0.485487	0.4060455	0.485487	0.3897065	0.0350875	0.027563	0.051233	0.696332	0.0630705	0.2071405	0.554565	0.402025	0.3370585	0.069347	0.381647	0.062249	0.3781905	0.2234815	0.0197995
D00462	0.454034	0.540035	0.311705	0.465692	0.4309125	0.0857025	0.32199	0.2544215	0.565677	0.462406	0.4462435	0.2655325	0.2903305	0.1112675	0.29571	0.059807	0.2818575	0.246313	0.0476185	0.4751655	0.0856125	0.4129	1	0.038722	0.3573175	0.043616	0.0384615	0.33075	0.038976	0.026713	0.025862	0.2505235	0.0331555	0.0384615	0.2663105	0.4374415	0.3315395	0.4374415	0.300705	0.029553	0.041445	0.0421045	0.352017	0.073809	0.214564	0.44629	0.3691795	0.3122835	0.0699935	0.34025	0.060272	0.4011415	0.270811	0.0128205
D00506	0.023256	0.0818705	0.1500015	0.0789385	0.073022	0.053342	0.095075	0.022222	0.037246	0.023256	0.074818	0.0291375	0.030106	0.0792345	0.0632345	0.1743005	0.0227275	0.13728	0.063402	0.071209	0.052887	0.058889	0.038722	1	0.0886795	0.1466685	0.1404765	0.130456	0.115735	0.2370705	0.0912035	0.126498	0.2417935	0.110664	0.022222	0.0891035	0.0581705	0.0891035	0.172266	0.128005	0.1117665	0.288484	0.0570365	0.1479585	0.063235	0.0716855	0.039921	0.0595915	0.077699	0.0608995	0.1277175	0.0476855	0.0899605	0.030303
