	D00049	D00059	D00079	D00094	D00095	D00106	D00110	D00113	D00136	D00139	D00180	D00225	D00227	D00232	D00234	D00235	D00241	D00255	D00270	D00274	D00281	D00283	D00295	D00300	D00301	D00306	D00318	D00332	D00336	D00356	D00364	D00371	D00380	D00394	D00397	D00400	D00410	D00411	D00415	D00419	D00422	D00426	D00432	D00437	D00440	D00442	D00443	D00451	D00454	D00465	D00480	D00483	D00493	D00494	D00498	D00499	D00503	D00509	D00513	D00514	D00520	D00521	D00522	D00523	D00524	D00525	D00528	D00540	D00542	D00559	D00560	D00563	D00574	D00598	D00601	D00604	D00606	D00607	D00609	D00613	D00627	D00632	D00635	D00645	D00646	D00665	D00666	D00673	D00674	D00675	D00676	D00682	D00683	D00684	D00687	D00688	D00715	D00726	D00760	D00765	D00769	D00775	D00779	D00780	D00790	D00837	D00838	D00845	D00954	D00965	D00987	D00996	D01020	D01022	D01024	D01051	D01071	D01103	D01118	D01126	D01164	D01227	D01236	D01242	D01269	D01295	D01297	D01324	D01332	D01346	D01352	D01358	D01386	D01390	D01441	D01454	D01462	D01603	D01652	D01692	D01699	D01712	D01713	D01717	D01745	D01782	D01828	D01871	D01891	D01925	D01964	D01965	D01973	D01994	D02007	D02066	D02070	D02076	D02082	D02147	D02149	D02150	D02234	D02237	D02250	D02278	D02279	D02327	D02338	D02340	D02342	D02349	D02354	D02356	D02357	D02358	D02359	D02361	D02374	D02566	D02578	D02588	D02614	D02671	D02721	D02725	D02826	D02884	D02910	D03165	D03187	D03210	D03274	D03365	D03415	D03442	D03490	D03503	D03621	D03642	D03654	D03858	D03879	D03880	D03881	D03966	D04006	D04034	D04040	D04375	D04625	D04716	D04979	D05113	D05129	D05246	D05312	D05341	D05740	D05792	D05938	D06056	D06396
D00049	1	0,1897955	0,054352	0,0535715	0,139196	0,048387	0,158594	0,13803	0,107571	0,097783	0,055437	0,100819	0,0436115	0,00506	0,052072	0,1043535	0,2320405	0,058173	0,078128	0,083074	0,105893	0,0721185	0,0652175	0,1178355	0,0675065	0,058839	0,048292	0,0833335	0,0618415	0,0928985	0,25116	0,0813775	0,1331965	0,075024	0,181295	0,108376	0,45066	0,0736885	0,101203	0,007875	0,0560005	0,077078	0,074714	0,0859765	0,0357145	0,0409085	0,006005	0,08866	0,074604	0,1127485	0,077923	0,1054565	0,0676915	0,08106	0,077498	0,010015	0,06347	0,0985585	0,0877365	0,105605	0,0736875	0,0720625	0,1186	0,059604	0	0,1	0,15083	0,1156055	0	0,0416665	0,076467	0,2964165	0,134484	0,0721035	0,0594185	0,10056	0,102373	0,001305	0,0880435	0,066851	0,086011	0,0835785	0,0821345	0,0711755	0,0949505	0,1948845	0,130046	0,0540015	0,0766905	0,1813535	0,125469	0,0375	0,0645045	0,0929095	0,118387	0,067554	0,1148955	0,0979025	0,0373265	0,00358	0,088536	0,10054	0,0978825	0,042716	0,077693	0,090626	0,0876165	0,1031185	0,004785	0,098344	0,0594515	0,128973	0,095978	0,037237	0,0609935	0,1098125	0,009	0,0821245	0,0723285	0,0789475	0,063803	0,0917645	0,0969245	0,053477	0,1129745	0,084085	0,225355	0,0722785	0,13016	0,188085	0,0384615	0,084383	0,165284	0,122228	0,1671215	0,0840185	0,119355	0,0690175	0,0634355	0,051907	0,0783725	0,0884865	0,08079	0,123571	0,059338	0,1094835	0,1761035	0,0698905	0,0944475	0,0590115	0,0804525	0,059955	0,10817	0,081805	0,082345	0,067839	0,129059	0,1932895	0,0966495	0,112629	0,1327995	0,117438	0,037647	0,001725	0,050535	0,075	0,0882355	0,2027465	0,0760605	0,0722935	0,0721235	0,1184115	0,06843	0,0572365	0,074231	0,0841385	0,094718	0,1128305	0,051258	0,083288	0,1575065	0,066421	0,0898035	0,065291	0,046875	0,0755345	0,0694305	0,061705	0,0798605	0,0466365	0,0075	0,0753505	0,154261	0,427275	0,026941	0,0512885	0,0696405	0,0625	0,1132665	0,1787995	0,0810895	0,1009125	0,087044	0,0667395	0,0949045	0,075	0,077205	0,124063	0,10998	0,105263	0,113269	0,0884935	0,078038	0,053897	0,123255	0,10053	0,057529	0,0625	0,0410755	0,0742245	0,087	0,074594	0,0602815
D00059	0,1897955	1	0,130874	0,0563595	0,44636	0,122979	0,114445	0,1341935	0,1121705	0,10249	0,138174	0,10035	0,0641025	0,065358	0,0775885	0,168475	0,283932	0,0997945	0,1077185	0,091215	0,0861285	0,097194	0,074074	0,0900705	0,0846835	0,1776865	0,089467	0,119189	0,0795305	0,1290805	0,0917495	0,0625	0,1022375	0,1253795	0,1641235	0,1939815	0,081234	0,0780995	0,130895	0,0625035	0,0877935	0,0828725	0,139195	0,0737945	0,066726	0,1000555	0,02935	0,1336395	0,08097	0,1055855	0,12561	0,1368995	0,094554	0,1302795	0,1522135	0,0357145	0,0891545	0,1476705	0,14558	0,1130365	0,059904	0,1416035	0,140226	0,088165	0,0434785	0,16354	0,064865	0,0912825	0,025	0,098909	0,112671	0,091017	0,12934	0,1240815	0,163529	0,082485	0,1037	0,0245015	0,094101	0,2049355	0,1193125	0,3179195	0,133185	0,103255	0,1398485	0,140852	0,140618	0,08497	0,116483	0,1615	0,17582	0,113806	0,184454	0,131172	0,1254465	0,1650455	0,0932925	0,112998	0,0840295	0,045223	0,0955185	0,170396	0,097134	0,0746365	0,1061835	0,183899	0,30565	0,13838	0,0625515	0,12114	0,135904	0,402607	0,247483	0,168163	0,1682805	0,0954145	0	0,0644425	0,1172165	0,239172	0,0927075	0,0816	0,0597485	0,085731	0,141855	0,0799075	0,0837785	0,097294	0,127291	0,242609	0,1195	0,0885135	0,267312	0,3997305	0,13084	0,1673455	0,158429	0,064604	0,077193	0,081226	0,134709	0,0925925	0,111053	0,134573	0,0793125	0,102575	0,2469675	0,094315	0,125087	0,151024	0,1262485	0,1603935	0,128155	0,1677415	0,225266	0,238268	0,15395	0,18706	0,165875	0,286553	0,42816	0,3694905	0,0462785	0,026477	0,117393	0,1859985	0,2047495	0,137812	0,152708	0,099844	0,1243065	0,174315	0,0862245	0,155045	0,1478955	0,1612255	0,252578	0,119348	0,125885	0,1039935	0,1269745	0,1622375	0,2023615	0,0909905	0,1193555	0,1175285	0,09665	0,0892855	0,093193	0,0778785	0,061	0,0675655	0,1610125	0,091469	0,058347	0,182311	0,131513	0,0714285	0,0857665	0,1744545	0,139908	0,097489	0,3345065	0,24923	0,3629055	0,1885485	0,0833335	0,162411	0,1856315	0,1086955	0,3765555	0,1093705	0,1041285	0,121379	0,157227	0,158685	0,11022	0,1298135	0,0744875	0,133946	0,0835345	0,110875	0,10014
D00079	0,054352	0,130874	1	0,173061	0,1421425	0,629899	0,180149	0,14128	0,082163	0,01321	0,834016	0,022222	0,0399355	0,158033	0,060959	0,0812775	0,1038745	0,0767495	0,047619	0,07195	0,013158	0,021739	0,0526315	0,05	0,1035665	0,1678995	0,0381745	0,151469	0,05771	0,39632	0,037767	0,028678	0,062457	0,0465115	0,0637055	0,137965	0,015335	0,039413	0,0868805	0,538226	0,075	0,0701695	0,192419	0,0230935	0,075	0,0854185	0,129255	0,0498555	0,022222	0,1056635	0,0348835	0,0708055	0,0555555	0,0357145	0,1495885	0,119611	0,0652175	0,046283	0,068622	0,044591	0,047785	0,1134305	0,0654625	0,078695	0,0454545	0,1344885	0,027997	0,070828	0,016129	0,0847025	0,0714625	0,0357145	0,0895475	0,115025	0,1569255	0,0128205	0,015135	0,0442845	0,021116	0,057728	0,0689635	0,085366	0,13779	0,0356035	0,081863	0,191259	0,1924125	0,0731705	0,066563	0,076623	0,1330525	0,6147475	0,0836685	0,0452185	0,120888	0,0666615	0,1322035	0,065235	0,07468	0,1636285	0,07338	0	0,0792585	0,1049205	0,079839	0,166935	0,1379795	0,1670125	0,194165	0,035726	0,1874165	0,1295695	0,0489585	0,0487805	0,0759	0,0620105	0,0502215	0,0632555	0,0581395	0,119365	0,0949515	0,0248035	0,018684	0,0369535	0,131863	0,0804335	0,0537815	0,0454545	0,1477365	0,0654995	0,6815265	0,0348835	0,115382	0,0828845	0,0271275	0,065265	0,2008815	0,0292375	0,07189	0,06438	0,059267	0,051847	0,023256	0,1032735	0,0791895	0,0635345	0,069794	0,0575195	0,3892245	0,1143425	0,3814495	0,1010105	0,108125	0,143883	0,216848	0,0665615	0,1309355	0,124088	0,124645	0,0941485	0,18603	0,1219145	0,017934	0,06	0,099368	0,2044175	0,1906645	0,126074	0,1206585	0,021739	0,115475	0,0562435	0,0652175	0,0777425	0,1395615	0,1124445	0,138455	0,0656145	0,073544	0,08759	0,0375	0,125767	0,136026	0,050488	0,5685925	0,447935	0,0884225	0,0372155	0,0891085	0,109487	0,518815	0,0366475	0,0747785	0,1025125	0,067999	0,1544205	0,112611	0,051282	0,0357145	0,0746485	0,061691	0,0700545	0,0875	0,2173135	0,186905	0,177199	0,072243	0,0759305	0,136756	0,013158	0,0776575	0,078803	0,054584	0,1406905	0,101599	0,087075	0,1338885	0,3086835	0,048679	0,129316	0,0809325	0,0800705	0,0549815
D00094	0,0535715	0,0563595	0,173061	1	0,014706	0,167011	0,05	0,0375	0,0480185	0,0135135	0,11877	0,0365855	0,0416665	0,094916	0,028302	0,031201	0,0591445	0,011724	0,048455	0,050415	0,0454545	0,0487805	0,0416665	0,039876	0,0393215	0,139048	0,03815	0,2130795	0,0482505	0,0921135	0,056818	0,030303	0,029936	0,0768525	0,011905	0,08044	0,030497	0,0592965	0,045955	0,0923825	0,0897495	0,0438565	0,0687175	0,1522605	0,0869745	0,026687	0,0972855	0,0496865	0,05	0,0747395	0,04172	0,032135	0,034091	0,0429365	0,1572155	0,0809035	0,0212765	0,0602195	0,031931	0,0441175	0,0461455	0,061222	0,0446255	0,0676505	0,05833	0,0441175	0,0454545	0,0945005	0	0,0416665	0,0185185	0,0384615	0,096933	0,0536455	0,085191	0,0441175	0,0135135	0,0759835	0,042553	0,0352185	0,0598105	0,0113635	0,0934215	0,051829	0,0680005	0,1828725	0,162745	0,0873325	0,055879	0,062083	0,091247	0,1475755	0,051303	0,052898	0,0287345	0,0534215	0,055524	0,0445515	0,0553265	0,0828	0,0350535	0	0,0452695	0,0859805	0,0532	0,0842335	0,0755685	0,092339	0,076615	0,0626255	0,0690895	0,0142855	0,048182	0,122832	0,035385	0,06874	0,118109	0,036902	0,0425745	0,071506	0,02263	0,042508	0,025862	0,0515395	0,062827	0,1038635	0,031915	0,029771	0,155936	0,030612	0,140571	0,0375	0,030303	0,035023	0,043763	0,071024	0,192186	0,0511	0,0408165	0,0788165	0,018868	0,0555555	0,0384615	0,079283	0,02	0,097618	0,0732125	0,051049	0,0970265	0,0392155	0,108095	0,027778	0,0434785	0,05647	0,063199	0,0434335	0,06159	0,0763625	0,113495	0,0474965	0,0589555	0,031458	0,046154	0,062735	0,051636	0,077225	0,06307	0,097312	0,066024	0,0487805	0,0669155	0,081024	0,0536795	0,074295	0,0822735	0,0593185	0,011905	0,063034	0,0694875	0,061402	0,030281	0,0434785	0,023256	0,0678195	0,192884	0,11657	0,047619	0,056234	0,03559	0,091852	0,1290105	0,1005525	0,061278	0,0666665	0,016499	0,036985	0,052494	0,0405405	0,0384615	0,0357145	0,019231	0,0502495	0,011628	0,035675	0,04959	0,108915	0,0142855	0,0542625	0,1119925	0,029412	0,0622715	0,0703495	0,0375	0,034091	0,063858	0,0679695	0,06955	0,1008905	0,039975	0,00653	0,070088	0,05325	0,05878
D00095	0,139196	0,44636	0,1421425	0,014706	1	0,1326075	0,1214785	0,1691345	0,12772	0,133315	0,1542625	0,1283	0,0657895	0,070057	0,09113	0,1706265	0,201575	0,133083	0,158786	0,1034705	0,0901865	0,1211795	0,1	0,1218495	0,077079	0,211342	0,0689655	0,0208335	0,108978	0,1953265	0,1092005	0,090909	0,1634285	0,148818	0,1425395	0,0995205	0,116285	0,0984015	0,175446	0,1040905	0,109413	0,1201555	0,207563	0,094055	0,086207	0,060365	0,03262	0,16407	0,1038235	0,11315	0,154556	0,18841	0,1375485	0,16075	0,230651	0,0576925	0,128975	0,1957175	0,2050955	0,1700035	0,078145	0,140174	0,0984635	0,0945355	0,0454545	0,1312155	0,0942765	0,100154	0,026316	0,110015	0,10028	0,116011	0,14204	0,146322	0,1398935	0,0862085	0,1041665	0,021739	0,0930735	0,24629	0,080163	0,40249	0,105765	0,1191315	0,1915745	0,13149	0,1045655	0,1056485	0,141561	0,130277	0,124777	0,108159	0,2442565	0,1321175	0,12866	0,223855	0,1456615	0,1472055	0,068888	0,071267	0,099299	0,1494335	0,103745	0,076455	0,157011	0,156144	0,2270835	0,076492	0,054117	0,13449	0,09468	0,8863755	0,208391	0,1927705	0,142892	0,0967085	0,0172415	0,0770595	0,143492	0,0482265	0,100137	0,097509	0,0799975	0,102989	0,0805785	0,0736595	0,103456	0,100605	0,081446	0,184627	0,134165	0,112418	0,334787	0,575756	0,0880115	0,223822	0,077215	0,07528	0,0971295	0,1028	0,0932935	0,074074	0,0898455	0,102018	0,097642	0,102635	0,13642	0,1173215	0,1879385	0,0832005	0,1671345	0,12713	0,141067	0,0837175	0,1204305	0,3095195	0,178125	0,160695	0,087656	0,4258385	0,6098385	0,677481	0,0540015	0,0227275	0,054572	0,093485	0,0788745	0,0902145	0,1751595	0,1242395	0,146427	0,2824735	0,129195	0,138678	0,1553575	0,1861215	0,4037435	0,152586	0,172555	0,158346	0,194953	0,0947395	0,4983625	0,1322225	0,1278095	0,17643	0,2071515	0,0925925	0,1168895	0,0835135	0,1254575	0,0935285	0,182486	0,154635	0,06044	0,068004	0,154336	0,096154	0,117546	0,1379895	0,0959305	0,105885	0,4240065	0,2538735	0,3517095	0,02452	0,1136365	0,1701865	0,099702	0,1136365	0,4740735	0,15744	0,1304145	0,1672735	0,1143855	0,107448	0,1564395	0,034483	0,0810265	0,172365	0,0887155	0,160723	0,1036085
D00106	0,048387	0,122979	0,629899	0,167011	0,1326075	1	0,1397505	0,1381535	0,0768165	0,025641	0,5889135	0,034091	0,028846	0,1602815	0,0708025	0,0778825	0,0978795	0,0736795	0,047619	0,0816325	0,027027	0,0333335	0,0526315	0,05	0,0987145	0,170984	0,0372945	0,1483665	0,0636325	0,317167	0,0731915	0,0135135	0,057447	0,0465115	0,0609755	0,11719	0,012195	0,0446835	0,0968805	0,3419125	0,1162635	0,0796215	0,160929	0,031915	0,098445	0,0805635	0,120483	0,0487805	0,034091	0,115368	0,0348835	0,0664555	0,068182	0,0357145	0,151698	0,0798495	0,077778	0,044953	0,065192	0,043116	0,037037	0,111935	0,0639275	0,075505	0,0454545	0,1084505	0,013158	0,0792925	0,016129	0,0941885	0,0706425	0,0487805	0,0432265	0,112055	0,1361795	0,026316	0,0125	0,0519445	0,04	0,0688415	0,0674685	0,085366	0,1128465	0,0345385	0,079048	0,151949	0,176205	0,11321	0,0697675	0,074468	0,104579	0,489301	0,0807185	0,0406535	0,1058425	0,0635115	0,144771	0,0625	0,061955	0,1646325	0,054773	0	0,106285	0,0889485	0,055834	0,166231	0,135516	0,1285525	0,19111	0,0108695	0,175155	0,1215195	0,0470835	0,0487805	0,073255	0,0510205	0,0594015	0,06546	0,0581395	0,114305	0,0692645	0,0241935	0,016129	0,0267855	0,1230755	0,0722035	0,0408165	0,0454545	0,1442065	0,0612245	0,5429405	0,047619	0,094377	0,0802295	0,033346	0,06225	0,1720915	0,0285375	0,0740035	0,074468	0,0702025	0,0375	0,0357145	0,100215	0,0612245	0,0726445	0,067194	0,067308	0,290185	0,1244125	0,315403	0,088668	0,09615	0,1274565	0,157888	0,0634365	0,12485	0,128504	0,1057755	0,0920135	0,171455	0,1143795	0,0454565	0,0674775	0,093078	0,1919825	0,1794895	0,108054	0,1027535	0,0454545	0,097781	0,0508335	0,077778	0,0759425	0,1119705	0,1089195	0,121565	0,0490345	0,070774	0,0851	0,0375	0,113632	0,128751	0,060713	0,706145	0,3008815	0,0967435	0,0238095	0,0866585	0,0937615	0,3301425	0,044643	0,0714285	0,111476	0,0585145	0,09263	0,109636	0,051282	0,0487805	0,0714285	0,0723085	0,0809885	0,0875	0,2251695	0,174235	0,206009	0,0416665	0,0737705	0,116466	0,013158	0,0756625	0,114458	0,053209	0,1243305	0,099019	0,08568	0,1166535	0,26426	0,039504	0,112436	0,081183	0,0787055	0,064399
D00110	0,158594	0,114445	0,180149	0,05	0,1214785	0,1397505	1	0,4308965	0,12315	0,0780925	0,213339	0,119111	0,0542415	0,253875	0,1250105	0,111666	0,10371	0,0703975	0,102317	0,143662	0,10176	0,14024	0,057143	0,162292	0,2454125	0,17986	0,029835	0,048387	0,119506	0,325897	0,203427	0,065826	0,1264355	0,1335115	0,115262	0,111023	0,13067	0,145895	0,1653205	0,217596	0,0659745	0,1368575	0,1862915	0,2146065	0,051282	0,083429	0,1917035	0,0884885	0,159839	0,2390925	0,102437	0,10643	0,122766	0,10553	0,23517	0,033188	0,101661	0,1582395	0,0923155	0,116379	0,1060015	0,1588385	0,0741945	0,1369115	0,1038705	0,216876	0,073535	0,2581955	0	0,116039	0,1214495	0,16283	0,1481125	0,12528	0,0779555	0,098339	0,0654585	0,038441	0,144323	0,136059	0,070565	0,116028	0,068587	0,0960685	0,138398	0,1036585	0,223327	0,0642825	0,143489	0,1183235	0,084097	0,134505	0,0626755	0,188169	0,07314	0,065114	0,3505555	0,0851825	0,0957905	0,22857	0,2380765	0,060831	0,186943	0,1579055	0,100487	0,1473295	0,2369215	0,123398	0,2314005	0,0895725	0,22925	0,11285	0,094055	0,0834185	0,0987555	0,138993	0,095769	0,2149705	0,0967855	0,0561	0,096734	0,0761065	0,1109085	0,0754035	0,2501205	0,212571	0,132345	0,184072	0,126731	0,1371825	0,133035	0,15963	0,222368	0,104955	0,0977225	0,0859995	0,155726	0,0877365	0,135244	0,0974185	0,17221	0,0563805	0,121762	0,244327	0,119896	0,12955	0,0927875	0,175248	0,2714475	0,171751	0,2286025	0,1062375	0,1982805	0,1014605	0,18622	0,065234	0,4003245	0,0908875	0,073745	0,099924	0,108665	0,1239	0,1040365	0,0401455	0,0764655	0,0413055	0,02914	0,138228	0,078755	0,14106	0,1100105	0,16113	0,1342	0,0631345	0,225644	0,103276	0,127321	0,1127885	0,0859075	0,139273	0,1280555	0,18991	0,1249805	0,1519335	0,154431	0,204362	0,1504865	0,054974	0,088742	0,168912	0,225733	0,1371365	0,100905	0,21781	0,0437975	0,176191	0,1219015	0,0555555	0,190595	0,09685	0,178787	0,139705	0,1206975	0,167452	0,12164	0,14552	0,0626895	0,0883585	0,0683975	0,06491	0,100189	0,175069	0,157315	0,163039	0,066663	0,0777465	0,197467	0,0128205	0,049327	0,0689525	0,153957	0,0791625	0,1321665
D00113	0,13803	0,1341935	0,14128	0,0375	0,1691345	0,1381535	0,4308965	1	0,128581	0,080175	0,16432	0,1189555	0,055138	0,385848	0,12792	0,1063755	0,13548	0,0846155	0,10499	0,1375875	0,1051735	0,1322015	0,0588235	0,134735	0,476461	0,167966	0,0400085	0,0760905	0,131652	0,3148355	0,1766515	0,049372	0,120155	0,137188	0,27053	0,102822	0,105255	0,142563	0,153302	0,163565	0,0677475	0,141585	0,190308	0,157909	0,0526315	0,1288285	0,145807	0,0950295	0,135158	0,260435	0,105105	0,109236	0,143144	0,108356	0,197585	0,0481875	0,135594	0,125946	0,11337	0,120485	0,0923715	0,1437035	0,079608	0,120744	0,0925925	0,1775045	0,051175	0,393092	0,0185185	0,139123	0,142805	0,1958505	0,1432785	0,1288465	0,0886565	0,101535	0,08847	0,0734945	0,102123	0,153728	0,0689725	0,0995345	0,0704385	0,0952505	0,175	0,11333	0,2084515	0,0659645	0,151167	0,111653	0,0877225	0,1382895	0,1203575	0,113895	0,0909755	0,0767275	0,4494335	0,0785495	0,077778	0,203365	0,1998785	0,06272	0,2146925	0,1463425	0,103195	0,19232	0,2585185	0,12941	0,1931445	0,0713295	0,221957	0,15835	0,120954	0,0965595	0,1000105	0,1556705	0,1058675	0,294335	0,1134145	0,06038	0,126926	0,0888715	0,1005755	0,0766165	0,232242	0,13494	0,13443	0,1710165	0,135986	0,1334605	0,148325	0,19447	0,216221	0,1276365	0,0964345	0,0885155	0,1512715	0,0894015	0,1392665	0,102283	0,196822	0,0422915	0,125242	0,2116615	0,128631	0,148469	0,0732195	0,147587	0,2376255	0,1699115	0,219253	0,1514705	0,211447	0,117582	0,1729965	0,0768425	0,637115	0,1301	0,0722635	0,178248	0,1556695	0,1478915	0,0962805	0,0632	0,1197425	0,07481	0,0634635	0,119986	0,092108	0,1321565	0,0948795	0,1779265	0,137449	0,06437	0,2501935	0,1063855	0,149817	0,1062555	0,097322	0,16303	0,121415	0,18791	0,140016	0,155998	0,149654	0,1822275	0,173562	0,0721235	0,085308	0,1571835	0,172416	0,1392385	0,0890825	0,2264	0,0442115	0,1157895	0,125275	0,057143	0,1930235	0,1023325	0,2045015	0,155924	0,102492	0,1570445	0,122467	0,1166	0,065411	0,0866855	0,0797905	0,066876	0,121993	0,215383	0,16193	0,1916915	0,0738345	0,085113	0,220869	0,027027	0,0499355	0,1039585	0,1537635	0,081291	0,135078
D00136	0,107571	0,1121705	0,082163	0,0480185	0,12772	0,0768165	0,12315	0,128581	1	0,10336	0,088933	0,2197515	0,0723335	0,0933055	0,3754675	0,163747	0,2785515	0,122847	0,2855515	0,448018	0,163385	0,299533	0,051282	0,213683	0,2382885	0,137255	0,0662105	0,16727	0,304805	0,109318	0,2684835	0,058273	0,186784	0,1729415	0,253961	0,2015635	0,1847	0,184806	0,134651	0,0881135	0,0785755	0,2888615	0,10039	0,045658	0,062589	0,1225855	0,0920065	0,148283	0,1979715	0,21186	0,153383	0,157923	0,4393125	0,139529	0,143645	0,1010765	0,436642	0,2139105	0,1290415	0,116091	0,1656295	0,2904925	0,116171	0,263487	0,0441175	0,0694445	0,0675555	0,1811555	0,032258	0,1142855	0,4356385	0,187073	0,247963	0,195267	0,1359785	0,155367	0,1772685	0,15873	0,224225	0,2227705	0,106982	0,22396	0,148909	0,1818005	0,1819545	0,245835	0,274257	0,090606	0,2546995	0,167015	0,145505	0,0544545	0,137225	0,17612	0,13442	0,115879	0,116596	0,2112465	0,097557	0,0968205	0,1557615	0,134221	0,2396555	0,1335565	0,2319085	0,16706	0,1458665	0,27106	0,0904325	0,131805	0,1577995	0,140485	0,11483	0,105383	0,142345	0,433245	0,048875	0,208507	0,170307	0,068373	0,3433735	0,119295	0,19692	0,1088	0,189918	0,2574715	0,2817415	0,170207	0,1497985	0,230762	0,0561915	0,2234065	0,118865	0,135272	0,231695	0,184657	0,1509185	0,102771	0,2125365	0,1443	0,245716	0,050715	0,157623	0,330355	0,292767	0,265869	0,12362	0,2085095	0,117001	0,09297	0,1199	0,229487	0,2189275	0,3172395	0,1115995	0,142975	0,140369	0,116279	0,1515715	0,1284705	0,0947085	0,132147	0,136165	0,0763075	0,1129275	0,0468005	0,067356	0,160587	0,164785	0,314998	0,122835	0,0947755	0,303801	0,1907145	0,17766	0,13692	0,241211	0,2490695	0,0792685	0,2161465	0,2250665	0,102705	0,26003	0,1937005	0,0746125	0,1499	0,1759555	0,063295	0,1777925	0,1447175	0,1549465	0,2549655	0,2550555	0,113453	0,0643335	0,1234155	0,1910645	0,0641025	0,3128005	0,31957	0,271705	0,3764665	0,2314625	0,1315645	0,177216	0,0594605	0,0892605	0,2300795	0,167898	0,1207655	0,120377	0,16363	0,2006165	0,151046	0,1136175	0,1460645	0,11527	0,0950455	0,102274	0,1757865	0,355568	0,145164	0,2153615
D00139	0,097783	0,10249	0,01321	0,0135135	0,133315	0,025641	0,0780925	0,080175	0,10336	1	0,01334	0,1565425	0,1045885	0,014494	0,1392	0,1219635	0,103125	0,199444	0,18941	0,143844	0,101735	0,174064	0,0689655	0,150843	0,0680865	0,122875	0,0459495	0	0,143185	0,061284	0,15397	0,148975	0,110658	0,1571675	0,140276	0,1512635	0,16144	0,13239	0,1630845	0,012845	0,079345	0,118213	0,108705	0,0710795	0,060606	0,06687	0,0364295	0,1338795	0,1344535	0,0695925	0,1628195	0,205462	0,1648905	0,1688965	0,098354	0,017324	0,135753	0,1391685	0,1482145	0,175633	0,12655	0,110598	0,152267	0,1513185	0,019231	0,12	0,145055	0,0732385	0	0,0689655	0,112481	0,1683315	0,114066	0,107104	0,083458	0,097699	0,0945475	0,01049	0,2000445	0,16347	0,100076	0,152895	0,0873455	0,1693765	0,1468215	0,134823	0,1185795	0,0769375	0,1178255	0,145997	0,1062695	0,010204	0,113616	0,119096	0,13408	0,089734	0,0896155	0,10101	0,0675805	0,019293	0,1384085	0,121485	0,058383	0,0729035	0,2142435	0,0676205	0,108963	0,0974645	0,013728	0,095395	0,1101985	0,12743	0,15772	0,1207845	0,155147	0,111433	0,0167	0,0914635	0,15189	0	0,1455615	0,1198105	0,114616	0,138455	0,0947985	0,113071	0,1307615	0,1308225	0,1234065	0,110483	0,0104165	0,1629145	0,1058565	0,1181545	0,1063765	0,1053385	0,0852535	0,098786	0,088865	0,16305	0,12375	0,118833	0,144517	0,1172095	0,1427465	0,1304525	0,2299025	0,1471115	0,073585	0,0452045	0,0766215	0,137038	0,150559	0,0985305	0,030875	0,118939	0,0775325	0,097932	0,108938	0,113341	0,092694	0,1176595	0,081642	0,000645	0,0606935	0,0172415	0	0,113531	0,0906505	0,181964	0,107594	0,0887645	0,16399	0,140515	0,10198	0,12721	0,140701	0,1812765	0,126403	0,1625895	0,226761	0,050695	0,192229	0,158975	0,012195	0,0694745	0,0724035	0,1164735	0,163061	0,0798865	0,0122585	0,1206175	0,115966	0,1090755	0,0965825	0,05233	0,1044655	0,0666665	0,145542	0,113195	0,1275095	0,11183	0,1582675	0,0862205	0,1175745	0	0,141845	0,102144	0,1229565	0,100955	0,113406	0,119167	0,1630545	0,1009595	0,29639	0,146602	0,131005	0,0151515	0,098054	0,1232865	0,134193	0,1347635	0,107255
