	D00035	D00110	D00136	D00195	D00219	D00225	D00227	D00228	D00234	D00252	D00274	D00283	D00293	D00294	D00303	D00319	D00326	D00329	D00331	D00332	D00335	D00336	D00338	D00340	D00345	D00349	D00351	D00354	D00358	D00364	D00367	D00373	D00379	D00380	D00392	D00394	D00418	D00437	D00438	D00451	D00456	D00464	D00474	D00477	D00480	D00495	D00499	D00504	D00512	D00513	D00519	D00521	D00524	D00528	D00530	D00533	D00536	D00537	D00538	D00539	D00542	D00543	D00544	D00545	D00546	D00547	D00548	D00549	D00550	D00552	D00553	D00560	D00563	D00574	D00593	D00594	D00607	D00611	D00615	D00616	D00617	D00618	D00619	D00629	D00631	D00633	D00636	D00638	D00639	D00640	D00642	D00647	D00648	D00649	D00650	D00651	D00654	D00656	D00658	D00677	D00678	D00694	D00697	D00704	D00708	D00709	D00711	D00726	D00732	D00733	D00735	D00738	D00739	D00740	D00741	D00759	D00760	D00761	D00765	D00771	D00775	D00779	D00791	D00798	D00799	D00809	D00812	D00816	D00823	D00831	D00960	D00963	D00964	D01071	D01108	D01111	D01118	D01242	D01243	D01253	D01256	D01275	D01287	D01295	D01350	D01448	D01450	D01453	D01575	D01599	D01603	D01712	D01768	D01799	D01828	D01854	D01969	D02041	D02086	D02087	D02088	D02092	D02098	D02101	D02163	D02173	D02204	D02207	D02234	D02237	D02253	D02261	D02262	D02272	D02347	D02356	D02360	D02362	D02409	D02461	D02485	D02546	D02566	D02630	D02914	D03037	D03180	D03274	D03365	D03450	D03580	D03742	D03826	D03830	D03878	D03991	D04034	D04048	D04370	D04790	D04985	D04999	D05024	D05077	D05156	D05453	D05458	D05461	D06106	D06172
D00035	1	0,2759405	0,03492	0,1824765	0,096918	0,0172415	0,00075	0,0555555	0,0575065	0,00425	0,0432005	0,0535715	0,0185185	0,00138	0	0,03332	0	0,027501	0,0587425	0,2142855	0,069698	0,070254	0,016129	0,0449785	0,0363285	0,030376	0,0806655	0	0,00465	0,057188	0,0384615	0,1156455	0,0756325	0,02547	0,00465	0,0357145	0,08321	0,031645	0,0278185	0,00117	0,0555555	0,0185185	0,0491895	0,00438	0	0,022145	0,027599	0,00869	0,022126	0	0,001305	0,07573	0	0,001235	0	0,025901	0,003925	0,0932145	0,00145	0,067705	0	0	0	0	0	0	0,01994	0	0,0166665	0,036195	0,03471	0,0691015	0,073565	0,072552	0,0511765	0,1341045	0,03808	0,0952835	0,025486	0,1617635	0,025333	0,0295805	0	0,0306815	0,0540575	0	0,00214	0,1372505	0	0,02345	0,21683	0,00101	0,047867	0,0025	0,031508	0,001085	0,0398065	0,0393665	0,0396415	0,1791585	0,05	0,052095	0,0318565	0	0,072719	0,1004105	0,068182	0,00394	0,02472	0,003435	0,0934755	0,1056015	0,0692695	0,02563	0,02486	0,0582495	0,0276985	0,0569425	0,124331	0	0	0,0748315	0,054886	0,1070565	0,056233	0,0357145	0,079857	0,037037	0	0,130786	0	0,1535605	0	0,072562	0,000715	0,22817	0	0,000625	0,032285	0,021607	0,052864	0,0809935	0,164798	0,029412	0,076762	0,0883465	0,126859	0,00116	0,021315	0,092423	0,000455	0,0423115	0,003515	0,079545	0,0563705	0,1790735	0	0,1574505	0,00432	0,056912	0,004085	0,0420285	0,0037	0,1204885	0,0994155	0,1001405	0	0,071176	0,027337	0,0631685	0,015085	0,197765	0,16329	0,15076	0,036683	0	0,150765	0,157494	0,034873	0,1029895	0,01485	0,2659765	0,0699925	0,0238095	0,06662	0,045025	0,0286325	0,082311	0,158705	0,106088	0,1353235	0,1761935	0,06839	0,1692235	0,1027055	0,129416	0,06808	0,159628	0,185274	0,2567285	0,022886	0,175648	0,0816485	0,059143	0,1359635	0,0625	0	0,041756	0,0238035	0,00433
D00110	0,2759405	1	0,1189	0,275197	0,169009	0,119041	0,0536565	0,115126	0,1291355	0,0953055	0,141222	0,144345	0,1508235	0,08189	0,110669	0,1918835	0,1052195	0,109616	0,060232	0,048387	0,123169	0,120116	0,116483	0,068208	0,1011635	0,180857	0,1570515	0,0600985	0,096584	0,197022	0,103925	0,157798	0,161295	0,1196455	0,054589	0,1325365	0,09311	0,2106015	0,166535	0,0862335	0,157494	0,10982	0,1485285	0,1207305	0,101167	0,063645	0,031388	0,1143685	0,0964695	0,0907205	0,0502765	0,1605035	0,0973105	0,07029	0,0995305	0,125856	0,2230035	0,1496825	0,08463	0,054934	0	0	0,0292665	0	0	0,00981	0,2535365	0,1078485	0,0954305	0,23728	0,120883	0,1210395	0,16089	0,1436675	0,1433385	0,177116	0,038091	0,1034485	0,176259	0,2484365	0,175941	0,1942205	0,06141	0,2036645	0,21757	0,0713915	0,083198	0,101695	0,102415	0,091561	0,210981	0,0886305	0,0605815	0,0199155	0,1200735	0,1037735	0,0625515	0,0839785	0,0604365	0,2994095	0,144115	0,09499	0,1524415	0,0166665	0,159661	0,1115815	0,16539	0,0804625	0,179745	0,093885	0,1397265	0,1664855	0,1289865	0,2072215	0,165635	0,138092	0,0942455	0,130109	0,25451	0,0700205	0,060961	0,185518	0,102445	0,1529885	0,1217875	0,1326065	0,1192705	0,1183755	0,1021705	0,136926	0,0799475	0,260111	0,0703525	0,093609	0,00044	0,382635	0,0963005	0,0740035	0,1168	0,144103	0,112803	0,172098	0,210294	0,205016	0,117897	0,1008655	0,147672	0,067906	0,0786675	0,155509	0,0869715	0,0559555	0,128055	0,130502	0,0878075	0,230505	0,0589825	0,3928155	0,0935105	0,1701915	0,101764	0,13779	0,1312615	0,189152	0,0988155	0,1893815	0,027778	0,171264	0,1080115	0,0396755	0,020463	0,21889	0,1664935	0,1709585	0,087193	0,0626645	0,2486435	0,218874	0,113599	0,22699	0,064885	0,1493825	0,137618	0,08766	0,1625245	0,1135255	0,0322115	0,09112	0,238815	0,1359495	0,2072	0,3036995	0,191701	0,246955	0,145989	0,158852	0,0816335	0,206574	0,308865	0,2475775	0,0417235	0,313025	0,161855	0,17503	0,1577745	0,1851805	0,16356	0,088559	0,028857	0,105285
D00136	0,03492	0,1189	1	0,112965	0,2248165	0,2170165	0,0718635	0,2691525	0,3669225	0,150509	0,453828	0,295838	0,2586855	0,1648455	0,2157625	0,1114305	0,2474075	0,270717	0,120529	0,152265	0,22816	0,310315	0,2582245	0,103291	0,2140055	0,0432865	0,30761	0,12535	0,1687755	0,2692935	0,3421255	0,2435735	0,2151865	0,183439	0,032112	0,1739665	0,125767	0,045078	0,06498	0,139033	0,142259	0,2388305	0,132435	0,2292715	0,153648	0,0488665	0,1068865	0,115605	0,1813795	0,1291365	0,091871	0,3037575	0,0441175	0,0648805	0,165467	0,2074645	0,113382	0,0427535	0,0729285	0,080052	0,032258	0,029412	0,03125	0,029412	0,029412	0,042857	0,1438515	0,0830595	0,196337	0,162638	0,121822	0,4266785	0,193933	0,263028	0,192608	0,2332715	0,144915	0,089428	0,1258945	0,2099765	0,134275	0,0534305	0,189108	0,0585965	0,234213	0,1437635	0,184961	0,14785	0,0882355	0,2057225	0,147257	0,2403315	0,1640955	0,1013025	0,139954	0,1484315	0,1096585	0,1103935	0,102085	0,1525805	0,14669	0,194426	0,2393335	0,056375	0,124916	0,09878	0,239635	0,2069215	0,170943	0,154136	0,2749375	0,1719695	0,2828275	0,1937115	0,192339	0,111474	0,099537	0,130366	0,0960855	0,1692615	0,139086	0,2461755	0,3001145	0,252717	0,2812185	0,1931395	0,213221	0,1920815	0,23934	0,1436875	0,096586	0,0595195	0,1933315	0,04616	0,000415	0,15992	0,171927	0,10664	0,136238	0,2868335	0,1123105	0,115925	0,1953545	0,2611915	0,017374	0,2051275	0,1909855	0,062794	0,139988	0,1671085	0,102656	0,050375	0,142715	0,22342	0,122015	0,1618115	0,16773	0,141679	0,1792015	0,257985	0,105311	0,4395555	0,13126	0,093217	0,261416	0,136079	0,0726425	0,1408325	0,14466	0,0743625	0,0656005	0,184607	0,1188215	0,1188165	0,169532	0,1933295	0,2453795	0,244594	0,0910155	0,2076775	0,239663	0,036805	0,2230265	0,644305	0,0659315	0,2850645	0,088261	0,2421855	0,113748	0,155552	0,097735	0,183944	0,126272	0,177675	0,133301	0,300168	0,2220495	0,1931945	0,14013	0,144109	0,0655045	0,1415205	0,275846	0,2656885	0,077303	0,3051545	0,078885	0,1567405	0,08207	0,0907455
D00195	0,1824765	0,275197	0,112965	1	0,108518	0,0930555	0,06383	0,16979	0,125223	0,1122245	0,134885	0,1369965	0,104512	0,097119	0,0722885	0,085656	0,085118	0,106608	0,0643925	0,064516	0,100255	0,1262755	0,0788255	0,0715335	0,103434	0,095998	0,1587535	0,0737795	0,1136455	0,114436	0,1241505	0,1723935	0,111496	0,0698295	0,05712	0,114978	0,1334085	0,086146	0,089124	0,106637	0,12587	0,098397	0,091984	0,0861395	0,0803575	0,0666665	0,0416665	0,0473795	0,0686525	0,133792	0,0556455	0,1148265	0,03125	0,096774	0,075255	0,0926385	0,0416705	0,1703955	0,079195	0,05	0	0,015625	0,034483	0,015625	0,015625	0,014706	0,1218595	0,1211695	0,0943035	0,0839635	0,100434	0,0900325	0,181365	0,1064855	0,09401	0,1385745	0,0686275	0,1	0,06571	0,1898575	0,0791665	0,0802905	0,0997175	0,0835885	0,1201475	0,0837185	0,0918665	0,123321	0,117699	0,1035335	0,366258	0,0748675	0,0463025	0,054054	0,0602705	0,0451745	0,0702545	0,100847	0,0658745	0,2398435	0,132329	0,100745	0,12508	0,0333335	0,0936375	0,094146	0,1464415	0,097347	0,10043	0,098786	0,139868	0,1908745	0,133348	0,0861595	0,081466	0,1230305	0,0796855	0,197284	0,271558	0,108063	0,09406	0,1998005	0,116756	0,165282	0,1220025	0,115098	0,1105095	0,1016795	0,082765	0,154955	0,06257	0,313193	0,0491255	0,0933855	0,0142855	0,1963465	0,0765	0,0596035	0,0970955	0,0957845	0,129886	0,259982	0,2219295	0,1026785	0,1667285	0,091036	0,1949755	0,112903	0,0680725	0,108443	0,0719935	0,102941	0,1032135	0,100365	0,1006805	0,158065	0,0957015	0,226317	0,109991	0,11956	0,100415	0,1605835	0,1058255	0,5839795	0,1029135	0,5324365	0,027027	0,189155	0,1311495	0,0483815	0,0384615	0,3880145	0,3104325	0,3133225	0,1218765	0,0932235	0,1796455	0,22679	0,086026	0,1628975	0,0902975	0,1335695	0,139906	0,09039	0,057244	0,119423	0,042857	0,084979	0,172245	0,0948105	0,647068	0,436727	0,153008	0,195439	0,146531	0,2105795	0,0754815	0,238448	0,2470855	0,1881305	0,0526315	0,13312	0,180445	0,1228025	0,1733	0,11195	0,087437	0,065874	0,0405405	0,103834
D00219	0,096918	0,169009	0,2248165	0,108518	1	0,1027395	0,0424615	0,1308665	0,167478	0,1182755	0,21275	0,143412	0,120155	0,211787	0,122854	0,077409	0,1452645	0,1001335	0,1681105	0,114137	0,62277	0,6901585	0,090635	0,1964425	0,2599355	0,070033	0,151535	0,0617585	0,1700175	0,149185	0,123087	0,200018	0,68769	0,384586	0,020414	0,0953645	0,157011	0,0866805	0,0873175	0,1853935	0,136516	0,0934185	0,173563	0,1846365	0,0665545	0,041075	0,1461785	0,292632	0,0904845	0,0887305	0,1862	0,1859285	0,015625	0,0565995	0,1110755	0,186151	0,1050145	0,0850925	0,1795345	0,1669785	0	0	0,0172415	0	0	0	0,1056605	0,0916985	0,0939605	0,1665545	0,1539835	0,170662	0,1391585	0,283185	0,568878	0,2175015	0,12822	0,1275735	0,157575	0,127839	0,0899125	0,081082	0,070665	0,0954235	0,154121	0,096747	0,089088	0,220695	0,080645	0,104185	0,116281	0,163065	0,10703	0,1012535	0,173165	0,16998	0,178092	0,1593935	0,169502	0,2359845	0,124424	0,0814705	0,1090295	0,0166665	0,187654	0,133003	0,191845	0,148827	0,1109345	0,145019	0,3147375	0,2554115	0,1786815	0,1322055	0,164295	0,1186035	0,0545095	0,092104	0,062963	0,0894955	0,081795	0,186347	0,131175	0,1895235	0,1539425	0,0953745	0,098187	0,098017	0,1401105	0,131595	0,0727775	0,0917225	0,1261175	0,1486445	0,054255	0,2435515	0,063315	0,0501095	0,1482375	0,113812	0,204319	0,107944	0,2218	0,120891	0,037562	0,1156505	0,228223	0,0545575	0,061265	0,610245	0,116106	0,0412255	0,109878	0,6617415	0,1088475	0,152822	0,0670925	0,1402115	0,16308	0,1607265	0,152611	0,2069915	0,1230025	0,0646005	0,1174505	0,1289465	0,0210535	0,0956365	0,0791655	0,151276	0,0487495	0,144775	0,1206725	0,1206425	0,1732505	0,0721445	0,1417985	0,175584	0,0865005	0,134729	0,09128	0,056332	0,1431805	0,1244515	0,0691375	0,135832	0,138164	0,0997265	0,165251	0,136661	0,10583	0,1939745	0,1559855	0,109048	0,09152	0,33241	0,0812335	0,217415	0,243395	0,085333	0,06182	0,2434935	0,089733	0,165095	0,0884335	0,2025205	0,111781	0,0631365	0,092028	0,158407
D00225	0,0172415	0,119041	0,2170165	0,0930555	0,1027395	1	0,104651	0,2419075	0,1819465	0,1710315	0,1866515	0,2769515	0,383255	0,1996465	0,186873	0,107655	0,19727	0,278479	0,15907	0,0151515	0,120454	0,2075415	0,3002215	0,110725	0,2175495	0,0852085	0,2009235	0,2252525	0,0918545	0,2085255	0,32085	0,1960015	0,103512	0,0900805	0,016129	0,191385	0,08388	0,0753705	0,0663175	0,119802	0,212175	0,439168	0,1377035	0,1081055	0,1974135	0,015625	0,0135135	0,1088835	0,2200335	0,1085605	0,11055	0,1886275	0,032258	0,1	0,183778	0,1904285	0,095509	0,0238095	0,1496895	0,0333335	0,017857	0,016129	0,0357145	0,016129	0,016129	0,0151515	0,1712015	0,0873185	0,722485	0,110153	0,09823	0,1733465	0,1906845	0,111415	0,0875585	0,173437	0,0089285	0,046875	0,12831	0,156015	0,132535	0,070282	0,132147	0,0726235	0,1976775	0,107578	0,150372	0,0872115	0,115725	0,1895345	0,103671	0,14168	0,078655	0,0658605	0,151952	0,2093695	0,0845435	0,12011	0,0922135	0,1492815	0,2124115	0,336255	0,223905	0,034483	0,1229215	0,03125	0,1342525	0,13554	0,104996	0,130481	0,118556	0,119706	0,111521	0,1081905	0,10626	0,091127	0,0738235	0,1199695	0,025862	0,22299	0,1170165	0,1028705	0,145247	0,1898895	0,1693415	0,2372885	0,2215515	0,2453845	0,191073	0,126055	0,1008645	0,0365855	0,1983315	0,0416665	0	0,114818	0,207235	0,1730465	0,113545	0,326392	0,0907735	0,102429	0,1104295	0,2129095	0,0043105	0,1244665	0,1076455	0,096774	0,166786	0,1000295	0,126555	0,0882355	0,1013255	0,108916	0,1689215	0,0934215	0,1322415	0,149934	0,1052605	0,173975	0,112879	0,181767	0,0949995	0,073204	0,12707	0,1163095	0,027778	0,1192265	0,125387	0,0092595	0,028846	0,130105	0,1033625	0,1033575	0,146847	0,135165	0,281663	0,1816205	0,1741035	0,123012	0,1765435	0,027778	0,2420935	0,2117095	0,0704325	0,143937	0,013889	0,183671	0,1301495	0,0522815	0,0765975	0,120017	0,110851	0,117475	0,1804985	0,1910255	0,1921005	0,1094995	0,136658	0,0326085	0,0125	0,1450475	0,1941915	0,1787115	0,0716635	0,134817	0,1380905	0,081104	0,027027	0,097705
D00227	0,00075	0,0536565	0,0718635	0,06383	0,0424615	0,104651	1	0,0652175	0,1241595	0,085871	0,108158	0,076087	0,095238	0,0794925	0,125	0,0855665	0,090909	0,119565	0,0934385	0,025	0,0759715	0,0839785	0,0869565	0,067204	0,0873815	0,09416	0,0993105	0,0897435	0,124169	0,0819875	0,0555555	0,119301	0,043248	0,095666	0,0561055	0,1190475	0,0487805	0,0733365	0,0886105	0,166295	0,1503415	0,0813955	0,075445	0,085886	0,121951	0,054524	0,0904385	0,052317	0,057163	0,13653	0,09418	0,116062	0,0694445	0,3437825	0,121254	0,098351	0,059989	0,0654525	0,0795225	0,0561755	0	0	0,0135135	0	0	0,012195	0,102116	0,1400555	0,124569	0,0683325	0,0903985	0,2017545	0,095238	0,08802	0,082323	0,1005195	0,016103	0,051282	0,096946	0,125305	0,10036	0,0804	0,1226895	0,0718335	0,0673075	0,0833335	0,1460885	0,0441345	0,129181	0,0718685	0,0855215	0,102441	0,0746555	0,0798835	0,0877925	0,1013095	0,0624405	0,0817555	0,0616105	0,103203	0,138935	0,0731665	0,1274825	0,013158	0,077558	0,0384615	0,059524	0,110226	0,0838535	0,143581	0,0657725	0,0895375	0,0652175	0,085906	0,095708	0,071381	0,097774	0,103905	0,030964	0,067589	0,07294	0,0520835	0,074074	0,1157855	0,0882355	0,1190475	0,107143	0,107143	0,088889	0,0637735	0,1308225	0,0419215	0,077778	0,060044	0,000285	0,0524335	0,116279	0,442341	0,08811	0,107588	0,0568655	0,11911	0,109579	0,0576925	0,028765	0,074726	0,107209	0,374015	0,115996	0,0422665	0,0765375	0,5601725	0,089304	0,0332685	0,1986465	0,034109	0,1296415	0,1541575	0,120075	0,0870185	0,1110905	0,106074	0,091349	0,08374	0,0669565	0,0652175	0,075	0,097598	0,072464	0,0399035	0,1136445	0,08432	0,1169765	0,1169565	0,076397	0,125127	0,0813955	0,074468	0,30295	0,102045	0,1212595	0,0227275	0,107143	0,0892855	0,0846525	0,0928325	0,077623	0,1165715	0,0526315	0,031996	0,0877935	0,0627055	0,092993	0,112803	0,0789215	0,094285	0,1051485	0,095353	0,105747	0,038016	0,0837685	0,0470415	0,1476795	0,0887405	0,0384285	0,0326085	0,0857145	0,1177225	0,059879	0,1147045
D00228	0,0555555	0,115126	0,2691525	0,16979	0,1308665	0,2419075	0,0652175	1	0,2385235	0,19469	0,196385	0,3767085	0,257443	0,143372	0,129741	0,104164	0,182564	0,227765	0,15303	0,1000065	0,1467265	0,193955	0,2228095	0,1305525	0,1916005	0,0855035	0,2075035	0,1347035	0,0766645	0,28092	0,341073	0,2915995	0,15909	0,0980085	0,016129	0,1711515	0,142331	0,105099	0,0665125	0,112355	0,1707165	0,315053	0,117908	0,1008935	0,1980085	0,015625	0,0135135	0,0895985	0,2348285	0,0965605	0,110695	0,2075365	0,015625	0,0625	0,12726	0,1914685	0,0787895	0,0238095	0,1241695	0,0333335	0,017857	0,016129	0,0172415	0,016129	0,016129	0,0151515	0,130185	0,0879285	0,2494465	0,089737	0,13294	0,2336385	0,301255	0,11177	0,1175255	0,251028	0,072637	0,064516	0,128795	0,1517965	0,1194515	0,097658	0,143087	0,0728335	0,207019	0,107723	0,137862	0,1334565	0,109525	0,2071585	0,1483545	0,112053	0,063039	0,0714285	0,148407	0,1712385	0,10136	0,10011	0,101195	0,142649	0,1749135	0,2485665	0,1677765	0,0166665	0,1238215	0,095182	0,178384	0,1321735	0,0881245	0,113089	0,164054	0,1716655	0,190334	0,0739285	0,0681425	0,093047	0,0792305	0,176219	0,0626955	0,18888	0,1171365	0,184297	0,2468045	0,279015	0,261972	0,19206	0,2307985	0,2241035	0,176492	0,171222	0,0799775	0,0641025	0,1290915	0,057143	0	0,120138	0,186558	0,1388385	0,14583	0,2358215	0,1351765	0,106249	0,156859	0,2316795	0,0043105	0,1864995	0,152477	0,060606	0,133885	0,117656	0,099621	0,0555555	0,098603	0,2192655	0,158639	0,10372	0,1240765	0,1699565	0,0911505	0,302451	0,099529	0,1912715	0,1010775	0,13305	0,2124445	0,180249	0,0135135	0,1399485	0,1737425	0,055715	0,028846	0,186247	0,1437825	0,1437625	0,1665195	0,146365	0,262715	0,3003605	0,105629	0,108539	0,133562	0,027778	0,2564865	0,223631	0,08208	0,1771865	0,013889	0,1410765	0,1387195	0,11948	0,1424295	0,175485	0,168591	0,1276	0,1816985	0,232728	0,1320455	0,156284	0,128885	0,056818	0,025641	0,168115	0,154279	0,312482	0,0754935	0,2451485	0,0932955	0,150974	0,013158	0,083565
D00234	0,0575065	0,1291355	0,3669225	0,125223	0,167478	0,1819465	0,1241595	0,2385235	1	0,1299975	0,3134085	0,267644	0,1729865	0,109865	0,1703945	0,0823815	0,1922215	0,210667	0,143306	0,075	0,2071245	0,265031	0,1556545	0,0729665	0,187256	0,0918765	0,2383455	0,124233	0,1135285	0,271362	0,2262215	0,223051	0,167455	0,1453675	0,0311295	0,1841115	0,11993	0,0694575	0,0746235	0,191452	0,242163	0,161782	0,0843655	0,1463815	0,166182	0,0357145	0,0631585	0,10333	0,133174	0,123841	0,0668065	0,35085	0,0487805	0,0714285	0,1531585	0,1360925	0,0906455	0,0384615	0,088321	0,0365855	0,0125	0,0238095	0,0384615	0,0238095	0,0238095	0,0227275	0,1218675	0,1085705	0,1588425	0,1077235	0,135436	0,4636335	0,22861	0,129553	0,187571	0,2689015	0,054689	0,0936905	0,133979	0,209196	0,1440035	0,081374	0,239006	0,0695075	0,2244825	0,115368	0,148789	0,1395165	0,11515	0,2193745	0,1829945	0,195873	0,093312	0,0739875	0,125405	0,147763	0,06815	0,087213	0,067465	0,1845495	0,2338555	0,1396045	0,185372	0,03135	0,1043835	0,058459	0,141045	0,1209815	0,128559	0,2173495	0,238612	0,1692275	0,250552	0,1317775	0,137602	0,155936	0,171181	0,2000965	0,0688085	0,188888	0,232615	0,1974035	0,2215075	0,2155595	0,231306	0,192847	0,20724	0,197555	0,1869955	0,1604765	0,1074485	0,0521195	0,1796715	0,047848	0	0,15841	0,1825865	0,1803415	0,145841	0,173387	0,0965	0,1340135	0,193643	0,266005	0,0201615	0,174782	0,1894075	0,0697675	0,1684675	0,1328205	0,1366955	0,0727525	0,118668	0,1669415	0,1523785	0,127813	0,205865	0,153113	0,123706	0,260457	0,1013535	0,305181	0,1243355	0,105334	0,1960105	0,131957	0,0555555	0,206565	0,250308	0,097541	0,043041	0,221468	0,205559	0,205524	0,128295	0,231421	0,2078675	0,209531	0,1164035	0,148678	0,1419845	0,0434785	0,204875	0,373036	0,0850985	0,173391	0,0524435	0,208264	0,127788	0,12362	0,1109745	0,169792	0,131554	0,1792005	0,1338095	0,2781975	0,2106545	0,191143	0,1747285	0,0971135	0,0465265	0,138951	0,2771605	0,251241	0,0767365	0,1651675	0,1109205	0,15877	0,055523	0,0905185
D00252	0,00425	0,0953055	0,150509	0,1122245	0,1182755	0,1710315	0,085871	0,19469	0,1299975	1	0,1522455	0,1997385	0,2534685	0,1602545	0,2211965	0,0786945	0,1508065	0,2032495	0,158005	0,0172415	0,15655	0,179685	0,2160245	0,0845635	0,246353	0,074995	0,153097	0,156101	0,153705	0,204257	0,2020015	0,1998435	0,128539	0,12521	0,0216435	0,3098205	0,0894455	0,094401	0,0558895	0,103785	0,1571665	0,1839765	0,102042	0,118405	0,300495	0,028707	0,03111	0,249098	0,20217	0,1154	0,1045185	0,1368475	0,017857	0,0722585	0,1854735	0,6433575	0,1249685	0,0132205	0,159265	0,01434	0	0	0	0	0	0	0,150517	0,100474	0,1934135	0,105655	0,190106	0,1293125	0,2270785	0,0962685	0,104478	0,1891725	0,0183155	0	0,1492085	0,1543985	0,11757	0,08772	0,1197425	0,061325	0,165588	0,135675	0,1625545	0,075082	0,1290295	0,214945	0,1027465	0,110354	0,059173	0,112485	0,160842	0,157569	0,0839575	0,094515	0,0767275	0,142687	0,142683	0,156335	0,12732	0	0,133756	0,0555555	0,1100735	0,10975	0,100634	0,166145	0,0923555	0,1429315	0,0721985	0,08465	0,0622885	0,062745	0,0570065	0,087671	0,0100385	0,13238	0,111771	0,128976	0,1948845	0,192945	0,2080715	0,2632005	0,33681	0,271787	0,14597	0,1029205	0,0883905	0,027761	0,13251	0,051433	0,00048	0,122656	0,2605865	0,1951315	0,181878	0,2351685	0,11943	0,0999115	0,1308705	0,163308	0,0047845	0,150105	0,127286	0,0697455	0,1742415	0,1207455	0,129991	0,062935	0,0734495	0,123159	0,1473665	0,1581405	0,10056	0,138735	0,1473595	0,214365	0,1598455	0,148275	0,0746735	0,0803015	0,1699985	0,1125655	0	0,074381	0,3399005	0,031673	0,00712	0,128638	0,0901475	0,0901275	0,127432	0,122661	0,2191735	0,1382085	0,1194405	0,1688395	0,122836	0	0,245307	0,100825	0,085663	0,092789	0,031355	0,2016825	0,113185	0,0407855	0,086255	0,0854625	0,1056495	0,127222	0,2162385	0,211758	0,160657	0,1294105	0,147057	0,001585	0,033289	0,0929735	0,131932	0,2209575	0,0590865	0,102414	0,14742	0,0499725	0,01804	0,166725
