	D00040	D00066	D00067	D00075	D00088	D00094	D00105	D00129	D00143	D00163	D00182	D00187	D00188	D00211	D00246	D00279	D00299	D00312	D00316	D00327	D00348	D00443	D00462	D00506	D00554	D00565	D00577	D00585	D00586	D00596	D00627	D00690	D00730	D00898	D00930	D00950	D00951	D00954	D00956	D00961	D00962	D00965	D01115	D01132	D01161	D01217	D01294	D01387	D01441	D01689	D02217	D02367	D04066	D05341
D00040	1	0,4257025	0,1994485	0,365105	0,3355245	0,141283	0,2218115	0,356883	0,75298	0,46096	0,3027105	0,4191055	0,5283145	0,1640115	0,2687765	0,0442405	0,38215	0,141319	0,0625	0,338492	0,141033	0,283815	0,338449	0,023256	0,1999655	0,0737385	0,0333335	0,242513	0,060596	0,0350875	0,0403225	0,200345	0,0384615	0,0333335	0,368717	0,2970935	0,355027	0,2970935	0,263207	0,027778	0,0504865	0,0238085	0,2543885	0,0691785	0,175724	0,33766	0,26658	0,214801	0,064516	0,254493	0,0625	0,262894	0,1641835	0,047619
D00066	0,4257025	1	0,3034935	0,6649365	0,5382175	0,1058355	0,2724585	0,234427	0,6281555	0,4580015	0,5165815	0,2611305	0,273594	0,145853	0,3811995	0,0516115	0,2342915	0,2218315	0,0346085	0,544025	0,1057655	0,5117345	0,42445	0,0650955	0,2401145	0,0542795	0,02439	0,334324	0,0549465	0,0409765	0,0254235	0,318536	0,017544	0,02439	0,224842	0,5065635	0,47121	0,5065635	0,406038	0,032922	0,025578	0,0559355	0,443616	0,0605395	0,1580935	0,6809	0,384245	0,349206	0,0719505	0,375664	0,0723575	0,32934	0,19672	0,0125
D00067	0,1994485	0,3034935	1	0,343783	0,2393055	0,0552415	0,858876	0,154305	0,22341	0,2165635	0,360143	0,16202	0,169304	0,1211525	0,179265	0,103515	0,154815	0,5866295	0,0697405	0,249815	0,0552265	0,210672	0,246	0,1583515	0,78673	0,080593	0,1864705	0,2446225	0,111725	0,1288025	0,086264	0,190812	0,110848	0,1738355	0,147015	0,3528315	0,1721285	0,3528315	0,385764	0,0858585	0,0642165	0,17338	0,188835	0,147075	0,325502	0,218385	0,2017985	0,156592	0,117093	0,195295	0,21224	0,242265	0,47554	0,0135135
D00075	0,365105	0,6649365	0,343783	1	0,6146155	0,087751	0,387913	0,2457025	0,428005	0,357688	0,587175	0,2665105	0,2826605	0,11261	0,305962	0,0363415	0,2392545	0,2321305	0,023527	0,4775385	0,087716	0,401785	0,371812	0,0661135	0,2880335	0,0295175	0,0394735	0,335146	0,027826	0,041645	0,0172415	0,252517	0,017091	0,0394735	0,2266475	0,573664	0,3399925	0,573664	0,4765975	0,0223435	0,0329	0,052602	0,3447665	0,0625455	0,20193	0,483199	0,325779	0,271432	0,0537915	0,342701	0,0531595	0,3841305	0,2645055	0,013158
D00088	0,3355245	0,5382175	0,2393055	0,6146155	1	0,0758335	0,2338555	0,2431965	0,4244275	0,3664865	0,487015	0,2149	0,2437715	0,166107	0,4600905	0,0756815	0,222807	0,169015	0,031732	0,517889	0,0758085	0,341609	0,3370725	0,056632	0,2766445	0,084548	0,047619	0,3329745	0,0597605	0,0477065	0,0241935	0,3346425	0,028366	0,047619	0,2366765	0,4774725	0,3474325	0,4774725	0,3193735	0,0485155	0,06034	0,0465895	0,332002	0,055693	0,150321	0,3973275	0,2788165	0,31971	0,0742365	0,366603	0,0784615	0,348914	0,173085	0,0238095
D00094	0,141283	0,1058355	0,0552415	0,087751	0,0758335	1	0,0526315	0,1521825	0,0959755	0,152021	0,0699775	0,2198875	0,193525	0,139825	0,089032	0,047332	0,2062725	0,0534615	0,2398745	0,0978585	0,96877	0,0846005	0,0826375	0,060072	0,05	0,0511865	0,0725365	0,1055315	0,036246	0,12929	0,0698205	0,075435	0,0224655	0,0622215	0,2195165	0,06837	0,131153	0,06837	0,0572965	0,015495	0,078324	0,0581455	0,082833	0,0762705	0,0479035	0,0977455	0,0912805	0,0882825	0,046348	0,080193	0,034688	0,07415	0,042553	0,1436955
D00105	0,2218115	0,2724585	0,858876	0,387913	0,2338555	0,0526315	1	0,1726655	0,2497085	0,2394065	0,329945	0,174492	0,1816335	0,1120875	0,16455	0,103555	0,173922	0,4997565	0,0698455	0,2095065	0,0526315	0,18417	0,250195	0,09266	0,8333785	0,080638	0,206395	0,2309825	0,111755	0,088367	0,086624	0,16366	0,110893	0,1936	0,1650705	0,30208	0,157384	0,30208	0,413924	0,100121	0,0744115	0,119727	0,162926	0,147345	0,3795055	0,217495	0,1885235	0,1313005	0,117208	0,1656065	0,21931	0,25829	0,5541615	0,0135135
D00129	0,356883	0,234427	0,154305	0,2457025	0,2431965	0,1521825	0,1726655	1	0,2704935	0,3690445	0,20503	0,6132445	0,74932	0,1521615	0,201111	0,124099	0,4509505	0,112271	0,0922085	0,245565	0,1641625	0,1745245	0,1944265	0,022222	0,1672065	0,126205	0,0434785	0,1832745	0,0437435	0,0570815	0,0390625	0,1519925	0,0460355	0,0652185	0,670813	0,2015465	0,196186	0,2015465	0,187144	0,0363635	0,0454545	0,030612	0,176118	0,10658	0,1724435	0,193745	0,1697945	0,198944	0,0625	0,189583	0,0768405	0,221035	0,1453595	0,1031445
D00143	0,75298	0,6281555	0,22341	0,428005	0,4244275	0,0959755	0,2497085	0,2704935	1	0,4846825	0,352805	0,299822	0,3151665	0,138903	0,2871625	0,0434165	0,2816525	0,157469	0,0336185	0,3917595	0,0959555	0,369144	0,395567	0,028416	0,2228395	0,0472845	0,0375	0,23231	0,0538015	0,0197935	0,0254235	0,239951	0,015739	0,0375	0,3346985	0,3450755	0,3741275	0,3450755	0,2629935	0,0428365	0,0274885	0,027656	0,3146935	0,0593545	0,1505695	0,491332	0,2947065	0,2791615	0,0710755	0,271955	0,0696325	0,278945	0,1668665	0,0125
D00163	0,46096	0,4580015	0,2165635	0,357688	0,3664865	0,152021	0,2394065	0,3690445	0,4846825	1	0,3018105	0,273177	0,323052	0,1528605	0,3026505	0,0365855	0,2578715	0,174624	0,04	0,3835925	0,151791	0,31017	0,373161	0,023256	0,2356945	0,0408165	0,0454545	0,183978	0,022222	0,0865905	0,0985035	0,25538	0,0384615	0,0454545	0,32857	0,2974925	0,319737	0,2974925	0,2544785	0,057753	0,1320005	0,0241535	0,3297935	0,0652335	0,196844	0,3396285	0,272717	0,290971	0,072096	0,269754	0,0727275	0,2487625	0,1884225	0,286675
