data	D00035	D00110	D00136	D00195	D00219	D00225	D00227	D00228	D00234	D00252	D00274	D00283	D00293	D00294	D00303	D00319	D00326	D00329	D00331	D00332	D00335	D00336	D00338	D00340	D00345	D00349	D00351	D00354	D00358	D00364	D00367	D00373	D00379	D00380	D00392	D00394	D00418	D00437	D00438	D00451	D00456	D00464	D00474	D00477	D00480	D00495	D00499	D00504	D00512	D00513	D00519	D00521	D00524	D00528	D00530	D00533	D00536	D00537	D00538	D00539	D00542	D00543	D00544	D00545	D00546	D00547	D00548	D00549	D00550	D00552	D00553	D00560	D00563	D00574	D00593	D00594	D00607	D00611	D00615	D00616	D00617	D00618	D00619	D00629	D00631	D00633	D00636	D00638	D00639	D00640	D00642	D00647	D00648	D00649	D00650	D00651	D00654	D00656	D00658	D00677	D00678	D00694	D00697	D00704	D00708	D00709	D00711	D00726	D00732	D00733	D00735	D00738	D00739	D00740	D00741	D00759	D00760	D00761	D00765	D00771	D00775	D00779	D00791	D00798	D00799	D00809	D00812	D00816	D00823	D00831	D00960	D00963	D00964	D01071	D01108	D01111	D01118	D01242	D01243	D01253	D01256	D01275	D01287	D01295	D01350	D01448	D01450	D01453	D01575	D01599	D01603	D01712	D01768	D01799	D01828	D01854	D01969	D02041	D02086	D02087	D02088	D02092	D02098	D02101	D02163	D02173	D02204	D02207	D02234	D02237	D02253	D02261	D02262	D02272	D02347	D02356	D02360	D02362	D02409	D02461	D02485	D02546	D02566	D02630	D02914	D03037	D03180	D03274	D03365	D03450	D03580	D03742	D03826	D03830	D03878	D03991	D04034	D04048	D04370	D04790	D04985	D04999	D05024	D05077	D05156	D05453	D05458	D05461	D06106	D06172	
D00035	1.0	0.34	0.209302	0.271186	0.275	0.111111	0.172414	0.181818	0.14	0.285714	0.183673	0.138889	0.15625	0.185185	0.190476	0.244444	0.147059	0.195122	0.210526	0.263158	0.226415	0.218182	0.175	0.212121	0.162791	0.22449	0.223881	0.111111	0.269231	0.27907	0.181818	0.142857	0.305556	0.258065	0.35	0.21875	0.310345	0.211538	0.180328	0.297297	0.151515	0.1875	0.307692	0.25	0.125	0.238095	0.206897	0.380952	0.242424	0.172414	0.235294	0.157895	0.2	0.178571	0.175	0.258065	0.296296	0.216667	0.25	0.166667	0.222222	0.222222	0.222222	0.166667	0.166667	0.181818	0.387097	0.285714	0.108108	0.315789	0.173913	0.125	0.2	0.310345	0.177419	0.303571	0.196721	0.208333	0.184615	0.254237	0.185714	0.192982	0.148148	0.2	0.232558	0.052632	0.18	0.218182	0.190476	0.222222	0.180851	0.196078	0.131313	0.272727	0.176471	0.212766	0.2	0.125	0.2	0.265306	0.153846	0.18	0.275	0.277778	0.32	0.25	0.2	0.225806	0.241379	0.277778	0.28125	0.206897	0.241379	0.25	0.2	0.09697	0.089552	0.135922	0.153153	0.111111	0.08	0.25	0.12	0.162162	0.104167	0.1875	0.142857	0.172414	0.138889	0.214286	0.2	0.245902	0.194444	0.363636	0.108108	0.25	0.147059	0.166667	0.16	0.114286	0.234043	0.171717	0.25	0.155556	0.057878	0.1625	0.205882	0.2	0.140625	0.282051	0.202899	0.214286	0.212121	0.323529	0.125	0.156522	0.155172	0.226415	0.25	0.229167	0.24	0.176471	0.21875	0.122302	0.203125	0.244898	0.184211	0.134615	0.126582	0.235294	0.183099	0.275862	0.140496	0.145299	0.22	0.153846	0.195122	0.302326	0.215686	0.202381	0.109091	0.348837	0.129032	0.112903	0.203125	0.15	0.214286	0.209677	0.3	0.193548	0.12782	0.285714	0.171717	0.2125	0.269231	0.307692	0.126761	0.27027	0.276596	0.253968	0.222222	0.384615	0.214286	0.23913	0.202381	0.233333	0.222222	0.100775	0.225806	0.26087	
D00110	0.34	1.0	0.26	0.440678	0.28	0.2	0.172414	0.16	0.18	0.34	0.32	0.26	0.34	0.22	0.3	0.34	0.3	0.38	0.26	0.22	0.169811	0.218182	0.36	0.3	0.2	0.26	0.402985	0.18	0.3	0.32	0.26	0.22	0.16	0.34	0.24	0.32	0.16	0.25	0.245902	0.32	0.42	0.2	0.38	0.34	0.22	0.26	0.3	0.34	0.3	0.26	0.22	0.385965	0.22	0.24	0.18	0.42	0.42	0.3	0.28	0.24	0.14	0.16	0.18	0.18	0.18	0.18	0.46	0.24	0.2	0.28	0.38	0.214286	0.28	0.36	0.241935	0.321429	0.245902	0.28	0.353846	0.322034	0.314286	0.263158	0.222222	0.254545	0.32	0.16	0.1	0.236364	0.26	0.32	0.37234	0.137255	0.252525	0.22	0.235294	0.26	0.28	0.2	0.28	0.42	0.44	0.18	0.42	0.2	0.38	0.32	0.4	0.3	0.34	0.34	0.22	0.36	0.28	0.36	0.26	0.224242	0.223881	0.252427	0.315315	0.18	0.18	0.4	0.1	0.2	0.08	0.3	0.28	0.28	0.28	0.267857	0.26	0.311475	0.22	0.3	0.18	0.519231	0.26	0.283333	0.38	0.16	0.2	0.363636	0.44	0.3	0.135048	0.275	0.38	0.26	0.25	0.18	0.246377	0.22	0.22	0.16	0.26	0.313043	0.258621	0.54717	0.3	0.2	0.26	0.294118	0.22	0.258993	0.28125	0.28	0.2	0.259615	0.240506	0.254902	0.28169	0.310345	0.297521	0.290598	0.14	0.230769	0.4	0.4	0.196078	0.369048	0.163636	0.46	0.34	0.225806	0.375	0.233333	0.32	0.274194	0.36	0.258065	0.270677	0.44	0.343434	0.275	0.403846	0.24	0.267606	0.44	0.42	0.396825	0.28	0.46	0.314286	0.24	0.321429	0.38	0.28	0.232558	0.28	0.28	
D00136	0.209302	0.26	1.0	0.186441	0.209302	0.348837	0.293103	0.27907	0.46	0.44186	0.612245	0.511628	0.44186	0.372093	0.465116	0.266667	0.465116	0.534884	0.395349	0.27907	0.301887	0.309091	0.488372	0.325581	0.302326	0.306122	0.358209	0.348837	0.465116	0.465116	0.627907	0.255814	0.186047	0.511628	0.27907	0.534884	0.162791	0.288462	0.278689	0.325581	0.325581	0.418605	0.418605	0.44186	0.348837	0.325581	0.325581	0.395349	0.534884	0.395349	0.27907	0.333333	0.209302	0.27907	0.395349	0.44186	0.395349	0.266667	0.325581	0.302326	0.232558	0.255814	0.255814	0.232558	0.232558	0.325581	0.465116	0.325581	0.348837	0.395349	0.395349	0.464286	0.488372	0.511628	0.354839	0.392857	0.245902	0.302326	0.307692	0.254237	0.357143	0.280702	0.388889	0.290909	0.372093	0.325581	0.36	0.272727	0.325581	0.465116	0.255319	0.352941	0.353535	0.325581	0.235294	0.276596	0.27907	0.232558	0.302326	0.326531	0.255814	0.32	0.348837	0.232558	0.418605	0.232558	0.372093	0.465116	0.44186	0.395349	0.348837	0.418605	0.372093	0.465116	0.348837	0.206061	0.268657	0.271845	0.207207	0.27907	0.27907	0.488372	0.36	0.255814	0.354167	0.534884	0.488372	0.511628	0.465116	0.375	0.302326	0.229508	0.372093	0.27907	0.069767	0.269231	0.465116	0.266667	0.372093	0.302326	0.255319	0.232323	0.348837	0.311111	0.086817	0.275	0.372093	0.27907	0.28125	0.186047	0.26087	0.209302	0.302326	0.209302	0.27907	0.234783	0.396552	0.320755	0.465116	0.270833	0.395349	0.607843	0.302326	0.179856	0.3125	0.244898	0.162791	0.278846	0.341772	0.176471	0.28169	0.206897	0.214876	0.222222	0.26	0.403846	0.44186	0.209302	0.333333	0.357143	0.454545	0.209302	0.488372	0.66129	0.359375	0.433333	0.348837	0.467742	0.302326	0.322581	0.18797	0.162791	0.292929	0.3	0.346154	0.27907	0.422535	0.348837	0.319149	0.206349	0.255814	0.418605	0.357143	0.282609	0.238095	0.488372	0.372093	0.302326	0.302326	0.395349	
D00195	0.271186	0.440678	0.186441	1.0	0.20339	0.186441	0.152542	0.220339	0.220339	0.135593	0.20339	0.186441	0.20339	0.152542	0.20339	0.20339	0.169492	0.152542	0.101695	0.186441	0.186441	0.220339	0.152542	0.118644	0.169492	0.20339	0.238806	0.135593	0.220339	0.186441	0.186441	0.220339	0.237288	0.186441	0.152542	0.186441	0.220339	0.135593	0.180328	0.169492	0.254237	0.169492	0.186441	0.20339	0.152542	0.152542	0.20339	0.152542	0.152542	0.237288	0.101695	0.186441	0.169492	0.20339	0.135593	0.152542	0.169492	0.266667	0.101695	0.169492	0.067797	0.084746	0.101695	0.084746	0.084746	0.118644	0.220339	0.186441	0.20339	0.152542	0.20339	0.152542	0.169492	0.20339	0.16129	0.288136	0.163934	0.237288	0.230769	0.322034	0.185714	0.135593	0.305085	0.152542	0.220339	0.186441	0.152542	0.169492	0.20339	0.20339	0.361702	0.169492	0.191919	0.186441	0.118644	0.118644	0.135593	0.118644	0.135593	0.305085	0.237288	0.135593	0.169492	0.152542	0.169492	0.237288	0.220339	0.186441	0.20339	0.237288	0.237288	0.271186	0.220339	0.20339	0.20339	0.248485	0.208955	0.38835	0.333333	0.169492	0.169492	0.20339	0.118644	0.237288	0.135593	0.20339	0.152542	0.186441	0.169492	0.20339	0.169492	0.409836	0.186441	0.220339	0.169492	0.355932	0.20339	0.133333	0.220339	0.186441	0.135593	0.40404	0.305085	0.169492	0.151125	0.1875	0.254237	0.237288	0.140625	0.237288	0.130435	0.186441	0.220339	0.220339	0.20339	0.286957	0.288136	0.372881	0.237288	0.152542	0.20339	0.237288	0.254237	0.42446	0.171875	0.627119	0.220339	0.298077	0.202532	0.186441	0.211268	0.372881	0.396694	0.384615	0.084746	0.288136	0.254237	0.372881	0.101695	0.321429	0.152542	0.355932	0.186441	0.112903	0.21875	0.166667	0.20339	0.209677	0.220339	0.145161	0.443609	0.508475	0.343434	0.25	0.254237	0.322034	0.15493	0.305085	0.288136	0.31746	0.237288	0.20339	0.271429	0.169492	0.321429	0.220339	0.152542	0.186047	0.20339	0.186441	
D00219	0.275	0.28	0.209302	0.20339	1.0	0.175	0.258621	0.275	0.16	0.3	0.326531	0.175	0.375	0.475	0.261905	0.222222	0.45	0.341463	0.325	0.375	0.754717	0.727273	0.325	0.35	0.27907	0.306122	0.253731	0.225	0.25	0.27907	0.2	0.275	0.825	0.35	0.3	0.125	0.425	0.307692	0.377049	0.275	0.225	0.325	0.375	0.2	0.3	0.375	0.45	0.325	0.25	0.2	0.35	0.385965	0.2	0.375	0.3	0.375	0.35	0.283333	0.25	0.325	0.2	0.25	0.225	0.225	0.225	0.25	0.35	0.4	0.15	0.325	0.275	0.214286	0.2	0.3	0.596774	0.25	0.360656	0.25	0.384615	0.355932	0.385714	0.421053	0.259259	0.309091	0.27907	0.3	0.36	0.509091	0.2	0.3	0.234043	0.352941	0.272727	0.2	0.352941	0.340426	0.325	0.375	0.375	0.22449	0.175	0.18	0.375	0.275	0.325	0.25	0.175	0.275	0.2	0.325	0.6	0.225	0.325	0.225	0.475	0.206061	0.201493	0.194175	0.207207	0.225	0.3	0.25	0.26	0.25	0.270833	0.075	0.15	0.15	0.4	0.214286	0.275	0.262295	0.35	0.5	0.1	0.269231	0.075	0.216667	0.225	0.325	0.446809	0.232323	0.175	0.333333	0.096463	0.275	0.175	0.35	0.1875	0.75	0.217391	0.166667	0.475	0.8	0.4	0.26087	0.258621	0.207547	0.2	0.416667	0.225	0.313725	0.525	0.165468	0.25	0.204082	0.15	0.211538	0.240506	0.372549	0.295775	0.293103	0.214876	0.222222	0.48	0.25	0.097561	0.255814	0.352941	0.357143	0.254545	0.209302	0.125	0.274194	0.328125	0.233333	0.475	0.370968	0.125	0.370968	0.172932	0.190476	0.282828	0.35	0.192308	0.525	0.28169	0.175	0.234043	0.269841	0.425	0.275	0.257143	0.434783	0.261905	0.225	0.225	0.271318	0.425	0.275	
D00225	0.111111	0.2	0.348837	0.186441	0.175	1.0	0.258621	0.333333	0.46	0.361111	0.346939	0.388889	0.305556	0.305556	0.333333	0.266667	0.333333	0.292683	0.236842	0.194444	0.339623	0.309091	0.275	0.194444	0.302326	0.244898	0.313433	0.416667	0.333333	0.348837	0.527778	0.333333	0.138889	0.277778	0.194444	0.388889	0.166667	0.25	0.245902	0.216216	0.444444	0.583333	0.305556	0.305556	0.305556	0.194444	0.138889	0.277778	0.388889	0.333333	0.138889	0.263158	0.138889	0.361111	0.4	0.333333	0.305556	0.183333	0.277778	0.138889	0.166667	0.138889	0.194444	0.166667	0.138889	0.166667	0.305556	0.333333	0.945946	0.361111	0.333333	0.321429	0.444444	0.333333	0.258065	0.303571	0.114754	0.138889	0.184615	0.237288	0.257143	0.245614	0.314815	0.272727	0.348837	0.333333	0.28	0.218182	0.305556	0.277778	0.148936	0.27451	0.171717	0.305556	0.333333	0.234043	0.15	0.2	0.175	0.306122	0.333333	0.44	0.35	0.166667	0.333333	0.166667	0.305556	0.333333	0.305556	0.25	0.222222	0.305556	0.194444	0.305556	0.25	0.157576	0.186567	0.223301	0.099099	0.388889	0.333333	0.166667	0.34	0.297297	0.354167	0.416667	0.416667	0.444444	0.305556	0.232143	0.2	0.180328	0.361111	0.166667	0.027027	0.173077	0.361111	0.316667	0.305556	0.277778	0.170213	0.20202	0.222222	0.333333	0.041801	0.2375	0.305556	0.305556	0.28125	0.153846	0.217391	0.166667	0.194444	0.138889	0.3	0.147826	0.310345	0.264151	0.305556	0.270833	0.305556	0.333333	0.194444	0.143885	0.296875	0.285714	0.052632	0.230769	0.265823	0.098039	0.15493	0.172414	0.173554	0.179487	0.26	0.326923	0.365854	0.186047	0.313725	0.214286	0.309091	0.116279	0.527778	0.322581	0.171875	0.383333	0.138889	0.33871	0.277778	0.145161	0.150376	0.214286	0.20202	0.225	0.288462	0.25641	0.28169	0.216216	0.319149	0.095238	0.111111	0.305556	0.314286	0.26087	0.130952	0.25	0.277778	0.20155	0.138889	0.333333	
D00227	0.172414	0.172414	0.293103	0.152542	0.258621	0.258621	1.0	0.206897	0.241379	0.310345	0.310345	0.293103	0.344828	0.310345	0.293103	0.275862	0.293103	0.327586	0.293103	0.206897	0.258621	0.258621	0.293103	0.310345	0.327586	0.293103	0.253731	0.327586	0.275862	0.241379	0.258621	0.224138	0.241379	0.310345	0.293103	0.275862	0.224138	0.224138	0.229508	0.362069	0.310345	0.310345	0.327586	0.275862	0.310345	0.327586	0.275862	0.293103	0.258621	0.327586	0.275862	0.241379	0.258621	0.396552	0.327586	0.310345	0.258621	0.15	0.275862	0.275862	0.137931	0.155172	0.155172	0.155172	0.155172	0.189655	0.293103	0.293103	0.258621	0.275862	0.275862	0.224138	0.275862	0.344828	0.225806	0.206897	0.114754	0.224138	0.2	0.220339	0.257143	0.206897	0.241379	0.224138	0.224138	0.258621	0.310345	0.172414	0.224138	0.275862	0.244681	0.362069	0.20202	0.275862	0.206897	0.293103	0.241379	0.293103	0.224138	0.258621	0.293103	0.310345	0.310345	0.189655	0.327586	0.275862	0.275862	0.293103	0.275862	0.327586	0.224138	0.258621	0.258621	0.275862	0.258621	0.2	0.238806	0.281553	0.189189	0.206897	0.258621	0.224138	0.172414	0.224138	0.206897	0.258621	0.293103	0.275862	0.275862	0.172414	0.310345	0.196721	0.293103	0.293103	0.189655	0.275862	0.275862	0.516667	0.241379	0.396552	0.241379	0.232323	0.293103	0.241379	0.115756	0.2375	0.241379	0.413793	0.21875	0.241379	0.15942	0.586207	0.224138	0.241379	0.344828	0.208696	0.206897	0.310345	0.258621	0.189655	0.241379	0.310345	0.224138	0.172662	0.15625	0.189655	0.275862	0.25	0.227848	0.12069	0.309859	0.189655	0.214876	0.222222	0.189655	0.241379	0.275862	0.206897	0.413793	0.25	0.241379	0.258621	0.258621	0.290323	0.1875	0.233333	0.275862	0.274194	0.224138	0.16129	0.180451	0.206897	0.252525	0.225	0.172414	0.275862	0.323944	0.258621	0.258621	0.174603	0.310345	0.275862	0.228571	0.224138	0.25	0.224138	0.241379	0.248062	0.258621	0.258621	
D00228	0.181818	0.16	0.27907	0.220339	0.275	0.333333	0.206897	1.0	0.36	0.30303	0.285714	0.166667	0.30303	0.272727	0.142857	0.155556	0.294118	0.268293	0.263158	0.212121	0.339623	0.327273	0.275	0.242424	0.255814	0.142857	0.238806	0.181818	0.151515	0.186047	0.212121	0.742857	0.333333	0.181818	0.212121	0.151515	0.272727	0.192308	0.180328	0.378378	0.181818	0.212121	0.181818	0.181818	0.212121	0.181818	0.090909	0.242424	0.121212	0.121212	0.205882	0.280702	0.151515	0.272727	0.2	0.30303	0.212121	0.2	0.121212	0.121212	0.121212	0.151515	0.151515	0.151515	0.151515	0.121212	0.272727	0.333333	0.378378	0.333333	0.151515	0.25	0.242424	0.151515	0.274194	0.303571	0.180328	0.181818	0.276923	0.338983	0.285714	0.192982	0.314815	0.181818	0.209302	0.272727	0.4	0.218182	0.212121	0.333333	0.212766	0.294118	0.181818	0.060606	0.333333	0.297872	0.225	0.2	0.275	0.22449	0.179487	0.2	0.25	0.151515	0.212121	0.121212	0.121212	0.121212	0.151515	0.305556	0.393939	0.181818	0.484848	0.181818	0.333333	0.175758	0.186567	0.213592	0.117117	0.30303	0.363636	0.194444	0.3	0.72973	0.3125	0.181818	0.30303	0.272727	0.333333	0.267857	0.2	0.180328	0.333333	0.121212	0.054054	0.153846	0.117647	0.233333	0.181818	0.257143	0.361702	0.232323	0.194444	0.333333	0.051447	0.175	0.147059	0.212121	0.328125	0.384615	0.246377	0.119048	0.393939	0.323529	0.35	0.173913	0.293103	0.207547	0.181818	0.625	0.181818	0.27451	0.393939	0.158273	0.21875	0.306122	0.131579	0.192308	0.278481	0.215686	0.169014	0.362069	0.214876	0.222222	0.32	0.307692	0.219512	0.325581	0.235294	0.214286	0.218182	0.116279	0.242424	0.258065	0.1875	0.233333	0.121212	0.322581	0.181818	0.209677	0.165414	0.380952	0.242424	0.2375	0.192308	0.307692	0.253521	0.162162	0.212766	0.15873	0.111111	0.181818	0.257143	0.630435	0.142857	0.181818	0.212121	0.186047	0.090909	0.181818	
D00234	0.14	0.18	0.46	0.220339	0.16	0.46	0.241379	0.36	1.0	0.38	0.34	0.46	0.3	0.26	0.44	0.24	0.38	0.34	0.3	0.16	0.264151	0.327273	0.26	0.24	0.3	0.26	0.447761	0.3	0.34	0.4	0.52	0.38	0.22	0.34	0.18	0.44	0.2	0.230769	0.245902	0.28	0.36	0.4	0.28	0.34	0.36	0.2	0.2	0.26	0.38	0.36	0.2	0.368421	0.16	0.3	0.32	0.34	0.26	0.166667	0.26	0.2	0.14	0.16	0.18	0.18	0.18	0.2	0.3	0.3	0.48	0.28	0.3	0.5	0.48	0.36	0.274194	0.392857	0.213115	0.26	0.276923	0.288136	0.271429	0.22807	0.481481	0.218182	0.4	0.26	0.28	0.163636	0.26	0.38	0.212766	0.333333	0.282828	0.28	0.215686	0.18	0.18	0.26	0.2	0.24	0.28	0.32	0.3	0.14	0.28	0.2	0.26	0.32	0.3	0.36	0.24	0.3	0.3	0.32	0.26	0.272727	0.320896	0.320388	0.18018	0.26	0.28	0.38	0.42	0.34	0.4	0.42	0.4	0.42	0.38	0.339286	0.3	0.147541	0.34	0.16	0.06	0.211538	0.44	0.316667	0.28	0.3	0.16	0.252525	0.3	0.4	0.07074	0.3375	0.34	0.26	0.25	0.26	0.289855	0.24	0.24	0.2	0.28	0.226087	0.5	0.188679	0.32	0.26	0.28	0.313725	0.22	0.201439	0.421875	0.26	0.14	0.288462	0.379747	0.098039	0.197183	0.241379	0.239669	0.247863	0.18	0.5	0.32	0.3	0.196078	0.285714	0.363636	0.18	0.46	0.403226	0.234375	0.416667	0.2	0.354839	0.26	0.209677	0.210526	0.3	0.292929	0.2625	0.269231	0.34	0.352113	0.32	0.28	0.174603	0.22	0.3	0.442857	0.26	0.166667	0.32	0.26	0.27907	0.18	0.3	
D00252	0.285714	0.34	0.44186	0.135593	0.3	0.361111	0.310345	0.30303	0.38	1.0	0.367347	0.555556	0.46875	0.321429	0.357143	0.355556	0.411765	0.560976	0.473684	0.178571	0.264151	0.254545	0.55	0.393939	0.325581	0.346939	0.328358	0.25	0.321429	0.55814	0.454545	0.285714	0.111111	0.322581	0.214286	0.71875	0.068966	0.307692	0.262295	0.378378	0.393939	0.4375	0.321429	0.178571	0.53125	0.107143	0.137931	0.535714	0.545455	0.37931	0.382353	0.298246	0.071429	0.178571	0.45	0.870968	0.464286	0.133333	0.535714	0.142857	0.142857	0.142857	0.107143	0.142857	0.142857	0.107143	0.483871	0.428571	0.378378	0.357143	0.321429	0.357143	0.433333	0.275862	0.306452	0.357143	0.229508	0.142857	0.307692	0.254237	0.314286	0.280702	0.240741	0.290909	0.348837	0.285714	0.34	0.254545	0.321429	0.527778	0.148936	0.27451	0.20202	0.272727	0.352941	0.446809	0.325	0.325	0.375	0.306122	0.358974	0.4	0.45	0.214286	0.392857	0.071429	0.285714	0.290323	0.206897	0.333333	0.28125	0.241379	0.275862	0.178571	0.266667	0.145455	0.179104	0.165049	0.099099	0.321429	0.25	0.361111	0.28	0.297297	0.291667	0.65625	0.75	0.689655	0.388889	0.232143	0.3	0.131148	0.361111	0.30303	0.027027	0.25	0.588235	0.35	0.285714	0.371429	0.340426	0.151515	0.305556	0.355556	0.045016	0.225	0.264706	0.2	0.328125	0.153846	0.304348	0.285714	0.242424	0.117647	0.35	0.191304	0.241379	0.283019	0.25	0.395833	0.321429	0.372549	0.25	0.151079	0.28125	0.163265	0.078947	0.182692	0.329114	0.196078	0.15493	0.172414	0.173554	0.179487	0.32	0.25	0.414634	0.232558	0.372549	0.261905	0.345455	0.162791	0.419355	0.322581	0.25	0.3	0.142857	0.370968	0.321429	0.209677	0.157895	0.119048	0.20202	0.25	0.326923	0.333333	0.309859	0.297297	0.319149	0.142857	0.138889	0.392857	0.328571	0.413043	0.154762	0.3	0.392857	0.186047	0.129032	0.392857	
