data	D00040	D00066	D00067	D00075	D00088	D00094	D00105	D00129	D00143	D00163	D00182	D00187	D00188	D00211	D00246	D00279	D00299	D00312	D00316	D00327	D00348	D00443	D00462	D00506	D00554	D00565	D00577	D00585	D00586	D00596	D00627	D00690	D00730	D00898	D00930	D00950	D00951	D00954	D00956	D00961	D00962	D00965	D01115	D01132	D01161	D01217	D01294	D01387	D01441	D01689	D02217	D02367	D04066	D05341	
D00040	1.0	0.730769	0.423077	0.538462	0.5	0.294872	0.448718	0.448718	0.833333	0.712644	0.474359	0.5125	0.628205	0.33758	0.477778	0.166667	0.547619	0.384615	0.25641	0.525641	0.294872	0.488095	0.653846	0.153846	0.410256	0.230769	0.166667	0.410256	0.205128	0.205128	0.153846	0.424242	0.153846	0.153846	0.458824	0.487179	0.421687	0.487179	0.384615	0.179487	0.166667	0.205128	0.467391	0.205128	0.428571	0.692308	0.518519	0.56	0.128205	0.505882	0.166667	0.461538	0.397436	0.24359	
D00066	0.730769	1.0	0.52381	0.730159	0.662162	0.285714	0.555556	0.461538	0.880597	0.678161	0.65625	0.475	0.463768	0.286624	0.555556	0.222222	0.5	0.441176	0.333333	0.704225	0.285714	0.488095	0.761905	0.206349	0.507937	0.238095	0.174603	0.586667	0.206349	0.238095	0.111111	0.494949	0.190476	0.174603	0.447059	0.676923	0.493976	0.676923	0.56	0.222222	0.232877	0.206349	0.456522	0.238095	0.384615	0.954545	0.592593	0.58	0.191781	0.729412	0.190476	0.553846	0.529412	0.269841	
D00067	0.423077	0.52381	1.0	0.7	0.594595	0.22	0.888889	0.384615	0.492537	0.390805	0.671875	0.4	0.405797	0.235669	0.388889	0.24	0.369048	0.735294	0.211538	0.492958	0.22	0.345238	0.539683	0.22	0.844828	0.2	0.28	0.426667	0.24	0.210526	0.193548	0.353535	0.26	0.28	0.364706	0.661538	0.421687	0.661538	0.586667	0.210526	0.205479	0.215686	0.358696	0.22	0.340659	0.530303	0.469136	0.37	0.205479	0.447059	0.25	0.615385	0.705882	0.26	
D00075	0.538462	0.730159	0.7	1.0	0.756757	0.3	0.8	0.448718	0.626866	0.482759	0.875	0.4625	0.478261	0.305732	0.544444	0.2	0.488095	0.558824	0.233333	0.690141	0.3	0.416667	0.698413	0.216667	0.7	0.183333	0.183333	0.52	0.216667	0.15	0.096774	0.484848	0.183333	0.166667	0.458824	0.861538	0.518072	0.861538	0.773333	0.183333	0.178082	0.216667	0.391304	0.2	0.406593	0.727273	0.45679	0.5	0.136986	0.576471	0.15	0.738462	0.764706	0.283333	
D00088	0.5	0.662162	0.594595	0.756757	1.0	0.337838	0.594595	0.5	0.554054	0.471264	0.797297	0.45	0.486486	0.33758	0.644444	0.202703	0.428571	0.459459	0.283784	0.621622	0.337838	0.428571	0.581081	0.189189	0.662162	0.202703	0.202703	0.533333	0.243243	0.202703	0.135135	0.515152	0.175676	0.189189	0.482353	0.783784	0.578313	0.783784	0.706667	0.243243	0.148649	0.243243	0.434783	0.202703	0.43956	0.648649	0.407407	0.53	0.094595	0.647059	0.189189	0.743243	0.540541	0.283784	
D00094	0.294872	0.285714	0.22	0.3	0.337838	1.0	0.222222	0.358974	0.268657	0.252874	0.296875	0.3625	0.362319	0.248408	0.3	0.255319	0.357143	0.235294	0.384615	0.295775	0.978723	0.309524	0.269841	0.255319	0.258621	0.276596	0.255319	0.293333	0.234043	0.280702	0.177419	0.292929	0.212766	0.297872	0.376471	0.292308	0.301205	0.292308	0.266667	0.245614	0.273973	0.254902	0.293478	0.276596	0.285714	0.272727	0.283951	0.29	0.205479	0.305882	0.178571	0.307692	0.25	0.446809	
D00105	0.448718	0.555556	0.888889	0.8	0.594595	0.222222	1.0	0.410256	0.522388	0.413793	0.71875	0.375	0.376812	0.261146	0.411111	0.222222	0.428571	0.647059	0.166667	0.535211	0.222222	0.357143	0.571429	0.203704	0.896552	0.240741	0.277778	0.426667	0.240741	0.192982	0.193548	0.373737	0.240741	0.277778	0.4	0.707692	0.433735	0.707692	0.64	0.192982	0.205479	0.203704	0.369565	0.203704	0.340659	0.560606	0.407407	0.39	0.191781	0.447059	0.196429	0.661538	0.794118	0.240741	
D00129	0.448718	0.461538	0.384615	0.448718	0.5	0.358974	0.410256	1.0	0.423077	0.551724	0.474359	0.7125	0.75641	0.356688	0.411111	0.192308	0.714286	0.320513	0.346154	0.512821	0.358974	0.404762	0.487179	0.205128	0.448718	0.25641	0.205128	0.320513	0.24359	0.230769	0.179487	0.393939	0.153846	0.205128	0.847059	0.461538	0.433735	0.461538	0.410256	0.230769	0.205128	0.24359	0.402174	0.217949	0.406593	0.461538	0.419753	0.45	0.141026	0.423529	0.166667	0.5	0.371795	0.25641	
D00143	0.833333	0.880597	0.492537	0.626866	0.554054	0.268657	0.522388	0.423077	1.0	0.735632	0.552239	0.475	0.478261	0.318471	0.5	0.19403	0.5	0.411765	0.298507	0.591549	0.268657	0.511905	0.716418	0.179104	0.477612	0.208955	0.164179	0.48	0.19403	0.208955	0.104478	0.444444	0.164179	0.164179	0.447059	0.567164	0.457831	0.567164	0.453333	0.179104	0.219178	0.19403	0.478261	0.223881	0.351648	0.835821	0.641975	0.53	0.191781	0.635294	0.149254	0.477612	0.470588	0.253731	
D00163	0.712644	0.678161	0.390805	0.482759	0.471264	0.252874	0.413793	0.551724	0.735632	1.0	0.436782	0.425287	0.436782	0.394904	0.477778	0.172414	0.436782	0.402299	0.264368	0.551724	0.252874	0.425287	0.678161	0.172414	0.402299	0.206897	0.172414	0.436782	0.229885	0.206897	0.149425	0.434343	0.137931	0.172414	0.436782	0.436782	0.436782	0.436782	0.413793	0.195402	0.172414	0.218391	0.456522	0.218391	0.384615	0.655172	0.574713	0.54	0.195402	0.482759	0.172414	0.45977	0.413793	0.206897	
D00182	0.474359	0.65625	0.671875	0.875	0.797297	0.296875	0.71875	0.474359	0.552239	0.436782	1.0	0.4625	0.478261	0.324841	0.577778	0.21875	0.440476	0.514706	0.265625	0.690141	0.296875	0.440476	0.625	0.203125	0.8125	0.203125	0.21875	0.586667	0.21875	0.15625	0.09375	0.535354	0.1875	0.203125	0.447059	0.984615	0.566265	0.984615	0.826667	0.1875	0.164384	0.21875	0.423913	0.1875	0.428571	0.666667	0.45679	0.5	0.150685	0.588235	0.15625	0.861538	0.691176	0.296875	
D00187	0.5125	0.475	0.4	0.4625	0.45	0.3625	0.375	0.7125	0.475	0.425287	0.4625	1.0	0.8625	0.324841	0.444444	0.2	0.916667	0.375	0.3125	0.5	0.375	0.440476	0.4875	0.175	0.4	0.275	0.225	0.375	0.2125	0.25	0.1625	0.373737	0.1375	0.2375	0.694118	0.475	0.433735	0.475	0.4	0.2125	0.2	0.2125	0.445652	0.2125	0.384615	0.45	0.493827	0.5	0.175	0.411765	0.2	0.5	0.35	0.25	
D00188	0.628205	0.463768	0.405797	0.478261	0.486486	0.362319	0.376812	0.75641	0.478261	0.436782	0.478261	0.8625	1.0	0.286624	0.433333	0.202899	0.785714	0.362319	0.304348	0.507042	0.376812	0.428571	0.478261	0.173913	0.405797	0.275362	0.231884	0.346667	0.217391	0.231884	0.144928	0.363636	0.15942	0.217391	0.682353	0.478261	0.457831	0.478261	0.453333	0.188406	0.191781	0.217391	0.391304	0.217391	0.395604	0.463768	0.518519	0.49	0.136986	0.458824	0.130435	0.463768	0.318841	0.289855	
D00211	0.33758	0.286624	0.235669	0.305732	0.33758	0.248408	0.261146	0.356688	0.318471	0.394904	0.324841	0.324841	0.286624	1.0	0.401274	0.146497	0.324841	0.254777	0.248408	0.33758	0.248408	0.382166	0.305732	0.152866	0.273885	0.210191	0.165605	0.286624	0.191083	0.229299	0.178344	0.420382	0.121019	0.171975	0.388535	0.324841	0.375796	0.324841	0.369427	0.197452	0.254777	0.216561	0.407643	0.178344	0.33121	0.299363	0.33758	0.363057	0.216561	0.363057	0.178344	0.312102	0.312102	0.133758	
D00246	0.477778	0.555556	0.388889	0.544444	0.644444	0.3	0.411111	0.411111	0.5	0.477778	0.577778	0.444444	0.433333	0.401274	1.0	0.188889	0.4	0.377778	0.288889	0.566667	0.3	0.477778	0.466667	0.177778	0.466667	0.211111	0.177778	0.533333	0.211111	0.211111	0.166667	0.707071	0.144444	0.177778	0.377778	0.588889	0.5	0.588889	0.511111	0.222222	0.2	0.222222	0.423913	0.211111	0.351648	0.544444	0.455556	0.47	0.188889	0.688889	0.166667	0.511111	0.433333	0.233333	
D00279	0.166667	0.222222	0.24	0.2	0.202703	0.255319	0.222222	0.192308	0.19403	0.172414	0.21875	0.2	0.202899	0.146497	0.188889	1.0	0.190476	0.205882	0.480769	0.239437	0.255319	0.214286	0.222222	0.566667	0.206897	0.6	0.542857	0.253333	0.302326	0.350877	0.290323	0.212121	0.62963	0.487179	0.2	0.215385	0.216867	0.215385	0.226667	0.385965	0.356164	0.313725	0.195652	0.487805	0.241758	0.212121	0.160494	0.18	0.30137	0.223529	0.303571	0.215385	0.220588	0.296296	
