data	D00035	D00110	D00136	D00195	D00219	D00225	D00227	D00228	D00234	D00252	D00274	D00283	D00293	D00294	D00303	D00319	D00326	D00329	D00331	D00332	D00335	D00336	D00338	D00340	D00345	D00349	D00351	D00354	D00358	D00364	D00367	D00373	D00379	D00380	D00392	D00394	D00418	D00437	D00438	D00451	D00456	D00464	D00474	D00477	D00480	D00495	D00499	D00504	D00512	D00513	D00519	D00521	D00524	D00528	D00530	D00533	D00536	D00537	D00538	D00539	D00542	D00543	D00544	D00545	D00546	D00547	D00548	D00549	D00550	D00552	D00553	D00560	D00563	D00574	D00593	D00594	D00607	D00611	D00615	D00616	D00617	D00618	D00619	D00629	D00631	D00633	D00636	D00638	D00639	D00640	D00642	D00647	D00648	D00649	D00650	D00651	D00654	D00656	D00658	D00677	D00678	D00694	D00697	D00704	D00708	D00709	D00711	D00726	D00732	D00733	D00735	D00738	D00739	D00740	D00741	D00759	D00760	D00761	D00765	D00771	D00775	D00779	D00791	D00798	D00799	D00809	D00812	D00816	D00823	D00831	D00960	D00963	D00964	D01071	D01108	D01111	D01118	D01242	D01243	D01253	D01256	D01275	D01287	D01295	D01350	D01448	D01450	D01453	D01575	D01599	D01603	D01712	D01768	D01799	D01828	D01854	D01969	D02041	D02086	D02087	D02088	D02092	D02098	D02101	D02163	D02173	D02204	D02207	D02234	D02237	D02253	D02261	D02262	D02272	D02347	D02356	D02360	D02362	D02409	D02461	D02485	D02546	D02566	D02630	D02914	D03037	D03180	D03274	D03365	D03450	D03580	D03742	D03826	D03830	D03878	D03991	D04034	D04048	D04370	D04790	D04985	D04999	D05024	D05077	D05156	D05453	D05458	D05461	D06106	D06172	
D00035	1.0	0.254386	0.108527	0.182963	0.07807	0.0	0.05303	0.052632	0.086957	0.096774	0.069182	0.075	0.081081	0.036036	0.045455	0.06383	0.025	0.083333	0.026515	0.053571	0.064493	0.064493	0.068182	0.024324	0.049645	0.055556	0.180791	0.0	0.114286	0.120567	0.051282	0.1	0.091892	0.104762	0.178571	0.057143	0.038462	0.055556	0.04386	0.051852	0.04386	0.0	0.111111	0.099099	0.027027	0.172414	0.083333	0.076923	0.083333	0.0	0.025	0.081481	0.027027	0.040404	0.042553	0.1	0.107843	0.132624	0.041667	0.142857	0.0	0.038462	0.038462	0.035714	0.038462	0.035714	0.171429	0.0	0.0	0.137931	0.166667	0.091503	0.078431	0.09009	0.058025	0.166667	0.065608	0.064516	0.06303	0.217391	0.060847	0.052469	0.032051	0.051515	0.03876	0.0	0.099291	0.123457	0.0	0.138889	0.117308	0.024806	0.067284	0.063492	0.018367	0.020833	0.02093	0.047101	0.02	0.24031	0.037879	0.054545	0.066667	0.033333	0.150538	0.145833	0.045455	0.091667	0.131579	0.119658	0.180952	0.161765	0.1	0.135135	0.117117	0.109343	0.051471	0.080645	0.14173	0.0	0.027027	0.117647	0.063333	0.094595	0.068027	0.055556	0.133333	0.060606	0.02381	0.145833	0.0	0.208333	0.0	0.098039	0.054054	0.227273	0.054054	0.05	0.15625	0.102564	0.033333	0.099754	0.297143	0.047619	0.030678	0.098361	0.175926	0.038095	0.047281	0.08547	0.037736	0.037037	0.113821	0.099099	0.041667	0.095604	0.032051	0.224806	0.108108	0.139535	0.085714	0.066667	0.121951	0.09395	0.119444	0.076667	0.011765	0.095238	0.043478	0.13468	0.05	0.166667	0.12517	0.136341	0.059748	0.033333	0.171171	0.207207	0.040816	0.121891	0.026144	0.238095	0.046875	0.03268	0.052778	0.10119	0.09375	0.133333	0.214286	0.137153	0.127389	0.192308	0.086061	0.163636	0.113333	0.166667	0.142857	0.283784	0.252033	0.221164	0.078947	0.264368	0.175141	0.146341	0.148148	0.073529	0.0	0.034341	0.09009	0.090909	
D00110	0.254386	1.0	0.166061	0.29477	0.216667	0.085213	0.053763	0.131186	0.134181	0.125926	0.185484	0.126984	0.14381	0.15	0.118421	0.138798	0.089947	0.143693	0.110526	0.050725	0.141667	0.135556	0.126149	0.10719	0.169951	0.141935	0.262687	0.069091	0.113725	0.197701	0.110512	0.156948	0.195333	0.155333	0.078014	0.071895	0.132075	0.130256	0.116432	0.121469	0.16	0.091644	0.202899	0.17	0.070513	0.076389	0.078431	0.170732	0.136054	0.067901	0.109877	0.128161	0.049383	0.08	0.09235	0.230159	0.217391	0.190169	0.12766	0.06383	0.0	0.014815	0.037879	0.014184	0.014815	0.036232	0.325581	0.077037	0.063629	0.223577	0.12766	0.152116	0.119534	0.20068	0.125	0.227166	0.065591	0.019608	0.122549	0.250686	0.111039	0.12451	0.104615	0.119807	0.198718	0.094697	0.128415	0.105634	0.056	0.08805	0.216402	0.129697	0.106443	0.073446	0.13	0.140113	0.095906	0.093548	0.098305	0.338365	0.142857	0.10084	0.146552	0.0	0.207407	0.188406	0.192593	0.169811	0.203333	0.135802	0.19	0.156	0.15	0.207483	0.122642	0.207948	0.12616	0.174648	0.222154	0.076087	0.080128	0.180556	0.105495	0.150794	0.107143	0.070513	0.076389	0.07483	0.086735	0.165079	0.064516	0.331818	0.06303	0.090566	0.02381	0.392157	0.069182	0.078829	0.122449	0.12938	0.118889	0.200249	0.249333	0.189542	0.056614	0.142857	0.14717	0.076923	0.098361	0.175	0.058824	0.046948	0.114035	0.195333	0.111111	0.229206	0.1	0.405229	0.109434	0.196854	0.094118	0.179687	0.114035	0.166771	0.126984	0.177049	0.032051	0.213008	0.071111	0.077381	0.054726	0.273333	0.182213	0.202801	0.165625	0.107937	0.314286	0.270068	0.122581	0.299868	0.077949	0.192308	0.123188	0.085938	0.107556	0.144762	0.078431	0.107849	0.218254	0.145833	0.183926	0.32585	0.183694	0.254401	0.193889	0.163919	0.098958	0.239744	0.351634	0.345503	0.070175	0.214815	0.171102	0.204145	0.216667	0.152778	0.090909	0.083929	0.059524	0.097959	
D00136	0.108527	0.166061	1.0	0.059701	0.228148	0.222222	0.074713	0.17305	0.319145	0.151163	0.531915	0.341085	0.301587	0.217054	0.222546	0.154762	0.22963	0.377778	0.160131	0.187719	0.162424	0.248718	0.277778	0.11844	0.254902	0.1	0.325	0.138889	0.277778	0.294872	0.294574	0.191111	0.170213	0.224806	0.065217	0.141304	0.073077	0.072396	0.084541	0.179487	0.141667	0.271318	0.27	0.317073	0.114583	0.18254	0.151515	0.126316	0.231061	0.076	0.104575	0.268934	0.018868	0.06383	0.210063	0.204167	0.184848	0.064677	0.093939	0.222222	0.041667	0.009524	0.04065	0.034884	0.009524	0.009091	0.169444	0.125	0.193197	0.22807	0.177778	0.352015	0.155556	0.35	0.232184	0.235556	0.131515	0.116279	0.115657	0.191257	0.135251	0.085354	0.277778	0.087065	0.214286	0.1	0.280769	0.205376	0.088889	0.221014	0.093897	0.291304	0.238218	0.138365	0.142262	0.123977	0.119872	0.122024	0.149057	0.177401	0.125926	0.231638	0.24	0.037037	0.193651	0.06	0.254701	0.365079	0.310078	0.299259	0.270563	0.165957	0.2	0.31746	0.272727	0.121958	0.173581	0.120157	0.108434	0.184211	0.123188	0.184091	0.21131	0.182979	0.218182	0.155797	0.117424	0.09058	0.219858	0.148634	0.141975	0.087179	0.126667	0.072667	0.037736	0.191954	0.152482	0.146569	0.169697	0.348837	0.155758	0.105622	0.144654	0.255731	0.011364	0.205882	0.174927	0.061224	0.106322	0.163265	0.084615	0.064677	0.25	0.177305	0.184242	0.124876	0.271605	0.144262	0.265152	0.233333	0.152174	0.510204	0.243056	0.055556	0.221393	0.09375	0.034014	0.113965	0.112245	0.081761	0.094444	0.099502	0.115556	0.114035	0.172131	0.288462	0.183673	0.117576	0.109605	0.244292	0.340914	0.045977	0.194309	0.604065	0.072603	0.327586	0.143939	0.317687	0.057971	0.206628	0.080169	0.133333	0.118627	0.183575	0.12963	0.258156	0.349894	0.141818	0.183626	0.093651	0.14966	0.225397	0.292308	0.242667	0.051282	0.367568	0.095	0.102857	0.14966	0.159091	
D00195	0.182963	0.29477	0.059701	1.0	0.075269	0.059259	0.054726	0.151852	0.121875	0.132381	0.066667	0.114124	0.100585	0.062147	0.045455	0.046948	0.056667	0.1	0.071795	0.018868	0.071429	0.099502	0.089583	0.044444	0.04381	0.061033	0.138879	0.038251	0.074713	0.101449	0.118129	0.139506	0.094444	0.079096	0.036364	0.124888	0.077778	0.070776	0.041152	0.107692	0.070621	0.045556	0.055556	0.072222	0.082483	0.0	0.0	0.064626	0.044391	0.118182	0.042328	0.104948	0.0	0.0	0.045411	0.110177	0.054598	0.14801	0.058642	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.123214	0.045752	0.056614	0.069182	0.097484	0.11619	0.142308	0.060109	0.059829	0.161353	0.013889	0.017857	0.059219	0.192496	0.070588	0.067982	0.1	0.042194	0.073318	0.066667	0.086473	0.109649	0.096154	0.130102	0.396447	0.074074	0.08114	0.0	0.049524	0.035238	0.05641	0.068627	0.039216	0.169866	0.064103	0.035043	0.068627	0.037736	0.116352	0.1	0.057576	0.052083	0.075269	0.095628	0.166667	0.111111	0.176101	0.076503	0.071038	0.151362	0.064815	0.195108	0.218864	0.086667	0.063218	0.163522	0.1	0.134524	0.103922	0.122575	0.155491	0.129785	0.054839	0.165245	0.024155	0.263232	0.04918	0.032787	0.0	0.194822	0.10034	0.063571	0.093939	0.077596	0.078431	0.224257	0.200595	0.1	0.076262	0.116049	0.124294	0.016667	0.078394	0.086022	0.048906	0.034632	0.100529	0.094444	0.080392	0.148418	0.104762	0.239363	0.072222	0.115897	0.057471	0.093333	0.100529	0.521942	0.109877	0.48109	0.0	0.186093	0.101406	0.05914	0.013333	0.441794	0.296404	0.30666	0.071111	0.086957	0.193915	0.266117	0.043981	0.162437	0.083333	0.165038	0.088828	0.048148	0.102083	0.080169	0.0	0.099834	0.207971	0.079909	0.496914	0.422789	0.1759	0.224173	0.188571	0.179762	0.085983	0.193678	0.175346	0.222424	0.015385	0.114198	0.15177	0.119577	0.236243	0.093939	0.064626	0.055969	0.015625	0.059524	
D00219	0.07807	0.216667	0.228148	0.075269	1.0	0.1125	0.049383	0.118939	0.137255	0.150529	0.225157	0.114894	0.182114	0.289474	0.153901	0.166667	0.217073	0.152381	0.233862	0.082883	0.603509	0.577193	0.155556	0.221429	0.365891	0.141975	0.148756	0.125926	0.138095	0.182353	0.12	0.176423	0.674347	0.424218	0.035772	0.102041	0.130435	0.134921	0.161593	0.208333	0.200813	0.148837	0.32549	0.230894	0.074675	0.093162	0.214035	0.261111	0.16881	0.102273	0.269454	0.229348	0.0	0.079365	0.135294	0.321429	0.242982	0.048677	0.217593	0.185294	0.0	0.0	0.0	0.0	0.0	0.0	0.146512	0.152381	0.086395	0.24902	0.198148	0.225	0.112698	0.385185	0.534815	0.178947	0.144	0.115385	0.209691	0.135632	0.147122	0.147296	0.127381	0.16707	0.161284	0.161905	0.146154	0.236905	0.089431	0.122148	0.123077	0.15942	0.146534	0.104762	0.218173	0.252786	0.192547	0.190476	0.216819	0.201282	0.175177	0.135632	0.150327	0.064103	0.273333	0.072727	0.247222	0.188148	0.192424	0.196124	0.313248	0.22	0.190476	0.196899	0.250407	0.131186	0.124537	0.077465	0.054733	0.135135	0.113636	0.170732	0.143636	0.168217	0.146296	0.08804	0.09707	0.094643	0.206977	0.160234	0.130719	0.077222	0.121212	0.163265	0.038298	0.178395	0.049689	0.074531	0.187719	0.156061	0.255826	0.109034	0.13869	0.114184	0.038929	0.152736	0.198837	0.075758	0.091154	0.651488	0.069249	0.06129	0.201449	0.672504	0.196599	0.129252	0.133333	0.13631	0.131818	0.164667	0.141463	0.21697	0.194928	0.051852	0.141919	0.05914	0.019048	0.078295	0.079882	0.165035	0.133157	0.131148	0.119403	0.117647	0.30381	0.132099	0.13617	0.15625	0.133598	0.154413	0.169497	0.052564	0.202381	0.144025	0.114641	0.148387	0.20614	0.117094	0.1125	0.169697	0.081481	0.124359	0.134089	0.138384	0.080549	0.312821	0.106061	0.136	0.209333	0.06298	0.144444	0.236937	0.089671	0.171528	0.087571	0.209402	0.128571	0.077833	0.168992	0.148718	
D00225	0.0	0.085213	0.222222	0.059259	0.1125	1.0	0.041667	0.177273	0.182135	0.145	0.188304	0.195652	0.268293	0.17619	0.151111	0.141975	0.152174	0.22449	0.164626	0.0	0.096429	0.222222	0.229167	0.101449	0.233333	0.093567	0.156522	0.243902	0.086957	0.213836	0.325	0.104348	0.114894	0.12	0.0	0.134884	0.046667	0.056836	0.085859	0.108176	0.122751	0.444444	0.087662	0.117391	0.082609	0.0	0.0	0.107143	0.181395	0.067882	0.095238	0.143473	0.0	0.068182	0.162821	0.145	0.085714	0.0	0.121429	0.0	0.027027	0.0	0.026316	0.025	0.0	0.0	0.080357	0.099099	0.690909	0.142105	0.091837	0.115926	0.216667	0.117391	0.101587	0.142857	0.0	0.0	0.082828	0.09375	0.115806	0.054212	0.134503	0.088542	0.152381	0.131481	0.12483	0.070647	0.097561	0.123404	0.088235	0.142857	0.087179	0.117647	0.156614	0.159569	0.111111	0.111111	0.128205	0.092063	0.10831	0.296296	0.142308	0.0	0.089701	0.0	0.091837	0.170213	0.1125	0.133139	0.091667	0.085106	0.122727	0.114894	0.091667	0.0794	0.085965	0.107211	0.0	0.29375	0.152381	0.107937	0.081967	0.1	0.083333	0.131818	0.145	0.141463	0.145833	0.116667	0.137255	0.0	0.181818	0.0	0.0	0.079625	0.080851	0.113433	0.087662	0.25	0.10119	0.064352	0.075472	0.163448	0.0	0.065789	0.08	0.065217	0.124691	0.110204	0.072043	0.041026	0.064151	0.091667	0.100606	0.06381	0.129825	0.067588	0.083333	0.103571	0.088889	0.181921	0.064151	0.054054	0.066667	0.077596	0.0	0.109524	0.069697	0.0	0.0	0.09375	0.076577	0.075556	0.096774	0.139394	0.234848	0.105128	0.096909	0.111111	0.130909	0.017857	0.205263	0.218114	0.048942	0.15625	0.0	0.163522	0.065079	0.068783	0.051948	0.087654	0.057143	0.082192	0.111475	0.142857	0.226346	0.072727	0.095238	0.0	0.0	0.112957	0.118721	0.107407	0.044086	0.112957	0.107143	0.041043	0.0	0.093023	
D00227	0.05303	0.053763	0.074713	0.054726	0.049383	0.041667	1.0	0.082667	0.056831	0.066667	0.044118	0.035714	0.095238	0.052288	0.05848	0.083333	0.050314	0.095238	0.060819	0.03876	0.053763	0.053763	0.083333	0.077551	0.060109	0.078689	0.07265	0.038462	0.106383	0.046875	0.064103	0.077551	0.041975	0.109722	0.068182	0.047619	0.012121	0.06359	0.055399	0.166667	0.111111	0.044872	0.078014	0.065359	0.046667	0.066667	0.070922	0.065041	0.06	0.090278	0.075641	0.075706	0.019231	0.263158	0.077011	0.098485	0.061224	0.036275	0.074074	0.062016	0.0	0.0	0.0	0.0	0.0	0.0	0.093333	0.089431	0.054545	0.060606	0.081481	0.143503	0.054422	0.071895	0.068627	0.062802	0.05	0.021277	0.078431	0.063725	0.068398	0.057843	0.075	0.059903	0.040936	0.055556	0.091111	0.071429	0.059259	0.084967	0.10628	0.065476	0.105046	0.060606	0.059016	0.062222	0.069091	0.040437	0.066667	0.091398	0.098765	0.053922	0.113095	0.0	0.103704	0.026667	0.057971	0.061728	0.069182	0.124183	0.056604	0.081633	0.032051	0.070513	0.064103	0.045118	0.075	0.055535	0.022472	0.046512	0.04	0.045752	0.032828	0.07451	0.035897	0.046667	0.081481	0.056738	0.048485	0.049751	0.060819	0.029412	0.030864	0.062667	0.025641	0.040404	0.066667	0.323457	0.078014	0.069182	0.063333	0.061028	0.092593	0.044048	0.043651	0.077922	0.098039	0.307018	0.063333	0.040476	0.066667	0.424242	0.052632	0.041975	0.144444	0.031111	0.072917	0.103825	0.102041	0.087006	0.085106	0.057971	0.052632	0.051948	0.058442	0.034826	0.013605	0.031647	0.026882	0.069182	0.098361	0.079602	0.13242	0.130631	0.061692	0.077419	0.035088	0.042529	0.212579	0.068992	0.058201	0.028736	0.057971	0.043077	0.091667	0.054795	0.070922	0.1	0.028369	0.076923	0.07265	0.068966	0.11256	0.088889	0.076923	0.060606	0.081845	0.089286	0.094444	0.02451	0.069182	0.078014	0.092105	0.090058	0.0625	0.047619	0.031746	0.119672	0.051282	0.088889	
D00228	0.052632	0.131186	0.17305	0.151852	0.118939	0.177273	0.082667	1.0	0.223168	0.124324	0.126316	0.239024	0.195	0.076984	0.135225	0.084906	0.190244	0.180142	0.101389	0.046296	0.10641	0.146405	0.165957	0.08062	0.126797	0.07716	0.143284	0.064394	0.065891	0.15	0.318919	0.305556	0.121705	0.127642	0.025	0.14359	0.094697	0.076441	0.054688	0.112925	0.137979	0.257895	0.149749	0.116667	0.112195	0.02439	0.0	0.08153	0.194872	0.122532	0.099259	0.21726	0.022222	0.02381	0.089744	0.188571	0.117262	0.015873	0.070802	0.025641	0.0	0.0	0.0	0.0	0.0	0.0	0.083117	0.106061	0.146667	0.089815	0.12677	0.197904	0.260952	0.09845	0.118966	0.210714	0.032099	0.078947	0.121111	0.115254	0.087279	0.072619	0.14717	0.056452	0.195455	0.108081	0.116801	0.10765	0.103604	0.185366	0.157778	0.093056	0.077419	0.039216	0.086243	0.130532	0.070748	0.053459	0.089333	0.089711	0.120365	0.175	0.062179	0.0	0.153797	0.125	0.158069	0.122222	0.094074	0.16645	0.176423	0.115079	0.256481	0.096212	0.064444	0.088818	0.092107	0.138718	0.039095	0.095098	0.053175	0.232143	0.156604	0.289474	0.162821	0.14	0.260606	0.217143	0.181395	0.121429	0.062092	0.026882	0.077037	0.044444	0.0	0.101616	0.136585	0.084103	0.120269	0.154545	0.159184	0.078431	0.100694	0.249156	0.004938	0.12451	0.132576	0.022727	0.101282	0.101481	0.061017	0.040984	0.111348	0.148413	0.091026	0.0875	0.142138	0.106973	0.062963	0.288889	0.06746	0.122034	0.111348	0.111648	0.123881	0.092857	0.0	0.079223	0.125496	0.072464	0.0	0.169048	0.125108	0.123241	0.105747	0.152941	0.136296	0.212121	0.061039	0.086076	0.112169	0.019231	0.3	0.153663	0.081169	0.12043	0.0	0.104223	0.126852	0.151235	0.106723	0.185507	0.110599	0.1	0.096552	0.196899	0.110266	0.096667	0.093034	0.016129	0.0	0.180824	0.065753	0.302326	0.081548	0.229252	0.08153	0.090909	0.0	0.070833	
D00234	0.086957	0.134181	0.319145	0.121875	0.137255	0.182135	0.056831	0.223168	1.0	0.091683	0.217778	0.254374	0.132444	0.105442	0.146914	0.042783	0.200463	0.142063	0.12303	0.064394	0.118079	0.198895	0.130159	0.052201	0.129755	0.065684	0.201455	0.075092	0.168186	0.242511	0.175964	0.209903	0.161224	0.119048	0.0625	0.180632	0.120915	0.040441	0.049837	0.11345	0.207609	0.132444	0.086735	0.088235	0.152273	0.04	0.066667	0.077381	0.1041	0.126871	0.036842	0.296667	0.0	0.03268	0.11929	0.115415	0.085	0.027778	0.085145	0.06383	0.015504	0.009091	0.015152	0.01087	0.009091	0.031111	0.046364	0.119628	0.163248	0.07037	0.164773	0.351852	0.300542	0.132653	0.148438	0.263148	0.037339	0.108696	0.066793	0.148034	0.094372	0.052143	0.23818	0.052649	0.244403	0.069767	0.115574	0.183333	0.141775	0.189981	0.169723	0.185348	0.109384	0.044444	0.150565	0.125833	0.059195	0.123563	0.045355	0.157104	0.183654	0.097386	0.128655	0.042553	0.13587	0.071895	0.096014	0.075758	0.091195	0.214626	0.235507	0.211698	0.308943	0.092949	0.114379	0.143934	0.174499	0.147326	0.0625	0.175214	0.193182	0.234496	0.177213	0.201157	0.183142	0.128757	0.193235	0.137154	0.192444	0.146851	0.130952	0.057971	0.108425	0.086538	0.0	0.162568	0.142362	0.129236	0.157609	0.146581	0.101667	0.071429	0.185348	0.24587	0.0	0.143544	0.220238	0.031447	0.148241	0.147059	0.058467	0.045238	0.126543	0.143333	0.123729	0.114892	0.233929	0.084091	0.161322	0.227071	0.12996	0.210753	0.132716	0.090159	0.143227	0.056716	0.007692	0.132156	0.191692	0.063912	0.041414	0.180499	0.14264	0.140712	0.116234	0.247002	0.123251	0.151323	0.061198	0.109281	0.144286	0.027322	0.181607	0.257716	0.048701	0.159275	0.073333	0.136732	0.143939	0.157104	0.086691	0.175309	0.048622	0.150076	0.078075	0.307005	0.151814	0.180335	0.162429	0.044935	0.065476	0.175926	0.223175	0.235639	0.098958	0.183712	0.13125	0.117486	0.060606	0.135611	
D00252	0.096774	0.125926	0.151163	0.132381	0.150529	0.145	0.066667	0.124324	0.091683	1.0	0.142857	0.12	0.266667	0.170274	0.106413	0.12963	0.097436	0.214634	0.124855	0.032258	0.145404	0.201587	0.22	0.099074	0.181395	0.170455	0.131746	0.047009	0.207071	0.289683	0.156757	0.127778	0.204482	0.190476	0.09375	0.3	0.058333	0.135417	0.10303	0.141723	0.12963	0.1	0.204301	0.179592	0.212121	0.125	0.111111	0.349206	0.242424	0.111111	0.094017	0.070704	0.0	0.068627	0.070213	0.590909	0.197917	0.029762	0.214286	0.133333	0.0	0.0	0.0	0.0	0.0	0.0	0.166667	0.063218	0.14	0.188776	0.320988	0.102098	0.202083	0.170068	0.122596	0.166038	0.070922	0.0	0.140881	0.128302	0.140152	0.127451	0.060897	0.106918	0.146341	0.093537	0.207576	0.10034	0.088542	0.264706	0.100575	0.139167	0.117284	0.077519	0.162879	0.117037	0.111382	0.068841	0.106202	0.159722	0.111111	0.128302	0.130676	0.03125	0.252874	0.026316	0.114583	0.153846	0.139098	0.192982	0.142857	0.20098	0.061776	0.142857	0.142857	0.076305	0.091542	0.05997	0.067568	0.078818	0.063492	0.133333	0.138776	0.121053	0.141667	0.290323	0.333333	0.321429	0.092683	0.072327	0.028369	0.067901	0.118421	0.106481	0.051282	0.159722	0.205882	0.15119	0.298851	0.244444	0.149242	0.093889	0.170833	0.13	0.019178	0.157778	0.184685	0.064815	0.121739	0.193122	0.133333	0.067901	0.12892	0.170068	0.127831	0.130909	0.056777	0.142857	0.195238	0.176744	0.213542	0.137466	0.12892	0.095628	0.183051	0.15873	0.0	0.060119	0.183333	0.081301	0.068027	0.108025	0.12043	0.118519	0.124183	0.063333	0.108943	0.1	0.123188	0.134783	0.096987	0.044444	0.150538	0.064052	0.125731	0.100575	0.111111	0.20598	0.081845	0.075472	0.126344	0.104978	0.110119	0.104301	0.201389	0.237838	0.202432	0.162698	0.166667	0.049383	0.122807	0.177083	0.116667	0.185366	0.064426	0.07619	0.141026	0.059341	0.153153	0.227778	
