data	D00040	D00066	D00067	D00075	D00088	D00094	D00105	D00129	D00143	D00163	D00182	D00187	D00188	D00211	D00246	D00279	D00299	D00312	D00316	D00327	D00348	D00443	D00462	D00506	D00554	D00565	D00577	D00585	D00586	D00596	D00627	D00690	D00730	D00898	D00930	D00950	D00951	D00954	D00956	D00961	D00962	D00965	D01115	D01132	D01161	D01217	D01294	D01387	D01441	D01689	D02217	D02367	D04066	D05341	
D00040	1.0	0.494643	0.302606	0.436094	0.465079	0.106011	0.319798	0.346024	0.742211	0.587624	0.423206	0.420295	0.470888	0.163077	0.381838	0.049123	0.455675	0.211804	0.018182	0.450794	0.106011	0.391438	0.496678	0.037037	0.329368	0.05914	0.011494	0.336813	0.05	0.025	0.037879	0.337438	0.012579	0.027322	0.379598	0.426063	0.455618	0.426063	0.356587	0.026667	0.050439	0.01875	0.372251	0.058462	0.300102	0.474586	0.420598	0.347997	0.030303	0.3961	0.028169	0.423762	0.257683	0.054701	
D00066	0.494643	1.0	0.308964	0.636341	0.615819	0.107345	0.262083	0.301081	0.626076	0.537339	0.565449	0.339087	0.35974	0.15515	0.425739	0.070513	0.289544	0.263997	0.043716	0.608826	0.107345	0.573793	0.638765	0.147826	0.287646	0.090643	0.012121	0.397694	0.055556	0.064865	0.042328	0.366747	0.056738	0.011299	0.232131	0.562126	0.392271	0.562126	0.50027	0.041905	0.069444	0.087963	0.531206	0.072222	0.307609	0.836111	0.468906	0.435923	0.075203	0.473841	0.061538	0.517566	0.282176	0.021622	
D00067	0.302606	0.308964	1.0	0.405928	0.35608	0.054726	0.836223	0.258147	0.274738	0.298252	0.45929	0.292857	0.323545	0.123943	0.210513	0.107143	0.246465	0.660714	0.060606	0.329133	0.054726	0.31844	0.258766	0.173469	0.738384	0.087432	0.115385	0.359316	0.055556	0.145833	0.112842	0.279158	0.159722	0.107143	0.235765	0.45733	0.188478	0.45733	0.567687	0.093897	0.051535	0.105263	0.296019	0.108466	0.486389	0.294885	0.259925	0.242656	0.077255	0.300269	0.118229	0.445565	0.582295	0.026984	
D00075	0.436094	0.636341	0.405928	1.0	0.687851	0.075269	0.400685	0.323587	0.490425	0.463386	0.701587	0.416902	0.453773	0.156155	0.378718	0.074074	0.356437	0.33683	0.047619	0.588449	0.075269	0.552682	0.485772	0.100694	0.358932	0.067797	0.017857	0.418219	0.058824	0.060811	0.030769	0.35119	0.076389	0.016667	0.2531	0.698186	0.334619	0.698186	0.653319	0.042254	0.069444	0.062222	0.507775	0.080645	0.37999	0.577584	0.475351	0.391071	0.059524	0.48235	0.078283	0.609632	0.416356	0.029825	
D00088	0.465079	0.615819	0.35608	0.687851	1.0	0.078431	0.304675	0.362856	0.53026	0.5389	0.646878	0.416426	0.445833	0.181971	0.523692	0.058333	0.350556	0.289921	0.028571	0.632242	0.078431	0.503081	0.463527	0.105455	0.353467	0.079487	0.026882	0.429263	0.04955	0.076667	0.032864	0.439607	0.048485	0.025253	0.334261	0.64398	0.366667	0.64398	0.519461	0.060526	0.090043	0.065844	0.508446	0.057971	0.358118	0.558266	0.432455	0.456221	0.082397	0.534336	0.071759	0.579449	0.297732	0.040909	
D00094	0.106011	0.107345	0.054726	0.075269	0.078431	1.0	0.014925	0.161194	0.067708	0.110215	0.085859	0.196923	0.220765	0.167494	0.095775	0.036364	0.143434	0.056225	0.108333	0.10101	0.951515	0.094527	0.060109	0.097222	0.009259	0.024044	0.106667	0.075949	0.049751	0.137255	0.088889	0.088608	0.02	0.163399	0.14	0.085859	0.099502	0.085859	0.061905	0.027778	0.080952	0.077626	0.089202	0.042328	0.028139	0.103825	0.122549	0.094515	0.068273	0.097778	0.041176	0.071642	0.012821	0.125	
D00105	0.319798	0.262083	0.836223	0.400685	0.304675	0.014925	1.0	0.242031	0.300702	0.299393	0.418946	0.266105	0.284286	0.097571	0.192909	0.113208	0.259641	0.554609	0.063492	0.281537	0.014925	0.282289	0.28654	0.09	0.799768	0.091954	0.122449	0.317802	0.057971	0.104167	0.099718	0.250382	0.152174	0.113208	0.231061	0.416331	0.193726	0.416331	0.565533	0.098039	0.053653	0.065789	0.268894	0.095628	0.536222	0.280495	0.232732	0.226562	0.067068	0.259596	0.096296	0.415211	0.680556	0.025	
D00129	0.346024	0.301081	0.258147	0.323587	0.362856	0.161194	0.242031	1.0	0.315861	0.357467	0.315233	0.648457	0.724579	0.219571	0.256769	0.082051	0.525376	0.193351	0.046847	0.31474	0.148756	0.274406	0.252263	0.023077	0.240932	0.087619	0.044776	0.276874	0.028455	0.05303	0.02381	0.218396	0.0125	0.083333	0.712937	0.313082	0.296983	0.313082	0.288215	0.031373	0.051341	0.018315	0.270374	0.06982	0.252656	0.290648	0.268255	0.267947	0.023333	0.324219	0.03252	0.310305	0.198862	0.040392	
D00143	0.742211	0.626076	0.274738	0.490425	0.53026	0.067708	0.300702	0.315861	1.0	0.614302	0.474199	0.350234	0.385253	0.162457	0.41649	0.084848	0.372611	0.222215	0.06455	0.538652	0.067708	0.401369	0.651111	0.054487	0.318312	0.075	0.02924	0.36096	0.072464	0.049784	0.045455	0.350282	0.058824	0.044444	0.310076	0.471284	0.480444	0.471284	0.36339	0.055556	0.065315	0.060606	0.397544	0.072917	0.344677	0.62863	0.412641	0.414021	0.068627	0.421108	0.065217	0.426659	0.310608	0.05	
D00163	0.587624	0.537339	0.298252	0.463386	0.5389	0.110215	0.299393	0.357467	0.614302	1.0	0.45102	0.336046	0.360693	0.161651	0.367506	0.04023	0.366619	0.264324	0.024876	0.490128	0.110215	0.400788	0.5005	0.046296	0.323505	0.044974	0.013559	0.306926	0.056338	0.060606	0.103175	0.303063	0.031447	0.012698	0.352909	0.448105	0.393316	0.448105	0.363731	0.040541	0.089041	0.046414	0.40864	0.055556	0.334415	0.484179	0.381571	0.378077	0.067829	0.411038	0.037559	0.409333	0.269438	0.125225	
D00182	0.423206	0.565449	0.45929	0.701587	0.646878	0.085859	0.418946	0.315233	0.474199	0.45102	1.0	0.371878	0.403668	0.159062	0.417574	0.062147	0.318255	0.359559	0.044118	0.613764	0.085859	0.570917	0.494128	0.091195	0.537801	0.057292	0.027778	0.468167	0.054795	0.070513	0.043478	0.368862	0.069182	0.026042	0.250246	0.996337	0.349495	0.996337	0.64332	0.053333	0.076754	0.058333	0.50348	0.107692	0.363829	0.567725	0.532877	0.390438	0.068182	0.475521	0.088095	0.825964	0.407337	0.050794	
D00187	0.420295	0.339087	0.292857	0.416902	0.416426	0.196923	0.266105	0.648457	0.350234	0.336046	0.371878	1.0	0.815037	0.258176	0.291994	0.036275	0.800072	0.215432	0.073611	0.361698	0.194359	0.36616	0.270034	0.041667	0.253121	0.054795	0.039801	0.29269	0.026423	0.069767	0.028139	0.253072	0.015625	0.079602	0.544623	0.369656	0.291294	0.369656	0.335789	0.023256	0.036398	0.027778	0.339683	0.041228	0.261072	0.353257	0.340099	0.281725	0.045918	0.356212	0.046914	0.382037	0.222045	0.045	
D00188	0.470888	0.35974	0.323545	0.453773	0.445833	0.220765	0.284286	0.724579	0.385253	0.360693	0.403668	0.815037	1.0	0.241304	0.297706	0.041026	0.644444	0.23606	0.048826	0.388342	0.207104	0.379146	0.306465	0.040984	0.275744	0.054286	0.041667	0.338299	0.042735	0.06746	0.029279	0.259108	0.013115	0.082051	0.532074	0.401162	0.330159	0.401162	0.364448	0.024096	0.054217	0.030651	0.338597	0.043379	0.278513	0.376962	0.345981	0.299044	0.045614	0.407033	0.051282	0.415782	0.230852	0.050063	
D00211	0.163077	0.15515	0.123943	0.156155	0.181971	0.167494	0.097571	0.219571	0.162457	0.161651	0.159062	0.258176	0.241304	1.0	0.169504	0.086288	0.240079	0.129272	0.14098	0.174339	0.164303	0.162524	0.127253	0.098127	0.11228	0.092857	0.092883	0.168476	0.053788	0.188026	0.061928	0.186303	0.065556	0.084242	0.235097	0.159062	0.212954	0.159062	0.142626	0.053869	0.108559	0.112162	0.183208	0.075836	0.115352	0.180435	0.220467	0.164513	0.146983	0.191713	0.14512	0.138024	0.146916	0.015873	
D00246	0.381838	0.425739	0.210513	0.378718	0.523692	0.095775	0.192909	0.256769	0.41649	0.367506	0.417574	0.291994	0.297706	0.169504	1.0	0.070313	0.250674	0.17716	0.046575	0.528706	0.095775	0.422058	0.352306	0.09548	0.226915	0.102451	0.0199	0.309989	0.069264	0.076078	0.037778	0.603995	0.046667	0.033333	0.212575	0.417574	0.391465	0.417574	0.333938	0.07	0.075904	0.088353	0.459376	0.076389	0.211294	0.455189	0.423148	0.536382	0.082437	0.57915	0.073593	0.410415	0.18296	0.048019	
