data	D00049	D00059	D00079	D00094	D00095	D00106	D00110	D00113	D00136	D00139	D00180	D00225	D00227	D00232	D00234	D00235	D00241	D00255	D00270	D00274	D00281	D00283	D00295	D00300	D00301	D00306	D00318	D00332	D00336	D00356	D00364	D00371	D00380	D00394	D00397	D00400	D00410	D00411	D00415	D00419	D00422	D00426	D00432	D00437	D00440	D00442	D00443	D00451	D00454	D00465	D00480	D00483	D00493	D00494	D00498	D00499	D00503	D00509	D00513	D00514	D00520	D00521	D00522	D00523	D00524	D00525	D00528	D00540	D00542	D00559	D00560	D00563	D00574	D00598	D00601	D00604	D00606	D00607	D00609	D00613	D00627	D00632	D00635	D00645	D00646	D00665	D00666	D00673	D00674	D00675	D00676	D00682	D00683	D00684	D00687	D00688	D00715	D00726	D00760	D00765	D00769	D00775	D00779	D00780	D00790	D00837	D00838	D00845	D00954	D00965	D00987	D00996	D01020	D01022	D01024	D01051	D01071	D01103	D01118	D01126	D01164	D01227	D01236	D01242	D01269	D01295	D01297	D01324	D01332	D01346	D01352	D01358	D01386	D01390	D01441	D01454	D01462	D01603	D01652	D01692	D01699	D01712	D01713	D01717	D01745	D01782	D01828	D01871	D01891	D01925	D01964	D01965	D01973	D01994	D02007	D02066	D02070	D02076	D02082	D02147	D02149	D02150	D02234	D02237	D02250	D02278	D02279	D02327	D02338	D02340	D02342	D02349	D02354	D02356	D02357	D02358	D02359	D02361	D02374	D02566	D02578	D02588	D02614	D02671	D02721	D02725	D02826	D02884	D02910	D03165	D03187	D03210	D03274	D03365	D03415	D03442	D03490	D03503	D03621	D03642	D03654	D03858	D03879	D03880	D03881	D03966	D04006	D04034	D04040	D04375	D04625	D04716	D04979	D05113	D05129	D05246	D05312	D05341	D05740	D05792	D05938	D06056	D06396
D00049	1.0	0.09091	0.03636	0.0	0.14667	0.0	0.16667	0.16667	0.15385	0.09524	0.04	0.07018	0.01626	0.03636	0.02041	0.08571	0.19231	0.02703	0.03922	0.13889	0.07407	0.04386	0.0	0.08974	0.04751	0.04082	0.04878	0.0	0.05106	0.09091	0.17886	0.0303	0.21667	0.04167	0.21505	0.05376	0.4	0.08305	0.11364	0.02667	0.04255	0.08163	0.04444	0.08844	0.0	0.02055	0.01667	0.09167	0.05	0.15	0.04167	0.04444	0.03333	0.04444	0.04348	0.04301	0.03252	0.0942	0.05882	0.08571	0.06061	0.03472	0.05769	0.06289	0.0	0.0	0.14103	0.12245	0.0	0.0	0.07692	0.19048	0.23333	0.05	0.02299	0.06897	0.0625	0.02222	0.14015	0.06122	0.02	0.07527	0.0942	0.04861	0.06202	0.13768	0.09195	0.04082	0.07801	0.16296	0.10784	0.0	0.07556	0.11212	0.15682	0.06508	0.13208	0.18182	0.03728	0.025	0.11806	0.06452	0.08333	0.03074	0.03604	0.05797	0.04762	0.06011	0.03571	0.13462	0.04831	0.1358	0.06061	0.02326	0.04487	0.14074	0.0381	0.07738	0.03922	0.0	0.07092	0.09677	0.09015	0.03955	0.07345	0.05263	0.13821	0.0381	0.07547	0.14286	0.0	0.07778	0.12903	0.1358	0.08586	0.05263	0.0628	0.04762	0.0915	0.07801	0.08	0.02041	0.04444	0.06349	0.04487	0.05691	0.13821	0.03704	0.08772	0.01471	0.07143	0.06111	0.09804	0.05714	0.01159	0.07907	0.13462	0.03571	0.03955	0.11828	0.08333	0.11828	0.01739	0.02632	0.01899	0.0	0.0	0.15079	0.09302	0.03419	0.05263	0.18182	0.05983	0.04762	0.08772	0.06061	0.10101	0.17143	0.05	0.08046	0.15476	0.02151	0.09259	0.03252	0.0	0.05385	0.04545	0.02273	0.14815	0.03623	0.02516	0.10119	0.11407	0.21739	0.01058	0.02348	0.04878	0.0	0.08046	0.20098	0.08333	0.07527	0.08046	0.0359	0.04403	0.0	0.03125	0.12667	0.02721	0.0	0.12644	0.05072	0.04301	0.07273	0.11364	0.02151	0.07843	0.0	0.04242	0.04505	0.07752	0.04762	0.075
D00059	0.09091	1.0	0.10417	0.05	0.28687	0.10256	0.125	0.12727	0.07273	0.06349	0.11299	0.03145	0.0	0.06061	0.04372	0.08333	0.18421	0.04	0.04965	0.07292	0.075	0.03205	0.0	0.03252	0.07959	0.14881	0.01786	0.08108	0.04918	0.07015	0.0565	0.0	0.08511	0.05185	0.14815	0.20202	0.05691	0.06982	0.0678	0.06452	0.0678	0.03077	0.10494	0.0303	0.01613	0.05159	0.05258	0.05455	0.03704	0.07143	0.02899	0.05426	0.04403	0.0303	0.11515	0.0	0.04321	0.13095	0.06383	0.08333	0.01878	0.08621	0.10753	0.06566	0.0	0.17778	0.02326	0.06154	0.0	0.01961	0.07179	0.05185	0.08511	0.07692	0.1541	0.07143	0.02128	0.01695	0.05738	0.17262	0.10169	0.20877	0.10234	0.06667	0.04678	0.08743	0.12077	0.06557	0.04839	0.06989	0.09231	0.08333	0.13086	0.11692	0.07611	0.08113	0.07246	0.03922	0.03258	0.04579	0.11475	0.09302	0.03922	0.05664	0.04667	0.11623	0.27652	0.08565	0.05721	0.08955	0.11688	0.27048	0.19512	0.10256	0.13889	0.08889	0.0	0.01826	0.02778	0.25641	0.05464	0.06926	0.04044	0.01802	0.12077	0.03846	0.02222	0.02721	0.08586	0.13889	0.08904	0.05303	0.23932	0.27048	0.09188	0.125	0.12987	0.04839	0.02451	0.01042	0.0914	0.0	0.05426	0.12963	0.0199	0.10256	0.17308	0.02667	0.05714	0.13063	0.08375	0.14216	0.1164	0.10759	0.11872	0.14183	0.15591	0.09896	0.10859	0.20833	0.32519	0.24274	0.02486	0.01923	0.05871	0.09756	0.13158	0.07471	0.12963	0.04487	0.08	0.16667	0.02469	0.08333	0.1194	0.13953	0.16984	0.04403	0.07692	0.0303	0.07752	0.14216	0.14493	0.04321	0.0939	0.05195	0.05263	0.0	0.05914	0.05243	0.05641	0.06481	0.07444	0.05	0.03956	0.10347	0.09615	0.0	0.05426	0.07843	0.09444	0.02899	0.22037	0.22831	0.27436	0.15333	0.0	0.07436	0.13333	0.0	0.29074	0.05085	0.02963	0.09848	0.10119	0.10476	0.10484	0.10714	0.05473	0.09028	0.05848	0.07407	0.01786
D00079	0.03636	0.10417	1.0	0.08772	0.06897	0.52802	0.22388	0.14085	0.05921	0.01538	0.79861	0.0	0.00877	0.13462	0.01176	0.04286	0.06452	0.04225	0.0	0.02273	0.0	0.0	0.0	0.0	0.09795	0.12622	0.02632	0.10545	0.02249	0.28714	0.03704	0.01471	0.02899	0.0	0.02817	0.14167	0.03175	0.01599	0.07359	0.46082	0.0	0.02941	0.15238	0.01533	0.0	0.03774	0.12922	0.00855	0.0	0.04935	0.0	0.04688	0.0	0.0	0.09689	0.04427	0.0	0.02381	0.04412	0.03865	0.01075	0.04472	0.03409	0.03371	0.0	0.16667	0.01042	0.05294	0.0	0.03865	0.01099	0.0	0.05882	0.04054	0.1126	0.0	0.02985	0.03663	0.02381	0.02353	0.03571	0.0	0.09957	0.02381	0.04825	0.13853	0.19919	0.0	0.01984	0.02326	0.08929	0.58333	0.04115	0.0448	0.05923	0.04329	0.11905	0.02778	0.04893	0.1622	0.11814	0.0	0.01096	0.06484	0.02315	0.14029	0.11063	0.08608	0.21216	0.02174	0.15385	0.06667	0.02941	0.0	0.04314	0.03571	0.03092	0.07008	0.0	0.10582	0.05556	0.00647	0.01587	0.01042	0.18072	0.02252	0.02917	0.0	0.10843	0.01316	0.63575	0.0	0.12022	0.03125	0.0254	0.04167	0.14695	0.02353	0.04598	0.02381	0.08032	0.0119	0.0	0.12037	0.03448	0.01948	0.05128	0.02113	0.27352	0.11884	0.27631	0.02807	0.1004	0.05719	0.16706	0.04219	0.1375	0.11523	0.04396	0.02941	0.16286	0.0625	0.00813	0.03585	0.03939	0.14583	0.15123	0.10526	0.10135	0.0	0.04167	0.04695	0.0	0.01765	0.14634	0.04478	0.09128	0.05479	0.04054	0.02308	0.0	0.1376	0.05797	0.01039	0.51585	0.27949	0.04825	0.01266	0.02976	0.06328	0.4625	0.01736	0.0155	0.08187	0.03876	0.09972	0.04	0.0	0.0	0.02	0.0823	0.01176	0.0	0.12399	0.11814	0.17677	0.0303	0.02198	0.03909	0.0	0.0303	0.06325	0.01493	0.13333	0.0375	0.03125	0.14035	0.11685	0.02198	0.04024	0.05128	0.01026	0.03333
D00094	0.0	0.05	0.08772	1.0	0.0	0.08658	0.0	0.0	0.02817	0.0	0.07241	0.0	0.0	0.03292	0.0	0.03175	0.05455	0.01538	0.04444	0.025	0.0	0.0	0.0	0.03086	0.01681	0.05479	0.02941	0.17037	0.02193	0.05488	0.0	0.0	0.01587	0.02825	0.0	0.07364	0.01786	0.02198	0.02252	0.04381	0.03196	0.01266	0.02778	0.05263	0.03196	0.0297	0.01916	0.02415	0.0	0.05314	0.01111	0.03509	0.0	0.01149	0.07143	0.06548	0.0	0.01299	0.03279	0.0	0.01984	0.03556	0.0375	0.02675	0.02874	0.0	0.0	0.08889	0.0	0.0	0.0	0.0	0.04918	0.02985	0.05021	0.0	0.0	0.03961	0.0	0.01282	0.03947	0.0	0.08216	0.02193	0.01878	0.14251	0.09639	0.03111	0.02193	0.02137	0.07265	0.07246	0.03153	0.04264	0.01818	0.03333	0.01163	0.01538	0.02913	0.04808	0.0125	0.0	0.02604	0.02821	0.04233	0.04211	0.00952	0.04356	0.0241	0.03614	0.01701	0.0	0.03333	0.02415	0.02083	0.05333	0.06111	0.02326	0.02732	0.05085	0.01299	0.02867	0.0	0.00758	0.05814	0.0625	0.0	0.01587	0.08974	0.0	0.07843	0.0	0.0	0.03571	0.0101	0.0582	0.08877	0.01282	0.0	0.03556	0.0	0.0	0.0	0.03261	0.0	0.03676	0.05714	0.01563	0.04706	0.0	0.05382	0.0	0.0	0.01852	0.02105	0.03241	0.02381	0.02439	0.07114	0.03333	0.02778	0.01639	0.0	0.02998	0.03651	0.05455	0.07692	0.09662	0.0628	0.0	0.05291	0.05291	0.02488	0.08219	0.01136	0.06322	0.0	0.0404	0.02488	0.03509	0.01695	0.0	0.0	0.02451	0.11317	0.05741	0.0	0.01408	0.02597	0.02222	0.06579	0.0549	0.03463	0.0	0.025	0.01421	0.02941	0.0	0.0	0.0	0.0	0.02825	0.0	0.03261	0.025	0.02857	0.0	0.03252	0.08451	0.0	0.06548	0.03653	0.0	0.0	0.0274	0.04598	0.02083	0.07857	0.03252	0.02188	0.02778	0.00952	0.02941
D00095	0.14667	0.28687	0.06897	0.0	1.0	0.05593	0.15646	0.15278	0.06944	0.07619	0.07547	0.05926	0.0	0.06111	0.0303	0.07143	0.14141	0.02273	0.05833	0.07602	0.09091	0.03704	0.0	0.07071	0.06057	0.13667	0.0	0.0	0.03636	0.10169	0.04403	0.0	0.11966	0.03419	0.0813	0.04831	0.08081	0.05147	0.12	0.08025	0.0566	0.02874	0.10417	0.0339	0.0	0.0122	0.04359	0.0625	0.04255	0.06	0.03419	0.03604	0.05072	0.03604	0.16304	0.0	0.04965	0.11667	0.04878	0.21622	0.03704	0.04938	0.03955	0.03825	0.0	0.09524	0.01852	0.05085	0.0	0.04651	0.0565	0.0614	0.11966	0.06522	0.12644	0.08571	0.0	0.0	0.05247	0.12436	0.03571	0.22292	0.04938	0.04242	0.14493	0.05952	0.06566	0.05455	0.05455	0.07273	0.04918	0.04955	0.13591	0.04872	0.04667	0.07943	0.11299	0.06202	0.01468	0.04016	0.07018	0.11111	0.06977	0.05556	0.05426	0.11667	0.15891	0.01878	0.04481	0.0765	0.08108	0.9	0.10526	0.06738	0.11515	0.07407	0.0	0.06878	0.03252	0.02439	0.04242	0.05634	0.06226	0.0199	0.04975	0.04444	0.02516	0.03175	0.02646	0.13095	0.04428	0.06306	0.27604	0.35714	0.01948	0.09302	0.03846	0.02339	0.04444	0.02976	0.0339	0.0	0.03604	0.09204	0.02222	0.04861	0.06667	0.03101	0.11202	0.03653	0.09817	0.1164	0.08621	0.03376	0.05251	0.14815	0.13743	0.07778	0.03535	0.25657	0.43694	0.68	0.01509	0.0	0.01136	0.11429	0.125	0.04403	0.08	0.05185	0.06818	0.18376	0.05072	0.09434	0.13115	0.10526	0.37778	0.05926	0.06522	0.06481	0.11429	0.03234	0.45591	0.04965	0.05333	0.10049	0.15217	0.0	0.08025	0.06186	0.05263	0.07179	0.10192	0.16667	0.00937	0.04679	0.08696	0.0	0.06481	0.08333	0.03509	0.0614	0.23778	0.16115	0.24082	0.08163	0.0	0.08713	0.04242	0.0	0.33333	0.125	0.03509	0.11017	0.05031	0.03431	0.11818	0.0	0.03226	0.03788	0.02564	0.08511	0.02041
D00106	0.0	0.10256	0.52802	0.08658	0.05593	1.0	0.11847	0.09422	0.01875	0.0	0.4945	0.0	0.0	0.09228	0.01163	0.04225	0.06349	0.04167	0.0	0.0	0.0	0.0	0.0	0.0	0.07684	0.1026	0.01282	0.08421	0.0093	0.19307	0.0241	0.0	0.00694	0.0	0.0	0.09104	0.0	0.00495	0.035	0.25196	0.0241	0.01724	0.11187	0.0	0.0241	0.03211	0.09464	0.0	0.0	0.0225	0.0	0.04615	0.0	0.0	0.06883	0.02239	0.0	0.01163	0.04348	0.0281	0.0	0.03175	0.03371	0.01087	0.0	0.15026	0.0	0.02841	0.0	0.01831	0.01087	0.0	0.01389	0.04	0.10884	0.0	0.0	0.02321	0.0	0.01149	0.03529	0.0	0.05761	0.01163	0.03853	0.09877	0.15116	0.02353	0.0	0.0	0.05682	0.4592	0.02811	0.03125	0.03361	0.02954	0.06383	0.0	0.01754	0.11687	0.0549	0.0	0.01081	0.04147	0.01351	0.13949	0.09296	0.03608	0.15304	0.0	0.07925	0.0541	0.02899	0.0	0.02835	0.0	0.01111	0.03043	0.0	0.10417	0.01765	0.0	0.0	0.0	0.12045	0.02667	0.0	0.0	0.10588	0.0	0.50249	0.0	0.09735	0.03077	0.00926	0.0411	0.09899	0.01149	0.01099	0.0	0.04023	0.0	0.0	0.09964	0.0	0.01923	0.0375	0.02083	0.20214	0.11312	0.19476	0.02049	0.06977	0.02336	0.10502	0.02881	0.08314	0.11138	0.03584	0.02899	0.14977	0.05077	0.01626	0.02117	0.03392	0.13099	0.13576	0.0625	0.05769	0.0	0.0411	0.02703	0.0	0.01744	0.06479	0.04412	0.06219	0.01299	0.04	0.02273	0.0	0.10571	0.04714	0.01026	0.6774	0.18157	0.02308	0.0	0.00575	0.03675	0.26663	0.0	0.0	0.06552	0.03831	0.06542	0.03947	0.0	0.0	0.0	0.04118	0.01159	0.0	0.11753	0.11417	0.19641	0.0	0.0	0.04268	0.0	0.02985	0.08831	0.01471	0.09286	0.02439	0.03093	0.0975	0.11436	0.01075	0.03968	0.0122	0.01013	0.00641
D00110	0.16667	0.125	0.22388	0.0	0.15646	0.11847	1.0	0.39506	0.09596	0.06061	0.2623	0.08466	0.01449	0.19524	0.06849	0.04762	0.09259	0.03288	0.05556	0.09333	0.04938	0.06878	0.0	0.11333	0.21546	0.1592	0.02415	0.0	0.05405	0.32813	0.09179	0.01093	0.11149	0.04598	0.14035	0.13169	0.10458	0.08431	0.14646	0.24339	0.02667	0.07556	0.16146	0.1036	0.0	0.03628	0.18128	0.07463	0.07692	0.12308	0.04598	0.05	0.05051	0.04762	0.13636	0.0339	0.04975	0.10952	0.05556	0.13218	0.08017	0.06481	0.07532	0.08658	0.01667	0.21605	0.05455	0.09333	0.0	0.0765	0.10526	0.07602	0.1092	0.02941	0.075	0.04762	0.05172	0.00913	0.10714	0.04825	0.04444	0.07602	0.04505	0.06849	0.16402	0.08219	0.2027	0.02597	0.06757	0.11737	0.07863	0.14341	0.04201	0.10041	0.09952	0.03429	0.27363	0.08743	0.05065	0.14687	0.21212	0.0339	0.08065	0.11412	0.05291	0.13915	0.16612	0.0814	0.25354	0.07917	0.27426	0.15033	0.03279	0.01408	0.10811	0.1401	0.03175	0.14035	0.04444	0.08772	0.05936	0.0947	0.0913	0.03922	0.18222	0.12994	0.07619	0.06111	0.09402	0.15141	0.15148	0.06548	0.2585	0.06667	0.03819	0.0303	0.12222	0.04444	0.09211	0.04	0.14734	0.00866	0.04762	0.2545	0.06061	0.04412	0.09314	0.06011	0.28775	0.13016	0.18849	0.13169	0.2029	0.05498	0.12381	0.04319	0.33333	0.07173	0.03488	0.06215	0.13077	0.13939	0.03192	0.0101	0.03419	0.09091	0.09615	0.12139	0.04695	0.06771	0.04615	0.11475	0.06154	0.0303	0.2619	0.03279	0.15152	0.11475	0.02941	0.06667	0.11111	0.14316	0.14124	0.04975	0.12574	0.21838	0.15104	0.00926	0.11268	0.12773	0.21717	0.07631	0.09577	0.13605	0.01488	0.13389	0.02899	0.0	0.10692	0.1224	0.15174	0.08333	0.07879	0.13527	0.12329	0.19355	0.02825	0.10222	0.0307	0.02874	0.06433	0.14359	0.04678	0.18732	0.06481	0.04981	0.18088	0.0	0.0241	0.05291	0.08333	0.02857	0.03431
D00113	0.16667	0.12727	0.14085	0.0	0.15278	0.09422	0.39506	1.0	0.07463	0.0679	0.16923	0.06878	0.0098	0.29231	0.04054	0.03175	0.07407	0.03341	0.0565	0.07456	0.05031	0.05291	0.0	0.0719	0.40482	0.16162	0.01449	0.01923	0.03243	0.30718	0.06103	0.01667	0.09483	0.04678	0.26797	0.11382	0.09804	0.06549	0.13636	0.1393	0.02703	0.05263	0.14063	0.11111	0.0	0.07168	0.17489	0.08718	0.06154	0.15873	0.04678	0.05091	0.05128	0.04848	0.09453	0.02299	0.05051	0.06944	0.0565	0.12865	0.05833	0.0411	0.04872	0.06838	0.0	0.1697	0.0303	0.20588	0.0	0.07222	0.07792	0.09697	0.10345	0.02985	0.09957	0.04848	0.08333	0.02347	0.07176	0.03947	0.03111	0.04023	0.07407	0.05936	0.18033	0.08219	0.17778	0.02632	0.0787	0.11737	0.0943	0.11494	0.06762	0.06225	0.11546	0.03961	0.29798	0.08197	0.03758	0.1349	0.14976	0.03448	0.08197	0.12165	0.05376	0.16787	0.15519	0.0873	0.21078	0.075	0.21399	0.14667	0.06897	0.02899	0.11416	0.11905	0.0678	0.14667	0.06322	0.07018	0.06944	0.07955	0.06143	0.04365	0.17778	0.04762	0.06763	0.04444	0.09091	0.16092	0.12042	0.08642	0.2381	0.0679	0.02778	0.03077	0.11111	0.04955	0.08772	0.06393	0.17164	0.01316	0.04848	0.18547	0.06579	0.02941	0.08333	0.04372	0.22864	0.13415	0.17843	0.14346	0.15714	0.05965	0.12341	0.04857	0.56364	0.09649	0.02713	0.10119	0.1586	0.1358	0.02254	0.01538	0.06734	0.08642	0.0915	0.12139	0.07246	0.05208	0.03077	0.14035	0.0625	0.0307	0.24413	0.03333	0.10714	0.10929	0.01471	0.0679	0.09259	0.15088	0.11864	0.05051	0.0856	0.17167	0.14286	0.01408	0.10798	0.13585	0.12381	0.05952	0.08169	0.13194	0.01507	0.09684	0.02941	0.0	0.0679	0.11202	0.17692	0.06548	0.04167	0.12243	0.12037	0.19126	0.01695	0.08772	0.01754	0.02924	0.06548	0.18817	0.04762	0.22126	0.07619	0.05039	0.23487	0.0	0.02846	0.07104	0.07843	0.02899	0.04478
D00136	0.15385	0.07273	0.05921	0.02817	0.06944	0.01875	0.09596	0.07463	1.0	0.06536	0.06036	0.14881	0.01026	0.06579	0.18413	0.06433	0.21212	0.02623	0.1634	0.36842	0.10638	0.17901	0.0	0.12057	0.1921	0.03241	0.03077	0.05674	0.16508	0.04167	0.18579	0.01754	0.15359	0.05455	0.17949	0.10288	0.17391	0.13077	0.08586	0.04158	0.04348	0.19792	0.01932	0.03604	0.01389	0.05842	0.03049	0.0929	0.10169	0.18391	0.03571	0.03704	0.25641	0.03704	0.03922	0.10458	0.25157	0.13131	0.02299	0.06433	0.10222	0.1202	0.07568	0.14524	0.0	0.0	0.05229	0.13043	0.0	0.0	0.22974	0.08805	0.26241	0.07778	0.05	0.10204	0.09434	0.07513	0.16354	0.11443	0.04537	0.10897	0.10294	0.06667	0.08333	0.22581	0.16	0.04225	0.13333	0.13433	0.10417	0.01579	0.07941	0.10833	0.09608	0.05152	0.0641	0.24	0.04175	0.06	0.07981	0.07051	0.12121	0.05014	0.15432	0.10345	0.05291	0.17544	0.05128	0.11872	0.07116	0.06667	0.05455	0.00995	0.04889	0.19577	0.03448	0.12889	0.09091	0.01724	0.30994	0.09524	0.15806	0.04878	0.07317	0.14167	0.15054	0.05172	0.06579	0.13333	0.01705	0.08974	0.05455	0.06667	0.12627	0.08621	0.09091	0.0411	0.13333	0.05164	0.15098	0.0137	0.03704	0.18615	0.14493	0.10929	0.09896	0.06897	0.06667	0.01087	0.05376	0.10549	0.10648	0.19106	0.03077	0.08182	0.06494	0.0	0.08439	0.06173	0.04975	0.06173	0.03922	0.02004	0.05488	0.01818	0.01923	0.13542	0.12903	0.21384	0.04444	0.08772	0.19394	0.14141	0.09957	0.04848	0.12346	0.17857	0.02604	0.11333	0.12667	0.0155	0.1369	0.05291	0.01938	0.05556	0.01961	0.01471	0.15897	0.05655	0.10476	0.14155	0.19048	0.02667	0.01282	0.07363	0.0765	0.0	0.1844	0.27778	0.15556	0.14667	0.11333	0.06589	0.07658	0.01449	0.01786	0.22338	0.08213	0.0566	0.08497	0.06863	0.05556	0.08333	0.06373	0.04365	0.04444	0.0293	0.07456	0.03444	0.24561	0.05291	0.12429
D00139	0.09524	0.06349	0.01538	0.0	0.07619	0.0	0.06061	0.0679	0.06536	1.0	0.01667	0.05674	0.02721	0.01538	0.09198	0.11111	0.07207	0.11707	0.08943	0.10345	0.07619	0.05797	0.0	0.06667	0.01987	0.04678	0.01961	0.0	0.08765	0.05641	0.0679	0.04878	0.0754	0.05833	0.09302	0.06667	0.07407	0.08137	0.0679	0.01111	0.04848	0.06322	0.0915	0.0565	0.0	0.025	0.00714	0.09028	0.05556	0.0719	0.05833	0.14286	0.07801	0.0614	0.04938	0.01626	0.07639	0.05952	0.10833	0.06061	0.06878	0.05298	0.06611	0.0765	0.0	0.0	0.03604	0.06111	0.0	0.0	0.04785	0.06667	0.0873	0.10145	0.03535	0.07207	0.04878	0.01852	0.10123	0.08333	0.05205	0.05833	0.05952	0.08485	0.05128	0.06322	0.06863	0.04678	0.07879	0.08187	0.06831	0.0	0.06061	0.04925	0.08303	0.03774	0.05641	0.03623	0.04078	0.01111	0.05085	0.06838	0.05926	0.02827	0.08333	0.06061	0.05333	0.04695	0.01515	0.05729	0.06579	0.07207	0.11966	0.01282	0.11696	0.08333	0.01481	0.05051	0.05556	0.0	0.14744	0.08451	0.05879	0.06566	0.04831	0.0383	0.06289	0.05426	0.0582	0.07376	0.0	0.05983	0.06504	0.07207	0.03162	0.05797	0.04219	0.05848	0.06557	0.08485	0.06441	0.03509	0.0614	0.05023	0.09195	0.05333	0.15278	0.05303	0.08718	0.00641	0.07265	0.08955	0.07104	0.07265	0.00506	0.06289	0.05729	0.01515	0.05473	0.06504	0.04938	0.06504	0.02716	0.02128	0.0233	0.0	0.0	0.0679	0.07051	0.1037	0.10606	0.07407	0.07092	0.07738	0.05473	0.06504	0.05426	0.0942	0.05556	0.0614	0.21569	0.00926	0.09848	0.07639	0.0	0.07176	0.05128	0.03846	0.12346	0.033	0.01058	0.04902	0.0538	0.04762	0.061	0.02875	0.09929	0.0	0.0614	0.06028	0.06667	0.05833	0.0614	0.03153	0.03763	0.0	0.05	0.04954	0.04678	0.025	0.06838	0.04242	0.05983	0.08602	0.16327	0.05314	0.11111	0.0	0.05291	0.05926	0.07051	0.05333	0.07639
