data	D00035	D00110	D00136	D00195	D00219	D00225	D00227	D00228	D00234	D00252	D00274	D00283	D00293	D00294	D00303	D00319	D00326	D00329	D00331	D00332	D00335	D00336	D00338	D00340	D00345	D00349	D00351	D00354	D00358	D00364	D00367	D00373	D00379	D00380	D00392	D00394	D00418	D00437	D00438	D00451	D00456	D00464	D00474	D00477	D00480	D00495	D00499	D00504	D00512	D00513	D00519	D00521	D00524	D00528	D00530	D00533	D00536	D00537	D00538	D00539	D00542	D00543	D00544	D00545	D00546	D00547	D00548	D00549	D00550	D00552	D00553	D00560	D00563	D00574	D00593	D00594	D00607	D00611	D00615	D00616	D00617	D00618	D00619	D00629	D00631	D00633	D00636	D00638	D00639	D00640	D00642	D00647	D00648	D00649	D00650	D00651	D00654	D00656	D00658	D00677	D00678	D00694	D00697	D00704	D00708	D00709	D00711	D00726	D00732	D00733	D00735	D00738	D00739	D00740	D00741	D00759	D00760	D00761	D00765	D00771	D00775	D00779	D00791	D00798	D00799	D00809	D00812	D00816	D00823	D00831	D00960	D00963	D00964	D01071	D01108	D01111	D01118	D01242	D01243	D01253	D01256	D01275	D01287	D01295	D01350	D01448	D01450	D01453	D01575	D01599	D01603	D01712	D01768	D01799	D01828	D01854	D01969	D02041	D02086	D02087	D02088	D02092	D02098	D02101	D02163	D02173	D02204	D02207	D02234	D02237	D02253	D02261	D02262	D02272	D02347	D02356	D02360	D02362	D02409	D02461	D02485	D02546	D02566	D02630	D02914	D03037	D03180	D03274	D03365	D03450	D03580	D03742	D03826	D03830	D03878	D03991	D04034	D04048	D04370	D04790	D04985	D04999	D05024	D05077	D05156	D05453	D05458	D05461	D06106	D06172
D00035	1.0	0.23016	0.04167	0.11538	0.04921	0.0	0.01481	0.0	0.03774	0.0625	0.03509	0.0	0.0	0.01802	0.0	0.04667	0.0	0.02041	0.01449	0.0	0.03974	0.03974	0.0	0.0122	0.03401	0.04403	0.10769	0.0	0.05556	0.08163	0.0	0.07692	0.0625	0.06579	0.06667	0.0	0.02564	0.04242	0.03646	0.01418	0.0	0.0	0.05714	0.05263	0.0	0.1	0.0381	0.04938	0.05405	0.0	0.01163	0.05769	0.0	0.0202	0.0	0.0404	0.05556	0.07879	0.0202	0.07143	0.0	0.0	0.0	0.0	0.0	0.0	0.07895	0.0	0.0	0.10714	0.09677	0.05172	0.02703	0.05128	0.03388	0.10526	0.02041	0.03125	0.0328	0.1358	0.03333	0.03955	0.0	0.03955	0.02174	0.0	0.03571	0.08621	0.0	0.07692	0.08889	0.01515	0.05108	0.04762	0.00877	0.00926	0.01042	0.01389	0.0102	0.16667	0.0	0.03509	0.05185	0.0	0.09091	0.02857	0.0	0.04878	0.07895	0.04545	0.10526	0.08108	0.05128	0.08108	0.07692	0.06489	0.02881	0.04762	0.10746	0.0	0.0	0.04878	0.02976	0.07317	0.03636	0.0	0.0625	0.0	0.0	0.11111	0.0	0.16667	0.0	0.03419	0.02632	0.18367	0.0	0.01538	0.09091	0.04762	0.00943	0.06481	0.175	0.0	0.01952	0.05797	0.12821	0.01905	0.03846	0.05682	0.01818	0.01887	0.04651	0.0625	0.02	0.08506	0.0	0.14966	0.05263	0.06803	0.05714	0.0339	0.04762	0.05686	0.06965	0.06918	0.0	0.06522	0.01307	0.05833	0.02614	0.12893	0.0819	0.09652	0.02976	0.0	0.14286	0.15079	0.02941	0.08658	0.01667	0.15447	0.02857	0.0	0.02525	0.06349	0.03922	0.08333	0.06667	0.08333	0.07073	0.12879	0.05108	0.09903	0.05556	0.11111	0.08772	0.16667	0.17391	0.19935	0.03252	0.19355	0.10145	0.07092	0.07407	0.0	0.0	0.00877	0.04878	0.06061
D00110	0.23016	1.0	0.09596	0.23184	0.12568	0.08466	0.01449	0.06667	0.06849	0.07692	0.09333	0.06878	0.1092	0.05085	0.07778	0.09048	0.08743	0.09453	0.08205	0.0	0.06306	0.05405	0.09596	0.07322	0.12121	0.10185	0.12048	0.04444	0.05172	0.09179	0.07104	0.06557	0.07204	0.11149	0.02469	0.04598	0.03226	0.1036	0.0754	0.07463	0.11475	0.0904	0.16026	0.11111	0.04598	0.03704	0.0339	0.12766	0.10909	0.05556	0.07619	0.06481	0.01667	0.05455	0.07729	0.15333	0.17949	0.13874	0.09434	0.02564	0.0	0.0	0.02041	0.0	0.0	0.01923	0.29932	0.0719	0.06667	0.17391	0.10256	0.10526	0.07602	0.1092	0.05622	0.14414	0.00913	0.0	0.11392	0.18519	0.0764	0.09829	0.02954	0.08017	0.11828	0.06	0.10959	0.04016	0.0303	0.06667	0.14892	0.0625	0.06667	0.05208	0.12685	0.1372	0.06569	0.02817	0.06957	0.28962	0.10448	0.08889	0.10938	0.0	0.1634	0.09091	0.13462	0.08743	0.14286	0.09524	0.07104	0.05	0.03175	0.14545	0.07104	0.14324	0.05065	0.09397	0.14687	0.03922	0.0339	0.08065	0.04274	0.06349	0.04329	0.04598	0.04938	0.04848	0.08466	0.11712	0.02817	0.28535	0.03279	0.03175	0.01075	0.33333	0.04444	0.03922	0.09877	0.0929	0.06575	0.15357	0.14208	0.12994	0.04189	0.0696	0.04688	0.05263	0.05787	0.06768	0.04444	0.00866	0.05128	0.07204	0.09314	0.16955	0.03333	0.38506	0.05	0.11275	0.05263	0.09091	0.05208	0.12358	0.05993	0.15217	0.0	0.13968	0.03192	0.0101	0.02667	0.18148	0.10992	0.1373	0.09459	0.0303	0.27273	0.20339	0.11471	0.22791	0.04527	0.12903	0.06667	0.02954	0.08941	0.04264	0.03448	0.09577	0.13605	0.05	0.13012	0.23164	0.12564	0.1873	0.15686	0.08854	0.10222	0.13757	0.29944	0.3	0.03077	0.15385	0.10606	0.11616	0.12593	0.10526	0.08333	0.04781	0.02051	0.05455
D00136	0.04167	0.09596	1.0	0.01709	0.15556	0.14881	0.01026	0.10303	0.18413	0.08	0.36842	0.17901	0.2	0.14966	0.12778	0.09744	0.1131	0.23214	0.08889	0.05674	0.06961	0.16508	0.17241	0.0744	0.16667	0.03704	0.23423	0.09434	0.11538	0.18579	0.19608	0.10119	0.08929	0.15359	0.04	0.05455	0.02299	0.03604	0.04065	0.0929	0.0678	0.16026	0.14286	0.21528	0.03571	0.06	0.10458	0.05926	0.12821	0.02299	0.06497	0.1202	0.0	0.05229	0.11111	0.14894	0.11765	0.02532	0.03922	0.08696	0.0	0.0	0.0	0.0	0.0	0.0	0.11728	0.05674	0.10734	0.1746	0.06667	0.22974	0.08805	0.26241	0.10901	0.10811	0.07513	0.03268	0.07257	0.13242	0.06977	0.03419	0.13725	0.04329	0.10556	0.06667	0.15423	0.07895	0.0	0.06897	0.03137	0.19136	0.14836	0.10345	0.0881	0.08578	0.06614	0.06771	0.0873	0.08571	0.06154	0.15196	0.15789	0.02083	0.12245	0.01818	0.16667	0.24	0.21088	0.1462	0.12037	0.04678	0.10494	0.21528	0.17308	0.07559	0.04175	0.03574	0.06	0.10606	0.07051	0.12121	0.10952	0.0977	0.11111	0.05455	0.03846	0.03774	0.1092	0.04386	0.03535	0.03376	0.07879	0.03448	0.01724	0.0892	0.09091	0.04878	0.0641	0.24183	0.08209	0.06	0.04167	0.14167	0.00476	0.10714	0.04098	0.05031	0.04357	0.09167	0.0411	0.0137	0.11494	0.09821	0.09896	0.05103	0.1256	0.08451	0.11111	0.10769	0.03636	0.35593	0.125	0.02151	0.11789	0.03153	0.00893	0.04677	0.03922	0.02004	0.0597	0.03419	0.05556	0.05435	0.13725	0.14141	0.11111	0.05641	0.07323	0.14444	0.1791	0.01493	0.11333	0.52133	0.02745	0.25604	0.08497	0.19048	0.02667	0.08676	0.03191	0.07813	0.05081	0.10985	0.07981	0.12994	0.22338	0.04545	0.08824	0.05067	0.0565	0.12	0.16667	0.11111	0.01732	0.24638	0.02899	0.06265	0.10526	0.03774
D00195	0.11538	0.23184	0.01709	1.0	0.0274	0.03241	0.0	0.08854	0.07265	0.0678	0.03922	0.0628	0.04975	0.0303	0.03111	0.02469	0.04348	0.05778	0.02222	0.0	0.0241	0.05	0.04444	0.01408	0.02991	0.03614	0.07609	0.02985	0.0303	0.02917	0.04902	0.07576	0.02817	0.02899	0.01639	0.04688	0.01449	0.03529	0.02105	0.05405	0.04225	0.03431	0.04688	0.02941	0.03077	0.0	0.0	0.05357	0.0303	0.06667	0.0137	0.04583	0.0	0.0	0.0211	0.04918	0.04615	0.12833	0.04918	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10417	0.0339	0.0463	0.0339	0.06667	0.04651	0.09836	0.02899	0.02174	0.09036	0.0	0.0	0.02151	0.13583	0.02333	0.03371	0.04819	0.02222	0.02703	0.03509	0.04365	0.05303	0.06215	0.07071	0.30852	0.04225	0.01418	0.0	0.04365	0.03252	0.02597	0.02597	0.01266	0.124	0.03896	0.02713	0.01299	0.0	0.08197	0.05914	0.04839	0.01389	0.02899	0.06103	0.08586	0.04478	0.08718	0.02941	0.02857	0.10286	0.02879	0.16057	0.16654	0.03509	0.03077	0.08955	0.06098	0.07353	0.06584	0.04688	0.0678	0.04918	0.04225	0.08333	0.01282	0.24074	0.01961	0.01429	0.0	0.12889	0.02985	0.02151	0.06452	0.03286	0.02439	0.19195	0.1201	0.03521	0.0619	0.05442	0.05714	0.0	0.02263	0.02667	0.0241	0.0	0.05164	0.02817	0.05195	0.08426	0.05159	0.16937	0.02941	0.06494	0.03077	0.05039	0.05238	0.50556	0.05208	0.39508	0.0	0.12312	0.04211	0.01878	0.0	0.35522	0.2311	0.24629	0.0155	0.03659	0.13636	0.20053	0.0375	0.10858	0.0303	0.0913	0.04839	0.01149	0.03125	0.04348	0.0	0.04228	0.11212	0.03409	0.48925	0.29944	0.09612	0.1448	0.11255	0.11765	0.03831	0.11667	0.1274	0.15696	0.0	0.06349	0.09574	0.06667	0.12237	0.06154	0.05455	0.01163	0.0	0.03175
D00219	0.04921	0.12568	0.15556	0.0274	1.0	0.06548	0.01111	0.04403	0.05641	0.09457	0.1545	0.02924	0.10667	0.18939	0.07471	0.0914	0.14667	0.0904	0.17308	0.04651	0.58182	0.55909	0.09195	0.17758	0.19753	0.07071	0.06835	0.05882	0.05578	0.08306	0.06289	0.12	0.6283	0.33798	0.0237	0.02614	0.07843	0.06863	0.08889	0.13939	0.11321	0.07051	0.2	0.17536	0.02614	0.06212	0.16667	0.18519	0.11489	0.03774	0.22619	0.12022	0.0	0.05797	0.11299	0.21667	0.15704	0.01892	0.15873	0.14211	0.0	0.0	0.0	0.0	0.0	0.0	0.11701	0.09524	0.04598	0.18596	0.08485	0.14872	0.04667	0.26512	0.45556	0.12353	0.07458	0.04348	0.16425	0.10725	0.07407	0.06481	0.05392	0.09524	0.10303	0.1	0.09846	0.11863	0.0	0.04528	0.06329	0.09434	0.09188	0.08931	0.16436	0.21972	0.15498	0.0791	0.15816	0.14624	0.10169	0.06961	0.08772	0.0	0.20488	0.05556	0.16279	0.11895	0.14722	0.10818	0.24148	0.0966	0.07051	0.15035	0.18582	0.08846	0.03333	0.0233	0.03889	0.02326	0.06122	0.13072	0.0796	0.11538	0.08081	0.02614	0.02837	0.02778	0.14103	0.06667	0.04918	0.05185	0.09722	0.14583	0.02692	0.07065	0.02516	0.02222	0.08116	0.08302	0.16142	0.06268	0.0655	0.04762	0.01895	0.08642	0.08553	0.05556	0.05122	0.6015	0.0408	0.00588	0.08765	0.62449	0.12184	0.08559	0.0628	0.09192	0.05359	0.07527	0.03537	0.14974	0.13856	0.01515	0.08101	0.02857	0.01569	0.03395	0.02292	0.09412	0.08602	0.06944	0.06992	0.06825	0.23977	0.05556	0.0565	0.11111	0.09602	0.10851	0.08095	0.01613	0.11111	0.05147	0.05895	0.06311	0.15152	0.08021	0.06818	0.08782	0.04291	0.07778	0.08816	0.0881	0.05075	0.2375	0.08676	0.05763	0.15111	0.04886	0.10256	0.15303	0.04341	0.07778	0.04225	0.125	0.04878	0.03887	0.12133	0.03688
D00225	0.0	0.08466	0.14881	0.03241	0.06548	1.0	0.0	0.13605	0.0776	0.07407	0.12121	0.20408	0.1773	0.12057	0.15062	0.08602	0.10256	0.14881	0.06897	0.0	0.0398	0.10582	0.15152	0.0303	0.12644	0.04478	0.08439	0.15942	0.04667	0.0914	0.22464	0.08974	0.04848	0.05031	0.0	0.06803	0.03145	0.04831	0.02954	0.0565	0.10063	0.47368	0.0922	0.05128	0.06803	0.0	0.0	0.08333	0.18519	0.06536	0.02924	0.11967	0.0	0.0	0.05914	0.0963	0.09028	0.0	0.09848	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07843	0.07937	0.60526	0.06202	0.07407	0.07095	0.11348	0.05031	0.03509	0.09859	0.0	0.0	0.05702	0.05936	0.0373	0.04566	0.05314	0.03153	0.12963	0.03968	0.08458	0.02193	0.05185	0.06289	0.04167	0.04678	0.02991	0.03509	0.08458	0.10582	0.02688	0.0791	0.04301	0.08081	0.0904	0.32143	0.08046	0.0	0.0942	0.0	0.0963	0.10897	0.05031	0.10303	0.04938	0.04487	0.03086	0.05128	0.04938	0.04153	0.02396	0.04542	0.0	0.2037	0.03333	0.10256	0.04831	0.08642	0.04902	0.06803	0.07407	0.07246	0.09877	0.07246	0.04372	0.0	0.08667	0.0	0.0	0.06373	0.06536	0.05702	0.07092	0.19048	0.02488	0.05364	0.03955	0.16533	0.0	0.03922	0.04167	0.0	0.07619	0.0452	0.04975	0.0	0.04094	0.04848	0.04839	0.04274	0.07246	0.06373	0.04487	0.0914	0.04762	0.11765	0.02924	0.03065	0.04016	0.04902	0.0	0.02035	0.03386	0.0	0.0	0.04566	0.03876	0.03788	0.05314	0.05473	0.1859	0.05556	0.06878	0.05674	0.09804	0.0	0.17054	0.14762	0.04167	0.08889	0.0	0.11746	0.03704	0.03653	0.02996	0.05464	0.04274	0.04924	0.08081	0.07602	0.19426	0.03825	0.08333	0.0	0.0	0.11594	0.08333	0.09444	0.02315	0.11111	0.08547	0.02265	0.0	0.04965
D00227	0.01481	0.01449	0.01026	0.0	0.01111	0.0	1.0	0.0	0.00952	0.01361	0.00901	0.0	0.0	0.01887	0.0	0.01471	0.0	0.0	0.01613	0.0	0.00952	0.00952	0.0	0.02619	0.01515	0.01408	0.0155	0.0	0.03922	0.0098	0.0	0.0117	0.01379	0.02667	0.01418	0.0	0.0	0.0137	0.0122	0.05	0.02299	0.0	0.01282	0.01212	0.0	0.01389	0.01923	0.02273	0.01235	0.02469	0.02529	0.01932	0.0	0.15873	0.0101	0.02	0.01258	0.00877	0.02041	0.01481	0.0	0.0	0.0	0.0	0.0	0.0	0.03704	0.03704	0.01093	0.01449	0.01361	0.0463	0.0	0.0119	0.00844	0.01732	0.01026	0.0	0.00823	0.00855	0.01136	0.01299	0.0137	0.01299	0.0	0.0	0.00913	0.00855	0.02837	0.0117	0.02846	0.01667	0.0225	0.02299	0.02037	0.02126	0.02328	0.01563	0.02292	0.03865	0.02083	0.00901	0.02688	0.0	0.01307	0.0	0.0	0.01149	0.0119	0.03955	0.0117	0.03774	0.0	0.01212	0.0117	0.00941	0.02405	0.01404	0.0066	0.01515	0.01282	0.0	0.0	0.0113	0.0	0.0	0.0	0.0	0.0	0.00889	0.01042	0.00866	0.0	0.01786	0.01235	0.00913	0.0	0.25556	0.01307	0.0113	0.02157	0.01957	0.03333	0.0	0.01467	0.02273	0.03509	0.19841	0.00966	0.0129	0.02381	0.40909	0.01111	0.01379	0.07778	0.00813	0.01351	0.05882	0.03774	0.01471	0.04	0.00877	0.0113	0.01111	0.00766	0.0	0.0	0.0059	0.0	0.02339	0.04545	0.01754	0.04215	0.0412	0.0137	0.01408	0.0	0.0	0.11889	0.008	0.00877	0.0	0.0	0.0	0.02169	0.00813	0.01961	0.01389	0.0	0.00877	0.01832	0.01026	0.0481	0.01812	0.02347	0.01075	0.00866	0.03226	0.0398	0.00855	0.01724	0.01282	0.02247	0.01515	0.01351	0.0	0.0	0.0338	0.01149	0.04167
D00228	0.0	0.06667	0.10303	0.08854	0.04403	0.13605	0.0	1.0	0.10621	0.08943	0.07179	0.16312	0.12319	0.02837	0.10314	0.03279	0.14184	0.10303	0.04848	0.025	0.02083	0.04762	0.10494	0.03268	0.10119	0.04233	0.09778	0.04255	0.02837	0.06667	0.19697	0.15217	0.04575	0.06944	0.0	0.08148	0.03401	0.04615	0.02667	0.07407	0.08	0.20155	0.09302	0.07092	0.08148	0.0	0.0	0.08333	0.15504	0.08696	0.03145	0.11954	0.0	0.0	0.05747	0.11382	0.09091	0.0	0.07317	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07801	0.07895	0.11111	0.05983	0.1	0.09641	0.21667	0.04762	0.03241	0.15104	0.0226	0.0	0.06481	0.08333	0.04333	0.04348	0.07813	0.02857	0.13072	0.03509	0.08466	0.04762	0.05691	0.14493	0.08219	0.0566	0.03604	0.0	0.06771	0.08889	0.02874	0.0113	0.02825	0.06349	0.07143	0.14208	0.02924	0.0	0.09524	0.04444	0.09756	0.07333	0.04762	0.10458	0.06803	0.04861	0.11594	0.04861	0.02614	0.04825	0.01935	0.0702	0.02105	0.03509	0.02899	0.17778	0.08995	0.14583	0.0914	0.08148	0.11667	0.11382	0.13605	0.06061	0.02874	0.0	0.04082	0.0	0.0	0.0625	0.07801	0.05023	0.09524	0.09333	0.04301	0.06504	0.04242	0.16809	0.0	0.07173	0.04487	0.0	0.06889	0.04242	0.0582	0.0	0.0641	0.06667	0.06433	0.04955	0.07179	0.0625	0.02721	0.20755	0.02899	0.06965	0.06536	0.06835	0.07359	0.07527	0.0	0.03084	0.0655	0.01258	0.0	0.09091	0.07173	0.06996	0.06154	0.08065	0.10692	0.14103	0.0678	0.05128	0.05392	0.0	0.16667	0.07708	0.03947	0.05405	0.0	0.0582	0.05833	0.08081	0.06667	0.09091	0.07981	0.06827	0.0914	0.08805	0.06681	0.04094	0.06557	0.0	0.0	0.11905	0.04418	0.21569	0.03483	0.18699	0.08571	0.06129	0.0	0.0303
D00234	0.03774	0.06849	0.18413	0.07265	0.05641	0.0776	0.00952	0.10621	1.0	0.07284	0.13653	0.11421	0.08222	0.03955	0.10872	0.03153	0.12111	0.08725	0.07525	0.0	0.05856	0.11643	0.07255	0.01795	0.09082	0.04825	0.07333	0.0565	0.04444	0.16566	0.09889	0.10444	0.0929	0.05464	0.01786	0.08655	0.04032	0.03797	0.02652	0.09091	0.13333	0.08278	0.05172	0.03825	0.06782	0.0	0.03333	0.08163	0.08506	0.09195	0.00735	0.22396	0.0	0.0	0.05117	0.05238	0.06897	0.0	0.05455	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04839	0.08667	0.0601	0.04487	0.07407	0.29293	0.15309	0.05464	0.09583	0.15956	0.00901	0.05455	0.03372	0.10464	0.05507	0.04878	0.17524	0.02811	0.13333	0.05333	0.04177	0.06996	0.0679	0.09889	0.10317	0.12258	0.04961	0.01471	0.07851	0.07162	0.0162	0.03521	0.01598	0.08	0.12121	0.06368	0.08209	0.01887	0.09091	0.0339	0.05357	0.01768	0.03763	0.13387	0.15205	0.09605	0.1697	0.03825	0.04233	0.10185	0.10544	0.0934	0.01835	0.09184	0.13836	0.17544	0.09244	0.10108	0.0982	0.06782	0.09308	0.07152	0.1172	0.0654	0.05	0.01163	0.07111	0.01538	0.0	0.10811	0.04809	0.05804	0.07143	0.0957	0.02851	0.04811	0.10256	0.12568	0.0	0.07985	0.10753	0.0	0.07032	0.08718	0.04737	0.01282	0.05303	0.07527	0.05634	0.04961	0.16385	0.03797	0.04301	0.11981	0.0452	0.13289	0.05729	0.05018	0.0779	0.04762	0.0	0.07419	0.13304	0.04167	0.01754	0.11255	0.08074	0.07899	0.05897	0.18039	0.07861	0.08358	0.04054	0.06797	0.04228	0.0	0.0897	0.15681	0.03333	0.08254	0.0339	0.08063	0.07692	0.06042	0.04912	0.12121	0.03333	0.08794	0.05108	0.18222	0.0953	0.0995	0.08219	0.01938	0.01493	0.08929	0.13598	0.12338	0.05063	0.08046	0.10638	0.04545	0.0303	0.04678
D00252	0.0625	0.07692	0.08	0.0678	0.09457	0.07407	0.01361	0.08943	0.07284	1.0	0.08046	0.10078	0.16667	0.10811	0.07341	0.07974	0.07752	0.13475	0.07092	0.0	0.08782	0.12876	0.13768	0.02652	0.14894	0.08931	0.08571	0.04333	0.14074	0.1875	0.13333	0.0873	0.1375	0.12393	0.05882	0.27273	0.0155	0.09091	0.06256	0.07801	0.08527	0.0813	0.16667	0.11111	0.2	0.08824	0.08108	0.27778	0.19444	0.09573	0.02536	0.06545	0.0	0.01802	0.03974	0.53333	0.1619	0.01563	0.13542	0.09677	0.0	0.0	0.0	0.0	0.0	0.0	0.11966	0.05417	0.0963	0.10753	0.22222	0.06556	0.14815	0.10833	0.08033	0.12429	0.03205	0.0	0.0963	0.08743	0.09938	0.08475	0.03333	0.06778	0.1087	0.07778	0.08929	0.06989	0.06078	0.21053	0.04348	0.08148	0.05303	0.05926	0.1	0.08491	0.04333	0.02614	0.02244	0.12579	0.07483	0.09357	0.04082	0.0	0.17172	0.0	0.07619	0.08527	0.0813	0.13953	0.07937	0.13333	0.03101	0.08333	0.07937	0.06463	0.04578	0.0475	0.02273	0.04301	0.03419	0.0873	0.11515	0.08333	0.11728	0.23529	0.31034	0.25806	0.07407	0.04556	0.01282	0.03125	0.07317	0.0813	0.02381	0.12346	0.18919	0.12903	0.20833	0.18333	0.03939	0.05867	0.11259	0.07111	0.00562	0.11111	0.12063	0.01709	0.11154	0.125	0.10494	0.01754	0.07407	0.10976	0.05882	0.10968	0.02732	0.10303	0.13333	0.12	0.14476	0.07778	0.07576	0.05856	0.12438	0.07143	0.0	0.03134	0.18182	0.03704	0.03704	0.04839	0.06306	0.0614	0.08187	0.03448	0.0922	0.05333	0.0817	0.10549	0.06011	0.0	0.13333	0.02623	0.07071	0.0597	0.08333	0.16993	0.07071	0.04301	0.07111	0.06	0.07436	0.07018	0.14465	0.17054	0.16327	0.1078	0.13072	0.03077	0.06977	0.13333	0.08676	0.125	0.03889	0.06838	0.1358	0.02167	0.09302	0.15354
