data	D00040	D00066	D00067	D00075	D00088	D00094	D00105	D00129	D00143	D00163	D00182	D00187	D00188	D00211	D00246	D00279	D00299	D00312	D00316	D00327	D00348	D00443	D00462	D00506	D00554	D00565	D00577	D00585	D00586	D00596	D00627	D00690	D00730	D00898	D00930	D00950	D00951	D00954	D00956	D00961	D00962	D00965	D01115	D01132	D01161	D01217	D01294	D01387	D01441	D01689	D02217	D02367	D04066	D05341
D00040	1.0	0.41858	0.23648	0.33791	0.37675	0.06061	0.27323	0.25019	0.69686	0.47933	0.3253	0.36362	0.41791	0.12828	0.2801	0.01493	0.38541	0.1852	0.0	0.35816	0.05983	0.29412	0.43748	0.0	0.27388	0.02165	0.0	0.25211	0.03704	0.0	0.0	0.25296	0.0	0.0	0.29825	0.32747	0.28859	0.32747	0.27717	0.0	0.02062	0.01099	0.26098	0.02597	0.23146	0.3879	0.29107	0.26501	0.0	0.27542	0.0	0.30879	0.22587	0.0
D00066	0.41858	1.0	0.28678	0.54814	0.50649	0.0411	0.24409	0.18958	0.60119	0.44889	0.48422	0.23151	0.26162	0.09378	0.36667	0.03955	0.21038	0.23067	0.01878	0.54982	0.04054	0.46182	0.58007	0.05263	0.23906	0.04286	0.0	0.36912	0.01754	0.02326	0.0	0.32149	0.02469	0.0	0.16321	0.48157	0.3062	0.48157	0.4303	0.01767	0.03371	0.02811	0.42365	0.01878	0.24461	0.76288	0.39781	0.39302	0.01701	0.41626	0.04115	0.35995	0.2245	0.0
D00067	0.23648	0.28678	1.0	0.3875	0.29902	0.01266	0.84496	0.19423	0.24603	0.2381	0.39946	0.21561	0.2455	0.06028	0.18228	0.01538	0.17692	0.64516	0.01316	0.28696	0.0125	0.28476	0.22341	0.06667	0.73867	0.00877	0.05556	0.24641	0.01235	0.02996	0.04008	0.19928	0.01695	0.05128	0.16829	0.39785	0.1645	0.39785	0.46284	0.00758	0.01228	0.02273	0.25132	0.03604	0.41918	0.25938	0.2334	0.19561	0.01471	0.23833	0.11603	0.38906	0.56497	0.0
D00075	0.33791	0.54814	0.3875	1.0	0.63333	0.02667	0.4134	0.22012	0.41217	0.34807	0.63922	0.29048	0.32626	0.06854	0.31263	0.05	0.26293	0.31096	0.02778	0.49357	0.02632	0.42341	0.39567	0.04023	0.33425	0.03286	0.0	0.37731	0.02597	0.01533	0.0	0.30195	0.03636	0.0	0.17986	0.63641	0.25286	0.63641	0.61366	0.01786	0.04074	0.02353	0.39575	0.02778	0.32521	0.49309	0.36142	0.32414	0.01684	0.37136	0.03614	0.4619	0.37421	0.0
D00088	0.37675	0.50649	0.29902	0.63333	1.0	0.02326	0.26453	0.25542	0.46893	0.40854	0.57175	0.31296	0.34865	0.09019	0.41052	0.04286	0.27863	0.24706	0.01606	0.52634	0.02299	0.36224	0.40728	0.04348	0.31891	0.05833	0.0	0.39276	0.02682	0.02041	0.0	0.35438	0.0202	0.0	0.22905	0.56949	0.25758	0.56949	0.45253	0.02624	0.05387	0.01389	0.35167	0.01606	0.26732	0.4604	0.31729	0.35312	0.02446	0.40432	0.02482	0.45844	0.24432	0.0
D00094	0.06061	0.0411	0.01266	0.02667	0.02326	1.0	0.0	0.06367	0.01282	0.05063	0.0241	0.08429	0.09877	0.08933	0.03704	0.01639	0.04981	0.02083	0.05	0.03571	0.88667	0.01916	0.01351	0.05263	0.0	0.00926	0.0339	0.03191	0.02193	0.08958	0.03947	0.02694	0.01818	0.04762	0.06522	0.0241	0.04762	0.0241	0.02326	0.0119	0.03184	0.03614	0.01812	0.01389	0.0125	0.02564	0.04706	0.04575	0.0101	0.03158	0.02008	0.03571	0.0	0.07857
D00105	0.27323	0.24409	0.84496	0.4134	0.26453	0.0	1.0	0.19502	0.26524	0.25572	0.38673	0.20043	0.21265	0.05619	0.16094	0.01613	0.19638	0.54497	0.0137	0.24527	0.0	0.26218	0.24398	0.0339	0.79574	0.00913	0.05848	0.20633	0.01282	0.01916	0.04167	0.17566	0.01786	0.05376	0.16809	0.38454	0.17349	0.38454	0.48894	0.00784	0.01268	0.01163	0.24533	0.03756	0.46473	0.2649	0.21399	0.17685	0.01515	0.19917	0.09188	0.36614	0.65455	0.0
D00129	0.25019	0.18958	0.19423	0.22012	0.25542	0.06367	0.19502	1.0	0.21364	0.29841	0.22141	0.53873	0.59327	0.11352	0.15394	0.06579	0.44323	0.15855	0.02697	0.20265	0.07116	0.19253	0.17551	0.0	0.19538	0.06202	0.0	0.16241	0.02105	0.00943	0.0	0.12571	0.01351	0.03659	0.64744	0.21978	0.15336	0.21978	0.19793	0.0	0.0	0.0	0.17249	0.06977	0.20049	0.1714	0.12875	0.16683	0.0	0.19379	0.00647	0.24411	0.16685	0.01874
D00143	0.69686	0.60119	0.24603	0.41217	0.46893	0.01282	0.26524	0.21364	1.0	0.55325	0.39766	0.25888	0.29855	0.11767	0.32643	0.03175	0.29415	0.20625	0.02703	0.47184	0.01266	0.32637	0.57963	0.02186	0.27883	0.01802	0.0	0.27575	0.02532	0.01498	0.0	0.28825	0.03509	0.0	0.24574	0.39532	0.3441	0.39532	0.31818	0.01744	0.03226	0.03488	0.31737	0.02703	0.24611	0.54597	0.32297	0.34383	0.0165	0.34668	0.02326	0.31991	0.25231	0.0
D00163	0.47933	0.44889	0.2381	0.34807	0.40854	0.05063	0.25572	0.29841	0.55325	1.0	0.33359	0.24162	0.27784	0.11634	0.30076	0.0	0.2742	0.21576	0.0	0.38057	0.05	0.31184	0.40966	0.0	0.26482	0.0	0.0	0.20819	0.0	0.03261	0.04878	0.24847	0.0	0.0	0.27236	0.33139	0.30413	0.33139	0.27746	0.02222	0.04787	0.01087	0.3219	0.01266	0.25924	0.41846	0.26889	0.32419	0.00943	0.30768	0.0	0.30221	0.2114	0.1087
