data	D00049	D00059	D00079	D00094	D00095	D00106	D00110	D00113	D00136	D00139	D00180	D00225	D00227	D00232	D00234	D00235	D00241	D00255	D00270	D00274	D00281	D00283	D00295	D00300	D00301	D00306	D00318	D00332	D00336	D00356	D00364	D00371	D00380	D00394	D00397	D00400	D00410	D00411	D00415	D00419	D00422	D00426	D00432	D00437	D00440	D00442	D00443	D00451	D00454	D00465	D00480	D00483	D00493	D00494	D00498	D00499	D00503	D00509	D00513	D00514	D00520	D00521	D00522	D00523	D00524	D00525	D00528	D00540	D00542	D00559	D00560	D00563	D00574	D00598	D00601	D00604	D00606	D00607	D00609	D00613	D00627	D00632	D00635	D00645	D00646	D00665	D00666	D00673	D00674	D00675	D00676	D00682	D00683	D00684	D00687	D00688	D00715	D00726	D00760	D00765	D00769	D00775	D00779	D00780	D00790	D00837	D00838	D00845	D00954	D00965	D00987	D00996	D01020	D01022	D01024	D01051	D01071	D01103	D01118	D01126	D01164	D01227	D01236	D01242	D01269	D01295	D01297	D01324	D01332	D01346	D01352	D01358	D01386	D01390	D01441	D01454	D01462	D01603	D01652	D01692	D01699	D01712	D01713	D01717	D01745	D01782	D01828	D01871	D01891	D01925	D01964	D01965	D01973	D01994	D02007	D02066	D02070	D02076	D02082	D02147	D02149	D02150	D02234	D02237	D02250	D02278	D02279	D02327	D02338	D02340	D02342	D02349	D02354	D02356	D02357	D02358	D02359	D02361	D02374	D02566	D02578	D02588	D02614	D02671	D02721	D02725	D02826	D02884	D02910	D03165	D03187	D03210	D03274	D03365	D03415	D03442	D03490	D03503	D03621	D03642	D03654	D03858	D03879	D03880	D03881	D03966	D04006	D04034	D04040	D04375	D04625	D04716	D04979	D05113	D05129	D05246	D05312	D05341	D05740	D05792	D05938	D06056	D06396	
D00049	1.0	0.029412	0.016667	0.0	0.115385	0.0	0.140741	0.111111	0.133333	0.034483	0.018519	0.05	0.0	0.017857	0.009615	0.028571	0.16	0.012821	0.019048	0.122449	0.038462	0.025	0.0	0.061728	0.034035	0.0	0.0	0.0	0.025641	0.048387	0.134921	0.0	0.193548	0.020202	0.117647	0.025641	0.366667	0.076923	0.068182	0.012121	0.021739	0.039216	0.021739	0.049383	0.0	0.008929	0.007353	0.02381	0.025	0.095238	0.020202	0.021505	0.01626	0.021505	0.020833	0.021505	0.015504	0.034014	0.029412	0.058824	0.02924	0.022013	0.026786	0.02924	0.0	0.0	0.074074	0.08	0.0	0.0	0.063636	0.155556	0.166667	0.025641	0.010753	0.035714	0.03125	0.0	0.125926	0.02	0.008929	0.020202	0.055556	0.013333	0.043478	0.076389	0.061111	0.020833	0.020408	0.144928	0.055556	0.0	0.041667	0.10452	0.127451	0.02963	0.089286	0.15625	0.019157	0.011494	0.078431	0.033333	0.052632	0.015015	0.017544	0.026667	0.022727	0.034826	0.016393	0.096154	0.022831	0.107143	0.03125	0.0	0.012346	0.099291	0.018018	0.045198	0.019048	0.0	0.034722	0.070707	0.074306	0.010929	0.042328	0.0375	0.098485	0.018519	0.047619	0.116667	0.0	0.052083	0.09375	0.107143	0.06338	0.027027	0.037037	0.012821	0.056604	0.041667	0.045455	0.0	0.021505	0.049751	0.011905	0.015873	0.121951	0.018018	0.048387	0.006849	0.039474	0.032258	0.08805	0.035088	0.005333	0.043478	0.090909	0.017544	0.010753	0.09375	0.0625	0.09375	0.008163	0.0	0.008242	0.0	0.0	0.081481	0.045455	0.016667	0.026316	0.127451	0.015873	0.032051	0.05	0.03125	0.07619	0.149123	0.0	0.055556	0.091954	0.010256	0.070175	0.015504	0.0	0.027397	0.022727	0.0	0.12766	0.016835	0.011111	0.091954	0.096599	0.181818	0.004926	0.005589	0.025	0.0	0.055556	0.18018	0.04717	0.050505	0.021505	0.008889	0.011696	0.0	0.0	0.109091	0.013333	0.0	0.1	0.034722	0.020833	0.033898	0.086957	0.010582	0.036364	0.0	0.011905	0.02439	0.037037	0.02381	0.025	
D00059	0.029412	1.0	0.055556	0.031746	0.247619	0.054054	0.069892	0.072222	0.022599	0.046512	0.060606	0.017857	0.0	0.033816	0.033333	0.040816	0.1	0.009259	0.034014	0.029412	0.02439	0.018182	0.0	0.015504	0.033939	0.092896	0.0	0.052632	0.035354	0.044	0.044444	0.0	0.04	0.035461	0.081633	0.150235	0.015504	0.019841	0.033333	0.028986	0.050847	0.0	0.051724	0.014085	0.0	0.025773	0.041667	0.035714	0.018182	0.033898	0.013889	0.014493	0.030303	0.014493	0.097701	0.0	0.02924	0.107345	0.020408	0.02	0.009132	0.058974	0.066176	0.037559	0.0	0.155556	0.0	0.029851	0.0	0.0	0.030516	0.034722	0.041667	0.037736	0.112745	0.023256	0.0	0.0	0.015385	0.094444	0.067164	0.208547	0.077778	0.037037	0.016129	0.058201	0.077626	0.04918	0.031746	0.025253	0.058824	0.044444	0.084746	0.062222	0.030952	0.024859	0.027027	0.0	0.006472	0.026667	0.060606	0.069767	0.018519	0.016	0.032051	0.070588	0.255319	0.05	0.045662	0.043478	0.089431	0.234234	0.142857	0.049383	0.071795	0.041667	0.0	0.008772	0.013333	0.2	0.010417	0.032129	0.020896	0.008772	0.075556	0.008929	0.010582	0.013072	0.057143	0.106061	0.048193	0.035461	0.162791	0.234234	0.060784	0.06	0.063492	0.020202	0.014286	0.0	0.050725	0.0	0.037037	0.070833	0.00939	0.067901	0.109091	0.012821	0.035088	0.098765	0.037079	0.097222	0.05314	0.072797	0.098765	0.104242	0.093137	0.074627	0.085714	0.155039	0.267974	0.211382	0.016931	0.0	0.037582	0.054264	0.076923	0.043716	0.070175	0.030864	0.038462	0.08	0.011696	0.035354	0.059361	0.090909	0.123188	0.011494	0.0	0.014493	0.014493	0.109589	0.1	0.02924	0.050633	0.031008	0.034483	0.0	0.014925	0.017699	0.027027	0.025974	0.056566	0.025	0.013228	0.072446	0.056604	0.0	0.014493	0.041667	0.052239	0.013605	0.21982	0.181532	0.230409	0.09697	0.0	0.043981	0.103448	0.0	0.254386	0.026455	0.014184	0.055556	0.032258	0.063063	0.058824	0.068966	0.019048	0.049383	0.027778	0.054545	0.0	
D00079	0.016667	0.055556	1.0	0.045977	0.053846	0.495514	0.188312	0.091463	0.035714	0.0	0.766667	0.0	0.0	0.089015	0.0	0.013158	0.044776	0.0125	0.0	0.010526	0.0	0.0	0.0	0.0	0.054293	0.097222	0.0	0.064516	0.017921	0.218431	0.011364	0.0	0.012987	0.0	0.012821	0.090909	0.014493	0.006006	0.054217	0.427273	0.0	0.0	0.091667	0.006873	0.0	0.01	0.069667	0.0	0.0	0.023529	0.0	0.013889	0.0	0.0	0.091057	0.023474	0.0	0.0	0.013333	0.029279	0.0	0.010526	0.020619	0.020408	0.0	0.123188	0.0	0.010638	0.0	0.033784	0.0	0.0	0.027027	0.0125	0.079787	0.0	0.013699	0.007752	0.010989	0.0	0.020833	0.0	0.051724	0.0	0.037255	0.081395	0.129032	0.0	0.0	0.010753	0.053763	0.558442	0.007326	0.006289	0.017182	0.007663	0.086022	0.012987	0.013021	0.124324	0.078652	0.0	0.0125	0.04662	0.012658	0.113462	0.094017	0.044444	0.133333	0.010309	0.133663	0.052239	0.0	0.0	0.012411	0.01087	0.021645	0.035354	0.0	0.057143	0.022472	0.0	0.007092	0.0	0.109375	0.012195	0.018939	0.0	0.060284	0.005747	0.622084	0.0	0.064286	0.014085	0.008621	0.012821	0.099359	0.0	0.021053	0.011111	0.053191	0.0	0.0	0.076052	0.010309	0.0	0.023529	0.012821	0.179924	0.082222	0.19966	0.021242	0.064516	0.031884	0.113667	0.007491	0.069892	0.075926	0.013072	0.013333	0.111382	0.049296	0.0	0.003617	0.016026	0.119048	0.119444	0.058824	0.048193	0.0	0.012658	0.021368	0.0	0.010638	0.11413	0.013699	0.055856	0.024096	0.012195	0.0	0.0	0.087629	0.045455	0.011905	0.446984	0.185764	0.042683	0.0	0.010753	0.050891	0.415493	0.009615	0.006944	0.072581	0.013605	0.071129	0.012346	0.0	0.0	0.011905	0.054348	0.013333	0.0	0.088851	0.075926	0.133772	0.013889	0.009804	0.014815	0.0	0.0	0.048062	0.0	0.072695	0.014981	0.019417	0.075926	0.101056	0.0	0.00813	0.023256	0.012048	0.012346	
D00094	0.0	0.031746	0.045977	1.0	0.0	0.041199	0.0	0.0	0.0	0.0	0.036585	0.0	0.0	0.011628	0.0	0.0	0.035088	0.0	0.03125	0.0	0.0	0.0	0.0	0.017241	0.0	0.037975	0.0	0.1	0.012048	0.010638	0.0	0.0	0.0	0.015873	0.0	0.043011	0.0	0.01	0.013158	0.011765	0.013158	0.0	0.0	0.035714	0.013158	0.0	0.0	0.013889	0.0	0.013333	0.0	0.0	0.0	0.0	0.053333	0.016393	0.0	0.0	0.0	0.0	0.011364	0.0	0.023256	0.007576	0.016667	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.031746	0.0	0.029963	0.0	0.0	0.008889	0.0	0.0	0.023529	0.0	0.04329	0.0	0.012987	0.103604	0.044444	0.012821	0.012658	0.012195	0.035714	0.038095	0.0	0.0	0.0	0.0	0.0	0.0	0.020115	0.026087	0.0	0.0	0.014493	0.004695	0.014706	0.012698	0.0	0.013605	0.0	0.023529	0.009615	0.0	0.0	0.0	0.0	0.025	0.014925	0.010989	0.015385	0.032787	0.0	0.01	0.0	0.0	0.021277	0.043478	0.0	0.0	0.047059	0.0	0.040816	0.0	0.0	0.0	0.0	0.014925	0.057239	0.0	0.0	0.025641	0.0	0.0	0.0	0.020202	0.0	0.013889	0.027027	0.0	0.021505	0.0	0.018692	0.0	0.0	0.012461	0.012821	0.0	0.0	0.015504	0.025926	0.0	0.016878	0.0	0.0	0.009804	0.011019	0.022599	0.036364	0.039474	0.027027	0.0	0.029851	0.009804	0.013889	0.063291	0.0	0.032787	0.0	0.013699	0.0	0.016393	0.0	0.0	0.0	0.013699	0.039007	0.029412	0.0	0.0	0.0	0.005128	0.045977	0.032967	0.02381	0.0	0.007576	0.008772	0.0	0.0	0.0	0.0	0.0	0.015625	0.0	0.019231	0.015504	0.017778	0.0	0.022222	0.029915	0.0	0.032787	0.012658	0.0	0.0	0.017094	0.021739	0.011628	0.045455	0.007752	0.0	0.0	0.0	0.014286	
D00095	0.115385	0.247619	0.053846	0.0	1.0	0.045771	0.070175	0.072727	0.058824	0.054054	0.059322	0.040816	0.0	0.047619	0.019444	0.046512	0.117647	0.010417	0.03876	0.066667	0.028571	0.020408	0.0	0.046296	0.027619	0.077381	0.0	0.0	0.021858	0.057971	0.030303	0.0	0.095238	0.015873	0.068182	0.022523	0.066667	0.04386	0.076923	0.060109	0.037037	0.0	0.044025	0.015385	0.0	0.005319	0.008658	0.019608	0.020408	0.037736	0.015873	0.016667	0.034014	0.016667	0.124183	0.0	0.03268	0.113208	0.023256	0.125	0.025253	0.035519	0.023077	0.025253	0.0	0.045455	0.0	0.032787	0.0	0.022727	0.049479	0.039683	0.1	0.042553	0.092308	0.027027	0.0	0.0	0.046784	0.104938	0.023438	0.209804	0.035088	0.028736	0.096154	0.045977	0.038095	0.035714	0.017241	0.063218	0.015385	0.042169	0.130719	0.042254	0.039063	0.060131	0.085938	0.045455	0.0	0.035326	0.032258	0.081081	0.042553	0.016667	0.036232	0.084388	0.095238	0.008547	0.019324	0.064516	0.037037	0.904762	0.076923	0.034014	0.079096	0.064327	0.0	0.039216	0.015152	0.0	0.011494	0.048246	0.043503	0.009524	0.022831	0.030612	0.011696	0.014815	0.014925	0.105442	0.033772	0.04065	0.247619	0.37931	0.014056	0.044444	0.012048	0.010929	0.031746	0.017241	0.023077	0.0	0.016667	0.057778	0.010256	0.033333	0.057692	0.014493	0.062802	0.029167	0.048193	0.073529	0.058201	0.023256	0.041152	0.156028	0.072917	0.063492	0.02381	0.238095	0.430894	0.692308	0.006897	0.0	0.00495	0.081081	0.090909	0.029762	0.057692	0.034722	0.043478	0.134921	0.013072	0.056497	0.043478	0.076923	0.353535	0.053333	0.0	0.042735	0.042735	0.027778	0.431373	0.03268	0.047222	0.054852	0.102041	0.0	0.050847	0.018519	0.037879	0.057971	0.087356	0.09375	0.004264	0.032808	0.06383	0.0	0.042735	0.068027	0.02381	0.039683	0.222917	0.117857	0.206173	0.037037	0.0	0.075521	0.028736	0.0	0.354839	0.08805	0.01626	0.060606	0.035088	0.023474	0.064516	0.0	0.020833	0.02	0.012121	0.061224	0.0	
D00106	0.0	0.054054	0.495514	0.041199	0.045771	1.0	0.111905	0.071373	0.011364	0.0	0.463492	0.0	0.0	0.073993	0.0	0.012821	0.043478	0.012195	0.0	0.0	0.0	0.0	0.0	0.0	0.044938	0.077395	0.0	0.0625	0.010417	0.147985	0.0	0.0	0.0	0.0	0.0	0.057692	0.0	0.0	0.031783	0.220253	0.011236	0.0	0.076305	0.0	0.011236	0.007813	0.059295	0.0	0.0	0.011364	0.0	0.013514	0.0	0.0	0.07451	0.013514	0.0	0.0	0.012987	0.022807	0.0	0.0	0.020202	0.009901	0.0	0.10892	0.0	0.0	0.0	0.013853	0.0	0.0	0.0	0.012195	0.077083	0.0	0.0	0.007576	0.0	0.0	0.020408	0.0	0.038889	0.0	0.031418	0.043956	0.114583	0.010989	0.0	0.0	0.041667	0.42577	0.007168	0.0	0.006667	0.007491	0.052964	0.0	0.0	0.100522	0.020833	0.0	0.012195	0.030649	0.0	0.111111	0.0875	0.018182	0.123913	0.0	0.064832	0.044444	0.0	0.0	0.011111	0.0	0.0125	0.010356	0.0	0.055556	0.0	0.0	0.0	0.0	0.080667	0.011905	0.0	0.0	0.051546	0.0	0.481385	0.0	0.061111	0.013699	0.0	0.0125	0.054054	0.0	0.0	0.0	0.030612	0.0	0.0	0.073651	0.0	0.0	0.022989	0.0125	0.161905	0.084112	0.164706	0.016667	0.063158	0.016807	0.06422	0.007326	0.052778	0.073188	0.012821	0.012987	0.103175	0.042009	0.0	0.003527	0.013784	0.108718	0.108602	0.045455	0.022989	0.0	0.012346	0.012346	0.0	0.010417	0.054545	0.013333	0.048246	0.0	0.011905	0.0	0.0	0.072513	0.038819	0.011628	0.651741	0.134641	0.020392	0.0	0.0	0.033333	0.222506	0.0	0.0	0.058333	0.013333	0.043272	0.012048	0.0	0.0	0.0	0.03125	0.012987	0.0	0.092078	0.073188	0.15	0.0	0.0	0.014493	0.0	0.0	0.073643	0.0	0.059722	0.014652	0.019048	0.062319	0.097242	0.0	0.007937	0.0	0.011765	0.0	
D00110	0.140741	0.069892	0.188312	0.0	0.070175	0.111905	1.0	0.344444	0.069444	0.016393	0.221429	0.088235	0.0	0.142857	0.04321	0.014925	0.070175	0.031863	0.057292	0.069959	0.035088	0.057971	0.0	0.084848	0.186111	0.077922	0.0	0.0	0.019841	0.281532	0.039474	0.0	0.089947	0.043011	0.10582	0.097378	0.090909	0.088652	0.087963	0.208333	0.012821	0.024096	0.12381	0.081301	0.0	0.027778	0.160392	0.013514	0.057971	0.104762	0.043011	0.05	0.052381	0.044444	0.100457	0.015873	0.050926	0.046414	0.046875	0.0625	0.054902	0.05144	0.04902	0.050388	0.0	0.158192	0.033898	0.080169	0.0	0.0625	0.077381	0.075269	0.075269	0.014085	0.044444	0.033898	0.026455	0.0	0.069264	0.012195	0.029412	0.026042	0.025	0.046414	0.111111	0.050633	0.164609	0.0125	0.012346	0.12	0.027132	0.120748	0.025	0.07963	0.097917	0.017316	0.183983	0.072917	0.022599	0.111489	0.189815	0.016129	0.074627	0.093077	0.054726	0.073333	0.127451	0.066667	0.227556	0.055556	0.215909	0.067797	0.015625	0.0	0.069959	0.096491	0.014493	0.11245	0.041667	0.072222	0.029536	0.080702	0.084211	0.02963	0.121569	0.102564	0.061404	0.041026	0.066667	0.143781	0.128938	0.060109	0.184524	0.05	0.011006	0.014493	0.081633	0.032922	0.069106	0.020833	0.121795	0.0	0.044444	0.216867	0.055556	0.022831	0.068493	0.040404	0.210127	0.080412	0.149123	0.078652	0.186667	0.024691	0.095789	0.025641	0.276995	0.03876	0.007092	0.046875	0.078947	0.063492	0.020513	0.0	0.026144	0.032787	0.035088	0.091324	0.02193	0.05314	0.014286	0.075758	0.051643	0.019841	0.225108	0.015625	0.050505	0.124378	0.0	0.062147	0.061111	0.08427	0.05314	0.050926	0.105618	0.151449	0.115942	0.0	0.114035	0.102542	0.192641	0.055556	0.086325	0.074074	0.01445	0.094938	0.013889	0.0	0.08046	0.086957	0.125	0.076503	0.026882	0.091518	0.059524	0.144928	0.015873	0.087302	0.00813	0.016393	0.048387	0.100457	0.043716	0.087302	0.051282	0.039855	0.091667	0.0	0.007576	0.057143	0.073059	0.013514	0.009259	
D00113	0.111111	0.072222	0.091463	0.0	0.072727	0.071373	0.344444	1.0	0.046296	0.016949	0.113333	0.074627	0.0	0.233333	0.044304	0.015385	0.053571	0.032828	0.05914	0.049383	0.036364	0.059701	0.0	0.067901	0.401111	0.084444	0.0	0.0	0.01626	0.246667	0.035556	0.0	0.063492	0.044444	0.259259	0.090909	0.060606	0.06383	0.079812	0.095238	0.013158	0.0	0.10628	0.097046	0.0	0.065252	0.154762	0.028169	0.059701	0.134328	0.044444	0.051724	0.053922	0.045977	0.054054	0.010929	0.052381	0.034188	0.048387	0.064516	0.043651	0.039583	0.037698	0.055556	0.0	0.105556	0.0	0.183099	0.0	0.05914	0.066265	0.077778	0.065574	0.014493	0.057471	0.035088	0.05	0.0	0.047619	0.0125	0.03012	0.010582	0.047619	0.047619	0.114286	0.060606	0.154167	0.012821	0.025641	0.102222	0.044177	0.075	0.04386	0.045788	0.08125	0.017778	0.218468	0.046875	0.022989	0.118791	0.124444	0.016667	0.076923	0.08641	0.05641	0.100694	0.119403	0.07971	0.165368	0.048193	0.159259	0.070175	0.032787	0.0	0.07173	0.103604	0.057292	0.101626	0.043011	0.056497	0.034632	0.059649	0.048485	0.030303	0.128514	0.044776	0.058559	0.042328	0.081301	0.141414	0.07957	0.062147	0.191358	0.051724	0.014423	0.014925	0.075601	0.033755	0.075	0.038961	0.14	0.0	0.045977	0.178571	0.044177	0.023474	0.041096	0.041667	0.159671	0.098566	0.119792	0.093023	0.135965	0.044872	0.083333	0.026316	0.551724	0.052209	0.007246	0.083333	0.09589	0.065574	0.021053	0.0	0.061209	0.033898	0.036364	0.103286	0.027027	0.054726	0.014706	0.103825	0.05314	0.020325	0.172996	0.016129	0.052083	0.099502	0.0	0.064327	0.045198	0.091085	0.054726	0.052381	0.063704	0.117563	0.114428	0.0	0.092105	0.095198	0.087398	0.044444	0.069231	0.076923	0.01479	0.075903	0.014286	0.0	0.064327	0.083333	0.143836	0.061111	0.010929	0.06701	0.060976	0.115942	0.0	0.071429	0.008333	0.016949	0.05	0.119048	0.045198	0.125	0.034632	0.040741	0.131579	0.0	0.007752	0.058824	0.064815	0.013889	0.014286	
D00136	0.133333	0.022599	0.035714	0.0	0.058824	0.011364	0.069444	0.046296	1.0	0.024691	0.038462	0.086022	0.0	0.024691	0.109859	0.022222	0.2	0.012308	0.121212	0.290323	0.07483	0.092896	0.0	0.051282	0.144954	0.0	0.0	0.02	0.106481	0.018727	0.116162	0.0	0.107143	0.016949	0.091954	0.065134	0.145833	0.082397	0.033333	0.038462	0.018779	0.097222	0.009259	0.016461	0.0	0.025154	0.021739	0.040404	0.041667	0.114583	0.016949	0.017544	0.187135	0.017544	0.018265	0.048485	0.180791	0.045662	0.011111	0.039548	0.03252	0.058772	0.030453	0.058333	0.0	0.0	0.037736	0.072072	0.0	0.0	0.141441	0.064327	0.153846	0.037037	0.022989	0.071895	0.053571	0.028986	0.111111	0.045662	0.018107	0.052632	0.040541	0.022222	0.032864	0.154229	0.116667	0.018265	0.080952	0.087963	0.046414	0.009615	0.050228	0.091566	0.070085	0.023474	0.040161	0.160494	0.02381	0.017857	0.057018	0.04321	0.053763	0.017157	0.114943	0.026667	0.019324	0.087121	0.023256	0.064935	0.034364	0.056604	0.023392	0.0	0.021097	0.104762	0.010582	0.043651	0.050847	0.0	0.206349	0.07037	0.111429	0.011494	0.022222	0.070899	0.082126	0.016129	0.016064	0.096923	0.010309	0.065476	0.04023	0.056604	0.071579	0.073446	0.045139	0.012821	0.070175	0.022523	0.070085	0.0	0.017544	0.124031	0.077922	0.040404	0.064677	0.032258	0.018727	0.005051	0.016181	0.054902	0.068376	0.142857	0.024242	0.051643	0.04065	0.0	0.031008	0.052632	0.041096	0.052632	0.008889	0.0	0.023623	0.0	0.0	0.051643	0.080808	0.149425	0.021164	0.061111	0.112903	0.076577	0.039216	0.023392	0.079096	0.123656	0.0	0.048485	0.054545	0.007326	0.075269	0.02451	0.010753	0.016835	0.009524	0.0	0.103286	0.018817	0.052846	0.082305	0.147619	0.013072	0.005952	0.0395	0.036458	0.0	0.08805	0.222222	0.07193	0.045977	0.054545	0.030303	0.037037	0.0	0.0	0.180695	0.036036	0.037037	0.054545	0.03653	0.017241	0.019608	0.050926	0.018939	0.020576	0.02439	0.024691	0.00995	0.123077	0.0199	0.063492	
D00139	0.034483	0.046512	0.0	0.0	0.054054	0.0	0.016393	0.016949	0.024691	1.0	0.0	0.019608	0.013333	0.0	0.036111	0.069767	0.054054	0.046099	0.037879	0.048387	0.027778	0.02	0.0	0.017544	0.00367	0.016393	0.0	0.0	0.038251	0.013514	0.029762	0.02439	0.044444	0.015504	0.021277	0.022222	0.017544	0.034188	0.036364	0.0	0.036364	0.016129	0.036364	0.015152	0.0	0.005263	0.0	0.019231	0.02	0.018182	0.015504	0.087719	0.033333	0.01626	0.035088	0.0	0.032051	0.028249	0.046512	0.022222	0.024876	0.02381	0.022727	0.024876	0.0	0.0	0.017544	0.015873	0.0	0.0	0.017413	0.015152	0.046512	0.06383	0.018779	0.026316	0.0	0.0	0.045977	0.033898	0.023077	0.031746	0.022599	0.028249	0.017544	0.027778	0.023148	0.035088	0.016949	0.027322	0.015152	0.0	0.022599	0.013514	0.028205	0.0	0.014286	0.0	0.010204	0.0	0.015625	0.051282	0.020408	0.008197	0.035461	0.011628	0.037736	0.008439	0.0	0.030769	0.024096	0.051282	0.075	0.0	0.043011	0.027778	0.0	0.00939	0.014815	0.0	0.028736	0.034188	0.022581	0.02381	0.008889	0.009804	0.011494	0.014493	0.014706	0.021212	0.0	0.015504	0.022727	0.051282	0.013889	0.043478	0.011905	0.010753	0.015385	0.028736	0.007463	0.017544	0.01626	0.021097	0.025641	0.03268	0.037037	0.014184	0.027397	0.0	0.022989	0.042254	0.025253	0.034884	0.0	0.023392	0.014493	0.0	0.023474	0.046512	0.033898	0.046512	0.00678	0.0	0.004902	0.0	0.0	0.011494	0.037037	0.034014	0.065217	0.042553	0.012821	0.038251	0.013889	0.04878	0.028986	0.012579	0.019608	0.01626	0.087719	0.0	0.048611	0.032051	0.0	0.024096	0.018519	0.019231	0.032787	0.009091	0.0	0.027778	0.016667	0.028571	0.020491	0.011364	0.0625	0.0	0.01626	0.025641	0.007692	0.015152	0.033333	0.015873	0.020202	0.0	0.02439	0.011905	0.028249	0.0	0.04878	0.011299	0.015873	0.028986	0.111111	0.023148	0.046875	0.0	0.020513	0.019608	0.011905	0.039216	0.02	
