data	D00049	D00059	D00079	D00094	D00095	D00106	D00110	D00113	D00136	D00139	D00180	D00225	D00227	D00232	D00234	D00235	D00241	D00255	D00270	D00274	D00281	D00283	D00295	D00300	D00301	D00306	D00318	D00332	D00336	D00356	D00364	D00371	D00380	D00394	D00397	D00400	D00410	D00411	D00415	D00419	D00422	D00426	D00432	D00437	D00440	D00442	D00443	D00451	D00454	D00465	D00480	D00483	D00493	D00494	D00498	D00499	D00503	D00509	D00513	D00514	D00520	D00521	D00522	D00523	D00524	D00525	D00528	D00540	D00542	D00559	D00560	D00563	D00574	D00598	D00601	D00604	D00606	D00607	D00609	D00613	D00627	D00632	D00635	D00645	D00646	D00665	D00666	D00673	D00674	D00675	D00676	D00682	D00683	D00684	D00687	D00688	D00715	D00726	D00760	D00765	D00769	D00775	D00779	D00780	D00790	D00837	D00838	D00845	D00954	D00965	D00987	D00996	D01020	D01022	D01024	D01051	D01071	D01103	D01118	D01126	D01164	D01227	D01236	D01242	D01269	D01295	D01297	D01324	D01332	D01346	D01352	D01358	D01386	D01390	D01441	D01454	D01462	D01603	D01652	D01692	D01699	D01712	D01713	D01717	D01745	D01782	D01828	D01871	D01891	D01925	D01964	D01965	D01973	D01994	D02007	D02066	D02070	D02076	D02082	D02147	D02149	D02150	D02234	D02237	D02250	D02278	D02279	D02327	D02338	D02340	D02342	D02349	D02354	D02356	D02357	D02358	D02359	D02361	D02374	D02566	D02578	D02588	D02614	D02671	D02721	D02725	D02826	D02884	D02910	D03165	D03187	D03210	D03274	D03365	D03415	D03442	D03490	D03503	D03621	D03642	D03654	D03858	D03879	D03880	D03881	D03966	D04006	D04034	D04040	D04375	D04625	D04716	D04979	D05113	D05129	D05246	D05312	D05341	D05740	D05792	D05938	D06056	D06396
D00049	1.0	0.40689	0.18974	0.30159	0.33719	0.18333	0.27506	0.31096	0.37882	0.625	0.21389	0.38118	0.27566	0.20654	0.31364	0.54141	0.60114	0.33782	0.25882	0.34216	0.50947	0.35636	0.33333	0.3652	0.11085	0.34108	0.43788	0.48333	0.27912	0.24942	0.51389	0.54	0.43276	0.27524	0.63467	0.28122	0.65238	0.29242	0.42242	0.20764	0.27704	0.35868	0.25631	0.26013	0.33444	0.24367	0.17374	0.4268	0.325	0.4326	0.23529	0.3619	0.22519	0.25882	0.32451	0.35833	0.28378	0.28739	0.42924	0.31143	0.28371	0.27726	0.34416	0.27856	0.21429	0.46991	0.62083	0.28348	0.14583	0.33333	0.3125	0.37897	0.49905	0.33629	0.19047	0.45286	0.47138	0.16797	0.38226	0.27642	0.41918	0.30451	0.2849	0.25697	0.22152	0.36288	0.20276	0.25972	0.35971	0.33297	0.31821	0.14846	0.25421	0.20833	0.29481	0.25626	0.22685	0.56641	0.15121	0.11472	0.20127	0.45455	0.42971	0.19398	0.32187	0.21009	0.2634	0.21838	0.21717	0.27086	0.31068	0.30909	0.38249	0.41751	0.2345	0.33216	0.30256	0.20819	0.22772	0.20437	0.38681	0.24259	0.29194	0.29009	0.1938	0.28411	0.45581	0.24771	0.23175	0.34725	0.15105	0.23739	0.28019	0.38249	0.26719	0.38496	0.23984	0.18399	0.31565	0.43359	0.25119	0.31905	0.24882	0.22715	0.30823	0.42551	0.43529	0.28976	0.25027	0.23328	0.20666	0.2577	0.30546	0.20431	0.21701	0.25709	0.23191	0.28709	0.23718	0.41155	0.26457	0.28687	0.27168	0.22286	0.21529	0.1713	0.24603	0.44943	0.46025	0.43044	0.3912	0.43626	0.22152	0.26299	0.32747	0.42614	0.25348	0.35247	0.50352	0.24771	0.51852	0.26538	0.25338	0.37882	0.17246	0.18975	0.33916	0.37937	0.33573	0.23544	0.17929	0.40648	0.25104	0.27273	0.18767	0.15835	0.32296	0.31111	0.25508	0.34882	0.27051	0.3277	0.34258	0.19866	0.20687	0.20431	0.55667	0.26255	0.32461	0.43434	0.41155	0.33703	0.26127	0.26307	0.44711	0.34698	0.26435	0.44538	0.21389	0.34139	0.38872	0.41595	0.47306
D00059	0.40689	1.0	0.41152	0.25851	0.7013	0.37974	0.60714	0.62302	0.44907	0.35605	0.45415	0.37619	0.49872	0.40417	0.27884	0.60693	0.6381	0.47949	0.3125	0.42923	0.45667	0.3697	0.40444	0.415	0.31895	0.5641	0.33271	0.48333	0.38038	0.41836	0.41597	0.55909	0.51732	0.32231	0.50573	0.60144	0.4119	0.28457	0.49474	0.45981	0.35625	0.34736	0.66522	0.44683	0.32745	0.36218	0.31944	0.57875	0.34028	0.53087	0.28846	0.39583	0.25991	0.3125	0.52299	0.44524	0.28718	0.39352	0.57143	0.36032	0.54111	0.36469	0.49484	0.46324	0.32313	0.50862	0.43687	0.44912	0.15065	0.38222	0.52154	0.24493	0.51238	0.42619	0.52595	0.41515	0.49307	0.23692	0.36599	0.41154	0.3109	0.44156	0.3768	0.43424	0.55307	0.37582	0.65162	0.33529	0.49048	0.52876	0.49895	0.41725	0.34092	0.33889	0.40549	0.34484	0.42083	0.57121	0.24269	0.28782	0.59881	0.3343	0.44545	0.25827	0.38462	0.44929	0.51624	0.30768	0.30841	0.4359	0.39841	0.64286	0.50974	0.46216	0.53768	0.36905	0.39905	0.42493	0.27692	0.56883	0.39377	0.31218	0.4446	0.47695	0.51209	0.36084	0.34584	0.24545	0.35813	0.46414	0.41825	0.24167	0.60476	0.50974	0.28194	0.46373	0.37422	0.33528	0.29075	0.41941	0.59961	0.41396	0.29365	0.47283	0.44462	0.34414	0.42404	0.28658	0.44103	0.41551	0.35435	0.5391	0.48906	0.27985	0.33635	0.34997	0.46577	0.53424	0.20675	0.5346	0.63411	0.63393	0.30635	0.29581	0.32242	0.47799	0.47222	0.43988	0.55333	0.41515	0.54	0.55459	0.25345	0.36616	0.45251	0.52143	0.57035	0.40606	0.62286	0.27323	0.5303	0.45194	0.59921	0.38056	0.35304	0.42753	0.48425	0.62304	0.40391	0.31312	0.41389	0.32747	0.36325	0.44381	0.32889	0.18091	0.4381	0.37917	0.31667	0.49272	0.64957	0.37333	0.48571	0.43112	0.58974	0.5129	0.49798	0.36923	0.27658	0.41212	0.5346	0.59654	0.26154	0.51845	0.32821	0.51234	0.52159	0.23825	0.39635	0.4375	0.42917	0.50276	0.46836
D00079	0.18974	0.41152	1.0	0.51457	0.32062	0.87434	0.47643	0.44746	0.20984	0.17619	0.87792	0.13691	0.3344	0.40018	0.16536	0.28626	0.24322	0.20107	0.13778	0.23694	0.13289	0.15678	0.28866	0.15897	0.38217	0.47585	0.29127	0.27157	0.28641	0.7	0.23144	0.27761	0.29062	0.15986	0.2112	0.38398	0.19927	0.22624	0.32708	0.81934	0.35444	0.16709	0.39196	0.3094	0.33475	0.25943	0.5518	0.28123	0.15012	0.26468	0.12917	0.17998	0.13988	0.13778	0.39348	0.35974	0.16379	0.23976	0.23331	0.26923	0.25775	0.19402	0.23603	0.23795	0.1848	0.41259	0.24993	0.23491	0.08658	0.20893	0.22213	0.09077	0.25234	0.22381	0.44848	0.1234	0.22272	0.28239	0.18638	0.21515	0.19266	0.20559	0.2585	0.2412	0.29658	0.36149	0.47385	0.33475	0.25882	0.22099	0.30446	0.76835	0.22157	0.23669	0.2276	0.21667	0.34916	0.27253	0.21666	0.33113	0.33497	0.13445	0.19694	0.32258	0.22188	0.42684	0.3127	0.24648	0.49139	0.26297	0.43192	0.29772	0.225	0.21111	0.33958	0.22985	0.34722	0.28306	0.13657	0.33514	0.22114	0.18032	0.23358	0.24189	0.45426	0.23297	0.21569	0.10921	0.32146	0.2898	0.76695	0.09077	0.36905	0.225	0.21228	0.21655	0.46993	0.44669	0.18045	0.22908	0.30863	0.28854	0.08222	0.41635	0.27778	0.26476	0.21405	0.13557	0.65515	0.50178	0.67518	0.3229	0.31481	0.23022	0.42395	0.21064	0.35772	0.43794	0.31328	0.24288	0.51007	0.31786	0.25094	0.3254	0.22556	0.32955	0.26151	0.25926	0.31581	0.18059	0.27991	0.31307	0.14583	0.23155	0.39975	0.24829	0.38077	0.20655	0.2922	0.10921	0.21701	0.52527	0.32197	0.17916	0.78632	0.62348	0.25398	0.29239	0.20229	0.38404	0.82925	0.31377	0.21644	0.16905	0.2447	0.26818	0.23307	0.27168	0.12525	0.26455	0.32921	0.16313	0.2214	0.37344	0.44388	0.54014	0.30231	0.18796	0.36455	0.25501	0.24288	0.40624	0.11635	0.39037	0.28184	0.26582	0.38604	0.20548	0.28519	0.23155	0.22587	0.32254	0.22585
D00094	0.30159	0.25851	0.51457	1.0	0.23424	0.46058	0.23522	0.22943	0.32482	0.27143	0.44791	0.16292	0.24884	0.2408	0.23364	0.394	0.37434	0.15201	0.17922	0.30261	0.17184	0.19853	0.21697	0.25608	0.18591	0.28798	0.41667	0.43473	0.34902	0.38651	0.32967	0.2711	0.38171	0.21429	0.31639	0.2442	0.30026	0.25715	0.24048	0.45368	0.35068	0.22711	0.25972	0.30788	0.32731	0.2366	0.30606	0.27503	0.18567	0.35302	0.16429	0.27572	0.17857	0.17922	0.2493	0.50815	0.23823	0.29953	0.23331	0.13095	0.23704	0.33965	0.19762	0.21905	0.1921	0.22789	0.36498	0.24097	0.11648	0.15741	0.20443	0.11772	0.38169	0.3	0.21939	0.15466	0.31775	0.34325	0.23024	0.24798	0.28119	0.28171	0.32216	0.24487	0.25	0.41097	0.33277	0.32731	0.2506	0.21093	0.25838	0.39915	0.26471	0.27967	0.25488	0.25802	0.18184	0.41623	0.17597	0.17605	0.19899	0.19322	0.2881	0.18462	0.28352	0.22256	0.20748	0.291	0.28171	0.24852	0.26607	0.21622	0.30889	0.32857	0.23639	0.32714	0.48819	0.18603	0.17416	0.22596	0.31212	0.19974	0.22288	0.24568	0.21825	0.3119	0.29396	0.14286	0.38533	0.35472	0.40653	0.11772	0.18367	0.30889	0.24822	0.35714	0.30462	0.33735	0.23889	0.26813	0.22275	0.21354	0.10173	0.21365	0.23884	0.31775	0.27949	0.1978	0.38592	0.23369	0.38481	0.23686	0.20518	0.27302	0.22939	0.25325	0.18616	0.23032	0.34332	0.36872	0.22968	0.23761	0.31989	0.40222	0.20247	0.20734	0.19322	0.30952	0.42508	0.2652	0.36728	0.39707	0.18651	0.30519	0.25223	0.3523	0.22963	0.28439	0.39679	0.14286	0.32571	0.25268	0.2214	0.25556	0.43736	0.37816	0.19015	0.26074	0.30517	0.20775	0.41944	0.43548	0.26543	0.08205	0.1731	0.13323	0.28788	0.2025	0.17033	0.33333	0.23866	0.26209	0.31301	0.18262	0.21187	0.25227	0.25785	0.23167	0.41515	0.33925	0.36872	0.2976	0.14957	0.20741	0.33887	0.24719	0.20308	0.35828	0.20712	0.29918	0.32648	0.31612	0.3369
D00095	0.33719	0.7013	0.32062	0.23424	1.0	0.28105	0.57937	0.59127	0.36528	0.29216	0.34733	0.31429	0.44597	0.3619	0.31897	0.50693	0.56571	0.51587	0.35303	0.32242	0.36667	0.29091	0.34444	0.48704	0.29949	0.48645	0.30374	0.41	0.31926	0.39186	0.38343	0.52576	0.47186	0.36788	0.43993	0.4277	0.34307	0.23739	0.55405	0.36722	0.31399	0.29328	0.579	0.39683	0.28768	0.33045	0.27829	0.52674	0.26806	0.43996	0.32361	0.45606	0.29268	0.35303	0.54514	0.39524	0.33056	0.32837	0.64762	0.54571	0.49013	0.40588	0.4399	0.43063	0.27143	0.44965	0.38052	0.37798	0.18	0.53333	0.44132	0.27629	0.47333	0.49091	0.45291	0.33333	0.45455	0.18657	0.29456	0.33974	0.23324	0.48571	0.29518	0.3869	0.78276	0.31998	0.46474	0.29552	0.4454	0.47706	0.45133	0.32093	0.26787	0.2863	0.32346	0.27179	0.39651	0.47026	0.19337	0.191	0.44048	0.3787	0.37576	0.24563	0.31795	0.39899	0.49402	0.25916	0.28238	0.37712	0.3873	0.9	0.56071	0.36772	0.58712	0.3127	0.35905	0.45325	0.31111	0.40556	0.3381	0.25077	0.40234	0.42893	0.47436	0.28292	0.31795	0.27686	0.3142	0.39394	0.3215	0.27273	0.68095	0.56071	0.23419	0.50955	0.28276	0.29242	0.26635	0.32051	0.41324	0.38271	0.21032	0.36569	0.41859	0.28938	0.3767	0.32401	0.4326	0.3451	0.34331	0.56101	0.37159	0.23294	0.31026	0.27692	0.42411	0.47908	0.17217	0.59444	0.53056	0.86071	0.29603	0.23867	0.29779	0.55175	0.53939	0.36117	0.45905	0.34545	0.56825	0.4625	0.28568	0.37489	0.42992	0.61111	0.77116	0.32584	0.49524	0.30716	0.46364	0.36103	0.81905	0.31667	0.26092	0.42444	0.54127	0.57176	0.32656	0.29064	0.30741	0.28761	0.29029	0.63258	0.27016	0.16323	0.47792	0.32292	0.36667	0.42758	0.44503	0.44074	0.53968	0.32659	0.51447	0.43994	0.46187	0.27106	0.22446	0.36364	0.59444	0.62286	0.29167	0.48512	0.27692	0.4298	0.48825	0.16158	0.33376	0.48505	0.34504	0.46943	0.40256
D00106	0.18333	0.37974	0.87434	0.46058	0.28105	1.0	0.53493	0.50358	0.28318	0.23095	0.78624	0.20162	0.35524	0.45924	0.19477	0.27296	0.23299	0.25524	0.18222	0.31027	0.13054	0.21154	0.26972	0.14762	0.38469	0.53367	0.26573	0.25837	0.25779	0.66581	0.28477	0.34904	0.28077	0.20748	0.20379	0.35641	0.19218	0.27666	0.37768	0.73399	0.33686	0.21218	0.44978	0.27543	0.31913	0.27351	0.57865	0.34373	0.20123	0.2537	0.17083	0.24664	0.20238	0.18222	0.4438	0.34305	0.22629	0.23371	0.29109	0.22925	0.32025	0.18016	0.30048	0.30045	0.17421	0.47041	0.33088	0.22212	0.07992	0.25403	0.28254	0.15744	0.24384	0.29048	0.4081	0.12184	0.21676	0.31731	0.25109	0.28598	0.24377	0.19188	0.25016	0.22992	0.25873	0.34782	0.4429	0.31913	0.31438	0.27785	0.34703	0.73388	0.21605	0.21297	0.30093	0.21146	0.40256	0.2602	0.24277	0.40689	0.39435	0.19328	0.27551	0.35197	0.27299	0.4859	0.36587	0.30005	0.55729	0.25031	0.48019	0.26231	0.21	0.2037	0.3121	0.30541	0.30952	0.32896	0.17824	0.3112	0.28989	0.24328	0.28622	0.2713	0.48886	0.22347	0.28235	0.14254	0.35445	0.34762	0.74845	0.15744	0.32508	0.21	0.25489	0.20212	0.50586	0.40159	0.2401	0.29783	0.36905	0.34237	0.15556	0.3772	0.33016	0.25446	0.28072	0.1944	0.6966	0.43952	0.64589	0.38067	0.3672	0.28379	0.39443	0.20581	0.4135	0.47038	0.36394	0.22553	0.46178	0.28111	0.26808	0.29418	0.23952	0.29887	0.23331	0.25139	0.30278	0.23535	0.25992	0.30023	0.20833	0.29822	0.44793	0.23056	0.33044	0.2753	0.27847	0.17587	0.29558	0.48847	0.37673	0.23027	0.90232	0.65978	0.31176	0.35489	0.27104	0.41602	0.74163	0.30237	0.26644	0.14222	0.27856	0.34556	0.29974	0.25473	0.1163	0.34074	0.39365	0.15148	0.20559	0.37766	0.40381	0.59598	0.36965	0.23588	0.44074	0.24632	0.22553	0.36124	0.17885	0.43705	0.31676	0.24587	0.43273	0.19669	0.31905	0.21501	0.29921	0.38921	0.30442
D00110	0.27506	0.60714	0.47643	0.23522	0.57937	0.53493	1.0	0.96032	0.51154	0.31071	0.52333	0.34413	0.56522	0.58705	0.30756	0.46303	0.46111	0.47899	0.31474	0.50641	0.34127	0.40882	0.27516	0.37431	0.56382	0.69	0.27046	0.39167	0.39915	0.60823	0.54148	0.48847	0.42719	0.35906	0.44193	0.58729	0.33462	0.39966	0.64042	0.54658	0.33836	0.41305	0.75139	0.46463	0.31353	0.31399	0.49422	0.53001	0.38932	0.4766	0.29226	0.42994	0.31967	0.31474	0.68846	0.40397	0.35238	0.37304	0.5151	0.44103	0.55048	0.35944	0.44181	0.52296	0.28162	0.63657	0.42524	0.4244	0.10059	0.44519	0.49789	0.3368	0.50926	0.49849	0.63294	0.31502	0.38425	0.333	0.40836	0.48274	0.33404	0.39129	0.39361	0.42373	0.56409	0.38474	0.53492	0.32055	0.47589	0.50564	0.48508	0.46788	0.37034	0.36392	0.50019	0.37581	0.59565	0.43327	0.29641	0.41428	0.57198	0.34376	0.54274	0.39219	0.36947	0.66333	0.64762	0.42552	0.52298	0.42342	0.63534	0.5348	0.38507	0.41813	0.55817	0.49927	0.41701	0.57068	0.30317	0.4184	0.44048	0.39791	0.40269	0.45886	0.73176	0.33401	0.41875	0.32119	0.44339	0.45671	0.46635	0.33379	0.58974	0.38507	0.31901	0.37888	0.49809	0.3907	0.40896	0.4915	0.55544	0.43583	0.32051	0.51359	0.52346	0.32592	0.43159	0.33836	0.70733	0.54151	0.53479	0.64744	0.58596	0.40293	0.49898	0.3748	0.69568	0.64892	0.30724	0.42097	0.69178	0.53892	0.40121	0.31826	0.27638	0.50067	0.42353	0.4498	0.49638	0.45049	0.45669	0.49769	0.32755	0.41893	0.70159	0.45198	0.60605	0.41185	0.5	0.38529	0.51458	0.55929	0.66993	0.44359	0.49667	0.65737	0.61282	0.57114	0.47738	0.46585	0.53449	0.3472	0.43294	0.4257	0.43062	0.37443	0.50948	0.25988	0.30327	0.49359	0.59817	0.38056	0.4239	0.51639	0.69589	0.7522	0.52085	0.38889	0.38337	0.3211	0.42097	0.66111	0.30042	0.71137	0.35079	0.37462	0.71647	0.22068	0.49393	0.44861	0.5049	0.49757	0.56548
D00113	0.31096	0.62302	0.44746	0.22943	0.59127	0.50358	0.96032	1.0	0.54744	0.34661	0.48957	0.36635	0.53596	0.61622	0.31422	0.50272	0.5	0.46879	0.31474	0.52106	0.36905	0.4366	0.29477	0.38264	0.53835	0.72589	0.26213	0.43056	0.36795	0.5745	0.52609	0.47309	0.4151	0.35906	0.47783	0.57368	0.36795	0.37299	0.67376	0.51282	0.32725	0.44194	0.73948	0.4381	0.30301	0.2937	0.46497	0.51573	0.41496	0.51323	0.29226	0.4402	0.31967	0.31474	0.72179	0.39087	0.35952	0.34141	0.52536	0.44103	0.53687	0.37056	0.47582	0.50629	0.31078	0.67247	0.40986	0.45417	0.10059	0.45185	0.52884	0.3368	0.49259	0.50948	0.59961	0.34066	0.3663	0.3053	0.44011	0.4494	0.36738	0.40228	0.35951	0.41183	0.57242	0.35706	0.50357	0.31003	0.46339	0.53676	0.45841	0.4398	0.33868	0.33621	0.51604	0.34415	0.60755	0.47216	0.27322	0.38783	0.54309	0.35043	0.57885	0.37453	0.39328	0.63303	0.65531	0.39823	0.50964	0.3939	0.62423	0.54579	0.39606	0.45147	0.52444	0.48388	0.40669	0.60045	0.30317	0.40302	0.47381	0.36912	0.39093	0.44552	0.69842	0.35965	0.40542	0.32119	0.41825	0.42014	0.43827	0.33379	0.59744	0.39606	0.29296	0.38914	0.47715	0.36795	0.3972	0.5051	0.58878	0.40978	0.34615	0.5447	0.51096	0.353	0.41889	0.34503	0.67875	0.51626	0.5059	0.66209	0.57346	0.37674	0.47619	0.34385	0.72545	0.61797	0.28694	0.43287	0.65726	0.54991	0.39169	0.28901	0.26043	0.46404	0.45943	0.41607	0.45669	0.4866	0.44479	0.45833	0.32755	0.40795	0.68825	0.46389	0.61796	0.4428	0.51587	0.38529	0.55347	0.53003	0.65803	0.47692	0.46714	0.6346	0.64615	0.55753	0.51071	0.442	0.50073	0.33598	0.39892	0.4257	0.40472	0.36196	0.49849	0.2784	0.30327	0.45952	0.63407	0.38889	0.43581	0.53528	0.66137	0.71588	0.50546	0.40249	0.35569	0.29546	0.43287	0.7	0.30042	0.72406	0.32222	0.40864	0.72916	0.25957	0.46441	0.43671	0.54079	0.4809	0.60437
D00136	0.37882	0.44907	0.20984	0.32482	0.36528	0.28318	0.51154	0.54744	1.0	0.48232	0.23198	0.47176	0.46138	0.36752	0.54765	0.62556	0.63319	0.43077	0.42857	0.8963	0.44444	0.60423	0.22969	0.55026	0.27038	0.42659	0.34359	0.58201	0.50805	0.3017	0.69399	0.40472	0.49889	0.5014	0.65065	0.43113	0.49411	0.4875	0.48746	0.23705	0.32014	0.69973	0.49167	0.41465	0.29542	0.26071	0.25697	0.49915	0.54222	0.60756	0.38961	0.59472	0.42539	0.42857	0.50524	0.49136	0.49134	0.47879	0.48651	0.23415	0.5361	0.56473	0.42939	0.47952	0.30119	0.38151	0.53105	0.43463	0.17929	0.30722	0.63859	0.45565	0.625	0.57405	0.3476	0.4	0.44167	0.38929	0.57199	0.61728	0.5208	0.54889	0.50165	0.44762	0.46784	0.47101	0.4064	0.30131	0.44593	0.52908	0.4207	0.24559	0.45796	0.45152	0.64829	0.46473	0.42996	0.62927	0.27049	0.27095	0.43987	0.50183	0.7172	0.21683	0.51861	0.372	0.42452	0.52003	0.29271	0.45021	0.3714	0.33718	0.47365	0.59474	0.41757	0.86173	0.51252	0.44836	0.40422	0.27821	0.6197	0.48996	0.38866	0.46685	0.40238	0.48245	0.53175	0.44412	0.51563	0.61053	0.25133	0.46	0.29906	0.47365	0.38546	0.52745	0.30558	0.30485	0.50219	0.61414	0.50735	0.29918	0.49154	0.46834	0.46317	0.4566	0.56239	0.46732	0.33913	0.26147	0.30377	0.61616	0.45506	0.66024	0.24	0.47573	0.4268	0.36722	0.36474	0.55648	0.36228	0.36435	0.48381	0.34532	0.22867	0.28394	0.31062	0.55836	0.56662	0.68942	0.52734	0.5671	0.42595	0.55833	0.41364	0.54259	0.45026	0.62092	0.64545	0.52745	0.76239	0.29662	0.49028	0.65714	0.27587	0.35406	0.45897	0.49311	0.71119	0.26205	0.25835	0.44407	0.54621	0.25404	0.3429	0.23784	0.56071	0.21618	0.42646	0.64487	0.54638	0.55979	0.60988	0.37787	0.41049	0.40963	0.39624	0.54747	0.46723	0.33351	0.55648	0.56742	0.40606	0.40829	0.45613	0.39801	0.41295	0.33926	0.41186	0.56181	0.73218	0.43943	0.76267
D00139	0.625	0.35605	0.17619	0.27143	0.29216	0.23095	0.31071	0.34661	0.48232	1.0	0.19744	0.39278	0.33626	0.24575	0.325	0.45868	0.51176	0.3111	0.39565	0.44565	0.43028	0.5084	0.22991	0.36554	0.17858	0.37673	0.26886	0.42963	0.28803	0.21709	0.5	0.48106	0.36916	0.42727	0.44524	0.23827	0.46508	0.26608	0.37364	0.19167	0.29778	0.49883	0.29493	0.22152	0.21737	0.23409	0.24517	0.37393	0.45357	0.36902	0.35968	0.45714	0.31928	0.39565	0.36016	0.31852	0.37787	0.29475	0.37176	0.21944	0.30788	0.28244	0.37303	0.30542	0.19898	0.40904	0.53981	0.24872	0.12963	0.26746	0.31282	0.34524	0.42102	0.38264	0.20317	0.38725	0.40392	0.25887	0.47635	0.37051	0.46446	0.31089	0.29324	0.26492	0.23375	0.25897	0.21458	0.27917	0.31836	0.35242	0.27688	0.13918	0.26458	0.21883	0.39111	0.26644	0.25582	0.4809	0.21894	0.14981	0.26476	0.38426	0.48121	0.18793	0.44626	0.23906	0.29905	0.30496	0.26162	0.2344	0.27498	0.26968	0.32392	0.35544	0.24406	0.43565	0.26895	0.27288	0.35211	0.18864	0.4809	0.26827	0.29035	0.3216	0.29154	0.28808	0.4213	0.36454	0.33889	0.49434	0.14161	0.34089	0.24566	0.32392	0.30546	0.32614	0.21205	0.19483	0.33131	0.4008	0.32194	0.29056	0.35232	0.23597	0.32904	0.31197	0.49908	0.37601	0.28592	0.13631	0.17933	0.33731	0.28764	0.2984	0.12221	0.2672	0.25917	0.29503	0.24603	0.34325	0.23116	0.24917	0.36672	0.2026	0.20825	0.15812	0.22711	0.3109	0.38653	0.58247	0.32516	0.3652	0.31561	0.36649	0.29073	0.35621	0.26304	0.44655	0.42499	0.35121	0.62434	0.16413	0.33963	0.51565	0.21691	0.21872	0.37481	0.34185	0.538	0.22641	0.16549	0.27576	0.36775	0.125	0.21232	0.14622	0.36931	0.21639	0.26766	0.45232	0.3467	0.33221	0.34543	0.21078	0.2184	0.25193	0.49621	0.37627	0.32765	0.37059	0.34325	0.33963	0.35535	0.29203	0.5621	0.29356	0.29332	0.38971	0.27213	0.34438	0.48396	0.36392	0.52456
