data	D00035	D00110	D00136	D00195	D00219	D00225	D00227	D00228	D00234	D00252	D00274	D00283	D00293	D00294	D00303	D00319	D00326	D00329	D00331	D00332	D00335	D00336	D00338	D00340	D00345	D00349	D00351	D00354	D00358	D00364	D00367	D00373	D00379	D00380	D00392	D00394	D00418	D00437	D00438	D00451	D00456	D00464	D00474	D00477	D00480	D00495	D00499	D00504	D00512	D00513	D00519	D00521	D00524	D00528	D00530	D00533	D00536	D00537	D00538	D00539	D00542	D00543	D00544	D00545	D00546	D00547	D00548	D00549	D00550	D00552	D00553	D00560	D00563	D00574	D00593	D00594	D00607	D00611	D00615	D00616	D00617	D00618	D00619	D00629	D00631	D00633	D00636	D00638	D00639	D00640	D00642	D00647	D00648	D00649	D00650	D00651	D00654	D00656	D00658	D00677	D00678	D00694	D00697	D00704	D00708	D00709	D00711	D00726	D00732	D00733	D00735	D00738	D00739	D00740	D00741	D00759	D00760	D00761	D00765	D00771	D00775	D00779	D00791	D00798	D00799	D00809	D00812	D00816	D00823	D00831	D00960	D00963	D00964	D01071	D01108	D01111	D01118	D01242	D01243	D01253	D01256	D01275	D01287	D01295	D01350	D01448	D01450	D01453	D01575	D01599	D01603	D01712	D01768	D01799	D01828	D01854	D01969	D02041	D02086	D02087	D02088	D02092	D02098	D02101	D02163	D02173	D02204	D02207	D02234	D02237	D02253	D02261	D02262	D02272	D02347	D02356	D02360	D02362	D02409	D02461	D02485	D02546	D02566	D02630	D02914	D03037	D03180	D03274	D03365	D03450	D03580	D03742	D03826	D03830	D03878	D03991	D04034	D04048	D04370	D04790	D04985	D04999	D05024	D05077	D05156	D05453	D05458	D05461	D06106	D06172
D00035	1.0	0.48264	0.39286	0.40551	0.31342	0.31548	0.38788	0.43056	0.2534	0.43182	0.31597	0.33113	0.38384	0.35317	0.35931	0.36073	0.33939	0.30952	0.28755	0.59788	0.24812	0.26201	0.33889	0.275	0.30741	0.27497	0.46981	0.15278	0.46026	0.37153	0.41414	0.26007	0.33054	0.38871	0.54175	0.28205	0.32051	0.312	0.29167	0.51096	0.33333	0.43182	0.45758	0.40909	0.25641	0.53333	0.44352	0.475	0.40833	0.54798	0.26944	0.31763	0.3648	0.31806	0.31429	0.43182	0.45	0.41082	0.33333	0.57407	0.10714	0.18167	0.19167	0.18167	0.18167	0.18889	0.52778	0.30758	0.29444	0.54167	0.48333	0.47546	0.25631	0.43333	0.24285	0.62121	0.20317	0.28409	0.21906	0.4359	0.24989	0.3008	0.23718	0.30596	0.2959	0.38528	0.33036	0.2791	0.39394	0.44069	0.28968	0.29286	0.15955	0.31429	0.25476	0.27083	0.26337	0.3002	0.28532	0.46131	0.31795	0.31481	0.31732	0.28788	0.46667	0.67692	0.4697	0.46692	0.45455	0.39931	0.44742	0.39827	0.36875	0.45455	0.44372	0.21709	0.19711	0.25355	0.26071	0.20513	0.25	0.39394	0.21556	0.2415	0.17429	0.39744	0.21465	0.31944	0.31111	0.31239	0.20513	0.3641	0.20139	0.39129	0.15293	0.54747	0.24359	0.44048	0.43939	0.42929	0.27712	0.25584	0.52124	0.30326	0.10654	0.16838	0.41711	0.27821	0.17635	0.29841	0.24927	0.31597	0.41742	0.35152	0.33492	0.18504	0.22589	0.46531	0.41841	0.28571	0.43939	0.28434	0.42121	0.19347	0.19903	0.46167	0.15807	0.22947	0.28068	0.25051	0.22654	0.43056	0.22374	0.23299	0.25556	0.25694	0.48611	0.49744	0.23264	0.30586	0.26961	0.55801	0.28632	0.26667	0.20244	0.23264	0.44815	0.28205	0.38889	0.24033	0.20203	0.45868	0.27349	0.33427	0.36058	0.40909	0.29634	0.55208	0.49679	0.36032	0.37263	0.51026	0.42351	0.30769	0.3406	0.25379	0.35556	0.1196	0.40549	0.48333
D00110	0.48264	1.0	0.51154	0.61648	0.46026	0.34413	0.56522	0.38654	0.30756	0.41627	0.50641	0.40882	0.50556	0.46982	0.3891	0.52415	0.34991	0.49744	0.42436	0.39167	0.38452	0.39915	0.47811	0.45055	0.46978	0.51786	0.65748	0.24762	0.43684	0.54148	0.45	0.31429	0.45049	0.42719	0.43581	0.35906	0.32833	0.46463	0.43978	0.53001	0.3731	0.46349	0.4866	0.38547	0.29226	0.4418	0.40397	0.43571	0.43571	0.5151	0.44322	0.35944	0.28162	0.42524	0.39214	0.46349	0.49653	0.68669	0.41487	0.40926	0.10059	0.12967	0.14066	0.12967	0.12967	0.12949	0.50449	0.31438	0.32083	0.43571	0.41481	0.49789	0.3368	0.50926	0.41741	0.66079	0.333	0.35897	0.34143	0.68827	0.3709	0.45129	0.38901	0.45676	0.36589	0.34162	0.44556	0.42983	0.34551	0.45311	0.55215	0.39231	0.26628	0.34443	0.36857	0.45513	0.41484	0.45604	0.44675	0.68498	0.3791	0.4375	0.48134	0.18889	0.47986	0.55351	0.41111	0.43327	0.4188	0.49744	0.46845	0.41795	0.46337	0.4188	0.42821	0.41957	0.29641	0.42247	0.41428	0.24927	0.34376	0.54274	0.31518	0.29333	0.2869	0.38529	0.25943	0.34188	0.32491	0.52725	0.3398	0.56175	0.24966	0.41701	0.19608	0.82143	0.30317	0.45886	0.38291	0.48889	0.42835	0.47774	0.57614	0.33401	0.23952	0.29618	0.44281	0.40847	0.33218	0.53187	0.3907	0.43583	0.45055	0.43379	0.43159	0.4196	0.37494	0.73367	0.40324	0.45238	0.38654	0.4623	0.44689	0.42882	0.33716	0.71937	0.20859	0.38346	0.40121	0.31826	0.30701	0.60833	0.42577	0.47871	0.41218	0.41893	0.65764	0.68217	0.3876	0.60834	0.34928	0.65372	0.38529	0.38608	0.33901	0.34608	0.4	0.43294	0.4257	0.36777	0.44294	0.61832	0.56642	0.63149	0.57971	0.40147	0.38889	0.6	0.73767	0.6607	0.34516	0.49795	0.59501	0.48469	0.60588	0.35385	0.33333	0.24933	0.34464	0.41875
D00136	0.39286	0.51154	1.0	0.36415	0.54	0.47176	0.46138	0.5881	0.54765	0.57407	0.8963	0.60423	0.68742	0.56136	0.61463	0.61106	0.64109	0.84259	0.52479	0.58201	0.46226	0.50805	0.78924	0.49889	0.64154	0.58733	0.44653	0.29762	0.59532	0.69399	0.68742	0.42424	0.52967	0.49889	0.52037	0.5014	0.30403	0.41465	0.38586	0.49915	0.56315	0.63757	0.59683	0.5125	0.38961	0.5287	0.49136	0.52646	0.59815	0.48651	0.49222	0.56473	0.30119	0.53105	0.57804	0.63757	0.53307	0.36664	0.4868	0.53108	0.17929	0.26543	0.28704	0.26543	0.26014	0.28134	0.3956	0.39444	0.55225	0.60053	0.56812	0.63859	0.45565	0.625	0.4693	0.50694	0.38929	0.43167	0.43348	0.49624	0.3604	0.39855	0.50758	0.40476	0.50738	0.42684	0.65192	0.54446	0.42857	0.63714	0.35763	0.51798	0.33422	0.38356	0.55152	0.6	0.56727	0.53091	0.51727	0.42579	0.52408	0.39515	0.72843	0.28301	0.5873	0.37605	0.55417	0.62927	0.5625	0.68405	0.60952	0.55714	0.53667	0.5625	0.575	0.21811	0.27049	0.24946	0.27095	0.30941	0.50183	0.7172	0.51413	0.38889	0.46296	0.56078	0.38	0.52083	0.57698	0.47029	0.4584	0.29138	0.33089	0.51252	0.10305	0.45781	0.40422	0.46685	0.51131	0.67023	0.49465	0.36558	0.41758	0.48245	0.15763	0.41528	0.57619	0.46459	0.31603	0.63556	0.30485	0.29918	0.545	0.50698	0.56239	0.32646	0.49036	0.46921	0.53578	0.51645	0.5131	0.79714	0.54974	0.30129	0.45927	0.4128	0.17234	0.2225	0.48381	0.34532	0.25254	0.41637	0.31508	0.29758	0.392	0.55833	0.36905	0.52372	0.38257	0.35662	0.61136	0.32674	0.52745	0.68092	0.37058	0.44481	0.49662	0.54621	0.25404	0.40706	0.30191	0.34603	0.31786	0.4273	0.42862	0.59855	0.54747	0.44652	0.4562	0.3924	0.43159	0.68659	0.48833	0.5634	0.32171	0.39381	0.39113	0.37689	0.44794	0.57011
D00195	0.40551	0.61648	0.36415	1.0	0.28964	0.35185	0.41891	0.42635	0.30021	0.34167	0.36019	0.29583	0.32708	0.33053	0.27259	0.33452	0.21892	0.30924	0.30754	0.3244	0.24401	0.24693	0.29735	0.32081	0.29552	0.35069	0.52657	0.1463	0.33542	0.34289	0.32708	0.34454	0.27787	0.29944	0.29315	0.27917	0.22068	0.29335	0.28203	0.36984	0.31428	0.3375	0.3125	0.38355	0.30911	0.29754	0.27377	0.31667	0.25417	0.38768	0.31689	0.23373	0.26692	0.29661	0.28359	0.3375	0.33885	0.5901	0.31984	0.29605	0.04622	0.07059	0.07647	0.07059	0.07059	0.07255	0.34048	0.22292	0.33183	0.35833	0.34189	0.34836	0.26701	0.30647	0.30962	0.44514	0.25812	0.34103	0.29169	0.52631	0.30648	0.28951	0.38072	0.29378	0.29167	0.35119	0.40129	0.35712	0.35343	0.41964	0.72808	0.24171	0.21782	0.28487	0.34537	0.28824	0.30397	0.32857	0.32185	0.54026	0.37058	0.36404	0.3188	0.15575	0.3076	0.36667	0.42522	0.33542	0.41064	0.38764	0.4375	0.39107	0.48835	0.41064	0.41815	0.42217	0.41365	0.56255	0.5149	0.24017	0.26194	0.40347	0.34495	0.40336	0.31984	0.44583	0.29167	0.37939	0.27774	0.45304	0.25926	0.6067	0.14815	0.2494	0.14194	0.53693	0.31785	0.36066	0.40439	0.33333	0.3902	0.75335	0.4875	0.22745	0.21423	0.32511	0.39583	0.36664	0.27778	0.34006	0.3226	0.36129	0.43627	0.26541	0.39021	0.3578	0.37068	0.63156	0.39792	0.46524	0.38468	0.41248	0.43331	0.55922	0.37155	0.83523	0.19064	0.51212	0.30476	0.2415	0.23669	0.73708	0.47623	0.52067	0.27086	0.3219	0.42665	0.48032	0.2972	0.56966	0.34804	0.55032	0.38333	0.25544	0.2916	0.36193	0.27081	0.35119	0.26847	0.31007	0.56494	0.70729	0.53077	0.51575	0.56138	0.37973	0.35819	0.48062	0.48143	0.47082	0.2459	0.3625	0.58866	0.40642	0.49949	0.3202	0.26042	0.19682	0.24314	0.32218
D00219	0.31342	0.46026	0.54	0.28964	1.0	0.28373	0.4953	0.3981	0.35806	0.47037	0.57667	0.45608	0.54668	0.70046	0.59582	0.80411	0.48183	0.52833	0.66374	0.49643	0.79545	0.87058	0.53365	0.69136	0.75515	0.58127	0.38537	0.355	0.64473	0.53559	0.51705	0.43333	0.91804	0.88373	0.55089	0.42733	0.35714	0.59073	0.55776	0.5455	0.35142	0.52646	0.7131	0.54352	0.4619	0.56027	0.64623	0.63393	0.63125	0.35238	0.67901	0.51449	0.27821	0.4298	0.42249	0.52646	0.7247	0.38806	0.48738	0.51414	0.12374	0.19877	0.18333	0.19877	0.19877	0.22393	0.34603	0.45208	0.25971	0.55893	0.61414	0.34632	0.36392	0.74479	0.71757	0.47917	0.56964	0.29833	0.7277	0.56005	0.45895	0.57317	0.44697	0.57994	0.52672	0.43723	0.43611	0.6143	0.44656	0.57354	0.29065	0.84132	0.5326	0.48144	0.55758	0.70617	0.64061	0.72694	0.71178	0.35821	0.36103	0.39685	0.47328	0.22464	0.70238	0.41024	0.51944	0.67042	0.59537	0.51833	0.57354	0.59683	0.44238	0.59537	0.60926	0.28763	0.25452	0.21779	0.25341	0.21119	0.30053	0.50979	0.44747	0.39394	0.41852	0.36745	0.31333	0.3275	0.43365	0.30941	0.40299	0.23953	0.365	0.7004	0.21319	0.50072	0.47798	0.5177	0.5459	0.55912	0.69634	0.29784	0.43571	0.47309	0.19681	0.43297	0.61058	0.40804	0.27381	0.82257	0.46645	0.29989	0.61931	0.88968	0.42827	0.33896	0.42831	0.34413	0.57309	0.59067	0.54788	0.51414	0.62458	0.3079	0.46936	0.31637	0.21123	0.19034	0.51619	0.65662	0.35512	0.3128	0.41007	0.38595	0.39473	0.49167	0.26648	0.29991	0.34523	0.43481	0.3658	0.37812	0.36078	0.42283	0.53115	0.38072	0.65215	0.67417	0.27417	0.5296	0.38656	0.26159	0.41111	0.52568	0.3676	0.56135	0.61841	0.46151	0.38379	0.268	0.5896	0.65574	0.29071	0.64974	0.40054	0.43757	0.44002	0.31944	0.75992	0.61637
D00225	0.31548	0.34413	0.47176	0.35185	0.28373	1.0	0.36515	0.62179	0.48182	0.50816	0.42415	0.53231	0.52547	0.44722	0.42499	0.32424	0.33387	0.42137	0.41319	0.40909	0.33016	0.27097	0.44498	0.38889	0.41819	0.44514	0.42405	0.49159	0.41928	0.50987	0.52547	0.52331	0.2899	0.34167	0.37576	0.48019	0.29722	0.22823	0.21429	0.421	0.51333	0.53846	0.38788	0.375	0.4172	0.3697	0.29654	0.44848	0.41422	0.45338	0.38333	0.27931	0.19583	0.51971	0.63942	0.53846	0.40758	0.32708	0.48718	0.38788	0.14545	0.13889	0.15	0.13889	0.13889	0.11905	0.35709	0.27879	0.88777	0.50909	0.44242	0.44394	0.488	0.36364	0.30317	0.34485	0.21384	0.38442	0.24406	0.30975	0.20062	0.21886	0.33596	0.22222	0.27415	0.36667	0.40476	0.25962	0.3625	0.42415	0.37414	0.29452	0.19263	0.39259	0.45648	0.41621	0.36923	0.41667	0.4	0.35595	0.47056	0.33835	0.57633	0.2	0.39545	0.27706	0.37778	0.39201	0.38889	0.56162	0.38889	0.36944	0.39127	0.38889	0.38056	0.20711	0.27315	0.24378	0.20857	0.31944	0.42051	0.49394	0.39652	0.4797	0.42998	0.52744	0.35664	0.47179	0.30819	0.3087	0.49036	0.2538	0.45152	0.25455	0.09804	0.25865	0.4047	0.36212	0.40556	0.50729	0.40696	0.3371	0.28889	0.38974	0.09483	0.33805	0.36111	0.4764	0.325	0.36944	0.18356	0.32592	0.3746	0.30694	0.59875	0.20907	0.33119	0.37879	0.38434	0.48856	0.40139	0.39152	0.37735	0.26554	0.361	0.39384	0.11556	0.21066	0.3241	0.17049	0.12452	0.46112	0.34206	0.32306	0.36399	0.36396	0.36712	0.29311	0.33327	0.27979	0.34701	0.22676	0.54685	0.33613	0.20811	0.47236	0.29953	0.3391	0.26484	0.23299	0.27431	0.33333	0.2683	0.27558	0.35893	0.37927	0.34382	0.29079	0.37968	0.21422	0.24925	0.43747	0.41079	0.52927	0.24175	0.32078	0.44571	0.24969	0.26111	0.43788
D00227	0.38788	0.56522	0.46138	0.41891	0.4953	0.36515	1.0	0.39627	0.40096	0.47576	0.49004	0.4702	0.50909	0.45879	0.46038	0.49028	0.37576	0.4692	0.46995	0.32222	0.50045	0.45414	0.50396	0.47454	0.52146	0.53192	0.58484	0.33461	0.41091	0.56147	0.51465	0.31732	0.47088	0.47161	0.39286	0.42496	0.41051	0.49606	0.47173	0.62393	0.42396	0.5202	0.47917	0.4553	0.44755	0.38645	0.4239	0.42361	0.46385	0.56481	0.466	0.3368	0.3727	0.47222	0.48788	0.5202	0.48746	0.39167	0.38082	0.3547	0.1044	0.15897	0.14799	0.15897	0.15897	0.16068	0.48639	0.30615	0.32889	0.37361	0.40053	0.54023	0.42011	0.48863	0.45684	0.61816	0.49448	0.35247	0.47459	0.682	0.50938	0.4833	0.47752	0.48806	0.49163	0.38194	0.46391	0.48234	0.39381	0.49719	0.45351	0.48064	0.40645	0.50278	0.42909	0.52463	0.44167	0.48846	0.47564	0.66094	0.52873	0.59267	0.51461	0.1707	0.47159	0.45055	0.43387	0.42837	0.49418	0.51105	0.45694	0.47361	0.44831	0.49418	0.48393	0.41457	0.38383	0.37168	0.34745	0.24454	0.32776	0.41012	0.41283	0.36494	0.38949	0.46385	0.43687	0.43601	0.42704	0.58243	0.4129	0.34869	0.36174	0.46032	0.19167	0.50435	0.44863	0.71944	0.45609	0.54719	0.4894	0.4464	0.52949	0.34579	0.26846	0.39397	0.5125	0.54365	0.48698	0.51777	0.50586	0.57651	0.49196	0.47488	0.45314	0.49673	0.46232	0.59365	0.46647	0.49878	0.4708	0.53278	0.49563	0.44056	0.40324	0.4904	0.28889	0.31201	0.53711	0.45089	0.41079	0.55614	0.53631	0.50476	0.47843	0.42624	0.50062	0.48151	0.58878	0.54738	0.43287	0.50686	0.34612	0.39587	0.42761	0.43431	0.42758	0.5795	0.36908	0.42123	0.44914	0.37604	0.55087	0.62318	0.5717	0.48826	0.53511	0.57866	0.61333	0.37447	0.38559	0.41726	0.5684	0.45116	0.5077	0.35466	0.29583	0.47007	0.38462	0.41524
D00228	0.43056	0.38654	0.5881	0.42635	0.3981	0.62179	0.39627	1.0	0.54138	0.76481	0.6025	0.64069	0.74321	0.57048	0.53756	0.3897	0.45667	0.65476	0.50126	0.50529	0.37453	0.4144	0.65333	0.52	0.58889	0.40678	0.42854	0.25671	0.63732	0.52482	0.74321	0.65143	0.45026	0.47758	0.45286	0.54473	0.37179	0.30526	0.28657	0.48019	0.62899	0.69074	0.56027	0.6	0.46667	0.44444	0.425	0.57963	0.54259	0.46187	0.51333	0.34922	0.27684	0.50716	0.57222	0.69074	0.55926	0.35211	0.46418	0.48148	0.10714	0.215	0.225	0.215	0.215	0.22222	0.37363	0.45286	0.56713	0.58333	0.66296	0.44527	0.51656	0.53333	0.44665	0.44722	0.30072	0.3625	0.32584	0.39524	0.29751	0.29406	0.45	0.29922	0.40549	0.40714	0.47623	0.35556	0.48333	0.50476	0.34969	0.44833	0.28165	0.39892	0.58788	0.54833	0.48398	0.55024	0.53238	0.39968	0.52635	0.41111	0.4583	0.31818	0.57037	0.38077	0.56667	0.6114	0.54667	0.64488	0.47549	0.55143	0.52917	0.54667	0.53476	0.24177	0.32086	0.28688	0.25496	0.43062	0.42251	0.64815	0.58889	0.59221	0.50952	0.59359	0.43758	0.5	0.41515	0.3362	0.41818	0.32619	0.31573	0.37277	0.1	0.29915	0.45152	0.37816	0.59667	0.68765	0.58359	0.36667	0.41448	0.42692	0.12699	0.44176	0.50549	0.4459	0.2681	0.54476	0.25309	0.30482	0.50917	0.47333	0.59596	0.25607	0.43925	0.37873	0.57359	0.65758	0.59667	0.54167	0.51333	0.31111	0.47467	0.44167	0.12773	0.2418	0.42681	0.25565	0.19199	0.4477	0.3232	0.30419	0.36812	0.495	0.35897	0.38095	0.31636	0.36782	0.448	0.24286	0.62251	0.45	0.27234	0.51651	0.42963	0.44242	0.21192	0.24731	0.31888	0.45868	0.34925	0.34394	0.40017	0.53	0.45065	0.39167	0.42823	0.26327	0.35596	0.54843	0.38143	0.72333	0.2044	0.29583	0.41358	0.25675	0.38549	0.66296
D00234	0.2534	0.30756	0.54765	0.30021	0.35806	0.48182	0.40096	0.54138	1.0	0.50674	0.52644	0.40978	0.48693	0.41753	0.51643	0.33974	0.5179	0.61281	0.36179	0.37576	0.41303	0.33118	0.54657	0.3531	0.38385	0.43318	0.48771	0.37359	0.49283	0.55455	0.5142	0.49462	0.35375	0.38643	0.36061	0.53154	0.40991	0.28565	0.26372	0.4345	0.44621	0.50371	0.40121	0.42958	0.42404	0.36742	0.38701	0.40424	0.40371	0.47438	0.3531	0.40889	0.21667	0.41883	0.48556	0.50371	0.41766	0.30704	0.38757	0.36439	0.18636	0.26905	0.31667	0.26905	0.26429	0.26154	0.32075	0.428	0.58464	0.37394	0.46864	0.54542	0.47	0.42621	0.37434	0.39101	0.2674	0.3697	0.29839	0.31489	0.24586	0.2725	0.41868	0.27782	0.43618	0.36154	0.35703	0.34411	0.42372	0.36729	0.35109	0.33743	0.22345	0.38667	0.50618	0.36591	0.39253	0.36222	0.35086	0.43157	0.36736	0.34935	0.55278	0.20577	0.39342	0.31485	0.34903	0.43136	0.41847	0.57965	0.34476	0.41222	0.41333	0.41847	0.42889	0.25105	0.33963	0.28008	0.22528	0.38228	0.55198	0.42697	0.58711	0.45341	0.50817	0.39017	0.39765	0.34299	0.47081	0.42641	0.50539	0.29921	0.42259	0.35281	0.05686	0.25877	0.43743	0.43796	0.42958	0.53239	0.51426	0.31095	0.32025	0.35951	0.11993	0.38006	0.37254	0.37004	0.41979	0.40032	0.21785	0.27051	0.40667	0.33484	0.53941	0.24319	0.40608	0.3662	0.45176	0.46833	0.43286	0.47702	0.41061	0.27603	0.40156	0.34392	0.18095	0.26882	0.42563	0.2265	0.17157	0.41101	0.38444	0.36308	0.25856	0.45674	0.35394	0.3797	0.27075	0.29972	0.57021	0.23778	0.50487	0.5887	0.2581	0.37751	0.39132	0.40067	0.24084	0.2227	0.287	0.40025	0.27988	0.27931	0.34992	0.39069	0.37824	0.30089	0.46034	0.25249	0.33605	0.38374	0.51557	0.50735	0.2446	0.30424	0.35621	0.39745	0.36508	0.47221
D00252	0.43182	0.41627	0.57407	0.34167	0.47037	0.50816	0.47576	0.76481	0.50674	1.0	0.55132	0.66667	0.85714	0.67778	0.55968	0.46905	0.49815	0.68148	0.59091	0.52083	0.399	0.44603	0.72037	0.56667	0.62487	0.4394	0.38118	0.30238	0.67235	0.6539	0.85714	0.51667	0.48653	0.55926	0.54167	0.65152	0.36528	0.35498	0.3373	0.51667	0.59887	0.91667	0.66667	0.58148	0.54167	0.53333	0.51607	0.75	0.70833	0.46667	0.55608	0.39203	0.26923	0.59129	0.55909	0.91667	0.66458	0.30295	0.53668	0.575	0.14444	0.26667	0.27778	0.26667	0.26667	0.24339	0.35615	0.47917	0.46296	0.66667	0.7	0.42285	0.53221	0.6375	0.5194	0.55152	0.36021	0.36243	0.38252	0.42525	0.31103	0.34486	0.465	0.34913	0.45185	0.4963	0.45621	0.42639	0.52778	0.51852	0.30878	0.47963	0.29862	0.47714	0.52576	0.60423	0.52857	0.60952	0.5873	0.42848	0.48899	0.5044	0.49307	0.29333	0.67708	0.44353	0.58519	0.59318	0.56667	0.64286	0.48889	0.57407	0.54762	0.56667	0.55556	0.21869	0.32538	0.21879	0.22354	0.44035	0.46093	0.64583	0.44402	0.4697	0.36389	0.6532	0.51852	0.54815	0.44833	0.33233	0.42524	0.26183	0.39231	0.45417	0.13095	0.35069	0.52667	0.4534	0.62222	0.87798	0.53169	0.32	0.42222	0.43468	0.15626	0.33651	0.52593	0.51549	0.3119	0.55556	0.26117	0.3208	0.5291	0.50926	0.54762	0.31877	0.4538	0.40238	0.59764	0.52984	0.62037	0.48952	0.53276	0.29213	0.37419	0.35079	0.13846	0.19511	0.53915	0.27942	0.19856	0.35683	0.30255	0.28476	0.37378	0.51667	0.40972	0.37949	0.33431	0.29593	0.52397	0.28166	0.50505	0.53276	0.31941	0.4094	0.52019	0.55	0.22263	0.30233	0.29991	0.38571	0.30154	0.36732	0.3497	0.55128	0.49238	0.39683	0.46144	0.27281	0.4281	0.56818	0.34015	0.58282	0.23706	0.3254	0.48214	0.29946	0.45926	0.69792
