data	D00040	D00066	D00067	D00075	D00088	D00094	D00105	D00129	D00143	D00163	D00182	D00187	D00188	D00211	D00246	D00279	D00299	D00312	D00316	D00327	D00348	D00443	D00462	D00506	D00554	D00565	D00577	D00585	D00586	D00596	D00627	D00690	D00730	D00898	D00930	D00950	D00951	D00954	D00956	D00961	D00962	D00965	D01115	D01132	D01161	D01217	D01294	D01387	D01441	D01689	D02217	D02367	D04066	D05341
D00040	1.0	0.838	0.74258	0.85277	0.84421	0.26374	0.69918	0.59484	0.89233	0.87878	0.80374	0.65028	0.63738	0.54929	0.77711	0.2972	0.6127	0.51911	0.22707	0.79965	0.26374	0.63192	0.86047	0.20625	0.65815	0.22444	0.26407	0.63113	0.21214	0.19568	0.27634	0.65857	0.26042	0.22424	0.5951	0.80559	0.7063	0.80559	0.7627	0.14716	0.15128	0.17629	0.65542	0.30462	0.61797	0.8505	0.76107	0.6866	0.24444	0.82889	0.23669	0.83299	0.74381	0.23424
D00066	0.838	1.0	0.76327	0.9	0.90926	0.31373	0.73137	0.6844	0.93989	0.80855	0.84812	0.6105	0.64548	0.51994	0.76706	0.27705	0.55811	0.5695	0.27409	0.80729	0.31373	0.65617	0.92351	0.27937	0.6884	0.2527	0.24773	0.73509	0.24027	0.22624	0.26159	0.67347	0.26319	0.25122	0.65953	0.85	0.73307	0.85	0.81581	0.19055	0.19107	0.2249	0.67262	0.29181	0.59001	0.9256	0.77436	0.68657	0.28586	0.8422	0.22013	0.82257	0.7166	0.23874
D00067	0.74258	0.76327	1.0	0.82292	0.73277	0.24048	0.88816	0.49072	0.7879	0.72474	0.74813	0.50391	0.54724	0.50595	0.62847	0.39487	0.45769	0.64101	0.29739	0.713	0.24048	0.54412	0.77887	0.31667	0.81514	0.30085	0.33333	0.70974	0.30388	0.24623	0.32301	0.66803	0.39916	0.28889	0.47051	0.74651	0.60735	0.74651	0.81876	0.20588	0.19292	0.26863	0.57619	0.37177	0.64766	0.78342	0.67525	0.57506	0.28898	0.69196	0.28009	0.72117	0.84573	0.27106
D00075	0.85277	0.9	0.82292	1.0	0.86383	0.28898	0.80641	0.59474	0.926	0.79588	0.90572	0.63606	0.64117	0.52575	0.76851	0.27795	0.57811	0.57052	0.25439	0.84486	0.28898	0.67928	0.86303	0.25333	0.72962	0.25926	0.24857	0.67108	0.24477	0.20986	0.26256	0.69439	0.29167	0.25422	0.5713	0.90385	0.75903	0.90385	0.83889	0.17333	0.17367	0.20667	0.68952	0.2931	0.59492	0.95139	0.79106	0.70841	0.26905	0.84832	0.22113	0.87642	0.77049	0.27063
D00088	0.84421	0.90926	0.73277	0.86383	1.0	0.30098	0.69807	0.66765	0.91753	0.8818	0.81309	0.62125	0.64209	0.56808	0.84355	0.27564	0.5767	0.60932	0.28692	0.85166	0.30098	0.71834	0.87715	0.25794	0.65595	0.28774	0.21939	0.69591	0.24779	0.25987	0.23513	0.74251	0.21625	0.22476	0.6539	0.81496	0.79967	0.81496	0.80989	0.21569	0.22754	0.24786	0.75112	0.26701	0.61869	0.88764	0.83492	0.75861	0.31064	0.92622	0.23507	0.79486	0.73131	0.18914
D00094	0.26374	0.31373	0.24048	0.28898	0.30098	1.0	0.22143	0.40779	0.30183	0.27582	0.28333	0.39306	0.395	0.30217	0.2732	0.42952	0.42421	0.19385	0.74422	0.28667	0.95918	0.30606	0.27215	0.37165	0.22335	0.40476	0.51285	0.2508	0.27179	0.35614	0.28119	0.24042	0.3619	0.59678	0.38957	0.28171	0.32378	0.28171	0.25726	0.26068	0.40378	0.24852	0.31678	0.29233	0.21195	0.32326	0.28283	0.24579	0.24822	0.29798	0.22405	0.25794	0.24335	0.35828
D00105	0.69918	0.73137	0.88816	0.80641	0.69807	0.22143	1.0	0.46082	0.74007	0.64908	0.73279	0.50734	0.51538	0.51524	0.63076	0.31795	0.45302	0.60024	0.27517	0.67704	0.22143	0.54694	0.70827	0.28095	0.89079	0.24957	0.2619	0.66317	0.25907	0.22868	0.25635	0.6745	0.32773	0.24444	0.43999	0.73117	0.61038	0.73117	0.81476	0.17647	0.16792	0.23361	0.57712	0.30927	0.58419	0.78741	0.66978	0.58153	0.2612	0.70085	0.22127	0.70583	0.80673	0.19414
D00129	0.59484	0.6844	0.49072	0.59474	0.66765	0.40779	0.46082	1.0	0.64601	0.60225	0.56595	0.84073	0.86497	0.45603	0.59272	0.27753	0.76918	0.41159	0.37995	0.59206	0.39589	0.6116	0.64465	0.31002	0.43645	0.33645	0.3553	0.57357	0.26264	0.314	0.27465	0.54043	0.21378	0.35544	0.9565	0.56766	0.65615	0.56766	0.62798	0.24817	0.32039	0.28612	0.59457	0.30937	0.59292	0.61572	0.58585	0.57745	0.25265	0.62759	0.25506	0.54787	0.50725	0.21181
D00143	0.89233	0.93989	0.7879	0.926	0.91753	0.30183	0.74007	0.64601	1.0	0.86489	0.87212	0.62156	0.64136	0.5362	0.78733	0.28987	0.57616	0.56669	0.26219	0.84342	0.30183	0.6594	0.90678	0.26508	0.69677	0.26808	0.25964	0.68734	0.24877	0.21684	0.2727	0.67523	0.27509	0.26455	0.63281	0.874	0.73657	0.874	0.82613	0.17878	0.17917	0.20986	0.67169	0.30223	0.62562	0.91905	0.79176	0.68846	0.27475	0.84947	0.22993	0.84657	0.73659	0.25263
D00163	0.87878	0.80855	0.72474	0.79588	0.8818	0.27582	0.64908	0.60225	0.86489	1.0	0.75035	0.55803	0.55966	0.55617	0.7754	0.31893	0.52732	0.53555	0.26192	0.78989	0.27582	0.6419	0.87541	0.2267	0.61183	0.28205	0.25873	0.62383	0.23737	0.22925	0.27159	0.66495	0.25592	0.21926	0.6156	0.75221	0.71686	0.75221	0.73629	0.1902	0.18861	0.21584	0.66372	0.30065	0.62926	0.79268	0.77417	0.67868	0.286	0.82721	0.26797	0.73349	0.72205	0.23333
D00182	0.80374	0.84812	0.74813	0.90572	0.81309	0.28333	0.73279	0.56595	0.87212	0.75035	1.0	0.60516	0.61076	0.50149	0.72732	0.27038	0.55313	0.54925	0.24731	0.7991	0.28333	0.64447	0.81006	0.24855	0.81355	0.25034	0.24347	0.75135	0.23889	0.20711	0.25681	0.65949	0.25778	0.24908	0.54339	0.99812	0.71456	0.99812	0.79508	0.23861	0.17001	0.20224	0.65125	0.36607	0.5684	0.89556	0.88367	0.67069	0.26138	0.79783	0.21825	0.9707	0.73012	0.23504
D00187	0.65028	0.6105	0.50391	0.63606	0.62125	0.39306	0.50734	0.84073	0.62156	0.55803	0.60516	1.0	0.91598	0.48521	0.59831	0.23404	0.86961	0.40505	0.36309	0.58549	0.40463	0.63343	0.54645	0.26616	0.48061	0.2787	0.32333	0.52763	0.21686	0.29625	0.26349	0.5593	0.2006	0.34339	0.82364	0.60686	0.6799	0.60686	0.64031	0.2048	0.2839	0.24246	0.61644	0.29879	0.55262	0.67918	0.59428	0.60488	0.21368	0.63899	0.225	0.6323	0.52061	0.19339
D00188	0.63738	0.64548	0.54724	0.64117	0.64209	0.395	0.51538	0.86497	0.64136	0.55966	0.61076	0.91598	1.0	0.43298	0.55379	0.25253	0.83565	0.43061	0.32611	0.5753	0.38309	0.60243	0.5782	0.28621	0.4887	0.28203	0.36086	0.55353	0.22362	0.29223	0.27941	0.53404	0.21635	0.36057	0.82283	0.61247	0.64658	0.61247	0.63072	0.20844	0.28412	0.25011	0.58499	0.31381	0.55353	0.66398	0.57074	0.57498	0.21667	0.60756	0.23899	0.63792	0.53596	0.21008
D00211	0.54929	0.51994	0.50595	0.52575	0.56808	0.30217	0.51524	0.45603	0.5362	0.55617	0.50149	0.48521	0.43298	1.0	0.59081	0.19304	0.53084	0.43346	0.38657	0.52299	0.31918	0.50268	0.5014	0.23069	0.48674	0.21836	0.21072	0.54342	0.23533	0.3409	0.17901	0.6031	0.19746	0.28438	0.47319	0.50285	0.55878	0.50285	0.58359	0.2311	0.29418	0.24659	0.538	0.19303	0.46641	0.55195	0.55142	0.56097	0.32402	0.61827	0.21515	0.4964	0.58283	0.08124
D00246	0.77711	0.76706	0.62847	0.76851	0.84355	0.2732	0.63076	0.59272	0.78733	0.7754	0.72732	0.59831	0.55379	0.59081	1.0	0.23241	0.55744	0.53449	0.27282	0.76227	0.2732	0.69945	0.73994	0.21628	0.59518	0.25295	0.18358	0.61315	0.22165	0.24994	0.20026	0.72767	0.18222	0.18878	0.57982	0.72905	0.77298	0.72905	0.73869	0.19227	0.22795	0.22045	0.74886	0.23165	0.56842	0.81077	0.78819	0.76048	0.283	0.88238	0.20286	0.7154	0.65721	0.15125
D00279	0.2972	0.27705	0.39487	0.27795	0.27564	0.42952	0.31795	0.27753	0.28987	0.31893	0.27038	0.23404	0.25253	0.19304	0.23241	1.0	0.22373	0.27315	0.58188	0.28694	0.42952	0.26593	0.33363	0.71769	0.30408	0.74026	0.73333	0.28462	0.48209	0.30005	0.49979	0.25932	0.76797	0.6	0.27146	0.26916	0.28203	0.26916	0.34371	0.42619	0.3512	0.42641	0.27222	0.49225	0.33631	0.26935	0.26043	0.19144	0.32833	0.24103	0.42507	0.2466	0.39441	0.45758
D00299	0.6127	0.55811	0.45769	0.57811	0.5767	0.42421	0.45302	0.76918	0.57616	0.52732	0.55313	0.86961	0.83565	0.53084	0.55744	0.22373	1.0	0.37726	0.39514	0.5454	0.44444	0.58733	0.50656	0.25735	0.4317	0.26752	0.31347	0.48975	0.20867	0.35083	0.25259	0.52355	0.19341	0.43912	0.78182	0.55471	0.62668	0.55471	0.58643	0.20115	0.2618	0.23333	0.56731	0.28637	0.50551	0.59842	0.57251	0.5637	0.20995	0.57237	0.21765	0.57846	0.4751	0.18561
D00312	0.51911	0.5695	0.64101	0.57052	0.60932	0.19385	0.60024	0.41159	0.56669	0.53555	0.54925	0.40505	0.43061	0.43346	0.53449	0.27315	0.37726	1.0	0.25638	0.55677	0.19385	0.54405	0.54601	0.26003	0.58214	0.25275	0.21429	0.55276	0.36828	0.3546	0.2125	0.56078	0.2277	0.21857	0.39556	0.54805	0.50297	0.54805	0.63062	0.26002	0.25824	0.36944	0.49151	0.31765	0.55956	0.58167	0.56258	0.49103	0.39002	0.57205	0.277	0.53439	0.61283	0.12937
D00316	0.22707	0.27409	0.29739	0.25439	0.28692	0.74422	0.27517	0.37995	0.26219	0.26192	0.24731	0.36309	0.32611	0.38657	0.27282	0.58188	0.39514	0.25638	1.0	0.27496	0.77825	0.30502	0.26296	0.51167	0.27312	0.54062	0.54498	0.29269	0.3807	0.43595	0.29924	0.30774	0.45421	0.69776	0.38472	0.2458	0.32131	0.2458	0.33187	0.35102	0.4709	0.3579	0.3132	0.33722	0.29049	0.28335	0.27159	0.24658	0.30674	0.29528	0.27631	0.22562	0.32083	0.29859
D00327	0.79965	0.80729	0.713	0.84486	0.85166	0.28667	0.67704	0.59206	0.84342	0.78989	0.7991	0.58549	0.5753	0.52299	0.76227	0.28694	0.5454	0.55677	0.27496	1.0	0.28667	0.66048	0.8114	0.24521	0.65824	0.28061	0.23225	0.65814	0.30458	0.22739	0.2463	0.67235	0.22921	0.23857	0.57984	0.79736	0.7311	0.79736	0.76589	0.22659	0.19117	0.26465	0.66733	0.27582	0.6519	0.83305	0.76664	0.813	0.28318	0.83437	0.2306	0.77427	0.72211	0.20684
D00348	0.26374	0.31373	0.24048	0.28898	0.30098	0.95918	0.22143	0.39589	0.30183	0.27582	0.28333	0.40463	0.38309	0.31918	0.2732	0.42952	0.44444	0.19385	0.77825	0.28667	1.0	0.30606	0.27215	0.37165	0.22335	0.40476	0.49618	0.2508	0.27179	0.35614	0.28119	0.24042	0.3619	0.62714	0.40148	0.28171	0.32378	0.28171	0.25726	0.26068	0.39045	0.24852	0.31678	0.29233	0.21195	0.32326	0.28283	0.24579	0.24822	0.29798	0.22405	0.25794	0.24335	0.35828
D00443	0.63192	0.65617	0.54412	0.67928	0.71834	0.30606	0.54694	0.6116	0.6594	0.6419	0.64447	0.63343	0.60243	0.50268	0.69945	0.26593	0.58733	0.54405	0.30502	0.66048	0.30606	1.0	0.63135	0.24626	0.51674	0.28895	0.20952	0.52245	0.24919	0.30484	0.24789	0.62906	0.20796	0.21333	0.59835	0.64621	0.88248	0.64621	0.64167	0.29211	0.23147	0.24855	0.80556	0.31922	0.67215	0.72156	0.69124	0.68699	0.42704	0.74337	0.24706	0.62881	0.58068	0.17937
D00462	0.86047	0.92351	0.77887	0.86303	0.87715	0.27215	0.70827	0.64465	0.90678	0.87541	0.81006	0.54645	0.5782	0.5014	0.73994	0.33363	0.50656	0.54601	0.26296	0.8114	0.27215	0.63135	1.0	0.26048	0.66707	0.26024	0.2717	0.67413	0.24281	0.21491	0.28415	0.6524	0.2869	0.23137	0.6456	0.80819	0.70618	0.80819	0.77656	0.17443	0.17462	0.20551	0.64468	0.31334	0.62235	0.85331	0.74716	0.66219	0.27104	0.81531	0.26315	0.78333	0.75964	0.26786
D00506	0.20625	0.27937	0.31667	0.25333	0.25794	0.37165	0.28095	0.31002	0.26508	0.2267	0.24855	0.26616	0.28621	0.23069	0.21628	0.71769	0.25735	0.26003	0.51167	0.24521	0.37165	0.24626	0.26048	1.0	0.27111	0.68299	0.60298	0.37536	0.54325	0.42398	0.41219	0.28395	0.7632	0.56931	0.3049	0.24741	0.26007	0.24741	0.38889	0.59853	0.49658	0.56387	0.25055	0.41937	0.2947	0.26916	0.24492	0.2202	0.38311	0.22024	0.45451	0.22635	0.3723	0.33506
D00554	0.65815	0.6884	0.81514	0.72962	0.65595	0.22335	0.89079	0.43645	0.69677	0.61183	0.81355	0.48061	0.4887	0.48674	0.59518	0.30408	0.4317	0.58214	0.27312	0.65824	0.22335	0.51674	0.66707	0.27111	1.0	0.23766	0.2527	0.75601	0.24987	0.22235	0.24784	0.63445	0.28842	0.2369	0.41664	0.81187	0.5727	0.81187	0.76613	0.23891	0.17059	0.22501	0.54261	0.37894	0.55237	0.74045	0.74906	0.54805	0.25118	0.65751	0.21552	0.78648	0.76117	0.17381
D00565	0.22444	0.2527	0.30085	0.25926	0.28774	0.40476	0.24957	0.33645	0.26808	0.28205	0.25034	0.2787	0.28203	0.21836	0.25295	0.74026	0.26752	0.25275	0.54062	0.28061	0.40476	0.28895	0.26024	0.68299	0.23766	1.0	0.70254	0.29885	0.45088	0.37928	0.47691	0.31498	0.55433	0.65639	0.34286	0.24893	0.31944	0.24893	0.34427	0.54807	0.50396	0.47792	0.29637	0.4906	0.32817	0.24244	0.27143	0.26737	0.38988	0.26065	0.44945	0.22857	0.30174	0.375
D00577	0.26407	0.24773	0.33333	0.24857	0.21939	0.51285	0.2619	0.3553	0.25964	0.25873	0.24347	0.32333	0.36086	0.21072	0.18358	0.73333	0.31347	0.21429	0.54498	0.23225	0.49618	0.20952	0.2717	0.60298	0.2527	0.70254	1.0	0.27933	0.3697	0.38429	0.52213	0.23235	0.61364	0.79167	0.33813	0.24233	0.22005	0.24233	0.30488	0.43074	0.51282	0.375	0.21282	0.51877	0.30056	0.24059	0.20815	0.19053	0.28766	0.18889	0.42282	0.21905	0.31034	0.42078
D00585	0.63113	0.73509	0.70974	0.67108	0.69591	0.2508	0.66317	0.57357	0.68734	0.62383	0.75135	0.52763	0.55353	0.54342	0.61315	0.28462	0.48975	0.55276	0.29269	0.65814	0.2508	0.52245	0.67413	0.37536	0.75601	0.29885	0.27933	1.0	0.3164	0.3107	0.26846	0.66922	0.33968	0.28055	0.55333	0.75297	0.57445	0.75297	0.76805	0.35767	0.29578	0.32895	0.52603	0.39417	0.60787	0.69012	0.72636	0.58833	0.30752	0.66263	0.30555	0.7323	0.78196	0.17692
D00586	0.21214	0.24027	0.30388	0.24477	0.24779	0.27179	0.25907	0.26264	0.24877	0.23737	0.23889	0.21686	0.22362	0.23533	0.22165	0.48209	0.20867	0.36828	0.3807	0.30458	0.27179	0.24919	0.24281	0.54325	0.24987	0.45088	0.3697	0.3164	1.0	0.29425	0.27159	0.24881	0.50707	0.3669	0.26398	0.23803	0.26957	0.23803	0.29125	0.50617	0.32924	0.90602	0.25008	0.28221	0.34349	0.23243	0.23776	0.23771	0.31858	0.22846	0.3099	0.22058	0.35803	0.19935
D00596	0.19568	0.22624	0.24623	0.20986	0.25987	0.35614	0.22868	0.314	0.21684	0.22925	0.20711	0.29625	0.29223	0.3409	0.24994	0.30005	0.35083	0.3546	0.43595	0.22739	0.35614	0.30484	0.21491	0.42398	0.22235	0.37928	0.38429	0.3107	0.29425	1.0	0.34088	0.28915	0.30872	0.45901	0.30366	0.206	0.24508	0.206	0.28913	0.45376	0.56219	0.32107	0.24535	0.54422	0.31595	0.23355	0.23863	0.26987	0.5556	0.27391	0.44231	0.19524	0.29722	0.14815
