data	D00040	D00066	D00067	D00075	D00088	D00094	D00105	D00129	D00143	D00163	D00182	D00187	D00188	D00211	D00246	D00279	D00299	D00312	D00316	D00327	D00348	D00443	D00462	D00506	D00554	D00565	D00577	D00585	D00586	D00596	D00627	D00690	D00730	D00898	D00930	D00950	D00951	D00954	D00956	D00961	D00962	D00965	D01115	D01132	D01161	D01217	D01294	D01387	D01441	D01689	D02217	D02367	D04066	D05341	
D00040	3583.0	1033.0	368.0	591.0	616.0	83.0	480.0	696.0	2354.0	1405.0	574.0	868.0	986.0	935.0	645.0	33.0	1001.0	368.0	52.0	757.0	83.0	651.0	903.0	23.0	445.0	52.0	26.0	550.0	37.0	32.0	32.0	758.0	25.0	15.0	746.0	598.0	715.0	598.0	624.0	27.0	81.0	29.0	659.0	50.0	615.0	816.0	761.0	693.0	40.0	744.0	46.0	592.0	501.0	124.0	
D00066	1033.0	2253.0	256.0	521.0	579.0	51.0	318.0	495.0	1082.0	1094.0	516.0	473.0	453.0	536.0	477.0	40.0	535.0	272.0	45.0	1077.0	51.0	565.0	780.0	62.0	304.0	68.0	28.0	683.0	42.0	69.0	31.0	775.0	43.0	15.0	516.0	537.0	557.0	537.0	567.0	63.0	107.0	44.0	555.0	53.0	481.0	896.0	573.0	691.0	59.0	812.0	62.0	450.0	353.0	127.0	
D00067	368.0	256.0	1323.0	500.0	375.0	20.0	1178.0	291.0	299.0	420.0	522.0	315.0	275.0	441.0	338.0	22.0	372.0	746.0	23.0	279.0	20.0	321.0	267.0	33.0	1161.0	39.0	68.0	233.0	20.0	57.0	74.0	313.0	32.0	58.0	302.0	529.0	263.0	529.0	562.0	42.0	81.0	25.0	347.0	37.0	462.0	269.0	323.0	328.0	64.0	318.0	96.0	398.0	710.0	78.0	
D00075	591.0	521.0	500.0	2046.0	1375.0	40.0	657.0	442.0	485.0	636.0	1080.0	481.0	439.0	557.0	532.0	26.0	577.0	508.0	30.0	545.0	40.0	560.0	429.0	37.0	580.0	41.0	20.0	412.0	26.0	43.0	23.0	539.0	30.0	9.0	453.0	1096.0	446.0	1096.0	1183.0	36.0	78.0	27.0	593.0	36.0	650.0	523.0	536.0	561.0	38.0	524.0	47.0	635.0	682.0	108.0	
D00088	616.0	579.0	375.0	1375.0	3045.0	53.0	461.0	525.0	538.0	753.0	851.0	503.0	452.0	734.0	620.0	48.0	585.0	391.0	46.0	606.0	53.0	616.0	477.0	64.0	468.0	81.0	36.0	458.0	51.0	80.0	34.0	635.0	40.0	27.0	554.0	864.0	482.0	864.0	888.0	81.0	140.0	50.0	657.0	49.0	561.0	557.0	520.0	637.0	72.0	613.0	62.0	662.0	493.0	102.0	
D00094	83.0	51.0	20.0	40.0	53.0	1221.0	14.0	125.0	44.0	59.0	41.0	145.0	141.0	222.0	84.0	33.0	127.0	28.0	141.0	51.0	928.0	70.0	33.0	40.0	19.0	55.0	46.0	72.0	41.0	95.0	37.0	72.0	20.0	59.0	135.0	44.0	117.0	44.0	48.0	34.0	108.0	48.0	64.0	41.0	89.0	55.0	72.0	80.0	42.0	76.0	33.0	56.0	29.0	106.0	
D00105	480.0	318.0	1178.0	657.0	461.0	14.0	1619.0	363.0	386.0	530.0	629.0	400.0	354.0	522.0	412.0	20.0	486.0	715.0	21.0	344.0	14.0	387.0	331.0	27.0	1397.0	36.0	66.0	271.0	17.0	44.0	70.0	394.0	26.0	58.0	385.0	638.0	348.0	638.0	736.0	38.0	73.0	21.0	432.0	32.0	584.0	347.0	440.0	394.0	59.0	378.0	84.0	499.0	908.0	48.0	
D00129	696.0	495.0	291.0	442.0	525.0	125.0	363.0	3417.0	588.0	892.0	462.0	1549.0	1513.0	743.0	530.0	57.0	1160.0	294.0	95.0	487.0	137.0	475.0	458.0	38.0	352.0	84.0	45.0	395.0	40.0	57.0	40.0	513.0	30.0	49.0	1654.0	478.0	485.0	478.0	488.0	45.0	105.0	43.0	475.0	75.0	574.0	482.0	494.0	535.0	50.0	510.0	57.0	469.0	383.0	158.0	
D00143	2354.0	1082.0	299.0	485.0	538.0	44.0	386.0	588.0	2559.0	1307.0	483.0	583.0	542.0	671.0	536.0	25.0	693.0	307.0	41.0	668.0	44.0	547.0	824.0	37.0	364.0	42.0	24.0	478.0	28.0	47.0	25.0	664.0	26.0	17.0	629.0	502.0	602.0	502.0	525.0	41.0	75.0	30.0	561.0	35.0	505.0	853.0	626.0	626.0	42.0	668.0	43.0	481.0	407.0	82.0	
D00163	1405.0	1094.0	420.0	636.0	753.0	59.0	530.0	892.0	1307.0	4581.0	659.0	745.0	689.0	987.0	753.0	25.0	867.0	431.0	29.0	803.0	59.0	681.0	969.0	33.0	508.0	40.0	33.0	594.0	31.0	58.0	49.0	805.0	24.0	23.0	956.0	678.0	748.0	678.0	699.0	49.0	131.0	35.0	691.0	36.0	749.0	870.0	771.0	759.0	51.0	813.0	50.0	650.0	546.0	121.0	
