data	D00049	D00059	D00079	D00094	D00095	D00106	D00110	D00113	D00136	D00139	D00180	D00225	D00227	D00232	D00234	D00235	D00241	D00255	D00270	D00274	D00281	D00283	D00295	D00300	D00301	D00306	D00318	D00332	D00336	D00356	D00364	D00371	D00380	D00394	D00397	D00400	D00410	D00411	D00415	D00419	D00422	D00426	D00432	D00437	D00440	D00442	D00443	D00451	D00454	D00465	D00480	D00483	D00493	D00494	D00498	D00499	D00503	D00509	D00513	D00514	D00520	D00521	D00522	D00523	D00524	D00525	D00528	D00540	D00542	D00559	D00560	D00563	D00574	D00598	D00601	D00604	D00606	D00607	D00609	D00613	D00627	D00632	D00635	D00645	D00646	D00665	D00666	D00673	D00674	D00675	D00676	D00682	D00683	D00684	D00687	D00688	D00715	D00726	D00760	D00765	D00769	D00775	D00779	D00780	D00790	D00837	D00838	D00845	D00954	D00965	D00987	D00996	D01020	D01022	D01024	D01051	D01071	D01103	D01118	D01126	D01164	D01227	D01236	D01242	D01269	D01295	D01297	D01324	D01332	D01346	D01352	D01358	D01386	D01390	D01441	D01454	D01462	D01603	D01652	D01692	D01699	D01712	D01713	D01717	D01745	D01782	D01828	D01871	D01891	D01925	D01964	D01965	D01973	D01994	D02007	D02066	D02070	D02076	D02082	D02147	D02149	D02150	D02234	D02237	D02250	D02278	D02279	D02327	D02338	D02340	D02342	D02349	D02354	D02356	D02357	D02358	D02359	D02361	D02374	D02566	D02578	D02588	D02614	D02671	D02721	D02725	D02826	D02884	D02910	D03165	D03187	D03210	D03274	D03365	D03415	D03442	D03490	D03503	D03621	D03642	D03654	D03858	D03879	D03880	D03881	D03966	D04006	D04034	D04040	D04375	D04625	D04716	D04979	D05113	D05129	D05246	D05312	D05341	D05740	D05792	D05938	D06056	D06396	
D00049	0.99	0.084071	0.029464	0.015046	0.161229	0.014868	0.193757	0.124732	0.114568	0.0924	0.031015	0.058929	0.075591	0.032143	0.0693	0.1155	0.214193	0.108538	0.068433	0.122187	0.083061	0.071369	0.057245	0.144921	0.051172	0.040623	0.050244	0.057068	0.083571	0.077818	0.13211	0.073434	0.171843	0.066295	0.142902	0.064631	0.285383	0.08677	0.098885	0.032256	0.051742	0.090775	0.075326	0.109245	0.042544	0.037369	0.021046	0.124228	0.060612	0.142018	0.053772	0.119483	0.046506	0.057357	0.030905	0.060961	0.056813	0.092748	0.138177	0.106857	0.078158	0.07485	0.083571	0.072857	0.040543	0.047143	0.085026	0.118348	0.023571	0.042429	0.087972	0.133571	0.169877	0.103992	0.054908	0.075839	0.148413	0.032459	0.124377	0.085258	0.064631	0.09625	0.081153	0.085258	0.070714	0.120866	0.096283	0.049336	0.104464	0.215089	0.121484	0.016319	0.064406	0.138398	0.161464	0.061832	0.099786	0.174124	0.037996	0.016564	0.115933	0.063171	0.12375	0.032845	0.062395	0.057455	0.041531	0.082329	0.022484	0.096597	0.054892	0.149286	0.096032	0.053036	0.070714	0.117356	0.064286	0.084071	0.062395	0.02619	0.066	0.070714	0.063678	0.06325	0.088761	0.082238	0.099922	0.060612	0.094286	0.189958	0.016748	0.100179	0.13899	0.149286	0.062965	0.068504	0.068803	0.058075	0.086743	0.067571	0.074778	0.077449	0.083286	0.070378	0.046706	0.105451	0.093107	0.059583	0.075991	0.052726	0.066055	0.080468	0.065377	0.073776	0.04218	0.068252	0.103227	0.093444	0.072959	0.13899	0.093857	0.130023	0.039087	0.030504	0.033068	0.02619	0.023571	0.126238	0.101946	0.072024	0.110714	0.103313	0.053791	0.058475	0.066786	0.096032	0.111533	0.148077	0.093012	0.10341	0.093413	0.058929	0.09556	0.035659	0.014006	0.052041	0.044725	0.074537	0.112455	0.036429	0.028286	0.094648	0.156256	0.170893	0.042046	0.020893	0.10102	0.053429	0.106857	0.142018	0.077449	0.118571	0.101912	0.029964	0.071819	0.023571	0.068189	0.136449	0.078571	0.127679	0.13899	0.098908	0.055507	0.034778	0.070714	0.067918	0.044248	0.023571	0.054127	0.107312	0.097092	0.085367	0.072061	
D00059	0.084071	0.99	0.08745	0.061085	0.28072	0.073785	0.08558	0.081125	0.067023	0.07084	0.092053	0.054694	0.077759	0.0412	0.05126	0.096067	0.111435	0.056791	0.057129	0.084857	0.076476	0.054694	0.0605	0.069259	0.055846	0.06834	0.070053	0.091474	0.09	0.050932	0.047581	0.087154	0.073097	0.037813	0.100719	0.0825	0.066786	0.081304	0.064927	0.069474	0.120732	0.056638	0.081065	0.081865	0.101415	0.048829	0.05081	0.061243	0.056257	0.04675	0.061531	0.064103	0.063324	0.065633	0.120022	0.089138	0.060077	0.081065	0.064483	0.1155	0.054421	0.079316	0.0676	0.0492	0.07876	0.119581	0.083679	0.057521	0.061769	0.0682	0.051464	0.075533	0.078138	0.084765	0.082953	0.069826	0.065185	0.03841	0.081915	0.08683	0.072742	0.191278	0.066943	0.071617	0.133571	0.054532	0.081475	0.115116	0.0515	0.050875	0.049288	0.06741	0.097606	0.083914	0.066183	0.083058	0.064167	0.085871	0.044821	0.039441	0.068694	0.0858	0.051944	0.05527	0.052088	0.067513	0.126238	0.048783	0.059738	0.103098	0.061178	0.259519	0.151963	0.110306	0.16632	0.068574	0.059667	0.0517	0.042382	0.165	0.068933	0.058333	0.03497	0.048767	0.045031	0.061356	0.056196	0.034571	0.047463	0.097059	0.075408	0.070813	0.140345	0.197593	0.04611	0.094531	0.057527	0.051971	0.04884	0.083356	0.082879	0.078048	0.066	0.075114	0.05113	0.071211	0.168025	0.047056	0.080448	0.11825	0.062674	0.124793	0.099208	0.058714	0.068779	0.119194	0.067138	0.088393	0.098651	0.147931	0.1362	0.226387	0.032722	0.025235	0.044791	0.100222	0.128333	0.050356	0.12375	0.065083	0.087333	0.096191	0.047949	0.076365	0.0781	0.118148	0.181634	0.055	0.101378	0.052161	0.079444	0.132162	0.122189	0.077	0.069507	0.076286	0.084333	0.079081	0.078146	0.0613	0.073785	0.061092	0.085516	0.10725	0.038351	0.06165	0.086429	0.0561	0.0715	0.093225	0.085839	0.056667	0.202529	0.074763	0.146266	0.121	0.078964	0.074676	0.112588	0.070583	0.197621	0.067941	0.054645	0.067443	0.11	0.076441	0.072175	0.052905	0.041556	0.075842	0.065738	0.074622	0.0858	
D00079	0.029464	0.08745	0.99	0.125096	0.08932	0.421977	0.11495	0.110573	0.041698	0.01782	0.721851	0.013139	0.056138	0.0965	0.02343	0.065633	0.058587	0.032105	0.019516	0.052418	0.01781	0.026583	0.045179	0.022407	0.071312	0.100404	0.049211	0.088289	0.0555	0.147521	0.040674	0.039346	0.064758	0.027844	0.043656	0.081169	0.034964	0.041848	0.06989	0.368404	0.0605	0.044234	0.109283	0.068856	0.0605	0.063049	0.114845	0.045486	0.027343	0.083188	0.015469	0.032052	0.022892	0.01815	0.121978	0.101276	0.025244	0.045196	0.049121	0.0649	0.040237	0.054325	0.0296	0.0491	0.05852	0.101306	0.031625	0.068979	0.028769	0.048033	0.037027	0.01925	0.063345	0.062441	0.073894	0.016261	0.039519	0.065459	0.032883	0.044234	0.029629	0.045528	0.07645	0.035809	0.06194	0.055936	0.079144	0.057558	0.047125	0.02876	0.067798	0.282333	0.058718	0.0473	0.042808	0.06042	0.09405	0.050565	0.052127	0.099545	0.073071	0.01496	0.065083	0.094582	0.031544	0.088688	0.085905	0.067116	0.1298	0.055324	0.090562	0.0825	0.037685	0.045528	0.06215	0.04517	0.0925	0.060683	0.020221	0.088815	0.039722	0.028667	0.026104	0.031258	0.064367	0.038867	0.034913	0.024671	0.079343	0.037745	0.409533	0.017875	0.073586	0.057241	0.026596	0.048297	0.081162	0.043522	0.03586	0.047178	0.056233	0.0495	0.009717	0.101593	0.051843	0.035026	0.050738	0.022458	0.127485	0.115355	0.141081	0.063914	0.066415	0.055857	0.117353	0.053687	0.097293	0.076509	0.063556	0.061259	0.0982	0.085339	0.035437	0.059853	0.059709	0.120185	0.101881	0.056833	0.087588	0.026583	0.065833	0.064947	0.025667	0.045058	0.107983	0.064167	0.086122	0.039064	0.070608	0.028565	0.026685	0.128926	0.060351	0.039769	0.296203	0.110929	0.061487	0.057378	0.055229	0.10045	0.359615	0.064138	0.0385	0.05115	0.032405	0.08285	0.066786	0.041983	0.027317	0.038775	0.058241	0.037	0.049662	0.106131	0.084648	0.136185	0.063446	0.03362	0.07301	0.029792	0.060879	0.084873	0.017387	0.101795	0.059378	0.049314	0.115114	0.143262	0.028519	0.050658	0.049238	0.072986	0.060814	
D00094	0.015046	0.061085	0.125096	0.99	0.036791	0.114933	0.046902	0.048856	0.049965	0.011515	0.115789	0.017748	0.036196	0.058468	0.037353	0.080511	0.047928	0.022533	0.03103	0.059752	0.022736	0.030035	0.051657	0.027825	0.048069	0.095758	0.069658	0.085733	0.054383	0.063384	0.055027	0.024574	0.045525	0.037959	0.045858	0.06942	0.035357	0.05556	0.048293	0.107783	0.103093	0.050942	0.064107	0.098028	0.103093	0.070898	0.076064	0.047631	0.035909	0.0825	0.03006	0.033169	0.029224	0.033	0.068184	0.127109	0.032226	0.046707	0.034138	0.025745	0.038802	0.067256	0.023106	0.054383	0.062068	0.041222	0.044886	0.063923	0.036727	0.025745	0.037489	0.021298	0.071908	0.070213	0.067817	0.020759	0.032506	0.079766	0.039588	0.045713	0.036918	0.058121	0.08235	0.036152	0.065198	0.066179	0.069142	0.098135	0.055691	0.032473	0.059006	0.096227	0.073773	0.050252	0.044234	0.070518	0.048798	0.062512	0.059	0.052754	0.030521	0.019098	0.091082	0.053293	0.030357	0.058101	0.035608	0.067364	0.0633	0.065807	0.057901	0.033806	0.048109	0.066312	0.064315	0.05632	0.090638	0.054649	0.03015	0.075934	0.04244	0.037234	0.015614	0.031947	0.047942	0.065844	0.027169	0.033903	0.088026	0.041164	0.09876	0.019747	0.02179	0.05513	0.032798	0.061656	0.071921	0.038464	0.037353	0.05617	0.035591	0.029757	0.013574	0.056772	0.034586	0.046377	0.051957	0.026915	0.075033	0.063376	0.066784	0.065249	0.039611	0.060365	0.060679	0.062144	0.050481	0.040874	0.079463	0.066823	0.055787	0.048016	0.043905	0.076408	0.071021	0.085556	0.068541	0.068184	0.092154	0.030035	0.091277	0.082911	0.045728	0.084525	0.052777	0.073333	0.045553	0.052209	0.079701	0.033294	0.041868	0.065566	0.033968	0.050769	0.116105	0.070578	0.047709	0.052375	0.060997	0.059106	0.103483	0.094841	0.040882	0.020713	0.026947	0.049723	0.068207	0.047979	0.03066	0.040372	0.036862	0.053404	0.062365	0.059383	0.062094	0.066702	0.02959	0.0357	0.084393	0.031888	0.078202	0.053279	0.020611	0.047192	0.074655	0.047364	0.043113	0.164833	0.040481	0.05654	0.064529	0.043266	0.050353	
D00095	0.161229	0.28072	0.08932	0.036791	0.99	0.075342	0.098736	0.11385	0.11573	0.098208	0.094021	0.076633	0.103324	0.04656	0.078144	0.15884	0.185948	0.079507	0.080477	0.098057	0.078571	0.087267	0.041957	0.115378	0.065662	0.073583	0.071558	0.078505	0.07824	0.065277	0.074288	0.090877	0.14009	0.064763	0.127463	0.069406	0.129643	0.064852	0.105922	0.074337	0.07598	0.077515	0.1254	0.071585	0.058595	0.044322	0.044314	0.090616	0.08976	0.08745	0.046613	0.114248	0.077059	0.04972	0.10032	0.0792	0.073108	0.098139	0.114248	0.16456	0.068547	0.087305	0.07032	0.07824	0.045408	0.099213	0.100414	0.07205	0.050769	0.099	0.0924	0.10384	0.14611	0.140153	0.091158	0.071739	0.100711	0.033325	0.078077	0.116272	0.076858	0.2189	0.086366	0.065438	0.141429	0.0924	0.110522	0.072447	0.0762	0.084975	0.072346	0.062785	0.113594	0.08184	0.07634	0.09393	0.09042	0.157123	0.045116	0.040195	0.08782	0.10296	0.086533	0.050852	0.073376	0.07887	0.117543	0.060835	0.047317	0.083082	0.060395	0.916667	0.120267	0.086533	0.130416	0.079481	0.0708	0.07942	0.070659	0.082622	0.0836	0.063	0.060878	0.05236	0.058781	0.077733	0.086661	0.059211	0.065756	0.110259	0.070516	0.09735	0.243062	0.357378	0.062203	0.099413	0.061362	0.060835	0.06996	0.064827	0.091262	0.0836	0.0748	0.101263	0.069667	0.063916	0.10758	0.057567	0.083928	0.078679	0.061088	0.103097	0.114815	0.065314	0.072808	0.144018	0.096952	0.07755	0.06139	0.27811	0.45	0.511819	0.039767	0.024329	0.03922	0.120267	0.137029	0.077733	0.12606	0.1012	0.1444	0.154468	0.058554	0.101792	0.0858	0.138356	0.24919	0.114738	0.148768	0.102619	0.099244	0.079782	0.275416	0.055508	0.067722	0.079714	0.129969	0.094897	0.110275	0.0564	0.078997	0.091994	0.095594	0.1749	0.046973	0.04098	0.141051	0.03916	0.1166	0.10857	0.094521	0.0944	0.231776	0.066783	0.149738	0.075183	0.082029	0.101324	0.075835	0.08635	0.332731	0.110259	0.066852	0.070544	0.080547	0.065553	0.075495	0.037086	0.056059	0.070516	0.099943	0.103459	0.081463	
D00106	0.014868	0.073785	0.421977	0.114933	0.075342	0.99	0.105905	0.100481	0.045692	0.014012	0.42566	0.012128	0.050769	0.112708	0.02772	0.060585	0.04812	0.033295	0.021454	0.046728	0.01644	0.024538	0.04261	0.023692	0.061921	0.098838	0.045425	0.081498	0.043108	0.153212	0.044984	0.033976	0.042089	0.029668	0.033159	0.083687	0.021396	0.037967	0.066124	0.226324	0.062038	0.049473	0.105732	0.061997	0.062038	0.064473	0.115258	0.04583	0.029156	0.070823	0.020625	0.033963	0.024561	0.023523	0.114062	0.07878	0.026817	0.041719	0.050769	0.059908	0.036073	0.05353	0.027323	0.041538	0.06072	0.100556	0.027016	0.05775	0.026556	0.044338	0.034179	0.022169	0.049194	0.063462	0.064328	0.01501	0.024444	0.062837	0.03165	0.040831	0.02735	0.042026	0.06629	0.033054	0.062132	0.056278	0.07667	0.059034	0.051923	0.031096	0.053601	0.252284	0.050412	0.0396	0.036046	0.04812	0.083092	0.043236	0.052815	0.108353	0.049526	0.013809	0.054577	0.098917	0.027774	0.077487	0.080385	0.057906	0.12458	0.045195	0.103555	0.069573	0.034786	0.037372	0.062142	0.048609	0.071846	0.060331	0.022846	0.07465	0.03441	0.025923	0.020383	0.031392	0.062986	0.044	0.029247	0.027125	0.073239	0.036932	0.390188	0.020625	0.061798	0.047009	0.023924	0.044582	0.082946	0.047237	0.034625	0.041744	0.05357	0.044846	0.011508	0.087686	0.038453	0.032332	0.042392	0.0275	0.122073	0.106482	0.135424	0.058997	0.059869	0.05156	0.09737	0.042282	0.088496	0.061195	0.057458	0.056546	0.090646	0.072387	0.038623	0.050769	0.060814	0.127487	0.094044	0.057087	0.079454	0.028346	0.073077	0.059951	0.027207	0.045595	0.115923	0.059231	0.079497	0.037491	0.059551	0.026367	0.033658	0.124907	0.055709	0.045562	0.392689	0.111429	0.063787	0.052004	0.050029	0.105323	0.227759	0.057564	0.03038	0.047215	0.032245	0.074054	0.067596	0.0396	0.025215	0.029827	0.055484	0.038615	0.045842	0.114833	0.073219	0.140719	0.049681	0.027101	0.067394	0.0275	0.050419	0.083421	0.019161	0.083062	0.05481	0.04552	0.094502	0.132242	0.03159	0.046761	0.05222	0.067372	0.044387	
D00110	0.193757	0.08558	0.11495	0.046902	0.098736	0.105905	0.99	0.190025	0.073828	0.043296	0.121	0.046017	0.047452	0.14052	0.06204	0.07766	0.111626	0.071833	0.053439	0.103176	0.042743	0.072967	0.047379	0.090689	0.114964	0.100545	0.042032	0.053495	0.0564	0.152071	0.111893	0.040869	0.103258	0.067856	0.10395	0.068235	0.100886	0.083887	0.116868	0.135358	0.040405	0.092962	0.0924	0.100142	0.037829	0.053122	0.118957	0.075989	0.072977	0.109065	0.060225	0.090352	0.056189	0.06512	0.11176	0.080338	0.066	0.076617	0.091262	0.11132	0.077926	0.093905	0.05616	0.07692	0.049104	0.112839	0.061757	0.097213	0.026908	0.06204	0.064704	0.08932	0.115841	0.067747	0.079122	0.039026	0.076756	0.055072	0.088328	0.059821	0.063232	0.057567	0.072977	0.077094	0.103871	0.092821	0.1254	0.038372	0.07635	0.114538	0.084023	0.088508	0.067766	0.087591	0.07766	0.0682	0.1386	0.111987	0.049155	0.086751	0.12109	0.02904	0.1221	0.0858	0.054741	0.083408	0.1342	0.10053	0.09372	0.071047	0.136882	0.091178	0.047422	0.049867	0.08448	0.111919	0.063	0.11473	0.069882	0.0748	0.0528	0.0597	0.047087	0.06226	0.105806	0.08624	0.066861	0.082971	0.100344	0.090329	0.090837	0.083531	0.153848	0.082622	0.063468	0.051563	0.09017	0.061313	0.069036	0.046053	0.105031	0.048086	0.06358	0.116349	0.042778	0.0759	0.054285	0.064167	0.164507	0.0891	0.1419	0.096952	0.112823	0.070629	0.100112	0.066493	0.169893	0.098293	0.084857	0.094221	0.10692	0.104323	0.055306	0.053965	0.047007	0.095333	0.069457	0.116307	0.070785	0.07095	0.0706	0.063191	0.048231	0.070823	0.11715	0.070889	0.103185	0.072431	0.067962	0.090697	0.062089	0.099582	0.091508	0.059231	0.099765	0.139286	0.078862	0.049232	0.061325	0.08604	0.118698	0.086511	0.082287	0.1155	0.054049	0.06783	0.065811	0.044	0.09746	0.099165	0.108782	0.1062	0.061729	0.07232	0.097969	0.11177	0.053036	0.067487	0.071824	0.053625	0.094221	0.119447	0.053439	0.073033	0.047547	0.056603	0.084411	0.055629	0.060785	0.103689	0.082657	0.066714	0.066566	
D00113	0.124732	0.081125	0.110573	0.048856	0.11385	0.100481	0.190025	0.99	0.090974	0.038775	0.116393	0.047934	0.070647	0.10275	0.053625	0.089375	0.122853	0.074826	0.056331	0.07352	0.032738	0.084983	0.050089	0.104144	0.406154	0.097274	0.055362	0.077072	0.048375	0.128176	0.070349	0.072188	0.119093	0.070684	0.184121	0.065867	0.092567	0.088179	0.111509	0.089375	0.053323	0.086742	0.089226	0.072584	0.05064	0.04997	0.095677	0.059088	0.070321	0.130797	0.038672	0.094116	0.053885	0.042167	0.107708	0.092457	0.05024	0.061427	0.095065	0.097625	0.085636	0.09239	0.058125	0.09925	0.05665	0.127077	0.067031	0.132201	0.038606	0.064625	0.06654	0.094875	0.127306	0.078051	0.08711	0.029891	0.091667	0.056465	0.071676	0.051197	0.060877	0.066649	0.066589	0.080306	0.076607	0.076941	0.110699	0.050203	0.060313	0.065885	0.076947	0.074832	0.065361	0.052741	0.06325	0.06596	0.199948	0.088931	0.05187	0.073891	0.079413	0.049225	0.127188	0.068975	0.05136	0.081641	0.119658	0.064167	0.102067	0.078051	0.090976	0.104398	0.049398	0.046024	0.069988	0.098883	0.082708	0.092927	0.065717	0.098796	0.060653	0.052708	0.05264	0.060615	0.079922	0.080361	0.076073	0.07975	0.079063	0.068211	0.081957	0.087012	0.171875	0.094977	0.057449	0.053711	0.079155	0.064167	0.090888	0.049653	0.109763	0.068259	0.066229	0.130527	0.049653	0.065313	0.040563	0.060156	0.113489	0.082681	0.108801	0.114741	0.164092	0.056161	0.088941	0.064235	0.398987	0.116998	0.076607	0.098147	0.12675	0.099577	0.054043	0.047047	0.044218	0.089884	0.102798	0.091208	0.060672	0.075434	0.08125	0.083231	0.056058	0.073774	0.127073	0.080972	0.115701	0.054471	0.078041	0.10379	0.064676	0.103732	0.087331	0.063109	0.094656	0.103036	0.061522	0.070794	0.057435	0.0765	0.108519	0.099423	0.056442	0.135781	0.046081	0.06825	0.075821	0.045833	0.112292	0.085594	0.113683	0.102083	0.071379	0.075159	0.115371	0.151101	0.053036	0.081144	0.087757	0.063594	0.117112	0.1406	0.064315	0.10707	0.049107	0.058962	0.121941	0.057946	0.054745	0.092089	0.064167	0.062618	0.038893	
D00136	0.114568	0.067023	0.041698	0.049965	0.11573	0.045692	0.073828	0.090974	0.99	0.100074	0.043892	0.113837	0.066291	0.054	0.15134	0.124326	0.18185	0.099054	0.17874	0.235088	0.062492	0.155407	0.035357	0.182196	0.101145	0.074785	0.055135	0.068666	0.084558	0.068754	0.142244	0.054902	0.135911	0.158045	0.130705	0.091722	0.160889	0.093094	0.077306	0.048066	0.061583	0.118545	0.092594	0.069365	0.051662	0.073749	0.044859	0.091263	0.145814	0.152145	0.092813	0.123585	0.14374	0.101047	0.052186	0.080978	0.146404	0.129965	0.104531	0.086721	0.112693	0.119963	0.099488	0.130744	0.039907	0.05174	0.077292	0.130145	0.064937	0.076488	0.132247	0.141209	0.167779	0.107893	0.08487	0.057058	0.10261	0.049066	0.07854	0.108095	0.088256	0.151996	0.096588	0.071356	0.131744	0.157734	0.147505	0.058183	0.074302	0.106323	0.090912	0.038077	0.130357	0.091764	0.085058	0.116785	0.085058	0.148785	0.08144	0.045977	0.116526	0.071526	0.141764	0.050953	0.17448	0.053241	0.06907	0.105996	0.046991	0.087127	0.068439	0.106305	0.07447	0.058198	0.080428	0.085072	0.066279	0.100023	0.138365	0.045762	0.126372	0.116744	0.09404	0.070988	0.104324	0.123643	0.118953	0.143402	0.107726	0.16026	0.039079	0.142456	0.077538	0.127907	0.098506	0.081061	0.068966	0.066957	0.096544	0.054233	0.126099	0.049701	0.108977	0.133864	0.09593	0.096536	0.095738	0.108721	0.080753	0.056043	0.058361	0.11075	0.088763	0.128472	0.054529	0.130465	0.075289	0.087022	0.093311	0.132053	0.094186	0.111403	0.089956	0.046047	0.06907	0.048036	0.042757	0.142744	0.109169	0.185252	0.113023	0.087684	0.062576	0.123529	0.070988	0.083282	0.135893	0.120429	0.114909	0.152498	0.083282	0.052705	0.143118	0.121216	0.047381	0.069967	0.091896	0.072388	0.098488	0.052674	0.050651	0.14239	0.121924	0.086337	0.06423	0.044477	0.104811	0.032233	0.186488	0.149651	0.130602	0.18186	0.162743	0.046567	0.119673	0.051052	0.053173	0.113063	0.099617	0.083779	0.145285	0.117674	0.094321	0.048689	0.093033	0.092743	0.052105	0.059203	0.094556	0.103605	0.114568	0.102256	0.05394	
D00139	0.0924	0.07084	0.01782	0.011515	0.098208	0.014012	0.043296	0.038775	0.100074	0.99	0.018758	0.122467	0.088076	0.01584	0.111408	0.09636	0.078626	0.104065	0.153716	0.099404	0.072914	0.1034	0.019329	0.116356	0.039826	0.036791	0.040642	0.040295	0.08976	0.021156	0.100995	0.112708	0.058761	0.116325	0.0891	0.058123	0.100414	0.096035	0.095298	0.018758	0.037668	0.088468	0.078913	0.047977	0.029298	0.046039	0.0253	0.075989	0.1188	0.0396	0.116325	0.14429	0.086335	0.12408	0.05456	0.030041	0.081908	0.097852	0.111972	0.09372	0.058821	0.056042	0.09648	0.05808	0.015312	0.040026	0.104657	0.032175	0.010154	0.03784	0.07425	0.09064	0.062814	0.075318	0.053421	0.066574	0.0572	0.021856	0.105038	0.117115	0.099426	0.1122	0.064869	0.059821	0.073857	0.067966	0.069132	0.035916	0.0639	0.10945	0.054069	0.009646	0.063955	0.07128	0.0968	0.065235	0.03102	0.058761	0.048367	0.012011	0.074351	0.09504	0.048033	0.029538	0.140153	0.03069	0.058457	0.054522	0.019902	0.041671	0.050992	0.090933	0.094844	0.048033	0.098736	0.059821	0.0264	0.05324	0.109482	0.014667	0.092107	0.0844	0.053785	0.077	0.058163	0.068933	0.069443	0.106354	0.077	0.113106	0.0099	0.087863	0.050069	0.090933	0.065277	0.066413	0.043168	0.046296	0.072864	0.09944	0.07169	0.078886	0.09372	0.057703	0.085556	0.073989	0.1155	0.0682	0.051027	0.023968	0.026247	0.069641	0.081192	0.066	0.019175	0.067182	0.031407	0.057043	0.073333	0.086028	0.04464	0.0792	0.058481	0.013718	0.04074	0.014667	0.012571	0.071867	0.05313	0.132367	0.0776	0.059821	0.0924	0.097731	0.0539	0.080178	0.098517	0.103569	0.07813	0.0792	0.188222	0.026788	0.124865	0.110338	0.0132	0.0444	0.066	0.090616	0.106425	0.02904	0.016449	0.056049	0.093039	0.04884	0.058389	0.02802	0.073166	0.01804	0.09064	0.10758	0.07425	0.0824	0.1188	0.034566	0.070331	0.021235	0.104657	0.073994	0.081529	0.0495	0.084662	0.060824	0.0792	0.048039	0.117722	0.054142	0.063684	0.0132	0.071215	0.0726	0.089571	0.09347	0.103714	
