data	D00035	D00110	D00136	D00195	D00219	D00225	D00227	D00228	D00234	D00252	D00274	D00283	D00293	D00294	D00303	D00319	D00326	D00329	D00331	D00332	D00335	D00336	D00338	D00340	D00345	D00349	D00351	D00354	D00358	D00364	D00367	D00373	D00379	D00380	D00392	D00394	D00418	D00437	D00438	D00451	D00456	D00464	D00474	D00477	D00480	D00495	D00499	D00504	D00512	D00513	D00519	D00521	D00524	D00528	D00530	D00533	D00536	D00537	D00538	D00539	D00542	D00543	D00544	D00545	D00546	D00547	D00548	D00549	D00550	D00552	D00553	D00560	D00563	D00574	D00593	D00594	D00607	D00611	D00615	D00616	D00617	D00618	D00619	D00629	D00631	D00633	D00636	D00638	D00639	D00640	D00642	D00647	D00648	D00649	D00650	D00651	D00654	D00656	D00658	D00677	D00678	D00694	D00697	D00704	D00708	D00709	D00711	D00726	D00732	D00733	D00735	D00738	D00739	D00740	D00741	D00759	D00760	D00761	D00765	D00771	D00775	D00779	D00791	D00798	D00799	D00809	D00812	D00816	D00823	D00831	D00960	D00963	D00964	D01071	D01108	D01111	D01118	D01242	D01243	D01253	D01256	D01275	D01287	D01295	D01350	D01448	D01450	D01453	D01575	D01599	D01603	D01712	D01768	D01799	D01828	D01854	D01969	D02041	D02086	D02087	D02088	D02092	D02098	D02101	D02163	D02173	D02204	D02207	D02234	D02237	D02253	D02261	D02262	D02272	D02347	D02356	D02360	D02362	D02409	D02461	D02485	D02546	D02566	D02630	D02914	D03037	D03180	D03274	D03365	D03450	D03580	D03742	D03826	D03830	D03878	D03991	D04034	D04048	D04370	D04790	D04985	D04999	D05024	D05077	D05156	D05453	D05458	D05461	D06106	D06172	
D00035	0.99	0.2299	0.046899	0.099746	0.077917	0.014769	0.036983	0.041111	0.027133	0.07006	0.056122	0.029537	0.033802	0.044815	0.039722	0.088	0.031814	0.043821	0.047281	0.10614	0.058805	0.056667	0.041708	0.054444	0.031977	0.080816	0.072512	0.011543	0.063462	0.092093	0.034444	0.041905	0.074861	0.053226	0.122833	0.041823	0.061954	0.076154	0.064918	0.079775	0.032778	0.025208	0.063462	0.058929	0.025781	0.133571	0.079655	0.093413	0.061111	0.043621	0.043676	0.040526	0.060133	0.043214	0.033917	0.06328	0.105247	0.073639	0.061875	0.099815	0.028205	0.03463	0.045833	0.03463	0.03463	0.035833	0.142527	0.060238	0.014369	0.147632	0.059783	0.029464	0.0275	0.067644	0.043468	0.106726	0.04929	0.055764	0.067974	0.117458	0.063119	0.069474	0.038364	0.072	0.051163	0.028947	0.0473	0.066	0.047143	0.064167	0.069628	0.049608	0.04463	0.059444	0.042059	0.045638	0.044917	0.024292	0.044917	0.093912	0.034786	0.0539	0.088458	0.088431	0.066	0.105417	0.043267	0.055	0.096724	0.074861	0.097396	0.056897	0.053103	0.100179	0.067222	0.036444	0.029552	0.047168	0.054339	0.019412	0.031533	0.063657	0.037033	0.03964	0.024826	0.041823	0.03994	0.036667	0.030046	0.080536	0.038958	0.10429	0.03463	0.094444	0.020811	0.082147	0.039363	0.049194	0.055	0.047143	0.05383	0.058333	0.064167	0.036667	0.022931	0.055229	0.057696	0.0495	0.041823	0.069103	0.056594	0.042778	0.071667	0.079265	0.03025	0.062014	0.035718	0.084403	0.058929	0.0825	0.066	0.053922	0.073906	0.046691	0.069036	0.077075	0.035219	0.043894	0.032025	0.057876	0.050352	0.101466	0.053636	0.051083	0.0539	0.03984	0.070203	0.116395	0.052843	0.07879	0.022	0.111705	0.034301	0.022769	0.069036	0.0385	0.0825	0.071263	0.073333	0.063871	0.048797	0.08119	0.058333	0.101292	0.094487	0.091667	0.039507	0.072838	0.097908	0.11	0.064167	0.169936	0.084857	0.086087	0.071151	0.055	0.047451	0.026434	0.074516	0.071739	
D00110	0.2299	0.99	0.073828	0.108285	0.064845	0.046017	0.047452	0.0292	0.06204	0.076843	0.103176	0.072967	0.107663	0.041311	0.096486	0.10692	0.078812	0.105278	0.073989	0.053495	0.053049	0.0564	0.099825	0.0642	0.084419	0.104253	0.099887	0.044244	0.1089	0.111893	0.0658	0.041863	0.046017	0.103258	0.07326	0.067856	0.042331	0.100142	0.089479	0.075989	0.1212	0.046406	0.133269	0.117857	0.060225	0.074171	0.080338	0.122257	0.0892	0.091262	0.082694	0.093905	0.049104	0.061757	0.080025	0.101768	0.159133	0.07876	0.08965	0.0825	0.026908	0.033	0.053271	0.033	0.033	0.0348	0.140729	0.069771	0.044773	0.132347	0.134296	0.064704	0.08932	0.115841	0.059081	0.102418	0.055072	0.072875	0.093618	0.092176	0.095511	0.091358	0.0682	0.09924	0.099921	0.043421	0.058344	0.05148	0.078571	0.092583	0.106162	0.050471	0.0594	0.0678	0.060176	0.082149	0.05841	0.03993	0.052965	0.148837	0.118123	0.056232	0.11715	0.041929	0.149424	0.10285	0.137544	0.111987	0.127903	0.086167	0.057956	0.115841	0.056897	0.132471	0.055	0.06548	0.049155	0.064975	0.086751	0.035329	0.02904	0.1221	0.046068	0.039422	0.038638	0.067031	0.061521	0.066455	0.07425	0.088982	0.05247	0.087748	0.0517	0.063	0.028719	0.192162	0.069882	0.06226	0.122496	0.036771	0.059821	0.0998	0.138233	0.08624	0.039239	0.054615	0.116859	0.05764	0.063216	0.047723	0.061313	0.048086	0.0562	0.037659	0.054285	0.104969	0.068845	0.180691	0.100179	0.061738	0.092136	0.105988	0.051563	0.068232	0.058369	0.104792	0.040816	0.060479	0.055306	0.053965	0.060515	0.096952	0.086673	0.084446	0.063624	0.070823	0.12202	0.130158	0.073765	0.115186	0.06792	0.128009	0.090697	0.060252	0.092503	0.06105	0.083207	0.082287	0.1155	0.070471	0.07131	0.129486	0.084133	0.081593	0.114992	0.078523	0.067487	0.134676	0.155311	0.120057	0.0715	0.167285	0.084763	0.064996	0.094757	0.11484	0.102494	0.050498	0.075155	0.101296	
D00136	0.046899	0.073828	0.99	0.040974	0.080965	0.113837	0.066291	0.058372	0.15134	0.152118	0.235088	0.155407	0.154448	0.102894	0.153854	0.099256	0.150103	0.187181	0.094315	0.068666	0.063278	0.084558	0.142169	0.073256	0.122255	0.087394	0.101715	0.106305	0.164114	0.142244	0.219535	0.061834	0.043915	0.135911	0.075977	0.158045	0.03652	0.069365	0.064541	0.091263	0.111163	0.152049	0.143453	0.146362	0.092813	0.084053	0.080978	0.115116	0.158837	0.104531	0.071101	0.119963	0.039907	0.077292	0.131616	0.172798	0.113127	0.048733	0.090174	0.09124	0.064937	0.055853	0.071811	0.046899	0.046899	0.07186	0.119077	0.11	0.110761	0.13814	0.1318	0.132247	0.141209	0.167779	0.094816	0.112512	0.049066	0.077384	0.07273	0.05216	0.095382	0.06907	0.118953	0.065581	0.120471	0.094113	0.094549	0.061395	0.08588	0.149651	0.049394	0.115267	0.104574	0.083953	0.076744	0.098298	0.067151	0.076936	0.081733	0.088647	0.102522	0.103605	0.111663	0.06907	0.136605	0.06907	0.122177	0.148785	0.141315	0.105097	0.078183	0.134964	0.086271	0.146362	0.074953	0.059442	0.08144	0.069219	0.045977	0.087579	0.071526	0.141764	0.096544	0.058492	0.092413	0.156126	0.139784	0.146872	0.141124	0.077566	0.075785	0.045417	0.101899	0.066279	0.010993	0.075268	0.138365	0.070988	0.1188	0.094066	0.063191	0.047519	0.108721	0.123643	0.018409	0.075017	0.125274	0.080581	0.073387	0.04585	0.066957	0.049701	0.06814	0.040855	0.095738	0.06253	0.10903	0.075875	0.142799	0.08202	0.107442	0.225869	0.070269	0.038759	0.081301	0.049336	0.037362	0.067889	0.089956	0.046047	0.050478	0.037314	0.051374	0.053131	0.08887	0.123529	0.126909	0.071033	0.078399	0.098397	0.126419	0.054613	0.152498	0.312671	0.090894	0.12343	0.081404	0.121924	0.086337	0.08578	0.040507	0.045864	0.076512	0.07377	0.105671	0.085993	0.113063	0.115116	0.09242	0.048483	0.076318	0.132826	0.111169	0.085586	0.064136	0.144791	0.130917	0.094354	0.083923	0.119454	
D00195	0.099746	0.108285	0.040974	0.99	0.04936	0.027811	0.039538	0.044237	0.051346	0.038953	0.047942	0.029364	0.044396	0.027759	0.037954	0.039525	0.034382	0.035333	0.031351	0.045335	0.044957	0.054814	0.034958	0.036102	0.029267	0.048969	0.05635	0.022166	0.046037	0.040193	0.028814	0.05769	0.048941	0.040596	0.036076	0.030238	0.046674	0.041949	0.04282	0.055025	0.05339	0.03723	0.037216	0.049939	0.027966	0.028765	0.039345	0.033559	0.028814	0.059597	0.030598	0.038269	0.033336	0.040151	0.036216	0.045287	0.035217	0.093314	0.025636	0.040085	0.007314	0.011497	0.017579	0.011497	0.011497	0.013475	0.05936	0.046077	0.032199	0.050928	0.04815	0.042449	0.032254	0.048989	0.033469	0.071513	0.037869	0.04661	0.043885	0.091388	0.040751	0.050339	0.056761	0.039661	0.045916	0.05711	0.042173	0.050237	0.045012	0.052514	0.127633	0.041346	0.034463	0.03	0.033559	0.02987	0.033839	0.018737	0.029784	0.071342	0.055932	0.034231	0.043208	0.037178	0.034678	0.064788	0.043403	0.045107	0.048217	0.045989	0.065196	0.057475	0.06519	0.049939	0.05239	0.059186	0.039653	0.111539	0.092011	0.048036	0.029308	0.043814	0.026176	0.060014	0.027267	0.033909	0.033759	0.032595	0.036045	0.051937	0.030203	0.121584	0.034492	0.044746	0.026757	0.090029	0.026321	0.032534	0.049444	0.030203	0.040581	0.111356	0.06774	0.035051	0.043415	0.032091	0.055439	0.051085	0.036356	0.050196	0.032019	0.035424	0.055085	0.046226	0.033	0.072177	0.057186	0.093924	0.046743	0.046261	0.034231	0.051874	0.059078	0.420216	0.029452	0.199073	0.033854	0.076477	0.036321	0.03663	0.032929	0.132405	0.122265	0.116167	0.035237	0.057976	0.05143	0.096255	0.038385	0.084564	0.027661	0.093784	0.035724	0.028417	0.034521	0.031136	0.040751	0.034913	0.058449	0.034371	0.439173	0.201489	0.098249	0.078515	0.05604	0.066545	0.019773	0.072712	0.069261	0.09109	0.036977	0.042595	0.056971	0.048758	0.084564	0.041203	0.036191	0.032389	0.037709	0.032587	
D00219	0.077917	0.064845	0.080965	0.04936	0.99	0.041021	0.065573	0.07025	0.05511	0.09517	0.095801	0.041021	0.091266	0.168056	0.087411	0.086167	0.131515	0.094171	0.096178	0.128526	0.429623	0.414	0.087656	0.11075	0.143895	0.101357	0.070063	0.044917	0.084087	0.064081	0.0615	0.07425	0.420063	0.117097	0.080438	0.048211	0.106397	0.111375	0.117664	0.090527	0.0725	0.068578	0.096779	0.101946	0.060328	0.108821	0.166422	0.141429	0.0815	0.05775	0.126904	0.116658	0.03432	0.096054	0.088481	0.102992	0.099306	0.064625	0.077688	0.114125	0.043154	0.047667	0.050679	0.038958	0.038958	0.046875	0.086226	0.11825	0.039912	0.151974	0.096848	0.074987	0.07205	0.091603	0.226476	0.08854	0.089939	0.061188	0.110296	0.101936	0.116679	0.126645	0.067986	0.1137	0.093244	0.100737	0.11715	0.1437	0.069929	0.106792	0.057399	0.099647	0.081083	0.06875	0.106441	0.099351	0.107869	0.124163	0.116738	0.042765	0.061346	0.05775	0.100031	0.067456	0.09669	0.059469	0.0858	0.099532	0.098431	0.115958	0.200063	0.077948	0.102414	0.101946	0.148775	0.0671	0.059843	0.052383	0.051804	0.053382	0.06138	0.056375	0.066165	0.070014	0.068922	0.039445	0.038304	0.043526	0.123979	0.063201	0.081469	0.058561	0.097396	0.16925	0.032777	0.070601	0.037125	0.058438	0.08613	0.0825	0.13358	0.0605	0.059813	0.080667	0.024856	0.068578	0.066728	0.08965	0.046922	0.38775	0.055837	0.068554	0.1385	0.4125	0.100238	0.078626	0.069129	0.041094	0.076902	0.123063	0.08613	0.092044	0.169383	0.035908	0.062004	0.053541	0.036691	0.04355	0.044383	0.099647	0.091447	0.066853	0.052432	0.054224	0.14982	0.070601	0.03803	0.082116	0.117441	0.106661	0.06675	0.068302	0.054823	0.060944	0.077988	0.076725	0.170304	0.113637	0.044138	0.099665	0.038211	0.049893	0.083417	0.097969	0.046486	0.153365	0.068324	0.058419	0.044585	0.07281	0.140708	0.083135	0.060461	0.128413	0.069241	0.056375	0.086382	0.084738	0.127742	0.096848	
D00225	0.014769	0.046017	0.113837	0.027811	0.041021	0.99	0.051997	0.098333	0.12705	0.103125	0.097466	0.109236	0.097969	0.074352	0.084464	0.066407	0.095172	0.083618	0.057412	0.033289	0.059151	0.057833	0.077688	0.042778	0.085484	0.051071	0.085647	0.110679	0.075096	0.088256	0.160556	0.101881	0.04125	0.060914	0.0495	0.10026	0.028764	0.049712	0.041025	0.060203	0.101389	0.16987	0.06875	0.06744	0.090234	0.03754	0.027184	0.074206	0.118056	0.076494	0.04152	0.082018	0.019433	0.076935	0.104958	0.103495	0.057716	0.026583	0.074479	0.035139	0.031731	0.02037	0.038631	0.029537	0.026991	0.022083	0.07422	0.070278	0.370878	0.08636	0.077717	0.083482	0.107861	0.065115	0.039772	0.069732	0.018934	0.032847	0.044423	0.043814	0.062202	0.045351	0.069599	0.0455	0.076318	0.074298	0.087083	0.039167	0.070278	0.098542	0.02594	0.068121	0.037963	0.053889	0.094542	0.069823	0.035292	0.060042	0.055458	0.058929	0.085791	0.1089	0.104958	0.037206	0.0814	0.020625	0.062333	0.08664	0.065115	0.080208	0.051276	0.067328	0.048678	0.06744	0.047056	0.042111	0.047133	0.057937	0.012305	0.140196	0.075533	0.056273	0.10065	0.096374	0.104844	0.10026	0.103125	0.110632	0.08912	0.039613	0.053854	0.022391	0.085046	0.035833	0.004212	0.045657	0.104338	0.091972	0.0715	0.080929	0.040177	0.042407	0.054236	0.103889	0.005129	0.062906	0.057157	0.0715	0.068034	0.043953	0.052476	0.037976	0.042778	0.035319	0.076542	0.031486	0.064799	0.048774	0.069732	0.081354	0.0781	0.093644	0.044115	0.029742	0.078633	0.045272	0.012303	0.056234	0.059525	0.012402	0.019237	0.037141	0.040833	0.042229	0.043083	0.072276	0.097703	0.050097	0.062908	0.057401	0.081833	0.018333	0.168253	0.07703	0.040391	0.103125	0.028155	0.092554	0.051792	0.022769	0.031084	0.039067	0.049907	0.044344	0.094663	0.066282	0.074754	0.05277	0.061436	0.015278	0.026736	0.06875	0.078179	0.084891	0.019534	0.067833	0.091667	0.052513	0.031048	0.084891	
D00227	0.036983	0.047452	0.066291	0.039538	0.065573	0.051997	0.99	0.051379	0.05701	0.07742	0.074546	0.065273	0.088367	0.088506	0.055948	0.069414	0.075974	0.082431	0.062436	0.055998	0.06892	0.066414	0.076526	0.071897	0.078861	0.074546	0.06335	0.086398	0.061492	0.072642	0.07069	0.048606	0.065905	0.084611	0.087905	0.066498	0.045125	0.059741	0.055591	0.100568	0.071897	0.072899	0.083375	0.069089	0.065787	0.103227	0.07475	0.083719	0.058793	0.084168	0.069782	0.055699	0.053483	0.131065	0.072401	0.077086	0.07249	0.047509	0.072543	0.087241	0.028448	0.031925	0.033732	0.031925	0.031925	0.038276	0.086263	0.09564	0.050592	0.08265	0.068276	0.076607	0.078328	0.082402	0.069194	0.060554	0.036003	0.048599	0.05217	0.066829	0.052426	0.054501	0.072174	0.061655	0.049487	0.079356	0.078745	0.052138	0.057438	0.079023	0.059197	0.077647	0.046034	0.05931	0.051095	0.060649	0.059315	0.07169	0.065147	0.064328	0.067255	0.062131	0.07169	0.050872	0.096724	0.063772	0.06031	0.078003	0.059839	0.072859	0.05423	0.059839	0.058466	0.061977	0.064483	0.047793	0.049806	0.060708	0.032908	0.051542	0.060538	0.052787	0.042103	0.051207	0.043858	0.065787	0.075185	0.072592	0.071121	0.046432	0.070694	0.046637	0.064799	0.06569	0.029063	0.065212	0.055725	0.186147	0.061903	0.096887	0.055444	0.052701	0.059583	0.057023	0.024076	0.042175	0.051709	0.135034	0.044539	0.060836	0.041312	0.270665	0.058621	0.063088	0.086056	0.03963	0.067197	0.073966	0.055271	0.059267	0.061903	0.072515	0.060453	0.032787	0.040717	0.052252	0.044769	0.049784	0.049406	0.026998	0.052409	0.053856	0.055157	0.057042	0.052117	0.069479	0.06897	0.044062	0.105091	0.058319	0.056379	0.050148	0.061852	0.058273	0.048807	0.056233	0.07742	0.068459	0.066284	0.04203	0.034266	0.036034	0.056379	0.069556	0.050113	0.055	0.068757	0.058588	0.06755	0.045156	0.072859	0.066963	0.060635	0.062339	0.04694	0.056517	0.069949	0.052486	0.063137	0.068276	
D00228	0.041111	0.0292	0.058372	0.044237	0.07025	0.098333	0.051379	0.99	0.101	0.080357	0.062449	0.054167	0.099375	0.058148	0.059524	0.037778	0.065	0.076829	0.056053	0.052105	0.087925	0.084909	0.07875	0.064545	0.058372	0.039592	0.057761	0.072222	0.048077	0.047907	0.076061	0.231429	0.078056	0.048387	0.036	0.070313	0.064138	0.0325	0.03623	0.107297	0.067273	0.078438	0.057692	0.060714	0.088125	0.034286	0.024828	0.052381	0.067273	0.051724	0.054706	0.061228	0.036	0.053214	0.05525	0.081935	0.055556	0.033333	0.0525	0.031667	0.015385	0.016111	0.021429	0.016111	0.016111	0.018182	0.048387	0.094286	0.105135	0.078947	0.056087	0.068929	0.075	0.059655	0.059677	0.083214	0.02918	0.045833	0.059538	0.079153	0.060857	0.04386	0.071667	0.030727	0.081395	0.089474	0.102	0.051091	0.055714	0.069722	0.055319	0.075686	0.03899	0.038182	0.083333	0.067021	0.053	0.0385	0.0605	0.045306	0.064359	0.0502	0.04625	0.025882	0.0536	0.032083	0.068	0.047097	0.058621	0.087222	0.088125	0.047586	0.108621	0.060714	0.083667	0.052485	0.04791	0.059417	0.016036	0.082941	0.0716	0.046944	0.0778	0.234054	0.081042	0.078438	0.089643	0.086552	0.069722	0.04875	0.06025	0.024262	0.096944	0.039091	0.002703	0.028077	0.065294	0.0525	0.0588	0.080571	0.088723	0.056061	0.038333	0.069778	0.008521	0.044125	0.040588	0.049667	0.079688	0.080513	0.045507	0.036429	0.092727	0.106176	0.09925	0.036957	0.066724	0.036792	0.049286	0.204583	0.0552	0.06	0.098438	0.03741	0.055156	0.059592	0.022368	0.048173	0.070253	0.03	0.020845	0.097586	0.058843	0.060855	0.0772	0.067115	0.047561	0.078605	0.061569	0.060119	0.049636	0.019767	0.084194	0.050806	0.030469	0.0525	0.025714	0.082258	0.055	0.029839	0.039098	0.085714	0.066768	0.053125	0.047115	0.099231	0.049296	0.037297	0.041277	0.016508	0.028889	0.065385	0.055571	0.200435	0.020119	0.065	0.054706	0.046589	0.02871	0.052174	
D00234	0.027133	0.06204	0.15134	0.051346	0.05511	0.12705	0.05701	0.101	0.99	0.122807	0.118127	0.12925	0.082706	0.064778	0.089571	0.06292	0.095894	0.099966	0.083021	0.045505	0.054419	0.07344	0.07887	0.0612	0.073828	0.069098	0.131606	0.077733	0.088592	0.118033	0.1426	0.103526	0.054267	0.073877	0.03729	0.15015	0.043014	0.05445	0.050852	0.078486	0.094	0.114469	0.065746	0.084857	0.104981	0.043686	0.058945	0.069771	0.0852	0.088531	0.036106	0.108495	0.027456	0.0627	0.08547	0.108581	0.061356	0.03322	0.053625	0.050967	0.029954	0.033367	0.044314	0.040333	0.040333	0.0393	0.067703	0.093343	0.132714	0.081979	0.092687	0.143904	0.1331	0.0924	0.071855	0.129171	0.041223	0.0803	0.066406	0.068461	0.061663	0.054421	0.162678	0.05148	0.085186	0.071211	0.073128	0.05868	0.069457	0.097717	0.044023	0.097447	0.058533	0.046	0.095894	0.065579	0.06237	0.05676	0.06237	0.080951	0.079031	0.079332	0.088605	0.037271	0.068376	0.043175	0.074184	0.082181	0.081931	0.122833	0.072806	0.0858	0.114931	0.084857	0.05742	0.08748	0.094616	0.089324	0.024557	0.0858	0.078144	0.085617	0.11946	0.097751	0.1166	0.126225	0.133179	0.128586	0.089833	0.059046	0.064845	0.025426	0.087633	0.0314	0.004816	0.059273	0.136076	0.09537	0.082896	0.082971	0.064315	0.055133	0.076267	0.1034	0.011396	0.084645	0.080947	0.05852	0.077859	0.055677	0.057583	0.047929	0.0584	0.039794	0.086625	0.053144	0.151459	0.063509	0.080143	0.081538	0.071808	0.114141	0.072806	0.041879	0.105806	0.060478	0.030916	0.069554	0.088641	0.030412	0.032535	0.066228	0.064745	0.066959	0.057552	0.168935	0.084351	0.081963	0.060435	0.071421	0.08952	0.027474	0.133916	0.134023	0.052903	0.09537	0.057986	0.119865	0.06534	0.04439	0.043768	0.098529	0.070733	0.05808	0.092146	0.078523	0.081617	0.074384	0.084957	0.032057	0.051517	0.080723	0.13398	0.085657	0.030407	0.08492	0.092012	0.071935	0.055142	0.080635	
D00252	0.07006	0.076843	0.152118	0.038953	0.09517	0.103125	0.07742	0.080357	0.122807	0.99	0.113528	0.185298	0.181942	0.089921	0.101301	0.075952	0.126176	0.1673	0.12437	0.058308	0.07872	0.090429	0.171482	0.077143	0.126354	0.07769	0.093934	0.060238	0.118764	0.185008	0.145	0.08452	0.071696	0.1228	0.063054	0.257076	0.036983	0.068221	0.05603	0.097471	0.104286	0.158002	0.118764	0.086288	0.199621	0.066224	0.080468	0.217194	0.183214	0.115825	0.073834	0.082293	0.018857	0.067768	0.122866	0.496901	0.129643	0.01925	0.165982	0.066131	0.018132	0.018988	0.017679	0.018988	0.018988	0.010714	0.12356	0.090357	0.100338	0.105451	0.119394	0.11007	0.128071	0.107697	0.094666	0.106492	0.044052	0.041741	0.080687	0.070714	0.096643	0.062237	0.061548	0.062143	0.089352	0.067613	0.100414	0.056786	0.081939	0.15747	0.042755	0.078803	0.055595	0.086071	0.082731	0.119863	0.063643	0.062759	0.073661	0.097653	0.088242	0.130114	0.103125	0.040903	0.138129	0.028973	0.096643	0.091624	0.079249	0.106071	0.062612	0.106478	0.072746	0.081658	0.05775	0.043786	0.052948	0.048745	0.01805	0.095672	0.0693	0.085774	0.07425	0.079952	0.077344	0.232031	0.273597	0.257254	0.119167	0.061665	0.067768	0.024151	0.087083	0.077143	0.01306	0.059382	0.218382	0.132982	0.109371	0.143449	0.070464	0.042976	0.085774	0.104238	0.008375	0.062759	0.090819	0.062857	0.10423	0.080687	0.088991	0.05949	0.0525	0.075914	0.080438	0.059339	0.055474	0.0825	0.10986	0.117366	0.123043	0.109076	0.054141	0.039597	0.078449	0.046902	0.015818	0.047256	0.16679	0.035357	0.027555	0.055474	0.048799	0.050467	0.0858	0.063915	0.138554	0.067151	0.100756	0.084324	0.118929	0.024942	0.112535	0.088773	0.05543	0.06875	0.063138	0.128692	0.077196	0.0422	0.041383	0.054719	0.061071	0.068504	0.090206	0.098516	0.104577	0.083456	0.101809	0.023384	0.064821	0.118764	0.101357	0.122469	0.032972	0.080929	0.125483	0.054452	0.057788	0.134255	
