data	D00040	D00066	D00067	D00075	D00088	D00094	D00105	D00129	D00143	D00163	D00182	D00187	D00188	D00211	D00246	D00279	D00299	D00312	D00316	D00327	D00348	D00443	D00462	D00506	D00554	D00565	D00577	D00585	D00586	D00596	D00627	D00690	D00730	D00898	D00930	D00950	D00951	D00954	D00956	D00961	D00962	D00965	D01115	D01132	D01161	D01217	D01294	D01387	D01441	D01689	D02217	D02367	D04066	D05341	
D00040	0.99	0.283327	0.120492	0.179526	0.168888	0.065352	0.130527	0.166519	0.510092	0.272034	0.168305	0.18351	0.296644	0.102401	0.132235	0.029615	0.203228	0.103592	0.056058	0.199621	0.065352	0.145156	0.251697	0.030179	0.127288	0.038641	0.025264	0.163251	0.038962	0.033475	0.020949	0.13594	0.032637	0.022347	0.156538	0.173266	0.140941	0.173266	0.143621	0.022787	0.034368	0.034261	0.132533	0.036426	0.106885	0.257628	0.176491	0.185223	0.02863	0.188095	0.022514	0.154325	0.124061	0.076355	
D00066	0.283327	0.99	0.149181	0.257889	0.214408	0.065309	0.161605	0.147808	0.422409	0.268467	0.236778	0.142083	0.139227	0.085678	0.163196	0.045785	0.152341	0.110693	0.065879	0.346231	0.065309	0.156457	0.302396	0.040159	0.157594	0.038878	0.027238	0.238927	0.035327	0.042916	0.02053	0.197725	0.044399	0.027668	0.135328	0.241436	0.169954	0.241436	0.202051	0.029683	0.045492	0.036256	0.142852	0.049826	0.097279	0.439444	0.198724	0.20549	0.040039	0.284028	0.029371	0.193487	0.155679	0.076576	
D00067	0.120492	0.149181	0.99	0.33011	0.198446	0.046902	0.8107	0.092146	0.140275	0.113566	0.309478	0.09504	0.09833	0.060997	0.11462	0.058178	0.090514	0.417353	0.047977	0.132372	0.046902	0.110157	0.149181	0.04708	0.75479	0.054853	0.071091	0.119064	0.041288	0.043768	0.039494	0.0972	0.067257	0.063292	0.084558	0.304717	0.113711	0.304717	0.271744	0.0308	0.033542	0.043224	0.101941	0.048615	0.135844	0.1497	0.131837	0.096228	0.040775	0.130214	0.041721	0.193532	0.407744	0.067257	
D00075	0.179526	0.257889	0.33011	0.99	0.412054	0.063074	0.352	0.128756	0.209	0.160954	0.537281	0.119969	0.120681	0.083586	0.1771	0.037481	0.136256	0.249765	0.049712	0.228831	0.063074	0.128202	0.220786	0.042167	0.318716	0.036789	0.0286	0.17226	0.037093	0.033772	0.018274	0.159611	0.040595	0.029051	0.129024	0.529015	0.159699	0.529015	0.46706	0.022193	0.033904	0.038069	0.117054	0.034073	0.131093	0.249417	0.144019	0.158015	0.023733	0.190041	0.027598	0.287438	0.320375	0.080405	
D00088	0.168888	0.214408	0.198446	0.412054	0.99	0.070118	0.198611	0.140016	0.174185	0.156901	0.322335	0.126035	0.125317	0.092541	0.192748	0.043769	0.124971	0.147621	0.065005	0.203565	0.070118	0.132616	0.19119	0.048014	0.214438	0.048162	0.038479	0.180876	0.042106	0.050932	0.02726	0.164414	0.043108	0.034189	0.138768	0.315455	0.17854	0.315455	0.289805	0.041387	0.047588	0.044857	0.13548	0.038395	0.118445	0.207432	0.137528	0.157553	0.031827	0.19013	0.030738	0.271547	0.189527	0.097471	
D00094	0.065352	0.065309	0.046902	0.063074	0.070118	0.99	0.038877	0.094427	0.056485	0.053426	0.064289	0.087327	0.09148	0.071823	0.063191	0.05617	0.083169	0.03903	0.104509	0.062796	0.794151	0.076064	0.055056	0.069511	0.049633	0.059447	0.061988	0.064877	0.063681	0.075263	0.036918	0.064539	0.044134	0.069493	0.099207	0.0633	0.074273	0.0633	0.059447	0.046562	0.058959	0.065807	0.06945	0.05891	0.058253	0.06234	0.069433	0.068668	0.032798	0.075169	0.034229	0.069349	0.046568	0.164833	
D00105	0.130527	0.161605	0.8107	0.352	0.198611	0.038877	0.99	0.10193	0.151957	0.122573	0.320929	0.104653	0.109291	0.071854	0.121815	0.053868	0.104835	0.377541	0.044776	0.141933	0.038877	0.107308	0.159956	0.042574	0.822787	0.05079	0.065825	0.121978	0.04292	0.036559	0.032921	0.104259	0.06082	0.058604	0.098497	0.315991	0.119793	0.315991	0.2816	0.028519	0.031058	0.044815	0.109336	0.045014	0.140488	0.161574	0.122901	0.103217	0.037755	0.131784	0.038631	0.213701	0.423824	0.052963	
D00129	0.165922	0.147808	0.092146	0.128756	0.140016	0.094427	0.10193	0.99	0.156223	0.164416	0.131815	0.354115	0.386165	0.089762	0.117944	0.045912	0.293182	0.08026	0.071679	0.138304	0.096227	0.124203	0.126319	0.043295	0.110438	0.062521	0.040736	0.109097	0.048309	0.040526	0.031321	0.107222	0.040495	0.044586	0.378778	0.130893	0.121775	0.130893	0.11739	0.03726	0.046017	0.048861	0.117956	0.050047	0.100469	0.146795	0.127498	0.127515	0.033962	0.12971	0.025687	0.142349	0.103654	0.088846	
D00143	0.510092	0.422409	0.140275	0.209	0.174185	0.056485	0.151957	0.156223	0.99	0.294107	0.195938	0.150409	0.148689	0.097566	0.144259	0.036119	0.160309	0.109517	0.061946	0.224833	0.056485	0.164414	0.284343	0.032507	0.148186	0.031741	0.025612	0.179021	0.033218	0.040353	0.018907	0.154279	0.035181	0.026016	0.143068	0.201713	0.165682	0.201713	0.165361	0.025059	0.041157	0.034091	0.150117	0.046851	0.095855	0.394701	0.221216	0.171107	0.034613	0.227436	0.024715	0.179662	0.140083	0.070832	
D00163	0.272034	0.268467	0.113566	0.160954	0.156901	0.053426	0.122573	0.164416	0.294107	0.99	0.150894	0.134418	0.134298	0.113286	0.142663	0.033436	0.142241	0.097394	0.050259	0.181481	0.053426	0.139893	0.253596	0.034644	0.119417	0.03869	0.025793	0.138018	0.040489	0.040792	0.021229	0.129042	0.033777	0.022856	0.143736	0.155342	0.138974	0.155342	0.128763	0.035535	0.041256	0.040311	0.141994	0.038856	0.105748	0.247471	0.186096	0.157376	0.036009	0.176268	0.025062	0.143905	0.11608	0.071708	
