data	D00049	D00059	D00079	D00094	D00095	D00106	D00110	D00113	D00136	D00139	D00180	D00225	D00227	D00232	D00234	D00235	D00241	D00255	D00270	D00274	D00281	D00283	D00295	D00300	D00301	D00306	D00318	D00332	D00336	D00356	D00364	D00371	D00380	D00394	D00397	D00400	D00410	D00411	D00415	D00419	D00422	D00426	D00432	D00437	D00440	D00442	D00443	D00451	D00454	D00465	D00480	D00483	D00493	D00494	D00498	D00499	D00503	D00509	D00513	D00514	D00520	D00521	D00522	D00523	D00524	D00525	D00528	D00540	D00542	D00559	D00560	D00563	D00574	D00598	D00601	D00604	D00606	D00607	D00609	D00613	D00627	D00632	D00635	D00645	D00646	D00665	D00666	D00673	D00674	D00675	D00676	D00682	D00683	D00684	D00687	D00688	D00715	D00726	D00760	D00765	D00769	D00775	D00779	D00780	D00790	D00837	D00838	D00845	D00954	D00965	D00987	D00996	D01020	D01022	D01024	D01051	D01071	D01103	D01118	D01126	D01164	D01227	D01236	D01242	D01269	D01295	D01297	D01324	D01332	D01346	D01352	D01358	D01386	D01390	D01441	D01454	D01462	D01603	D01652	D01692	D01699	D01712	D01713	D01717	D01745	D01782	D01828	D01871	D01891	D01925	D01964	D01965	D01973	D01994	D02007	D02066	D02070	D02076	D02082	D02147	D02149	D02150	D02234	D02237	D02250	D02278	D02279	D02327	D02338	D02340	D02342	D02349	D02354	D02356	D02357	D02358	D02359	D02361	D02374	D02566	D02578	D02588	D02614	D02671	D02721	D02725	D02826	D02884	D02910	D03165	D03187	D03210	D03274	D03365	D03415	D03442	D03490	D03503	D03621	D03642	D03654	D03858	D03879	D03880	D03881	D03966	D04006	D04034	D04040	D04375	D04625	D04716	D04979	D05113	D05129	D05246	D05312	D05341	D05740	D05792	D05938	D06056	D06396	
D00049	1.0	0.192857	0.058333	0.037994	0.345714	0.03956	0.241429	0.251488	0.280731	0.231429	0.061404	0.160714	0.208128	0.063636	0.172857	0.288095	0.447205	0.280731	0.186636	0.246356	0.166667	0.198413	0.163265	0.320106	0.103175	0.097264	0.120301	0.135338	0.219481	0.165362	0.280731	0.175824	0.331797	0.180804	0.321429	0.165899	0.431122	0.174948	0.174216	0.061404	0.111498	0.218845	0.187888	0.232143	0.111498	0.098142	0.041667	0.326255	0.165306	0.301786	0.142857	0.29803	0.123552	0.152381	0.077778	0.12069	0.148352	0.223602	0.35468	0.238095	0.180451	0.180451	0.219481	0.187013	0.071429	0.112903	0.163265	0.251488	0.049451	0.116667	0.183673	0.288095	0.35468	0.254202	0.142017	0.152174	0.380952	0.074941	0.218845	0.218845	0.165899	0.240079	0.172449	0.218845	0.170068	0.256839	0.2046	0.106312	0.274351	0.291667	0.269231	0.044872	0.144869	0.172449	0.20119	0.149068	0.20119	0.331797	0.076759	0.031532	0.246356	0.14	0.285714	0.084309	0.170168	0.150893	0.108844	0.174948	0.03956	0.201681	0.1409	0.320106	0.214286	0.126984	0.172857	0.256839	0.138528	0.20119	0.170168	0.066138	0.15873	0.1829	0.153518	0.171429	0.188616	0.192063	0.262422	0.165306	0.190476	0.236695	0.046053	0.223214	0.29803	0.320106	0.165362	0.142857	0.138996	0.149068	0.205714	0.15873	0.17734	0.205782	0.192857	0.146939	0.107143	0.270677	0.216071	0.160714	0.153518	0.135338	0.140365	0.208128	0.163073	0.156772	0.108271	0.153518	0.208128	0.25	0.19161	0.29803	0.219481	0.278802	0.109403	0.068627	0.086845	0.066138	0.054422	0.268254	0.257143	0.198413	0.261905	0.183891	0.117216	0.137363	0.171429	0.214286	0.250871	0.263736	0.233591	0.230415	0.214286	0.151261	0.233591	0.089744	0.037267	0.133581	0.117216	0.19305	0.214286	0.093506	0.053846	0.215385	0.1947	0.289286	0.108752	0.05487	0.246939	0.152381	0.238095	0.301786	0.183673	0.261905	0.254202	0.073245	0.188616	0.055901	0.163265	0.17002	0.201681	0.360119	0.29803	0.236695	0.147465	0.074941	0.176385	0.174334	0.101504	0.054422	0.14903	0.270677	0.244898	0.233591	0.165306	
D00059	0.192857	1.0	0.245	0.159574	0.588	0.205128	0.216	0.200694	0.174419	0.192	0.257895	0.156481	0.229885	0.102424	0.130667	0.25	0.284058	0.151938	0.154839	0.245578	0.192063	0.156481	0.171429	0.177778	0.150712	0.18156	0.197368	0.212281	0.242424	0.131963	0.131008	0.251282	0.18172	0.104167	0.266667	0.215054	0.171429	0.233816	0.182927	0.189474	0.325203	0.159574	0.20942	0.23141	0.293496	0.14336	0.128571	0.152252	0.160952	0.12	0.176042	0.165517	0.176577	0.187778	0.326667	0.258621	0.167521	0.20942	0.165517	0.321111	0.149708	0.211111	0.175152	0.118788	0.225333	0.275269	0.233333	0.15625	0.164103	0.187778	0.133929	0.187778	0.194253	0.220588	0.225882	0.175362	0.177778	0.107104	0.229787	0.204965	0.194086	0.37037	0.171905	0.18156	0.384127	0.139007	0.225989	0.310078	0.12803	0.136111	0.125641	0.188462	0.248357	0.230476	0.18	0.233816	0.18	0.241935	0.131592	0.108408	0.17415	0.225333	0.133333	0.157377	0.141176	0.18375	0.31746	0.123671	0.148205	0.288235	0.147945	0.544444	0.4	0.3	0.450667	0.18156	0.170707	0.142222	0.118627	0.4	0.18963	0.163636	0.097512	0.142222	0.117188	0.166667	0.163043	0.095238	0.120988	0.261438	0.212281	0.176042	0.332184	0.35679	0.131963	0.234375	0.13018	0.139614	0.130667	0.24	0.229885	0.229365	0.16	0.21	0.138889	0.17193	0.440833	0.133333	0.219403	0.232018	0.17093	0.331034	0.277358	0.156277	0.185614	0.263184	0.166092	0.238095	0.256085	0.332184	0.293333	0.474194	0.094937	0.065359	0.126859	0.241975	0.311111	0.125185	0.333333	0.181481	0.227273	0.256028	0.123077	0.207692	0.200556	0.277778	0.468293	0.144444	0.291892	0.130108	0.208642	0.259314	0.325225	0.218803	0.193237	0.209524	0.247009	0.230631	0.225	0.174545	0.205128	0.166154	0.215054	0.281667	0.108408	0.127424	0.214286	0.16	0.187778	0.240833	0.238095	0.145455	0.392157	0.162712	0.325521	0.319565	0.233333	0.187793	0.288235	0.2	0.372414	0.188889	0.154839	0.177049	0.3	0.203955	0.189474	0.101587	0.11893	0.197368	0.178571	0.202703	0.24381	
D00079	0.058333	0.245	1.0	0.363121	0.216	0.720256	0.3	0.3125	0.112016	0.042667	0.95	0.0375	0.165517	0.272727	0.065333	0.18	0.142029	0.087209	0.053763	0.15	0.050794	0.078241	0.133929	0.061728	0.205698	0.278014	0.142105	0.224561	0.160303	0.422146	0.112016	0.108333	0.174194	0.075	0.117188	0.226075	0.085714	0.116908	0.196748	0.790643	0.179268	0.128014	0.30471	0.200321	0.179268	0.185501	0.333532	0.13018	0.080476	0.24	0.042188	0.082759	0.064865	0.045	0.311481	0.278161	0.072222	0.130797	0.12931	0.142222	0.116959	0.154678	0.077576	0.133636	0.170667	0.237097	0.085714	0.2	0.082051	0.125	0.10744	0.055556	0.166092	0.176961	0.213529	0.046377	0.104321	0.184699	0.09078	0.128014	0.077688	0.133796	0.214286	0.102482	0.15873	0.156383	0.221469	0.17093	0.136742	0.078125	0.184615	0.718803	0.171127	0.137143	0.1225	0.176087	0.266944	0.137634	0.152363	0.277628	0.179932	0.042667	0.185185	0.276639	0.082843	0.255208	0.228571	0.189372	0.370256	0.15817	0.23379	0.2	0.104321	0.133796	0.176333	0.128014	0.267172	0.173611	0.059314	0.246914	0.107037	0.081818	0.071891	0.09	0.176042	0.107037	0.092754	0.068571	0.225	0.105882	0.763377	0.052083	0.186207	0.158025	0.073973	0.133333	0.230631	0.127778	0.096333	0.133704	0.152011	0.143254	0.027222	0.291667	0.149383	0.098684	0.135	0.056019	0.359204	0.333553	0.410078	0.165517	0.181132	0.157792	0.324386	0.155473	0.276149	0.216964	0.178836	0.166092	0.272727	0.215054	0.10211	0.172876	0.173141	0.272222	0.229365	0.148148	0.24	0.078241	0.182323	0.187589	0.072222	0.128205	0.3025	0.178395	0.215041	0.096154	0.198649	0.077419	0.074691	0.372794	0.145946	0.109402	0.704348	0.312554	0.17094	0.162613	0.153125	0.293333	0.804103	0.186923	0.107527	0.100833	0.093844	0.237576	0.190476	0.125	0.08	0.106667	0.15744	0.09899	0.141667	0.312006	0.234375	0.394565	0.172024	0.093897	0.204248	0.084028	0.166092	0.204248	0.043548	0.297541	0.164626	0.136723	0.338012	0.35	0.082305	0.142105	0.128571	0.198649	0.171905	
D00094	0.037994	0.159574	0.363121	1.0	0.102979	0.335188	0.137872	0.143617	0.142999	0.030638	0.335946	0.047872	0.106016	0.1706	0.108936	0.229787	0.111933	0.059871	0.068634	0.173686	0.064843	0.085106	0.148936	0.06383	0.142571	0.260751	0.202128	0.219485	0.154739	0.182163	0.160317	0.066285	0.115992	0.095745	0.130319	0.197666	0.091945	0.163121	0.132849	0.313923	0.29891	0.146673	0.185014	0.276596	0.29891	0.211901	0.227964	0.129385	0.102736	0.234574	0.080452	0.088775	0.082806	0.085816	0.189125	0.355099	0.092199	0.133673	0.088775	0.070922	0.107876	0.197462	0.055706	0.154739	0.166809	0.115992	0.128419	0.177305	0.104746	0.070922	0.109802	0.057447	0.165077	0.202753	0.196245	0.059204	0.095351	0.235787	0.11589	0.130828	0.099176	0.170804	0.238298	0.101856	0.182877	0.163422	0.190768	0.285007	0.156673	0.086879	0.163666	0.279324	0.21846	0.147112	0.128014	0.208449	0.141844	0.175704	0.172912	0.150278	0.085106	0.054468	0.260638	0.156958	0.07572	0.166223	0.099291	0.192723	0.188543	0.18398	0.167881	0.095351	0.133176	0.191489	0.18766	0.163422	0.257898	0.156383	0.07572	0.201734	0.12104	0.104449	0.045729	0.09078	0.132979	0.153191	0.078168	0.087538	0.246257	0.120567	0.286674	0.053856	0.059428	0.154452	0.094433	0.170213	0.194365	0.111317	0.108936	0.153191	0.106016	0.085613	0.034752	0.16079	0.100867	0.12598	0.13617	0.071513	0.214671	0.18925	0.193963	0.194057	0.116018	0.1727	0.175588	0.182915	0.146735	0.109802	0.228301	0.187821	0.154739	0.134523	0.130353	0.220693	0.209552	0.227738	0.171226	0.189125	0.257447	0.085106	0.257898	0.239475	0.12275	0.235679	0.156383	0.201734	0.132849	0.139662	0.230017	0.083047	0.113475	0.195557	0.097182	0.139662	0.3358	0.201437	0.139662	0.147211	0.177305	0.174081	0.294599	0.275286	0.111187	0.052128	0.076672	0.147099	0.19696	0.139007	0.085816	0.119681	0.109802	0.145068	0.180851	0.173278	0.175864	0.185014	0.075988	0.097093	0.2403	0.088652	0.212032	0.150605	0.055594	0.139519	0.210161	0.130184	0.120941	0.446809	0.115839	0.161814	0.182877	0.112708	0.136778	
D00095	0.345714	0.588	0.216	0.102979	1.0	0.177846	0.2592	0.300833	0.301395	0.2704	0.227368	0.217778	0.304138	0.104727	0.2048	0.432	0.445217	0.209302	0.218065	0.26449	0.190476	0.25	0.115714	0.29037	0.180855	0.191489	0.206316	0.210526	0.210182	0.177534	0.209302	0.26	0.330323	0.18	0.32	0.186452	0.321429	0.167536	0.281951	0.179649	0.19122	0.217872	0.347826	0.196923	0.164878	0.130081	0.121905	0.243243	0.257143	0.225	0.125	0.310345	0.211892	0.133333	0.256889	0.233103	0.201026	0.251304	0.310345	0.432	0.179649	0.227368	0.186182	0.210182	0.1296	0.252903	0.28	0.1875	0.150769	0.261333	0.231429	0.261333	0.353103	0.381176	0.248941	0.173913	0.29037	0.094426	0.191489	0.275745	0.209032	0.444444	0.228571	0.166809	0.380952	0.245957	0.298983	0.182326	0.204545	0.213333	0.196923	0.148205	0.248451	0.206286	0.192667	0.255652	0.240667	0.418065	0.131642	0.092252	0.235918	0.2704	0.217778	0.14459	0.198824	0.2205	0.308571	0.167536	0.120615	0.200784	0.158356	0.925926	0.29037	0.217778	0.3528	0.191489	0.204848	0.216	0.198824	0.213333	0.227556	0.175152	0.172537	0.15	0.16	0.2	0.251304	0.164571	0.18963	0.283137	0.170526	0.245	0.497931	0.653333	0.177534	0.245	0.175135	0.167536	0.18	0.174222	0.248966	0.24381	0.192	0.276571	0.18963	0.151579	0.289	0.16	0.215522	0.210526	0.167907	0.275862	0.33283	0.187532	0.203789	0.263284	0.248966	0.206429	0.16254	0.608276	0.454545	0.806452	0.113924	0.063529	0.115108	0.29037	0.321905	0.2	0.324	0.284444	0.392727	0.375319	0.147692	0.277692	0.240667	0.333333	0.472195	0.29641	0.432432	0.252903	0.25037	0.212353	0.523243	0.147692	0.167536	0.207792	0.262564	0.276757	0.300833	0.160364	0.199385	0.246154	0.209032	0.45	0.13009	0.113636	0.370286	0.108	0.3	0.289	0.257857	0.237576	0.470588	0.135593	0.330625	0.195652	0.241429	0.248451	0.200784	0.24	0.608276	0.283137	0.185806	0.189508	0.235918	0.173559	0.202807	0.093333	0.16	0.177895	0.275238	0.276757	0.224	
D00106	0.03956	0.205128	0.720256	0.335188	0.177846	1.0	0.295692	0.288462	0.129159	0.039385	0.702024	0.034615	0.152785	0.323357	0.078769	0.166154	0.113043	0.091592	0.06005	0.138462	0.046886	0.072222	0.123626	0.068946	0.180013	0.275286	0.131174	0.207287	0.123357	0.426765	0.129159	0.1	0.111663	0.08125	0.094231	0.238462	0.054945	0.107915	0.181614	0.57112	0.181614	0.144354	0.301003	0.184911	0.181614	0.190244	0.338645	0.134719	0.086154	0.203462	0.058173	0.089655	0.07027	0.062051	0.287521	0.212202	0.077318	0.120736	0.135809	0.131282	0.107962	0.155466	0.071608	0.111888	0.177846	0.240199	0.079121	0.169551	0.07574	0.115385	0.099176	0.062051	0.135809	0.180995	0.185339	0.042809	0.068946	0.183859	0.094599	0.118167	0.071712	0.123504	0.184835	0.094599	0.161538	0.158429	0.219296	0.173166	0.154196	0.092628	0.143195	0.61854	0.146479	0.116264	0.102564	0.139353	0.230769	0.127047	0.157176	0.306168	0.138462	0.039385	0.154274	0.290542	0.076471	0.222308	0.210989	0.162542	0.36	0.133032	0.30432	0.164672	0.096296	0.109402	0.177231	0.144354	0.205594	0.173333	0.065158	0.205698	0.098803	0.075524	0.058783	0.092564	0.17524	0.123419	0.085619	0.074286	0.207692	0.108899	0.657692	0.058173	0.153316	0.128205	0.068282	0.123077	0.240333	0.139353	0.099692	0.123419	0.152785	0.132234	0.032821	0.254066	0.11396	0.091093	0.111154	0.072222	0.349254	0.307895	0.378533	0.152785	0.167199	0.145654	0.285668	0.12147	0.254907	0.171703	0.165079	0.153316	0.251748	0.179156	0.112171	0.146003	0.177089	0.301425	0.211722	0.150769	0.221538	0.083761	0.205594	0.173159	0.077318	0.130473	0.332308	0.164672	0.198499	0.100986	0.16632	0.071464	0.096296	0.361991	0.134719	0.127811	0.913266	0.31968	0.173964	0.150104	0.141346	0.308951	0.591716	0.172544	0.089578	0.093077	0.093694	0.219301	0.193846	0.115385	0.073846	0.086538	0.158242	0.104895	0.130769	0.339113	0.202163	0.409699	0.140659	0.078223	0.188537	0.077564	0.135809	0.203922	0.049628	0.242371	0.151962	0.126206	0.276383	0.323077	0.091928	0.131174	0.14652	0.183368	0.127033	
D00110	0.241429	0.216	0.3	0.137872	0.2592	0.295692	1.0	0.481667	0.205116	0.1152	0.315789	0.125	0.137931	0.396	0.1764	0.216	0.281739	0.186047	0.145161	0.275918	0.095238	0.200556	0.14	0.214074	0.301538	0.28766	0.118421	0.151579	0.160364	0.438356	0.314419	0.110769	0.258065	0.180625	0.25	0.185806	0.231429	0.211304	0.329756	0.359298	0.109756	0.265957	0.250435	0.26	0.109756	0.15626	0.325952	0.216216	0.206286	0.288	0.16	0.248966	0.156216	0.170667	0.277778	0.223448	0.185128	0.210435	0.248966	0.294	0.202105	0.255789	0.145455	0.209455	0.1352	0.284516	0.160714	0.260417	0.075385	0.170667	0.172857	0.216	0.304138	0.190588	0.226118	0.086957	0.214074	0.158689	0.225106	0.170213	0.170645	0.160556	0.208286	0.205957	0.274286	0.245106	0.347119	0.104651	0.22	0.18375	0.240385	0.24641	0.190423	0.224	0.192	0.195942	0.385333	0.284516	0.134328	0.246667	0.297551	0.08	0.32	0.249344	0.150588	0.24025	0.347143	0.278551	0.258769	0.189804	0.375068	0.24	0.125185	0.142222	0.2304	0.28766	0.175152	0.320333	0.190588	0.166667	0.144	0.160303	0.131642	0.176333	0.300313	0.215111	0.191739	0.228571	0.29037	0.225882	0.252895	0.2025	0.397241	0.214074	0.185205	0.140625	0.25973	0.166957	0.1764	0.128444	0.29	0.137619	0.15	0.311143	0.12	0.210526	0.1445	0.18	0.45403	0.252895	0.410233	0.270345	0.317358	0.203636	0.272842	0.186567	0.446897	0.28	0.248889	0.248966	0.305818	0.284516	0.158228	0.156863	0.138273	0.267407	0.186667	0.300444	0.2	0.200556	0.196364	0.170213	0.131282	0.203462	0.320333	0.18963	0.280976	0.166154	0.195135	0.232903	0.166667	0.282647	0.261622	0.166154	0.278551	0.395065	0.226154	0.138378	0.150417	0.248909	0.315077	0.241231	0.185806	0.324	0.151532	0.192364	0.185143	0.130667	0.240667	0.2645	0.300357	0.267273	0.17	0.207627	0.28125	0.316957	0.14	0.149014	0.207451	0.140833	0.248966	0.329804	0.145161	0.204918	0.132245	0.149492	0.237193	0.160952	0.18	0.278421	0.21	0.195135	0.185143	
D00113	0.251488	0.200694	0.3125	0.143617	0.300833	0.288462	0.481667	1.0	0.256298	0.100833	0.328947	0.130208	0.206897	0.236742	0.150417	0.250694	0.326993	0.193798	0.15121	0.205782	0.063492	0.231481	0.145833	0.25	0.410256	0.277039	0.158443	0.214912	0.136742	0.369863	0.193798	0.205128	0.325269	0.188151	0.344401	0.177755	0.241071	0.236715	0.317581	0.247076	0.14685	0.255319	0.239583	0.19391	0.14685	0.142446	0.253968	0.162725	0.192857	0.352083	0.09375	0.259339	0.144144	0.1	0.289352	0.259339	0.136752	0.163496	0.259339	0.250694	0.228436	0.247076	0.151515	0.276136	0.163333	0.325269	0.190476	0.365017	0.102564	0.177778	0.18006	0.225	0.347701	0.221201	0.25098	0.057971	0.25	0.165301	0.195479	0.143617	0.162634	0.1875	0.186012	0.214539	0.198413	0.195479	0.296963	0.140019	0.170928	0.140625	0.211939	0.209402	0.183392	0.144048	0.168056	0.188708	0.555556	0.242608	0.149409	0.216967	0.205782	0.140833	0.333333	0.197404	0.137868	0.234375	0.31002	0.173913	0.288462	0.216095	0.240011	0.278549	0.130401	0.130208	0.18375	0.255319	0.204545	0.253125	0.177083	0.25	0.16713	0.139205	0.150498	0.168056	0.220052	0.204167	0.219203	0.214881	0.222222	0.180147	0.230537	0.210938	0.448994	0.25	0.164384	0.146484	0.220721	0.173913	0.24	0.133796	0.302083	0.198413	0.15625	0.364583	0.139275	0.177632	0.102083	0.167245	0.318408	0.230537	0.313953	0.323276	0.454403	0.155844	0.253509	0.179104	0.793463	0.334821	0.223545	0.259339	0.364015	0.268817	0.151899	0.132353	0.126049	0.25	0.286706	0.224074	0.16875	0.208912	0.227904	0.214539	0.15438	0.211939	0.355556	0.222994	0.317581	0.136752	0.225225	0.268817	0.173611	0.294424	0.248311	0.173077	0.271739	0.294643	0.173077	0.203266	0.156684	0.218939	0.308013	0.288462	0.134409	0.376042	0.126877	0.200379	0.214881	0.136111	0.277778	0.208333	0.312872	0.252525	0.198529	0.216278	0.333333	0.435236	0.145833	0.213908	0.25531	0.170139	0.31681	0.392565	0.172043	0.307377	0.137755	0.15572	0.351243	0.167659	0.160751	0.241776	0.160714	0.182432	0.100595	
D00136	0.280731	0.174419	0.112016	0.142999	0.301395	0.129159	0.205116	0.256298	1.0	0.268837	0.117911	0.312661	0.194066	0.152643	0.391163	0.34186	0.404449	0.286101	0.468867	0.615093	0.133998	0.436693	0.100498	0.496124	0.272113	0.218209	0.156671	0.176255	0.204651	0.199108	0.394267	0.151163	0.363091	0.454215	0.351744	0.253563	0.439369	0.26424	0.204765	0.117911	0.163925	0.334488	0.267442	0.197227	0.145207	0.218567	0.122093	0.251414	0.415282	0.393023	0.262355	0.353649	0.392835	0.279845	0.149354	0.205293	0.403101	0.368554	0.289495	0.224031	0.319869	0.343125	0.285835	0.38055	0.112558	0.147037	0.212625	0.353198	0.178891	0.224031	0.373754	0.375194	0.461909	0.301642	0.246238	0.122346	0.27907	0.137629	0.218209	0.309253	0.253563	0.436693	0.279402	0.197922	0.374308	0.416131	0.378794	0.156301	0.211416	0.30281	0.257603	0.107633	0.378644	0.260465	0.242248	0.34513	0.242248	0.396849	0.237591	0.130945	0.320835	0.182326	0.403747	0.149447	0.46238	0.153779	0.199889	0.303337	0.129159	0.241222	0.199108	0.27907	0.193798	0.165375	0.225116	0.239485	0.180409	0.282558	0.393981	0.124031	0.349354	0.317125	0.272128	0.205039	0.305596	0.349354	0.341759	0.415282	0.313953	0.438212	0.110465	0.384448	0.205293	0.344531	0.286716	0.186047	0.196417	0.194135	0.267907	0.149354	0.360866	0.14175	0.310078	0.384053	0.269165	0.26989	0.256395	0.312661	0.234641	0.161873	0.16901	0.314354	0.252742	0.328904	0.152999	0.377994	0.212109	0.259551	0.269103	0.353649	0.264271	0.300075	0.26494	0.131783	0.204952	0.124031	0.110742	0.405168	0.256395	0.50646	0.310782	0.239485	0.172332	0.350626	0.205039	0.2205	0.383437	0.288611	0.332495	0.432108	0.2205	0.150821	0.392835	0.34347	0.134816	0.204168	0.26297	0.203646	0.27907	0.154123	0.129159	0.413596	0.337584	0.227907	0.188561	0.129493	0.293023	0.093798	0.524031	0.393023	0.373754	0.513742	0.46238	0.133228	0.349201	0.146107	0.140365	0.314772	0.284998	0.218023	0.388132	0.332421	0.270818	0.137629	0.251068	0.266456	0.147287	0.133998	0.275912	0.296206	0.292913	0.277184	0.130233	
D00139	0.231429	0.192	0.042667	0.030638	0.2704	0.039385	0.1152	0.100833	0.268837	1.0	0.044912	0.36	0.248966	0.035636	0.2888	0.225333	0.210435	0.268837	0.418065	0.26449	0.190476	0.284444	0.051429	0.333333	0.110769	0.102979	0.105263	0.103158	0.235636	0.054795	0.268837	0.301538	0.156129	0.32	0.245	0.165161	0.28	0.255652	0.249756	0.044912	0.097561	0.245957	0.195652	0.13	0.079024	0.130081	0.068571	0.211892	0.330286	0.1	0.32	0.353103	0.243243	0.341333	0.150222	0.067586	0.230769	0.281739	0.270345	0.261333	0.157895	0.157895	0.262545	0.163636	0.04	0.104516	0.28	0.083333	0.027692	0.108	0.206429	0.261333	0.166897	0.169412	0.152471	0.173913	0.148148	0.053115	0.275745	0.340426	0.284516	0.321111	0.185143	0.166809	0.214286	0.191489	0.195932	0.093023	0.178182	0.300833	0.150769	0.025128	0.182535	0.206286	0.266667	0.187826	0.080667	0.156129	0.131642	0.029189	0.20898	0.2304	0.134444	0.083934	0.381176	0.0845	0.160952	0.148406	0.049846	0.112941	0.140274	0.25037	0.213333	0.134444	0.2592	0.166809	0.059394	0.15	0.301176	0.037037	0.256889	0.218788	0.152836	0.216	0.16	0.2	0.195652	0.292571	0.214074	0.313725	0.025789	0.245	0.137931	0.25037	0.177534	0.18	0.121622	0.130435	0.2048	0.256889	0.19931	0.214286	0.261333	0.165143	0.24	0.206316	0.324	0.187778	0.134328	0.063684	0.056279	0.176552	0.218113	0.168312	0.050947	0.193433	0.083448	0.160714	0.205714	0.233103	0.122909	0.218065	0.164051	0.028235	0.115108	0.037037	0.030476	0.2	0.144	0.36	0.174545	0.166809	0.262564	0.249231	0.15	0.213333	0.281951	0.29641	0.182703	0.218065	0.48	0.071176	0.312432	0.29641	0.037101	0.116883	0.173333	0.243243	0.300833	0.081818	0.039385	0.157538	0.258065	0.128	0.158919	0.080182	0.164571	0.048	0.261333	0.289	0.206429	0.237576	0.34	0.097966	0.2025	0.055652	0.28	0.20338	0.226667	0.135	0.233103	0.176471	0.218065	0.128525	0.326531	0.152542	0.157895	0.030476	0.197531	0.206316	0.24381	0.243243	0.257143	
