data	D00035	D00110	D00136	D00195	D00219	D00225	D00227	D00228	D00234	D00252	D00274	D00283	D00293	D00294	D00303	D00319	D00326	D00329	D00331	D00332	D00335	D00336	D00338	D00340	D00345	D00349	D00351	D00354	D00358	D00364	D00367	D00373	D00379	D00380	D00392	D00394	D00418	D00437	D00438	D00451	D00456	D00464	D00474	D00477	D00480	D00495	D00499	D00504	D00512	D00513	D00519	D00521	D00524	D00528	D00530	D00533	D00536	D00537	D00538	D00539	D00542	D00543	D00544	D00545	D00546	D00547	D00548	D00549	D00550	D00552	D00553	D00560	D00563	D00574	D00593	D00594	D00607	D00611	D00615	D00616	D00617	D00618	D00619	D00629	D00631	D00633	D00636	D00638	D00639	D00640	D00642	D00647	D00648	D00649	D00650	D00651	D00654	D00656	D00658	D00677	D00678	D00694	D00697	D00704	D00708	D00709	D00711	D00726	D00732	D00733	D00735	D00738	D00739	D00740	D00741	D00759	D00760	D00761	D00765	D00771	D00775	D00779	D00791	D00798	D00799	D00809	D00812	D00816	D00823	D00831	D00960	D00963	D00964	D01071	D01108	D01111	D01118	D01242	D01243	D01253	D01256	D01275	D01287	D01295	D01350	D01448	D01450	D01453	D01575	D01599	D01603	D01712	D01768	D01799	D01828	D01854	D01969	D02041	D02086	D02087	D02088	D02092	D02098	D02101	D02163	D02173	D02204	D02207	D02234	D02237	D02253	D02261	D02262	D02272	D02347	D02356	D02360	D02362	D02409	D02461	D02485	D02546	D02566	D02630	D02914	D03037	D03180	D03274	D03365	D03450	D03580	D03742	D03826	D03830	D03878	D03991	D04034	D04048	D04370	D04790	D04985	D04999	D05024	D05077	D05156	D05453	D05458	D05461	D06106	D06172	
D00035	1.0	0.321111	0.104651	0.241055	0.2	0.03858	0.095785	0.107744	0.071111	0.160714	0.137188	0.075617	0.085069	0.100823	0.107143	0.177778	0.080065	0.109756	0.118421	0.292398	0.150943	0.145455	0.1125	0.136364	0.063307	0.163265	0.186567	0.032922	0.136752	0.186047	0.082492	0.101587	0.186728	0.114695	0.277778	0.111111	0.155172	0.153846	0.131148	0.216216	0.082492	0.0625	0.136752	0.126984	0.0625	0.214286	0.191571	0.214286	0.136364	0.122605	0.104575	0.097466	0.142222	0.097222	0.088889	0.145161	0.248971	0.181481	0.148148	0.197531	0.068376	0.07716	0.099206	0.07716	0.07716	0.063131	0.302867	0.169312	0.037538	0.236842	0.118357	0.063492	0.066667	0.155172	0.108423	0.286706	0.131148	0.148148	0.144444	0.211864	0.134127	0.140351	0.102881	0.145455	0.129199	0.073099	0.111111	0.170707	0.12963	0.154321	0.170804	0.131808	0.094837	0.136364	0.108932	0.118203	0.1125	0.05	0.1125	0.19161	0.091168	0.134444	0.168056	0.20915	0.142222	0.280093	0.108889	0.114695	0.155172	0.186728	0.25	0.122605	0.122605	0.160714	0.15	0.086195	0.059701	0.121359	0.144645	0.052288	0.055556	0.154321	0.09	0.096096	0.056713	0.111111	0.071429	0.09387	0.075617	0.194444	0.1125	0.204918	0.098765	0.242424	0.037538	0.209402	0.104575	0.133333	0.108889	0.101587	0.143026	0.162177	0.154321	0.1	0.057878	0.117361	0.132353	0.118519	0.105035	0.172365	0.15781	0.107143	0.16835	0.197712	0.068056	0.156522	0.095785	0.150943	0.126984	0.166667	0.142222	0.131808	0.173611	0.115508	0.146701	0.19161	0.093567	0.104701	0.085091	0.156863	0.132238	0.245211	0.132691	0.137227	0.134444	0.106838	0.163957	0.218346	0.131808	0.191138	0.049495	0.290698	0.087814	0.057348	0.146701	0.092593	0.198413	0.151434	0.177778	0.129032	0.120718	0.223545	0.162177	0.200694	0.209402	0.240741	0.06338	0.181682	0.199764	0.22575	0.154321	0.361111	0.203175	0.173913	0.191138	0.15	0.117647	0.072782	0.179211	0.154589	
D00110	0.321111	1.0	0.205116	0.305085	0.1445	0.125	0.137931	0.073333	0.1764	0.206429	0.275918	0.200556	0.25	0.106667	0.251905	0.300444	0.190588	0.258049	0.19	0.151579	0.150943	0.160364	0.242	0.155152	0.205116	0.275918	0.286866	0.106667	0.307692	0.314419	0.175152	0.112	0.125	0.258065	0.196	0.180625	0.116552	0.26	0.239016	0.216216	0.293333	0.1225	0.307692	0.285714	0.16	0.186667	0.223448	0.308571	0.218788	0.248966	0.212353	0.255789	0.1352	0.160714	0.2	0.284516	0.391852	0.225333	0.240833	0.217778	0.075385	0.09	0.115714	0.09	0.09	0.090909	0.371613	0.160952	0.121622	0.269474	0.347826	0.172857	0.216	0.304138	0.170645	0.28	0.158689	0.213333	0.224308	0.229153	0.257143	0.237193	0.195926	0.265091	0.246047	0.105263	0.1444	0.145455	0.214286	0.245	0.307234	0.141569	0.169899	0.175152	0.156863	0.205957	0.1445	0.1125	0.128	0.417959	0.295385	0.16	0.3125	0.117647	0.3528	0.27	0.32	0.284516	0.304138	0.245	0.16	0.333793	0.155172	0.315	0.15	0.17503	0.134328	0.186602	0.246667	0.095294	0.08	0.32	0.1296	0.105946	0.106667	0.180625	0.160714	0.176552	0.18	0.260357	0.1445	0.239016	0.142222	0.175152	0.077838	0.526538	0.190588	0.176333	0.32	0.096571	0.153617	0.291717	0.405	0.215111	0.113441	0.15625	0.338824	0.15	0.18	0.131282	0.166957	0.137619	0.155152	0.099412	0.1445	0.306783	0.198621	0.462264	0.285714	0.166667	0.2592	0.285882	0.140625	0.196978	0.165313	0.297551	0.118421	0.173077	0.158228	0.156863	0.176056	0.270345	0.251405	0.246838	0.16	0.203462	0.329756	0.364651	0.156863	0.308571	0.192364	0.364651	0.232903	0.170645	0.245	0.176333	0.231429	0.185806	0.324	0.201613	0.205865	0.373333	0.247475	0.21025	0.323462	0.205128	0.149014	0.394054	0.435745	0.325079	0.200556	0.406923	0.240286	0.173913	0.275238	0.294	0.230588	0.148992	0.209032	0.281739	
D00136	0.104651	0.205116	1.0	0.113914	0.188372	0.312661	0.194066	0.158562	0.391163	0.439369	0.615093	0.436693	0.418605	0.248923	0.434109	0.273385	0.427497	0.510493	0.26989	0.176255	0.175516	0.204651	0.393023	0.203665	0.31152	0.251068	0.272128	0.27907	0.432916	0.394267	0.552502	0.1701	0.109173	0.363091	0.196512	0.454215	0.097033	0.197227	0.184522	0.251414	0.310782	0.418605	0.394454	0.401993	0.262355	0.217054	0.205293	0.320044	0.440451	0.289495	0.197674	0.343125	0.112558	0.212625	0.363372	0.432108	0.310939	0.139922	0.248062	0.218346	0.178891	0.156331	0.200997	0.129199	0.129199	0.207188	0.330833	0.283499	0.304211	0.353733	0.365015	0.373754	0.375194	0.461909	0.273443	0.325581	0.137629	0.218023	0.206082	0.142294	0.279402	0.19747	0.33764	0.186469	0.338021	0.239902	0.267907	0.169133	0.249169	0.436693	0.142504	0.332421	0.30444	0.22833	0.220702	0.285007	0.188372	0.209884	0.232558	0.251068	0.288611	0.290698	0.307558	0.165527	0.372093	0.189922	0.335814	0.396849	0.388132	0.284884	0.210029	0.388132	0.231756	0.401993	0.19845	0.172657	0.237591	0.203206	0.130945	0.19699	0.182326	0.403747	0.267907	0.160905	0.256298	0.454215	0.401993	0.424218	0.403747	0.219684	0.209884	0.123523	0.284884	0.180409	0.022627	0.216458	0.393981	0.205039	0.335814	0.239867	0.178624	0.135307	0.312661	0.349354	0.054513	0.211919	0.361833	0.224031	0.209302	0.116875	0.194135	0.14175	0.180409	0.098495	0.256395	0.182002	0.314354	0.212374	0.401993	0.234496	0.301395	0.590971	0.186047	0.1131	0.227108	0.137162	0.103427	0.201252	0.26494	0.131783	0.144448	0.102646	0.150682	0.155834	0.246047	0.350626	0.354509	0.195241	0.220702	0.283499	0.355603	0.156301	0.432108	0.630533	0.264898	0.348837	0.212625	0.337584	0.227907	0.234434	0.118202	0.124585	0.225746	0.211919	0.302326	0.238521	0.314772	0.332495	0.261752	0.13326	0.209302	0.357782	0.319269	0.244692	0.187154	0.375194	0.350205	0.274202	0.216804	0.327604	
D00195	0.241055	0.305085	0.113914	1.0	0.137288	0.079567	0.116891	0.115562	0.122373	0.1023	0.13836	0.079567	0.119174	0.075957	0.103309	0.108851	0.084247	0.093014	0.087422	0.128457	0.127918	0.135901	0.095339	0.100668	0.077257	0.13836	0.158108	0.050847	0.127771	0.113914	0.07396	0.156901	0.136064	0.107162	0.102542	0.076271	0.131502	0.117666	0.122534	0.14842	0.148433	0.103814	0.093872	0.136199	0.076271	0.08071	0.114553	0.08071	0.07396	0.14962	0.084247	0.107345	0.097627	0.118644	0.095339	0.123018	0.090395	0.254237	0.070621	0.113936	0.02086	0.033898	0.043584	0.033898	0.033898	0.03775	0.15801	0.116223	0.089785	0.128457	0.124539	0.121065	0.081356	0.131502	0.098688	0.2046	0.111142	0.138418	0.126206	0.258546	0.117191	0.143919	0.151915	0.111248	0.12771	0.150758	0.122373	0.135901	0.116223	0.136064	0.333393	0.107677	0.098613	0.0868	0.096045	0.08114	0.095339	0.051271	0.083051	0.199239	0.156888	0.097966	0.122458	0.099701	0.082034	0.158898	0.114576	0.123018	0.131502	0.120527	0.17161	0.168907	0.168907	0.136199	0.144633	0.172676	0.113838	0.290275	0.25668	0.120638	0.082034	0.120527	0.076271	0.165369	0.079449	0.089513	0.087167	0.084161	0.092279	0.146489	0.083051	0.340372	0.092279	0.131484	0.077416	0.255541	0.071785	0.091525	0.132881	0.08184	0.116841	0.316555	0.188324	0.096422	0.120388	0.093432	0.161515	0.144633	0.105932	0.140808	0.088676	0.103309	0.148433	0.127617	0.083051	0.212822	0.154588	0.268948	0.136199	0.127472	0.097627	0.14656	0.153072	0.42446	0.085805	0.553442	0.100357	0.22311	0.10384	0.107677	0.095488	0.357978	0.336322	0.320006	0.097966	0.143742	0.13394	0.266456	0.107677	0.247175	0.078891	0.266456	0.0924	0.079005	0.095604	0.091525	0.118644	0.098688	0.14322	0.098688	0.443609	0.49435	0.287793	0.203602	0.157757	0.173837	0.053712	0.202016	0.190768	0.258542	0.105932	0.110169	0.16368	0.133014	0.247175	0.110734	0.080758	0.095782	0.107162	0.089167	
D00219	0.2	0.1445	0.188372	0.137288	1.0	0.117361	0.190086	0.193939	0.1445	0.200893	0.246939	0.117361	0.225781	0.408333	0.238095	0.245	0.324265	0.243902	0.2375	0.336842	0.754717	0.727273	0.225625	0.273485	0.363372	0.293878	0.180597	0.112037	0.216346	0.168023	0.148485	0.206429	0.802778	0.26129	0.21125	0.132031	0.27931	0.325	0.344672	0.218919	0.170455	0.2	0.216346	0.200893	0.175781	0.267857	0.344828	0.233333	0.218939	0.14569	0.324265	0.296491	0.1	0.258036	0.225625	0.233065	0.208333	0.18375	0.15	0.234722	0.123077	0.138889	0.144643	0.1125	0.1125	0.1375	0.206452	0.304762	0.114189	0.296053	0.244565	0.178571	0.1875	0.193966	0.552016	0.236161	0.256148	0.176042	0.301538	0.264831	0.343214	0.36886	0.185185	0.331364	0.256395	0.257895	0.3125	0.409091	0.20119	0.30625	0.166223	0.282353	0.227273	0.170455	0.282353	0.257447	0.275625	0.36	0.3025	0.1	0.144231	0.162	0.25	0.177941	0.225	0.15	0.196	0.233065	0.193966	0.30625	0.528125	0.193966	0.27931	0.200893	0.3675	0.185606	0.16791	0.151699	0.140766	0.147059	0.169	0.136111	0.1805	0.19527	0.188021	0.1125	0.108036	0.124138	0.30625	0.178571	0.225625	0.147951	0.225	0.436364	0.081757	0.192308	0.105882	0.166667	0.225	0.231429	0.359574	0.170707	0.15625	0.222222	0.072347	0.195313	0.165441	0.240833	0.126563	0.741026	0.159783	0.192857	0.400758	0.752941	0.275625	0.222609	0.190086	0.092453	0.200893	0.352083	0.225	0.237255	0.45	0.103597	0.172266	0.147449	0.094737	0.127163	0.126582	0.282353	0.25669	0.190086	0.15062	0.155769	0.338	0.192308	0.103049	0.188372	0.306373	0.286012	0.181818	0.188372	0.13629	0.16129	0.225	0.220417	0.357143	0.293952	0.10125	0.272581	0.108271	0.133929	0.242677	0.262813	0.123077	0.400641	0.170423	0.152027	0.104255	0.192063	0.336111	0.216346	0.1575	0.367391	0.20119	0.140833	0.211765	0.251163	0.322581	0.244565	
D00225	0.03858	0.125	0.312661	0.079567	0.117361	1.0	0.155172	0.243266	0.347222	0.286706	0.274376	0.278549	0.250868	0.173868	0.238757	0.178395	0.264706	0.219512	0.164474	0.093567	0.169811	0.14596	0.200694	0.121212	0.233204	0.145125	0.238806	0.297325	0.209402	0.233204	0.445286	0.257143	0.111111	0.175627	0.138889	0.28125	0.077586	0.136752	0.116576	0.168919	0.272727	0.459201	0.180556	0.194444	0.250868	0.107143	0.077586	0.190476	0.3367	0.215517	0.117647	0.235867	0.054444	0.223214	0.30625	0.290323	0.148148	0.078241	0.195602	0.098765	0.076923	0.055556	0.097222	0.075617	0.075617	0.061869	0.201613	0.190476	0.91967	0.247076	0.204106	0.240079	0.3	0.187739	0.114695	0.198413	0.0551	0.09375	0.123504	0.120527	0.175	0.124756	0.205761	0.129293	0.209302	0.210526	0.245	0.113636	0.190476	0.278549	0.07565	0.196623	0.112233	0.142256	0.240196	0.191489	0.1	0.15625	0.15625	0.163832	0.230769	0.293889	0.30625	0.104575	0.217778	0.056713	0.16	0.229391	0.187739	0.222994	0.146701	0.187739	0.137931	0.194444	0.133333	0.122727	0.140133	0.168554	0.036036	0.320261	0.217778	0.151235	0.268889	0.243243	0.280093	0.28125	0.286706	0.310345	0.25	0.111607	0.15625	0.065574	0.25	0.101852	0.012012	0.120192	0.294935	0.266667	0.187778	0.203175	0.115839	0.123737	0.151235	0.298765	0.015095	0.168056	0.160131	0.208333	0.191406	0.12037	0.14533	0.111772	0.121212	0.098856	0.225	0.087198	0.191571	0.134172	0.194444	0.208912	0.217778	0.263617	0.125	0.088129	0.210069	0.127551	0.035819	0.166934	0.170183	0.034858	0.056338	0.107759	0.121442	0.125594	0.125	0.213675	0.271003	0.145349	0.176471	0.145833	0.222727	0.052326	0.433692	0.216846	0.111111	0.289352	0.080357	0.258065	0.138889	0.064516	0.092105	0.111772	0.148429	0.125347	0.258547	0.182336	0.206964	0.147147	0.170804	0.044092	0.07716	0.180556	0.209921	0.217995	0.055886	0.181481	0.235294	0.156977	0.089606	0.236715	
D00227	0.095785	0.137931	0.194066	0.116891	0.190086	0.155172	1.0	0.150993	0.166897	0.222291	0.219916	0.191571	0.260776	0.255428	0.164204	0.202682	0.223631	0.24222	0.181488	0.153358	0.203318	0.195925	0.228017	0.208986	0.230954	0.219916	0.187597	0.255428	0.169761	0.212109	0.208986	0.142365	0.191571	0.245273	0.249138	0.194504	0.133769	0.175398	0.162804	0.29124	0.208986	0.215517	0.23939	0.199507	0.194504	0.296388	0.214625	0.237274	0.169279	0.237812	0.20284	0.160012	0.155172	0.325739	0.208621	0.222469	0.206897	0.13908	0.207615	0.245211	0.084881	0.095785	0.099754	0.095785	0.095785	0.112853	0.245273	0.26601	0.150979	0.232305	0.191904	0.224446	0.229885	0.237812	0.202725	0.17734	0.102035	0.140805	0.152785	0.197545	0.153941	0.160012	0.215837	0.180564	0.144747	0.232305	0.233103	0.151724	0.16092	0.231801	0.176266	0.228533	0.136538	0.169279	0.149087	0.17755	0.172414	0.208621	0.190086	0.186137	0.19496	0.182414	0.208621	0.146045	0.275862	0.183908	0.176552	0.222469	0.171819	0.211207	0.155711	0.171819	0.171819	0.177956	0.186207	0.143051	0.148739	0.18229	0.09708	0.146045	0.176552	0.155172	0.124483	0.150979	0.12967	0.194504	0.222291	0.214625	0.211207	0.135776	0.208621	0.1368	0.191571	0.18861	0.078751	0.190981	0.1643	0.437069	0.176552	0.283744	0.161775	0.15674	0.172893	0.168966	0.071848	0.124138	0.146552	0.331034	0.130388	0.176835	0.12094	0.474548	0.169279	0.183063	0.248276	0.117541	0.200951	0.203318	0.157635	0.173851	0.176552	0.211291	0.174569	0.097246	0.118804	0.155172	0.131125	0.149204	0.147534	0.076065	0.151773	0.157253	0.164719	0.170351	0.152069	0.207228	0.203532	0.129912	0.284314	0.172619	0.165831	0.144747	0.1802	0.173804	0.142511	0.165517	0.222291	0.202725	0.193966	0.122636	0.101633	0.10509	0.167363	0.207112	0.14622	0.159593	0.204225	0.16822	0.194057	0.132458	0.211207	0.191645	0.179557	0.181409	0.138752	0.166092	0.198783	0.154504	0.1802	0.191904	
D00228	0.107744	0.073333	0.158562	0.115562	0.193939	0.243266	0.150993	1.0	0.267273	0.212121	0.178726	0.142256	0.273674	0.161616	0.162338	0.09697	0.174688	0.213599	0.1563	0.129187	0.252144	0.242975	0.218939	0.179982	0.158562	0.104515	0.163275	0.189675	0.11655	0.138125	0.206612	0.631169	0.215488	0.11828	0.09697	0.185606	0.176594	0.083916	0.097367	0.295659	0.179982	0.213068	0.141026	0.155844	0.242424	0.092352	0.066876	0.116883	0.179982	0.126437	0.150624	0.172249	0.098182	0.155844	0.148485	0.219941	0.135802	0.09899	0.126263	0.082492	0.037296	0.042088	0.054113	0.042088	0.042088	0.049587	0.11828	0.243867	0.265356	0.192982	0.131752	0.195346	0.19798	0.15047	0.176442	0.238636	0.083954	0.126263	0.168298	0.226502	0.17316	0.119617	0.202581	0.079339	0.22833	0.229665	0.293333	0.141047	0.1443	0.189394	0.156028	0.214498	0.110499	0.111111	0.214498	0.186331	0.148485	0.109091	0.170455	0.121212	0.174825	0.136364	0.12803	0.064171	0.121212	0.080808	0.174545	0.11828	0.15047	0.243266	0.242424	0.126437	0.301985	0.155844	0.227273	0.154454	0.141339	0.169462	0.046137	0.215686	0.204848	0.121212	0.196364	0.642097	0.204545	0.213068	0.243506	0.23511	0.189394	0.138528	0.170455	0.071535	0.272727	0.111111	0.007371	0.070513	0.174688	0.14596	0.146667	0.221645	0.257898	0.161922	0.101852	0.194613	0.024944	0.10947	0.107843	0.145455	0.229167	0.224553	0.126921	0.103896	0.265381	0.257576	0.273485	0.105402	0.18861	0.096627	0.130952	0.568182	0.146667	0.171717	0.273674	0.105516	0.136837	0.158318	0.064593	0.141026	0.202915	0.085561	0.06146	0.276385	0.169296	0.175084	0.218788	0.188811	0.124908	0.203665	0.171717	0.159091	0.141047	0.057082	0.191593	0.141251	0.080019	0.14596	0.069264	0.236559	0.122727	0.0826	0.110276	0.233766	0.191307	0.151515	0.114219	0.280497	0.138284	0.099099	0.108962	0.0481	0.084175	0.167832	0.14026	0.554018	0.051948	0.170707	0.114082	0.135307	0.079179	0.131752	
D00234	0.071111	0.1764	0.391163	0.122373	0.1445	0.347222	0.166897	0.267273	1.0	0.345714	0.297551	0.375556	0.225625	0.166667	0.251905	0.177778	0.259412	0.280976	0.232105	0.127368	0.150943	0.176	0.2205	0.175152	0.205116	0.197551	0.386866	0.214074	0.249231	0.33907	0.409697	0.276571	0.142222	0.186452	0.1	0.4225	0.116552	0.153846	0.14459	0.216216	0.267273	0.330625	0.173077	0.231429	0.3025	0.115238	0.155172	0.186667	0.242424	0.223448	0.099412	0.315789	0.08	0.182857	0.242	0.312258	0.166667	0.096333	0.140833	0.134444	0.075385	0.09	0.115714	0.111111	0.111111	0.11	0.186452	0.24381	0.365405	0.206316	0.251304	0.412857	0.384	0.248966	0.201613	0.365714	0.118361	0.213333	0.192308	0.164068	0.178571	0.154737	0.403333	0.145455	0.246047	0.177895	0.2116	0.131273	0.186667	0.268889	0.112553	0.245098	0.169899	0.136364	0.265098	0.18766	0.1805	0.162	0.1805	0.235102	0.226154	0.2304	0.242	0.075294	0.18	0.12	0.2048	0.232903	0.223448	0.347222	0.180625	0.248966	0.304138	0.231429	0.15	0.245455	0.27597	0.25165	0.072072	0.230588	0.2048	0.245	0.3364	0.261622	0.326667	0.36	0.377857	0.364828	0.245	0.172857	0.1805	0.07377	0.245	0.087273	0.013514	0.169615	0.397647	0.280333	0.2312	0.228571	0.18766	0.147273	0.222222	0.300444	0.034019	0.24025	0.235294	0.170667	0.227813	0.148205	0.166957	0.137619	0.155152	0.099412	0.242	0.156522	0.375517	0.182642	0.231429	0.220417	0.2048	0.285882	0.180625	0.112806	0.300313	0.163265	0.088947	0.196923	0.259241	0.088235	0.091268	0.166897	0.18	0.186154	0.16	0.418846	0.236098	0.225116	0.172941	0.200238	0.265091	0.078605	0.371613	0.35129	0.15125	0.280333	0.14	0.35129	0.169	0.129032	0.117895	0.251905	0.206869	0.144	0.26	0.205128	0.236901	0.216216	0.245106	0.091746	0.142222	0.222308	0.370286	0.23	0.085952	0.240667	0.230588	0.212248	0.145161	0.222609	
D00252	0.160714	0.206429	0.439369	0.1023	0.200893	0.286706	0.222291	0.212121	0.345714	1.0	0.291545	0.480159	0.492188	0.223545	0.27551	0.203175	0.340336	0.460801	0.339286	0.152256	0.172507	0.21039	0.472321	0.212121	0.299834	0.210641	0.257996	0.160053	0.309066	0.519103	0.350649	0.229592	0.12004	0.259217	0.144643	0.642857	0.099754	0.175824	0.149883	0.278958	0.277056	0.402902	0.309066	0.215561	0.492188	0.137755	0.123153	0.491497	0.477273	0.315271	0.205882	0.22619	0.051429	0.183673	0.357143	0.839862	0.297619	0.048214	0.380952	0.126984	0.043956	0.049603	0.040816	0.049603	0.049603	0.025974	0.332949	0.244898	0.278958	0.270677	0.304348	0.28125	0.344048	0.277094	0.230415	0.28125	0.114754	0.120536	0.21978	0.174939	0.269898	0.160401	0.169312	0.166234	0.240033	0.18797	0.257857	0.146104	0.205782	0.4375	0.1231	0.226891	0.159091	0.1829	0.226891	0.335106	0.175	0.175	0.200893	0.210641	0.234432	0.345714	0.289286	0.102941	0.365714	0.072917	0.241429	0.1947	0.208128	0.253968	0.160714	0.277094	0.208128	0.215561	0.144048	0.124675	0.153518	0.138696	0.046332	0.254202	0.172857	0.223214	0.206429	0.217181	0.21503	0.590402	0.674745	0.651478	0.321429	0.163265	0.200893	0.058548	0.253968	0.155844	0.024131	0.154533	0.555672	0.342857	0.28	0.368367	0.194529	0.116883	0.223214	0.286508	0.022508	0.178571	0.236345	0.171429	0.270089	0.154762	0.250518	0.166667	0.130952	0.127101	0.228571	0.164286	0.157635	0.194744	0.28699	0.328125	0.321429	0.280112	0.135045	0.113309	0.223214	0.123178	0.046053	0.137363	0.305606	0.084734	0.060865	0.157635	0.142857	0.147741	0.231429	0.175824	0.348432	0.186877	0.280112	0.224915	0.343506	0.067276	0.294931	0.254032	0.142857	0.192857	0.127551	0.331797	0.216071	0.112903	0.118421	0.143707	0.159091	0.178571	0.24794	0.264652	0.266097	0.217181	0.219605	0.056689	0.099206	0.309066	0.293878	0.342391	0.095663	0.20119	0.302521	0.159468	0.115207	0.349379	
