data	D00040	D00066	D00067	D00075	D00088	D00094	D00105	D00129	D00143	D00163	D00182	D00187	D00188	D00211	D00246	D00279	D00299	D00312	D00316	D00327	D00348	D00443	D00462	D00506	D00554	D00565	D00577	D00585	D00586	D00596	D00627	D00690	D00730	D00898	D00930	D00950	D00951	D00954	D00956	D00961	D00962	D00965	D01115	D01132	D01161	D01217	D01294	D01387	D01441	D01689	D02217	D02367	D04066	D05341	
D00040	1.0	0.708384	0.332308	0.513034	0.48666	0.184397	0.361111	0.461703	0.808458	0.681403	0.48097	0.467308	0.541806	0.293974	0.385185	0.080247	0.531288	0.301659	0.166667	0.546226	0.184397	0.428724	0.638177	0.083761	0.353669	0.102849	0.071795	0.444615	0.096601	0.09919	0.05976	0.377622	0.087912	0.064431	0.439819	0.493097	0.38616	0.493097	0.410427	0.065002	0.101159	0.100553	0.391444	0.101313	0.311214	0.676185	0.514245	0.541667	0.085002	0.525038	0.066163	0.4357	0.348605	0.220391	
D00066	0.708384	1.0	0.411429	0.688095	0.580009	0.194529	0.44709	0.393976	0.881545	0.678891	0.645089	0.384127	0.36807	0.252755	0.476896	0.115226	0.417423	0.319561	0.190781	0.701095	0.194529	0.435374	0.762157	0.103704	0.437876	0.10194	0.076644	0.550476	0.0945	0.122807	0.057604	0.485009	0.108844	0.079772	0.361531	0.660317	0.45917	0.660317	0.550476	0.080479	0.125245	0.10084	0.397516	0.13976	0.279086	0.954545	0.571429	0.55254	0.115025	0.717834	0.081916	0.562637	0.451914	0.218443	
D00067	0.332308	0.411429	1.0	0.616333	0.523243	0.137872	0.889259	0.24641	0.386866	0.314713	0.577813	0.256	0.26087	0.174395	0.304222	0.166667	0.24381	0.735294	0.138846	0.36507	0.137872	0.308571	0.411429	0.130667	0.827931	0.160444	0.185143	0.326667	0.11907	0.126667	0.116452	0.276566	0.186667	0.166154	0.226118	0.568923	0.32988	0.568923	0.516267	0.089825	0.098904	0.127059	0.281739	0.140976	0.269231	0.414848	0.375556	0.2738	0.120822	0.339765	0.103214	0.492308	0.706176	0.186667	
D00075	0.513034	0.688095	0.616333	1.0	0.757658	0.187589	0.711111	0.359188	0.597264	0.459962	0.876042	0.333333	0.330676	0.244586	0.500741	0.088889	0.384127	0.47451	0.141346	0.610563	0.187589	0.35	0.635185	0.108889	0.63477	0.094815	0.080476	0.470222	0.099225	0.094737	0.052688	0.455219	0.096032	0.083761	0.362549	0.862564	0.462651	0.862564	0.773556	0.05731	0.091324	0.105882	0.319565	0.091463	0.278571	0.682828	0.398354	0.450667	0.065982	0.530196	0.07619	0.747692	0.68848	0.229365	
D00088	0.48666	0.580009	0.523243	0.757658	1.0	0.209603	0.52953	0.399168	0.504236	0.452936	0.785684	0.357432	0.362123	0.269926	0.558709	0.112613	0.355373	0.402424	0.189449	0.555006	0.209603	0.370656	0.557915	0.13018	0.582479	0.132432	0.111583	0.506126	0.113451	0.148174	0.078684	0.475157	0.108752	0.100139	0.397456	0.773597	0.528981	0.773597	0.715135	0.114746	0.13495	0.128246	0.382051	0.10679	0.328037	0.575143	0.400567	0.454595	0.089596	0.534817	0.087114	0.723701	0.516892	0.283784	
D00094	0.184397	0.194529	0.137872	0.187589	0.209603	1.0	0.113869	0.279324	0.16799	0.152849	0.191489	0.255585	0.259328	0.206125	0.185343	0.154452	0.243414	0.112954	0.298282	0.187294	0.9579	0.227964	0.163458	0.159574	0.146735	0.170686	0.175684	0.191773	0.178624	0.197462	0.099176	0.193424	0.101317	0.196945	0.289362	0.188543	0.215586	0.188543	0.177305	0.134752	0.167881	0.18398	0.208141	0.168137	0.170447	0.185687	0.205936	0.204468	0.094433	0.225282	0.097264	0.204583	0.137985	0.446809	
D00105	0.361111	0.44709	0.889259	0.711111	0.52953	0.113869	1.0	0.274454	0.420398	0.34057	0.639178	0.283565	0.292271	0.208068	0.329218	0.154321	0.285714	0.653867	0.128561	0.396714	0.113869	0.301808	0.44709	0.120988	0.896871	0.14856	0.171429	0.338025	0.124462	0.105263	0.096774	0.299289	0.17284	0.153846	0.266885	0.629345	0.339357	0.629345	0.568889	0.083171	0.091578	0.131082	0.306159	0.130533	0.293854	0.448934	0.330133	0.296296	0.111872	0.348584	0.095569	0.551567	0.794118	0.14903	
D00129	0.461703	0.393976	0.24641	0.359188	0.399168	0.279324	0.274454	1.0	0.422694	0.445771	0.370393	0.698077	0.737458	0.265311	0.328205	0.106838	0.685134	0.230958	0.207347	0.382087	0.279324	0.366453	0.358974	0.123504	0.302608	0.164103	0.118681	0.316068	0.131485	0.118983	0.091191	0.298368	0.103175	0.118672	0.848416	0.364694	0.355885	0.364694	0.33094	0.108862	0.137689	0.144796	0.348384	0.125078	0.285292	0.393357	0.364672	0.360128	0.101159	0.362142	0.074176	0.399408	0.286765	0.2442	
D00143	0.808458	0.881545	0.386866	0.597264	0.504236	0.16799	0.420398	0.422694	1.0	0.724824	0.559935	0.412127	0.399957	0.287575	0.414594	0.093422	0.444208	0.316945	0.179392	0.612991	0.16799	0.480455	0.716655	0.08408	0.411734	0.084909	0.072068	0.477811	0.088858	0.115475	0.054165	0.423489	0.085999	0.07501	0.387884	0.574053	0.449559	0.574053	0.477811	0.067033	0.117767	0.09482	0.438676	0.131416	0.275709	0.841474	0.641423	0.484925	0.098957	0.632133	0.06823	0.507233	0.405838	0.205402	
D00163	0.681403	0.678891	0.314713	0.459962	0.452936	0.152849	0.34057	0.445771	0.724824	1.0	0.431214	0.373707	0.367983	0.338531	0.414943	0.095785	0.399015	0.284145	0.149425	0.50769	0.152849	0.41393	0.656814	0.098084	0.333135	0.112644	0.073892	0.383142	0.117883	0.116152	0.053578	0.364101	0.092501	0.066313	0.39432	0.442087	0.389004	0.442087	0.367969	0.0976	0.114785	0.119225	0.42029	0.112139	0.303271	0.648032	0.54548	0.456207	0.10644	0.503178	0.074097	0.407427	0.327248	0.17734	
D00182	0.48097	0.645089	0.577813	0.876042	0.785684	0.191489	0.639178	0.370393	0.559935	0.431214	1.0	0.344531	0.344429	0.258857	0.544444	0.113426	0.343936	0.444853	0.158954	0.618178	0.191489	0.343936	0.595486	0.117188	0.728448	0.1125	0.100446	0.500208	0.093023	0.109649	0.056704	0.477431	0.107143	0.102564	0.355882	0.984615	0.489646	0.984615	0.826875	0.088816	0.094392	0.1106	0.328804	0.097561	0.317479	0.640152	0.390625	0.455625	0.077269	0.536029	0.080636	0.865385	0.621324	0.268601	
D00187	0.467308	0.384127	0.256	0.333333	0.357432	0.255585	0.283565	0.698077	0.412127	0.373707	0.344531	1.0	0.8625	0.249682	0.347222	0.118519	0.905357	0.238235	0.23101	0.372535	0.27234	0.372024	0.401786	0.09375	0.311207	0.146944	0.128929	0.308167	0.116279	0.126316	0.072782	0.315657	0.072024	0.128205	0.700147	0.355577	0.361596	0.355577	0.322667	0.087719	0.115753	0.118627	0.367391	0.110061	0.290659	0.383523	0.417284	0.392	0.090582	0.367647	0.08058	0.389423	0.265441	0.238095	
