data	D00049	D00059	D00079	D00094	D00095	D00106	D00110	D00113	D00136	D00139	D00180	D00225	D00227	D00232	D00234	D00235	D00241	D00255	D00270	D00274	D00281	D00283	D00295	D00300	D00301	D00306	D00318	D00332	D00336	D00356	D00364	D00371	D00380	D00394	D00397	D00400	D00410	D00411	D00415	D00419	D00422	D00426	D00432	D00437	D00440	D00442	D00443	D00451	D00454	D00465	D00480	D00483	D00493	D00494	D00498	D00499	D00503	D00509	D00513	D00514	D00520	D00521	D00522	D00523	D00524	D00525	D00528	D00540	D00542	D00559	D00560	D00563	D00574	D00598	D00601	D00604	D00606	D00607	D00609	D00613	D00627	D00632	D00635	D00645	D00646	D00665	D00666	D00673	D00674	D00675	D00676	D00682	D00683	D00684	D00687	D00688	D00715	D00726	D00760	D00765	D00769	D00775	D00779	D00780	D00790	D00837	D00838	D00845	D00954	D00965	D00987	D00996	D01020	D01022	D01024	D01051	D01071	D01103	D01118	D01126	D01164	D01227	D01236	D01242	D01269	D01295	D01297	D01324	D01332	D01346	D01352	D01358	D01386	D01390	D01441	D01454	D01462	D01603	D01652	D01692	D01699	D01712	D01713	D01717	D01745	D01782	D01828	D01871	D01891	D01925	D01964	D01965	D01973	D01994	D02007	D02066	D02070	D02076	D02082	D02147	D02149	D02150	D02234	D02237	D02250	D02278	D02279	D02327	D02338	D02340	D02342	D02349	D02354	D02356	D02357	D02358	D02359	D02361	D02374	D02566	D02578	D02588	D02614	D02671	D02721	D02725	D02826	D02884	D02910	D03165	D03187	D03210	D03274	D03365	D03415	D03442	D03490	D03503	D03621	D03642	D03654	D03858	D03879	D03880	D03881	D03966	D04006	D04034	D04040	D04375	D04625	D04716	D04979	D05113	D05129	D05246	D05312	D05341	D05740	D05792	D05938	D06056	D06396	
D00049	1.0	0.024449	0.010577	0.0	0.06163	0.0	0.149824	0.07145	0.092561	0.005189	0.011171	0.009565	0.004269	0.009751	0.003167	0.042045	0.111145	0.003867	0.003677	0.057925	0.001262	0.001611	0.0	0.018795	0.084656	0.01379	0.020894	0.0	0.029478	0.034146	0.341667	0.004859	0.099562	0.002841	0.162403	0.011408	0.722964	0.076367	0.048561	0.020441	8.85E-4	0.038357	0.001167	0.042942	0.0	0.036924	0.019562	0.02039	0.001063	0.058092	0.002992	0.003858	0.003142	0.003162	0.001091	0.028339	0.00288	0.031134	0.001554	0.011214	0.012766	0.023102	0.038303	0.011375	0.0	0.0	0.126611	0.052543	0.0	0.0	0.050576	0.375137	0.08715	0.001352	0.001299	0.001123	0.01393	0.001821	0.061543	0.004446	0.002091	0.020166	0.029546	0.005044	0.011483	0.149136	0.054832	8.58E-4	0.018196	0.096557	0.062485	0.0	0.053531	0.097858	0.079637	0.05075	0.049193	0.080422	0.013829	0.005527	0.050135	0.00108	0.009455	0.014777	0.002366	0.017011	0.001225	0.045178	0.008354	0.048537	0.019391	0.054829	0.00148	4.01E-4	0.004968	0.068722	0.02688	0.017518	0.0027	0.0	0.014073	0.096229	0.10628	0.004983	0.036571	0.013094	0.296627	0.002567	0.048612	0.206065	0.0	0.015178	0.035727	0.060026	0.201264	0.001374	0.043733	0.002337	0.015956	0.017641	0.022456	0.003064	0.002385	0.043892	0.004855	0.076767	0.066451	0.002782	0.033904	0.022259	0.028446	0.020118	0.063324	0.040864	0.029609	0.056161	0.062752	0.140339	0.004517	0.056236	0.038062	0.052228	0.00214	0.00237	0.035444	0.0	0.0	0.171366	0.014054	0.002652	0.001375	0.10148	0.012237	0.008736	0.018562	0.001607	0.029394	0.095244	0.030892	0.013137	0.088873	0.016775	0.035812	0.002358	0.0	0.01515	9.26E-4	0.003414	0.043615	0.013218	0.019118	0.074617	0.180315	0.454548	0.002735	0.045821	0.001355	0.0	0.018715	0.131758	0.024075	0.016875	0.020992	0.007088	0.015777	0.0	0.004162	0.097246	0.001787	0.0	0.052513	0.010634	0.003305	0.009418	0.043641	0.001635	0.009777	0.0	0.003001	0.001607	0.013412	0.001031	0.013421	
D00059	0.024449	1.0	0.07113	0.017507	0.51998	0.057629	0.112888	0.110666	0.04673	0.004565	0.075125	7.94E-4	0.0	0.080198	0.014639	0.015557	0.08642	0.009902	0.008503	0.029714	0.005128	9.04E-4	0.0	0.002114	0.084799	0.136737	0.005553	0.050477	0.012759	0.122575	0.011526	0.0	0.017538	0.008953	0.111169	0.132161	0.011276	0.030594	0.01082	0.03569	0.008185	0.006929	0.096453	4.6E-4	0.004055	0.082736	0.065233	0.007345	5.96E-4	0.031441	0.001679	0.013736	0.007266	0.001774	0.116521	0.0	0.00666	0.14494	0.010195	0.016277	0.001065	0.135035	0.042683	0.02377	0.0	0.153306	0.007318	0.028437	0.0	0.045573	0.052091	0.009158	0.017139	0.013608	0.130383	0.004563	0.006624	0.004126	0.023191	0.286706	0.025516	0.466421	0.06052	0.02105	0.01195	0.036482	0.065142	0.007935	0.006555	0.018694	0.035429	0.052558	0.276736	0.121428	0.040064	0.351379	0.030911	0.010749	0.076299	0.05121	0.044021	0.020742	5.91E-4	0.064162	0.005472	0.125657	0.351619	0.087937	0.076142	0.038798	0.150019	0.462606	0.120504	0.142057	0.099276	0.054664	0.0	9.42E-4	0.001515	0.176752	0.025667	0.035081	0.017338	0.00102	0.053045	0.022453	0.001224	0.00144	0.029673	0.203977	0.06039	0.009589	0.25522	0.501559	0.142983	0.060061	0.11596	0.00826	6.12E-4	3.87E-4	0.061618	0.0	0.007514	0.051316	9.94E-4	0.045244	0.099935	0.001561	0.093712	0.148481	0.125662	0.141346	0.051882	0.108149	0.214499	0.453656	0.162037	0.113899	0.139253	0.298528	0.46749	0.440661	0.006743	0.005372	0.102901	0.113292	0.085983	0.037163	0.072361	0.006134	0.013838	0.098325	0.001377	0.111778	0.092337	0.048829	0.338995	0.01221	0.076451	0.001478	0.021944	0.167849	0.244083	0.005454	0.057126	0.092147	0.005316	0.0	0.02678	0.061583	0.041246	0.024562	0.145789	0.001024	0.025465	0.274724	0.034154	0.0	0.034256	0.028427	0.066062	0.001898	0.48553	0.275844	0.505444	0.23561	0.0	0.207406	0.143913	0.0	0.467947	0.044271	0.001855	0.059485	0.089407	0.043475	0.061754	0.025045	0.014441	0.043376	0.026205	0.019798	2.56E-4	
D00079	0.010577	0.07113	1.0	0.121916	0.152668	0.614556	0.254057	0.171028	0.060758	0.001217	0.827327	0.0	0.001399	0.146531	0.007624	0.030463	0.053823	0.0254	0.0	0.003438	0.0	0.0	0.0	0.0	0.112628	0.148203	0.004047	0.142435	0.044295	0.45733	0.012687	0.001593	0.036165	0.0	0.004825	0.103208	0.004568	0.024416	0.067395	0.598036	0.0	0.023444	0.241972	0.005854	0.0	0.029394	0.192188	0.002919	0.0	0.051504	0.0	0.038008	0.0	0.0	0.167381	0.042605	0.0	0.006589	0.030624	0.054519	0.001082	0.043548	0.01369	0.051823	0.0	0.134829	0.002171	0.034722	0.0	0.048845	0.007179	0.0	0.038984	0.026647	0.123454	0.0	0.004566	0.041485	0.003207	0.005705	0.010686	0.0	0.060848	0.00529	0.065435	0.190543	0.212292	0.0	0.018162	0.003815	0.055782	0.679029	0.020658	0.02245	0.076811	0.019906	0.156356	0.004853	0.016825	0.299269	0.078628	0.0	0.038745	0.172486	0.069638	0.207101	0.183967	0.110551	0.237252	0.002899	0.179139	0.135823	0.016822	0.0	0.039762	0.019444	0.05419	0.065205	0.0	0.049687	0.04926	0.001656	0.005859	0.001037	0.119605	0.060357	0.02518	0.0	0.122669	0.013705	0.757329	0.0	0.192823	0.019531	0.007063	0.027075	0.203396	0.002451	0.021067	0.003207	0.042513	0.001004	0.0	0.112231	0.030778	0.041271	0.018145	0.035629	0.375	0.112719	0.441079	0.038055	0.083891	0.083221	0.299431	0.021673	0.150913	0.122608	0.070403	0.018298	0.251829	0.12938	0.007729	0.104107	0.049389	0.181299	0.166047	0.065288	0.076614	0.0	0.027096	0.018582	0.0	0.02243	0.176722	0.031664	0.172024	0.037043	0.022901	0.03373	0.0	0.159646	0.136314	0.04337	0.642599	0.451597	0.050006	0.001119	0.015921	0.174521	0.620192	0.003163	0.008518	0.136998	0.028749	0.246091	0.026698	0.0	0.0	0.007922	0.045579	0.062218	0.0	0.336192	0.151284	0.200088	0.025252	0.003426	0.071186	0.0	0.01548	0.126901	0.011937	0.132263	0.026829	0.012533	0.137308	0.25755	0.003147	0.098641	0.027814	0.037905	0.026136	
D00094	0.0	0.017507	0.121916	1.0	0.0	0.113971	0.0	0.0	0.025096	0.0	0.061556	0.0	0.0	0.025641	0.0	0.009731	0.023947	0.003102	0.046543	0.018102	0.0	0.0	0.0	0.02867	0.011813	0.060533	0.021349	0.147665	0.016411	0.075845	0.0	0.0	0.006281	0.025419	0.0	0.03604	0.004974	0.011331	0.017811	0.050084	0.059434	0.003689	0.007347	0.175123	0.05255	0.004894	0.032033	0.022893	0.0	0.032133	0.011039	0.012141	0.0	0.011667	0.080708	0.038905	0.0	0.003627	0.009782	0.0	0.014436	0.022924	0.009402	0.03922	0.017546	0.0	0.0	0.061278	0.0	0.0	0.0	0.0	0.069608	0.008512	0.045109	0.0	0.0	0.03466	0.0	0.00314	0.007339	0.0	0.047988	0.009704	0.018596	0.258618	0.109495	0.057621	0.017374	0.016258	0.042665	0.090083	0.011058	0.015584	0.016704	0.010656	0.01328	0.010653	0.022309	0.024305	0.002997	0.0	0.018032	0.025376	0.030436	0.025475	0.010314	0.038708	0.021552	0.045553	0.015227	0.0	0.009314	0.011765	0.009558	0.06541	0.049859	0.010835	0.015213	0.012229	0.004595	0.015806	0.0	0.00671	0.025246	0.099985	0.0	0.011165	0.089258	0.0	0.092224	0.0	0.0	0.010383	0.002398	0.033233	0.177813	0.001349	0.0	0.022746	0.0	0.0	0.0	0.00799	0.0	0.06037	0.015881	0.005856	0.048174	0.0	0.079796	0.0	0.0	0.018177	0.014314	0.011601	0.019331	0.017146	0.081202	0.009728	0.022031	0.00558	0.0	0.036938	0.014119	0.035056	0.022869	0.05395	0.038152	0.0	0.038605	0.045002	0.018667	0.044934	0.018128	0.038864	0.0	0.030174	0.011834	0.016998	0.006927	0.0	0.0	0.020184	0.130623	0.110175	0.0	0.003814	0.008733	0.02433	0.089266	0.054826	0.030205	0.0	0.009601	0.00784	0.008528	0.0	0.0	0.0	0.0	0.028957	0.0	0.004752	0.021156	0.022313	0.0	0.024295	0.085201	0.0	0.034902	0.02322	0.0	0.0	0.017764	0.011785	0.012509	0.06226	0.018395	0.022354	0.023162	0.008677	0.015362	
D00095	0.06163	0.51998	0.152668	0.0	1.0	0.15147	0.064178	0.073794	0.044525	0.004651	0.161242	0.005468	0.0	0.039782	0.009344	0.006401	0.055415	0.00221	0.008662	0.023678	0.005224	9.21E-4	0.0	0.010744	0.051077	0.157439	0.0	0.0	0.00794	0.16015	0.005539	0.0	0.036359	0.001624	0.028411	0.012249	0.033178	0.026093	0.034918	0.076788	0.003666	0.013926	0.127901	4.69E-4	0.0	7.99E-4	0.041982	0.006564	6.07E-4	0.006026	0.00171	0.002205	0.007403	0.001807	0.180222	0.0	0.006785	0.16942	8.88E-4	0.05438	0.00541	0.017557	0.021894	0.004157	0.0	0.036405	0.014911	0.00545	0.0	0.016189	0.028909	0.008286	0.035533	0.005599	0.074084	0.004649	0.0	0.0	0.023174	0.299285	0.003682	0.548344	0.027219	0.004337	0.049288	0.010954	0.020525	0.003554	0.005858	0.026651	0.005682	0.119708	0.351993	0.030218	0.019238	0.452411	0.068349	0.027801	0.054601	0.115976	0.013506	0.021132	0.005405	0.016783	0.005574	0.10546	0.185967	9.68E-4	0.061163	0.01979	0.030121	0.889661	0.028957	0.141767	0.041104	0.028205	0.0	0.018279	0.001543	0.010603	0.005144	0.018101	0.041746	0.001039	0.014818	0.007485	0.001247	0.001468	7.29E-4	0.215768	0.17086	0.008676	0.244761	0.63275	0.009415	0.045542	0.003457	4.88E-4	0.004215	0.00449	0.006442	0.0	0.001363	0.056465	0.001013	0.004652	0.027931	0.00159	0.110144	0.047439	0.129265	0.048706	0.038503	0.003377	0.068026	0.56499	0.124115	0.060967	0.003884	0.387464	0.695937	0.748464	0.001223	0.0	7.67E-4	0.048301	0.054022	0.007741	0.023127	0.006249	0.005694	0.125806	0.006995	0.05016	0.040661	0.031447	0.530477	0.035927	0.070786	0.007509	0.04444	0.073408	0.626601	0.005557	0.142646	0.108305	0.146061	0.0	0.03627	0.017305	0.129532	0.029946	0.201845	0.04791	0.001563	0.062412	0.026515	0.0	0.010698	0.038597	0.006907	0.009646	0.570809	0.362389	0.504225	0.036888	0.0	0.265764	0.00421	0.0	0.553555	0.100842	0.00189	0.0585	0.017247	0.003851	0.060732	0.0	0.004534	9.19E-4	0.001189	0.02017	2.61E-4	
D00106	0.0	0.057629	0.614556	0.113971	0.15147	1.0	0.178279	0.159451	0.027938	0.0	0.597013	0.0	0.0	0.135248	0.006177	0.024681	0.043608	0.020579	0.0	0.0	0.0	0.0	0.0	0.0	0.101086	0.132229	0.002628	0.094173	0.028569	0.355968	0.035798	0.0	0.022228	0.0	0.0	0.062219	0.0	0.01308	0.102077	0.365774	0.047496	0.018185	0.181622	0.0	0.041995	0.014381	0.150427	0.0	0.0	0.038331	0.0	0.030794	0.0	0.0	0.164895	0.026993	0.0	0.004279	0.024811	0.064666	0.0	0.021825	0.011092	0.039435	0.0	0.131577	0.0	0.025059	0.0	0.04509	0.005817	0.0	0.008532	0.021589	0.104872	0.0	0.0	0.033128	0.0	0.003705	0.008658	0.0	0.039611	0.003436	0.07314	0.109261	0.162927	0.046048	0.0	0.0	0.027719	0.499233	0.016088	0.01198	0.059722	0.015503	0.160607	0.0	0.005801	0.300064	0.0246	0.0	0.031391	0.098655	0.01467	0.20282	0.166769	0.039819	0.262285	0.0	0.124811	0.134757	0.013629	0.0	0.038145	0.0	0.036766	0.054997	0.0	0.040256	0.022651	0.0	0.0	0.0	0.0939	0.034105	0.0	0.0	0.105296	0.0	0.566947	0.0	0.154795	0.015824	0.00283	0.021936	0.120179	0.001592	0.004611	0.0	0.02943	0.0	0.0	0.107559	0.0	0.033438	0.013683	0.028867	0.283902	0.140124	0.342941	0.045138	0.073647	0.031905	0.156993	0.016879	0.132294	0.105414	0.046057	0.014825	0.228996	0.128364	0.032587	0.083718	0.030959	0.169639	0.159976	0.033982	0.043388	0.0	0.021953	0.009392	0.0	0.018173	0.109245	0.025654	0.158605	0.008107	0.018555	0.027328	0.0	0.165072	0.135244	0.035138	0.752926	0.298055	0.053859	0.0	0.010802	0.099561	0.390614	0.0	0.0	0.149978	0.023292	0.124398	0.021631	0.0	0.0	0.0	0.031552	0.050409	0.0	0.284648	0.130069	0.261999	0.0	0.0	0.046594	0.0	0.012542	0.207038	0.009671	0.127201	0.020957	0.010154	0.132054	0.208666	0.002044	0.079919	0.006087	0.030711	0.017733	
D00110	0.149824	0.112888	0.254057	0.0	0.064178	0.178279	1.0	0.339133	0.049714	0.005341	0.284928	0.020358	0.003325	0.218189	0.035004	0.016374	0.043284	0.030376	0.017256	0.032333	0.004813	0.033048	0.0	0.095613	0.270466	0.137017	0.009091	0.0	0.027879	0.358892	0.123347	0.003785	0.049146	0.025564	0.043228	0.086928	0.039681	0.048668	0.11463	0.235568	3.45E-4	0.032982	0.159342	0.059643	0.0	0.045754	0.262407	0.013657	0.028135	0.079129	0.026916	0.028101	0.014747	0.028447	0.151526	0.022072	0.013515	0.082887	0.011389	0.03829	0.050717	0.0657	0.030935	0.048686	0.02737	0.168212	0.019945	0.046355	0.0	0.052286	0.051499	0.018155	0.040125	5.27E-4	0.041922	0.004283	0.017477	0.001418	0.071683	0.008941	0.016928	0.058538	0.022471	0.016572	0.067687	0.052878	0.188056	3.34E-4	0.012188	0.063648	0.046743	0.169306	0.021799	0.135823	0.062691	0.020681	0.24575	0.037086	0.021503	0.312047	0.164191	4.21E-4	0.01275	0.244181	0.011104	0.140202	0.20563	0.046815	0.354004	0.022347	0.248508	0.057097	5.76E-4	1.56E-4	0.040672	0.067739	0.020936	0.073371	0.024293	0.121655	0.015768	0.028566	0.079238	0.018826	0.206453	0.211225	0.028746	0.090716	0.061399	0.180379	0.185942	0.032107	0.171801	0.023376	0.013849	5.35E-4	0.155606	0.008829	0.041081	0.010681	0.122156	0.002386	0.021457	0.228004	0.033301	0.009984	0.029307	0.049346	0.262259	0.133887	0.243399	0.049641	0.136551	0.035988	0.311233	0.022869	0.29455	0.053325	0.007746	0.021901	0.106317	0.054388	0.037958	0.001846	0.04392	0.048893	0.054684	0.104671	0.010486	0.035626	0.033174	0.070393	0.017481	0.003402	0.246421	6.26E-4	0.08478	0.057328	0.012031	0.027789	0.043844	0.169511	0.058755	0.011069	0.180157	0.215378	0.062461	0.002659	0.026301	0.25021	0.246166	0.056286	0.114632	0.080239	0.021483	0.359869	5.28E-4	0.0	0.083467	0.084326	0.130966	0.045692	0.060936	0.245471	0.10983	0.212105	0.031625	0.075191	0.005976	0.005878	0.020451	0.108298	0.02974	0.146835	0.018139	0.012501	0.138068	0.0	0.001911	0.012665	0.024737	4.01E-4	0.010276	
D00113	0.07145	0.110666	0.171028	0.0	0.073794	0.159451	0.339133	1.0	0.021872	0.003818	0.196909	0.014037	0.00163	0.382397	0.010116	5.9E-4	0.019691	0.029779	0.016916	0.012484	0.004718	0.012447	0.0	0.038974	0.631271	0.160182	9.35E-4	0.013018	0.011254	0.343184	0.019068	0.001855	0.023089	0.025061	0.219358	0.06576	0.020784	0.029295	0.086271	0.145604	3.38E-4	0.007388	0.163907	0.043392	0.0	0.087074	0.230727	0.018651	0.009373	0.052904	0.026386	0.027548	0.014456	0.027887	0.124198	0.010819	0.013249	0.015735	0.011165	0.045563	0.020886	0.029395	0.016226	0.011788	0.0	0.131114	0.007508	0.223939	0.0	0.061332	0.03701	0.069197	0.018689	5.16E-4	0.059726	0.004199	0.020473	0.04889	0.014512	0.001698	0.012558	0.007699	0.015988	0.009692	0.104335	0.02673	0.153829	3.28E-4	0.016644	0.035193	0.040758	0.199201	0.112447	0.028104	0.048867	0.019375	0.259561	0.017106	0.007062	0.295543	0.072006	4.12E-4	0.012499	0.190692	0.010886	0.183637	0.202574	0.04512	0.305452	0.010409	0.233421	0.065652	0.045433	0.020379	0.038668	0.032124	0.064386	0.10166	0.049968	0.070784	0.010918	0.028672	0.044934	0.017247	0.132576	0.035202	0.019109	0.022644	0.032571	0.111339	0.216299	0.085294	0.149458	0.022916	0.005027	5.25E-4	0.142817	0.008089	0.01274	0.012817	0.138004	0.00117	0.021034	0.187526	0.016853	0.004069	0.016251	0.02454	0.189999	0.134033	0.220145	0.087641	0.131606	0.034571	0.217038	0.021441	0.5997	0.075618	0.001724	0.122752	0.140937	0.062537	0.018876	9.05E-4	0.083583	0.056842	0.063573	0.051362	0.028257	0.012203	5.25E-4	0.111374	0.017137	0.003335	0.226272	6.13E-4	0.068953	0.036582	1.7E-4	0.027242	0.025161	0.172254	0.058553	0.010851	0.154829	0.170803	0.07644	0.001304	0.015518	0.195858	0.150952	0.015056	0.06511	0.090379	0.02106	0.189018	5.17E-4	0.0	0.038809	0.045928	0.147956	0.034993	0.008014	0.160444	0.097597	0.192469	0.001589	0.043723	6.82E-4	0.005762	0.020048	0.153235	0.029155	0.172085	0.038121	0.023354	0.178649	0.0	0.001146	0.025137	0.013898	3.93E-4	0.005124	
D00136	0.092561	0.04673	0.060758	0.025096	0.044525	0.027938	0.049714	0.021872	1.0	0.009082	0.09032	0.106518	0.00194	0.037916	0.305041	0.052851	0.284056	0.003515	0.198717	0.3812	0.077889	0.145727	0.0	0.066261	0.235686	0.023072	0.009495	0.151131	0.137183	0.004822	0.148869	0.002208	0.095898	0.013446	0.085696	0.060575	0.065196	0.09751	0.040827	0.11742	0.0126	0.229791	0.001061	0.008861	0.005987	0.05086	0.054589	0.088915	0.067203	0.129666	0.002719	0.003506	0.33713	0.002874	0.024308	0.117091	0.308976	0.069412	0.001412	0.031726	0.050396	0.103364	0.034912	0.120476	0.0	0.0	0.020265	0.081278	0.0	0.0	0.294454	0.062101	0.240907	0.075207	0.028951	0.069311	0.077991	0.202957	0.077085	0.079378	0.010659	0.053909	0.041397	0.014697	0.050108	0.17577	0.142457	0.012216	0.122027	0.065361	0.09353	0.02548	0.03802	0.108003	0.058505	0.028202	0.015059	0.186163	0.011338	0.040214	0.045792	0.06952	0.112399	0.033406	0.127878	0.097538	0.048118	0.161159	0.035241	0.066056	0.06722	0.039612	0.032377	3.64E-4	0.008225	0.15022	0.033189	0.052223	0.050253	0.021936	0.248222	0.04226	0.114714	0.017974	0.024107	0.097779	0.140789	0.016743	0.029849	0.159804	0.026085	0.065024	0.02266	0.043366	0.118774	0.084823	0.077817	0.00145	0.068749	0.011586	0.086344	0.001392	0.002168	0.208032	0.106451	0.048779	0.055532	0.028283	0.03423	0.010115	0.018398	0.073552	0.065321	0.266087	0.035286	0.039887	0.019209	0.0	0.032776	0.040629	0.027499	0.037733	0.024673	0.047384	0.048821	0.011789	0.013185	0.068061	0.079712	0.195053	0.03064	0.029332	0.168544	0.098786	0.056146	0.035804	0.080599	0.118316	0.014242	0.051544	0.123865	0.007623	0.153608	0.02888	0.022248	0.036201	8.42E-4	0.001552	0.054735	0.033529	0.17406	0.135608	0.229008	0.001658	0.002486	0.057342	0.075352	0.0	0.139123	0.269208	0.092571	0.126261	0.056117	0.018949	0.042176	0.034393	0.001891	0.201134	0.034118	0.063554	0.05239	0.029339	0.019556	0.048841	0.023036	0.011759	0.004817	0.114966	0.03364	0.040948	0.192935	0.040484	0.101802	
D00139	0.005189	0.004565	0.001217	0.0	0.004651	0.0	0.005341	0.003818	0.009082	1.0	0.001285	0.004112	0.031382	0.001122	0.029602	0.035828	0.006245	0.156553	0.008951	0.023789	0.003465	0.004685	0.0	0.007999	0.008225	0.025315	8.82E-4	0.0	0.02966	0.002779	0.005287	0.035723	0.009706	0.006031	0.004936	0.005417	0.002878	0.02828	0.004682	0.002352	0.002432	0.024089	0.026324	0.003795	0.0	0.007054	0.002251	0.026599	0.002256	0.003965	0.00635	0.159596	0.007649	0.006711	0.002996	0.00326	0.007011	0.007732	0.037573	0.003432	0.028304	0.008524	0.016616	0.005402	0.0	0.0	0.048691	0.003586	0.0	0.0	0.00757	0.003809	0.005831	0.03134	0.003568	0.003083	0.00368	6.56E-4	0.098469	0.01333	0.004872	0.007052	0.004691	0.005634	0.004937	0.005314	0.006652	0.002358	0.023737	0.006542	0.02441	0.0	0.004735	0.019834	0.123092	0.001222	0.002629	0.00208	0.006256	6.36E-4	0.005922	0.002965	0.002236	0.00366	0.00576	0.020784	0.003364	0.00434	9.61E-4	0.003248	0.06711	0.004138	0.034291	2.89E-4	0.024068	0.006923	0.003093	0.004616	0.005732	0.0	0.046623	0.027024	0.009536	0.027125	0.004733	0.007598	0.005593	0.00545	0.00452	0.014556	0.0	0.00646	0.003343	0.00453	0.008144	0.003773	0.004386	0.002345	0.002878	0.098041	0.02442	0.022522	0.005062	0.003694	0.040744	0.003203	0.165907	0.005906	0.019454	0.002561	0.01675	0.057804	0.008217	0.020105	0.003407	0.004968	0.003354	0.001322	0.003707	0.004244	0.002873	0.003942	0.004543	8.53E-4	0.006772	0.0	0.0	0.00526	0.004726	0.018967	0.031868	0.005142	0.025032	0.022702	0.003737	0.004413	0.006817	0.030005	0.024064	0.005591	0.177327	0.00193	0.039198	0.005742	0.0	0.021143	0.001965	0.025102	0.091773	0.003047	0.0022	0.003527	0.014608	9.09E-4	0.11072	0.006723	0.0314	0.0	0.007965	0.012525	0.026181	0.007182	0.00734	0.002479	0.005517	0.0	0.030598	0.013182	0.002899	0.001842	0.003963	0.004526	0.007017	0.030409	0.288674	0.00398	0.04061	0.0	0.003694	0.004673	0.00403	0.00283	0.026136	
