data	D00035	D00110	D00136	D00195	D00219	D00225	D00227	D00228	D00234	D00252	D00274	D00283	D00293	D00294	D00303	D00319	D00326	D00329	D00331	D00332	D00335	D00336	D00338	D00340	D00345	D00349	D00351	D00354	D00358	D00364	D00367	D00373	D00379	D00380	D00392	D00394	D00418	D00437	D00438	D00451	D00456	D00464	D00474	D00477	D00480	D00495	D00499	D00504	D00512	D00513	D00519	D00521	D00524	D00528	D00530	D00533	D00536	D00537	D00538	D00539	D00542	D00543	D00544	D00545	D00546	D00547	D00548	D00549	D00550	D00552	D00553	D00560	D00563	D00574	D00593	D00594	D00607	D00611	D00615	D00616	D00617	D00618	D00619	D00629	D00631	D00633	D00636	D00638	D00639	D00640	D00642	D00647	D00648	D00649	D00650	D00651	D00654	D00656	D00658	D00677	D00678	D00694	D00697	D00704	D00708	D00709	D00711	D00726	D00732	D00733	D00735	D00738	D00739	D00740	D00741	D00759	D00760	D00761	D00765	D00771	D00775	D00779	D00791	D00798	D00799	D00809	D00812	D00816	D00823	D00831	D00960	D00963	D00964	D01071	D01108	D01111	D01118	D01242	D01243	D01253	D01256	D01275	D01287	D01295	D01350	D01448	D01450	D01453	D01575	D01599	D01603	D01712	D01768	D01799	D01828	D01854	D01969	D02041	D02086	D02087	D02088	D02092	D02098	D02101	D02163	D02173	D02204	D02207	D02234	D02237	D02253	D02261	D02262	D02272	D02347	D02356	D02360	D02362	D02409	D02461	D02485	D02546	D02566	D02630	D02914	D03037	D03180	D03274	D03365	D03450	D03580	D03742	D03826	D03830	D03878	D03991	D04034	D04048	D04370	D04790	D04985	D04999	D05024	D05077	D05156	D05453	D05458	D05461	D06106	D06172	
D00035	1.0	0.499538	0.007133	0.342093	0.045932	0.0	0.001609	0.0	0.037487	0.008263	0.00527	0.0	0.0	0.004238	0.0	0.037631	0.0	0.025492	0.003208	0.0	0.02882	0.035558	0.0	0.006008	0.007117	0.0331	0.086067	0.0	0.0093	0.053725	0.0	0.08869	0.037207	0.054281	0.009301	0.0	0.016339	0.033966	0.03024	0.003586	0.0	0.0	0.007442	0.008762	0.0	0.044291	0.016708	0.024253	0.005714	0.0	0.00528	0.067722	0.0	0.003115	0.0	0.019523	0.007824	0.15772	0.004439	0.010414	0.0	0.0	0.0	0.0	0.0	0.0	0.039618	0.0	0.0	0.072394	0.06894	0.058792	0.026541	0.008739	0.029068	0.092319	8.11E-4	0.021728	0.033296	0.361754	0.029381	0.032051	0.0	0.033072	0.01913	0.0	0.003823	0.059212	0.0	0.045906	0.375236	0.002183	0.044547	0.004944	0.004834	0.004398	0.005401	0.002731	0.004789	0.264905	0.0	0.004183	0.032273	0.0	0.049874	0.024347	0.0	0.007879	0.049443	0.006845	0.07184	0.036713	0.067111	0.051255	0.049716	0.06011	0.009395	0.049168	0.20114	0.0	0.0	0.038733	0.070814	0.077701	0.056735	0.0	0.082717	0.0	0.0	0.119853	0.0	0.215207	0.0	0.013056	9.5E-4	0.198814	0.0	0.001246	0.064187	0.007467	0.004342	0.090073	0.17331	0.0	0.273117	0.068583	0.101543	0.002979	0.033416	0.032473	6.29E-4	0.00129	0.007026	0.036779	0.001631	0.27469	0.0	0.263958	0.008641	0.061991	0.008173	0.005066	0.007396	0.285421	0.088646	0.099199	0.0	0.077032	0.01979	0.050446	0.005539	0.395853	0.402163	0.292904	0.005233	0.0	0.175144	0.233803	0.006474	0.129124	0.02735	0.212415	0.023545	0.0	0.052525	0.039499	0.01682	0.095054	0.067411	0.060773	0.325833	0.190451	0.077039	0.352327	0.026323	0.146566	0.064532	0.165414	0.272669	0.389128	0.010636	0.160091	0.090194	0.064848	0.089681	0.0	0.0	0.001349	0.005937	0.008657	
D00110	0.499538	1.0	0.038793	0.371382	0.048932	0.019013	0.001419	0.012557	0.041674	0.030645	0.02633	0.039865	0.032644	0.004471	0.021011	0.051199	0.024862	0.027256	0.022265	0.0	0.018949	0.023997	0.025379	0.028873	0.027934	0.046049	0.118392	0.003359	0.015233	0.108042	0.011687	0.014982	0.022788	0.031108	0.008202	0.020927	0.027757	0.050091	0.041144	0.007215	0.023234	0.023511	0.035241	0.030017	0.020806	0.039059	0.014734	0.038527	0.032096	0.006747	0.019153	0.062689	0.014942	0.013472	0.014853	0.068629	0.05671	0.188997	0.014361	0.009184	0.0	0.0	0.022391	0.0	0.0	0.015716	0.179191	0.009355	0.010238	0.128956	0.025111	0.048964	0.013549	0.029938	0.019112	0.144447	7.15E-4	0.0	0.065226	0.301865	0.046246	0.047267	0.002671	0.044996	0.160025	0.007484	0.018233	0.004361	0.006035	0.027017	0.304797	0.015985	0.028	0.014584	0.078108	0.065875	0.025958	0.002561	0.017371	0.249946	0.020003	0.018571	0.062839	0.0	0.050235	0.083622	0.033609	0.026438	0.088073	0.018487	0.022416	0.013722	7.75E-4	0.091301	0.0199	0.094863	0.018686	0.076339	0.370776	0.00196	6.65E-4	0.009762	0.008458	0.013126	0.009562	0.021269	0.025972	0.021539	0.023563	0.082993	0.001767	0.319541	0.016694	0.011514	8.38E-4	0.379504	0.022059	0.01283	0.02338	0.029387	0.015748	0.171979	0.129109	0.193518	0.339253	0.038728	0.012426	0.012882	0.021393	0.019888	0.006474	0.001138	0.007856	0.022526	0.018373	0.308133	0.001924	0.342117	0.014154	0.062721	0.013387	0.025308	0.007291	0.309859	0.031322	0.161587	0.0	0.133788	0.044135	9.23E-4	0.004884	0.291129	0.295874	0.233127	0.021453	0.002721	0.237788	0.192612	0.029658	0.239979	0.008501	0.184465	0.022266	0.018782	0.063162	0.010371	0.014833	0.083677	0.120359	0.02026	0.353599	0.277453	0.102148	0.349777	0.096083	0.034402	0.054915	0.123226	0.257272	0.387849	0.00938	0.08229	0.091345	0.065611	0.139727	0.046991	0.012032	0.083327	0.005236	0.014181	
D00136	0.007133	0.038793	1.0	0.001204	0.12398	0.100269	9.08E-4	0.084934	0.294638	0.009059	0.395896	0.142547	0.17986	0.128966	0.087936	0.065102	0.089346	0.194149	0.049949	0.120694	0.039042	0.154788	0.139831	0.061723	0.081686	0.00697	0.211632	0.05279	0.105975	0.152857	0.209884	0.069689	0.066452	0.090598	0.005247	0.016162	0.013542	0.007152	0.014078	0.068866	0.023298	0.123986	0.066048	0.142005	0.003917	0.039474	0.12668	0.016909	0.041308	0.001689	0.024567	0.122813	0.0	0.01548	0.045452	0.094736	0.034648	0.015276	0.004471	0.098483	0.0	0.0	0.0	0.0	0.0	0.0	0.037913	0.026415	0.06879	0.126479	0.009083	0.27557	0.074589	0.274332	0.102983	0.095037	0.173573	0.077038	0.025803	0.083935	0.032349	0.006749	0.105918	0.015396	0.065833	0.021856	0.046864	0.035172	0.0	0.007987	0.007606	0.122922	0.137612	0.042993	0.061639	0.031355	0.055491	0.040009	0.062742	0.023767	0.020058	0.080845	0.186884	0.018473	0.046978	0.009781	0.179723	0.178954	0.142529	0.065792	0.112282	0.027493	0.122787	0.147754	0.10934	0.062648	0.012672	0.022779	0.036602	0.102537	0.082944	0.123784	0.113496	0.061055	0.128315	0.016425	0.00489	0.004055	0.084677	0.023947	0.02227	0.035348	0.081347	0.025108	5.36E-4	0.057184	0.053977	0.014101	0.008457	0.239821	0.065534	0.040265	0.026013	0.10698	3.93E-4	0.072791	0.035206	0.014802	0.037927	0.040286	0.001469	7.28E-4	0.058971	0.045629	0.049188	0.032225	0.079797	0.020524	0.098465	0.091754	0.004611	0.380526	0.065845	0.001004	0.101219	0.008802	0.0148	0.029859	0.043188	0.038496	0.080866	0.013712	0.014311	0.015395	0.058964	0.107911	0.121138	0.022044	0.029982	0.108658	0.229245	0.021272	0.063747	0.76907	0.008402	0.181633	0.116103	0.207494	0.002532	0.093731	0.001509	0.084941	0.009088	0.069078	0.024643	0.089007	0.184172	0.014548	0.024463	0.080403	0.056935	0.056508	0.230911	0.095983	6.97E-4	0.294571	0.002265	0.12194	0.08668	0.004884	
D00195	0.342093	0.371382	0.001204	1.0	6.48E-4	0.002355	0.0	0.083606	0.037521	0.046052	0.021793	0.026566	0.013036	5.95E-4	0.00176	4.8E-4	0.02107	0.020007	5.96E-4	0.0	4.06E-4	0.032325	0.010135	1.81E-4	0.001825	0.001245	0.114441	4.31E-4	0.013128	0.008447	0.017388	0.040277	6.3E-4	6.64E-4	0.012319	0.012919	1.31E-4	0.001277	3.85E-4	0.016279	0.001501	0.002913	0.001853	7.39E-4	0.003665	0.0	0.0	0.003019	0.002846	0.028164	1.59E-4	0.017669	0.0	0.0	5.29E-4	0.017034	0.001948	0.228947	0.00184	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.076018	7.67E-4	0.008547	0.001087	0.016366	0.014558	0.057592	7.37E-4	4.1E-4	0.114038	0.0	0.0	0.002296	0.27918	0.001479	0.001205	0.03229	4.21E-4	0.002816	5.69E-4	0.010529	0.02403	0.043379	0.042022	0.536576	0.015236	4.47E-4	0.0	0.008172	0.001348	0.007638	0.006146	1.44E-4	0.205295	0.001293	0.001844	1.32E-4	0.0	0.030744	0.059876	0.002172	2.14E-4	7.42E-4	0.029431	0.060047	0.02292	0.050368	7.69E-4	6.66E-4	0.091315	0.009826	0.152615	0.394386	0.00159	5.4E-4	0.036778	0.037818	0.035287	0.034409	0.013129	0.028202	0.013296	0.019969	0.06443	1.18E-4	0.489496	8.59E-4	0.008646	0.0	0.194391	0.003886	0.002067	0.015238	0.002489	0.018578	0.247479	0.128129	0.018126	0.445848	0.018495	0.030804	0.0	0.001655	5.5E-4	0.001043	0.0	0.029615	6.23E-4	0.014805	0.172093	0.026261	0.28624	0.012197	0.033775	0.011537	0.046223	0.03038	0.824921	0.032817	0.48591	0.0	0.134174	0.040356	0.018473	0.0	0.49733	0.516291	0.436286	6.79E-4	0.019666	0.172951	0.253146	0.001007	0.200671	0.013911	0.173258	0.048909	0.001152	0.001068	0.02614	0.0	0.0197	0.112325	0.010109	0.939852	0.377553	0.110578	0.316092	0.110232	0.09679	0.014661	0.122292	0.211312	0.304739	0.0	0.013989	0.162617	0.035332	0.183003	0.019704	0.00212	0.011254	0.0	0.012221	
D00219	0.045932	0.048932	0.12398	6.48E-4	1.0	0.015054	0.003908	0.004793	0.033954	0.071315	0.072642	0.001185	0.037572	0.143063	0.036697	0.04288	0.093221	0.031371	0.109335	0.083224	0.646832	0.804316	0.02921	0.140427	0.160586	0.033176	0.049485	0.005375	0.094183	0.051254	0.01056	0.090295	0.679932	0.244917	0.014686	0.00212	0.051095	0.034044	0.04771	0.096229	0.046468	0.018615	0.147958	0.078794	0.002108	0.062791	0.368488	0.300875	0.04283	9.09E-4	0.150725	0.096621	0.0	0.022333	0.034916	0.179172	0.063254	0.010837	0.115335	0.296913	0.0	0.0	0.0	0.0	0.0	0.0	0.039422	0.014214	0.003553	0.077138	0.060008	0.089235	0.005727	0.28771	0.623972	0.109825	0.07955	0.040195	0.118025	0.068007	0.04699	0.032124	0.025511	0.052177	0.071468	0.016431	0.03079	0.106094	0.0	0.013589	0.015094	0.049767	0.122317	0.068064	0.125111	0.136558	0.126249	0.046251	0.10417	0.072317	0.040005	0.018388	0.045868	0.0	0.218417	0.054756	0.1045	0.062934	0.052683	0.11894	0.241957	0.132977	0.029643	0.054614	0.131707	0.096523	0.011466	0.002909	0.028603	3.82E-4	0.006726	0.107141	0.056954	0.079107	0.064391	0.002155	0.002631	0.002182	0.08835	0.036012	0.015077	0.059175	0.124052	0.196789	0.010362	0.04093	0.002235	0.004215	0.055871	0.036509	0.134945	0.03872	0.104984	0.02908	0.015062	0.045307	0.14261	0.021355	0.075277	0.582684	0.007458	0.003133	0.072745	0.628929	0.058999	0.075319	0.017123	0.023555	0.087508	0.046356	0.043659	0.069822	0.086185	5.41E-4	0.057062	6.57E-4	0.031855	0.015413	0.013691	0.157816	0.110829	0.027211	0.04313	0.046397	0.1739	0.025991	0.010214	0.064943	0.037971	0.070303	0.070384	0.022893	0.05851	0.051564	0.035246	0.034445	0.346365	0.07463	0.020906	0.114568	0.014581	0.034822	0.041295	0.05597	0.011132	0.275686	0.048574	0.078074	0.074437	0.107823	0.135238	0.101499	0.02564	0.048492	0.005756	0.096385	0.001219	0.02515	0.180251	0.046246	
D00225	0.0	0.019013	0.100269	0.002355	0.015054	1.0	0.0	0.071077	0.035183	0.026131	0.055972	0.10573	0.092951	0.065831	0.073178	0.039408	0.025706	0.07761	0.015351	0.0	0.007728	0.064986	0.072264	0.002806	0.045655	0.005253	0.066894	0.140796	0.039525	0.056455	0.146216	0.017604	0.011979	0.00384	0.0	0.023412	0.011527	0.00811	0.003023	0.005237	0.053746	0.327805	0.014421	0.004279	0.023276	0.0	0.0	0.019174	0.084441	0.009139	0.002466	0.091528	0.0	0.0	0.005137	0.03435	0.015161	0.0	0.063243	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016168	0.009258	0.647006	0.006288	0.017298	0.01744	0.03211	0.004267	0.007795	0.041357	0.0	0.0	0.016222	0.015572	0.009953	0.007653	0.018192	0.003306	0.069015	8.88E-4	0.016532	5.83E-4	0.033922	0.023037	0.002296	0.00631	0.002586	0.020317	0.018642	0.051009	0.002522	0.039376	0.017789	0.056868	0.04627	0.207507	0.071794	0.0	0.020557	0.0	0.016901	0.071037	0.004295	0.029599	0.014258	0.035603	9.82E-4	0.004452	0.012658	0.021916	0.014883	0.014931	0.0	0.126911	8.43E-4	0.023764	0.009548	0.015423	0.010795	0.023794	0.029056	0.024096	0.024362	0.025905	0.011952	0.0	0.064782	0.0	0.0	0.016445	0.024678	0.021506	0.016106	0.122688	0.002028	0.011242	0.033686	0.131016	0.0	0.005802	0.032241	0.0	0.019735	0.010455	0.006622	0.0	0.019498	0.011842	0.006699	0.007077	0.02343	0.008981	0.036723	0.029224	0.034735	0.053799	9.74E-4	0.001965	0.008286	0.042145	0.0	0.005177	0.018501	0.0	0.0	0.004138	0.004197	0.004515	0.008421	0.018535	0.13305	0.011189	0.007837	0.013703	0.100239	0.0	0.107545	0.127351	0.006783	0.04318	0.0	0.081141	0.001254	0.010687	0.002239	0.005421	0.00427	0.012816	0.027752	0.027845	0.133277	0.032151	0.058535	0.0	0.0	0.038638	0.057367	0.030571	3.45E-4	0.031408	0.013461	0.022757	0.0	0.036793	
D00227	0.001609	0.001419	9.08E-4	0.0	0.003908	0.0	1.0	0.0	0.018505	0.001052	6.71E-4	0.0	0.0	0.001796	0.0	0.001446	0.0	0.0	0.001359	0.0	0.002452	0.003025	0.0	0.017524	0.001393	0.001272	0.02097	0.0	0.046285	7.59E-4	0.0	0.016672	0.002851	0.023475	0.001184	0.0	0.0	0.001305	0.001162	0.088909	0.034629	0.0	9.47E-4	0.001115	0.0	0.001003	0.002126	0.003086	7.27E-4	0.078133	0.015403	0.026965	0.0	0.288172	0.010658	0.002484	9.96E-4	4.21E-4	0.001881	0.001325	0.0	0.0	0.0	0.0	0.0	0.0	0.035648	0.065979	0.017708	0.001639	0.001392	0.177535	0.0	0.001112	0.002473	0.012625	3.44E-4	0.0	0.002347	6.22E-4	0.001129	0.001232	0.021441	0.001271	0.0	0.0	4.87E-4	5.63E-4	0.038708	9.27E-4	0.019614	9.25E-4	0.005432	0.017917	0.014101	0.012828	0.015755	0.001157	0.01397	0.05886	0.029812	5.32E-4	0.018282	0.0	0.00135	0.0	0.0	0.001003	0.001119	0.050991	0.001131	0.041692	0.0	0.00116	0.001004	0.005535	0.016761	0.010723	3.05E-4	0.028996	0.022362	0.0	0.0	0.014606	0.0	0.0	0.0	0.0	0.0	0.009586	0.023921	4.76E-4	0.0	0.001662	4.03E-4	6.85E-4	0.0	0.541519	0.001296	9.5E-4	0.012664	0.013134	0.039447	0.0	0.002877	0.006518	0.037756	0.343358	0.008205	0.002488	0.003763	0.743651	8.94E-4	0.002818	0.137868	0.001139	0.017581	0.179992	0.043005	0.001528	0.040676	6.45E-4	9.41E-4	0.003152	6.16E-4	0.0	0.0	0.006249	0.0	0.035267	0.019158	0.027482	0.032169	0.034606	0.001024	0.021844	0.0	0.0	0.260357	0.001477	0.011589	0.0	0.0	0.0	0.008801	5.03E-4	0.00214	0.001548	0.0	4.81E-4	0.003865	0.01439	0.028998	0.00723	0.008414	0.001112	5.62E-4	0.03765	0.060586	5.28E-4	0.001354	0.001131	0.037293	0.001599	0.004375	0.0	0.0	0.051782	7.56E-4	0.043086	
D00228	0.0	0.012557	0.084934	0.083606	0.004793	0.071077	0.0	1.0	0.047183	0.030604	0.042935	0.091839	0.075023	0.00158	0.030503	0.004657	0.078372	0.062641	0.003719	0.064971	0.001078	0.012791	0.058326	0.003151	0.036037	0.006279	0.073378	0.004189	0.009601	0.031977	0.132453	0.073814	0.01479	0.053277	0.0	0.027419	0.008835	0.009498	0.003742	0.025956	0.013581	0.188964	0.016763	0.059358	0.02726	0.0	0.0	0.022456	0.115622	0.021565	0.00277	0.067505	0.0	0.0	0.00613	0.040063	0.017623	0.0	0.013686	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.018694	0.011088	0.053663	0.00804	0.087543	0.036133	0.107724	0.005456	0.016415	0.094006	0.052793	0.0	0.01892	0.038562	0.011852	0.008963	0.03821	0.004093	0.048445	0.001509	0.021452	0.037809	0.021844	0.132417	0.024439	0.007822	0.003306	0.0	0.012471	0.04959	0.002833	3.28E-4	0.002512	0.012089	0.011692	0.119618	0.002303	0.0	0.023894	0.09318	0.019645	0.097453	0.005491	0.027579	0.03275	0.023366	0.086757	0.005692	0.001766	0.02246	0.002725	0.071769	0.011789	0.004219	0.001432	0.080198	0.039683	0.064668	0.044864	0.027867	0.094841	0.078653	0.074276	0.017966	0.002059	0.0	0.002278	0.0	0.0	0.026961	0.028903	0.01537	0.081508	0.046175	0.025397	0.017424	0.022108	0.09477	0.0	0.024114	0.02116	0.0	0.014424	0.012908	0.007756	0.0	0.044416	0.11371	0.025781	0.008288	0.030759	0.010439	0.00892	0.136449	0.008437	0.041268	0.044647	0.069755	0.034436	0.069755	0.0	0.026353	0.050406	0.012252	0.0	0.044058	0.04468	0.048065	0.010483	0.038928	0.030999	0.119857	0.009109	0.00958	0.022017	0.0	0.093469	0.067484	0.007944	0.021683	0.0	0.030128	0.018849	0.060599	0.079474	0.037405	0.049457	0.031736	0.031881	0.033042	0.034777	0.0211	0.012443	0.0	0.0	0.044073	0.009236	0.142737	0.005189	0.139849	0.015765	0.111888	0.0	0.008937	
D00234	0.037487	0.041674	0.294638	0.037521	0.033954	0.035183	0.018505	0.047183	1.0	0.038235	0.176531	0.076292	0.048149	0.030324	0.070851	0.011785	0.060588	0.050871	0.069283	0.0	0.036228	0.080068	0.037433	0.018968	0.063186	0.032173	0.064976	0.061024	0.042076	0.164529	0.045688	0.046844	0.056157	0.063736	0.014408	0.049065	0.014782	0.007894	0.00947	0.096468	0.183326	0.043505	0.011454	0.037658	0.037378	0.0	0.035922	0.037447	0.04477	0.040686	5.59E-4	0.204361	0.0	0.0	0.043069	0.030047	0.027693	0.0	0.011374	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010845	0.071624	0.026744	0.055343	0.058482	0.294193	0.118243	0.057655	0.063419	0.138289	0.015027	0.036717	0.014189	0.059766	0.022902	0.017131	0.16229	0.010357	0.100714	0.020887	0.006249	0.034134	0.031292	0.05704	0.044277	0.053811	0.034935	0.017076	0.039655	0.022657	0.017053	0.024788	0.01512	0.079542	0.157827	0.027539	0.12301	0.013705	0.049195	0.021341	0.013423	0.022414	0.037797	0.154982	0.10907	0.075715	0.144674	0.039183	0.023724	0.07466	0.061757	0.062776	0.010395	0.15942	0.246361	0.119037	0.051751	0.04104	0.048746	0.034815	0.056748	0.035257	0.057421	0.045604	0.045228	0.005292	0.038484	0.010113	0.0	0.074346	0.02402	0.035409	0.05445	0.054472	0.035283	0.011361	0.083916	0.110407	0.0	0.026201	0.080318	0.0	0.019346	0.049011	0.012934	0.014837	0.024525	0.044077	0.032271	0.020158	0.12759	0.007133	0.039094	0.079646	0.036976	0.169678	0.03514	0.031305	0.044909	0.023851	0.0	0.076038	0.161531	0.042281	0.023817	0.079823	0.08095	0.087082	0.024566	0.165344	0.03821	0.052137	0.006224	0.034216	0.028025	0.0	0.047288	0.315237	0.006602	0.053314	0.036163	0.080442	0.045774	0.049628	0.035667	0.078388	0.009694	0.049187	0.021665	0.152837	0.098303	0.080093	0.081874	0.024977	0.010639	0.040041	0.189676	0.083317	0.012602	0.083687	0.04332	0.097583	0.025529	0.039168	
D00252	0.008263	0.030645	0.009059	0.046052	0.071315	0.026131	0.001052	0.030604	0.038235	1.0	0.022623	0.051564	0.12095	0.088887	0.03241	0.032672	0.032642	0.100988	0.01719	0.0	0.077803	0.096985	0.094032	0.004588	0.06019	0.031743	0.049158	0.009959	0.066934	0.121461	0.063941	0.036515	0.082542	0.05199	0.006078	0.179957	4.79E-4	0.040986	0.026255	0.022215	0.039846	0.032312	0.051116	0.036741	0.144347	0.021103	0.071748	0.198914	0.070078	0.041234	0.004033	0.047503	0.0	0.002036	0.009714	0.554553	0.063179	6.5E-4	0.058588	0.027894	0.0	0.0	0.0	0.0	0.0	0.0	0.034129	0.017707	0.036297	0.012384	0.100055	0.034653	0.065929	0.026101	0.066721	0.050623	0.017985	0.0	0.05796	0.025182	0.05483	0.038675	0.002838	0.028714	0.061068	0.018387	0.018897	0.013213	0.036066	0.100014	0.020676	0.012458	0.004402	0.035183	0.051366	0.035615	0.017777	0.002236	0.003658	0.061291	0.034304	0.023188	0.006854	0.0	0.072864	0.0	0.036542	0.031393	0.008458	0.047695	0.008547	0.060292	0.002298	0.008768	0.007588	0.037406	0.012679	0.025456	0.001569	0.005809	0.001971	0.061136	0.087683	0.03199	0.099132	0.142314	0.223341	0.144123	0.030936	0.024263	4.33E-4	0.002443	0.015444	0.042849	6.21E-4	0.050011	0.153046	0.082201	0.093157	0.097356	0.037004	0.018288	0.057046	0.070653	4.55E-4	0.057711	0.0546	0.001947	0.044888	0.072039	0.02809	8.43E-4	0.009513	0.06374	0.006004	0.088679	0.001539	0.037952	0.062191	0.05063	0.058823	0.021745	0.007113	0.038423	0.079251	0.046735	0.0	0.028043	0.475996	0.023219	0.014836	0.037275	0.038271	0.04117	0.01405	0.002892	0.046924	0.006412	0.021176	0.092872	0.03425	0.0	0.104896	0.004206	0.037082	0.005015	0.07223	0.144864	0.026667	0.002844	0.044199	0.019696	0.023816	0.020724	0.084941	0.082635	0.10355	0.054447	0.063088	0.002714	0.045677	0.043058	0.031152	0.052963	0.007342	0.030278	0.056259	0.001328	0.035087	0.062309	
