data	D00040	D00066	D00067	D00075	D00088	D00094	D00105	D00129	D00143	D00163	D00182	D00187	D00188	D00211	D00246	D00279	D00299	D00312	D00316	D00327	D00348	D00443	D00462	D00506	D00554	D00565	D00577	D00585	D00586	D00596	D00627	D00690	D00730	D00898	D00930	D00950	D00951	D00954	D00956	D00961	D00962	D00965	D01115	D01132	D01161	D01217	D01294	D01387	D01441	D01689	D02217	D02367	D04066	D05341	
D00040	1.0	0.456854	0.172478	0.35716	0.305733	0.079317	0.225892	0.259822	0.8377	0.480563	0.311235	0.377723	0.473978	0.187129	0.269792	0.013377	0.367905	0.086011	0.0	0.336818	0.083858	0.257014	0.356154	0.0	0.209481	0.042583	0.0	0.158783	0.046332	0.0	0.0	0.231781	0.0	0.0	0.368209	0.319749	0.294356	0.319749	0.218572	0.0	0.018182	0.005201	0.260199	0.029373	0.105224	0.29792	0.254472	0.17977	0.0	0.216344	0.0	0.238006	0.121985	0.0	
D00066	0.456854	1.0	0.256213	0.571531	0.455621	0.018922	0.25333	0.17888	0.596946	0.560938	0.511517	0.205936	0.221573	0.134833	0.387612	0.019022	0.213215	0.130157	0.003729	0.502925	0.020005	0.447633	0.498178	0.021191	0.231624	0.020807	0.0	0.260696	0.005736	0.009519	0.0	0.325376	0.00905	0.0	0.163074	0.519441	0.27475	0.519441	0.37786	0.008556	0.018059	0.013278	0.452217	0.005844	0.129459	0.596694	0.356344	0.33874	0.005423	0.349447	0.024564	0.295648	0.142617	0.0	
D00067	0.172478	0.256213	1.0	0.283244	0.170919	0.004392	0.896038	0.085607	0.167616	0.207178	0.313774	0.101546	0.103976	0.132081	0.130089	0.006918	0.101062	0.449205	0.013007	0.159411	0.004644	0.157241	0.149754	0.071062	0.826865	0.010431	0.214455	0.107477	0.004626	0.054605	0.054745	0.104722	0.0073	0.188363	0.072852	0.313145	0.077214	0.313145	0.318409	0.007406	0.030087	0.033736	0.157447	0.046031	0.230468	0.143541	0.153851	0.10407	0.022378	0.122362	0.183976	0.215078	0.408956	0.0	
D00075	0.35716	0.571531	0.283244	1.0	0.601947	0.009928	0.41122	0.211262	0.36137	0.399018	0.54551	0.243479	0.262435	0.069257	0.246712	0.01352	0.252815	0.142344	0.001711	0.373258	0.010496	0.311498	0.336268	0.013173	0.282871	0.01316	0.0	0.238471	0.002631	0.004367	0.0	0.205789	0.004152	0.0	0.16625	0.551576	0.153851	0.551576	0.47029	0.003925	0.014839	0.0023	0.299355	0.002681	0.167867	0.377395	0.263396	0.222516	0.002488	0.263969	0.006986	0.324075	0.224733	0.0	
D00088	0.305733	0.455621	0.170919	0.601947	1.0	0.00702	0.186237	0.221232	0.348836	0.407753	0.436369	0.194896	0.20998	0.156248	0.345501	0.076061	0.193746	0.086784	0.002419	0.38904	0.007421	0.221426	0.31059	0.013749	0.233847	0.081886	0.0	0.220827	0.021769	0.006176	0.0	0.240722	0.005871	0.0	0.200994	0.436395	0.137346	0.436395	0.272811	0.019996	0.054629	0.003253	0.24422	0.003792	0.098908	0.286379	0.197249	0.220024	0.015437	0.255863	0.006483	0.261419	0.104344	0.0	
D00094	0.079317	0.018922	0.004392	0.009928	0.00702	1.0	0.0	0.061991	0.005963	0.056799	0.009232	0.092031	0.136989	0.144663	0.0247	0.00765	0.069172	0.011844	0.111696	0.01244	0.907391	0.010533	0.005619	0.048919	0.0	0.011535	0.051339	0.041422	0.025138	0.176544	0.019804	0.010836	0.013992	0.037306	0.10487	0.009086	0.086391	0.009086	0.006228	0.0091	0.061331	0.036874	0.010185	0.005213	0.051013	0.00895	0.015601	0.03341	0.006611	0.009092	0.016593	0.019292	0.0	0.110747	
D00105	0.225892	0.25333	0.896038	0.41122	0.186237	0.0	1.0	0.106238	0.218072	0.254914	0.3475	0.11589	0.120625	0.121633	0.118681	0.006717	0.134135	0.3988	0.012629	0.150518	0.0	0.162823	0.19359	0.023768	0.849898	0.010128	0.20822	0.081934	0.004492	0.025652	0.053154	0.101195	0.007087	0.182886	0.091376	0.350421	0.101258	0.350421	0.396367	0.00719	0.029212	0.003927	0.162409	0.044692	0.269189	0.180199	0.163941	0.094731	0.021727	0.113082	0.163012	0.232332	0.467275	0.0	
D00129	0.259822	0.17888	0.085607	0.211262	0.221232	0.061991	0.106238	1.0	0.227679	0.370226	0.184339	0.578018	0.675092	0.135282	0.138414	0.14396	0.40929	0.04269	0.045121	0.193838	0.094411	0.096294	0.132149	0.0	0.106901	0.157462	0.0	0.074009	0.020957	0.008327	0.0	0.108021	0.017786	0.037572	0.662543	0.186307	0.093846	0.186307	0.118749	0.0	0.0	0.0	0.096484	0.104684	0.128686	0.10922	0.091508	0.132979	0.0	0.145708	0.018698	0.162882	0.05737	0.119121	
D00143	0.8377	0.596946	0.167616	0.36137	0.348836	0.005963	0.218072	0.227679	1.0	0.552022	0.328038	0.214199	0.230235	0.136621	0.277181	0.003156	0.235355	0.084466	0.001372	0.35425	0.006304	0.267275	0.380356	0.00503	0.205945	0.004758	0.0	0.133174	0.002111	0.003503	0.0	0.237303	0.00333	0.0	0.333455	0.334635	0.241973	0.334635	0.230973	0.003148	0.005133	0.007927	0.304821	0.00215	0.10164	0.382355	0.2371	0.236106	0.001996	0.232669	0.00175	0.205355	0.119902	0.0	
D00163	0.480563	0.560938	0.207178	0.399018	0.407753	0.056799	0.254914	0.370226	0.552022	1.0	0.386639	0.237899	0.254748	0.176189	0.371665	0.0	0.255788	0.142246	0.0	0.442355	0.060051	0.267665	0.387011	0.0	0.247113	0.0	0.0	0.150558	0.0	0.050043	0.047861	0.306076	0.0	0.0	0.328041	0.390629	0.30415	0.390629	0.261369	0.045596	0.159494	0.005215	0.328062	0.020312	0.142721	0.352482	0.271579	0.297313	0.01159	0.305658	0.0	0.249903	0.137657	0.086772	
