data	D00049	D00059	D00079	D00094	D00095	D00106	D00110	D00113	D00136	D00139	D00180	D00225	D00227	D00232	D00234	D00235	D00241	D00255	D00270	D00274	D00281	D00283	D00295	D00300	D00301	D00306	D00318	D00332	D00336	D00356	D00364	D00371	D00380	D00394	D00397	D00400	D00410	D00411	D00415	D00419	D00422	D00426	D00432	D00437	D00440	D00442	D00443	D00451	D00454	D00465	D00480	D00483	D00493	D00494	D00498	D00499	D00503	D00509	D00513	D00514	D00520	D00521	D00522	D00523	D00524	D00525	D00528	D00540	D00542	D00559	D00560	D00563	D00574	D00598	D00601	D00604	D00606	D00607	D00609	D00613	D00627	D00632	D00635	D00645	D00646	D00665	D00666	D00673	D00674	D00675	D00676	D00682	D00683	D00684	D00687	D00688	D00715	D00726	D00760	D00765	D00769	D00775	D00779	D00780	D00790	D00837	D00838	D00845	D00954	D00965	D00987	D00996	D01020	D01022	D01024	D01051	D01071	D01103	D01118	D01126	D01164	D01227	D01236	D01242	D01269	D01295	D01297	D01324	D01332	D01346	D01352	D01358	D01386	D01390	D01441	D01454	D01462	D01603	D01652	D01692	D01699	D01712	D01713	D01717	D01745	D01782	D01828	D01871	D01891	D01925	D01964	D01965	D01973	D01994	D02007	D02066	D02070	D02076	D02082	D02147	D02149	D02150	D02234	D02237	D02250	D02278	D02279	D02327	D02338	D02340	D02342	D02349	D02354	D02356	D02357	D02358	D02359	D02361	D02374	D02566	D02578	D02588	D02614	D02671	D02721	D02725	D02826	D02884	D02910	D03165	D03187	D03210	D03274	D03365	D03415	D03442	D03490	D03503	D03621	D03642	D03654	D03858	D03879	D03880	D03881	D03966	D04006	D04034	D04040	D04375	D04625	D04716	D04979	D05113	D05129	D05246	D05312	D05341	D05740	D05792	D05938	D06056	D06396	
D00049	1.0	0.162459	0.065407	0.0	0.266501	0.0	0.417855	0.274774	0.426401	0.236525	0.059131	0.193122	0.059418	0.075378	0.224387	0.174078	0.3371	0.199778	0.206835	0.341121	0.142134	0.141264	0.0	0.232621	0.369787	0.083624	0.094176	0.0	0.325128	0.128332	0.454545	0.062869	0.465379	0.17592	0.419891	0.221013	0.793091	0.461593	0.244558	0.120605	0.097823	0.174078	0.079872	0.270232	0.0	0.311816	0.142575	0.251259	0.103418	0.282529	0.17592	0.195646	0.190693	0.179787	0.083624	0.206835	0.181818	0.301511	0.113961	0.174078	0.213201	0.251478	0.284268	0.222681	0.0	0.0	0.247841	0.26388	0.0	0.0	0.322045	0.407718	0.413919	0.108306	0.096561	0.13484	0.118262	0.028748	0.410305	0.12792	0.176547	0.199681	0.188776	0.209061	0.17592	0.391675	0.306336	0.095346	0.2299	0.4222	0.319489	0.0	0.28233	0.441367	0.365509	0.210616	0.240523	0.341882	0.110211	0.036699	0.292685	0.128565	0.13794	0.151923	0.198273	0.114473	0.082832	0.286039	0.058026	0.304636	0.195077	0.258544	0.123091	0.052486	0.207079	0.383761	0.195646	0.240523	0.172292	0.0	0.266733	0.352892	0.470898	0.174078	0.231666	0.220043	0.447214	0.170561	0.314027	0.610683	0.0	0.215365	0.220193	0.258544	0.377217	0.111979	0.226278	0.136488	0.25332	0.222277	0.287641	0.04828	0.179787	0.255681	0.186989	0.241402	0.337963	0.16888	0.152286	0.174889	0.125196	0.196267	0.356313	0.246183	0.178796	0.270801	0.254084	0.074796	0.16855	0.275241	0.162564	0.244558	0.164887	0.026444	0.296369	0.0	0.0	0.376309	0.193122	0.193122	0.1066	0.3505	0.222277	0.186989	0.181489	0.123091	0.226134	0.444554	0.095346	0.217597	0.398862	0.123738	0.272727	0.181818	0.0	0.167968	0.097823	0.051709	0.331326	0.135978	0.112956	0.36626	0.543746	0.365636	0.186097	0.279094	0.1066	0.0	0.224733	0.50664	0.290929	0.213201	0.203279	0.076832	0.153069	0.0	0.054153	0.427141	0.150756	0.0	0.251259	0.17525	0.177822	0.133185	0.19146	0.153168	0.136558	0.0	0.127412	0.121967	0.26968	0.100504	0.159901	
D00059	0.162459	1.0	0.155847	0.07075	0.603251	0.136998	0.24891	0.257209	0.2032	0.140894	0.140894	0.08628	0.0	0.179605	0.200496	0.13826	0.281127	0.138839	0.15401	0.1524	0.127	0.084149	0.0	0.110855	0.220276	0.273975	0.02805	0.127	0.135571	0.275202	0.162459	0.0	0.123208	0.130991	0.250122	0.351076	0.147635	0.164978	0.116543	0.071842	0.116543	0.051848	0.261682	0.045992	0.029136	0.157882	0.141549	0.089803	0.061604	0.112199	0.104793	0.145679	0.14199	0.107096	0.224161	0.0	0.135383	0.359211	0.101827	0.13826	0.084667	0.262152	0.275167	0.154755	0.0	0.271538	0.029527	0.104793	0.0	0.034565	0.234468	0.151794	0.140894	0.129032	0.359498	0.120483	0.035223	0.017125	0.146647	0.4318	0.192805	0.594733	0.240966	0.199254	0.104793	0.20739	0.250909	0.113592	0.082169	0.176048	0.142736	0.138905	0.443382	0.315498	0.200979	0.460022	0.10234	0.067884	0.123096	0.087443	0.174347	0.153168	0.054779	0.193924	0.147635	0.306853	0.493414	0.265049	0.155543	0.155543	0.251775	0.585239	0.293294	0.250122	0.271378	0.2032	0.0	0.081872	0.102632	0.366618	0.158888	0.16817	0.162398	0.082956	0.216857	0.131076	0.096872	0.1016	0.163678	0.325482	0.14232	0.12829	0.393496	0.585239	0.299602	0.200111	0.26958	0.113825	0.075449	0.052963	0.228457	0.0	0.13387	0.228457	0.089109	0.230079	0.258839	0.100599	0.254	0.190994	0.298308	0.257209	0.235833	0.274963	0.319518	0.571924	0.324329	0.289605	0.381529	0.459078	0.619755	0.553581	0.122776	0.015752	0.203024	0.26233	0.211667	0.174347	0.201319	0.143799	0.127	0.187908	0.105925	0.200496	0.259463	0.219971	0.493915	0.132407	0.113592	0.103695	0.203653	0.202698	0.406148	0.135383	0.139558	0.233463	0.087407	0.0	0.123353	0.188999	0.084108	0.119005	0.289805	0.087121	0.166282	0.350317	0.15875	0.0	0.13387	0.201198	0.231069	0.1016	0.605449	0.448523	0.692974	0.397505	0.0	0.359211	0.404112	0.0	0.598684	0.146151	0.105925	0.178507	0.250909	0.228099	0.183027	0.040848	0.136615	0.169526	0.160644	0.119737	0.03175	
D00079	0.065407	0.155847	1.0	0.185148	0.249264	0.82734	0.423625	0.367145	0.107375	0.021272	0.904051	0.0	0.021375	0.393186	0.013453	0.062622	0.097014	0.035934	0.0	0.030679	0.0	0.0	0.0	0.0	0.217043	0.360994	0.033879	0.28122	0.140353	0.563224	0.049055	0.022617	0.130211	0.0	0.037763	0.251772	0.035663	0.099632	0.211145	0.74841	0.0	0.078278	0.359164	0.05555	0.0	0.112172	0.427413	0.036155	0.0	0.152455	0.0	0.052786	0.0	0.0	0.330911	0.148813	0.0	0.03099	0.061494	0.187867	0.012783	0.056541	0.038348	0.146863	0.0	0.368964	0.035663	0.110749	0.0	0.187867	0.012872	0.0	0.085087	0.058443	0.260525	0.0	0.042544	0.144785	0.02952	0.030679	0.031755	0.0	0.13582	0.030083	0.158213	0.187867	0.261727	0.0	0.049622	0.030376	0.143666	0.838858	0.055399	0.084681	0.161831	0.050511	0.407905	0.040996	0.039647	0.594089	0.180497	0.0	0.099245	0.335722	0.053495	0.442688	0.327775	0.194365	0.469668	0.031311	0.350883	0.241821	0.044281	0.0	0.148988	0.046018	0.175954	0.185411	0.0	0.177123	0.111946	0.02539	0.035663	0.012524	0.273829	0.033925	0.073127	0.0	0.183573	0.069375	0.878584	0.0	0.356453	0.037203	0.045233	0.060424	0.302346	0.01964	0.060753	0.031985	0.091978	0.017368	0.0	0.275935	0.04036	0.069473	0.069473	0.060753	0.536875	0.335543	0.567475	0.127089	0.156664	0.166053	0.506519	0.053137	0.352557	0.322883	0.157648	0.039606	0.432756	0.22874	0.014829	0.247339	0.149262	0.415862	0.434613	0.120331	0.173683	0.0	0.057522	0.075653	0.0	0.053814	0.365615	0.066421	0.298279	0.063969	0.05145	0.062622	0.0	0.434004	0.212573	0.09811	0.800666	0.553891	0.175954	0.018602	0.074494	0.334263	0.792379	0.035934	0.04118	0.289374	0.055788	0.43029	0.057522	0.0	0.0	0.060753	0.09303	0.092036	0.0	0.547262	0.264311	0.409508	0.038962	0.018078	0.14914	0.0	0.036155	0.264785	0.015992	0.311427	0.096426	0.041325	0.319313	0.3618	0.018334	0.204756	0.064676	0.108465	0.095871	
D00094	0.0	0.07075	0.185148	1.0	0.0	0.162755	0.0	0.0	0.037139	0.0	0.141632	0.0	0.0	0.065653	0.0	0.05054	0.088083	0.0145	0.090075	0.037139	0.0	0.0	0.0	0.060783	0.016952	0.145671	0.041013	0.278543	0.042477	0.078243	0.0	0.0	0.022519	0.057459	0.0	0.144375	0.021587	0.026803	0.063902	0.118176	0.106504	0.018952	0.034784	0.134497	0.106504	0.020369	0.031045	0.065653	0.0	0.102533	0.038306	0.042601	0.0	0.039148	0.145671	0.112594	0.0	0.018758	0.049629	0.0	0.046424	0.054759	0.046424	0.096976	0.083984	0.0	0.0	0.153224	0.0	0.0	0.0	0.0	0.077254	0.047167	0.168207	0.0	0.0	0.112676	0.0	0.01857	0.038443	0.0	0.164422	0.054627	0.076612	0.284287	0.133407	0.103807	0.060072	0.05516	0.121744	0.16502	0.055888	0.064071	0.061222	0.050957	0.014964	0.024815	0.059995	0.039955	0.018209	0.0	0.060072	0.075613	0.086347	0.099704	0.036073	0.124568	0.02527	0.056857	0.042477	0.0	0.053606	0.068573	0.054109	0.074278	0.106504	0.029928	0.056274	0.080408	0.01936	0.061473	0.0	0.030324	0.072064	0.054759	0.0	0.01857	0.119662	0.0	0.150292	0.0	0.0	0.045038	0.01369	0.121915	0.16893	0.011888	0.0	0.07744	0.0	0.0	0.0	0.041755	0.0	0.105129	0.084103	0.018387	0.053056	0.0	0.09814	0.0	0.0	0.09381	0.058398	0.053606	0.031615	0.097719	0.161486	0.047946	0.084955	0.021301	0.0	0.12668	0.05808	0.167812	0.123797	0.145671	0.147181	0.0	0.139272	0.137377	0.05808	0.146579	0.015807	0.134014	0.0	0.07744	0.062284	0.037905	0.024815	0.0	0.0	0.059386	0.165797	0.109723	0.0	0.022519	0.036073	0.069087	0.135278	0.087002	0.049852	0.0	0.040522	0.030386	0.046424	0.0	0.0	0.0	0.0	0.055709	0.0	0.020076	0.079993	0.102568	0.0	0.043769	0.164133	0.0	0.109422	0.061056	0.0	0.0	0.100056	0.066704	0.044603	0.159269	0.077682	0.088527	0.039148	0.043769	0.046424	
D00095	0.266501	0.603251	0.249264	0.0	1.0	0.286535	0.200446	0.230144	0.25	0.138675	0.225347	0.113228	0.0	0.110485	0.175412	0.102062	0.237171	0.11713	0.151585	0.175	0.125	0.082824	0.0	0.136386	0.205396	0.294174	0.0	0.0	0.114374	0.240772	0.13325	0.0	0.181902	0.103142	0.184637	0.12958	0.232495	0.180422	0.172062	0.123744	0.086031	0.076547	0.210732	0.045268	0.0	0.054845	0.111456	0.088388	0.060634	0.082824	0.103142	0.114708	0.139754	0.105409	0.343203	0.0	0.13325	0.378807	0.066815	0.272166	0.104167	0.165872	0.208333	0.108799	0.0	0.133631	0.058124	0.077357	0.0	0.068041	0.230775	0.149404	0.208013	0.09525	0.198148	0.118585	0.0	0.0	0.19245	0.4	0.120761	0.632195	0.126491	0.122573	0.206284	0.153093	0.157155	0.083853	0.080875	0.19803	0.070244	0.239255	0.541736	0.20702	0.164845	0.576262	0.261892	0.133631	0.096926	0.258199	0.098058	0.150756	0.080875	0.076348	0.14531	0.268462	0.291386	0.074536	0.153093	0.153093	0.114374	0.970143	0.144338	0.21541	0.218539	0.2	0.0	0.141019	0.101015	0.036084	0.130322	0.165521	0.232495	0.08165	0.116423	0.129012	0.095346	0.1	0.069043	0.376889	0.295722	0.126269	0.451848	0.727607	0.165872	0.131306	0.056857	0.064018	0.099015	0.078193	0.131168	0.0	0.105409	0.262336	0.087706	0.141535	0.169842	0.099015	0.214286	0.136717	0.234888	0.230144	0.208907	0.072169	0.117932	0.69282	0.276658	0.131559	0.098821	0.580948	0.724368	0.888986	0.096674	0.0	0.052129	0.129099	0.166667	0.122573	0.113228	0.141535	0.09375	0.226049	0.130322	0.197338	0.170251	0.144338	0.729204	0.208514	0.083853	0.127578	0.267261	0.199506	0.692902	0.13325	0.274721	0.19696	0.200739	0.0	0.169975	0.079724	0.19868	0.175695	0.369136	0.214373	0.109109	0.163634	0.125	0.0	0.131762	0.222783	0.132667	0.125	0.643587	0.504525	0.592315	0.092057	0.0	0.42721	0.110485	0.0	0.707107	0.287698	0.104257	0.175695	0.089803	0.112253	0.180144	0.0	0.089642	0.07151	0.105409	0.117851	0.03125	
D00106	0.0	0.136998	0.82734	0.162755	0.286535	1.0	0.348362	0.372391	0.053936	0.0	0.794705	0.0	0.0	0.393303	0.011826	0.055048	0.08528	0.031588	0.0	0.0	0.0	0.0	0.0	0.0	0.196946	0.37022	0.014891	0.224733	0.061689	0.511334	0.028748	0.0	0.049055	0.0	0.0	0.174726	0.0	0.029194	0.232008	0.581612	0.030934	0.055048	0.315723	0.0	0.030934	0.029581	0.368203	0.0	0.0	0.104234	0.0	0.046402	0.0	0.0	0.383442	0.065407	0.0	0.013621	0.054056	0.238542	0.0	0.039762	0.03371	0.105627	0.0	0.414431	0.0	0.069538	0.0	0.201843	0.011316	0.0	0.018699	0.051374	0.244282	0.0	0.0	0.118182	0.0	0.013484	0.027915	0.0	0.093808	0.013222	0.194708	0.110096	0.217962	0.030151	0.0	0.0	0.063145	0.783485	0.040582	0.027915	0.124475	0.037002	0.402031	0.0	0.008713	0.64989	0.079333	0.0	0.087241	0.240211	0.015675	0.488693	0.340517	0.100504	0.513783	0.0	0.287881	0.27798	0.038925	0.0	0.144065	0.0	0.092803	0.162986	0.0	0.1557	0.056232	0.0	0.0	0.0	0.240709	0.019881	0.0	0.0	0.111717	0.0	0.831082	0.0	0.330748	0.032703	0.009941	0.053116	0.194222	0.008632	0.013351	0.0	0.06064	0.0	0.0	0.313307	0.0	0.06107	0.045803	0.053405	0.462308	0.331829	0.506757	0.161369	0.137715	0.087581	0.346309	0.038925	0.34435	0.307482	0.11726	0.034816	0.442102	0.262942	0.026071	0.209061	0.065604	0.435194	0.47194	0.066111	0.106873	0.0	0.050565	0.022168	0.0	0.047305	0.298437	0.058387	0.321794	0.014058	0.045227	0.055048	0.0	0.469551	0.244358	0.086244	0.889041	0.433781	0.216541	0.0	0.03929	0.243667	0.63403	0.0	0.0	0.369998	0.049041	0.286837	0.050565	0.0	0.0	0.0	0.061333	0.080904	0.0	0.500507	0.251705	0.459282	0.0	0.0	0.119183	0.0	0.031782	0.343597	0.014058	0.336935	0.072654	0.036327	0.345467	0.31804	0.008058	0.179991	0.014213	0.095346	0.050565	
D00110	0.417855	0.24891	0.423625	0.0	0.200446	0.348362	1.0	0.705297	0.231626	0.14825	0.395333	0.221917	0.049656	0.488204	0.20315	0.072739	0.140859	0.264348	0.194461	0.195992	0.118783	0.19676	0.0	0.330487	0.626203	0.331957	0.059028	0.0	0.230956	0.62204	0.246915	0.052541	0.280888	0.257282	0.328976	0.354014	0.248548	0.347183	0.30657	0.390563	0.040876	0.127294	0.367126	0.29036	0.0	0.332249	0.546109	0.167984	0.172854	0.295141	0.257282	0.245256	0.179284	0.262937	0.279543	0.172854	0.170941	0.233978	0.142857	0.218218	0.282109	0.275839	0.237566	0.232621	0.026861	0.404762	0.124274	0.257282	0.0	0.145479	0.239233	0.212959	0.222375	0.045256	0.14122	0.112687	0.172958	0.024025	0.240027	0.089087	0.209018	0.116813	0.112687	0.209657	0.294036	0.254588	0.480015	0.039841	0.153704	0.317554	0.233626	0.328853	0.128698	0.295084	0.328957	0.097786	0.516877	0.190476	0.086348	0.483046	0.4892	0.053722	0.153704	0.525992	0.186411	0.34679	0.415339	0.265606	0.569791	0.163663	0.557012	0.194461	0.051434	0.021932	0.259587	0.320713	0.163504	0.3733	0.251976	0.231455	0.204335	0.250679	0.414247	0.232766	0.497844	0.367785	0.2888	0.267261	0.311643	0.456633	0.332779	0.269975	0.483046	0.108034	0.170757	0.046791	0.445742	0.182503	0.246986	0.130032	0.440706	0.040349	0.262937	0.507479	0.20315	0.14122	0.181568	0.264628	0.585429	0.389752	0.523137	0.246034	0.463206	0.180021	0.550993	0.123443	0.652189	0.171896	0.098601	0.115011	0.258127	0.183942	0.258371	0.0221	0.315791	0.115011	0.148478	0.349428	0.121046	0.201743	0.066815	0.234333	0.204335	0.078135	0.561186	0.051434	0.236228	0.334367	0.039841	0.272772	0.238095	0.426562	0.208928	0.170941	0.354874	0.538095	0.286132	0.043214	0.259587	0.530312	0.412996	0.222609	0.406581	0.244453	0.246245	0.608096	0.044544	0.0	0.31928	0.317554	0.445742	0.285079	0.118918	0.423783	0.217467	0.393654	0.067884	0.325469	0.078743	0.082479	0.10499	0.380791	0.260063	0.403479	0.096003	0.160005	0.39943	0.0	0.063888	0.152894	0.262937	0.041996	0.111359	
D00113	0.274774	0.257209	0.367145	0.0	0.230144	0.372391	0.705297	1.0	0.165703	0.127661	0.344684	0.208469	0.025656	0.602124	0.177627	0.05011	0.116445	0.273162	0.200945	0.12888	0.122743	0.182989	0.0	0.301329	0.731118	0.397187	0.020332	0.030686	0.140386	0.631698	0.137387	0.027146	0.178618	0.26586	0.407934	0.302197	0.192626	0.265747	0.274553	0.299434	0.042239	0.075165	0.379367	0.250035	0.0	0.289472	0.523277	0.151887	0.15629	0.264317	0.26586	0.253433	0.185262	0.271704	0.288863	0.089309	0.17664	0.167386	0.14762	0.250549	0.245487	0.244316	0.214801	0.176277	0.0	0.393654	0.064209	0.32283	0.0	0.175384	0.216308	0.242065	0.153193	0.046765	0.177199	0.116445	0.153193	0.037239	0.159448	0.055234	0.203282	0.08622	0.093156	0.18054	0.34182	0.187912	0.446418	0.041169	0.138975	0.255221	0.189683	0.364989	0.166236	0.177872	0.303504	0.090942	0.519274	0.123017	0.053536	0.499152	0.361079	0.055513	0.158829	0.477931	0.192626	0.432494	0.447071	0.233293	0.588789	0.112747	0.505391	0.223272	0.106299	0.045326	0.25036	0.257761	0.168955	0.37091	0.278976	0.212598	0.172758	0.213324	0.342447	0.225494	0.471573	0.298609	0.228211	0.257761	0.237288	0.346955	0.3668	0.297575	0.475383	0.111636	0.122158	0.048351	0.404774	0.176801	0.200531	0.115172	0.4554	0.020847	0.271704	0.5244	0.193775	0.125081	0.145928	0.255221	0.526043	0.390161	0.508145	0.288136	0.444461	0.146161	0.453561	0.116929	0.814991	0.226071	0.072778	0.166384	0.322889	0.211194	0.249187	0.011418	0.275133	0.142615	0.184115	0.288863	0.104235	0.187622	0.046029	0.242146	0.211148	0.08074	0.548552	0.053149	0.227831	0.28793	0.020585	0.281867	0.221431	0.454141	0.215894	0.17664	0.366707	0.483509	0.337911	0.022327	0.214594	0.48928	0.317026	0.129393	0.333639	0.284179	0.254455	0.451911	0.046029	0.0	0.291111	0.218761	0.460605	0.276172	0.087773	0.364927	0.237936	0.423729	0.023383	0.282076	0.065094	0.085229	0.108491	0.454025	0.268734	0.445686	0.132272	0.16534	0.456971	0.0	0.055015	0.175547	0.213482	0.043396	0.069043	
D00136	0.426401	0.2032	0.107375	0.037139	0.25	0.053936	0.231626	0.165703	1.0	0.249615	0.138675	0.317038	0.027869	0.088388	0.491152	0.244949	0.505964	0.187409	0.412311	0.62	0.3	0.309208	0.0	0.283683	0.410792	0.098058	0.044173	0.133333	0.411746	0.072232	0.426401	0.029488	0.412311	0.185656	0.369274	0.293715	0.395242	0.418579	0.252357	0.19799	0.160591	0.285774	0.074927	0.144857	0.022942	0.234007	0.111456	0.259272	0.242536	0.353381	0.165027	0.183533	0.491935	0.168655	0.156893	0.194029	0.469042	0.383858	0.106904	0.244949	0.25	0.353861	0.316667	0.348155	0.0	0.0	0.092998	0.26817	0.0	0.0	0.520292	0.286855	0.526965	0.254	0.181164	0.284605	0.138675	0.20226	0.3849	0.26	0.20702	0.299707	0.240333	0.235339	0.226913	0.489898	0.395132	0.156525	0.301932	0.376256	0.262244	0.054687	0.25281	0.455443	0.316503	0.142694	0.145048	0.427618	0.07754	0.05164	0.215728	0.27136	0.258799	0.142516	0.395242	0.174501	0.194257	0.327957	0.054433	0.285774	0.198248	0.242536	0.202073	0.049237	0.213683	0.42	0.137649	0.27398	0.222234	0.028868	0.521286	0.297938	0.453366	0.163299	0.186276	0.309628	0.343247	0.18	0.220938	0.54272	0.049806	0.242437	0.180739	0.242536	0.427582	0.236352	0.242591	0.115233	0.297044	0.166812	0.329794	0.022646	0.168655	0.389756	0.280659	0.317038	0.271746	0.19803	0.114286	0.08203	0.1057	0.257761	0.352821	0.389711	0.104828	0.242487	0.153226	0.0	0.221359	0.258199	0.152499	0.229416	0.193347	0.111631	0.222415	0.02582	0.033333	0.313786	0.271746	0.452911	0.2	0.213719	0.375326	0.368364	0.221327	0.23094	0.353553	0.396177	0.067082	0.265361	0.400892	0.058038	0.447722	0.255841	0.041208	0.131306	0.091766	0.024254	0.310811	0.138188	0.211925	0.437287	0.550348	0.137199	0.174574	0.210386	0.25	0.0	0.33731	0.594089	0.333563	0.32	0.305108	0.11532	0.229747	0.018411	0.0254	0.5539	0.22981	0.092582	0.259272	0.197279	0.187663	0.140556	0.125724	0.197566	0.096077	0.150096	0.227093	0.190693	0.421637	0.235702	0.25	
D00139	0.236525	0.140894	0.021272	0.0	0.138675	0.0	0.14825	0.127661	0.249615	1.0	0.019231	0.219826	0.077296	0.024515	0.340553	0.226455	0.175412	0.411491	0.269069	0.249615	0.1849	0.214397	0.0	0.242091	0.240526	0.108786	0.030628	0.0	0.296068	0.083473	0.236525	0.081786	0.235435	0.228852	0.238976	0.215635	0.225689	0.340272	0.159071	0.039223	0.127257	0.141535	0.155857	0.150661	0.0	0.192678	0.046368	0.228802	0.134535	0.153141	0.228852	0.381771	0.248069	0.233882	0.108786	0.067267	0.236525	0.252149	0.259437	0.15097	0.231125	0.245358	0.300463	0.217262	0.0	0.0	0.128965	0.143032	0.0	0.0	0.279296	0.232048	0.192308	0.211341	0.125615	0.175412	0.076923	0.018699	0.320256	0.16641	0.229668	0.20781	0.15787	0.244768	0.200245	0.226455	0.224161	0.124035	0.209352	0.247156	0.20781	0.0	0.150251	0.306224	0.384046	0.076108	0.111748	0.111187	0.089608	0.011935	0.190375	0.167248	0.11963	0.098817	0.25793	0.111687	0.107754	0.186052	0.018871	0.141535	0.19033	0.134535	0.240192	0.068279	0.296325	0.249615	0.063628	0.201146	0.224133	0.0	0.346989	0.298398	0.290172	0.226455	0.193739	0.245358	0.237999	0.22188	0.204257	0.313591	0.0	0.224133	0.143223	0.134535	0.286251	0.145671	0.126155	0.1598	0.192232	0.260242	0.291036	0.062807	0.233882	0.166306	0.267577	0.219826	0.314037	0.219694	0.138675	0.056878	0.114006	0.229789	0.257513	0.20016	0.058148	0.144115	0.118048	0.024325	0.175412	0.143223	0.084591	0.127257	0.2145	0.017201	0.183133	0.0	0.0	0.217571	0.157019	0.282633	0.208013	0.136788	0.260242	0.243252	0.118048	0.160128	0.196116	0.289157	0.124035	0.226455	0.481812	0.040242	0.295656	0.236525	0.0	0.16388	0.127257	0.067267	0.296325	0.088446	0.036736	0.129944	0.335061	0.142695	0.383311	0.149118	0.208013	0.0	0.233882	0.302079	0.294362	0.22188	0.211554	0.07996	0.159301	0.0	0.070447	0.343203	0.171602	0.042796	0.130744	0.182384	0.231326	0.173259	0.298881	0.199254	0.199852	0.0	0.149174	0.18511	0.233882	0.130744	0.173344	
