data	D00035	D00110	D00136	D00195	D00219	D00225	D00227	D00228	D00234	D00252	D00274	D00283	D00293	D00294	D00303	D00319	D00326	D00329	D00331	D00332	D00335	D00336	D00338	D00340	D00345	D00349	D00351	D00354	D00358	D00364	D00367	D00373	D00379	D00380	D00392	D00394	D00418	D00437	D00438	D00451	D00456	D00464	D00474	D00477	D00480	D00495	D00499	D00504	D00512	D00513	D00519	D00521	D00524	D00528	D00530	D00533	D00536	D00537	D00538	D00539	D00542	D00543	D00544	D00545	D00546	D00547	D00548	D00549	D00550	D00552	D00553	D00560	D00563	D00574	D00593	D00594	D00607	D00611	D00615	D00616	D00617	D00618	D00619	D00629	D00631	D00633	D00636	D00638	D00639	D00640	D00642	D00647	D00648	D00649	D00650	D00651	D00654	D00656	D00658	D00677	D00678	D00694	D00697	D00704	D00708	D00709	D00711	D00726	D00732	D00733	D00735	D00738	D00739	D00740	D00741	D00759	D00760	D00761	D00765	D00771	D00775	D00779	D00791	D00798	D00799	D00809	D00812	D00816	D00823	D00831	D00960	D00963	D00964	D01071	D01108	D01111	D01118	D01242	D01243	D01253	D01256	D01275	D01287	D01295	D01350	D01448	D01450	D01453	D01575	D01599	D01603	D01712	D01768	D01799	D01828	D01854	D01969	D02041	D02086	D02087	D02088	D02092	D02098	D02101	D02163	D02173	D02204	D02207	D02234	D02237	D02253	D02261	D02262	D02272	D02347	D02356	D02360	D02362	D02409	D02461	D02485	D02546	D02566	D02630	D02914	D03037	D03180	D03274	D03365	D03450	D03580	D03742	D03826	D03830	D03878	D03991	D04034	D04048	D04370	D04790	D04985	D04999	D05024	D05077	D05156	D05453	D05458	D05461	D06106	D06172	
D00035	1.0	0.61807	0.07303	0.445477	0.239395	0.0	0.050882	0.0	0.064051	0.07875	0.07303	0.0	0.0	0.101274	0.0	0.182574	0.0	0.038925	0.080648	0.0	0.202073	0.194896	0.0	0.125656	0.111803	0.169516	0.204647	0.0	0.107676	0.1557	0.0	0.119523	0.188311	0.221404	0.125245	0.0	0.048795	0.165295	0.152145	0.086066	0.0	0.0	0.10328	0.10328	0.0	0.182574	0.177123	0.202548	0.074536	0.0	0.127343	0.080757	0.0	0.084895	0.0	0.146059	0.101274	0.336067	0.10328	0.133333	0.0	0.0	0.0	0.0	0.0	0.0	0.136931	0.0	0.0	0.193649	0.165145	0.091928	0.043644	0.101274	0.191583	0.19518	0.024618	0.04969	0.184466	0.426006	0.138409	0.154303	0.0	0.163956	0.032791	0.0	0.069631	0.166667	0.0	0.108465	0.432433	0.056344	0.111237	0.091287	0.1	0.105409	0.11547	0.07875	0.118125	0.421637	0.0	0.070933	0.19245	0.0	0.158114	0.056344	0.0	0.09759	0.151911	0.084895	0.174574	0.146385	0.101274	0.154919	0.149071	0.189889	0.058987	0.096225	0.282843	0.0	0.0	0.07875	0.104447	0.116775	0.07231	0.0	0.07875	0.0	0.0	0.186501	0.0	0.399186	0.0	0.167542	0.027842	0.297531	0.0	0.029814	0.158114	0.083771	0.10351	0.198853	0.305505	0.0	0.343929	0.194314	0.212238	0.08269	0.043183	0.190347	0.023376	0.041345	0.094281	0.206725	0.041345	0.382518	0.0	0.451848	0.10328	0.201688	0.110096	0.071611	0.095893	0.420543	0.186501	0.172516	0.0	0.122094	0.0353	0.113228	0.091287	0.500216	0.516609	0.381746	0.104447	0.0	0.223607	0.322252	0.123443	0.324493	0.032275	0.316228	0.037268	0.0	0.232397	0.126176	0.179787	0.17155	0.125245	0.1557	0.446599	0.263635	0.201843	0.416622	0.09325	0.23355	0.107583	0.309965	0.429669	0.451413	0.1575	0.309839	0.203348	0.205196	0.14792	0.0	0.0	0.038633	0.09759	0.11547	
D00110	0.61807	1.0	0.231626	0.52984	0.300376	0.221917	0.049656	0.224818	0.20315	0.345834	0.195992	0.19676	0.255551	0.14825	0.224975	0.267261	0.227836	0.227921	0.216436	0.0	0.211289	0.230956	0.230556	0.224818	0.327327	0.264689	0.313838	0.102869	0.183892	0.246915	0.20998	0.213844	0.20215	0.280888	0.122226	0.257282	0.047619	0.29036	0.222718	0.167984	0.222718	0.234255	0.352767	0.226779	0.257282	0.178174	0.172854	0.370625	0.363696	0.142857	0.207123	0.275839	0.026861	0.124274	0.161394	0.445435	0.370625	0.382629	0.277174	0.13012	0.0	0.0	0.037987	0.0	0.0	0.023395	0.512251	0.134304	0.199205	0.377964	0.295468	0.239233	0.212959	0.222375	0.200321	0.365079	0.024025	0.0	0.411476	0.519675	0.297162	0.271052	0.07696	0.240008	0.32001	0.084515	0.254824	0.09759	0.089087	0.317554	0.454474	0.151211	0.155081	0.133631	0.3253	0.325752	0.206593	0.096065	0.19213	0.565779	0.20438	0.259587	0.31928	0.0	0.360041	0.137464	0.247083	0.190476	0.2965	0.26926	0.149071	0.166667	0.049417	0.302372	0.169725	0.376802	0.086348	0.197203	0.483046	0.067344	0.053722	0.153704	0.152894	0.208928	0.158777	0.257282	0.268982	0.265908	0.221917	0.212341	0.038426	0.50087	0.10799	0.163504	0.027171	0.580721	0.251976	0.232766	0.282889	0.286132	0.168359	0.432226	0.298142	0.367785	0.465889	0.248891	0.144986	0.121046	0.189642	0.204335	0.182503	0.040349	0.138013	0.221917	0.181568	0.545592	0.055316	0.692935	0.176383	0.36085	0.188025	0.192186	0.140372	0.500185	0.227508	0.336718	0.0	0.258161	0.258371	0.0221	0.089087	0.473804	0.489754	0.421139	0.237835	0.078135	0.472805	0.401843	0.301169	0.584627	0.078743	0.325752	0.272772	0.129261	0.340195	0.138527	0.175454	0.406581	0.244453	0.101298	0.528286	0.4043	0.322329	0.526164	0.394347	0.265908	0.325469	0.302495	0.576557	0.465008	0.153704	0.377964	0.32602	0.367126	0.252622	0.197386	0.220479	0.16966	0.095238	0.197203	
D00136	0.07303	0.231626	1.0	0.060999	0.374634	0.317038	0.027869	0.29824	0.491152	0.215666	0.62	0.309208	0.478091	0.38829	0.291386	0.26	0.348743	0.490362	0.331295	0.133333	0.237171	0.411746	0.431331	0.275299	0.408248	0.148556	0.560449	0.259808	0.17693	0.426401	0.471405	0.283683	0.288798	0.412311	0.068599	0.185656	0.106904	0.144857	0.166667	0.259272	0.2	0.334664	0.311127	0.480833	0.165027	0.1	0.194029	0.22188	0.285774	0.106904	0.209246	0.353861	0.0	0.092998	0.317038	0.34	0.27735	0.030679	0.169706	0.146059	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.241209	0.268328	0.494975	0.180907	0.520292	0.286855	0.526965	0.254841	0.267261	0.20226	0.08165	0.259808	0.283333	0.242591	0.135225	0.362825	0.179605	0.269408	0.221359	0.305108	0.182574	0.0	0.19803	0.072878	0.385758	0.400379	0.15	0.310376	0.26943	0.252982	0.150966	0.258799	0.19245	0.183533	0.310811	0.358391	0.037796	0.288675	0.030861	0.360555	0.427618	0.471495	0.325493	0.310759	0.106904	0.305085	0.480833	0.353815	0.346688	0.07754	0.168655	0.05164	0.226779	0.27136	0.258799	0.286039	0.277161	0.297044	0.185656	0.172532	0.170561	0.339683	0.102151	0.107833	0.06247	0.323249	0.137649	0.01525	0.162964	0.222234	0.163299	0.173205	0.481773	0.226779	0.207931	0.095618	0.309628	0.008435	0.252772	0.116248	0.090582	0.248351	0.250217	0.115233	0.022646	0.206559	0.271746	0.271746	0.161165	0.263891	0.176777	0.169706	0.312995	0.060302	0.60796	0.288874	0.057585	0.289427	0.094491	0.053452	0.245202	0.193347	0.111631	0.15	0.128932	0.137437	0.154545	0.400454	0.368364	0.367423	0.215728	0.236643	0.382808	0.406586	0.019245	0.265361	0.827043	0.159111	0.483766	0.172328	0.550348	0.137199	0.213201	0.066712	0.185656	0.170856	0.228193	0.221327	0.319801	0.5539	0.072761	0.196116	0.151097	0.129399	0.282843	0.286401	0.318439	0.04051	0.443129	0.141421	0.232764	0.160357	0.063246	
D00195	0.445477	0.52984	0.060999	1.0	0.028566	0.086335	0.0	0.192421	0.1605	0.131555	0.091499	0.117885	0.109362	0.042295	0.07406	0.0305	0.124093	0.113795	0.050522	0.0	0.024112	0.093023	0.098666	0.017493	0.077822	0.042477	0.256403	0.044023	0.044969	0.081282	0.107833	0.149751	0.031458	0.036986	0.026153	0.110103	0.020378	0.04142	0.025416	0.071889	0.057187	0.091135	0.0647	0.043133	0.094374	0.0	0.0	0.063443	0.093386	0.142649	0.017728	0.112423	0.0	0.0	0.051801	0.106749	0.063443	0.444452	0.0647	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.152499	0.04598	0.102299	0.053916	0.09196	0.115177	0.182271	0.042295	0.022861	0.258127	0.0	0.0	0.066034	0.470204	0.057804	0.038665	0.105391	0.02739	0.082169	0.048224	0.072701	0.083527	0.127082	0.150996	0.666827	0.082359	0.026547	0.0	0.069606	0.058697	0.03215	0.032889	0.016444	0.381529	0.052478	0.07406	0.016075	0.0	0.110056	0.117655	0.063443	0.020378	0.042295	0.124093	0.127589	0.061135	0.148034	0.043133	0.041505	0.211477	0.034489	0.329533	0.492187	0.057639	0.04598	0.098666	0.130862	0.146308	0.120797	0.110103	0.131555	0.113795	0.120869	0.155778	0.016444	0.595407	0.061619	0.017493	0.0	0.345164	0.092428	0.074709	0.088045	0.087464	0.02882	0.332191	0.218725	0.112423	0.557396	0.081152	0.07091	0.0	0.063122	0.031798	0.058576	0.0	0.098437	0.034534	0.069068	0.307217	0.082853	0.525685	0.043133	0.126348	0.04598	0.104676	0.10012	0.938541	0.116834	0.648439	0.0	0.288946	0.132683	0.03783	0.0	0.700455	0.708905	0.603063	0.058161	0.093625	0.357979	0.52338	0.038665	0.333587	0.053916	0.337506	0.10895	0.06638	0.036396	0.105391	0.0	0.12282	0.261533	0.032513	0.966487	0.534787	0.260554	0.491282	0.181742	0.195077	0.125805	0.221918	0.388797	0.418946	0.0	0.086266	0.279039	0.128545	0.308883	0.075085	0.080875	0.032269	0.0	0.048224	
D00219	0.239395	0.300376	0.374634	0.028566	1.0	0.106047	0.104408	0.107434	0.164288	0.262586	0.299707	0.062057	0.179109	0.441596	0.127357	0.299707	0.217752	0.159745	0.393029	0.156098	0.844097	0.856968	0.161591	0.451222	0.420596	0.260879	0.254955	0.081111	0.248566	0.279553	0.132453	0.20438	0.850093	0.658751	0.192748	0.077281	0.175219	0.254383	0.265366	0.331133	0.140488	0.111943	0.42385	0.344378	0.077281	0.280976	0.567889	0.545501	0.248534	0.050063	0.479054	0.207138	0.0	0.217752	0.169676	0.430829	0.311715	0.071833	0.370869	0.444591	0.0	0.0	0.0	0.0	0.0	0.0	0.280976	0.112956	0.083771	0.39736	0.282391	0.251509	0.111943	0.493548	0.744121	0.317063	0.227321	0.050981	0.43259	0.234146	0.269809	0.237468	0.145636	0.285967	0.185037	0.11847	0.25004	0.290694	0.0	0.185472	0.04266	0.274585	0.391293	0.257561	0.410391	0.450615	0.414644	0.242387	0.403979	0.252344	0.128921	0.200132	0.355409	0.0	0.43259	0.115615	0.259762	0.275344	0.311715	0.348403	0.470162	0.350438	0.129881	0.317888	0.38236	0.383149	0.096831	0.059235	0.080608	0.0354	0.084717	0.222188	0.14288	0.199681	0.148377	0.077281	0.080796	0.079872	0.212095	0.095673	0.060597	0.14627	0.264906	0.494195	0.071414	0.186548	0.075688	0.122355	0.270369	0.257841	0.389396	0.25966	0.291053	0.124283	0.0474	0.249203	0.348403	0.212095	0.243679	0.800696	0.107926	0.084838	0.266008	0.84838	0.254514	0.301889	0.10177	0.182123	0.238416	0.327635	0.225913	0.293887	0.295151	0.026967	0.223237	0.0354	0.100125	0.114827	0.090543	0.325274	0.30439	0.075472	0.12115	0.136231	0.51794	0.147859	0.114708	0.165312	0.332455	0.384142	0.165567	0.018025	0.172062	0.203841	0.312945	0.242726	0.530314	0.352013	0.096374	0.306177	0.069424	0.115922	0.244739	0.188579	0.1754	0.459266	0.264906	0.249871	0.257151	0.2573	0.403979	0.344378	0.149022	0.333333	0.028456	0.207514	0.066227	0.178367	0.37547	0.23694	
D00225	0.0	0.221917	0.317038	0.086335	0.106047	1.0	0.0	0.441596	0.337645	0.439548	0.249101	0.475149	0.460132	0.219826	0.417911	0.181164	0.368549	0.410384	0.175055	0.0	0.071611	0.189938	0.415128	0.077929	0.3698	0.147181	0.271964	0.32686	0.166945	0.241402	0.507072	0.370625	0.093428	0.109847	0.0	0.420428	0.090784	0.184521	0.094356	0.160128	0.311376	0.730798	0.320256	0.128103	0.420428	0.0	0.0	0.282633	0.531588	0.272352	0.078975	0.467446	0.0	0.0	0.205128	0.430265	0.314037	0.0	0.320256	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.311376	0.204837	0.810191	0.160128	0.307255	0.323063	0.378932	0.125615	0.067894	0.322788	0.0	0.0	0.310517	0.245327	0.240346	0.172251	0.156502	0.101681	0.467735	0.107417	0.280692	0.062017	0.188713	0.403604	0.061889	0.1223	0.078842	0.056614	0.268742	0.30507	0.071611	0.146516	0.097677	0.239697	0.285738	0.593873	0.143223	0.0	0.32686	0.0	0.314037	0.21183	0.125615	0.342224	0.108266	0.151307	0.094211	0.128103	0.123267	0.259081	0.073164	0.143223	0.0	0.42796	0.102418	0.268612	0.2591	0.362103	0.269069	0.420428	0.439548	0.434524	0.358974	0.173494	0.097677	0.0	0.228755	0.0	0.0	0.205023	0.411758	0.35131	0.294174	0.467572	0.064194	0.112112	0.135333	0.567613	0.0	0.180763	0.131625	0.0	0.307984	0.094438	0.260952	0.0	0.146176	0.102564	0.179487	0.164235	0.140611	0.20016	0.160128	0.333551	0.170697	0.244264	0.089205	0.081503	0.231326	0.128388	0.0	0.164058	0.394061	0.0	0.0	0.10949	0.109847	0.123521	0.172733	0.158892	0.485363	0.199852	0.19139	0.216722	0.30024	0.0	0.508475	0.345005	0.162142	0.21519	0.0	0.455961	0.11651	0.064374	0.08393	0.140143	0.136558	0.197583	0.385543	0.313823	0.507072	0.137309	0.244264	0.0	0.0	0.352282	0.288253	0.339352	0.034401	0.306622	0.360288	0.119797	0.0	0.179029	
D00227	0.050882	0.049656	0.027869	0.0	0.104408	0.0	1.0	0.0	0.024443	0.030052	0.027869	0.0	0.0	0.077296	0.0	0.055739	0.0	0.0	0.061553	0.0	0.088131	0.085001	0.0	0.127873	0.056888	0.051752	0.044627	0.0	0.123273	0.029709	0.0	0.030408	0.086235	0.135186	0.047795	0.0	0.0	0.050463	0.046449	0.164222	0.069673	0.0	0.039413	0.039413	0.0	0.046449	0.067593	0.077296	0.028444	0.074484	0.12959	0.041091	0.0	0.388769	0.031556	0.055739	0.038648	0.021375	0.078826	0.050882	0.0	0.0	0.0	0.0	0.0	0.0	0.10451	0.126044	0.031159	0.049266	0.042015	0.116937	0.0	0.038648	0.083556	0.049656	0.018789	0.0	0.080452	0.023224	0.042255	0.047108	0.048151	0.050055	0.0	0.0	0.026572	0.025441	0.092898	0.027595	0.031735	0.043003	0.04245	0.069673	0.101764	0.107269	0.117507	0.060105	0.120209	0.107269	0.063937	0.027069	0.088131	0.0	0.040226	0.0	0.0	0.037242	0.038648	0.080994	0.03331	0.111726	0.0	0.039413	0.037925	0.067634	0.063029	0.029377	0.011993	0.052668	0.042015	0.0	0.0	0.029709	0.0	0.0	0.0	0.0	0.0	0.023724	0.030052	0.021762	0.0	0.063937	0.02125	0.025232	0.0	0.477859	0.040226	0.031968	0.105336	0.068987	0.099931	0.0	0.015672	0.046346	0.097192	0.426003	0.016479	0.087167	0.026762	0.788895	0.035979	0.094667	0.220891	0.044915	0.043262	0.147799	0.11824	0.051312	0.126044	0.027328	0.036594	0.005015	0.023724	0.0	0.0	0.015531	0.0	0.034568	0.052255	0.044915	0.06196	0.069673	0.053145	0.048886	0.0	0.0	0.329754	0.057153	0.024633	0.0	0.0	0.0	0.077601	0.024075	0.06861	0.037409	0.0	0.019806	0.015494	0.028745	0.105036	0.028057	0.035586	0.029709	0.016422	0.10139	0.109312	0.019141	0.060105	0.039413	0.066515	0.052204	0.007056	0.0	0.0	0.088459	0.037242	0.132196	
D00228	0.0	0.224818	0.29824	0.192421	0.107434	0.441596	0.0	1.0	0.422543	0.494771	0.206474	0.456025	0.438727	0.127257	0.401091	0.137649	0.453374	0.391293	0.177343	0.038236	0.072548	0.157435	0.395817	0.078947	0.374634	0.170406	0.293887	0.19868	0.135302	0.244558	0.513701	0.475595	0.118312	0.166924	0.0	0.473249	0.091971	0.207703	0.114708	0.216295	0.315447	0.520988	0.356887	0.194666	0.473249	0.0	0.0	0.318142	0.538537	0.337227	0.080007	0.49047	0.0	0.0	0.233786	0.481773	0.349957	0.0	0.324443	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.344124	0.2421	0.410391	0.202777	0.380443	0.404295	0.520988	0.159071	0.085977	0.40876	0.061869	0.0	0.34769	0.305888	0.278271	0.193892	0.218004	0.123613	0.473849	0.145095	0.306235	0.125656	0.19118	0.522457	0.104496	0.159298	0.09984	0.0	0.272255	0.309058	0.072548	0.049477	0.074216	0.242831	0.289474	0.423374	0.072548	0.0	0.364246	0.070799	0.349957	0.153285	0.159071	0.373367	0.164523	0.153285	0.254514	0.162221	0.124878	0.286328	0.051885	0.217643	0.019745	0.173422	0.138343	0.371078	0.349983	0.46466	0.363449	0.473249	0.519509	0.513572	0.441596	0.156233	0.074216	0.0	0.185396	0.0	0.0	0.228474	0.46349	0.374634	0.364246	0.394737	0.086711	0.136293	0.137102	0.591946	0.0	0.244168	0.133345	0.0	0.325575	0.119591	0.293737	0.0	0.177705	0.155857	0.233786	0.184868	0.160255	0.223054	0.129777	0.485747	0.138343	0.202465	0.180743	0.181651	0.312467	0.216777	0.0	0.217342	0.487926	0.028456	0.0	0.184868	0.185472	0.20856	0.218739	0.221332	0.374634	0.359937	0.213281	0.235238	0.162221	0.0	0.538537	0.299584	0.182513	0.198185	0.0	0.461921	0.196722	0.130431	0.18706	0.212962	0.230571	0.246358	0.429642	0.366837	0.473146	0.139104	0.247457	0.0	0.0	0.389331	0.255519	0.494195	0.058085	0.451826	0.405554	0.194181	0.0	0.145095	
D00234	0.064051	0.20315	0.491152	0.1605	0.164288	0.337645	0.024443	0.422543	1.0	0.435048	0.385906	0.368048	0.44028	0.243252	0.4089	0.175412	0.448606	0.411377	0.271194	0.0	0.16641	0.307625	0.397218	0.100605	0.37596	0.162866	0.323016	0.278503	0.103452	0.448775	0.454794	0.401918	0.217108	0.23399	0.030083	0.434216	0.117202	0.174691	0.146176	0.227397	0.350823	0.356417	0.272876	0.248069	0.416123	0.0	0.042544	0.291903	0.429669	0.304725	0.061174	0.556055	0.0	0.0	0.27806	0.385906	0.291903	0.0	0.272876	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.241191	0.317332	0.313786	0.310087	0.317332	0.647689	0.482211	0.267577	0.184067	0.375046	0.023652	0.071611	0.278503	0.336206	0.292554	0.1779	0.409138	0.157524	0.472573	0.249615	0.234148	0.192154	0.146176	0.434208	0.119847	0.324799	0.167944	0.021926	0.288231	0.270064	0.09245	0.094576	0.094576	0.236306	0.321937	0.289637	0.14792	0.03315	0.32914	0.054133	0.267577	0.117202	0.243252	0.387433	0.314485	0.164083	0.413529	0.248069	0.214834	0.358797	0.119013	0.268105	0.015097	0.232048	0.396664	0.340472	0.384671	0.392678	0.382103	0.416123	0.453963	0.430076	0.436952	0.134388	0.113491	0.013697	0.336666	0.020121	0.0	0.254096	0.389823	0.343735	0.303822	0.442664	0.099449	0.095526	0.167726	0.504329	0.0	0.256701	0.163129	0.0	0.280052	0.219455	0.26951	0.019861	0.135873	0.218476	0.178753	0.183756	0.299521	0.170548	0.099228	0.371403	0.105777	0.378412	0.230327	0.151517	0.343437	0.165748	0.0	0.351911	0.525688	0.087029	0.043853	0.212026	0.212718	0.239198	0.301047	0.415385	0.358057	0.34401	0.163075	0.27579	0.155043	0.0	0.429669	0.534479	0.153505	0.348525	0.043183	0.506233	0.270746	0.12466	0.156028	0.2352	0.141036	0.270776	0.343437	0.504871	0.568493	0.170174	0.240807	0.036142	0.018915	0.32249	0.33492	0.377862	0.079941	0.302283	0.403113	0.148471	0.046881	0.11094	
D00252	0.07875	0.345834	0.215666	0.131555	0.262586	0.439548	0.030052	0.494771	0.435048	1.0	0.194099	0.452509	0.541316	0.239259	0.46084	0.280365	0.451271	0.482791	0.214346	0.0	0.272798	0.328887	0.488372	0.123693	0.506259	0.300361	0.207205	0.249029	0.317982	0.34485	0.508329	0.470621	0.26693	0.261533	0.073973	0.734059	0.057639	0.370983	0.233638	0.228748	0.404373	0.463985	0.518495	0.213498	0.68957	0.107833	0.183073	0.657963	0.682349	0.374654	0.125353	0.50877	0.0	0.050141	0.244193	0.862662	0.508426	0.016541	0.518495	0.118125	0.0	0.0	0.0	0.0	0.0	0.0	0.431331	0.260102	0.458131	0.228748	0.58523	0.41626	0.515539	0.209352	0.242472	0.422686	0.043621	0.0	0.544751	0.359443	0.457788	0.346314	0.149045	0.251775	0.561653	0.170499	0.370132	0.137812	0.25161	0.68333	0.068763	0.183029	0.112628	0.107833	0.413437	0.415049	0.136399	0.093023	0.116279	0.373544	0.371078	0.418946	0.136399	0.0	0.529187	0.0	0.418704	0.144098	0.179445	0.476342	0.154662	0.288195	0.11963	0.182998	0.17609	0.388797	0.090582	0.181865	0.018562	0.163028	0.130051	0.348837	0.431821	0.4598	0.448435	0.711814	0.767442	0.735681	0.439548	0.165228	0.046512	0.033681	0.19607	0.148431	0.016444	0.351458	0.675351	0.563489	0.560316	0.544248	0.122271	0.18151	0.25777	0.667761	0.009096	0.358646	0.250706	0.048839	0.408082	0.269816	0.428004	0.024419	0.167054	0.268612	0.170935	0.364955	0.100433	0.324059	0.304997	0.496341	0.325128	0.19033	0.16991	0.124192	0.422249	0.163028	0.0	0.216334	0.75057	0.040125	0.080875	0.121652	0.130766	0.147045	0.246755	0.151321	0.418214	0.211477	0.328087	0.412793	0.152499	0.0	0.660338	0.187752	0.360306	0.186307	0.185826	0.636879	0.184932	0.061307	0.135883	0.155709	0.205914	0.28949	0.605836	0.505781	0.584578	0.261533	0.380659	0.029624	0.162791	0.487995	0.360306	0.504973	0.054603	0.371652	0.57187	0.068453	0.115278	0.340997	
