data	D00040	D00066	D00067	D00075	D00088	D00094	D00105	D00129	D00143	D00163	D00182	D00187	D00188	D00211	D00246	D00279	D00299	D00312	D00316	D00327	D00348	D00443	D00462	D00506	D00554	D00565	D00577	D00585	D00586	D00596	D00627	D00690	D00730	D00898	D00930	D00950	D00951	D00954	D00956	D00961	D00962	D00965	D01115	D01132	D01161	D01217	D01294	D01387	D01441	D01689	D02217	D02367	D04066	D05341	
D00040	1.0	0.807575	0.680852	0.803694	0.756574	0.059555	0.754326	0.691042	0.940871	0.868551	0.789786	0.771395	0.815844	0.511387	0.703595	0.01543	0.823886	0.593553	0.0	0.752171	0.061721	0.714907	0.849406	0.0	0.723627	0.030305	0.0	0.595611	0.035857	0.0	0.0	0.64254	0.0	0.0	0.69819	0.792858	0.708116	0.792858	0.738952	0.0	0.014286	0.010911	0.651678	0.022792	0.567338	0.810762	0.778027	0.612447	0.0	0.661168	0.0	0.779232	0.692003	0.0	
D00066	0.807575	1.0	0.611579	0.780458	0.791843	0.035664	0.618659	0.572389	0.906214	0.800636	0.792761	0.562362	0.618542	0.368442	0.724286	0.092403	0.592049	0.554071	0.03928	0.743827	0.036961	0.799144	0.894002	0.133956	0.598415	0.108885	0.0	0.685912	0.05726	0.091984	0.0	0.653151	0.085358	0.0	0.555128	0.792774	0.659628	0.792774	0.768574	0.086569	0.059884	0.065339	0.677293	0.054595	0.528489	0.921233	0.739769	0.679676	0.056634	0.737521	0.066364	0.720741	0.603579	0.0	
D00067	0.680852	0.611579	1.0	0.748516	0.644917	0.017392	0.933827	0.486598	0.657129	0.641236	0.724877	0.587666	0.577052	0.427023	0.590945	0.027037	0.618688	0.841191	0.014367	0.592472	0.018025	0.563694	0.597584	0.087101	0.890572	0.0354	0.187317	0.548572	0.020943	0.067286	0.090483	0.529813	0.03122	0.18368	0.462616	0.713738	0.530237	0.713738	0.738255	0.031662	0.062578	0.038236	0.556777	0.079872	0.592434	0.631382	0.645204	0.561175	0.055237	0.567889	0.210363	0.716478	0.817135	0.0	
D00075	0.803694	0.780458	0.748516	1.0	0.872279	0.025154	0.820738	0.581012	0.791997	0.717198	0.886358	0.696945	0.720776	0.374608	0.685214	0.058655	0.745667	0.663602	0.020778	0.778191	0.026069	0.732227	0.750127	0.078733	0.753166	0.063997	0.0	0.677285	0.030289	0.048658	0.0	0.643112	0.045152	0.0	0.527826	0.884802	0.621169	0.884802	0.878822	0.045793	0.045253	0.02765	0.702896	0.02888	0.57364	0.825356	0.729963	0.697708	0.029958	0.706343	0.035105	0.811389	0.771989	0.0	
D00088	0.756574	0.791843	0.644917	0.872279	1.0	0.023679	0.655259	0.647093	0.792651	0.756633	0.825419	0.656084	0.678517	0.438423	0.735208	0.128837	0.666851	0.583049	0.03912	0.831339	0.02454	0.710615	0.767552	0.13341	0.667906	0.144589	0.0	0.728659	0.071283	0.09161	0.0	0.695574	0.08501	0.0	0.615852	0.815574	0.570312	0.815574	0.780907	0.096993	0.09372	0.052058	0.674534	0.054373	0.533172	0.7687	0.637577	0.723822	0.065804	0.757712	0.055078	0.745413	0.637008	0.0	
D00094	0.059555	0.035664	0.017392	0.025154	0.023679	1.0	0.0	0.078528	0.011429	0.033903	0.026131	0.116516	0.156015	0.131855	0.060603	0.026803	0.071555	0.030324	0.156664	0.03596	0.929164	0.031045	0.011178	0.06476	0.0	0.035093	0.037139	0.092848	0.062284	0.183435	0.038443	0.037516	0.030949	0.054627	0.101914	0.02527	0.115642	0.02527	0.022519	0.015694	0.099258	0.056857	0.028066	0.019795	0.079635	0.024074	0.041266	0.05856	0.01369	0.033778	0.048125	0.040204	0.0	0.159269	
D00105	0.754326	0.618659	0.933827	0.820738	0.655259	0.0	1.0	0.518941	0.717492	0.679136	0.777074	0.625608	0.6229	0.429942	0.592387	0.02214	0.700853	0.789043	0.011765	0.60399	0.0	0.598378	0.646322	0.035663	0.927057	0.028989	0.153393	0.493049	0.01715	0.041325	0.074096	0.550074	0.025565	0.150414	0.488275	0.772343	0.599208	0.772343	0.79987	0.025928	0.051245	0.015656	0.595043	0.065407	0.624927	0.696009	0.69879	0.564351	0.045233	0.56735	0.145763	0.752773	0.885001	0.0	
D00129	0.691042	0.572389	0.486598	0.581012	0.647093	0.078528	0.518941	1.0	0.676697	0.794139	0.629087	0.742957	0.820562	0.442511	0.466611	0.087198	0.705024	0.424207	0.055601	0.538144	0.104637	0.47133	0.618186	0.0	0.525761	0.091335	0.0	0.491928	0.027017	0.01085	0.0	0.408871	0.020137	0.035543	0.908461	0.624801	0.458302	0.624801	0.55678	0.0	0.0	0.0	0.395658	0.07728	0.53758	0.524736	0.49001	0.438177	0.0	0.498172	0.020875	0.619102	0.476066	0.090676	
D00143	0.940871	0.906214	0.657129	0.791997	0.792651	0.011429	0.717492	0.676697	1.0	0.893315	0.796783	0.664216	0.706687	0.455414	0.723092	0.035533	0.725028	0.582922	0.018881	0.76277	0.011844	0.747699	0.903927	0.057236	0.69433	0.046524	0.0	0.615457	0.027524	0.044216	0.0	0.659008	0.04103	0.0	0.682308	0.795655	0.703837	0.795655	0.753815	0.041613	0.024673	0.037689	0.669736	0.026243	0.567462	0.877672	0.759064	0.666363	0.027223	0.709034	0.021267	0.755086	0.675534	0.0	
D00163	0.868551	0.800636	0.641236	0.717198	0.756633	0.033903	0.679136	0.794139	0.893315	1.0	0.770752	0.664432	0.709443	0.491264	0.68522	0.0	0.703526	0.573924	0.0	0.701214	0.035136	0.630817	0.835215	0.0	0.669407	0.0	0.0	0.612928	0.0	0.024593	0.025198	0.580948	0.0	0.0	0.786575	0.76399	0.671855	0.76399	0.702957	0.01543	0.067093	0.009317	0.551877	0.009731	0.597007	0.751492	0.684653	0.575753	0.00673	0.669746	0.0	0.744453	0.623025	0.024468	
D00182	0.789786	0.792761	0.724877	0.886358	0.825419	0.026131	0.777074	0.629087	0.796783	0.770752	1.0	0.653385	0.699516	0.389161	0.70418	0.060933	0.697172	0.643423	0.021585	0.790256	0.027081	0.776357	0.779269	0.081792	0.827784	0.066484	0.0	0.693546	0.031466	0.050548	0.0	0.668096	0.046907	0.0	0.586947	0.995774	0.685134	0.995774	0.887367	0.047572	0.047011	0.028724	0.723113	0.045002	0.573295	0.839177	0.797411	0.687833	0.031122	0.708187	0.036469	0.914	0.732673	0.0	
D00187	0.771395	0.562362	0.587666	0.696945	0.656084	0.116516	0.625608	0.742957	0.664216	0.664432	0.653385	1.0	0.904972	0.600298	0.573369	0.018113	0.939496	0.512316	0.16362	0.607531	0.144905	0.587441	0.558972	0.014588	0.586517	0.035573	0.0	0.501965	0.028061	0.033808	0.0	0.538752	0.0	0.049222	0.730046	0.648933	0.476004	0.648933	0.62394	0.0	0.008385	0.0	0.575316	0.026755	0.470892	0.601944	0.634428	0.547441	0.0	0.532631	0.010841	0.670184	0.573919	0.0	
D00188	0.815844	0.618542	0.577052	0.720776	0.678517	0.156015	0.6229	0.820562	0.706687	0.709443	0.699516	0.904972	1.0	0.476211	0.533156	0.020211	0.847912	0.503063	0.064438	0.623675	0.188639	0.569652	0.640581	0.016278	0.59804	0.039694	0.0	0.570114	0.046967	0.012575	0.0	0.495074	0.0	0.041193	0.760819	0.70505	0.546999	0.70505	0.653764	0.0	0.018712	0.0	0.522034	0.029854	0.495415	0.62629	0.614567	0.50782	0.0	0.534898	0.012097	0.69729	0.571436	0.0	
