data	D00049	D00059	D00079	D00094	D00095	D00106	D00110	D00113	D00136	D00139	D00180	D00225	D00227	D00232	D00234	D00235	D00241	D00255	D00270	D00274	D00281	D00283	D00295	D00300	D00301	D00306	D00318	D00332	D00336	D00356	D00364	D00371	D00380	D00394	D00397	D00400	D00410	D00411	D00415	D00419	D00422	D00426	D00432	D00437	D00440	D00442	D00443	D00451	D00454	D00465	D00480	D00483	D00493	D00494	D00498	D00499	D00503	D00509	D00513	D00514	D00520	D00521	D00522	D00523	D00524	D00525	D00528	D00540	D00542	D00559	D00560	D00563	D00574	D00598	D00601	D00604	D00606	D00607	D00609	D00613	D00627	D00632	D00635	D00645	D00646	D00665	D00666	D00673	D00674	D00675	D00676	D00682	D00683	D00684	D00687	D00688	D00715	D00726	D00760	D00765	D00769	D00775	D00779	D00780	D00790	D00837	D00838	D00845	D00954	D00965	D00987	D00996	D01020	D01022	D01024	D01051	D01071	D01103	D01118	D01126	D01164	D01227	D01236	D01242	D01269	D01295	D01297	D01324	D01332	D01346	D01352	D01358	D01386	D01390	D01441	D01454	D01462	D01603	D01652	D01692	D01699	D01712	D01713	D01717	D01745	D01782	D01828	D01871	D01891	D01925	D01964	D01965	D01973	D01994	D02007	D02066	D02070	D02076	D02082	D02147	D02149	D02150	D02234	D02237	D02250	D02278	D02279	D02327	D02338	D02340	D02342	D02349	D02354	D02356	D02357	D02358	D02359	D02361	D02374	D02566	D02578	D02588	D02614	D02671	D02721	D02725	D02826	D02884	D02910	D03165	D03187	D03210	D03274	D03365	D03415	D03442	D03490	D03503	D03621	D03642	D03654	D03858	D03879	D03880	D03881	D03966	D04006	D04034	D04040	D04375	D04625	D04716	D04979	D05113	D05129	D05246	D05312	D05341	D05740	D05792	D05938	D06056	D06396	
D00049	1.0	0.266667	0.116667	0.106383	0.4	0.092308	0.26	0.270833	0.302326	0.28	0.122807	0.25	0.224138	0.127273	0.22	0.366667	0.521739	0.27907	0.225806	0.265306	0.190476	0.277778	0.285714	0.407407	0.111111	0.148936	0.184211	0.263158	0.236364	0.178082	0.302326	0.230769	0.387097	0.28125	0.375	0.193548	0.464286	0.188406	0.195122	0.122807	0.195122	0.255319	0.23913	0.25	0.170732	0.105691	0.083333	0.351351	0.257143	0.325	0.25	0.37931	0.216216	0.266667	0.155556	0.206897	0.230769	0.26087	0.413793	0.333333	0.210526	0.210526	0.236364	0.218182	0.12	0.225806	0.285714	0.270833	0.214286	0.233333	0.214286	0.366667	0.413793	0.323529	0.152941	0.173913	0.444444	0.131148	0.234043	0.255319	0.193548	0.305556	0.185714	0.255319	0.238095	0.276596	0.220339	0.186047	0.295455	0.291667	0.269231	0.089744	0.169014	0.185714	0.216667	0.173913	0.216667	0.387097	0.089552	0.063063	0.265306	0.24	0.333333	0.098361	0.235294	0.1625	0.166667	0.188406	0.092308	0.235294	0.164384	0.37037	0.222222	0.194444	0.2	0.276596	0.242424	0.216667	0.264706	0.111111	0.222222	0.19697	0.179104	0.183333	0.203125	0.222222	0.282609	0.228571	0.222222	0.254902	0.092105	0.3125	0.37931	0.407407	0.178082	0.1875	0.162162	0.173913	0.24	0.155556	0.206897	0.261905	0.3	0.171429	0.166667	0.289474	0.25	0.25	0.179104	0.157895	0.151163	0.224138	0.207547	0.168831	0.126316	0.179104	0.224138	0.25	0.206349	0.37931	0.236364	0.354839	0.139241	0.137255	0.093525	0.148148	0.047619	0.288889	0.3	0.25	0.333333	0.212766	0.179487	0.192308	0.2	0.259259	0.268293	0.307692	0.297297	0.322581	0.259259	0.176471	0.27027	0.179487	0.086957	0.155844	0.205128	0.27027	0.25	0.109091	0.107692	0.215385	0.209677	0.45	0.117117	0.059091	0.314286	0.266667	0.333333	0.325	0.214286	0.333333	0.323529	0.09322	0.203125	0.108696	0.25	0.183099	0.235294	0.458333	0.37931	0.254902	0.258065	0.114754	0.22449	0.20339	0.105263	0.047619	0.160494	0.315789	0.285714	0.297297	0.228571	
D00059	0.266667	1.0	0.333333	0.276596	0.6	0.292308	0.28	0.3125	0.325581	0.266667	0.350877	0.25	0.310345	0.181818	0.22	0.266667	0.366667	0.209302	0.225806	0.367347	0.3	0.277778	0.266667	0.333333	0.196581	0.234043	0.263158	0.333333	0.309091	0.219178	0.255814	0.333333	0.290323	0.21875	0.34375	0.322581	0.266667	0.289855	0.268293	0.263158	0.439024	0.234043	0.304348	0.307692	0.414634	0.186992	0.202381	0.297297	0.228571	0.25	0.3125	0.166667	0.297297	0.3	0.422222	0.266667	0.282051	0.326087	0.166667	0.4	0.245614	0.298246	0.218182	0.254545	0.4	0.322581	0.3	0.291667	0.266667	0.1	0.25	0.3	0.233333	0.264706	0.282353	0.3	0.166667	0.180328	0.297872	0.319149	0.290323	0.444444	0.257143	0.191489	0.452381	0.276596	0.288136	0.418605	0.295455	0.208333	0.230769	0.25641	0.323944	0.3	0.25	0.304348	0.266667	0.290323	0.171642	0.171171	0.244898	0.3	0.166667	0.196721	0.235294	0.2375	0.404762	0.231884	0.261538	0.352941	0.232877	0.533333	0.466667	0.333333	0.46	0.191489	0.272727	0.2	0.205882	0.533333	0.311111	0.242424	0.208955	0.233333	0.15625	0.222222	0.26087	0.171429	0.203704	0.313725	0.276316	0.28125	0.366667	0.4	0.219178	0.28125	0.202703	0.188406	0.24	0.333333	0.327586	0.285714	0.2	0.285714	0.259259	0.210526	0.45	0.25	0.298507	0.302632	0.232558	0.37931	0.377358	0.246753	0.242105	0.328358	0.258621	0.321429	0.31746	0.333333	0.363636	0.419355	0.177215	0.137255	0.165468	0.266667	0.3	0.2	0.475	0.25	0.333333	0.319149	0.205128	0.307692	0.283333	0.4	0.560976	0.25641	0.405405	0.290323	0.233333	0.338235	0.351351	0.384615	0.275362	0.272727	0.307692	0.297297	0.333333	0.218182	0.276923	0.276923	0.274194	0.266667	0.171171	0.131818	0.314286	0.2	0.266667	0.325	0.339286	0.212121	0.411765	0.20339	0.375	0.413043	0.233333	0.28169	0.392157	0.233333	0.366667	0.254902	0.258065	0.245902	0.387755	0.305085	0.263158	0.266667	0.197531	0.210526	0.285714	0.216216	0.2	
D00079	0.116667	0.333333	1.0	0.416667	0.3	0.784615	0.333333	0.4	0.216667	0.116667	0.95	0.1	0.183333	0.333333	0.116667	0.266667	0.216667	0.183333	0.133333	0.183333	0.133333	0.166667	0.233333	0.15	0.282051	0.416667	0.216667	0.266667	0.233333	0.506849	0.2	0.183333	0.25	0.183333	0.216667	0.322581	0.183333	0.144928	0.266667	0.816667	0.3	0.2	0.35	0.233333	0.3	0.284553	0.404762	0.216667	0.183333	0.333333	0.133333	0.2	0.166667	0.133333	0.4	0.333333	0.166667	0.216667	0.2	0.233333	0.15	0.183333	0.083333	0.166667	0.266667	0.333333	0.183333	0.3	0.133333	0.216667	0.133333	0.15	0.25	0.283333	0.317647	0.133333	0.183333	0.245902	0.15	0.166667	0.112903	0.25	0.285714	0.2	0.266667	0.2	0.216667	0.3	0.233333	0.183333	0.266667	0.717949	0.211268	0.214286	0.166667	0.217391	0.316667	0.233333	0.238806	0.36036	0.2	0.133333	0.25	0.352459	0.166667	0.3625	0.333333	0.275362	0.430769	0.233333	0.328767	0.3	0.216667	0.25	0.3	0.183333	0.333333	0.166667	0.166667	0.316667	0.2	0.121212	0.089552	0.1	0.25	0.183333	0.183333	0.166667	0.216667	0.133333	0.763158	0.133333	0.266667	0.233333	0.136986	0.266667	0.297297	0.202899	0.15	0.233333	0.15	0.233333	0.1	0.342857	0.116667	0.183333	0.266667	0.15	0.38806	0.368421	0.476744	0.25	0.25	0.25974	0.4	0.223881	0.3	0.2	0.253968	0.25	0.3	0.283333	0.189873	0.283333	0.266187	0.35	0.283333	0.233333	0.366667	0.166667	0.283333	0.283333	0.166667	0.2	0.333333	0.266667	0.35	0.2	0.283333	0.183333	0.166667	0.411765	0.25	0.216667	0.724638	0.415584	0.3	0.266667	0.266667	0.381818	0.8	0.230769	0.096774	0.183333	0.207207	0.254545	0.283333	0.233333	0.183333	0.183333	0.183333	0.183333	0.266667	0.389831	0.25	0.5	0.25	0.183099	0.383333	0.15	0.266667	0.366667	0.15	0.295082	0.283333	0.183333	0.333333	0.35	0.17284	0.233333	0.216667	0.283333	0.283333	
D00094	0.106383	0.276596	0.416667	1.0	0.234043	0.415385	0.22	0.229167	0.212766	0.085106	0.368421	0.170213	0.206897	0.254545	0.16	0.340426	0.212766	0.170213	0.191489	0.204082	0.148936	0.170213	0.255319	0.191489	0.205128	0.255319	0.340426	0.297872	0.290909	0.287671	0.234043	0.170213	0.255319	0.255319	0.234043	0.306452	0.191489	0.275362	0.255319	0.350877	0.382979	0.212766	0.276596	0.384615	0.382979	0.276423	0.309524	0.234043	0.212766	0.319149	0.170213	0.212766	0.191489	0.191489	0.234043	0.425532	0.191489	0.212766	0.212766	0.191489	0.210526	0.263158	0.127273	0.2	0.297872	0.276596	0.212766	0.270833	0.170213	0.212766	0.214286	0.191489	0.276596	0.297872	0.305882	0.148936	0.191489	0.311475	0.191489	0.170213	0.177419	0.276596	0.328571	0.148936	0.255319	0.234043	0.322034	0.361702	0.212766	0.145833	0.230769	0.358974	0.323944	0.257143	0.2	0.318841	0.283333	0.276596	0.246269	0.216216	0.163265	0.12766	0.382979	0.229508	0.191489	0.2625	0.212766	0.289855	0.292308	0.254902	0.246575	0.234043	0.234043	0.319149	0.32	0.234043	0.340426	0.216667	0.212766	0.340426	0.191489	0.19697	0.134328	0.166667	0.25	0.297872	0.106383	0.234043	0.351852	0.176471	0.355263	0.191489	0.170213	0.297872	0.205479	0.297872	0.283784	0.246377	0.2	0.276596	0.189655	0.191489	0.148936	0.285714	0.166667	0.234043	0.297872	0.212766	0.343284	0.315789	0.302326	0.275862	0.169811	0.285714	0.284211	0.298507	0.258621	0.196429	0.333333	0.340426	0.290909	0.276596	0.240506	0.27451	0.251799	0.361702	0.276596	0.255319	0.382979	0.212766	0.382979	0.382979	0.234043	0.346154	0.266667	0.297872	0.212766	0.255319	0.382979	0.234043	0.212766	0.338235	0.191489	0.276596	0.405797	0.324675	0.212766	0.276596	0.229167	0.245455	0.353846	0.4	0.209677	0.12766	0.162162	0.177273	0.297872	0.255319	0.212766	0.212766	0.196429	0.276596	0.319149	0.237288	0.28125	0.276596	0.170213	0.197183	0.333333	0.170213	0.340426	0.254902	0.170213	0.245902	0.346939	0.220339	0.280702	0.446809	0.197531	0.276596	0.297872	0.212766	0.255319	
D00095	0.4	0.6	0.3	0.234043	1.0	0.261538	0.28	0.333333	0.395349	0.28	0.315789	0.333333	0.344828	0.181818	0.28	0.5	0.52	0.302326	0.419355	0.367347	0.2	0.361111	0.25	0.444444	0.196581	0.297872	0.315789	0.32	0.290909	0.246575	0.302326	0.307692	0.419355	0.34375	0.34375	0.241935	0.5	0.246377	0.341463	0.245614	0.292683	0.319149	0.413043	0.307692	0.268293	0.162602	0.178571	0.378378	0.371429	0.3	0.25	0.413793	0.351351	0.266667	0.355556	0.310345	0.333333	0.326087	0.413793	0.433333	0.263158	0.280702	0.254545	0.309091	0.2	0.354839	0.428571	0.270833	0.28	0.333333	0.285714	0.433333	0.413793	0.441176	0.270588	0.16	0.37037	0.196721	0.276596	0.340426	0.274194	0.527778	0.257143	0.212766	0.452381	0.340426	0.355932	0.27907	0.318182	0.270833	0.307692	0.205128	0.295775	0.257143	0.233333	0.289855	0.316667	0.548387	0.156716	0.144144	0.326531	0.16	0.25	0.172131	0.382353	0.2625	0.380952	0.246377	0.215385	0.313725	0.232877	0.925926	0.37037	0.25	0.42	0.234043	0.272727	0.3	0.323529	0.37037	0.288889	0.242424	0.238806	0.233333	0.234375	0.311111	0.347826	0.314286	0.277778	0.333333	0.236842	0.40625	0.482759	0.703704	0.246575	0.34375	0.22973	0.217391	0.22	0.266667	0.327586	0.333333	0.333333	0.3	0.277778	0.210526	0.375	0.305556	0.283582	0.263158	0.22093	0.293103	0.358491	0.246753	0.231579	0.313433	0.293103	0.303571	0.253968	0.689655	0.454545	0.806452	0.164557	0.137255	0.143885	0.222222	0.36	0.333333	0.35	0.388889	0.484848	0.361702	0.25641	0.365385	0.3	0.296296	0.463415	0.307692	0.486486	0.419355	0.259259	0.279412	0.594595	0.307692	0.246377	0.25974	0.384615	0.378378	0.375	0.190909	0.276923	0.307692	0.274194	0.48	0.153153	0.113636	0.428571	0.233333	0.433333	0.4	0.339286	0.393939	0.558824	0.161017	0.359375	0.326087	0.321429	0.295775	0.313725	0.32	0.724138	0.352941	0.354839	0.245902	0.326531	0.254237	0.263158	0.28	0.222222	0.210526	0.309524	0.378378	0.228571	
D00106	0.092308	0.292308	0.784615	0.415385	0.261538	1.0	0.369231	0.369231	0.230769	0.107692	0.769231	0.092308	0.215385	0.384615	0.138462	0.246154	0.184615	0.2	0.169231	0.184615	0.123077	0.184615	0.230769	0.153846	0.25641	0.4	0.2	0.230769	0.2	0.520548	0.215385	0.169231	0.2	0.2	0.184615	0.292308	0.153846	0.144928	0.261538	0.646154	0.292308	0.2	0.369231	0.276923	0.292308	0.292683	0.392857	0.215385	0.2	0.276923	0.169231	0.184615	0.169231	0.169231	0.369231	0.261538	0.169231	0.230769	0.215385	0.230769	0.169231	0.2	0.076923	0.2	0.261538	0.338462	0.153846	0.246154	0.123077	0.230769	0.184615	0.138462	0.2	0.261538	0.305882	0.123077	0.138462	0.246154	0.153846	0.2	0.138462	0.230769	0.271429	0.2	0.292308	0.230769	0.276923	0.292308	0.230769	0.169231	0.261538	0.653846	0.197183	0.171429	0.138462	0.188406	0.276923	0.2	0.246269	0.396396	0.246154	0.107692	0.246154	0.336066	0.184615	0.325	0.292308	0.188406	0.4	0.215385	0.369863	0.261538	0.2	0.246154	0.307692	0.2	0.276923	0.230769	0.169231	0.292308	0.184615	0.060606	0.044776	0.123077	0.230769	0.2	0.169231	0.169231	0.2	0.153846	0.697368	0.123077	0.246154	0.215385	0.123288	0.246154	0.324324	0.217391	0.2	0.230769	0.184615	0.246154	0.107692	0.3	0.153846	0.184615	0.230769	0.153846	0.432836	0.368421	0.488372	0.230769	0.215385	0.194805	0.378947	0.19403	0.323077	0.246154	0.215385	0.230769	0.353846	0.276923	0.164557	0.230769	0.273381	0.338462	0.261538	0.230769	0.323077	0.184615	0.276923	0.276923	0.153846	0.215385	0.430769	0.246154	0.323077	0.2	0.276923	0.169231	0.153846	0.367647	0.276923	0.261538	0.927536	0.454545	0.307692	0.246154	0.246154	0.363636	0.615385	0.184615	0.107692	0.169231	0.198198	0.254545	0.261538	0.230769	0.169231	0.169231	0.184615	0.169231	0.230769	0.415254	0.215385	0.492308	0.215385	0.15493	0.338462	0.138462	0.246154	0.338462	0.138462	0.338462	0.276923	0.246154	0.338462	0.323077	0.185185	0.215385	0.246154	0.276923	0.230769	
D00110	0.26	0.28	0.333333	0.22	0.28	0.369231	1.0	0.52	0.26	0.22	0.298246	0.2	0.172414	0.4	0.18	0.32	0.3	0.26	0.24	0.32	0.12	0.26	0.22	0.32	0.34188	0.32	0.26	0.22	0.218182	0.465753	0.32	0.24	0.34	0.32	0.36	0.177419	0.28	0.289855	0.42	0.368421	0.18	0.26	0.28	0.25	0.18	0.227642	0.392857	0.32	0.2	0.36	0.22	0.3	0.18	0.26	0.3	0.3	0.22	0.34	0.26	0.38	0.280702	0.385965	0.181818	0.236364	0.22	0.36	0.24	0.28	0.14	0.28	0.214286	0.28	0.36	0.26	0.317647	0.12	0.26	0.245902	0.32	0.28	0.274194	0.2	0.3	0.28	0.34	0.32	0.457627	0.16	0.24	0.32	0.230769	0.307692	0.28169	0.371429	0.266667	0.275362	0.416667	0.3	0.223881	0.315315	0.36	0.18	0.4	0.303279	0.24	0.2625	0.44	0.333333	0.307692	0.137255	0.465753	0.28	0.24	0.22	0.26	0.32	0.3	0.416667	0.26	0.28	0.24	0.257576	0.208955	0.283333	0.34375	0.3	0.22	0.32	0.37037	0.372549	0.328947	0.3	0.48	0.24	0.30137	0.2	0.364865	0.246377	0.2	0.22	0.431034	0.22	0.28	0.371429	0.166667	0.28	0.26	0.28	0.492537	0.381579	0.453488	0.310345	0.433962	0.311688	0.336842	0.283582	0.5	0.303571	0.365079	0.26	0.345455	0.32	0.240506	0.254902	0.215827	0.36	0.28	0.38	0.3	0.22	0.32	0.28	0.22	0.230769	0.45	0.28	0.34	0.28	0.34	0.34	0.26	0.367647	0.36	0.2	0.376812	0.428571	0.24	0.3	0.14	0.3	0.338462	0.369231	0.274194	0.36	0.216216	0.209091	0.24	0.2	0.3	0.4	0.428571	0.38	0.24	0.279661	0.328125	0.36	0.28	0.267606	0.235294	0.26	0.28	0.392157	0.24	0.295082	0.14	0.152542	0.350877	0.26	0.271605	0.34	0.32	0.24	0.2	
D00113	0.270833	0.3125	0.4	0.229167	0.333333	0.369231	0.52	1.0	0.333333	0.1875	0.421053	0.229167	0.224138	0.345455	0.24	0.3125	0.333333	0.208333	0.25	0.265306	0.145833	0.354167	0.25	0.333333	0.410256	0.333333	0.25	0.270833	0.309091	0.424658	0.270833	0.333333	0.395833	0.3125	0.479167	0.16129	0.291667	0.347826	0.354167	0.350877	0.229167	0.25	0.270833	0.173077	0.229167	0.211382	0.345238	0.270833	0.270833	0.416667	0.145833	0.3125	0.229167	0.166667	0.270833	0.354167	0.1875	0.270833	0.229167	0.333333	0.333333	0.315789	0.163636	0.236364	0.291667	0.416667	0.3125	0.416667	0.166667	0.291667	0.285714	0.333333	0.375	0.291667	0.317647	0.145833	0.270833	0.262295	0.270833	0.1875	0.274194	0.229167	0.257143	0.3125	0.270833	0.270833	0.372881	0.1875	0.25	0.166667	0.173077	0.269231	0.295775	0.242857	0.316667	0.289855	0.566667	0.270833	0.223881	0.288288	0.367347	0.25	0.416667	0.254098	0.25	0.3	0.416667	0.275362	0.4	0.137255	0.356164	0.3125	0.25	0.229167	0.24	0.354167	0.3125	0.366667	0.270833	0.333333	0.229167	0.272727	0.19403	0.25	0.34375	0.333333	0.208333	0.354167	0.314815	0.294118	0.302632	0.3125	0.479167	0.270833	0.260274	0.25	0.283784	0.246377	0.32	0.208333	0.396552	0.25	0.25	0.4	0.240741	0.291667	0.166667	0.229167	0.402985	0.328947	0.360465	0.37931	0.471698	0.285714	0.315789	0.268657	0.793103	0.357143	0.301587	0.3125	0.4	0.354167	0.265823	0.196078	0.201439	0.354167	0.333333	0.291667	0.229167	0.270833	0.354167	0.333333	0.25	0.269231	0.4	0.3125	0.395833	0.270833	0.3125	0.354167	0.270833	0.397059	0.354167	0.229167	0.347826	0.363636	0.3125	0.354167	0.229167	0.281818	0.384615	0.384615	0.209677	0.395833	0.207207	0.209091	0.270833	0.208333	0.375	0.270833	0.392857	0.375	0.25	0.262712	0.328125	0.4375	0.270833	0.323944	0.254902	0.208333	0.3125	0.490196	0.229167	0.393443	0.204082	0.118644	0.438596	0.270833	0.222222	0.354167	0.229167	0.25	0.166667	
D00136	0.302326	0.325581	0.216667	0.212766	0.395349	0.230769	0.26	0.333333	1.0	0.302326	0.22807	0.348837	0.293103	0.290909	0.46	0.44186	0.465116	0.348837	0.534884	0.612245	0.255814	0.511628	0.255814	0.534884	0.290598	0.255319	0.209302	0.27907	0.309091	0.273973	0.465116	0.209302	0.511628	0.534884	0.44186	0.258065	0.534884	0.333333	0.325581	0.245614	0.255814	0.425532	0.347826	0.288462	0.232558	0.268293	0.22619	0.325581	0.511628	0.534884	0.348837	0.418605	0.44186	0.348837	0.266667	0.325581	0.44186	0.413043	0.395349	0.348837	0.333333	0.333333	0.363636	0.436364	0.209302	0.209302	0.27907	0.416667	0.232558	0.255814	0.464286	0.488372	0.511628	0.418605	0.341176	0.232558	0.348837	0.245902	0.297872	0.382979	0.33871	0.511628	0.357143	0.297872	0.418605	0.404255	0.440678	0.232558	0.295455	0.3125	0.365385	0.217949	0.450704	0.357143	0.283333	0.42029	0.316667	0.465116	0.268657	0.207207	0.387755	0.27907	0.488372	0.213115	0.534884	0.275	0.232558	0.391304	0.261538	0.372549	0.30137	0.372093	0.302326	0.255814	0.26	0.319149	0.27907	0.35	0.465116	0.209302	0.333333	0.378788	0.38806	0.266667	0.328125	0.311111	0.434783	0.465116	0.333333	0.54902	0.223684	0.465116	0.325581	0.44186	0.39726	0.27907	0.324324	0.26087	0.38	0.244444	0.431034	0.209302	0.395349	0.442857	0.388889	0.302326	0.27907	0.465116	0.268657	0.276316	0.255814	0.37931	0.396226	0.415584	0.252632	0.462687	0.310345	0.339286	0.349206	0.465116	0.381818	0.395349	0.341772	0.176471	0.251799	0.209302	0.232558	0.377778	0.348837	0.581395	0.418605	0.297872	0.232558	0.403846	0.316667	0.325581	0.488372	0.302326	0.465116	0.488372	0.302326	0.279412	0.418605	0.395349	0.231884	0.233766	0.325581	0.302326	0.375	0.218182	0.246154	0.476923	0.467742	0.302326	0.243243	0.15	0.418605	0.232558	0.55814	0.372093	0.446429	0.581395	0.511628	0.177966	0.453125	0.23913	0.232558	0.422535	0.372549	0.302326	0.465116	0.372549	0.418605	0.245902	0.367347	0.322034	0.263158	0.255814	0.382716	0.348837	0.325581	0.395349	0.232558	
D00139	0.28	0.266667	0.116667	0.085106	0.28	0.107692	0.22	0.1875	0.302326	1.0	0.122807	0.444444	0.327586	0.127273	0.36	0.333333	0.32	0.372093	0.548387	0.346939	0.28	0.333333	0.142857	0.296296	0.153846	0.191489	0.236842	0.08	0.309091	0.109589	0.325581	0.423077	0.258065	0.375	0.3125	0.241935	0.25	0.304348	0.365854	0.122807	0.170732	0.297872	0.282609	0.230769	0.146341	0.162602	0.142857	0.297297	0.4	0.125	0.4375	0.275862	0.324324	0.466667	0.244444	0.206897	0.333333	0.282609	0.275862	0.366667	0.22807	0.22807	0.327273	0.236364	0.0	0.258065	0.428571	0.145833	0.08	0.166667	0.267857	0.3	0.275862	0.264706	0.176471	0.24	0.185185	0.147541	0.361702	0.361702	0.33871	0.361111	0.214286	0.234043	0.309524	0.191489	0.220339	0.162791	0.25	0.395833	0.211538	0.089744	0.197183	0.257143	0.316667	0.202899	0.166667	0.258065	0.156716	0.072072	0.22449	0.28	0.166667	0.122951	0.5	0.125	0.261905	0.173913	0.123077	0.196078	0.178082	0.259259	0.333333	0.222222	0.3	0.212766	0.151515	0.183333	0.352941	0.074074	0.311111	0.287879	0.223881	0.266667	0.1875	0.288889	0.282609	0.371429	0.277778	0.333333	0.092105	0.28125	0.103448	0.259259	0.246575	0.21875	0.175676	0.15942	0.28	0.355556	0.258621	0.309524	0.266667	0.185714	0.277778	0.236842	0.45	0.277778	0.179104	0.144737	0.104651	0.258621	0.283019	0.194805	0.115789	0.208955	0.172414	0.214286	0.253968	0.275862	0.163636	0.258065	0.227848	0.098039	0.143885	0.074074	0.12	0.177778	0.225	0.472222	0.272727	0.234043	0.333333	0.288462	0.216667	0.296296	0.317073	0.358974	0.297297	0.290323	0.481481	0.147059	0.378378	0.384615	0.101449	0.155844	0.230769	0.351351	0.354167	0.127273	0.107692	0.215385	0.306452	0.28	0.18018	0.095455	0.257143	0.133333	0.266667	0.325	0.267857	0.272727	0.382353	0.127119	0.21875	0.152174	0.428571	0.267606	0.294118	0.16	0.275862	0.176471	0.322581	0.180328	0.408163	0.237288	0.22807	0.16	0.246914	0.236842	0.285714	0.351351	0.371429	
