data	D00049	D00059	D00079	D00094	D00095	D00106	D00110	D00113	D00136	D00139	D00180	D00225	D00227	D00232	D00234	D00235	D00241	D00255	D00270	D00274	D00281	D00283	D00295	D00300	D00301	D00306	D00318	D00332	D00336	D00356	D00364	D00371	D00380	D00394	D00397	D00400	D00410	D00411	D00415	D00419	D00422	D00426	D00432	D00437	D00440	D00442	D00443	D00451	D00454	D00465	D00480	D00483	D00493	D00494	D00498	D00499	D00503	D00509	D00513	D00514	D00520	D00521	D00522	D00523	D00524	D00525	D00528	D00540	D00542	D00559	D00560	D00563	D00574	D00598	D00601	D00604	D00606	D00607	D00609	D00613	D00627	D00632	D00635	D00645	D00646	D00665	D00666	D00673	D00674	D00675	D00676	D00682	D00683	D00684	D00687	D00688	D00715	D00726	D00760	D00765	D00769	D00775	D00779	D00780	D00790	D00837	D00838	D00845	D00954	D00965	D00987	D00996	D01020	D01022	D01024	D01051	D01071	D01103	D01118	D01126	D01164	D01227	D01236	D01242	D01269	D01295	D01297	D01324	D01332	D01346	D01352	D01358	D01386	D01390	D01441	D01454	D01462	D01603	D01652	D01692	D01699	D01712	D01713	D01717	D01745	D01782	D01828	D01871	D01891	D01925	D01964	D01965	D01973	D01994	D02007	D02066	D02070	D02076	D02082	D02147	D02149	D02150	D02234	D02237	D02250	D02278	D02279	D02327	D02338	D02340	D02342	D02349	D02354	D02356	D02357	D02358	D02359	D02361	D02374	D02566	D02578	D02588	D02614	D02671	D02721	D02725	D02826	D02884	D02910	D03165	D03187	D03210	D03274	D03365	D03415	D03442	D03490	D03503	D03621	D03642	D03654	D03858	D03879	D03880	D03881	D03966	D04006	D04034	D04040	D04375	D04625	D04716	D04979	D05113	D05129	D05246	D05312	D05341	D05740	D05792	D05938	D06056	D06396	
D00049	1.0	0.090909	0.036364	0.0	0.146667	0.0	0.166667	0.166667	0.153846	0.095238	0.04	0.070175	0.01626	0.036364	0.020408	0.085714	0.192308	0.027027	0.039216	0.138889	0.074074	0.04386	0.0	0.089744	0.04751	0.040816	0.04878	0.0	0.051064	0.090909	0.178862	0.030303	0.216667	0.041667	0.215054	0.053763	0.4	0.083051	0.113636	0.026667	0.042553	0.081633	0.044444	0.088435	0.0	0.020548	0.016667	0.091667	0.05	0.15	0.041667	0.044444	0.033333	0.044444	0.043478	0.043011	0.03252	0.094203	0.058824	0.085714	0.060606	0.034722	0.057692	0.062893	0.0	0.0	0.141026	0.122449	0.0	0.0	0.076923	0.190476	0.233333	0.05	0.022989	0.068966	0.0625	0.022222	0.140152	0.061224	0.02	0.075269	0.094203	0.048611	0.062016	0.137681	0.091954	0.040816	0.078014	0.162963	0.107843	0.0	0.075556	0.112121	0.156818	0.065079	0.132075	0.181818	0.037281	0.025	0.118056	0.064516	0.083333	0.030744	0.036036	0.057971	0.047619	0.060109	0.035714	0.134615	0.048309	0.135802	0.060606	0.023256	0.044872	0.140741	0.038095	0.077381	0.039216	0.0	0.070922	0.096774	0.090152	0.039548	0.073446	0.052632	0.138211	0.038095	0.075472	0.142857	0.0	0.077778	0.129032	0.135802	0.085859	0.052632	0.062802	0.047619	0.091503	0.078014	0.08	0.020408	0.044444	0.063492	0.044872	0.056911	0.138211	0.037037	0.087719	0.014706	0.071429	0.061111	0.098039	0.057143	0.011594	0.07907	0.134615	0.035714	0.039548	0.11828	0.083333	0.11828	0.017391	0.026316	0.018987	0.0	0.0	0.150794	0.093023	0.034188	0.052632	0.181818	0.059829	0.047619	0.087719	0.060606	0.10101	0.171429	0.05	0.08046	0.154762	0.021505	0.092593	0.03252	0.0	0.053846	0.045455	0.022727	0.148148	0.036232	0.025157	0.10119	0.114074	0.217391	0.010582	0.023485	0.04878	0.0	0.08046	0.20098	0.083333	0.075269	0.08046	0.035897	0.044025	0.0	0.03125	0.126667	0.027211	0.0	0.126437	0.050725	0.043011	0.072727	0.113636	0.021505	0.078431	0.0	0.042424	0.045045	0.077519	0.047619	0.075	
D00059	0.090909	1.0	0.104167	0.05	0.286869	0.102564	0.125	0.127273	0.072727	0.063492	0.112994	0.031447	0.0	0.060606	0.043716	0.083333	0.184211	0.04	0.049645	0.072917	0.075	0.032051	0.0	0.03252	0.079592	0.14881	0.017857	0.081081	0.04918	0.070149	0.056497	0.0	0.085106	0.051852	0.148148	0.20202	0.056911	0.06982	0.067797	0.064516	0.067797	0.030769	0.104938	0.030303	0.016129	0.051587	0.052582	0.054545	0.037037	0.071429	0.028986	0.054264	0.044025	0.030303	0.115152	0.0	0.04321	0.130952	0.06383	0.083333	0.018779	0.086207	0.107527	0.065657	0.0	0.177778	0.023256	0.061538	0.0	0.019608	0.071795	0.051852	0.085106	0.076923	0.154098	0.071429	0.021277	0.016949	0.057377	0.172619	0.101695	0.208772	0.102339	0.066667	0.046784	0.087432	0.120773	0.065574	0.048387	0.069892	0.092308	0.083333	0.130864	0.116915	0.076111	0.081132	0.072464	0.039216	0.032584	0.045788	0.114754	0.093023	0.039216	0.056637	0.046667	0.116228	0.276515	0.085648	0.057214	0.089552	0.116883	0.270476	0.195122	0.102564	0.138889	0.088889	0.0	0.018265	0.027778	0.25641	0.054645	0.069264	0.040437	0.018018	0.120773	0.038462	0.022222	0.027211	0.085859	0.138889	0.089041	0.05303	0.239316	0.270476	0.09188	0.125	0.12987	0.048387	0.02451	0.010417	0.091398	0.0	0.054264	0.12963	0.0199	0.102564	0.173077	0.026667	0.057143	0.130631	0.08375	0.142157	0.116402	0.107595	0.118721	0.14183	0.155914	0.098958	0.108586	0.208333	0.325185	0.242735	0.024859	0.019231	0.058712	0.097561	0.131579	0.074713	0.12963	0.044872	0.08	0.166667	0.024691	0.083333	0.119403	0.139535	0.169841	0.044025	0.076923	0.030303	0.077519	0.142157	0.144928	0.04321	0.093897	0.051948	0.052632	0.0	0.05914	0.052427	0.05641	0.064815	0.074444	0.05	0.03956	0.103465	0.096154	0.0	0.054264	0.078431	0.094444	0.028986	0.22037	0.228307	0.274359	0.153333	0.0	0.074359	0.133333	0.0	0.290741	0.050847	0.02963	0.098485	0.10119	0.104762	0.104839	0.107143	0.054726	0.090278	0.05848	0.074074	0.017857	
D00079	0.036364	0.104167	1.0	0.087719	0.068966	0.528016	0.223881	0.140845	0.059211	0.015385	0.798611	0.0	0.008772	0.134615	0.011765	0.042857	0.064516	0.042254	0.0	0.022727	0.0	0.0	0.0	0.0	0.097953	0.126222	0.026316	0.105455	0.02249	0.287143	0.037037	0.014706	0.028986	0.0	0.028169	0.141667	0.031746	0.015986	0.073593	0.460819	0.0	0.029412	0.152381	0.015326	0.0	0.037736	0.129218	0.008547	0.0	0.049351	0.0	0.046875	0.0	0.0	0.096889	0.044271	0.0	0.02381	0.044118	0.038647	0.010753	0.044715	0.034091	0.033708	0.0	0.166667	0.010417	0.052941	0.0	0.038647	0.010989	0.0	0.058824	0.040541	0.112602	0.0	0.029851	0.03663	0.02381	0.023529	0.035714	0.0	0.099567	0.02381	0.048246	0.138528	0.199187	0.0	0.019841	0.023256	0.089286	0.583333	0.041152	0.044803	0.059233	0.04329	0.119048	0.027778	0.04893	0.162202	0.118143	0.0	0.010959	0.064844	0.023148	0.140293	0.110628	0.086081	0.212162	0.021739	0.153846	0.066667	0.029412	0.0	0.043137	0.035714	0.030918	0.070076	0.0	0.10582	0.055556	0.006472	0.015873	0.010417	0.180723	0.022523	0.029167	0.0	0.108434	0.013158	0.635753	0.0	0.120219	0.03125	0.025397	0.041667	0.146953	0.023529	0.045977	0.02381	0.080321	0.011905	0.0	0.12037	0.034483	0.019481	0.051282	0.021127	0.273516	0.118841	0.276305	0.02807	0.100402	0.05719	0.167059	0.042194	0.1375	0.115226	0.043956	0.029412	0.162857	0.0625	0.00813	0.035851	0.039394	0.145833	0.151235	0.105263	0.101351	0.0	0.041667	0.046948	0.0	0.017647	0.146341	0.044776	0.091282	0.054795	0.040541	0.023077	0.0	0.137597	0.057971	0.01039	0.515848	0.279487	0.048246	0.012658	0.029762	0.063277	0.4625	0.017361	0.015504	0.081871	0.03876	0.099722	0.04	0.0	0.0	0.02	0.082305	0.011765	0.0	0.123992	0.118143	0.176768	0.030303	0.021978	0.039095	0.0	0.030303	0.063248	0.014925	0.133333	0.0375	0.03125	0.140351	0.116848	0.021978	0.040241	0.051282	0.010256	0.033333	
D00094	0.0	0.05	0.087719	1.0	0.0	0.08658	0.0	0.0	0.028169	0.0	0.072407	0.0	0.0	0.032922	0.0	0.031746	0.054545	0.015385	0.044444	0.025	0.0	0.0	0.0	0.030864	0.016807	0.054795	0.029412	0.17037	0.02193	0.054878	0.0	0.0	0.015873	0.028249	0.0	0.073643	0.017857	0.021978	0.022523	0.04381	0.031963	0.012658	0.027778	0.052632	0.031963	0.029703	0.019157	0.024155	0.0	0.05314	0.011111	0.035088	0.0	0.011494	0.071429	0.065476	0.0	0.012987	0.032787	0.0	0.019841	0.035556	0.0375	0.026749	0.028736	0.0	0.0	0.088889	0.0	0.0	0.0	0.0	0.04918	0.029851	0.050206	0.0	0.0	0.039614	0.0	0.012821	0.039474	0.0	0.08216	0.02193	0.018779	0.142512	0.096386	0.031111	0.02193	0.021368	0.07265	0.072464	0.031532	0.042636	0.018182	0.033333	0.011628	0.015385	0.029126	0.048077	0.0125	0.0	0.026042	0.028205	0.042328	0.042105	0.009524	0.043561	0.024096	0.036145	0.017007	0.0	0.033333	0.024155	0.020833	0.053333	0.061111	0.023256	0.027322	0.050847	0.012987	0.028674	0.0	0.007576	0.05814	0.0625	0.0	0.015873	0.089744	0.0	0.078431	0.0	0.0	0.035714	0.010101	0.058201	0.088768	0.012821	0.0	0.035556	0.0	0.0	0.0	0.032609	0.0	0.036765	0.057143	0.015625	0.047059	0.0	0.053819	0.0	0.0	0.018519	0.021053	0.032407	0.02381	0.02439	0.071138	0.033333	0.027778	0.016393	0.0	0.029982	0.036508	0.054545	0.076923	0.096618	0.062802	0.0	0.05291	0.05291	0.024876	0.082192	0.011364	0.063218	0.0	0.040404	0.024876	0.035088	0.016949	0.0	0.0	0.02451	0.113169	0.057407	0.0	0.014085	0.025974	0.022222	0.065789	0.054902	0.034632	0.0	0.025	0.014212	0.029412	0.0	0.0	0.0	0.0	0.028249	0.0	0.032609	0.025	0.028571	0.0	0.03252	0.084507	0.0	0.065476	0.03653	0.0	0.0	0.027397	0.045977	0.020833	0.078571	0.03252	0.021875	0.027778	0.009524	0.029412	
D00095	0.146667	0.286869	0.068966	0.0	1.0	0.055932	0.156463	0.152778	0.069444	0.07619	0.075472	0.059259	0.0	0.061111	0.030303	0.071429	0.141414	0.022727	0.058333	0.076023	0.090909	0.037037	0.0	0.070707	0.060573	0.136667	0.0	0.0	0.036364	0.101695	0.044025	0.0	0.119658	0.034188	0.081301	0.048309	0.080808	0.051471	0.12	0.080247	0.056604	0.028736	0.104167	0.033898	0.0	0.012195	0.04359	0.0625	0.042553	0.06	0.034188	0.036036	0.050725	0.036036	0.163043	0.0	0.049645	0.116667	0.04878	0.216216	0.037037	0.049383	0.039548	0.038251	0.0	0.095238	0.018519	0.050847	0.0	0.046512	0.056497	0.061404	0.119658	0.065217	0.126437	0.085714	0.0	0.0	0.052469	0.124359	0.035714	0.222917	0.049383	0.042424	0.144928	0.059524	0.065657	0.054545	0.054545	0.072727	0.04918	0.04955	0.135913	0.048718	0.046667	0.079433	0.112994	0.062016	0.014683	0.040161	0.070175	0.111111	0.069767	0.055556	0.054264	0.116667	0.158915	0.018779	0.044809	0.076503	0.081081	0.9	0.105263	0.067376	0.115152	0.074074	0.0	0.068783	0.03252	0.02439	0.042424	0.056338	0.062264	0.0199	0.049751	0.044444	0.025157	0.031746	0.026455	0.130952	0.044279	0.063063	0.276042	0.357143	0.019481	0.093023	0.038462	0.023392	0.044444	0.029762	0.033898	0.0	0.036036	0.09204	0.022222	0.048611	0.066667	0.031008	0.112022	0.03653	0.098174	0.116402	0.086207	0.033755	0.052511	0.148148	0.137427	0.077778	0.035354	0.256566	0.436937	0.68	0.015094	0.0	0.011364	0.114286	0.125	0.044025	0.08	0.051852	0.068182	0.183761	0.050725	0.09434	0.131148	0.105263	0.377778	0.059259	0.065217	0.064815	0.114286	0.032338	0.455914	0.049645	0.053333	0.10049	0.152174	0.0	0.080247	0.061856	0.052632	0.071795	0.101923	0.166667	0.009368	0.046795	0.086957	0.0	0.064815	0.083333	0.035088	0.061404	0.237778	0.161151	0.240816	0.081633	0.0	0.087135	0.042424	0.0	0.333333	0.125	0.035088	0.110169	0.050314	0.034314	0.118182	0.0	0.032258	0.037879	0.025641	0.085106	0.020408	
D00106	0.0	0.102564	0.528016	0.08658	0.055932	1.0	0.118468	0.094222	0.01875	0.0	0.494499	0.0	0.0	0.092276	0.011628	0.042254	0.063492	0.041667	0.0	0.0	0.0	0.0	0.0	0.0	0.076836	0.102597	0.012821	0.084211	0.009302	0.193074	0.024096	0.0	0.006944	0.0	0.0	0.091039	0.0	0.00495	0.035	0.251961	0.024096	0.017241	0.111872	0.0	0.024096	0.03211	0.094636	0.0	0.0	0.0225	0.0	0.046154	0.0	0.0	0.068831	0.022388	0.0	0.011628	0.043478	0.028095	0.0	0.031746	0.033708	0.01087	0.0	0.150265	0.0	0.028409	0.0	0.01831	0.01087	0.0	0.013889	0.04	0.108835	0.0	0.0	0.023214	0.0	0.011494	0.035294	0.0	0.057613	0.011628	0.038528	0.098765	0.151163	0.023529	0.0	0.0	0.056818	0.459202	0.028112	0.03125	0.033613	0.029536	0.063831	0.0	0.017544	0.116875	0.054902	0.0	0.010811	0.041471	0.013514	0.139493	0.092958	0.036082	0.153044	0.0	0.079252	0.054098	0.028986	0.0	0.028352	0.0	0.011111	0.030435	0.0	0.104167	0.017647	0.0	0.0	0.0	0.120455	0.026667	0.0	0.0	0.105882	0.0	0.502488	0.0	0.097354	0.030769	0.009259	0.041096	0.09899	0.011494	0.010989	0.0	0.04023	0.0	0.0	0.099642	0.0	0.019231	0.0375	0.020833	0.202137	0.113121	0.194757	0.020486	0.069767	0.023364	0.105018	0.028807	0.083137	0.111382	0.035842	0.028986	0.149765	0.050769	0.01626	0.021171	0.033923	0.130994	0.135758	0.0625	0.057692	0.0	0.041096	0.027027	0.0	0.017442	0.064794	0.044118	0.062189	0.012987	0.04	0.022727	0.0	0.105714	0.047143	0.010256	0.677401	0.181569	0.023077	0.0	0.005747	0.036751	0.266633	0.0	0.0	0.065517	0.038314	0.065418	0.039474	0.0	0.0	0.0	0.041176	0.011594	0.0	0.117532	0.114167	0.19641	0.0	0.0	0.042683	0.0	0.029851	0.088312	0.014706	0.092857	0.02439	0.030928	0.0975	0.114362	0.010753	0.039683	0.012195	0.010127	0.00641	
D00110	0.166667	0.125	0.223881	0.0	0.156463	0.118468	1.0	0.395062	0.09596	0.060606	0.262295	0.084656	0.014493	0.195238	0.068493	0.047619	0.092593	0.03288	0.055556	0.093333	0.049383	0.068783	0.0	0.113333	0.215464	0.159204	0.024155	0.0	0.054054	0.328125	0.091787	0.010929	0.111494	0.045977	0.140351	0.131687	0.104575	0.084314	0.146465	0.243386	0.026667	0.075556	0.161458	0.103604	0.0	0.036281	0.181279	0.074627	0.076923	0.123077	0.045977	0.05	0.050505	0.047619	0.136364	0.033898	0.049751	0.109524	0.055556	0.132184	0.080169	0.064815	0.075325	0.08658	0.016667	0.216049	0.054545	0.093333	0.0	0.076503	0.105263	0.076023	0.109195	0.029412	0.075	0.047619	0.051724	0.009132	0.107143	0.048246	0.044444	0.076023	0.045045	0.068493	0.164021	0.082192	0.202703	0.025974	0.067568	0.117371	0.078632	0.143411	0.042009	0.100412	0.099524	0.034286	0.273632	0.087432	0.050654	0.14687	0.212121	0.033898	0.080645	0.114124	0.05291	0.139147	0.16612	0.081395	0.253535	0.079167	0.274262	0.150327	0.032787	0.014085	0.108108	0.140097	0.031746	0.140351	0.044444	0.087719	0.059361	0.094697	0.091304	0.039216	0.182222	0.129944	0.07619	0.061111	0.094017	0.151412	0.151477	0.065476	0.258503	0.066667	0.038194	0.030303	0.122222	0.044444	0.092105	0.04	0.147343	0.008658	0.047619	0.254505	0.060606	0.044118	0.093137	0.060109	0.287745	0.130159	0.188492	0.131687	0.202899	0.054983	0.12381	0.043192	0.333333	0.07173	0.034884	0.062147	0.130769	0.139394	0.031925	0.010101	0.034188	0.090909	0.096154	0.121393	0.046948	0.067708	0.046154	0.114754	0.061538	0.030303	0.261905	0.032787	0.151515	0.114754	0.029412	0.066667	0.111111	0.143162	0.141243	0.049751	0.125738	0.218376	0.151042	0.009259	0.112676	0.127726	0.217172	0.076305	0.095775	0.136054	0.014881	0.13389	0.028986	0.0	0.106918	0.122404	0.151741	0.083333	0.078788	0.135268	0.123288	0.193548	0.028249	0.102222	0.030702	0.028736	0.064327	0.14359	0.046784	0.187324	0.064815	0.049808	0.180882	0.0	0.024096	0.05291	0.083333	0.028571	0.034314	
D00113	0.166667	0.127273	0.140845	0.0	0.152778	0.094222	0.395062	1.0	0.074627	0.067901	0.169231	0.068783	0.009804	0.292308	0.040541	0.031746	0.074074	0.03341	0.056497	0.074561	0.050314	0.05291	0.0	0.071895	0.404819	0.161616	0.014493	0.019231	0.032432	0.307179	0.061033	0.016667	0.094828	0.046784	0.267974	0.113821	0.098039	0.06549	0.136364	0.139303	0.027027	0.052632	0.140625	0.111111	0.0	0.071685	0.174886	0.087179	0.061538	0.15873	0.046784	0.050909	0.051282	0.048485	0.094527	0.022989	0.050505	0.069444	0.056497	0.128655	0.058333	0.041096	0.048718	0.068376	0.0	0.169697	0.030303	0.205882	0.0	0.072222	0.077922	0.09697	0.103448	0.029851	0.099567	0.048485	0.083333	0.023474	0.071759	0.039474	0.031111	0.04023	0.074074	0.059361	0.180328	0.082192	0.177778	0.026316	0.078704	0.117371	0.094298	0.114943	0.067619	0.062249	0.115459	0.039614	0.29798	0.081967	0.037582	0.134903	0.149758	0.034483	0.081967	0.121652	0.053763	0.167871	0.155191	0.087302	0.210784	0.075	0.213992	0.146667	0.068966	0.028986	0.114155	0.119048	0.067797	0.146667	0.063218	0.070175	0.069444	0.079545	0.061429	0.043651	0.177778	0.047619	0.067633	0.044444	0.090909	0.16092	0.120417	0.08642	0.238095	0.067901	0.027778	0.030769	0.111111	0.04955	0.087719	0.063927	0.171642	0.013158	0.048485	0.18547	0.065789	0.029412	0.083333	0.043716	0.228638	0.134146	0.178431	0.14346	0.157143	0.059649	0.123413	0.048571	0.563636	0.096491	0.027132	0.10119	0.158602	0.135802	0.022535	0.015385	0.06734	0.08642	0.091503	0.121393	0.072464	0.052083	0.030769	0.140351	0.0625	0.030702	0.244131	0.033333	0.107143	0.10929	0.014706	0.067901	0.092593	0.150877	0.118644	0.050505	0.085597	0.171667	0.142857	0.014085	0.107981	0.135849	0.12381	0.059524	0.08169	0.131944	0.015069	0.09684	0.029412	0.0	0.067901	0.112022	0.176923	0.065476	0.041667	0.122428	0.12037	0.191257	0.016949	0.087719	0.017544	0.02924	0.065476	0.188172	0.047619	0.221256	0.07619	0.050388	0.234872	0.0	0.028455	0.071038	0.078431	0.028986	0.044776	
D00136	0.153846	0.072727	0.059211	0.028169	0.069444	0.01875	0.09596	0.074627	1.0	0.065359	0.060362	0.14881	0.010256	0.065789	0.184127	0.064327	0.212121	0.02623	0.163399	0.368421	0.106383	0.179012	0.0	0.120567	0.192096	0.032407	0.030769	0.056738	0.165079	0.041667	0.185792	0.017544	0.153595	0.054545	0.179487	0.102881	0.173913	0.130769	0.085859	0.041583	0.043478	0.197917	0.019324	0.036036	0.013889	0.058423	0.030488	0.092896	0.101695	0.183908	0.035714	0.037037	0.25641	0.037037	0.039216	0.104575	0.251572	0.131313	0.022989	0.064327	0.102222	0.120202	0.075676	0.145238	0.0	0.0	0.052288	0.130435	0.0	0.0	0.229744	0.08805	0.262411	0.077778	0.05	0.102041	0.09434	0.075132	0.163542	0.114428	0.04537	0.108974	0.102941	0.066667	0.083333	0.225806	0.16	0.042254	0.133333	0.134328	0.104167	0.015789	0.079412	0.108333	0.096078	0.051515	0.064103	0.24	0.041751	0.06	0.079812	0.070513	0.121212	0.050136	0.154321	0.103448	0.05291	0.175439	0.051282	0.118721	0.071161	0.066667	0.054545	0.00995	0.048889	0.195767	0.034483	0.128889	0.090909	0.017241	0.309942	0.095238	0.158065	0.04878	0.073171	0.141667	0.150538	0.051724	0.065789	0.133333	0.017045	0.089744	0.054545	0.066667	0.126275	0.086207	0.090909	0.041096	0.133333	0.051643	0.15098	0.013699	0.037037	0.186147	0.144928	0.10929	0.098958	0.068966	0.066667	0.01087	0.053763	0.105485	0.106481	0.191057	0.030769	0.081818	0.064935	0.0	0.084388	0.061728	0.049751	0.061728	0.039216	0.020036	0.054882	0.018182	0.019231	0.135417	0.129032	0.213836	0.044444	0.087719	0.193939	0.141414	0.099567	0.048485	0.123457	0.178571	0.026042	0.113333	0.126667	0.015504	0.136905	0.05291	0.01938	0.055556	0.019608	0.014706	0.158974	0.056548	0.104762	0.141553	0.190476	0.026667	0.012821	0.073634	0.076503	0.0	0.184397	0.277778	0.155556	0.146667	0.113333	0.065891	0.076577	0.014493	0.017857	0.223377	0.082126	0.056604	0.084967	0.068627	0.055556	0.083333	0.063725	0.043651	0.044444	0.029304	0.074561	0.034444	0.245614	0.05291	0.124294	
D00139	0.095238	0.063492	0.015385	0.0	0.07619	0.0	0.060606	0.067901	0.065359	1.0	0.016667	0.056738	0.027211	0.015385	0.091975	0.111111	0.072072	0.117073	0.089431	0.103448	0.07619	0.057971	0.0	0.066667	0.019865	0.046784	0.019608	0.0	0.087654	0.05641	0.067901	0.04878	0.075397	0.058333	0.093023	0.066667	0.074074	0.081373	0.067901	0.011111	0.048485	0.063218	0.091503	0.056497	0.0	0.025	0.007143	0.090278	0.055556	0.071895	0.058333	0.142857	0.078014	0.061404	0.049383	0.01626	0.076389	0.059524	0.108333	0.060606	0.068783	0.052976	0.066111	0.076503	0.0	0.0	0.036036	0.061111	0.0	0.0	0.047849	0.066667	0.087302	0.101449	0.035354	0.072072	0.04878	0.018519	0.101235	0.083333	0.052047	0.058333	0.059524	0.084848	0.051282	0.063218	0.068627	0.046784	0.078788	0.081871	0.068306	0.0	0.060606	0.049254	0.08303	0.037736	0.05641	0.036232	0.040784	0.011111	0.050847	0.068376	0.059259	0.028274	0.083333	0.060606	0.053333	0.046948	0.015152	0.057292	0.065789	0.072072	0.119658	0.012821	0.116959	0.083333	0.014815	0.050505	0.055556	0.0	0.147436	0.084507	0.058788	0.065657	0.048309	0.038298	0.062893	0.054264	0.058201	0.073759	0.0	0.059829	0.065041	0.072072	0.031624	0.057971	0.042194	0.05848	0.065574	0.084848	0.064407	0.035088	0.061404	0.050228	0.091954	0.053333	0.152778	0.05303	0.087179	0.00641	0.07265	0.089552	0.071038	0.07265	0.005063	0.062893	0.057292	0.015152	0.054726	0.065041	0.049383	0.065041	0.02716	0.021277	0.023295	0.0	0.0	0.067901	0.070513	0.103704	0.106061	0.074074	0.070922	0.077381	0.054726	0.065041	0.054264	0.094203	0.055556	0.061404	0.215686	0.009259	0.098485	0.076389	0.0	0.071759	0.051282	0.038462	0.123457	0.033003	0.010582	0.04902	0.053801	0.047619	0.061002	0.028746	0.099291	0.0	0.061404	0.060284	0.066667	0.058333	0.061404	0.031532	0.037634	0.0	0.05	0.049539	0.046784	0.025	0.068376	0.042424	0.059829	0.086022	0.163265	0.05314	0.111111	0.0	0.05291	0.059259	0.070513	0.053333	0.076389	
