data	D00035	D00110	D00136	D00195	D00219	D00225	D00227	D00228	D00234	D00252	D00274	D00283	D00293	D00294	D00303	D00319	D00326	D00329	D00331	D00332	D00335	D00336	D00338	D00340	D00345	D00349	D00351	D00354	D00358	D00364	D00367	D00373	D00379	D00380	D00392	D00394	D00418	D00437	D00438	D00451	D00456	D00464	D00474	D00477	D00480	D00495	D00499	D00504	D00512	D00513	D00519	D00521	D00524	D00528	D00530	D00533	D00536	D00537	D00538	D00539	D00542	D00543	D00544	D00545	D00546	D00547	D00548	D00549	D00550	D00552	D00553	D00560	D00563	D00574	D00593	D00594	D00607	D00611	D00615	D00616	D00617	D00618	D00619	D00629	D00631	D00633	D00636	D00638	D00639	D00640	D00642	D00647	D00648	D00649	D00650	D00651	D00654	D00656	D00658	D00677	D00678	D00694	D00697	D00704	D00708	D00709	D00711	D00726	D00732	D00733	D00735	D00738	D00739	D00740	D00741	D00759	D00760	D00761	D00765	D00771	D00775	D00779	D00791	D00798	D00799	D00809	D00812	D00816	D00823	D00831	D00960	D00963	D00964	D01071	D01108	D01111	D01118	D01242	D01243	D01253	D01256	D01275	D01287	D01295	D01350	D01448	D01450	D01453	D01575	D01599	D01603	D01712	D01768	D01799	D01828	D01854	D01969	D02041	D02086	D02087	D02088	D02092	D02098	D02101	D02163	D02173	D02204	D02207	D02234	D02237	D02253	D02261	D02262	D02272	D02347	D02356	D02360	D02362	D02409	D02461	D02485	D02546	D02566	D02630	D02914	D03037	D03180	D03274	D03365	D03450	D03580	D03742	D03826	D03830	D03878	D03991	D04034	D04048	D04370	D04790	D04985	D04999	D05024	D05077	D05156	D05453	D05458	D05461	D06106	D06172	
D00035	1.0	0.230159	0.041667	0.115385	0.049206	0.0	0.014815	0.0	0.037736	0.0625	0.035088	0.0	0.0	0.018018	0.0	0.046667	0.0	0.020408	0.014493	0.0	0.039744	0.039744	0.0	0.012195	0.034014	0.044025	0.107692	0.0	0.055556	0.081633	0.0	0.076923	0.0625	0.065789	0.066667	0.0	0.025641	0.042424	0.036458	0.014184	0.0	0.0	0.057143	0.052632	0.0	0.1	0.038095	0.049383	0.054054	0.0	0.011628	0.057692	0.0	0.020202	0.0	0.040404	0.055556	0.078788	0.020202	0.071429	0.0	0.0	0.0	0.0	0.0	0.0	0.078947	0.0	0.0	0.107143	0.096774	0.051724	0.027027	0.051282	0.03388	0.105263	0.020408	0.03125	0.032804	0.135802	0.033333	0.039548	0.0	0.039548	0.021739	0.0	0.035714	0.086207	0.0	0.076923	0.088889	0.015152	0.051075	0.047619	0.008772	0.009259	0.010417	0.013889	0.010204	0.166667	0.0	0.035088	0.051852	0.0	0.090909	0.028571	0.0	0.04878	0.078947	0.045455	0.105263	0.081081	0.051282	0.081081	0.076923	0.064893	0.028807	0.047619	0.107456	0.0	0.0	0.04878	0.029762	0.073171	0.036364	0.0	0.0625	0.0	0.0	0.111111	0.0	0.166667	0.0	0.034188	0.026316	0.183673	0.0	0.015385	0.090909	0.047619	0.009434	0.064815	0.175	0.0	0.019524	0.057971	0.128205	0.019048	0.038462	0.056818	0.018182	0.018868	0.046512	0.0625	0.02	0.085057	0.0	0.14966	0.052632	0.068027	0.057143	0.033898	0.047619	0.056859	0.069652	0.069182	0.0	0.065217	0.013072	0.058333	0.026144	0.128931	0.081905	0.096517	0.029762	0.0	0.142857	0.150794	0.029412	0.08658	0.016667	0.154472	0.028571	0.0	0.025253	0.063492	0.039216	0.083333	0.066667	0.083333	0.070728	0.128788	0.051075	0.099034	0.055556	0.111111	0.087719	0.166667	0.173913	0.199346	0.03252	0.193548	0.101449	0.070922	0.074074	0.0	0.0	0.008772	0.04878	0.060606	
D00110	0.230159	1.0	0.09596	0.231841	0.125683	0.084656	0.014493	0.066667	0.068493	0.076923	0.093333	0.068783	0.109195	0.050847	0.077778	0.090476	0.087432	0.094527	0.082051	0.0	0.063063	0.054054	0.09596	0.073224	0.121212	0.101852	0.120482	0.044444	0.051724	0.091787	0.071038	0.065574	0.072043	0.111494	0.024691	0.045977	0.032258	0.103604	0.075397	0.074627	0.114754	0.090395	0.160256	0.111111	0.045977	0.037037	0.033898	0.12766	0.109091	0.055556	0.07619	0.064815	0.016667	0.054545	0.077295	0.153333	0.179487	0.138739	0.09434	0.025641	0.0	0.0	0.020408	0.0	0.0	0.019231	0.29932	0.071895	0.066667	0.173913	0.102564	0.105263	0.076023	0.109195	0.056225	0.144144	0.009132	0.0	0.113924	0.185185	0.076404	0.098291	0.029536	0.080169	0.11828	0.06	0.109589	0.040161	0.030303	0.066667	0.148918	0.0625	0.066667	0.052083	0.126852	0.137198	0.065686	0.028169	0.069565	0.289617	0.104478	0.088889	0.109375	0.0	0.163399	0.090909	0.134615	0.087432	0.142857	0.095238	0.071038	0.05	0.031746	0.145455	0.071038	0.143236	0.050654	0.093972	0.14687	0.039216	0.033898	0.080645	0.042735	0.063492	0.04329	0.045977	0.049383	0.048485	0.084656	0.117117	0.028169	0.285354	0.032787	0.031746	0.010753	0.333333	0.044444	0.039216	0.098765	0.092896	0.065753	0.153571	0.142077	0.129944	0.04189	0.069597	0.046875	0.052632	0.05787	0.067677	0.044444	0.008658	0.051282	0.072043	0.093137	0.169551	0.033333	0.385057	0.05	0.112745	0.052632	0.090909	0.052083	0.123577	0.059925	0.152174	0.0	0.139683	0.031925	0.010101	0.026667	0.181481	0.109921	0.137302	0.094595	0.030303	0.272727	0.20339	0.114706	0.227907	0.045267	0.129032	0.066667	0.029536	0.089412	0.042636	0.034483	0.095775	0.136054	0.05	0.13012	0.231638	0.125641	0.187302	0.156863	0.088542	0.102222	0.137566	0.299435	0.3	0.030769	0.153846	0.106061	0.116162	0.125926	0.105263	0.083333	0.04781	0.020513	0.054545	
D00136	0.041667	0.09596	1.0	0.017094	0.155556	0.14881	0.010256	0.10303	0.184127	0.08	0.368421	0.179012	0.2	0.14966	0.127778	0.097436	0.113095	0.232143	0.088889	0.056738	0.069608	0.165079	0.172414	0.074405	0.166667	0.037037	0.234234	0.09434	0.115385	0.185792	0.196078	0.10119	0.089286	0.153595	0.04	0.054545	0.022989	0.036036	0.04065	0.092896	0.067797	0.160256	0.142857	0.215278	0.035714	0.06	0.104575	0.059259	0.128205	0.022989	0.064972	0.120202	0.0	0.052288	0.111111	0.148936	0.117647	0.025316	0.039216	0.086957	0.0	0.0	0.0	0.0	0.0	0.0	0.117284	0.056738	0.107345	0.174603	0.066667	0.229744	0.08805	0.262411	0.109009	0.108108	0.075132	0.03268	0.072574	0.13242	0.069767	0.034188	0.137255	0.04329	0.105556	0.066667	0.154229	0.078947	0.0	0.068966	0.031373	0.191358	0.148359	0.103448	0.088095	0.085784	0.066138	0.067708	0.087302	0.085714	0.061538	0.151961	0.157895	0.020833	0.122449	0.018182	0.166667	0.24	0.210884	0.146199	0.12037	0.046784	0.104938	0.215278	0.173077	0.075585	0.041751	0.035739	0.06	0.106061	0.070513	0.121212	0.109524	0.097701	0.111111	0.054545	0.038462	0.037736	0.109195	0.04386	0.035354	0.033755	0.078788	0.034483	0.017241	0.089202	0.090909	0.04878	0.064103	0.24183	0.08209	0.06	0.041667	0.141667	0.004762	0.107143	0.040984	0.050314	0.043571	0.091667	0.041096	0.013699	0.114943	0.098214	0.098958	0.051029	0.125604	0.084507	0.111111	0.107692	0.036364	0.355932	0.125	0.021505	0.117886	0.031532	0.008929	0.046769	0.039216	0.020036	0.059701	0.034188	0.055556	0.054348	0.137255	0.141414	0.111111	0.05641	0.073232	0.144444	0.179104	0.014925	0.113333	0.521333	0.027451	0.256039	0.084967	0.190476	0.026667	0.086758	0.031915	0.078125	0.050813	0.109848	0.079812	0.129944	0.223377	0.045455	0.088235	0.050672	0.056497	0.12	0.166667	0.111111	0.017316	0.246377	0.028986	0.062653	0.105263	0.037736	
D00195	0.115385	0.231841	0.017094	1.0	0.027397	0.032407	0.0	0.088542	0.07265	0.067797	0.039216	0.062802	0.049751	0.030303	0.031111	0.024691	0.043478	0.057778	0.022222	0.0	0.024096	0.05	0.044444	0.014085	0.029915	0.036145	0.076087	0.029851	0.030303	0.029167	0.04902	0.075758	0.028169	0.028986	0.016393	0.046875	0.014493	0.035294	0.021053	0.054054	0.042254	0.034314	0.046875	0.029412	0.030769	0.0	0.0	0.053571	0.030303	0.066667	0.013699	0.045833	0.0	0.0	0.021097	0.04918	0.046154	0.128333	0.04918	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.104167	0.033898	0.046296	0.033898	0.066667	0.046512	0.098361	0.028986	0.021739	0.090361	0.0	0.0	0.021505	0.135833	0.023333	0.033708	0.048193	0.022222	0.027027	0.035088	0.043651	0.05303	0.062147	0.070707	0.308518	0.042254	0.014184	0.0	0.043651	0.03252	0.025974	0.025974	0.012658	0.124	0.038961	0.027132	0.012987	0.0	0.081967	0.05914	0.048387	0.013889	0.028986	0.061033	0.085859	0.044776	0.087179	0.029412	0.028571	0.102865	0.028788	0.160573	0.16654	0.035088	0.030769	0.089552	0.060976	0.073529	0.065844	0.046875	0.067797	0.04918	0.042254	0.083333	0.012821	0.240741	0.019608	0.014286	0.0	0.128889	0.029851	0.021505	0.064516	0.032864	0.02439	0.191954	0.120098	0.035211	0.061898	0.054422	0.057143	0.0	0.022634	0.026667	0.024096	0.0	0.051643	0.028169	0.051948	0.084258	0.051587	0.169369	0.029412	0.064935	0.030769	0.050388	0.052381	0.505556	0.052083	0.395082	0.0	0.123123	0.042105	0.018779	0.0	0.355224	0.231103	0.246293	0.015504	0.036585	0.136364	0.200529	0.0375	0.108581	0.030303	0.091304	0.048387	0.011494	0.03125	0.043478	0.0	0.042276	0.112121	0.034091	0.489247	0.299444	0.096124	0.144803	0.112554	0.117647	0.038314	0.116667	0.127397	0.156962	0.0	0.063492	0.095745	0.066667	0.122368	0.061538	0.054545	0.011628	0.0	0.031746	
D00219	0.049206	0.125683	0.155556	0.027397	1.0	0.065476	0.011111	0.044025	0.05641	0.094574	0.154497	0.02924	0.106667	0.189394	0.074713	0.091398	0.146667	0.090395	0.173077	0.046512	0.581818	0.559091	0.091954	0.177579	0.197531	0.070707	0.068354	0.058824	0.055782	0.08306	0.062893	0.12	0.628299	0.337979	0.023704	0.026144	0.078431	0.068627	0.088889	0.139394	0.113208	0.070513	0.2	0.175362	0.026144	0.062121	0.166667	0.185185	0.114894	0.037736	0.22619	0.120219	0.0	0.057971	0.112994	0.216667	0.157037	0.018919	0.15873	0.142105	0.0	0.0	0.0	0.0	0.0	0.0	0.117007	0.095238	0.045977	0.185965	0.084848	0.148718	0.046667	0.265116	0.455556	0.123529	0.074576	0.043478	0.164251	0.107246	0.074074	0.064815	0.053922	0.095238	0.10303	0.1	0.098462	0.118627	0.0	0.045283	0.063291	0.09434	0.091885	0.089308	0.164363	0.219716	0.154978	0.079096	0.158163	0.146237	0.101695	0.069608	0.087719	0.0	0.204878	0.055556	0.162791	0.118954	0.147222	0.108176	0.241481	0.096599	0.070513	0.150355	0.185816	0.08846	0.033333	0.023297	0.038889	0.023256	0.061224	0.130719	0.079602	0.115385	0.080808	0.026144	0.028369	0.027778	0.141026	0.066667	0.04918	0.051852	0.097222	0.145833	0.026923	0.070647	0.025157	0.022222	0.081159	0.083019	0.161421	0.06268	0.065497	0.047619	0.01895	0.08642	0.085535	0.055556	0.051215	0.601504	0.040796	0.005882	0.087654	0.62449	0.121839	0.085586	0.062802	0.091919	0.053595	0.075269	0.035374	0.149744	0.138562	0.015152	0.081013	0.028571	0.015686	0.033951	0.022917	0.094118	0.086022	0.069444	0.069919	0.068254	0.239766	0.055556	0.056497	0.111111	0.096019	0.108507	0.080952	0.016129	0.111111	0.051471	0.058951	0.063111	0.151515	0.080208	0.068182	0.087815	0.042912	0.077778	0.08816	0.088095	0.050746	0.2375	0.086765	0.057627	0.151111	0.048858	0.102564	0.15303	0.043411	0.077778	0.042254	0.125	0.04878	0.038866	0.121333	0.036879	
D00225	0.0	0.084656	0.14881	0.032407	0.065476	1.0	0.0	0.136054	0.077604	0.074074	0.121212	0.204082	0.177305	0.120567	0.150617	0.086022	0.102564	0.14881	0.068966	0.0	0.039801	0.10582	0.151515	0.030303	0.126437	0.044776	0.084388	0.15942	0.046667	0.091398	0.224638	0.089744	0.048485	0.050314	0.0	0.068027	0.031447	0.048309	0.029536	0.056497	0.100629	0.473684	0.092199	0.051282	0.068027	0.0	0.0	0.083333	0.185185	0.065359	0.02924	0.119672	0.0	0.0	0.05914	0.096296	0.090278	0.0	0.098485	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.078431	0.079365	0.605263	0.062016	0.074074	0.070952	0.113475	0.050314	0.035088	0.098592	0.0	0.0	0.057018	0.059361	0.037302	0.045662	0.05314	0.031532	0.12963	0.039683	0.084577	0.02193	0.051852	0.062893	0.041667	0.046784	0.029915	0.035088	0.084577	0.10582	0.026882	0.079096	0.043011	0.080808	0.090395	0.321429	0.08046	0.0	0.094203	0.0	0.096296	0.108974	0.050314	0.10303	0.049383	0.044872	0.030864	0.051282	0.049383	0.041525	0.023958	0.045421	0.0	0.203704	0.033333	0.102564	0.048309	0.08642	0.04902	0.068027	0.074074	0.072464	0.098765	0.072464	0.043716	0.0	0.086667	0.0	0.0	0.063725	0.065359	0.057018	0.070922	0.190476	0.024876	0.05364	0.039548	0.165333	0.0	0.039216	0.041667	0.0	0.07619	0.045198	0.049751	0.0	0.040936	0.048485	0.048387	0.042735	0.072464	0.063725	0.044872	0.091398	0.047619	0.117647	0.02924	0.030651	0.040161	0.04902	0.0	0.020346	0.033862	0.0	0.0	0.045662	0.03876	0.037879	0.05314	0.054726	0.185897	0.055556	0.068783	0.056738	0.098039	0.0	0.170543	0.147619	0.041667	0.088889	0.0	0.11746	0.037037	0.03653	0.029963	0.054645	0.042735	0.049242	0.080808	0.076023	0.194255	0.038251	0.083333	0.0	0.0	0.115942	0.083333	0.094444	0.023148	0.111111	0.08547	0.022653	0.0	0.049645	
D00227	0.014815	0.014493	0.010256	0.0	0.011111	0.0	1.0	0.0	0.009524	0.013605	0.009009	0.0	0.0	0.018868	0.0	0.014706	0.0	0.0	0.016129	0.0	0.009524	0.009524	0.0	0.02619	0.015152	0.014085	0.015504	0.0	0.039216	0.009804	0.0	0.011696	0.013793	0.026667	0.014184	0.0	0.0	0.013699	0.012195	0.05	0.022989	0.0	0.012821	0.012121	0.0	0.013889	0.019231	0.022727	0.012346	0.024691	0.025287	0.019324	0.0	0.15873	0.010101	0.02	0.012579	0.008772	0.020408	0.014815	0.0	0.0	0.0	0.0	0.0	0.0	0.037037	0.037037	0.010929	0.014493	0.013605	0.046296	0.0	0.011905	0.008439	0.017316	0.010256	0.0	0.00823	0.008547	0.011364	0.012987	0.013699	0.012987	0.0	0.0	0.009132	0.008547	0.028369	0.011696	0.028455	0.016667	0.0225	0.022989	0.02037	0.021256	0.02328	0.015625	0.022917	0.038647	0.020833	0.009009	0.026882	0.0	0.013072	0.0	0.0	0.011494	0.011905	0.039548	0.011696	0.037736	0.0	0.012121	0.011696	0.009409	0.024055	0.014035	0.006601	0.015152	0.012821	0.0	0.0	0.011299	0.0	0.0	0.0	0.0	0.0	0.008889	0.010417	0.008658	0.0	0.017857	0.012346	0.009132	0.0	0.255556	0.013072	0.011299	0.021569	0.019565	0.033333	0.0	0.014667	0.022727	0.035088	0.198413	0.009662	0.012903	0.02381	0.409091	0.011111	0.013793	0.077778	0.00813	0.013514	0.058824	0.037736	0.014706	0.04	0.008772	0.011299	0.011111	0.007663	0.0	0.0	0.0059	0.0	0.023392	0.045455	0.017544	0.042146	0.041199	0.013699	0.014085	0.0	0.0	0.118889	0.008	0.008772	0.0	0.0	0.0	0.021687	0.00813	0.019608	0.013889	0.0	0.008772	0.018315	0.010256	0.048101	0.018116	0.023474	0.010753	0.008658	0.032258	0.039801	0.008547	0.017241	0.012821	0.022472	0.015152	0.013514	0.0	0.0	0.033803	0.011494	0.041667	
D00228	0.0	0.066667	0.10303	0.088542	0.044025	0.136054	0.0	1.0	0.106215	0.089431	0.071795	0.163121	0.123188	0.028369	0.103145	0.032787	0.141844	0.10303	0.048485	0.025	0.020833	0.047619	0.104938	0.03268	0.10119	0.042328	0.097778	0.042553	0.028369	0.066667	0.19697	0.152174	0.045752	0.069444	0.0	0.081481	0.034014	0.046154	0.026667	0.074074	0.08	0.20155	0.093023	0.070922	0.081481	0.0	0.0	0.083333	0.155039	0.086957	0.031447	0.11954	0.0	0.0	0.057471	0.113821	0.090909	0.0	0.073171	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.078014	0.078947	0.111111	0.059829	0.1	0.09641	0.216667	0.047619	0.032407	0.151042	0.022599	0.0	0.064815	0.083333	0.043333	0.043478	0.078125	0.028571	0.130719	0.035088	0.084656	0.047619	0.056911	0.144928	0.082192	0.056604	0.036036	0.0	0.067708	0.088889	0.028736	0.011299	0.028249	0.063492	0.071429	0.142077	0.02924	0.0	0.095238	0.044444	0.097561	0.073333	0.047619	0.104575	0.068027	0.048611	0.115942	0.048611	0.026144	0.048246	0.019355	0.070196	0.021053	0.035088	0.028986	0.177778	0.089947	0.145833	0.091398	0.081481	0.116667	0.113821	0.136054	0.060606	0.028736	0.0	0.040816	0.0	0.0	0.0625	0.078014	0.050228	0.095238	0.093333	0.043011	0.065041	0.042424	0.168085	0.0	0.07173	0.044872	0.0	0.068889	0.042424	0.058201	0.0	0.064103	0.066667	0.064327	0.04955	0.071795	0.0625	0.027211	0.207547	0.028986	0.069652	0.065359	0.068354	0.073593	0.075269	0.0	0.030839	0.065497	0.012579	0.0	0.090909	0.07173	0.069959	0.061538	0.080645	0.106918	0.141026	0.067797	0.051282	0.053922	0.0	0.166667	0.077083	0.039474	0.054054	0.0	0.058201	0.058333	0.080808	0.066667	0.090909	0.079812	0.068273	0.091398	0.08805	0.066809	0.040936	0.065574	0.0	0.0	0.119048	0.044177	0.215686	0.034826	0.186992	0.085714	0.06129	0.0	0.030303	
D00234	0.037736	0.068493	0.184127	0.07265	0.05641	0.077604	0.009524	0.106215	1.0	0.07284	0.13653	0.114208	0.082222	0.039548	0.108718	0.031532	0.121111	0.087255	0.075253	0.0	0.058559	0.116432	0.072549	0.017949	0.090821	0.048246	0.073333	0.056497	0.044444	0.165657	0.098889	0.104444	0.092896	0.054645	0.017857	0.08655	0.040323	0.037975	0.026515	0.090909	0.133333	0.082778	0.051724	0.038251	0.067816	0.0	0.033333	0.081633	0.085057	0.091954	0.007353	0.223958	0.0	0.0	0.051174	0.052381	0.068966	0.0	0.054545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.048387	0.086667	0.060101	0.044872	0.074074	0.292929	0.153086	0.054645	0.095833	0.159556	0.009009	0.054545	0.033716	0.104641	0.055072	0.04878	0.175238	0.028112	0.133333	0.053333	0.041772	0.069959	0.067901	0.098889	0.103175	0.122581	0.049612	0.014706	0.078509	0.071622	0.016204	0.035211	0.015982	0.08	0.121212	0.063675	0.08209	0.018868	0.090909	0.033898	0.053571	0.017677	0.037634	0.133871	0.152047	0.096045	0.169697	0.038251	0.042328	0.10185	0.105442	0.093403	0.018349	0.091837	0.138365	0.175439	0.092444	0.101075	0.098198	0.067816	0.093082	0.071515	0.117204	0.065401	0.05	0.011628	0.071111	0.015385	0.0	0.108108	0.048087	0.058039	0.071429	0.095699	0.028509	0.04811	0.102564	0.125683	0.0	0.079853	0.107527	0.0	0.07032	0.087179	0.047368	0.012821	0.05303	0.075269	0.056338	0.049612	0.16385	0.037975	0.043011	0.119807	0.045198	0.132889	0.057292	0.050179	0.077903	0.047619	0.0	0.074189	0.133036	0.041667	0.017544	0.112554	0.080741	0.078986	0.058974	0.180392	0.078607	0.083582	0.040541	0.067974	0.042276	0.0	0.089697	0.156808	0.033333	0.08254	0.033898	0.080635	0.076923	0.060417	0.049123	0.121212	0.033333	0.087943	0.051082	0.182222	0.095299	0.099502	0.082192	0.01938	0.014925	0.089286	0.135985	0.123383	0.050633	0.08046	0.106383	0.045455	0.030303	0.046784	
D00252	0.0625	0.076923	0.08	0.067797	0.094574	0.074074	0.013605	0.089431	0.07284	1.0	0.08046	0.100775	0.166667	0.108108	0.073413	0.079739	0.077519	0.134752	0.070922	0.0	0.087821	0.128758	0.137681	0.026515	0.148936	0.089308	0.085714	0.043333	0.140741	0.1875	0.133333	0.087302	0.1375	0.123932	0.058824	0.272727	0.015504	0.090909	0.062564	0.078014	0.085271	0.081301	0.166667	0.111111	0.2	0.088235	0.081081	0.277778	0.194444	0.095726	0.025362	0.065455	0.0	0.018018	0.039744	0.533333	0.161905	0.015625	0.135417	0.096774	0.0	0.0	0.0	0.0	0.0	0.0	0.119658	0.054167	0.096296	0.107527	0.222222	0.065556	0.148148	0.108333	0.080328	0.124294	0.032051	0.0	0.096296	0.087432	0.099379	0.084746	0.033333	0.067778	0.108696	0.077778	0.089286	0.069892	0.060784	0.210526	0.043478	0.081481	0.05303	0.059259	0.1	0.084906	0.043333	0.026144	0.022436	0.125786	0.07483	0.093567	0.040816	0.0	0.171717	0.0	0.07619	0.085271	0.081301	0.139535	0.079365	0.133333	0.031008	0.083333	0.079365	0.064626	0.045783	0.0475	0.022727	0.043011	0.034188	0.087302	0.115152	0.083333	0.117284	0.235294	0.310345	0.258065	0.074074	0.045556	0.012821	0.03125	0.073171	0.081301	0.02381	0.123457	0.189189	0.129032	0.208333	0.183333	0.039394	0.058667	0.112593	0.071111	0.005618	0.111111	0.120635	0.017094	0.111538	0.125	0.104938	0.017544	0.074074	0.109756	0.058824	0.109677	0.027322	0.10303	0.133333	0.12	0.144762	0.077778	0.075758	0.058559	0.124378	0.071429	0.0	0.031341	0.181818	0.037037	0.037037	0.048387	0.063063	0.061404	0.081871	0.034483	0.092199	0.053333	0.081699	0.105485	0.060109	0.0	0.133333	0.02623	0.070707	0.059701	0.083333	0.169935	0.070707	0.043011	0.071111	0.06	0.074359	0.070175	0.144654	0.170543	0.163265	0.107801	0.130719	0.030769	0.069767	0.133333	0.086758	0.125	0.038889	0.068376	0.135802	0.021667	0.093023	0.153535	
