data	D00040	D00066	D00067	D00075	D00088	D00094	D00105	D00129	D00143	D00163	D00182	D00187	D00188	D00211	D00246	D00279	D00299	D00312	D00316	D00327	D00348	D00443	D00462	D00506	D00554	D00565	D00577	D00585	D00586	D00596	D00627	D00690	D00730	D00898	D00930	D00950	D00951	D00954	D00956	D00961	D00962	D00965	D01115	D01132	D01161	D01217	D01294	D01387	D01441	D01689	D02217	D02367	D04066	D05341	
D00040	1.0	0.41858	0.236484	0.337907	0.376752	0.060606	0.273233	0.250188	0.696858	0.47933	0.325301	0.363615	0.417907	0.128281	0.280095	0.014925	0.385411	0.185198	0.0	0.35816	0.059829	0.294116	0.437478	0.0	0.273881	0.021645	0.0	0.25211	0.037037	0.0	0.0	0.252964	0.0	0.0	0.298246	0.327465	0.28859	0.327465	0.277174	0.0	0.020619	0.010989	0.260984	0.025974	0.231457	0.387897	0.291071	0.265006	0.0	0.275417	0.0	0.308789	0.225873	0.0	
D00066	0.41858	1.0	0.286782	0.548137	0.506494	0.041096	0.244089	0.189579	0.60119	0.448889	0.484215	0.231507	0.261625	0.093782	0.366667	0.039548	0.210384	0.230667	0.018779	0.549817	0.040541	0.461821	0.580072	0.052632	0.239063	0.042857	0.0	0.369118	0.017544	0.023256	0.0	0.321495	0.024691	0.0	0.163211	0.48157	0.306198	0.48157	0.430296	0.017671	0.033708	0.028112	0.423653	0.018779	0.244605	0.762879	0.397814	0.39302	0.017007	0.416264	0.041152	0.359953	0.2245	0.0	
D00067	0.236484	0.286782	1.0	0.3875	0.29902	0.012658	0.844961	0.194226	0.246032	0.238095	0.399462	0.215612	0.245495	0.060281	0.182278	0.015385	0.176923	0.645161	0.013158	0.286957	0.0125	0.284762	0.223413	0.066667	0.738667	0.008772	0.055556	0.246414	0.012346	0.029963	0.040084	0.19928	0.016949	0.051282	0.168291	0.397849	0.164502	0.397849	0.462842	0.007576	0.012281	0.022727	0.251316	0.036036	0.419178	0.259375	0.233399	0.195608	0.014706	0.238333	0.116034	0.389063	0.564972	0.0	
D00075	0.337907	0.548137	0.3875	1.0	0.633333	0.026667	0.413404	0.22012	0.412169	0.348071	0.639216	0.290476	0.326263	0.068537	0.312629	0.05	0.262925	0.310959	0.027778	0.493567	0.026316	0.423406	0.395674	0.04023	0.334255	0.032864	0.0	0.377311	0.025974	0.015326	0.0	0.301948	0.036364	0.0	0.179861	0.636415	0.252864	0.636415	0.613657	0.017857	0.040741	0.023529	0.395751	0.027778	0.325206	0.493091	0.361421	0.324141	0.016835	0.37136	0.036145	0.461905	0.374212	0.0	
D00088	0.376752	0.506494	0.29902	0.633333	1.0	0.023256	0.264534	0.255418	0.468927	0.408541	0.571751	0.31296	0.348649	0.090188	0.410516	0.042857	0.278632	0.247059	0.016064	0.526344	0.022989	0.362245	0.40728	0.043478	0.318912	0.058333	0.0	0.392762	0.02682	0.020408	0.0	0.35438	0.020202	0.0	0.229051	0.569492	0.257576	0.569492	0.452525	0.026241	0.053872	0.013889	0.351673	0.016064	0.267323	0.460397	0.317286	0.353118	0.024465	0.404317	0.024823	0.458442	0.244322	0.0	
D00094	0.060606	0.041096	0.012658	0.026667	0.023256	1.0	0.0	0.06367	0.012821	0.050633	0.024096	0.084291	0.098765	0.089333	0.037037	0.016393	0.049808	0.020833	0.05	0.035714	0.886667	0.019157	0.013514	0.052632	0.0	0.009259	0.033898	0.031915	0.02193	0.089583	0.039474	0.026936	0.018182	0.047619	0.065217	0.024096	0.047619	0.024096	0.023256	0.011905	0.031835	0.036145	0.018116	0.013889	0.0125	0.025641	0.047059	0.045752	0.010101	0.031579	0.02008	0.035714	0.0	0.078571	
D00105	0.273233	0.244089	0.844961	0.413404	0.264534	0.0	1.0	0.195022	0.265238	0.255722	0.386729	0.200427	0.212655	0.056187	0.16094	0.016129	0.196381	0.544974	0.013699	0.245273	0.0	0.262181	0.243985	0.033898	0.795745	0.009132	0.05848	0.206329	0.012821	0.019157	0.041667	0.175664	0.017857	0.053763	0.168089	0.384543	0.173488	0.384543	0.488943	0.007843	0.012681	0.011628	0.245333	0.037559	0.464734	0.2649	0.213988	0.176852	0.015152	0.199167	0.09188	0.366138	0.654545	0.0	
D00129	0.250188	0.189579	0.194226	0.22012	0.255418	0.06367	0.195022	1.0	0.213638	0.298407	0.221409	0.538732	0.593266	0.113521	0.153943	0.065789	0.443227	0.158552	0.026966	0.202646	0.071161	0.192529	0.17551	0.0	0.195382	0.062016	0.0	0.162415	0.021053	0.009434	0.0	0.125708	0.013514	0.036585	0.64744	0.219783	0.153358	0.219783	0.197933	0.0	0.0	0.0	0.17249	0.069767	0.200486	0.171399	0.128755	0.16683	0.0	0.193794	0.006472	0.244106	0.166852	0.018735	
D00143	0.696858	0.60119	0.246032	0.412169	0.468927	0.012821	0.265238	0.213638	1.0	0.553249	0.397658	0.25888	0.298551	0.11767	0.326432	0.031746	0.29415	0.20625	0.027027	0.471839	0.012658	0.326374	0.57963	0.021858	0.278828	0.018018	0.0	0.275752	0.025316	0.014981	0.0	0.28825	0.035088	0.0	0.245743	0.395316	0.344103	0.395316	0.318182	0.017442	0.032258	0.034884	0.317367	0.027027	0.246109	0.545971	0.322969	0.343834	0.016502	0.34668	0.023256	0.319913	0.252314	0.0	
D00163	0.47933	0.448889	0.238095	0.348071	0.408541	0.050633	0.255722	0.298407	0.553249	1.0	0.33359	0.24162	0.277844	0.116343	0.300761	0.0	0.274201	0.215755	0.0	0.380574	0.05	0.311836	0.40966	0.0	0.264819	0.0	0.0	0.208188	0.0	0.032609	0.04878	0.248471	0.0	0.0	0.272365	0.331392	0.304127	0.331392	0.27746	0.022222	0.047872	0.01087	0.321898	0.012658	0.259237	0.418456	0.268893	0.324192	0.009434	0.307675	0.0	0.302206	0.211397	0.108696	
D00182	0.325301	0.484215	0.399462	0.639216	0.571751	0.024096	0.386729	0.221409	0.397658	0.33359	1.0	0.269464	0.305778	0.085516	0.342531	0.044118	0.245027	0.32616	0.025	0.535	0.02381	0.487528	0.425822	0.035354	0.529841	0.029536	0.0	0.406262	0.023529	0.014035	0.0	0.303498	0.031746	0.0	0.184073	0.99696	0.281725	0.99696	0.640066	0.016304	0.037415	0.021505	0.41049	0.037975	0.306236	0.518379	0.413895	0.308022	0.015576	0.378095	0.032967	0.730736	0.355423	0.0	
D00187	0.363615	0.231507	0.215612	0.290476	0.31296	0.084291	0.200427	0.538732	0.25888	0.24162	0.269464	1.0	0.782889	0.130847	0.203157	0.0125	0.769278	0.175601	0.052326	0.25873	0.091954	0.239496	0.188964	0.012821	0.195635	0.018519	0.0	0.195035	0.021053	0.015873	0.0	0.180405	0.0	0.03252	0.490132	0.267798	0.151967	0.267798	0.243934	0.0	0.009009	0.0	0.208425	0.022222	0.186	0.233761	0.189962	0.194608	0.0	0.238043	0.009709	0.284362	0.171795	0.0	
D00188	0.417907	0.261625	0.245495	0.326263	0.348649	0.098765	0.212655	0.593266	0.298551	0.277844	0.305778	0.782889	1.0	0.130676	0.196825	0.013333	0.592708	0.197464	0.028571	0.284211	0.106996	0.251964	0.229308	0.013699	0.216757	0.019608	0.0	0.223755	0.033708	0.009901	0.0	0.176892	0.0	0.038961	0.470699	0.303873	0.181961	0.303873	0.266667	0.0	0.019048	0.0	0.204928	0.023529	0.20411	0.25786	0.197131	0.2027	0.0	0.263875	0.010204	0.308647	0.180509	0.0	
D00211	0.128281	0.093782	0.060281	0.068537	0.090188	0.089333	0.056187	0.113521	0.11767	0.116343	0.085516	0.130847	0.130676	1.0	0.10856	0.05698	0.132997	0.06696	0.068533	0.11113	0.092593	0.094	0.081694	0.057018	0.075991	0.065333	0.021667	0.082771	0.026961	0.087591	0.018116	0.11381	0.036873	0.0208	0.135987	0.085516	0.157397	0.085516	0.057022	0.025822	0.052154	0.066425	0.106287	0.040052	0.061365	0.113144	0.1584	0.112184	0.056645	0.100394	0.067402	0.074092	0.065725	0.0	
D00246	0.280095	0.366667	0.182278	0.312629	0.410516	0.037037	0.16094	0.153943	0.326432	0.300761	0.342531	0.203157	0.196825	0.10856	1.0	0.025974	0.17676	0.156944	0.014981	0.493651	0.03663	0.322527	0.266422	0.035556	0.205232	0.054264	0.0	0.260227	0.036232	0.019231	0.0	0.591694	0.032864	0.0	0.13292	0.342531	0.299048	0.342531	0.272193	0.03165	0.040881	0.03	0.363593	0.014981	0.135054	0.364076	0.341959	0.511975	0.032164	0.560847	0.037415	0.313605	0.156085	0.002342	
D00279	0.014925	0.039548	0.015385	0.05	0.042857	0.016393	0.016129	0.065789	0.031746	0.0	0.044118	0.0125	0.013333	0.05698	0.025974	1.0	0.012987	0.02439	0.092593	0.042857	0.016129	0.027778	0.033898	0.079365	0.014493	0.531532	0.062016	0.076923	0.103448	0.10101	0.032258	0.056911	0.272727	0.055556	0.075949	0.044118	0.051643	0.044118	0.073529	0.069231	0.109524	0.074627	0.053333	0.241135	0.035294	0.037037	0.056338	0.022222	0.039095	0.064103	0.091146	0.0	0.070423	0.0	
D00299	0.385411	0.210384	0.176923	0.262925	0.278632	0.049808	0.196381	0.443227	0.29415	0.274201	0.245027	0.769278	0.592708	0.132997	0.17676	0.012987	1.0	0.14375	0.054217	0.220298	0.057471	0.238841	0.22161	0.0	0.187008	0.019157	0.0	0.161601	0.021739	0.01634	0.0	0.155698	0.0	0.033755	0.498021	0.243219	0.160942	0.243219	0.220023	0.0	0.009259	0.0	0.202301	0.022989	0.170651	0.228571	0.160426	0.170853	0.0	0.19617	0.0	0.241329	0.16737	0.0	
