data	D00035	D00110	D00136	D00195	D00219	D00225	D00227	D00228	D00234	D00252	D00274	D00283	D00293	D00294	D00303	D00319	D00326	D00329	D00331	D00332	D00335	D00336	D00338	D00340	D00345	D00349	D00351	D00354	D00358	D00364	D00367	D00373	D00379	D00380	D00392	D00394	D00418	D00437	D00438	D00451	D00456	D00464	D00474	D00477	D00480	D00495	D00499	D00504	D00512	D00513	D00519	D00521	D00524	D00528	D00530	D00533	D00536	D00537	D00538	D00539	D00542	D00543	D00544	D00545	D00546	D00547	D00548	D00549	D00550	D00552	D00553	D00560	D00563	D00574	D00593	D00594	D00607	D00611	D00615	D00616	D00617	D00618	D00619	D00629	D00631	D00633	D00636	D00638	D00639	D00640	D00642	D00647	D00648	D00649	D00650	D00651	D00654	D00656	D00658	D00677	D00678	D00694	D00697	D00704	D00708	D00709	D00711	D00726	D00732	D00733	D00735	D00738	D00739	D00740	D00741	D00759	D00760	D00761	D00765	D00771	D00775	D00779	D00791	D00798	D00799	D00809	D00812	D00816	D00823	D00831	D00960	D00963	D00964	D01071	D01108	D01111	D01118	D01242	D01243	D01253	D01256	D01275	D01287	D01295	D01350	D01448	D01450	D01453	D01575	D01599	D01603	D01712	D01768	D01799	D01828	D01854	D01969	D02041	D02086	D02087	D02088	D02092	D02098	D02101	D02163	D02173	D02204	D02207	D02234	D02237	D02253	D02261	D02262	D02272	D02347	D02356	D02360	D02362	D02409	D02461	D02485	D02546	D02566	D02630	D02914	D03037	D03180	D03274	D03365	D03450	D03580	D03742	D03826	D03830	D03878	D03991	D04034	D04048	D04370	D04790	D04985	D04999	D05024	D05077	D05156	D05453	D05458	D05461	D06106	D06172	
D00035	1.0	0.5125	0.428571	0.460633	0.344762	0.339744	0.458402	0.469697	0.272894	0.475	0.344697	0.364242	0.422222	0.385281	0.395238	0.400809	0.373333	0.337662	0.311508	0.672619	0.270671	0.288214	0.369697	0.3	0.335354	0.297884	0.464782	0.166667	0.511396	0.405303	0.455556	0.281746	0.36359	0.427576	0.60947	0.310256	0.347222	0.340368	0.318182	0.553535	0.363636	0.475	0.508418	0.5	0.30303	0.6	0.498958	0.527778	0.453704	0.597796	0.293939	0.352924	0.431129	0.34697	0.338462	0.475	0.5	0.440056	0.358974	0.645833	0.119048	0.201852	0.212963	0.201852	0.201852	0.209877	0.633333	0.341751	0.315476	0.601852	0.537037	0.515079	0.279614	0.481481	0.264923	0.583333	0.24381	0.347222	0.26287	0.454545	0.295322	0.32815	0.280303	0.333779	0.361656	0.470899	0.385417	0.334921	0.481481	0.538624	0.325758	0.322143	0.207412	0.377143	0.274359	0.295455	0.285317	0.327489	0.311255	0.496212	0.375758	0.363248	0.341725	0.351852	0.518519	0.846154	0.574074	0.518803	0.555556	0.435606	0.546841	0.486772	0.4425	0.555556	0.542328	0.215991	0.223388	0.238591	0.245147	0.222222	0.269231	0.433333	0.248718	0.281746	0.201099	0.476923	0.257576	0.383333	0.373333	0.390491	0.222222	0.369697	0.219697	0.440196	0.178419	0.558025	0.287879	0.513889	0.537037	0.472222	0.300214	0.314877	0.694989	0.370655	0.120321	0.220191	0.509804	0.328788	0.201541	0.325541	0.332357	0.361111	0.510185	0.386667	0.360684	0.227744	0.266955	0.531602	0.511396	0.333333	0.537037	0.336039	0.514815	0.214515	0.260266	0.521528	0.186809	0.212156	0.336812	0.306173	0.267725	0.458333	0.235299	0.235299	0.292063	0.280303	0.483333	0.49697	0.265873	0.29899	0.318627	0.642262	0.312354	0.290909	0.292417	0.286325	0.504167	0.333333	0.466667	0.288401	0.224919	0.451797	0.286304	0.349592	0.524476	0.5	0.350216	0.736111	0.496212	0.382381	0.414035	0.566952	0.444322	0.333333	0.376111	0.310185	0.395062	0.139538	0.450545	0.537037	
D00110	0.5125	1.0	0.604545	0.645923	0.543939	0.39707	0.719366	0.456818	0.354872	0.499524	0.598485	0.490588	0.606667	0.555245	0.459842	0.628986	0.413528	0.587879	0.495085	0.47	0.448611	0.471717	0.565043	0.532468	0.555195	0.604167	0.628175	0.288889	0.524211	0.639929	0.54	0.366667	0.532399	0.504864	0.522969	0.430877	0.378846	0.542063	0.513081	0.618347	0.440939	0.55619	0.583922	0.501111	0.37197	0.530159	0.484762	0.522857	0.522857	0.60876	0.52381	0.431333	0.346606	0.502558	0.452473	0.55619	0.595833	0.651139	0.478698	0.491111	0.118881	0.153247	0.166234	0.153247	0.153247	0.15303	0.505303	0.377255	0.366667	0.522857	0.497778	0.580873	0.398039	0.611111	0.4933	0.726282	0.423823	0.466667	0.434545	0.785065	0.463629	0.526508	0.495105	0.532885	0.475652	0.444103	0.556944	0.547062	0.449167	0.589048	0.589828	0.463636	0.363106	0.438362	0.425275	0.537879	0.483974	0.538961	0.527972	0.72028	0.482497	0.538462	0.555398	0.240404	0.575833	0.564211	0.534444	0.519925	0.544444	0.587879	0.608986	0.543333	0.602381	0.544444	0.556667	0.39043	0.355696	0.397517	0.439361	0.290812	0.396647	0.651282	0.387912	0.366667	0.353114	0.500877	0.337255	0.444444	0.413528	0.603509	0.396429	0.53037	0.29127	0.500414	0.238095	0.852381	0.385859	0.573571	0.497778	0.586667	0.499739	0.566005	0.648986	0.434211	0.265878	0.41009	0.575652	0.519874	0.403357	0.628571	0.540968	0.529221	0.585714	0.512662	0.497985	0.494456	0.477196	0.751948	0.524211	0.565476	0.5025	0.588384	0.580952	0.456425	0.466838	0.73254	0.256729	0.354774	0.521576	0.405064	0.377855	0.687179	0.481293	0.481293	0.50051	0.495105	0.6225	0.65469	0.470658	0.649315	0.444532	0.716508	0.455343	0.456277	0.508512	0.452564	0.48	0.55101	0.41219	0.468065	0.473569	0.610266	0.56914	0.730985	0.782616	0.521905	0.494949	0.68	0.72028	0.617186	0.407922	0.597544	0.604118	0.565476	0.634757	0.46	0.4	0.311657	0.407303	0.5025	
D00136	0.428571	0.604545	1.0	0.442177	0.54	0.471764	0.499832	0.588095	0.547654	0.574074	0.896296	0.604233	0.687424	0.561364	0.614631	0.611063	0.641093	0.842593	0.524793	0.582011	0.462259	0.508052	0.789242	0.498889	0.641538	0.587328	0.515229	0.297619	0.595316	0.693986	0.687424	0.424242	0.529673	0.498889	0.52037	0.501401	0.304029	0.414646	0.385862	0.499145	0.563152	0.637566	0.596825	0.569444	0.428571	0.528704	0.491358	0.526455	0.598148	0.486508	0.492222	0.564734	0.324359	0.531046	0.578042	0.637566	0.533069	0.423044	0.4868	0.531085	0.179293	0.265432	0.287037	0.265432	0.260141	0.281339	0.428571	0.394444	0.552249	0.600529	0.568122	0.63859	0.455652	0.625	0.469304	0.55303	0.428216	0.47963	0.476832	0.578947	0.390431	0.398551	0.558333	0.404762	0.563757	0.474266	0.711189	0.604951	0.47619	0.707937	0.434268	0.517976	0.401059	0.421919	0.551515	0.6	0.567273	0.530909	0.517273	0.532237	0.576486	0.425542	0.728427	0.31131	0.587302	0.410237	0.615741	0.629267	0.625	0.684048	0.677249	0.619048	0.596296	0.625	0.638889	0.261738	0.288528	0.293484	0.321757	0.30941	0.501834	0.717196	0.560872	0.424242	0.505051	0.623094	0.422222	0.578704	0.641093	0.548669	0.458402	0.336207	0.330886	0.512522	0.110413	0.541047	0.444643	0.502763	0.568122	0.670228	0.494652	0.417811	0.493506	0.536057	0.197036	0.528538	0.640212	0.511046	0.338605	0.635556	0.370175	0.31913	0.605556	0.506984	0.562393	0.373098	0.539399	0.586508	0.595316	0.563397	0.570106	0.885714	0.610819	0.361545	0.584527	0.508059	0.185592	0.257637	0.537566	0.379847	0.271968	0.47585	0.357094	0.357094	0.420002	0.558333	0.436147	0.618939	0.409898	0.438922	0.679284	0.41585	0.527451	0.680925	0.494108	0.518939	0.496621	0.600833	0.27521	0.447761	0.36229	0.399267	0.391209	0.498512	0.571487	0.665052	0.602219	0.527706	0.532237	0.463746	0.431594	0.686586	0.601026	0.563397	0.402137	0.437566	0.391127	0.414579	0.447937	0.570106	
D00195	0.460633	0.645923	0.442177	1.0	0.351701	0.422222	0.461054	0.524736	0.360254	0.420513	0.437371	0.364103	0.402564	0.401361	0.331001	0.411722	0.265826	0.37551	0.369048	0.399267	0.292816	0.299842	0.361064	0.38956	0.358844	0.420825	0.556078	0.175556	0.412821	0.416362	0.402564	0.418367	0.337415	0.363605	0.360806	0.34359	0.262062	0.352022	0.338432	0.44381	0.381623	0.415385	0.384615	0.395142	0.303922	0.366204	0.336949	0.389744	0.312821	0.470748	0.384799	0.287673	0.254464	0.360173	0.336765	0.415385	0.417044	0.597506	0.379808	0.364372	0.056122	0.085714	0.092857	0.085714	0.085714	0.088095	0.365826	0.274359	0.394048	0.441026	0.420783	0.418032	0.32423	0.377193	0.375964	0.509402	0.265816	0.342809	0.282771	0.510513	0.301115	0.347411	0.390873	0.35254	0.307692	0.355311	0.414879	0.362222	0.358069	0.43956	0.694303	0.293505	0.232433	0.310204	0.414444	0.35	0.364762	0.39898	0.390816	0.501264	0.414276	0.390625	0.378571	0.200251	0.378582	0.4	0.446424	0.412821	0.428475	0.470704	0.461538	0.404396	0.524128	0.428475	0.437729	0.347158	0.449542	0.553445	0.494963	0.288205	0.311058	0.496581	0.369495	0.418367	0.339365	0.471795	0.282051	0.390013	0.265826	0.410317	0.311111	0.623626	0.177778	0.30696	0.153922	0.545458	0.314536	0.366128	0.420783	0.410256	0.47381	0.81181	0.471795	0.297436	0.185609	0.389035	0.435897	0.373779	0.287582	0.412925	0.381746	0.385829	0.460025	0.322289	0.468254	0.36864	0.378685	0.590703	0.412821	0.493506	0.396531	0.429434	0.456377	0.555245	0.428734	0.838231	0.184722	0.518765	0.353114	0.245635	0.239405	0.787881	0.500363	0.500363	0.334594	0.390873	0.435359	0.49991	0.31043	0.536968	0.35119	0.485009	0.471795	0.310173	0.326824	0.414	0.3333	0.355013	0.27838	0.30509	0.566947	0.755128	0.468316	0.483416	0.623443	0.390443	0.363516	0.488963	0.501264	0.452664	0.298587	0.446154	0.584169	0.493506	0.463665	0.317168	0.320513	0.209517	0.295238	0.396531	
D00219	0.344762	0.543939	0.54	0.351701	1.0	0.28373	0.536574	0.398095	0.358056	0.47037	0.576667	0.456085	0.546683	0.700457	0.595816	0.804113	0.481834	0.528333	0.663745	0.496429	0.795455	0.870581	0.533651	0.691358	0.755149	0.581267	0.444655	0.355	0.64473	0.535588	0.517053	0.433333	0.918044	0.88373	0.550893	0.427326	0.357143	0.590725	0.557763	0.545503	0.351422	0.526455	0.713095	0.611458	0.513228	0.560268	0.64623	0.633929	0.63125	0.352381	0.679012	0.514493	0.301389	0.429798	0.422487	0.526455	0.724702	0.452742	0.487379	0.514137	0.123737	0.198765	0.183333	0.198765	0.198765	0.223932	0.377489	0.452083	0.259707	0.558929	0.614137	0.346325	0.363922	0.744792	0.717569	0.522727	0.632939	0.331481	0.818659	0.661882	0.500672	0.573166	0.491667	0.579942	0.59256	0.491883	0.475758	0.682552	0.502381	0.645238	0.35293	0.841319	0.665745	0.534937	0.557576	0.706173	0.640606	0.726936	0.711785	0.447756	0.397136	0.427374	0.47328	0.249603	0.702381	0.451261	0.584375	0.670425	0.669792	0.518333	0.645238	0.671429	0.491534	0.669792	0.685417	0.349264	0.271491	0.256229	0.300924	0.211189	0.300534	0.509788	0.488145	0.433333	0.456566	0.408279	0.348148	0.363889	0.481834	0.357014	0.402991	0.276378	0.365	0.700397	0.230952	0.600866	0.531085	0.560839	0.614137	0.559117	0.69634	0.340391	0.522857	0.53223	0.250484	0.551049	0.686905	0.448846	0.293367	0.822575	0.583061	0.319886	0.696726	0.889683	0.428266	0.387384	0.471145	0.430159	0.64473	0.649737	0.616369	0.565556	0.702647	0.369484	0.59737	0.389377	0.228836	0.22039	0.573545	0.738697	0.384712	0.357483	0.468655	0.468655	0.422924	0.491667	0.314935	0.349901	0.369886	0.543512	0.402381	0.491562	0.360784	0.422832	0.730332	0.444174	0.652151	0.749074	0.299095	0.588448	0.4694	0.301832	0.513889	0.621263	0.490138	0.631516	0.687121	0.55381	0.447756	0.312667	0.589602	0.655742	0.353004	0.649737	0.509783	0.492262	0.440018	0.348485	0.759921	0.616369	
D00225	0.339744	0.39707	0.471764	0.422222	0.28373	1.0	0.39324	0.621795	0.481818	0.508159	0.424145	0.532308	0.525475	0.447222	0.424988	0.324242	0.333868	0.421368	0.413187	0.409091	0.330159	0.270971	0.444979	0.388889	0.418193	0.445139	0.489289	0.491594	0.419284	0.50987	0.525475	0.52331	0.289899	0.341667	0.375758	0.480186	0.297222	0.228231	0.214286	0.420996	0.513333	0.538462	0.387879	0.409091	0.455128	0.369697	0.296537	0.448485	0.414219	0.45338	0.383333	0.279308	0.208889	0.519708	0.639423	0.538462	0.407576	0.37381	0.487179	0.387879	0.145455	0.138889	0.15	0.138889	0.138889	0.119048	0.38456	0.278788	0.887774	0.509091	0.442424	0.443939	0.488	0.363636	0.303175	0.371372	0.23166	0.422857	0.264404	0.354003	0.214954	0.218861	0.36396	0.222222	0.299068	0.4	0.435897	0.28125	0.395455	0.462704	0.454313	0.294516	0.224741	0.428283	0.456476	0.416209	0.369231	0.416667	0.4	0.438095	0.513333	0.360904	0.576329	0.216667	0.395455	0.298368	0.412121	0.392011	0.424242	0.561622	0.424242	0.40303	0.42684	0.424242	0.415152	0.245948	0.290223	0.284405	0.245378	0.319444	0.420513	0.493939	0.427022	0.52331	0.465812	0.580186	0.392308	0.518974	0.333868	0.352798	0.490358	0.290062	0.451515	0.254545	0.104167	0.298443	0.441492	0.387986	0.442424	0.507293	0.406962	0.382051	0.333333	0.428712	0.115156	0.416061	0.393939	0.519708	0.348214	0.369444	0.217974	0.346288	0.408658	0.306944	0.598748	0.235207	0.358794	0.4662	0.419284	0.529274	0.437879	0.424145	0.411655	0.315331	0.444309	0.478231	0.12381	0.242259	0.353566	0.184702	0.132825	0.526989	0.387667	0.387667	0.388254	0.36396	0.428312	0.334982	0.355492	0.339744	0.375926	0.279093	0.546853	0.336126	0.264863	0.551091	0.299534	0.367356	0.286915	0.252407	0.325748	0.380952	0.325798	0.314954	0.469374	0.413753	0.372475	0.335531	0.438095	0.244824	0.249253	0.437466	0.498822	0.529274	0.297537	0.352857	0.445714	0.270495	0.261111	0.437879	
D00227	0.458402	0.719366	0.499832	0.461054	0.536574	0.39324	1.0	0.429293	0.431805	0.519008	0.530877	0.512948	0.555372	0.497024	0.502237	0.534848	0.407071	0.508297	0.506105	0.351515	0.542157	0.491989	0.54596	0.514087	0.564911	0.576243	0.731046	0.362497	0.448268	0.612512	0.561433	0.341725	0.510119	0.510913	0.428571	0.463597	0.442091	0.534213	0.50802	0.675926	0.462507	0.567493	0.522727	0.436081	0.429293	0.421578	0.46244	0.462121	0.506021	0.616162	0.504828	0.367414	0.351701	0.515152	0.525408	0.567493	0.531779	0.482051	0.410113	0.386946	0.113095	0.172222	0.160317	0.172222	0.172222	0.174074	0.57483	0.333983	0.352381	0.407576	0.436946	0.585249	0.458297	0.53305	0.494907	0.730552	0.45235	0.323911	0.458586	0.740109	0.49728	0.520474	0.46176	0.525602	0.445415	0.356061	0.448316	0.466983	0.369008	0.481779	0.506888	0.520694	0.390854	0.475758	0.45974	0.56835	0.475641	0.529167	0.515278	0.780596	0.504066	0.563575	0.554193	0.199145	0.514463	0.532468	0.412704	0.467316	0.478505	0.557511	0.437879	0.456061	0.428457	0.478505	0.467316	0.430822	0.345317	0.378452	0.370927	0.264924	0.35297	0.447403	0.370887	0.341725	0.345887	0.445415	0.415978	0.415046	0.407071	0.623945	0.447306	0.429154	0.391883	0.502165	0.177778	0.641904	0.430458	0.723837	0.436946	0.59693	0.527045	0.462554	0.565152	0.408658	0.280025	0.406964	0.468182	0.532468	0.45034	0.560913	0.542826	0.546259	0.476076	0.514448	0.488001	0.520076	0.445286	0.694949	0.448268	0.485864	0.452991	0.521618	0.480087	0.484232	0.442033	0.552284	0.238095	0.337885	0.540489	0.405128	0.368707	0.580165	0.565306	0.565306	0.542222	0.46176	0.637151	0.601887	0.55941	0.596777	0.413384	0.584488	0.374964	0.428861	0.48363	0.424931	0.46645	0.572239	0.43618	0.400777	0.500867	0.462821	0.601066	0.671484	0.70671	0.472039	0.524145	0.592959	0.780596	0.468091	0.417725	0.455195	0.622645	0.485864	0.585555	0.326292	0.322727	0.453684	0.416667	0.452991	
D00228	0.469697	0.456818	0.588095	0.524736	0.398095	0.621795	0.429293	1.0	0.541377	0.764815	0.6025	0.640693	0.74321	0.570476	0.537557	0.389698	0.456667	0.654762	0.501259	0.505291	0.374528	0.414405	0.653333	0.52	0.588889	0.406782	0.499967	0.25671	0.637322	0.524819	0.74321	0.651429	0.450256	0.477576	0.452862	0.544729	0.371795	0.305258	0.286574	0.480186	0.628986	0.690741	0.560269	0.666667	0.513333	0.444444	0.425	0.57963	0.542593	0.461869	0.513333	0.34922	0.298135	0.507157	0.572222	0.690741	0.559259	0.410792	0.464181	0.481481	0.107143	0.215	0.225	0.215	0.215	0.222222	0.404762	0.452862	0.56713	0.583333	0.662963	0.445268	0.516561	0.533333	0.446653	0.487879	0.330794	0.402778	0.358425	0.461111	0.322299	0.294058	0.495	0.299218	0.450545	0.452381	0.519522	0.391111	0.537037	0.560847	0.430386	0.448333	0.337974	0.43881	0.587879	0.548333	0.483983	0.550238	0.532381	0.499598	0.578986	0.442735	0.458297	0.35	0.57037	0.415385	0.62963	0.611396	0.607407	0.644881	0.528322	0.612698	0.587963	0.607407	0.59418	0.293578	0.34378	0.340675	0.305955	0.430622	0.422515	0.648148	0.642424	0.651429	0.555844	0.659544	0.486195	0.555556	0.456667	0.387926	0.418182	0.380556	0.315734	0.372767	0.107143	0.353535	0.496667	0.40725	0.662963	0.687654	0.58359	0.423077	0.48984	0.474359	0.158733	0.562246	0.561656	0.49049	0.287255	0.544762	0.307326	0.325142	0.565741	0.473333	0.59596	0.292656	0.483175	0.473413	0.637322	0.723333	0.662963	0.595833	0.57037	0.377777	0.604124	0.552083	0.137557	0.282099	0.474235	0.281212	0.206756	0.516575	0.369374	0.369374	0.394414	0.495	0.424242	0.444444	0.338958	0.45977	0.492798	0.309091	0.622507	0.45	0.363124	0.610422	0.42963	0.486667	0.229575	0.272037	0.387216	0.535131	0.436569	0.401267	0.545688	0.588889	0.495714	0.462879	0.499598	0.307143	0.355965	0.548433	0.469451	0.723333	0.255501	0.328704	0.41358	0.280095	0.38549	0.662963	
D00234	0.272894	0.354872	0.547654	0.360254	0.358056	0.481818	0.431805	0.541377	1.0	0.506745	0.526442	0.409775	0.486931	0.417525	0.516427	0.33974	0.517896	0.612805	0.361792	0.375758	0.413027	0.331183	0.546572	0.353095	0.383854	0.433182	0.562745	0.373593	0.492834	0.554545	0.514204	0.494624	0.353749	0.386429	0.360606	0.531537	0.409906	0.285646	0.263723	0.434505	0.446212	0.503715	0.401212	0.468636	0.462589	0.367424	0.387013	0.404242	0.403715	0.474383	0.353095	0.408892	0.231111	0.418831	0.485561	0.503715	0.417662	0.350907	0.387574	0.364394	0.186364	0.269048	0.316667	0.269048	0.264286	0.261538	0.345421	0.428	0.584641	0.373939	0.468636	0.545421	0.47	0.426212	0.374343	0.421092	0.289687	0.406667	0.323252	0.359873	0.263427	0.272499	0.456745	0.277823	0.4798	0.397697	0.384499	0.375396	0.466095	0.400684	0.426321	0.337433	0.260697	0.421821	0.506183	0.365905	0.392525	0.362222	0.350859	0.531164	0.400758	0.372639	0.552778	0.222917	0.39342	0.339065	0.380758	0.431362	0.456515	0.579654	0.376104	0.449697	0.454667	0.456515	0.467879	0.298116	0.360858	0.329503	0.265041	0.382284	0.551981	0.42697	0.640488	0.494624	0.554364	0.42564	0.437419	0.374169	0.517896	0.497479	0.505387	0.341954	0.42259	0.352814	0.060417	0.298578	0.477199	0.469246	0.468636	0.532386	0.514265	0.352407	0.369524	0.392195	0.14563	0.47507	0.406407	0.40368	0.44977	0.400317	0.258699	0.28742	0.443636	0.334841	0.539409	0.273586	0.442998	0.450712	0.492834	0.507352	0.472208	0.520381	0.447943	0.327791	0.501956	0.417619	0.193878	0.311264	0.464321	0.245375	0.18301	0.469728	0.435696	0.435696	0.27472	0.456745	0.412929	0.442988	0.288803	0.363949	0.627229	0.292655	0.50487	0.588701	0.328485	0.435585	0.391319	0.43406	0.260913	0.241261	0.340811	0.461832	0.339854	0.319209	0.457593	0.426203	0.409765	0.347179	0.531164	0.291335	0.336051	0.383743	0.634551	0.507352	0.301049	0.334667	0.356205	0.433585	0.365079	0.472208	
D00252	0.475	0.499524	0.574074	0.420513	0.47037	0.508159	0.519008	0.764815	0.506745	1.0	0.551323	0.666667	0.857143	0.677778	0.559679	0.469048	0.498148	0.681481	0.590909	0.520833	0.399004	0.446032	0.72037	0.566667	0.624868	0.439405	0.444709	0.302381	0.672348	0.653899	0.857143	0.516667	0.486532	0.559259	0.541667	0.651515	0.365278	0.354978	0.337302	0.516667	0.598873	0.916667	0.666667	0.654167	0.601852	0.533333	0.516071	0.75	0.708333	0.466667	0.556085	0.392034	0.291667	0.591285	0.559091	0.916667	0.664583	0.353439	0.536683	0.575	0.144444	0.266667	0.277778	0.266667	0.266667	0.243386	0.388528	0.479167	0.462963	0.666667	0.7	0.422849	0.532206	0.6375	0.5194	0.606667	0.400238	0.407738	0.425018	0.502564	0.339301	0.344856	0.516667	0.349134	0.508333	0.558333	0.501832	0.473765	0.59375	0.583333	0.380037	0.47963	0.364986	0.530159	0.525758	0.604233	0.528571	0.609524	0.587302	0.545341	0.543317	0.546429	0.493074	0.325926	0.677083	0.487879	0.658333	0.593182	0.6375	0.642857	0.55	0.645833	0.616071	0.6375	0.625	0.265555	0.348624	0.259816	0.268254	0.440351	0.460925	0.645833	0.484382	0.516667	0.39697	0.734848	0.583333	0.616667	0.498148	0.387716	0.425238	0.305469	0.392308	0.454167	0.141026	0.420833	0.585185	0.491188	0.7	0.877976	0.531688	0.369231	0.506667	0.489015	0.198874	0.428283	0.591667	0.572767	0.335897	0.555556	0.321445	0.343717	0.595238	0.509259	0.547619	0.367808	0.504224	0.512121	0.672348	0.582821	0.697917	0.543915	0.599359	0.354734	0.476241	0.438492	0.15	0.227623	0.606548	0.310467	0.215106	0.411722	0.345776	0.345776	0.402531	0.516667	0.491667	0.448485	0.360025	0.369907	0.582194	0.366154	0.505051	0.532764	0.439187	0.483835	0.520192	0.611111	0.24287	0.335926	0.364172	0.45	0.376924	0.434106	0.47686	0.620192	0.54709	0.47619	0.545341	0.322417	0.428105	0.568182	0.41865	0.582821	0.301708	0.366071	0.482143	0.329405	0.459259	0.697917	
