data	D00040	D00066	D00067	D00075	D00088	D00094	D00105	D00129	D00143	D00163	D00182	D00187	D00188	D00211	D00246	D00279	D00299	D00312	D00316	D00327	D00348	D00443	D00462	D00506	D00554	D00565	D00577	D00585	D00586	D00596	D00627	D00690	D00730	D00898	D00930	D00950	D00951	D00954	D00956	D00961	D00962	D00965	D01115	D01132	D01161	D01217	D01294	D01387	D01441	D01689	D02217	D02367	D04066	D05341	
D00040	1.0	0.855595	0.752914	0.848323	0.833056	0.369233	0.68345	0.62329	0.89079	0.89761	0.790789	0.670361	0.67359	0.595815	0.759668	0.35124	0.697071	0.531502	0.309642	0.773329	0.369233	0.600713	0.891656	0.24062	0.636886	0.26525	0.336088	0.621394	0.240429	0.26556	0.318854	0.643333	0.303819	0.305785	0.632727	0.792965	0.686845	0.792965	0.742277	0.166782	0.201711	0.199798	0.662689	0.348134	0.583131	0.845595	0.779317	0.675069	0.293333	0.805784	0.287415	0.825356	0.73683	0.281085	
D00066	0.855595	1.0	0.789492	0.955	0.924451	0.439228	0.766942	0.689722	0.961197	0.826667	0.888692	0.668651	0.697457	0.591402	0.789353	0.327417	0.666355	0.600866	0.373764	0.827803	0.439228	0.670929	0.917308	0.325926	0.713853	0.298642	0.315296	0.70288	0.272308	0.307044	0.301832	0.695437	0.307051	0.342569	0.666474	0.890909	0.764689	0.890909	0.850505	0.215954	0.254762	0.254882	0.721429	0.333498	0.561125	0.985714	0.832906	0.712915	0.34303	0.871752	0.2673	0.858492	0.746748	0.286486	
D00067	0.752914	0.789492	1.0	0.827091	0.72314	0.327922	0.886003	0.512005	0.788292	0.72924	0.739484	0.495887	0.532856	0.571423	0.62211	0.466667	0.490791	0.635873	0.405538	0.709614	0.327922	0.51259	0.814419	0.369444	0.800997	0.355556	0.424242	0.716361	0.344401	0.334163	0.372706	0.665079	0.465686	0.393939	0.492767	0.73759	0.584442	0.73759	0.822176	0.233333	0.257226	0.304444	0.544589	0.424879	0.619096	0.780401	0.656836	0.556614	0.346772	0.684442	0.34011	0.70803	0.83669	0.320346	
D00075	0.848323	0.955	0.827091	1.0	0.881593	0.404579	0.789389	0.648164	0.956197	0.820515	0.888578	0.626883	0.653518	0.567066	0.752394	0.328485	0.623635	0.577962	0.346898	0.829637	0.404579	0.633951	0.918974	0.295556	0.701227	0.306397	0.316364	0.66993	0.277407	0.284807	0.302959	0.664286	0.340278	0.346667	0.626027	0.886364	0.725124	0.886364	0.809596	0.196444	0.231566	0.234222	0.680753	0.334975	0.558974	0.941667	0.79398	0.678119	0.322857	0.832267	0.268519	0.853954	0.748906	0.324762	
D00088	0.833056	0.924451	0.72314	0.881593	1.0	0.42137	0.700315	0.701272	0.901032	0.881242	0.82001	0.652625	0.659722	0.635741	0.855508	0.325758	0.665714	0.626425	0.391257	0.852978	0.42137	0.720163	0.895	0.300926	0.650992	0.340056	0.279221	0.683317	0.280826	0.352679	0.271306	0.756148	0.252289	0.306494	0.6925	0.822228	0.817937	0.822228	0.816239	0.244444	0.303388	0.280912	0.794199	0.305153	0.568575	0.910165	0.882828	0.776407	0.372764	0.942576	0.285441	0.798469	0.738913	0.226963	
D00094	0.369233	0.439228	0.327922	0.404579	0.42137	1.0	0.301948	0.486686	0.422561	0.386147	0.386364	0.495833	0.467494	0.284838	0.372544	0.57269	0.479167	0.258466	0.756183	0.390909	1.0	0.428485	0.381007	0.477839	0.297794	0.539683	0.550468	0.327967	0.321212	0.372988	0.34368	0.320554	0.465306	0.586182	0.477216	0.384146	0.467677	0.384146	0.350813	0.312821	0.462545	0.293706	0.457576	0.350794	0.282598	0.452561	0.385675	0.33517	0.310271	0.417172	0.29127	0.351732	0.32446	0.501587	
D00105	0.68345	0.766942	0.886003	0.789389	0.700315	0.301948	1.0	0.489094	0.749954	0.658009	0.704924	0.482067	0.51049	0.568933	0.608897	0.375758	0.4671	0.600289	0.375235	0.650992	0.301948	0.5	0.746139	0.327778	0.870929	0.294949	0.333333	0.675458	0.293607	0.310353	0.295783	0.657753	0.382353	0.333333	0.469075	0.70303	0.570707	0.70303	0.799265	0.2	0.223893	0.264762	0.530536	0.35345	0.561248	0.766942	0.635582	0.549288	0.313439	0.676768	0.268681	0.67347	0.774521	0.229437	
D00129	0.62329	0.689722	0.512005	0.648164	0.701272	0.486686	0.489094	1.0	0.673141	0.639331	0.606662	0.906006	0.887247	0.443692	0.637196	0.370034	0.902885	0.438803	0.465488	0.627263	0.486686	0.680076	0.647139	0.40303	0.456279	0.448596	0.384848	0.560629	0.32325	0.40317	0.349554	0.585265	0.277917	0.418182	0.969406	0.608838	0.747093	0.608838	0.685606	0.305445	0.368552	0.352148	0.69752	0.386712	0.611523	0.675437	0.663378	0.636448	0.32483	0.676981	0.340079	0.583653	0.544781	0.291238	
D00143	0.89079	0.961197	0.788292	0.956197	0.901032	0.422561	0.749954	0.673141	1.0	0.860943	0.88978	0.653022	0.65877	0.593236	0.789065	0.342569	0.664957	0.575261	0.35753	0.843237	0.422561	0.650505	0.930556	0.309259	0.698611	0.316823	0.330447	0.673427	0.281937	0.294289	0.314652	0.677646	0.32094	0.36075	0.665076	0.891997	0.742222	0.891997	0.835431	0.202621	0.238889	0.237845	0.698889	0.345403	0.576576	0.947863	0.831818	0.693506	0.329697	0.850476	0.279205	0.85958	0.745064	0.303153	
D00163	0.89761	0.826667	0.72924	0.820515	0.881242	0.386147	0.658009	0.639331	0.860943	1.0	0.764463	0.590897	0.573007	0.63839	0.795164	0.376912	0.617042	0.549327	0.357167	0.800171	0.386147	0.64842	0.898106	0.264484	0.613802	0.333333	0.329293	0.617244	0.26902	0.311132	0.313372	0.6827	0.298577	0.29899	0.647899	0.766667	0.73902	0.766667	0.747852	0.215556	0.251483	0.244615	0.706465	0.343604	0.597867	0.816667	0.826615	0.700537	0.343201	0.845989	0.325397	0.744532	0.742386	0.28	
