data	D00040	D00066	D00067	D00075	D00088	D00094	D00105	D00129	D00143	D00163	D00182	D00187	D00188	D00211	D00246	D00279	D00299	D00312	D00316	D00327	D00348	D00443	D00462	D00506	D00554	D00565	D00577	D00585	D00586	D00596	D00627	D00690	D00730	D00898	D00930	D00950	D00951	D00954	D00956	D00961	D00962	D00965	D01115	D01132	D01161	D01217	D01294	D01387	D01441	D01689	D02217	D02367	D04066	D05341	
D00040	1.0	0.058824	0.027778	0.052632	0.055556	0.021277	0.029412	0.055556	0.076923	0.0625	0.055556	0.052632	0.058824	0.015385	0.058824	0.018182	0.058824	0.02381	0.017544	0.055556	0.021277	0.045455	0.055556	0.016393	0.030303	0.015385	0.015873	0.037037	0.015385	0.014085	0.012195	0.034483	0.017241	0.014925	0.052632	0.058824	0.047619	0.058824	0.041667	0.012658	0.012821	0.014493	0.038462	0.017241	0.037037	0.055556	0.055556	0.041667	0.011905	0.05	0.013514	0.066667	0.035714	0.02381	
D00066	0.058824	1.0	0.038462	0.111111	0.125	0.030303	0.038462	0.055556	0.2	0.045455	0.125	0.04	0.052632	0.013333	0.047619	0.022222	0.037037	0.033333	0.023256	0.083333	0.030303	0.05	0.125	0.022222	0.04	0.018868	0.018868	0.058824	0.018868	0.017544	0.013889	0.037037	0.021739	0.018182	0.043478	0.142857	0.052632	0.142857	0.071429	0.015385	0.015625	0.018182	0.038462	0.020833	0.032258	0.166667	0.055556	0.033333	0.014286	0.055556	0.015625	0.111111	0.045455	0.033333	
D00067	0.027778	0.038462	1.0	0.05	0.032258	0.022727	0.2	0.023256	0.038462	0.02439	0.043478	0.022727	0.027778	0.011905	0.02381	0.041667	0.021739	0.066667	0.027778	0.037037	0.022727	0.025641	0.04	0.035714	0.125	0.029412	0.03125	0.041667	0.029412	0.025	0.019608	0.026316	0.043478	0.027778	0.020833	0.041667	0.026316	0.041667	0.047619	0.020833	0.019608	0.026316	0.023256	0.037037	0.027778	0.04	0.028571	0.020408	0.018868	0.025641	0.023256	0.038462	0.076923	0.037037	
D00075	0.052632	0.111111	0.05	1.0	0.071429	0.028571	0.055556	0.038462	0.111111	0.038462	0.25	0.04	0.047619	0.012987	0.043478	0.023256	0.037037	0.035714	0.023256	0.1	0.028571	0.05	0.1	0.022222	0.052632	0.019608	0.019608	0.043478	0.019608	0.017544	0.014286	0.037037	0.02381	0.018868	0.032258	0.2	0.052632	0.2	0.071429	0.015385	0.015625	0.018182	0.038462	0.021739	0.030303	0.166667	0.055556	0.033333	0.014286	0.05	0.016129	0.142857	0.0625	0.038462	
D00088	0.055556	0.125	0.032258	0.071429	1.0	0.027778	0.032258	0.052632	0.125	0.058824	0.076923	0.038462	0.045455	0.014706	0.071429	0.020833	0.038462	0.037037	0.022727	0.111111	0.027778	0.066667	0.090909	0.02	0.033333	0.019231	0.017241	0.05	0.018519	0.018519	0.012987	0.05	0.018868	0.016667	0.045455	0.083333	0.071429	0.083333	0.058824	0.015625	0.016393	0.018519	0.052632	0.018868	0.033333	0.090909	0.076923	0.043478	0.014493	0.090909	0.015385	0.071429	0.043478	0.027027	
D00094	0.021277	0.030303	0.022727	0.028571	0.027778	1.0	0.020833	0.027778	0.027027	0.02	0.029412	0.027027	0.030303	0.011765	0.022222	0.028571	0.025641	0.02	0.058824	0.029412	0.333333	0.025	0.026316	0.027027	0.022222	0.02439	0.025641	0.025641	0.022222	0.025641	0.015625	0.021277	0.026316	0.027027	0.02439	0.028571	0.025641	0.028571	0.02381	0.018868	0.021739	0.021277	0.022727	0.025	0.018182	0.03125	0.025	0.02	0.016129	0.025	0.017857	0.027027	0.02381	0.045455	
D00105	0.029412	0.038462	0.2	0.055556	0.032258	0.020833	1.0	0.023256	0.038462	0.02439	0.047619	0.02381	0.027778	0.012195	0.025	0.035714	0.022727	0.058824	0.025	0.037037	0.020833	0.027027	0.04	0.03125	0.166667	0.026316	0.027778	0.038462	0.026316	0.022727	0.018182	0.027778	0.037037	0.025	0.020833	0.045455	0.027778	0.045455	0.052632	0.019231	0.018182	0.02381	0.02439	0.032258	0.027778	0.043478	0.030303	0.021277	0.017544	0.027027	0.021277	0.041667	0.090909	0.032258	
D00129	0.055556	0.055556	0.023256	0.038462	0.052632	0.027778	0.023256	1.0	0.05	0.04	0.04	0.083333	0.1	0.015625	0.05	0.018519	0.071429	0.023256	0.02381	0.043478	0.027778	0.047619	0.043478	0.018519	0.02381	0.017857	0.017241	0.041667	0.017241	0.016667	0.012346	0.033333	0.016949	0.017241	0.166667	0.041667	0.05	0.041667	0.04	0.014706	0.015873	0.017241	0.037037	0.017544	0.041667	0.043478	0.047619	0.04	0.012987	0.047619	0.014085	0.041667	0.028571	0.023256	
D00143	0.076923	0.2	0.038462	0.111111	0.125	0.027027	0.038462	0.05	1.0	0.055556	0.125	0.04	0.047619	0.013699	0.052632	0.021277	0.04	0.03125	0.021277	0.1	0.027027	0.05	0.125	0.020408	0.04	0.018182	0.018182	0.047619	0.018182	0.016393	0.013514	0.037037	0.020833	0.017544	0.043478	0.142857	0.052632	0.142857	0.071429	0.014493	0.014706	0.016949	0.038462	0.02	0.034483	0.125	0.0625	0.033333	0.013514	0.055556	0.015152	0.111111	0.045455	0.03125	
D00163	0.0625	0.045455	0.02439	0.038462	0.058824	0.02	0.02439	0.04	0.055556	1.0	0.04	0.03125	0.033333	0.015152	0.05	0.017241	0.033333	0.023256	0.017241	0.047619	0.02	0.043478	0.052632	0.015625	0.025	0.015625	0.014706	0.033333	0.015152	0.014286	0.011494	0.033333	0.015873	0.013889	0.041667	0.041667	0.045455	0.041667	0.034483	0.012821	0.012987	0.014706	0.037037	0.015873	0.03125	0.04	0.052632	0.032258	0.012048	0.047619	0.013333	0.041667	0.030303	0.021277	
D00182	0.055556	0.125	0.043478	0.25	0.076923	0.029412	0.047619	0.04	0.125	0.04	1.0	0.041667	0.05	0.013158	0.045455	0.022727	0.038462	0.034483	0.022727	0.111111	0.029412	0.052632	0.090909	0.021739	0.055556	0.019231	0.019231	0.05	0.019231	0.017241	0.014085	0.038462	0.022222	0.018519	0.033333	0.5	0.055556	0.5	0.076923	0.015625	0.015385	0.017857	0.04	0.022222	0.03125	0.2	0.066667	0.034483	0.014085	0.052632	0.015873	0.25	0.058824	0.034483	
D00187	0.052632	0.04	0.022727	0.04	0.038462	0.027027	0.02381	0.083333	0.04	0.03125	0.041667	1.0	0.111111	0.016393	0.043478	0.016949	0.142857	0.021739	0.023256	0.038462	0.028571	0.045455	0.03125	0.016949	0.02439	0.015873	0.016393	0.034483	0.015385	0.015873	0.011905	0.032258	0.016129	0.016949	0.066667	0.043478	0.047619	0.043478	0.038462	0.013333	0.014706	0.015385	0.035714	0.016667	0.032258	0.05	0.045455	0.041667	0.011905	0.041667	0.013158	0.047619	0.027778	0.021739	
D00188	0.058824	0.052632	0.027778	0.047619	0.045455	0.030303	0.027778	0.1	0.047619	0.033333	0.05	0.111111	1.0	0.014493	0.04	0.019608	0.090909	0.025	0.023256	0.041667	0.030303	0.045455	0.038462	0.019608	0.028571	0.017544	0.018868	0.043478	0.016949	0.016949	0.013158	0.032258	0.018519	0.018868	0.066667	0.052632	0.047619	0.052632	0.041667	0.014493	0.015625	0.016949	0.035714	0.019231	0.034483	0.055556	0.045455	0.038462	0.012821	0.041667	0.014706	0.058824	0.033333	0.026316	
D00211	0.015385	0.013333	0.011905	0.012987	0.014706	0.011765	0.012195	0.015625	0.013699	0.015152	0.013158	0.016393	0.014493	1.0	0.017544	0.009901	0.016949	0.0125	0.012987	0.013889	0.012048	0.015625	0.012821	0.010101	0.012346	0.010753	0.010101	0.014925	0.010101	0.012048	0.008333	0.018182	0.009615	0.010526	0.016393	0.013333	0.016393	0.013333	0.015152	0.010526	0.011905	0.010526	0.016129	0.010204	0.015385	0.013889	0.015625	0.018519	0.010204	0.017241	0.009434	0.013333	0.013889	0.009804	
D00246	0.058824	0.047619	0.02381	0.043478	0.071429	0.022222	0.025	0.05	0.052632	0.05	0.045455	0.043478	0.04	0.017544	1.0	0.016949	0.043478	0.026316	0.019608	0.055556	0.022222	0.083333	0.041667	0.016393	0.025641	0.016393	0.014493	0.037037	0.015873	0.016393	0.011364	0.058824	0.015625	0.014085	0.043478	0.047619	0.090909	0.047619	0.041667	0.013699	0.015152	0.015873	0.083333	0.015625	0.034483	0.055556	0.083333	0.071429	0.012821	0.125	0.013158	0.047619	0.03125	0.020833	
D00279	0.018182	0.022222	0.041667	0.023256	0.020833	0.028571	0.035714	0.018519	0.021277	0.017241	0.022727	0.016949	0.019608	0.009901	0.016949	1.0	0.016393	0.03125	0.04	0.022727	0.028571	0.018519	0.02381	0.142857	0.034483	0.066667	0.090909	0.02439	0.066667	0.034483	0.029412	0.018182	0.166667	0.066667	0.016949	0.022222	0.018868	0.022222	0.025	0.04	0.025	0.052632	0.017241	0.0625	0.019608	0.021739	0.019231	0.015152	0.025	0.017857	0.038462	0.021277	0.033333	0.045455	
D00299	0.058824	0.037037	0.021739	0.037037	0.038462	0.025641	0.022727	0.071429	0.04	0.033333	0.038462	0.142857	0.090909	0.016949	0.043478	0.016393	1.0	0.020833	0.021277	0.038462	0.027027	0.045455	0.03125	0.016393	0.023256	0.015385	0.015873	0.032258	0.014925	0.015385	0.011628	0.032258	0.015625	0.016949	0.076923	0.04	0.047619	0.04	0.035714	0.012987	0.013889	0.014925	0.035714	0.016129	0.030303	0.041667	0.05	0.041667	0.011628	0.038462	0.012821	0.043478	0.026316	0.020833	
