data	D00049	D00059	D00079	D00094	D00095	D00106	D00110	D00113	D00136	D00139	D00180	D00225	D00227	D00232	D00234	D00235	D00241	D00255	D00270	D00274	D00281	D00283	D00295	D00300	D00301	D00306	D00318	D00332	D00336	D00356	D00364	D00371	D00380	D00394	D00397	D00400	D00410	D00411	D00415	D00419	D00422	D00426	D00432	D00437	D00440	D00442	D00443	D00451	D00454	D00465	D00480	D00483	D00493	D00494	D00498	D00499	D00503	D00509	D00513	D00514	D00520	D00521	D00522	D00523	D00524	D00525	D00528	D00540	D00542	D00559	D00560	D00563	D00574	D00598	D00601	D00604	D00606	D00607	D00609	D00613	D00627	D00632	D00635	D00645	D00646	D00665	D00666	D00673	D00674	D00675	D00676	D00682	D00683	D00684	D00687	D00688	D00715	D00726	D00760	D00765	D00769	D00775	D00779	D00780	D00790	D00837	D00838	D00845	D00954	D00965	D00987	D00996	D01020	D01022	D01024	D01051	D01071	D01103	D01118	D01126	D01164	D01227	D01236	D01242	D01269	D01295	D01297	D01324	D01332	D01346	D01352	D01358	D01386	D01390	D01441	D01454	D01462	D01603	D01652	D01692	D01699	D01712	D01713	D01717	D01745	D01782	D01828	D01871	D01891	D01925	D01964	D01965	D01973	D01994	D02007	D02066	D02070	D02076	D02082	D02147	D02149	D02150	D02234	D02237	D02250	D02278	D02279	D02327	D02338	D02340	D02342	D02349	D02354	D02356	D02357	D02358	D02359	D02361	D02374	D02566	D02578	D02588	D02614	D02671	D02721	D02725	D02826	D02884	D02910	D03165	D03187	D03210	D03274	D03365	D03415	D03442	D03490	D03503	D03621	D03642	D03654	D03858	D03879	D03880	D03881	D03966	D04006	D04034	D04040	D04375	D04625	D04716	D04979	D05113	D05129	D05246	D05312	D05341	D05740	D05792	D05938	D06056	D06396	
D00049	1.0	0.406887	0.189744	0.301587	0.33719	0.183333	0.275058	0.310956	0.378824	0.625	0.213889	0.38118	0.275661	0.206536	0.313636	0.541414	0.601136	0.337819	0.258824	0.342157	0.50947	0.356365	0.333333	0.365196	0.110851	0.341084	0.437879	0.483333	0.279116	0.249417	0.513889	0.54	0.432756	0.275236	0.634673	0.281217	0.652381	0.292424	0.422419	0.207643	0.277037	0.358683	0.256313	0.260134	0.334444	0.243665	0.173741	0.426801	0.325	0.432601	0.235294	0.361905	0.225193	0.258824	0.324509	0.358333	0.283779	0.287395	0.429237	0.311429	0.283712	0.277264	0.344156	0.278561	0.214286	0.469907	0.620833	0.283483	0.145833	0.333333	0.3125	0.378968	0.499053	0.336294	0.190466	0.452862	0.47138	0.167965	0.382264	0.27642	0.419176	0.304513	0.284898	0.25697	0.22152	0.362879	0.202758	0.259722	0.359707	0.332967	0.318213	0.148462	0.254208	0.208327	0.294815	0.256259	0.22685	0.566414	0.151208	0.114719	0.20127	0.454545	0.429714	0.193985	0.321874	0.210092	0.263403	0.218385	0.217172	0.270863	0.310681	0.309091	0.382492	0.417508	0.234504	0.332157	0.302564	0.208193	0.227718	0.204365	0.386809	0.242593	0.291944	0.290093	0.193803	0.284112	0.455808	0.247712	0.231746	0.347251	0.151048	0.237395	0.280186	0.382492	0.267193	0.384961	0.239844	0.183987	0.315645	0.43359	0.251186	0.319048	0.248824	0.227152	0.308229	0.425505	0.435294	0.28976	0.250272	0.233283	0.206658	0.257703	0.305458	0.204312	0.217014	0.257092	0.231907	0.287088	0.237179	0.411553	0.264569	0.286869	0.271676	0.222857	0.215292	0.171296	0.246032	0.449435	0.460248	0.430439	0.3912	0.436255	0.22152	0.26299	0.327473	0.426136	0.253476	0.352466	0.503517	0.247712	0.518519	0.265385	0.253385	0.378824	0.172464	0.189755	0.339161	0.379365	0.335726	0.23544	0.179286	0.406481	0.251045	0.272727	0.187666	0.158351	0.32296	0.311111	0.255077	0.348824	0.270508	0.327696	0.342577	0.198665	0.206865	0.204308	0.556667	0.262554	0.32461	0.434343	0.411553	0.337026	0.261268	0.263068	0.447106	0.346984	0.26435	0.445378	0.213894	0.341387	0.388718	0.415954	0.473064	
D00059	0.406887	1.0	0.41152	0.258512	0.701299	0.379745	0.607143	0.623016	0.449074	0.356046	0.454147	0.37619	0.498718	0.404167	0.278844	0.606926	0.638095	0.479487	0.3125	0.429233	0.456667	0.369697	0.404444	0.415	0.31895	0.564103	0.33271	0.483333	0.380375	0.418357	0.415966	0.559091	0.517316	0.322314	0.50573	0.601441	0.411905	0.284575	0.494743	0.459815	0.35625	0.347359	0.665224	0.446825	0.327451	0.362176	0.319444	0.578755	0.340278	0.530873	0.288462	0.395833	0.259907	0.3125	0.522985	0.445238	0.287179	0.393519	0.571429	0.360317	0.541111	0.364688	0.494844	0.463235	0.323129	0.508625	0.436869	0.449121	0.150649	0.382222	0.521538	0.244935	0.512381	0.42619	0.525952	0.415152	0.493074	0.236917	0.365986	0.411538	0.310897	0.441558	0.376797	0.43424	0.553069	0.375817	0.65162	0.335294	0.490476	0.528757	0.498953	0.417254	0.34092	0.338889	0.405494	0.344841	0.420833	0.571212	0.242695	0.287824	0.59881	0.334301	0.445455	0.258271	0.384615	0.449293	0.516239	0.307678	0.308413	0.435897	0.398413	0.642857	0.50974	0.46216	0.537685	0.369048	0.399048	0.424926	0.276923	0.568831	0.393773	0.312183	0.444602	0.47695	0.512088	0.360842	0.345844	0.245455	0.358135	0.464141	0.418254	0.241667	0.604762	0.50974	0.281944	0.463728	0.374225	0.335281	0.290751	0.419414	0.599606	0.413961	0.293651	0.472829	0.444618	0.344143	0.424036	0.28658	0.441026	0.415512	0.354348	0.539103	0.489062	0.279853	0.336348	0.349969	0.465774	0.53424	0.206747	0.534603	0.63411	0.633929	0.306349	0.295813	0.322419	0.477994	0.472222	0.439878	0.553333	0.415152	0.54	0.554594	0.253452	0.366162	0.452513	0.521429	0.570346	0.406061	0.622857	0.273232	0.530303	0.451936	0.599206	0.380556	0.353037	0.427532	0.484249	0.623044	0.403907	0.313119	0.413889	0.327474	0.363248	0.443813	0.328889	0.180908	0.438095	0.379167	0.316667	0.492725	0.649573	0.373333	0.485714	0.431119	0.589744	0.512898	0.49798	0.369231	0.276578	0.412121	0.534603	0.596537	0.261538	0.51845	0.328205	0.512338	0.521587	0.238246	0.396353	0.4375	0.429167	0.502764	0.468365	
D00079	0.189744	0.41152	1.0	0.514574	0.320616	0.874339	0.476428	0.44746	0.209845	0.17619	0.877922	0.136914	0.334402	0.400179	0.165363	0.286264	0.243223	0.201068	0.137778	0.236941	0.132887	0.156777	0.288657	0.158974	0.382171	0.47585	0.29127	0.271565	0.286406	0.7	0.231439	0.277613	0.29062	0.159864	0.211198	0.383978	0.199267	0.226238	0.327083	0.819336	0.354438	0.167087	0.391961	0.309399	0.334747	0.259427	0.551804	0.281227	0.150123	0.264683	0.129167	0.179976	0.139881	0.137778	0.393478	0.359735	0.163793	0.239764	0.233309	0.269231	0.257755	0.194018	0.236032	0.237946	0.184799	0.412585	0.249926	0.234908	0.08658	0.208932	0.222126	0.090769	0.25234	0.22381	0.448479	0.123395	0.222715	0.282393	0.186383	0.215152	0.192663	0.205586	0.258503	0.241202	0.296581	0.361485	0.473851	0.334747	0.258821	0.220987	0.304456	0.768351	0.221569	0.236689	0.2276	0.216667	0.349162	0.272527	0.216657	0.331129	0.334967	0.134454	0.196939	0.322585	0.22188	0.42684	0.312698	0.246482	0.49139	0.262973	0.431918	0.297715	0.225	0.211111	0.339577	0.229852	0.347222	0.283057	0.136574	0.335137	0.221141	0.180322	0.233584	0.241892	0.454257	0.232967	0.215686	0.109206	0.321465	0.289796	0.766953	0.090769	0.369048	0.225	0.212284	0.216553	0.469929	0.446685	0.180451	0.229077	0.308631	0.288536	0.082222	0.416352	0.277778	0.264762	0.214052	0.135574	0.655146	0.50178	0.67518	0.322896	0.314815	0.230217	0.423954	0.210644	0.357725	0.437936	0.313285	0.242877	0.510074	0.317857	0.250936	0.325397	0.225559	0.329548	0.26151	0.259259	0.315812	0.180586	0.279915	0.313072	0.145833	0.231554	0.399754	0.248295	0.380769	0.206548	0.292197	0.109206	0.217007	0.525272	0.321969	0.179157	0.786325	0.623483	0.253978	0.292388	0.202291	0.384036	0.829254	0.313766	0.216435	0.169048	0.244697	0.268184	0.233069	0.271678	0.125247	0.26455	0.329206	0.16313	0.2214	0.373438	0.443878	0.540136	0.302307	0.187963	0.36455	0.255012	0.242877	0.406239	0.116346	0.390366	0.281841	0.265816	0.386041	0.205483	0.285185	0.231546	0.225873	0.32254	0.22585	
D00094	0.301587	0.258512	0.514574	1.0	0.234239	0.460582	0.235215	0.229433	0.324825	0.271429	0.447908	0.162924	0.24884	0.240795	0.233643	0.394004	0.374339	0.152015	0.179221	0.302611	0.171843	0.198535	0.216969	0.256085	0.185914	0.287982	0.416667	0.434729	0.34902	0.386508	0.329668	0.271104	0.381709	0.214286	0.316392	0.244198	0.300265	0.257155	0.240476	0.45368	0.350684	0.227106	0.259719	0.307877	0.327305	0.236595	0.306061	0.275031	0.185666	0.353016	0.164286	0.275724	0.178571	0.179221	0.249304	0.508154	0.238232	0.299534	0.233305	0.130952	0.237037	0.339651	0.197619	0.219048	0.192096	0.227891	0.364976	0.240971	0.116477	0.157407	0.204426	0.117716	0.381687	0.3	0.219388	0.154658	0.317754	0.343251	0.23024	0.24798	0.281193	0.281709	0.322161	0.244872	0.25	0.410972	0.332767	0.327305	0.250599	0.210928	0.258384	0.399145	0.264706	0.279668	0.254881	0.258021	0.181839	0.416226	0.175968	0.176052	0.198985	0.193223	0.288095	0.184625	0.283516	0.222556	0.207483	0.290996	0.281707	0.248521	0.266066	0.216221	0.308889	0.328571	0.236395	0.327142	0.488194	0.186028	0.174162	0.225962	0.312116	0.199735	0.222876	0.245679	0.218254	0.311905	0.293956	0.142857	0.385329	0.354719	0.406527	0.117716	0.183673	0.308889	0.248217	0.357143	0.304618	0.337354	0.238889	0.268134	0.222751	0.213542	0.101732	0.213646	0.238839	0.317749	0.279487	0.197802	0.385915	0.23369	0.384813	0.236858	0.205182	0.273016	0.229393	0.253247	0.186164	0.230324	0.343324	0.368724	0.229678	0.237607	0.319891	0.402222	0.202469	0.207341	0.193223	0.309524	0.425084	0.265201	0.367284	0.397066	0.186508	0.305195	0.252228	0.352299	0.22963	0.284392	0.396794	0.142857	0.325714	0.25268	0.2214	0.255561	0.437363	0.378164	0.190147	0.260745	0.305172	0.207747	0.419441	0.435482	0.265432	0.082051	0.173101	0.133225	0.287879	0.202504	0.17033	0.333333	0.238662	0.262087	0.31301	0.182615	0.211871	0.252268	0.25785	0.231666	0.415152	0.33925	0.368724	0.297596	0.149573	0.207406	0.338874	0.247186	0.203081	0.358277	0.207116	0.299182	0.326479	0.316117	0.336905	
D00095	0.33719	0.701299	0.320616	0.234239	1.0	0.281049	0.579365	0.59127	0.365278	0.292157	0.347334	0.314286	0.445971	0.361905	0.318974	0.506926	0.565714	0.515873	0.35303	0.322421	0.366667	0.290909	0.344444	0.487037	0.299487	0.486447	0.303741	0.41	0.319264	0.391862	0.383427	0.525758	0.471861	0.367879	0.439929	0.427704	0.343074	0.237389	0.554046	0.367222	0.313988	0.293277	0.579004	0.396825	0.287675	0.330455	0.278288	0.52674	0.268056	0.439964	0.323611	0.456061	0.292677	0.35303	0.545139	0.395238	0.330556	0.328373	0.647619	0.545714	0.490134	0.405882	0.439899	0.430634	0.271429	0.44965	0.380519	0.377976	0.18	0.533333	0.441319	0.276292	0.473333	0.490909	0.452906	0.333333	0.454545	0.186567	0.294558	0.339744	0.233242	0.485714	0.295181	0.386905	0.782764	0.319978	0.464744	0.295518	0.445397	0.477056	0.451334	0.320934	0.267873	0.286297	0.323459	0.271795	0.396508	0.47026	0.193366	0.190999	0.440476	0.378698	0.375758	0.245625	0.317949	0.39899	0.494017	0.259158	0.282381	0.377123	0.387302	0.9	0.560714	0.367716	0.587121	0.312698	0.359048	0.453254	0.311111	0.405556	0.338095	0.250769	0.40234	0.428934	0.474359	0.28292	0.317953	0.27686	0.314201	0.393939	0.321501	0.272727	0.680952	0.560714	0.23419	0.509545	0.282755	0.292424	0.266346	0.320513	0.413239	0.382711	0.210317	0.365686	0.418586	0.289381	0.376701	0.324009	0.432601	0.345098	0.343309	0.561012	0.371591	0.232939	0.310256	0.276923	0.424107	0.479082	0.172166	0.594444	0.530556	0.860714	0.296032	0.23867	0.297791	0.551751	0.539394	0.361174	0.459048	0.345455	0.568254	0.4625	0.285684	0.374892	0.429921	0.611111	0.771164	0.325841	0.495238	0.307163	0.463636	0.361032	0.819048	0.316667	0.260921	0.424444	0.54127	0.571762	0.326557	0.290641	0.307407	0.287611	0.290293	0.632576	0.270159	0.163235	0.477922	0.322917	0.366667	0.427579	0.445027	0.440741	0.539683	0.326587	0.514472	0.439943	0.461869	0.271062	0.224462	0.363636	0.594444	0.622857	0.291667	0.485117	0.276923	0.429798	0.488254	0.161579	0.333761	0.485053	0.34504	0.469431	0.402564	
D00106	0.183333	0.379745	0.874339	0.460582	0.281049	1.0	0.534932	0.503582	0.283178	0.230952	0.786243	0.20162	0.355235	0.459236	0.194774	0.272959	0.232993	0.255235	0.182222	0.310275	0.130538	0.211538	0.269717	0.147619	0.384692	0.533673	0.265733	0.258368	0.257788	0.665812	0.284772	0.349041	0.280769	0.207483	0.203785	0.356408	0.192177	0.276658	0.377679	0.733995	0.336864	0.212185	0.449784	0.275429	0.319134	0.273509	0.578654	0.343727	0.201235	0.253704	0.170833	0.246642	0.202381	0.182222	0.443795	0.343052	0.226293	0.233707	0.291087	0.229252	0.320255	0.180159	0.300476	0.300446	0.174208	0.470408	0.330878	0.222122	0.07992	0.254031	0.282543	0.157436	0.24384	0.290476	0.408105	0.121836	0.216756	0.317314	0.251089	0.285985	0.243774	0.19188	0.250159	0.229918	0.25873	0.347821	0.442896	0.319134	0.314377	0.27785	0.347033	0.733877	0.216054	0.212967	0.300934	0.211458	0.402557	0.260204	0.242768	0.406893	0.394351	0.193277	0.27551	0.351974	0.272991	0.485897	0.365873	0.300053	0.557287	0.250305	0.480191	0.262312	0.21	0.203704	0.312103	0.305407	0.309524	0.328956	0.178241	0.311198	0.289891	0.243285	0.286216	0.271304	0.48886	0.223469	0.282353	0.14254	0.354451	0.347619	0.748452	0.157436	0.325079	0.21	0.25489	0.202116	0.505864	0.401587	0.2401	0.297827	0.369048	0.342372	0.155556	0.377201	0.330159	0.254464	0.280719	0.194398	0.696599	0.439516	0.645887	0.380673	0.367196	0.283789	0.394426	0.205812	0.413501	0.470376	0.363938	0.225529	0.461783	0.281111	0.268079	0.29418	0.239519	0.298866	0.233307	0.251389	0.302778	0.235348	0.259921	0.300233	0.208333	0.29822	0.447933	0.230559	0.330442	0.275298	0.278469	0.175873	0.295578	0.488475	0.376731	0.230268	0.90232	0.65978	0.311756	0.354888	0.271041	0.416017	0.741631	0.302372	0.266435	0.142222	0.278559	0.345559	0.299735	0.254733	0.1163	0.340741	0.393651	0.151478	0.205586	0.377655	0.40381	0.595975	0.369654	0.23588	0.440741	0.24632	0.225529	0.361235	0.178846	0.437052	0.316761	0.245873	0.432726	0.196693	0.319048	0.215007	0.299206	0.389206	0.304422	
D00110	0.275058	0.607143	0.476428	0.235215	0.579365	0.534932	1.0	0.960317	0.511538	0.310709	0.523333	0.344127	0.565216	0.587054	0.307556	0.463033	0.461111	0.478992	0.314744	0.50641	0.34127	0.408824	0.275163	0.374306	0.563821	0.689997	0.270461	0.391667	0.399145	0.608231	0.541478	0.488471	0.427192	0.359064	0.441931	0.58729	0.334615	0.399658	0.640422	0.546581	0.33836	0.413049	0.751389	0.464626	0.313534	0.313991	0.494218	0.530012	0.389316	0.476597	0.292262	0.42994	0.319674	0.314744	0.688462	0.403968	0.352381	0.373039	0.515105	0.441026	0.550476	0.359444	0.441811	0.52296	0.281618	0.636572	0.425241	0.424405	0.100592	0.445185	0.497891	0.336802	0.509259	0.498487	0.632939	0.315018	0.384249	0.333004	0.40836	0.482738	0.334042	0.391295	0.393606	0.423731	0.564087	0.384743	0.534921	0.320551	0.475893	0.505645	0.485079	0.467884	0.37034	0.363919	0.500193	0.375806	0.595646	0.433271	0.296413	0.414282	0.571979	0.343761	0.542735	0.392189	0.369468	0.663333	0.647619	0.425524	0.522976	0.423422	0.635337	0.534799	0.385073	0.418132	0.558166	0.499267	0.417012	0.570685	0.303175	0.418401	0.440476	0.397912	0.402693	0.458857	0.731755	0.334008	0.418755	0.321188	0.443386	0.456713	0.466349	0.333786	0.589744	0.385073	0.319014	0.37888	0.498089	0.390699	0.408964	0.491497	0.555442	0.435829	0.320513	0.513587	0.523465	0.325916	0.431587	0.338363	0.707326	0.541507	0.534787	0.647436	0.585965	0.40293	0.49898	0.374804	0.695685	0.648923	0.307238	0.420966	0.691782	0.538919	0.401213	0.318265	0.276375	0.500675	0.423529	0.449797	0.496377	0.45049	0.456694	0.497685	0.327551	0.418935	0.701587	0.451984	0.606052	0.411851	0.5	0.38529	0.514583	0.559286	0.669935	0.44359	0.496667	0.657374	0.612821	0.571138	0.477381	0.465851	0.534493	0.347204	0.432937	0.425699	0.430616	0.374432	0.509476	0.259877	0.303268	0.49359	0.598168	0.380556	0.423903	0.516385	0.695889	0.752201	0.520846	0.388889	0.383372	0.321105	0.420966	0.661111	0.30042	0.711365	0.350794	0.374622	0.716467	0.220679	0.493926	0.448611	0.504897	0.497565	0.565476	
D00113	0.310956	0.623016	0.44746	0.229433	0.59127	0.503582	0.960317	1.0	0.547436	0.346606	0.489572	0.366349	0.535964	0.61622	0.314222	0.502715	0.5	0.468788	0.314744	0.521062	0.369048	0.436601	0.294771	0.382639	0.538351	0.725895	0.262128	0.430556	0.367949	0.574501	0.526094	0.473086	0.415105	0.359064	0.477828	0.573684	0.367949	0.372991	0.673756	0.512821	0.327249	0.441938	0.739484	0.438095	0.303008	0.293702	0.464966	0.515726	0.414957	0.513228	0.292262	0.440196	0.319674	0.314744	0.721795	0.390873	0.359524	0.341407	0.525361	0.441026	0.53687	0.370556	0.475824	0.506293	0.310784	0.67247	0.409857	0.454167	0.100592	0.451852	0.528844	0.336802	0.492593	0.509476	0.599606	0.340659	0.3663	0.305299	0.440106	0.449405	0.367375	0.402284	0.359512	0.411826	0.572421	0.357064	0.503571	0.310025	0.463393	0.536756	0.458413	0.439803	0.338681	0.336214	0.516044	0.344147	0.60755	0.47216	0.273216	0.387827	0.543091	0.350427	0.578846	0.374531	0.393277	0.63303	0.655311	0.398235	0.509643	0.393899	0.624226	0.545788	0.396062	0.451465	0.524436	0.483883	0.406694	0.600446	0.303175	0.403017	0.47381	0.369124	0.390928	0.445523	0.698422	0.359649	0.405421	0.321188	0.418254	0.420139	0.438268	0.333786	0.597436	0.396062	0.292963	0.389136	0.477146	0.367948	0.397199	0.505102	0.588776	0.409778	0.346154	0.544698	0.510965	0.352999	0.418889	0.345029	0.678755	0.516259	0.505898	0.662088	0.573465	0.37674	0.47619	0.343851	0.725446	0.617971	0.28694	0.43287	0.657265	0.549908	0.391689	0.289013	0.260429	0.464045	0.459427	0.416066	0.456694	0.486601	0.44479	0.458333	0.327551	0.407946	0.688254	0.463889	0.617956	0.442803	0.515873	0.38529	0.553472	0.530034	0.65803	0.476923	0.467143	0.634603	0.646154	0.557532	0.510714	0.441995	0.500733	0.33598	0.398923	0.425699	0.404723	0.361963	0.498487	0.278395	0.303268	0.459524	0.634066	0.388889	0.435808	0.535279	0.661372	0.715876	0.505461	0.402494	0.355694	0.295464	0.43287	0.7	0.30042	0.724063	0.322222	0.408635	0.729165	0.259568	0.464412	0.436706	0.540795	0.480899	0.604365	
D00136	0.378824	0.449074	0.209845	0.324825	0.365278	0.283178	0.511538	0.547436	1.0	0.482319	0.231977	0.471764	0.461383	0.367521	0.547654	0.625563	0.633191	0.430769	0.428571	0.896296	0.444444	0.604233	0.229688	0.550265	0.270384	0.426587	0.34359	0.582011	0.508052	0.301697	0.693986	0.404719	0.498889	0.501401	0.650652	0.431126	0.494114	0.4875	0.487465	0.237053	0.320139	0.699727	0.491667	0.414646	0.295425	0.260705	0.25697	0.499145	0.542219	0.607556	0.38961	0.594719	0.425388	0.428571	0.505245	0.491358	0.491342	0.478788	0.486508	0.23415	0.536096	0.564734	0.429389	0.479524	0.30119	0.381513	0.531046	0.434632	0.179293	0.307222	0.63859	0.455652	0.625	0.574048	0.347597	0.4	0.441667	0.389287	0.571991	0.617277	0.5208	0.548889	0.501654	0.447619	0.467836	0.471014	0.406401	0.301307	0.445926	0.529082	0.420699	0.245588	0.457956	0.451515	0.648294	0.464731	0.42996	0.629267	0.270495	0.270953	0.439865	0.501834	0.717196	0.216835	0.518615	0.371997	0.424523	0.520031	0.292708	0.450214	0.371402	0.337179	0.473651	0.594737	0.417567	0.861728	0.512522	0.448359	0.404221	0.278205	0.619697	0.489957	0.38866	0.466851	0.402381	0.482451	0.531753	0.444118	0.515633	0.610534	0.251326	0.46	0.299058	0.473651	0.385465	0.527451	0.305584	0.30485	0.502193	0.614141	0.507352	0.299185	0.491538	0.468336	0.463172	0.456599	0.562393	0.46732	0.339133	0.261467	0.303772	0.616162	0.455058	0.660238	0.24	0.475735	0.426797	0.367222	0.364741	0.556481	0.362284	0.364347	0.48381	0.345315	0.228668	0.283937	0.310623	0.558362	0.566619	0.689418	0.527337	0.5671	0.425951	0.558333	0.413636	0.542593	0.450265	0.620915	0.645455	0.527451	0.762386	0.296618	0.490278	0.657143	0.275874	0.354056	0.458974	0.493112	0.711189	0.262049	0.258349	0.444066	0.546212	0.25404	0.342895	0.237842	0.560714	0.216176	0.426455	0.644872	0.546379	0.559788	0.609877	0.377871	0.410493	0.409631	0.396242	0.547471	0.467233	0.333506	0.556481	0.567424	0.406061	0.408288	0.456129	0.398006	0.412946	0.339259	0.411859	0.561809	0.732179	0.439431	0.762671	
D00139	0.625	0.356046	0.17619	0.271429	0.292157	0.230952	0.310709	0.346606	0.482319	1.0	0.197436	0.392778	0.336264	0.245752	0.325	0.458678	0.511765	0.311103	0.395652	0.445652	0.430283	0.508397	0.229911	0.365539	0.178585	0.376735	0.268864	0.42963	0.288033	0.217087	0.5	0.481061	0.36916	0.427268	0.445238	0.238265	0.465079	0.266084	0.373642	0.191671	0.297778	0.498834	0.294935	0.221522	0.217367	0.234095	0.24517	0.373935	0.453571	0.36902	0.359684	0.457143	0.31928	0.395652	0.360159	0.318519	0.377866	0.294749	0.371763	0.219444	0.307875	0.282439	0.373029	0.305424	0.19898	0.409035	0.539815	0.248719	0.12963	0.26746	0.312821	0.345238	0.421024	0.38264	0.203167	0.387255	0.403922	0.258874	0.47635	0.370506	0.464459	0.31089	0.293237	0.264922	0.233751	0.258974	0.214581	0.279167	0.318363	0.352419	0.276879	0.139183	0.264579	0.218828	0.391111	0.266444	0.255816	0.480901	0.218942	0.149806	0.264762	0.384259	0.481209	0.187929	0.446264	0.239058	0.299054	0.304965	0.261616	0.234396	0.274984	0.269683	0.323922	0.355437	0.24406	0.435652	0.268946	0.272878	0.352108	0.188645	0.480896	0.268266	0.290351	0.321599	0.291537	0.288084	0.421296	0.364541	0.338889	0.494344	0.141607	0.34089	0.245658	0.323922	0.305456	0.326144	0.21205	0.194828	0.33131	0.400797	0.321936	0.290556	0.352319	0.235973	0.329037	0.311966	0.499078	0.376006	0.285923	0.136306	0.179334	0.337315	0.287639	0.298399	0.122206	0.267201	0.25917	0.295029	0.246032	0.343246	0.231156	0.24917	0.366717	0.202597	0.208251	0.15812	0.227106	0.310901	0.386531	0.582471	0.325155	0.365204	0.315607	0.366486	0.290727	0.356209	0.263043	0.446552	0.424992	0.351208	0.624339	0.164127	0.339631	0.515652	0.216908	0.218721	0.374811	0.34185	0.538	0.226408	0.165495	0.275758	0.367749	0.125	0.212323	0.146217	0.369306	0.216387	0.267656	0.452319	0.3467	0.332206	0.345434	0.21078	0.218395	0.251927	0.496212	0.37627	0.327652	0.370588	0.343246	0.339631	0.355355	0.292034	0.5621	0.293563	0.293316	0.389706	0.272131	0.344375	0.483956	0.363923	0.524559	
