data	D00040	D00066	D00067	D00075	D00088	D00094	D00105	D00129	D00143	D00163	D00182	D00187	D00188	D00211	D00246	D00279	D00299	D00312	D00316	D00327	D00348	D00443	D00462	D00506	D00554	D00565	D00577	D00585	D00586	D00596	D00627	D00690	D00730	D00898	D00930	D00950	D00951	D00954	D00956	D00961	D00962	D00965	D01115	D01132	D01161	D01217	D01294	D01387	D01441	D01689	D02217	D02367	D04066	D05341
D00040	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396
D00066	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396
D00067	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396
D00075	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396
D00088	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396
D00094	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396
D00105	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396
D00129	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396
D00143	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396
D00163	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396	0.48396
